Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,5949,0,0,2,3,Steatosis,0
276,0,0,672,0,0,2,4,NASH,0
277,0,0,41,0,0,2,5,Cirrhosis,0
278,0,0,2,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1478,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2068,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7553,0,0,2,25,Overweight,0
298,0,0,8431,0,0,2,26,Obese,0
411,0,0,6075,0,0,3,3,Steatosis,0
412,0,0,767,0,0,3,4,NASH,0
413,0,0,48,0,0,3,5,Cirrhosis,0
414,0,0,0,0,0,3,6,HCC,0
415,0,0,5,0,0,3,7,Liver death,0
416,0,0,200,0,0,3,8,Natural death,0
421,0,0,1494,0,0,3,13,CHD,0
422,0,0,27,0,0,3,14,CHD death,0
427,0,0,2122,0,0,3,19,T2DM,0
428,0,0,87,0,0,3,20,T2DM death,0
433,0,0,7576,0,0,3,25,Overweight,0
434,0,0,8417,0,0,3,26,Obese,0
547,0,0,6167,0,0,4,3,Steatosis,0
548,0,0,870,0,0,4,4,NASH,0
549,0,0,48,0,0,4,5,Cirrhosis,0
550,0,0,1,0,0,4,6,HCC,0
551,0,0,10,0,0,4,7,Liver death,0
552,0,0,400,0,0,4,8,Natural death,0
557,0,0,1530,0,0,4,13,CHD,0
558,0,0,54,0,0,4,14,CHD death,0
563,0,0,2190,0,0,4,19,T2DM,0
564,0,0,173,0,0,4,20,T2DM death,0
569,0,0,7541,0,0,4,25,Overweight,0
570,0,0,8435,0,0,4,26,Obese,0
683,0,0,6272,0,0,5,3,Steatosis,0
684,0,0,986,0,0,5,4,NASH,0
685,0,0,52,0,0,5,5,Cirrhosis,0
686,0,0,1,0,0,5,6,HCC,0
687,0,0,19,0,0,5,7,Liver death,0
688,0,0,615,0,0,5,8,Natural death,0
693,0,0,1525,0,0,5,13,CHD,0
694,0,0,88,0,0,5,14,CHD death,0
699,0,0,2298,0,0,5,19,T2DM,0
700,0,0,238,0,0,5,20,T2DM death,0
705,0,0,7469,0,0,5,25,Overweight,0
706,0,0,8443,0,0,5,26,Obese,0
819,0,0,6350,0,0,6,3,Steatosis,0
820,0,0,1090,0,0,6,4,NASH,0
821,0,0,62,0,0,6,5,Cirrhosis,0
822,0,0,1,0,0,6,6,HCC,0
823,0,0,24,0,0,6,7,Liver death,0
824,0,0,854,0,0,6,8,Natural death,0
829,0,0,1503,0,0,6,13,CHD,0
830,0,0,115,0,0,6,14,CHD death,0
835,0,0,2345,0,0,6,19,T2DM,0
836,0,0,333,0,0,6,20,T2DM death,0
841,0,0,7504,0,0,6,25,Overweight,0
842,0,0,8376,0,0,6,26,Obese,0
955,0,0,6428,670828.3905096252,0,7,3,Steatosis,0
956,0,190.28353680214997,1211,232158.73460396618,190.28353680214997,7,4,NASH,0
957,0,7.796009165034512,62,140420.62034122623,7.796009165034512,7,5,Cirrhosis,0
958,0,1.1594834655535613,4,180677.1575162727,1.1594834655535613,7,6,HCC,0
959,105.93960046,0,29,0,105.93960046,7,7,Liver death,0
960,0,0,1058,0,0,7,8,Natural death,0
965,0,89.25591319481671,1502,8.44107288885411e+06,89.25591319481671,7,13,CHD,0
966,197.46890122799994,0,143,0,197.46890122799994,7,14,CHD death,0
971,0,72.41318430901521,2418,2.550083008959469e+07,72.41318430901521,7,19,T2DM,0
972,875.7628887229997,0,415,0,875.7628887229997,7,20,T2DM death,0
977,0,0,7583,1.1974816104388586e+06,0,7,25,Overweight,0
978,0,92.63076132521361,8340,8.266151967797492e+06,92.63076132521361,7,26,Obese,0
1091,0,0,6542,662840.2635789411,0,8,3,Steatosis,0
1092,0,194.04701146635642,1272,236750.42724558787,194.04701146635642,8,4,NASH,0
1093,0,8.42349878464426,69,151722.87509465413,8.42349878464426,8,5,Cirrhosis,0
1094,0,0.8442840768593893,3,131561.03702641217,0.8442840768593893,8,6,HCC,0
1095,118.78639006116505,0,37,0,118.78639006116505,8,7,Liver death,0
1096,0,0,1251,0,0,8,8,Natural death,0
1101,0,86.02159358620032,1491,8.135198167673556e+06,86.02159358620032,8,13,CHD,0
1102,201.01214370776702,0,173,0,201.01214370776702,8,14,CHD death,0
1107,0,71.52522481075226,2460,2.518812868711158e+07,71.52522481075226,8,19,T2DM,0
1108,938.7805379009712,0,503,0,938.7805379009712,8,20,T2DM death,0
1113,0,0,7589,1.1635234078294986e+06,0,8,25,Overweight,0
1114,0,89.91121137222704,8338,8.023465705975617e+06,89.91121137222704,8,26,Obese,0
1227,0,0,6625,651698.9172590881,0,9,3,Steatosis,0
1228,0,202.76176856067323,1369,247383.01802773314,202.76176856067323,9,4,NASH,0
1229,0,9.244869919829059,78,166517.29643144817,9.244869919829059,9,5,Cirrhosis,0
1230,0,0.8196932785042614,3,127729.16216156521,0.8196932785042614,9,6,HCC,0
1231,202.9480810443963,0,48,0,202.9480810443963,9,7,Liver death,0
1232,0,0,1485,0,0,9,8,Natural death,0
1237,0,83.74016422898356,1495,7.919439784775028e+06,83.74016422898356,9,13,CHD,0
1238,225.719336554812,0,200,0,225.719336554812,9,14,CHD death,0
1243,0,70.76870258132772,2507,2.492171387583299e+07,70.76870258132772,9,19,T2DM,0
1244,970.2913470817228,0,601,0,970.2913470817228,9,20,T2DM death,0
1249,0,0,7633,1.136183844522341e+06,0,9,25,Overweight,0
1250,0,86.84226134325536,8295,7.749599800547334e+06,86.84226134325536,9,26,Obese,0
1363,0,0,6693,639211.7022480847,0,10,3,Steatosis,0
1364,0,209.36629743511853,1456,255440.9882122075,209.36629743511853,10,4,NASH,0
1365,0,10.241391870360811,89,184466.50961412583,10.241391870360811,10,5,Cirrhosis,0
1366,0,0.7958187169944286,3,124008.8953024905,0.7958187169944286,10,6,HCC,0
1367,129.61402551597973,0,56,0,129.61402551597973,10,7,Liver death,0
1368,0,0,1668,0,0,10,8,Natural death,0
1373,0,82.00809667000172,1508,7.755635416073115e+06,82.00809667000172,10,13,CHD,0
1374,208.86729019233533,0,235,0,208.86729019233533,10,14,CHD death,0
1379,0,70.8451660293823,2585,2.4948641035791032e+07,70.8451660293823,10,19,T2DM,0
1380,772.1865328220131,0,690,0,772.1865328220131,10,20,T2DM death,0
1385,0,0,7687,1.1108949786053468e+06,0,10,25,Overweight,0
1386,0,84.60763981357294,8324,7.550187414310782e+06,84.60763981357294,10,26,Obese,0
1499,0,0,6753,626157.2553386935,0,11,3,Steatosis,0
1500,0,214.15762046934907,1534,261286.7251130269,214.15762046934907,11,4,NASH,0
1501,0,11.283741452017475,101,203241.16364161324,11.283741452017475,11,5,Cirrhosis,0
1502,0,0.772639531062552,3,120396.98573057329,0.772639531062552,11,6,HCC,0
1503,104.6642782032066,0,67,0,104.6642782032066,11,7,Liver death,0
1504,0,0,1849,0,0,11,8,Natural death,0
1509,0,79.72510749897131,1510,7.539729519115117e+06,79.72510749897131,11,13,CHD,0
1510,105.37320118444917,0,262,0,105.37320118444917,11,14,CHD death,0
1515,0,70.69749155511221,2657,2.4896636394472376e+07,70.69749155511221,11,19,T2DM,0
1516,702.332346742803,0,762,0,702.332346742803,11,20,T2DM death,0
1521,0,0,7665,1.0754520633130667e+06,0,11,25,Overweight,0
1522,0,82.83411734872878,8394,7.391922427574422e+06,82.83411734872878,11,26,Obese,0
1635,0,0,6794,611610.5740521054,0,12,3,Steatosis,0
1636,0,222.55845673514798,1642,271536.31133504474,222.55845673514798,12,4,NASH,0
1637,0,11.93128481901297,110,214904.62367180115,11.93128481901297,12,5,Cirrhosis,0
1638,0,0.2500451556836738,1,38963.42580277453,0.2500451556836738,12,6,HCC,0
1639,134.3165846816868,0,77,0,134.3165846816868,12,7,Liver death,0
1640,0,0,2016,0,0,12,8,Natural death,0
1645,0,76.94167450392791,1501,7.276495858157278e+06,76.94167450392791,12,13,CHD,0
1646,211.6405666210972,0,303,0,211.6405666210972,12,14,CHD death,0
1651,0,70.05915756417367,2712,2.46718424318999e+07,70.05915756417367,12,19,T2DM,0
1652,812.725802982274,0,854,0,812.725802982274,12,20,T2DM death,0
1657,0,0,7646,1.0415400320574775e+06,0,12,25,Overweight,0
1658,0,80.78554463134896,8432,7.2091126011533355e+06,80.78554463134896,12,26,Obese,0
1771,0,0,6837,597554.8806335101,0,13,3,Steatosis,0
1772,0,223.70858203337363,1700,272939.5416846508,223.70858203337363,13,4,NASH,0
1773,0,12.11030674480578,115,218129.14141444987,12.11030674480578,13,5,Cirrhosis,0
1774,0,0.7282868612145839,3,113485.70622167338,0.7282868612145839,13,6,HCC,0
1775,104.6086672946375,0,85,0,104.6086672946375,13,7,Liver death,0
1776,0,0,2191,0,0,13,8,Natural death,0
1781,0,75.04902566697942,1508,7.097505064003356e+06,75.04902566697942,13,13,CHD,0
1782,156.35445675847387,0,331,0,156.35445675847387,13,14,CHD death,0
1787,0,69.67391947807508,2778,2.4536178034990426e+07,69.67391947807508,13,19,T2DM,0
1788,861.0025440238592,0,951,0,861.0025440238592,13,20,T2DM death,0
1793,0,0,7687,1.0166262740880975e+06,0,13,25,Overweight,0
1794,0,79.05578653462709,8499,7.054753044021575e+06,79.05578653462709,13,26,Obese,0
1907,0,0,6886,584308.2411439181,0,14,3,Steatosis,0
1908,0,223.70858203335698,1751,272939.5416846492,223.70858203335698,14,4,NASH,0
1909,0,12.677737748889099,124,228349.6288340375,12.677737748889099,14,5,Cirrhosis,0
1910,0,1.1784577042307183,5,183633.8288376592,1.1784577042307183,14,6,HCC,0
1911,94.06550949030402,0,91,0,94.06550949030402,14,7,Liver death,0
1912,0,0,2395,0,0,14,8,Natural death,0
1917,0,73.53957988794042,1522,6.954754389156535e+06,73.53957988794042,14,13,CHD,0
1918,124.01316298505986,0,359,0,124.01316298505986,14,14,CHD death,0
1923,0,69.10558810864072,2838,2.433603600526328e+07,69.10558810864072,14,19,T2DM,0
1924,856.062125329645,0,1046,0,856.062125329645,14,20,T2DM death,0
1929,0,0,7699,988556.6078909384,0,14,25,Overweight,0
1930,0,77.06927054655863,8534,6.877481014632324e+06,77.06927054655863,14,26,Obese,0
2043,0,0,6923,570337.726672068,0,15,3,Steatosis,0
2044,0,227.23998064082156,1832,277248.0859016814,227.23998064082156,15,4,NASH,0
2045,0,12.30848325134867,124,221698.66877091024,12.30848325134867,15,5,Cirrhosis,0
2046,0,1.3729604321134583,6,213942.32485940878,1.3729604321134583,15,6,HCC,0
2047,192.32585847001178,0,105,0,192.32585847001178,15,7,Liver death,0
2048,0,0,2576,0,0,15,8,Natural death,0
2053,0,71.35073996246724,1521,6.747752335268597e+06,71.35073996246724,15,13,CHD,0
2054,197.8433574445248,0,392,0,197.8433574445248,15,14,CHD death,0
2059,0,69.24412363766727,2929,2.438482230047821e+07,69.24412363766727,15,19,T2DM,0
2060,726.3639361383445,0,1138,0,726.3639361383445,15,20,T2DM death,0
2065,0,0,7729,963503.5217519399,0,15,25,Overweight,0
2066,0,75.02619425973333,8557,6.6951616767910225e+06,75.02619425973333,15,26,Obese,0
2179,0,0,6917,553246.0470712101,0,16,3,Steatosis,0
2180,0,231.58015155185953,1923,282543.3868173887,231.58015155185953,16,4,NASH,0
2181,0,11.85361290256721,123,213505.60803963416,11.85361290256721,16,5,Cirrhosis,0
2182,0,1.555133175533043,7,242329.49417732385,1.555133175533043,16,6,HCC,0
2183,149.42864960850983,0,118,0,149.42864960850983,16,7,Liver death,0
2184,0,0,2777,0,0,16,8,Natural death,0
2189,0,68.1339607845145,1496,6.443536440359972e+06,68.1339607845145,16,13,CHD,0
2190,178.51115376117482,0,429,0,178.51115376117482,16,14,CHD death,0
2195,0,68.0076829092469,2963,2.3949400695527352e+07,68.0076829092469,16,19,T2DM,0
2196,834.080754257304,0,1246,0,834.080754257304,16,20,T2DM death,0
2201,0,0,7744,937255.7612983815,0,16,25,Overweight,0
2202,0,72.66220402089046,8536,6.484204730253564e+06,72.66220402089046,16,26,Obese,0
2315,0,0,6952,539849.9713298173,0,17,3,Steatosis,0
2316,0,232.55174784375026,1989,283728.79975149455,232.55174784375026,17,4,NASH,0
2317,0,13.098948664925466,140,235936.42059790643,13.098948664925466,17,5,Cirrhosis,0
2318,0,1.2941468867126573,6,201661.1602030434,1.2941468867126573,17,6,HCC,0
2319,224.37811510204574,0,138,0,224.37811510204574,17,7,Liver death,0
2320,0,0,2958,0,0,17,8,Natural death,0
2325,0,66.10525892532445,1495,6.251678896694576e+06,66.10525892532445,17,13,CHD,0
2326,161.52449252083701,0,467,0,161.52449252083701,17,14,CHD death,0
2331,0,67.0519310571255,3009,2.3612825722041734e+07,67.0519310571255,17,19,T2DM,0
2332,731.2496567127265,0,1343,0,731.2496567127265,17,20,T2DM death,0
2337,0,0,7764,912307.1454906743,0,17,25,Overweight,0
2338,0,70.58715167998037,8541,6.299031924309131e+06,70.58715167998037,17,26,Obese,0
2451,0,0,6962,524880.1071981312,0,18,3,Steatosis,0
2452,0,237.12974820034705,2089,289314.2686137324,237.12974820034705,18,4,NASH,0
2453,0,13.534974695380724,149,243790.0601185015,13.534974695380724,18,5,Cirrhosis,0
2454,0,0.8376355253803607,4,130525.02278514138,0.8376355253803607,18,6,HCC,0
2455,156.4126296842365,0,150,0,156.4126296842365,18,7,Liver death,0
2456,0,0,3154,0,0,18,8,Natural death,0
2461,0,64.39451140564795,1500,6.089890797831952e+06,64.39451140564795,18,13,CHD,0
2462,145.81305440919917,0,497,0,145.81305440919917,18,14,CHD death,0
2467,0,66.0076216835873,3051,2.3245064572608292e+07,66.0076216835873,18,19,T2DM,0
2468,879.8222289139744,0,1462,0,879.8222289139744,18,20,T2DM death,0
2473,0,0,7799,889727.9737301355,0,18,25,Overweight,0
2474,0,68.40283453675328,8525,6.104108583581584e+06,68.40283453675328,18,26,Obese,0
2587,0,0,6985,511275.85098273936,0,19,3,Steatosis,0
2588,0,237.05590930715084,2151,289224.18018939014,237.05590930715084,19,4,NASH,0
2589,0,13.758102902713212,156,247809.01399938893,13.758102902713212,19,5,Cirrhosis,0
2590,0,0.406619187077845,2,63361.66154618513,0.406619187077845,19,6,HCC,0
2591,135.0555699707411,0,162,0,135.0555699707411,19,7,Liver death,0
2592,0,0,3365,0,0,19,8,Natural death,0
2597,0,61.5186400224834,1476,5.817915092297804e+06,61.5186400224834,19,13,CHD,0
2598,143.6307327556065,0,536,0,143.6307327556065,19,14,CHD death,0
2603,0,65.34534628393139,3111,2.30118394686378e+07,65.34534628393139,19,19,T2DM,0
2604,730.6228358853726,0,1569,0,730.6228358853726,19,20,T2DM death,0
2609,0,0,7798,863702.8071994352,0,19,25,Overweight,0
2610,0,66.65980185418954,8557,5.948564433528878e+06,66.65980185418954,19,26,Obese,0
2723,0,0,7021,498942.63710028917,0,20,3,Steatosis,0
2724,0,235.92922687676892,2205,287849.5517179468,235.92922687676892,20,4,NASH,0
2725,0,13.614254179309194,159,245218.0310300161,13.614254179309194,20,5,Cirrhosis,0
2726,0,1.1843277293529466,6,184548.5287752965,1.1843277293529466,20,6,HCC,0
2727,124.19646935059319,0,173,0,124.19646935059319,20,7,Liver death,0
2728,0,0,3556,0,0,20,8,Natural death,0
2733,0,60.73846835697849,1501,5.744133023876602e+06,60.73846835697849,20,13,CHD,0
2734,104.19346771983162,0,563,0,104.19346771983162,20,14,CHD death,0
2739,0,65.37940230446692,3206,2.3023832544231597e+07,65.37940230446692,20,19,T2DM,0
2740,604.5376437605914,0,1654,0,604.5376437605914,20,20,T2DM death,0
2745,0,0,7782,836825.878383738,0,20,25,Overweight,0
2746,0,65.47457366440142,8657,5.842797448640853e+06,65.47457366440142,20,26,Obese,0
2859,0,0,7035,485376.2501677989,0,21,3,Steatosis,0
2860,0,233.00497804397506,2243,284281.7711306316,233.00497804397506,21,4,NASH,0
2861,0,14.298416796978549,172,257541.07185175913,14.298416796978549,21,5,Cirrhosis,0
2862,0,1.1498327469446084,6,179173.32890805486,1.1498327469446084,21,6,HCC,0
2863,141.3344944931963,0,187,0,141.3344944931963,21,7,Liver death,0
2864,0,0,3758,0,0,21,8,Natural death,0
2869,0,58.57651942087242,1491,5.53967409338742e+06,58.57651942087242,21,13,CHD,0
2870,83.44547547094459,0,585,0,83.44547547094459,21,14,CHD death,0
