Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,5499,0,0,2,3,Steatosis,0
276,0,0,731,0,0,2,4,NASH,0
277,0,0,59,0,0,2,5,Cirrhosis,0
278,0,0,6,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1435,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2158,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7591,0,0,2,25,Overweight,0
298,0,0,8349,0,0,2,26,Obese,0
411,0,0,5930,0,0,3,3,Steatosis,0
412,0,0,831,0,0,3,4,NASH,0
413,0,0,72,0,0,3,5,Cirrhosis,0
414,0,0,3,0,0,3,6,HCC,0
415,0,0,6,0,0,3,7,Liver death,0
416,0,0,240,0,0,3,8,Natural death,0
421,0,0,1480,0,0,3,13,CHD,0
422,0,0,30,0,0,3,14,CHD death,0
427,0,0,2308,0,0,3,19,T2DM,0
428,0,0,84,0,0,3,20,T2DM death,0
433,0,0,8181,0,0,3,25,Overweight,0
434,0,0,8972,0,0,3,26,Obese,0
547,0,0,6318,0,0,4,3,Steatosis,0
548,0,0,955,0,0,4,4,NASH,0
549,0,0,77,0,0,4,5,Cirrhosis,0
550,0,0,3,0,0,4,6,HCC,0
551,0,0,14,0,0,4,7,Liver death,0
552,0,0,488,0,0,4,8,Natural death,0
557,0,0,1485,0,0,4,13,CHD,0
558,0,0,63,0,0,4,14,CHD death,0
563,0,0,2456,0,0,4,19,T2DM,0
564,0,0,165,0,0,4,20,T2DM death,0
569,0,0,8176,0,0,4,25,Overweight,0
570,0,0,9650,0,0,4,26,Obese,0
683,0,0,6658,0,0,5,3,Steatosis,0
684,0,0,1090,0,0,5,4,NASH,0
685,0,0,90,0,0,5,5,Cirrhosis,0
686,0,0,3,0,0,5,6,HCC,0
687,0,0,23,0,0,5,7,Liver death,0
688,0,0,756,0,0,5,8,Natural death,0
693,0,0,1513,0,0,5,13,CHD,0
694,0,0,95,0,0,5,14,CHD death,0
699,0,0,2583,0,0,5,19,T2DM,0
700,0,0,259,0,0,5,20,T2DM death,0
705,0,0,7985,0,0,5,25,Overweight,0
706,0,0,10237,0,0,5,26,Obese,0
819,0,0,6852,0,0,6,3,Steatosis,0
820,0,0,1267,0,0,6,4,NASH,0
821,0,0,96,0,0,6,5,Cirrhosis,0
822,0,0,4,0,0,6,6,HCC,0
823,0,0,31,0,0,6,7,Liver death,0
824,0,0,1023,0,0,6,8,Natural death,0
829,0,0,1504,0,0,6,13,CHD,0
830,0,0,126,0,0,6,14,CHD death,0
835,0,0,2742,0,0,6,19,T2DM,0
836,0,0,364,0,0,6,20,T2DM death,0
841,0,0,7749,0,0,6,25,Overweight,0
842,0,0,10703,0,0,6,26,Obese,0
955,0,0,7104,478412.8793972031,0,7,3,Steatosis,0
956,0,181.2241388281298,1426,184533.05348510115,181.2241388281298,7,4,NASH,0
957,0,25.461139804191976,109,215594.81548854933,25.461139804191976,7,5,Cirrhosis,0
958,0,1.2964452282754058,4,108073.35895411987,1.2964452282754058,7,6,HCC,0
959,252.96471438799995,0,45,0,252.96471438799995,7,7,Liver death,0
960,0,0,1264,0,0,7,8,Natural death,0
965,0,74.51443354098924,1514,2.9288340988136407e+07,74.51443354098924,7,13,CHD,0
966,212.68455524400005,0,156,0,212.68455524400005,7,14,CHD death,0
971,0,72.98827918092036,2920,2.2807126092182424e+07,72.98827918092036,7,19,T2DM,0
972,1052.9594730099996,0,462,0,1052.9594730099996,7,20,T2DM death,0
977,0,0,7501,3.086628848842079e+06,0,7,25,Overweight,0
978,0,117.67075079381472,11156,1.0377172017311666e+07,117.67075079381472,7,26,Obese,0
1091,0,0,7365,481543.40187957784,0,8,3,Steatosis,0
1092,0,191.36878179333942,1551,194862.92430138195,191.36878179333942,8,4,NASH,0
1093,0,29.7088208279074,131,251562.4906831739,29.7088208279074,8,5,Cirrhosis,0
1094,0,2.832040547203556,9,236082.58023958225,2.832040547203556,8,6,HCC,0
1095,95.02385215728154,0,52,0,95.02385215728154,8,7,Liver death,0
1096,0,0,1486,0,0,8,8,Natural death,0
1101,0,72.91751137188903,1526,2.866066123808585e+07,72.91751137188903,8,13,CHD,0
1102,152.20319490582526,0,182,0,152.20319490582526,8,14,CHD death,0
1107,0,75.30344138130482,3103,2.3530560002675973e+07,75.30344138130482,8,19,T2DM,0
1108,991.2394224019429,0,571,0,991.2394224019429,8,20,T2DM death,0
1113,0,0,7254,2.898047984475111e+06,0,8,25,Overweight,0
1114,0,118.31918169090076,11554,1.0434355972670717e+07,118.31918169090076,8,26,Obese,0
1227,0,0,7568,480403.9659402649,0,9,3,Steatosis,0
1228,0,199.09166985316824,1662,202726.82214975555,199.09166985316824,9,4,NASH,0
1229,0,31.265489939693403,142,264743.7462166369,31.265489939693403,9,5,Cirrhosis,0
1230,0,2.4440479371767476,8,203739.0120729944,2.4440479371767476,9,6,HCC,0
1231,293.4035308417382,0,68,0,293.4035308417382,9,7,Liver death,0
1232,0,0,1721,0,0,9,8,Natural death,0
1237,0,71.90710062885894,1550,2.8263513290048447e+07,71.90710062885894,9,13,CHD,0
1238,201.2115915345462,0,217,0,201.2115915345462,9,14,CHD death,0
1243,0,77.20977112863817,3277,2.4126243356340572e+07,77.20977112863817,9,19,T2DM,0
1244,1092.4828846837593,0,689,0,1092.4828846837593,9,20,T2DM death,0
1249,0,0,7074,2.7438214794357503e+06,0,9,25,Overweight,0
1250,0,117.0901182268805,11777,1.0325967074836945e+07,117.0901182268805,9,26,Obese,0
1363,0,0,7686,473683.8915793406,0,10,3,Steatosis,0
1364,0,211.3195963006445,1817,215178.0144673678,211.3195963006445,10,4,NASH,0
1365,0,33.98887529339037,159,287804.29131987813,33.98887529339037,10,5,Cirrhosis,0
1366,0,2.0762543155627715,7,173079.2578290001,2.0762543155627715,10,6,HCC,0
1367,207.46479262615458,0,82,0,207.46479262615458,10,7,Liver death,0
1368,0,0,1940,0,0,10,8,Natural death,0
1373,0,71.16393297437723,1580,2.7971406826356087e+07,71.16393297437723,10,13,CHD,0
1374,176.59756447767833,0,247,0,176.59756447767833,10,14,CHD death,0
1379,0,78.09479977636141,3414,2.44027940599655e+07,78.09479977636141,10,19,T2DM,0
1380,1285.3413619202233,0,813,0,1285.3413619202233,10,20,T2DM death,0
1385,0,0,6954,2.6187151318506e+06,0,10,25,Overweight,0
1386,0,115.80331816486321,11997,1.0212486490192229e+07,115.80331816486321,10,26,Obese,0
1499,0,0,7836,468862.43484123016,0,11,3,Steatosis,0
1500,0,219.95638473405958,1948,223972.49930934684,219.95638473405958,11,4,NASH,0
1501,0,35.90447228281429,173,304024.80550979346,35.90447228281429,11,5,Cirrhosis,0
1502,0,1.4398434920684957,5,120027.22456934818,1.4398434920684957,11,6,HCC,0
1503,280.46947664052493,0,101,0,280.46947664052493,11,7,Liver death,0
1504,0,0,2151,0,0,11,8,Natural death,0
1509,0,70.92779850340354,1622,2.7878592769049913e+07,70.92779850340354,11,13,CHD,0
1510,157.4891778492609,0,265,0,157.4891778492609,11,14,CHD death,0
1515,0,79.26252848119842,3569,2.476768190375989e+07,79.26252848119842,11,19,T2DM,0
1516,1177.3712423317243,0,929,0,1177.3712423317243,11,20,T2DM death,0
1521,0,0,6806,2.4883318097814363e+06,0,11,25,Overweight,0
1522,0,114.54837479018617,12223,1.010181528954901e+07,114.54837479018617,11,26,Obese,0
1635,0,0,7878,457646.09713683755,0,12,3,Steatosis,0
1636,0,230.32254357281963,2101,234527.93058796562,230.32254357281963,12,4,NASH,0
1637,0,36.06768358843809,179,305406.8139977153,36.06768358843809,12,5,Cirrhosis,0
1638,0,1.9570688241707708,7,163143.80038552184,1.9570688241707708,12,6,HCC,0
1639,136.07394165892285,0,114,0,136.07394165892285,12,7,Liver death,0
1640,0,0,2389,0,0,12,8,Natural death,0
1645,0,69.28648986481645,1632,2.7233466653351817e+07,69.28648986481645,12,13,CHD,0
1646,238.98950882714473,0,302,0,238.98950882714473,12,14,CHD death,0
1651,0,80.01568065725827,3711,2.500302430172951e+07,80.01568065725827,12,19,T2DM,0
1652,1151.4615350032936,0,1050,0,1151.4615350032936,12,20,T2DM death,0
1657,0,0,6571,2.332440582421112e+06,0,12,25,Overweight,0
1658,0,113.35928061064953,12459,9.99695121106974e+06,113.35928061064953,12,26,Obese,0
1771,0,0,8003,451366.5578945573,0,13,3,Steatosis,0
1772,0,237.02458123809706,2227,241352.33865493865,237.02458123809706,13,4,NASH,0
1773,0,38.73407468954127,198,327984.7544152937,38.73407468954127,13,5,Cirrhosis,0
1774,0,3.2572574049998964,12,271529.21007299045,3.2572574049998964,13,6,HCC,0
1775,175.21988022483453,0,126,0,175.21988022483453,13,7,Liver death,0
1776,0,0,2612,0,0,13,8,Natural death,0
1781,0,66.97990792780666,1625,2.632685091358318e+07,66.97990792780666,13,13,CHD,0
1782,202.30915996076138,0,339,0,202.30915996076138,13,14,CHD death,0
1787,0,80.32277869307116,3837,2.5098985238250718e+07,80.32277869307116,13,19,T2DM,0
1788,1434.5792342307166,0,1197,0,1434.5792342307166,13,20,T2DM death,0
1793,0,0,6456,2.2248739903207053e+06,0,13,25,Overweight,0
1794,0,110.64940374754235,12526,9.757972041099964e+06,110.64940374754235,13,26,Obese,0
1907,0,0,8095,443257.59953569947,0,14,3,Steatosis,0
1908,0,242.72748890634998,2349,247159.37392393418,242.72748890634998,14,4,NASH,0
1909,0,41.59440206437949,219,352204.87014293147,41.59440206437949,14,5,Cirrhosis,0
1910,0,2.898853677588905,11,241652.20961188484,2.898853677588905,14,6,HCC,0
1911,275.72385266504807,0,147,0,275.72385266504807,14,7,Liver death,0
1912,0,0,2812,0,0,14,8,Natural death,0
1917,0,66.66976944449895,1666,2.620494913937581e+07,66.66976944449895,14,13,CHD,0
1918,155.13874572908838,0,362,0,155.13874572908838,14,14,CHD death,0
1923,0,81.03188389221503,3987,2.5320563988579128e+07,81.03188389221503,14,19,T2DM,0
1924,1256.2373827484028,0,1338,0,1256.2373827484028,14,20,T2DM death,0
1929,0,0,6481,2.1684364257027716e+06,0,14,25,Overweight,0
1930,0,107.88972522733803,12580,9.51460095250455e+06,107.88972522733803,14,26,Obese,0
2043,0,0,8167,434174.85507754475,0,15,3,Steatosis,0
2044,0,244.68678902513358,2439,249154.44828845284,244.68678902513358,15,4,NASH,0
2045,0,42.59567707084996,231,360683.2690651112,42.59567707084996,15,5,Cirrhosis,0
2046,0,3.3261339636942413,13,277270.8495105474,3.3261339636942413,15,6,HCC,0
2047,324.00063979282766,0,168,0,324.00063979282766,15,7,Liver death,0
2048,0,0,3035,0,0,15,8,Natural death,0
2053,0,65.07760219789127,1675,2.5579138339870725e+07,65.07760219789127,15,13,CHD,0
2054,156.64840537489815,0,392,0,156.64840537489815,15,14,CHD death,0
2059,0,81.07904352084537,4109,2.5335300266905345e+07,81.07904352084537,15,19,T2DM,0
2060,1243.5142475400723,0,1476,0,1243.5142475400723,15,20,T2DM death,0
2065,0,0,6435,2.0903355138763385e+06,0,15,25,Overweight,0
2066,0,105.31350770029056,12648,9.287408959149612e+06,105.31350770029056,15,26,Obese,0
2179,0,0,8274,427051.6500706988,0,16,3,Steatosis,0
2180,0,246.81304346029074,2534,251319.52533583713,246.81304346029074,16,4,NASH,0
2181,0,43.68236542381128,244,369884.91426842526,43.68236542381128,16,5,Cirrhosis,0
2182,0,1.9872346310346478,8,165658.46124603276,1.9872346310346478,16,6,HCC,0
2183,282.14544981879226,0,191,0,282.14544981879226,16,7,Liver death,0
2184,0,0,3260,0,0,16,8,Natural death,0
2189,0,62.99353465902066,1670,2.475998320683102e+07,62.99353465902066,16,13,CHD,0
2190,196.20745740012345,0,431,0,196.20745740012345,16,14,CHD death,0
2195,0,81.39954585129658,4249,2.5435449731251918e+07,81.39954585129658,16,19,T2DM,0
2196,1050.326356278295,0,1607,0,1050.326356278295,16,20,T2DM death,0
2201,0,0,6401,2.0187291321469801e+06,0,16,25,Overweight,0
2202,0,102.44822337204158,12673,9.034724684153508e+06,102.44822337204158,16,26,Obese,0
2315,0,0,8323,417068.6609285216,0,17,3,Steatosis,0
2316,0,248.04047976505422,2623,252569.3730147199,248.04047976505422,17,4,NASH,0
2317,0,43.45293393264703,250,367942.17956035055,43.45293393264703,17,5,Cirrhosis,0
2318,0,3.135200267409032,13,261354.36847068282,3.135200267409032,17,6,HCC,0
2319,197.8458437642994,0,206,0,197.8458437642994,17,7,Liver death,0
2320,0,0,3485,0,0,17,8,Natural death,0
2325,0,61.744723815538535,1686,2.4269130682355132e+07,61.744723815538535,17,13,CHD,0
2326,151.2578855569918,0,459,0,151.2578855569918,17,14,CHD death,0
2331,0,80.79562459654754,4344,2.5246738497591145e+07,80.79562459654754,17,19,T2DM,0
2332,1233.874041646304,0,1761,0,1233.874041646304,17,20,T2DM death,0
2337,0,0,6255,1.9152272508356492e+06,0,17,25,Overweight,0
2338,0,100.23344950039038,12771,8.839407757131163e+06,100.23344950039038,17,26,Obese,0
2451,0,0,8380,407694.12851517164,0,18,3,Steatosis,0
2452,0,248.43617818634033,2706,252972.29636926806,248.43617818634033,18,4,NASH,0
2453,0,45.56229965753253,270,385803.4504127945,45.56229965753253,18,5,Cirrhosis,0
2454,0,2.341449042127731,10,195186.23485487886,2.341449042127731,18,6,HCC,0
2455,250.41156429700024,0,229,0,250.41156429700024,18,7,Liver death,0
2456,0,0,3691,0,0,18,8,Natural death,0
2461,0,61.01299454529514,1716,2.39815201435688e+07,61.01299454529514,18,13,CHD,0
2462,123.23470230917204,0,482,0,123.23470230917204,18,14,CHD death,0
2467,0,80.75373088999707,4472,2.523364769646084e+07,80.75373088999707,18,19,T2DM,0
2468,1252.7341992538165,0,1916,0,1252.7341992538165,18,20,T2DM death,0
2473,0,0,6312,1.8763885058595645e+06,0,18,25,Overweight,0
2474,0,97.29116887402667,12768,8.57993331699492e+06,97.29116887402667,18,26,Obese,0
2587,0,0,8414,397425.4926578369,0,19,3,Steatosis,0
2588,0,247.70705127757142,2779,252229.85656117115,247.70705127757142,19,4,NASH,0
2589,0,49.64177201090418,303,420346.80142062803,49.64177201090418,19,5,Cirrhosis,0
2590,0,2.045926347490251,9,170551.07899940872,2.045926347490251,19,6,HCC,0
2591,239.65905659317238,0,251,0,239.65905659317238,19,7,Liver death,0
2592,0,0,3883,0,0,19,8,Natural death,0
2597,0,59.65015421632224,1728,2.3445847652073506e+07,59.65015421632224,19,13,CHD,0
2598,129.53796974788642,0,521,0,129.53796974788642,19,14,CHD death,0
2603,0,81.03143272781885,4622,2.532042301028182e+07,81.03143272781885,19,19,T2DM,0
2604,1029.5523110547817,0,2057,0,1029.5523110547817,19,20,T2DM death,0
2609,0,0,6327,1.8260656349707257e+06,0,19,25,Overweight,0
2610,0,94.58321121787253,12785,8.341123398433815e+06,94.58321121787253,19,26,Obese,0
2723,0,0,8459,387913.6070480165,0,20,3,Steatosis,0
2724,0,245.77117061325828,2840,250258.62925956026,245.77117061325828,20,4,NASH,0
2725,0,49.309331677978676,310,417531.8287686024,49.309331677978676,20,5,Cirrhosis,0
2726,0,2.6484483462656963,12,220778.09579211482,2.6484483462656963,20,6,HCC,0
2727,351.22671874772186,0,283,0,351.22671874772186,20,7,Liver death,0
2728,0,0,4079,0,0,20,8,Natural death,0
2733,0,57.94628541892585,1729,2.2776131894122984e+07,57.94628541892585,20,13,CHD,0
2734,151.9323764863359,0,558,0,151.9323764863359,20,14,CHD death,0
2739,0,80.98615673435539,4758,2.5306275323786207e+07,80.98615673435539,20,19,T2DM,0
2740,1245.1806210197099,0,2221,0,1245.1806210197099,20,20,T2DM death,0
2745,0,0,6333,1.7745605083265451e+06,0,20,25,Overweight,0
2746,0,91.74217031382223,12773,8.090577107445319e+06,91.74217031382223,20,26,Obese,0
2859,0,0,8532,379865.28914838005,0,21,3,Steatosis,0
2860,0,241.88951189510976,2879,246306.09655349146,241.88951189510976,21,4,NASH,0
2861,0,51.27058602282729,332,434138.95130340825,51.27058602282729,21,5,Cirrhosis,0
2862,0,1.7142060493629105,8,142898.4438783915,1.7142060493629105,21,6,HCC,0
2863,338.1219463539527,0,311,0,338.1219463539527,21,7,Liver death,0
2864,0,0,4247,0,0,21,8,Natural death,0
2869,0,57.07198426880938,1754,2.2432482630563505e+07,57.07198426880938,21,13,CHD,0
