Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,7713,0,0,2,3,Steatosis,0
276,0,0,560,0,0,2,4,NASH,0
277,0,0,67,0,0,2,5,Cirrhosis,0
278,0,0,6,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1474,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2142,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7560,0,0,2,25,Overweight,0
298,0,0,8390,0,0,2,26,Obese,0
411,0,0,7990,0,0,3,3,Steatosis,0
412,0,0,780,0,0,3,4,NASH,0
413,0,0,80,0,0,3,5,Cirrhosis,0
414,0,0,5,0,0,3,6,HCC,0
415,0,0,8,0,0,3,7,Liver death,0
416,0,0,215,0,0,3,8,Natural death,0
421,0,0,1485,0,0,3,13,CHD,0
422,0,0,37,0,0,3,14,CHD death,0
427,0,0,2225,0,0,3,19,T2DM,0
428,0,0,50,0,0,3,20,T2DM death,0
433,0,0,7939,0,0,3,25,Overweight,0
434,0,0,8455,0,0,3,26,Obese,0
547,0,0,8179,0,0,4,3,Steatosis,0
548,0,0,1032,0,0,4,4,NASH,0
549,0,0,97,0,0,4,5,Cirrhosis,0
550,0,0,3,0,0,4,6,HCC,0
551,0,0,19,0,0,4,7,Liver death,0
552,0,0,421,0,0,4,8,Natural death,0
557,0,0,1489,0,0,4,13,CHD,0
558,0,0,74,0,0,4,14,CHD death,0
563,0,0,2286,0,0,4,19,T2DM,0
564,0,0,111,0,0,4,20,T2DM death,0
569,0,0,8274,0,0,4,25,Overweight,0
570,0,0,8503,0,0,4,26,Obese,0
683,0,0,8332,0,0,5,3,Steatosis,0
684,0,0,1246,0,0,5,4,NASH,0
685,0,0,123,0,0,5,5,Cirrhosis,0
686,0,0,3,0,0,5,6,HCC,0
687,0,0,24,0,0,5,7,Liver death,0
688,0,0,645,0,0,5,8,Natural death,0
693,0,0,1469,0,0,5,13,CHD,0
694,0,0,121,0,0,5,14,CHD death,0
699,0,0,2354,0,0,5,19,T2DM,0
700,0,0,171,0,0,5,20,T2DM death,0
705,0,0,8496,0,0,5,25,Overweight,0
706,0,0,8644,0,0,5,26,Obese,0
819,0,0,8500,0,0,6,3,Steatosis,0
820,0,0,1469,0,0,6,4,NASH,0
821,0,0,150,0,0,6,5,Cirrhosis,0
822,0,0,5,0,0,6,6,HCC,0
823,0,0,32,0,0,6,7,Liver death,0
824,0,0,842,0,0,6,8,Natural death,0
829,0,0,1460,0,0,6,13,CHD,0
830,0,0,166,0,0,6,14,CHD death,0
835,0,0,2455,0,0,6,19,T2DM,0
836,0,0,239,0,0,6,20,T2DM death,0
841,0,0,8643,0,0,6,25,Overweight,0
842,0,0,8768,0,0,6,26,Obese,0
955,0,0,8612,587956.4058492045,0,7,3,Steatosis,0
956,0,237.63650730231134,1668,470274.9383517068,237.63650730231134,7,4,NASH,0
957,0,38.99518641125446,170,570635.3509829241,38.99518641125446,7,5,Cirrhosis,0
958,0,2.4376979203574525,8,236570.847191989,2.4376979203574525,7,6,HCC,0
959,200.463693672,0,44,0,200.463693672,7,7,Liver death,0
960,0,0,1017,0,0,7,8,Natural death,0
965,0,96.1990017597396,1466,2.682623642264516e+07,96.1990017597396,7,13,CHD,0
966,311.1442405649999,0,206,0,311.1442405649999,7,14,CHD death,0
971,0,64.83450879355192,2571,2.6603348460174985e+07,64.83450879355192,7,19,T2DM,0
972,781.9640304080001,0,304,0,781.9640304080001,7,20,T2DM death,0
977,0,0,8684,3.0590772841751995e+06,0,7,25,Overweight,0
978,0,116.46303930546433,8920,5.774488195770495e+06,116.46303930546433,7,26,Obese,0
1091,0,0,8756,580376.2518786998,0,8,3,Steatosis,0
1092,0,258.6553681260716,1870,511870.5820107111,258.6553681260716,8,4,NASH,0
1093,0,42.758856601718406,192,625710.9502496943,42.758856601718406,8,5,Cirrhosis,0
1094,0,2.0708598837988066,7,200970.37989610722,2.0708598837988066,8,6,HCC,0
1095,167.8172279330097,0,55,0,167.8172279330097,8,7,Liver death,0
1096,0,0,1226,0,0,8,8,Natural death,0
1101,0,94.98980888738399,1491,2.6489038600619916e+07,94.98980888738399,8,13,CHD,0
1102,224.5937101252427,0,238,0,224.5937101252427,8,14,CHD death,0
1107,0,65.54133673208985,2677,2.6893379036486346e+07,65.54133673208985,8,19,T2DM,0
1108,540.8989190291262,0,359,0,540.8989190291262,8,20,T2DM death,0
1113,0,0,8791,3.006572561209102e+06,0,8,25,Overweight,0
1114,0,114.61739751404251,9042,5.682977302685856e+06,114.61739751404251,8,26,Obese,0
1227,0,0,8832,568362.8930833566,0,9,3,Steatosis,0
1228,0,278.65110267463797,2075,551441.4919641946,278.65110267463797,9,4,NASH,0
1229,0,47.56749824220282,220,696078.1202211422,47.56749824220282,9,5,Cirrhosis,0
1230,0,2.2977640874327956,8,222990.71278347538,2.2977640874327956,9,6,HCC,0
1231,172.62556574794985,0,65,0,172.62556574794985,9,7,Liver death,0
1232,0,0,1396,0,0,9,8,Natural death,0
1237,0,93.9550049161864,1519,2.6200471198935054e+07,93.9550049161864,9,13,CHD,0
1238,220.45529019228957,0,273,0,220.45529019228957,9,14,CHD death,0
1243,0,66.55607924021753,2800,2.7309755269506007e+07,66.55607924021753,9,19,T2DM,0
1244,554.3325466490717,0,421,0,554.3325466490717,9,20,T2DM death,0
1249,0,0,8857,2.940917418257747e+06,0,9,25,Overweight,0
1250,0,113.01430018826534,9183,5.603492286327735e+06,113.01430018826534,9,26,Obese,0
1363,0,0,8900,556057.1606825865,0,10,3,Steatosis,0
1364,0,297.2626104097248,2280,588273.0619620294,297.2626104097248,10,4,NASH,0
1365,0,50.17048578943739,239,734168.8911423296,50.17048578943739,10,5,Cirrhosis,0
1366,0,1.9519840548579575,7,189433.85794712714,1.9519840548579575,10,6,HCC,0
1367,204.41095482586226,0,80,0,204.41095482586226,10,7,Liver death,0
1368,0,0,1574,0,0,10,8,Natural death,0
1373,0,92.8398458365065,1546,2.588949581901396e+07,92.8398458365065,10,13,CHD,0
1374,201.4805250552059,0,314,0,201.4805250552059,10,14,CHD death,0
1379,0,66.74070081924846,2892,2.738551048523479e+07,66.74070081924846,10,19,T2DM,0
1380,640.2793023271136,0,495,0,640.2793023271136,10,20,T2DM death,0
1385,0,0,8882,2.863318959933362e+06,0,10,25,Overweight,0
1386,0,111.1564356098956,9303,5.511375361153708e+06,111.1564356098956,10,26,Obese,0
1499,0,0,8939,542227.005491456,0,11,3,Steatosis,0
1500,0,312.90801095760474,2472,619234.8020652678,312.90801095760474,11,4,NASH,0
1501,0,51.7662728623186,254,757520.8122441937,51.7662728623186,11,5,Cirrhosis,0
1502,0,1.895130150347531,7,183916.36693895838,1.895130150347531,11,6,HCC,0
1503,327.75004002500884,0,102,0,327.75004002500884,11,7,Liver death,0
1504,0,0,1766,0,0,11,8,Natural death,0
1509,0,89.08632640336467,1528,2.4842782257659826e+07,89.08632640336467,11,13,CHD,0
1510,261.66176416246805,0,357,0,261.66176416246805,11,14,CHD death,0
1515,0,66.7460781467907,2979,2.7387716947825994e+07,66.7460781467907,11,19,T2DM,0
1516,567.213444053805,0,558,0,567.213444053805,11,20,T2DM death,0
1521,0,0,8927,2.7940055873145415e+06,0,11,25,Overweight,0
1522,0,108.53369270857303,9356,5.3813341221954245e+06,108.53369270857303,11,26,Obese,0
1635,0,0,8979,528789.6587450632,0,12,3,Steatosis,0
1636,0,323.58013355459747,2633,640354.586450924,323.58013355459747,12,4,NASH,0
1637,0,55.00735362634628,278,804949.1086456871,55.00735362634628,12,5,Cirrhosis,0
1638,0,2.8913220046911015,11,280593.6250108936,2.8913220046911015,12,6,HCC,0
1639,262.62940898927684,0,120,0,262.62940898927684,12,7,Liver death,0
1640,0,0,1964,0,0,12,8,Natural death,0
1645,0,86.15195241315656,1522,2.4024497151017644e+07,86.15195241315656,12,13,CHD,0
1646,343.91850673081166,0,418,0,343.91850673081166,12,14,CHD death,0
1651,0,66.43348835385444,3054,2.7259452920821194e+07,66.43348835385444,12,19,T2DM,0
1652,611.2034020831894,0,627,0,611.2034020831894,12,20,T2DM death,0
1657,0,0,8947,2.718704137410516e+06,0,12,25,Overweight,0
1658,0,105.99195802711596,9411,5.255309445158498e+06,105.99195802711596,12,26,Obese,0
1771,0,0,9051,517504.7280010432,0,13,3,Steatosis,0
1772,0,334.4389597135192,2803,661843.8511284945,334.4389597135192,13,4,NASH,0
1773,0,60.128873664337675,313,879894.7789554459,60.128873664337675,13,5,Cirrhosis,0
1774,0,1.5311502231373886,6,148593.270085204,1.5311502231373886,13,6,HCC,0
1775,349.12945730252216,0,147,0,349.12945730252216,13,7,Liver death,0
1776,0,0,2138,0,0,13,8,Natural death,0
1781,0,84.35709717297595,1535,2.352398040826064e+07,84.35709717297595,13,13,CHD,0
1782,333.25233732368235,0,470,0,333.25233732368235,13,14,CHD death,0
1787,0,66.568229885157,3152,2.7314741006997492e+07,66.568229885157,13,19,T2DM,0
1788,678.382192390287,0,700,0,678.382192390287,13,20,T2DM death,0
1793,0,0,8920,2.6315531165402057e+06,0,13,25,Overweight,0
1794,0,104.07480778038008,9518,5.160253008927518e+06,104.07480778038008,13,26,Obese,0
1907,0,0,9132,506928.18109516,0,14,3,Steatosis,0
1908,0,342.76897560948197,2959,678328.6823372756,342.76897560948197,14,4,NASH,0
1909,0,65.65142693584387,352,960708.9617925984,65.65142693584387,14,5,Cirrhosis,0
1910,0,1.7343125504792427,7,168309.529222723,1.7343125504792427,14,6,HCC,0
1911,274.57586676446766,0,167,0,274.57586676446766,14,7,Liver death,0
1912,0,0,2333,0,0,14,8,Natural death,0
1917,0,83.23397210072488,1560,2.3210783616511937e+07,83.23397210072488,14,13,CHD,0
1918,218.97147459261242,0,511,0,218.97147459261242,14,14,CHD death,0
1923,0,66.74128563037787,3255,2.7385750449021507e+07,66.74128563037787,14,19,T2DM,0
1924,603.2254030812402,0,774,0,603.2254030812402,14,20,T2DM death,0
1929,0,0,8930,2.5577701827140003e+06,0,14,25,Overweight,0
1930,0,101.86093805428453,9595,5.05048458216678e+06,101.86093805428453,14,26,Obese,0
2043,0,0,9176,494534.6343945731,0,15,3,Steatosis,0
2044,0,348.98044515044234,3103,690620.9790412819,348.98044515044234,15,4,NASH,0
2045,0,67.36079771660931,372,985723.0080175658,67.36079771660931,15,5,Cirrhosis,0
2046,0,2.405426560997563,10,233439.01417853395,2.405426560997563,15,6,HCC,0
2047,351.6492564957374,0,194,0,351.6492564957374,15,7,Liver death,0
2048,0,0,2513,0,0,15,8,Natural death,0
2053,0,82.67452045851913,1596,2.305477386852904e+07,82.67452045851913,15,13,CHD,0
2054,203.0677151115062,0,551,0,203.0677151115062,15,14,CHD death,0
2059,0,66.1709493789601,3324,2.7151726095042877e+07,66.1709493789601,15,19,T2DM,0
2060,649.9177697535794,0,857,0,649.9177697535794,15,20,T2DM death,0
2065,0,0,8946,2.4877213336264356e+06,0,15,25,Overweight,0
2066,0,100.02786684175571,9705,4.959596965443899e+06,100.02786684175571,15,26,Obese,0
2179,0,0,9207,481752.7762239662,0,16,3,Steatosis,0
2180,0,351.70036320303535,3221,696003.6086254957,351.70036320303535,16,4,NASH,0
2181,0,67.68427581400589,385,990456.6188713912,67.68427581400589,16,5,Cirrhosis,0
2182,0,3.2695118304821227,14,317295.7474271335,3.2695118304821227,16,6,HCC,0
2183,364.2206233931863,0,225,0,364.2206233931863,16,7,Liver death,0
2184,0,0,2689,0,0,16,8,Natural death,0
2189,0,80.56827856933114,1602,2.2467423253147304e+07,80.56827856933114,16,13,CHD,0
2190,250.9297595947891,0,594,0,250.9297595947891,16,14,CHD death,0
2195,0,66.1763609972694,3424,2.7153946628061943e+07,66.1763609972694,16,19,T2DM,0
2196,624.8663200903887,0,940,0,624.8663200903887,16,20,T2DM death,0
2201,0,0,8957,2.4182332381875003e+06,0,16,25,Overweight,0
2202,0,98.32523717502667,9826,4.87517692135912e+06,98.32523717502667,16,26,Obese,0
2315,0,0,9188,466755.9305282457,0,17,3,Steatosis,0
2316,0,359.16025311196836,3388,710766.4887354586,359.16025311196836,17,4,NASH,0
2317,0,69.29722854743753,406,1.0140597333546408e+06,69.29722854743753,17,5,Cirrhosis,0
2318,0,3.174283330565169,14,308054.1237156636,3.174283330565169,17,6,HCC,0
2319,399.21724238887373,0,261,0,399.21724238887373,17,7,Liver death,0
2320,0,0,2864,0,0,17,8,Natural death,0
2325,0,77.58687238443673,1589,2.163602265932756e+07,77.58687238443673,17,13,CHD,0
2326,248.33598453936398,0,657,0,248.33598453936398,17,14,CHD death,0
2331,0,65.63745088026741,3498,2.693281726503844e+07,65.63745088026741,17,19,T2DM,0
2332,544.0677142552887,0,1016,0,544.0677142552887,17,20,T2DM death,0
2337,0,0,8989,2.356187066151605e+06,0,17,25,Overweight,0
2338,0,95.83057229723896,9864,4.7514860665175095e+06,95.83057229723896,17,26,Obese,0
2451,0,0,9235,455479.1833194561,0,18,3,Steatosis,0
2452,0,360.9469766691616,3507,714302.3566887517,360.9469766691616,18,4,NASH,0
2453,0,74.23874501232069,448,1.0863713246517668e+06,74.23874501232069,18,5,Cirrhosis,0
2454,0,3.7422202926219037,17,363170.60354828567,3.7422202926219037,18,6,HCC,0
2455,390.21131631991705,0,294,0,390.21131631991705,18,7,Liver death,0
2456,0,0,3046,0,0,18,8,Natural death,0
2461,0,76.46478835446366,1613,2.1323116174607825e+07,76.46478835446366,18,13,CHD,0
2462,207.30574978548836,0,706,0,207.30574978548836,18,14,CHD death,0
2467,0,65.45636647093377,3593,2.6858513445490915e+07,65.45636647093377,18,19,T2DM,0
2468,688.3699320753606,0,1111,0,688.3699320753606,18,20,T2DM death,0
2473,0,0,9001,2.290614071182258e+06,0,18,25,Overweight,0
2474,0,93.30349266175541,9892,4.626188018211383e+06,93.30349266175541,18,26,Obese,0
2587,0,0,9284,444559.1368777572,0,19,3,Steatosis,0
2588,0,364.82303404811785,3651,721972.9484914461,364.82303404811785,19,4,NASH,0
2589,0,74.16795564034315,461,1.0853354296646747e+06,74.16795564034315,19,5,Cirrhosis,0
2590,0,4.915537791565038,23,477037.3433244185,4.915537791565038,19,6,HCC,0
2591,279.7276745753709,0,321,0,279.7276745753709,19,7,Liver death,0
2592,0,0,3192,0,0,19,8,Natural death,0
2597,0,74.88200281252855,1627,2.0881737590865385e+07,74.88200281252855,19,13,CHD,0
2598,210.0432415076547,0,762,0,210.0432415076547,19,14,CHD death,0
2603,0,65.15939950089569,3684,2.673665988428984e+07,65.15939950089569,19,19,T2DM,0
2604,532.2450038670968,0,1192,0,532.2450038670968,19,20,T2DM death,0
2609,0,0,8966,2.2152496283822423e+06,0,19,25,Overweight,0
2610,0,91.39177454023431,9980,4.531400918438645e+06,91.39177454023431,19,26,Obese,0
2723,0,0,9254,430216.12008826615,0,20,3,Steatosis,0
2724,0,363.60745203798933,3748,719567.3511302955,363.60745203798933,20,4,NASH,0
2725,0,75.60030017043101,484,1.1062956172897757e+06,75.60030017043101,20,5,Cirrhosis,0
2726,0,2.6974247062197336,13,261776.50752289768,2.6974247062197336,20,6,HCC,0
2727,510.3824985266303,0,369,0,510.3824985266303,20,7,Liver death,0
2728,0,0,3382,0,0,20,8,Natural death,0
2733,0,73.10313018856694,1636,2.038567779083277e+07,73.10313018856694,20,13,CHD,0
2734,192.56097802573657,0,805,0,192.56097802573657,20,14,CHD death,0
2739,0,64.1544955713414,3736,2.6324320685544502e+07,64.1544955713414,20,19,T2DM,0
2740,740.8727770075023,0,1302,0,740.8727770075023,20,20,T2DM death,0
2745,0,0,8964,2.1502480426400877e+06,0,20,25,Overweight,0
2746,0,89.01438281386052,10012,4.413524718896073e+06,89.01438281386052,20,26,Obese,0
2859,0,0,9301,419806.9302952035,0,21,3,Steatosis,0
2860,0,363.8485735363736,3863,720044.5227529497,363.8485735363736,21,4,NASH,0
2861,0,74.76319502532043,493,1.0940458543766718e+06,74.76319502532043,21,5,Cirrhosis,0
2862,0,2.4174082505329952,12,234601.7991243295,2.4174082505329952,21,6,HCC,0
2863,453.8821023498373,0,414,0,453.8821023498373,21,7,Liver death,0
2864,0,0,3558,0,0,21,8,Natural death,0
2869,0,71.45112126461078,1647,1.992499544324432e+07,71.45112126461078,21,13,CHD,0
