Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,6658,0,0,2,3,Steatosis,0
276,0,0,650,0,0,2,4,NASH,0
277,0,0,62,0,0,2,5,Cirrhosis,0
278,0,0,7,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1438,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2176,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7470,0,0,2,25,Overweight,0
298,0,0,8346,0,0,2,26,Obese,0
411,0,0,6992,0,0,3,3,Steatosis,0
412,0,0,802,0,0,3,4,NASH,0
413,0,0,71,0,0,3,5,Cirrhosis,0
414,0,0,3,0,0,3,6,HCC,0
415,0,0,9,0,0,3,7,Liver death,0
416,0,0,215,0,0,3,8,Natural death,0
421,0,0,1498,0,0,3,13,CHD,0
422,0,0,36,0,0,3,14,CHD death,0
427,0,0,2239,0,0,3,19,T2DM,0
428,0,0,85,0,0,3,20,T2DM death,0
433,0,0,7749,0,0,3,25,Overweight,0
434,0,0,8266,0,0,3,26,Obese,0
547,0,0,7313,0,0,4,3,Steatosis,0
548,0,0,932,0,0,4,4,NASH,0
549,0,0,76,0,0,4,5,Cirrhosis,0
550,0,0,6,0,0,4,6,HCC,0
551,0,0,14,0,0,4,7,Liver death,0
552,0,0,433,0,0,4,8,Natural death,0
557,0,0,1569,0,0,4,13,CHD,0
558,0,0,80,0,0,4,14,CHD death,0
563,0,0,2327,0,0,4,19,T2DM,0
564,0,0,165,0,0,4,20,T2DM death,0
569,0,0,7940,0,0,4,25,Overweight,0
570,0,0,8226,0,0,4,26,Obese,0
683,0,0,7568,0,0,5,3,Steatosis,0
684,0,0,1070,0,0,5,4,NASH,0
685,0,0,73,0,0,5,5,Cirrhosis,0
686,0,0,12,0,0,5,6,HCC,0
687,0,0,22,0,0,5,7,Liver death,0
688,0,0,654,0,0,5,8,Natural death,0
693,0,0,1580,0,0,5,13,CHD,0
694,0,0,120,0,0,5,14,CHD death,0
699,0,0,2380,0,0,5,19,T2DM,0
700,0,0,242,0,0,5,20,T2DM death,0
705,0,0,8132,0,0,5,25,Overweight,0
706,0,0,8225,0,0,5,26,Obese,0
819,0,0,7752,0,0,6,3,Steatosis,0
820,0,0,1214,0,0,6,4,NASH,0
821,0,0,85,0,0,6,5,Cirrhosis,0
822,0,0,4,0,0,6,6,HCC,0
823,0,0,37,0,0,6,7,Liver death,0
824,0,0,856,0,0,6,8,Natural death,0
829,0,0,1633,0,0,6,13,CHD,0
830,0,0,150,0,0,6,14,CHD death,0
835,0,0,2479,0,0,6,19,T2DM,0
836,0,0,323,0,0,6,20,T2DM death,0
841,0,0,8290,0,0,6,25,Overweight,0
842,0,0,8227,0,0,6,26,Obese,0
955,0,0,7964,969340.3509636364,0,7,3,Steatosis,0
956,0,196.1531306307031,1368,392771.0095579843,196.1531306307031,7,4,NASH,0
957,0,14.848485834756518,94,238603.80989476174,14.848485834756518,7,5,Cirrhosis,0
958,0,0.6726735095114011,2,68987.8845329539,0.6726735095114011,7,6,HCC,0
959,169.22668627,0,46,0,169.22668627,7,7,Liver death,0
960,0,0,1053,0,0,7,8,Natural death,0
965,0,117.35305198207594,1663,1.244785987784464e+07,117.35305198207594,7,13,CHD,0
966,295.17688977700004,0,188,0,295.17688977700004,7,14,CHD death,0
971,0,82.28704880370898,2574,1.941251720069992e+07,82.28704880370898,7,19,T2DM,0
972,831.5751865909996,0,409,0,831.5751865909996,7,20,T2DM death,0
977,0,0,8450,4.536956318716069e+06,0,7,25,Overweight,0
978,0,92.81361596949442,8138,5.327183961561478e+06,92.81361596949442,7,26,Obese,0
1091,0,0,8151,963204.9563698452,0,8,3,Steatosis,0
1092,0,206.30992703876134,1482,413108.66701082775,206.30992703876134,8,4,NASH,0
1093,0,16.409708575903192,107,263691.4651801221,16.409708575903192,8,5,Cirrhosis,0
1094,0,0.6530810771955351,2,66978.52867277079,0.6530810771955351,8,6,HCC,0
1095,145.65225717669904,0,55,0,145.65225717669904,8,7,Liver death,0
1096,0,0,1251,0,0,8,8,Natural death,0
1101,0,115.99035373296039,1693,1.2303315900723431e+07,115.99035373296039,8,13,CHD,0
1102,317.43377225825236,0,237,0,317.43377225825236,8,14,CHD death,0
1107,0,82.1871082868369,2648,1.9388940015334588e+07,82.1871082868369,8,19,T2DM,0
1108,940.4587485640777,0,505,0,940.4587485640777,8,20,T2DM death,0
1113,0,0,8626,4.496557155770516e+06,0,8,25,Overweight,0
1114,0,89.83348719546154,8113,5.156134767512142e+06,89.83348719546154,8,26,Obese,0
1227,0,0,8290,951097.6779673035,0,9,3,Steatosis,0
1228,0,215.9789731849702,1598,432469.66830661206,215.9789731849702,9,4,NASH,0
1229,0,18.01628470814166,121,289507.91476993804,18.01628470814166,9,5,Cirrhosis,0
1230,0,0.6340592982480924,2,65027.697740554155,0.6340592982480924,9,6,HCC,0
1231,73.87515838721839,0,60,0,73.87515838721839,9,7,Liver death,0
1232,0,0,1427,0,0,9,8,Natural death,0
1237,0,117.80026061686272,1771,1.2495296142414553e+07,117.80026061686272,9,13,CHD,0
1238,218.84046119992465,0,272,0,218.84046119992465,9,14,CHD death,0
1243,0,82.11358273019462,2725,1.9371594440863166e+07,82.11358273019462,9,19,T2DM,0
1244,783.5572026760299,0,594,0,783.5572026760299,9,20,T2DM death,0
1249,0,0,8796,4.4516258975643e+06,0,9,25,Overweight,0
1250,0,87.1094751136195,8103,4.999785795199371e+06,87.1094751136195,9,26,Obese,0
1363,0,0,8444,940549.3567822698,0,10,3,Steatosis,0
1364,0,225.56584985174248,1719,451666.1359582249,225.56584985174248,10,4,NASH,0
1365,0,19.515352929464203,135,313596.7944631432,19.515352929464203,10,5,Cirrhosis,0
1366,0,0.615591551697177,2,63133.68712675161,0.615591551697177,10,6,HCC,0
1367,99.8152435420741,0,66,0,99.8152435420741,10,7,Liver death,0
1368,0,0,1608,0,0,10,8,Natural death,0
1373,0,116.17739352443678,1799,1.2323155564682934e+07,116.17739352443678,10,13,CHD,0
1374,356.11361552702544,0,323,0,356.11361552702544,10,14,CHD death,0
1379,0,82.12089666825617,2807,1.937331988794808e+07,82.12089666825617,10,19,T2DM,0
1380,958.2455913361712,0,689,0,958.2455913361712,10,20,T2DM death,0
1385,0,0,8933,4.389282655282741e+06,0,10,25,Overweight,0
1386,0,84.78104913174666,8123,4.866142111384465e+06,84.78104913174666,10,26,Obese,0
1499,0,0,8528,922238.6798049847,0,11,3,Steatosis,0
1500,0,230.33433105268938,1808,461214.39638785407,230.33433105268938,11,4,NASH,0
1501,0,20.911812919742232,149,336036.83836755465,20.911812919742232,11,5,Cirrhosis,0
1502,0,1.7929851020306125,6,183884.52561189787,1.7929851020306125,11,6,HCC,0
1503,159.27108500554516,0,78,0,159.27108500554516,11,7,Liver death,0
1504,0,0,1818,0,0,11,8,Natural death,0
1509,0,115.92848272054906,1849,1.2296753125576096e+07,115.92848272054906,11,13,CHD,0
1510,187.7909927226602,0,358,0,187.7909927226602,11,14,CHD death,0
1515,0,81.77408818727488,2879,1.9291503542600982e+07,81.77408818727488,11,19,T2DM,0
1516,1068.7413151204034,0,797,0,1068.7413151204034,11,20,T2DM death,0
1521,0,0,8972,4.280044210807472e+06,0,11,25,Overweight,0
1522,0,82.20023337266208,8112,4.718012118000168e+06,82.20023337266208,11,26,Obese,0
1635,0,0,8692,912596.1543999368,0,12,3,Steatosis,0
1636,0,232.90206706558632,1883,466355.9521857298,232.90206706558632,12,4,NASH,0
1637,0,21.256550566754353,156,341576.50866839447,21.256550566754353,12,5,Cirrhosis,0
1638,0,2.3210163133082364,8,238038.22085682576,2.3210163133082364,12,6,HCC,0
1639,200.4188678956641,0,92,0,200.4188678956641,12,7,Liver death,0
1640,0,0,2007,0,0,12,8,Natural death,0
1645,0,115.04766803458908,1890,1.2203323448171133e+07,115.04766803458908,12,13,CHD,0
1646,214.3954314212338,0,394,0,214.3954314212338,12,14,CHD death,0
1651,0,81.40539235536947,2952,1.920452370454883e+07,81.40539235536947,12,19,T2DM,0
1652,831.9195776825626,0,893,0,831.9195776825626,12,20,T2DM death,0
1657,0,0,9073,4.20216088939551e+06,0,12,25,Overweight,0
1658,0,79.5207491180692,8083,4.564218890603527e+06,79.5207491180692,12,26,Obese,0
1771,0,0,8795,896514.9493503819,0,13,3,Steatosis,0
1772,0,240.5286133634994,2003,481627.1144620788,240.5286133634994,13,4,NASH,0
1773,0,21.96033976898947,166,352885.8628264465,21.96033976898947,13,5,Cirrhosis,0
1774,0,1.971737159363793,7,202216.93519390534,1.971737159363793,13,6,HCC,0
1775,102.03180144969562,0,100,0,102.03180144969562,13,7,Liver death,0
1776,0,0,2186,0,0,13,8,Natural death,0
1781,0,113.4697296072337,1920,1.2035948538802857e+07,113.4697296072337,13,13,CHD,0
1782,255.48684401830192,0,446,0,255.48684401830192,13,14,CHD death,0
1787,0,81.20298728321089,3033,1.9156773882410333e+07,81.20298728321089,13,19,T2DM,0
1788,892.0232827801706,0,1002,0,892.0232827801706,13,20,T2DM death,0
1793,0,0,9097,4.0905597008557217e+06,0,13,25,Overweight,0
1794,0,77.56756702461605,8121,4.452112921954732e+06,77.56756702461605,13,26,Obese,0
1907,0,0,8819,872778.0389698574,0,14,3,Steatosis,0
1908,0,249.4952874561179,2140,499581.70751099277,249.4952874561179,14,4,NASH,0
1909,0,22.990413022863038,179,369438.3521226701,22.990413022863038,14,5,Cirrhosis,0
1910,0,1.9143079217124206,7,196327.12154748096,1.9143079217124206,14,6,HCC,0
1911,188.59668362240623,0,114,0,188.59668362240623,14,7,Liver death,0
1912,0,0,2373,0,0,14,8,Natural death,0
1917,0,112.40250824260922,1959,1.1922746352910403e+07,112.40250824260922,14,13,CHD,0
1918,282.5458846098455,0,495,0,282.5458846098455,14,14,CHD death,0
1923,0,80.60540000615592,3101,1.90157957641834e+07,80.60540000615592,14,19,T2DM,0
1924,947.9351753907305,0,1104,0,947.9351753907305,14,20,T2DM death,0
1929,0,0,9224,4.026860736195704e+06,0,14,25,Overweight,0
1930,0,75.15994499871796,8105,4.313923656209084e+06,75.15994499871796,14,26,Obese,0
2043,0,0,8886,853794.8905865959,0,15,3,Steatosis,0
2044,0,256.7168641459352,2268,514041.97107106337,256.7168641459352,15,4,NASH,0
2045,0,23.941852255734133,192,384727.2528478177,23.941852255734133,15,5,Cirrhosis,0
2046,0,2.1240587203466528,8,217838.69242438933,2.1240587203466528,15,6,HCC,0
2047,230.009848765006,0,132,0,230.009848765006,15,7,Liver death,0
2048,0,0,2538,0,0,15,8,Natural death,0
2053,0,111.30119462015978,1998,1.1805927936838876e+07,111.30119462015978,15,13,CHD,0
2054,186.00178637223644,0,532,0,186.00178637223644,15,14,CHD death,0
2059,0,80.68035172483076,3197,1.90334777876515e+07,80.68035172483076,15,19,T2DM,0
2060,817.6496146723141,0,1207,0,817.6496146723141,15,20,T2DM death,0
2065,0,0,9325,3.952382173670534e+06,0,15,25,Overweight,0
2066,0,73.25892233064312,8137,4.204811460092407e+06,73.25892233064312,15,26,Obese,0
2179,0,0,8978,837509.2627090251,0,16,3,Steatosis,0
2180,0,261.4379119378176,2379,523495.2522979345,261.4379119378176,16,4,NASH,0
2181,0,24.091973093098023,199,387139.5798782144,24.091973093098023,16,5,Cirrhosis,0
2182,0,2.3199670489223143,9,237930.6106577068,2.3199670489223143,16,6,HCC,0
2183,249.55400978152898,0,151,0,249.55400978152898,16,7,Liver death,0
2184,0,0,2716,0,0,16,8,Natural death,0
2189,0,111.89936133663585,2069,1.186937661025982e+07,111.89936133663585,16,13,CHD,0
2190,157.38170124354252,0,567,0,157.38170124354252,16,14,CHD death,0
2195,0,79.94751987698731,3263,1.886059382768104e+07,79.94751987698731,16,19,T2DM,0
2196,774.8946582269108,0,1316,0,774.8946582269108,16,20,T2DM death,0
2201,0,0,9407,3.8710074814757183e+06,0,16,25,Overweight,0
2202,0,71.55347420551777,8186,4.106924573513962e+06,71.55347420551777,16,26,Obese,0
2315,0,0,8986,813840.3297277912,0,17,3,Steatosis,0
2316,0,266.19963119235695,2495,533029.9728136718,266.19963119235695,17,4,NASH,0
2317,0,24.330577305319387,207,390973.76706245093,24.330577305319387,17,5,Cirrhosis,0
2318,0,1.7518629279888027,7,179667.1277889911,1.7518629279888027,17,6,HCC,0
2319,186.19901500279644,0,165,0,186.19901500279644,17,7,Liver death,0
2320,0,0,2894,0,0,17,8,Natural death,0
2325,0,110.68798945958005,2108,1.1740884107246274e+07,110.68798945958005,17,13,CHD,0
2326,211.60288154891427,0,614,0,211.60288154891427,17,14,CHD death,0
2331,0,78.66560590593456,3307,1.855817470614686e+07,78.66560590593456,17,19,T2DM,0
2332,993.2735935746728,0,1437,0,993.2735935746728,17,20,T2DM death,0
2337,0,0,9387,3.7502693437983706e+06,0,17,25,Overweight,0
2338,0,69.7324697798987,8217,4.002405150702975e+06,69.7324697798987,17,26,Obese,0
2451,0,0,9015,792686.2036191818,0,18,3,Steatosis,0
2452,0,268.5976394271219,2593,537831.6709168671,268.5976394271219,18,4,NASH,0
2453,0,24.420728593116426,214,392422.42930146033,24.420728593116426,18,5,Cirrhosis,0
2454,0,1.4578609664261881,6,149514.94684243368,1.4578609664261881,18,6,HCC,0
2455,209.39823846190265,0,183,0,209.39823846190265,18,7,Liver death,0
2456,0,0,3085,0,0,18,8,Natural death,0
2461,0,109.14637968763384,2141,1.1577362646973614e+07,109.14637968763384,18,13,CHD,0
2462,231.9202582067915,0,667,0,231.9202582067915,18,14,CHD death,0
2467,0,77.7600603266569,3367,1.8344545473002296e+07,77.7600603266569,18,19,T2DM,0
2468,635.5611711556883,0,1534,0,635.5611711556883,18,20,T2DM death,0
2473,0,0,9442,3.662371648472597e+06,0,18,25,Overweight,0
2474,0,67.38009854775926,8178,3.867387091460501e+06,67.38009854775926,18,26,Obese,0
2587,0,0,9146,780781.5472919109,0,19,3,Steatosis,0
2588,0,264.09317135966234,2626,528812.0622841006,264.09317135966234,19,4,NASH,0
2589,0,25.26053043839274,228,405917.40259837173,25.26053043839274,19,5,Cirrhosis,0
2590,0,1.6512988292853261,7,169353.49965971455,1.6512988292853261,19,6,HCC,0
2591,180.5321607884518,0,201,0,180.5321607884518,19,7,Liver death,0
2592,0,0,3247,0,0,19,8,Natural death,0
2597,0,107.35320013897736,2169,1.1387156705325222e+07,107.35320013897736,19,13,CHD,0
2598,191.7436822199024,0,711,0,191.7436822199024,19,14,CHD death,0
2603,0,77.10959526165905,3439,1.819109284046289e+07,77.10959526165905,19,19,T2DM,0
2604,756.1246426128868,0,1646,0,756.1246426128868,19,20,T2DM death,0
2609,0,0,9484,3.5715171331277303e+06,0,19,25,Overweight,0
2610,0,65.58555489782907,8199,3.7643864266295377e+06,65.58555489782907,19,26,Obese,0
2723,0,0,9184,761189.8596796824,0,20,3,Steatosis,0
2724,0,264.1146520337368,2705,528855.0745267906,264.1146520337368,20,4,NASH,0
2725,0,24.8474813969882,231,399280.0204404039,24.8474813969882,20,5,Cirrhosis,0
2726,0,2.977376529918064,13,305353.0507040622,2.977376529918064,20,6,HCC,0
2727,165.32998866968668,0,218,0,165.32998866968668,20,7,Liver death,0
2728,0,0,3428,0,0,20,8,Natural death,0
2733,0,106.43683425667692,2215,1.1289956045377426e+07,106.43683425667692,20,13,CHD,0
2734,226.7866384001708,0,759,0,226.7866384001708,20,14,CHD death,0
2739,0,76.12628830068208,3497,1.7959118750116687e+07,76.12628830068208,20,19,T2DM,0
2740,788.4945351179314,0,1762,0,788.4945351179314,20,20,T2DM death,0
2745,0,0,9508,3.4762671215052633e+06,0,20,25,Overweight,0
2746,0,64.02477623694195,8244,3.6748030722577106e+06,64.02477623694195,20,26,Obese,0
2859,0,0,9156,736766.173677692,0,21,3,Steatosis,0
2860,0,259.17106353221556,2734,518956.18461181945,259.17106353221556,21,4,NASH,0
2861,0,26.10797440107212,250,419535.1788765648,26.10797440107212,21,5,Cirrhosis,0
2862,0,1.3341493039214627,6,136827.3565514842,1.3341493039214627,21,6,HCC,0
2863,216.66263985721045,0,239,0,216.66263985721045,21,7,Liver death,0
2864,0,0,3632,0,0,21,8,Natural death,0
2869,0,103.89657011533734,2227,1.1020505429903947e+07,103.89657011533734,21,13,CHD,0
