Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,6024,0,0,2,3,Steatosis,0
276,0,0,727,0,0,2,4,NASH,0
277,0,0,77,0,0,2,5,Cirrhosis,0
278,0,0,5,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1511,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2099,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7482,0,0,2,25,Overweight,0
298,0,0,8316,0,0,2,26,Obese,0
411,0,0,6355,0,0,3,3,Steatosis,0
412,0,0,868,0,0,3,4,NASH,0
413,0,0,84,0,0,3,5,Cirrhosis,0
414,0,0,4,0,0,3,6,HCC,0
415,0,0,4,0,0,3,7,Liver death,0
416,0,0,275,0,0,3,8,Natural death,0
421,0,0,1546,0,0,3,13,CHD,0
422,0,0,46,0,0,3,14,CHD death,0
427,0,0,2293,0,0,3,19,T2DM,0
428,0,0,62,0,0,3,20,T2DM death,0
433,0,0,7976,0,0,3,25,Overweight,0
434,0,0,8285,0,0,3,26,Obese,0
547,0,0,6711,0,0,4,3,Steatosis,0
548,0,0,952,0,0,4,4,NASH,0
549,0,0,96,0,0,4,5,Cirrhosis,0
550,0,0,2,0,0,4,6,HCC,0
551,0,0,11,0,0,4,7,Liver death,0
552,0,0,503,0,0,4,8,Natural death,0
557,0,0,1626,0,0,4,13,CHD,0
558,0,0,77,0,0,4,14,CHD death,0
563,0,0,2539,0,0,4,19,T2DM,0
564,0,0,133,0,0,4,20,T2DM death,0
569,0,0,8346,0,0,4,25,Overweight,0
570,0,0,8268,0,0,4,26,Obese,0
683,0,0,7024,0,0,5,3,Steatosis,0
684,0,0,1084,0,0,5,4,NASH,0
685,0,0,109,0,0,5,5,Cirrhosis,0
686,0,0,4,0,0,5,6,HCC,0
687,0,0,16,0,0,5,7,Liver death,0
688,0,0,719,0,0,5,8,Natural death,0
693,0,0,1687,0,0,5,13,CHD,0
694,0,0,114,0,0,5,14,CHD death,0
699,0,0,2789,0,0,5,19,T2DM,0
700,0,0,210,0,0,5,20,T2DM death,0
705,0,0,8678,0,0,5,25,Overweight,0
706,0,0,8249,0,0,5,26,Obese,0
819,0,0,7264,0,0,6,3,Steatosis,0
820,0,0,1221,0,0,6,4,NASH,0
821,0,0,115,0,0,6,5,Cirrhosis,0
822,0,0,3,0,0,6,6,HCC,0
823,0,0,24,0,0,6,7,Liver death,0
824,0,0,944,0,0,6,8,Natural death,0
829,0,0,1757,0,0,6,13,CHD,0
830,0,0,154,0,0,6,14,CHD death,0
835,0,0,3028,0,0,6,19,T2DM,0
836,0,0,293,0,0,6,20,T2DM death,0
841,0,0,8933,0,0,6,25,Overweight,0
842,0,0,8269,0,0,6,26,Obese,0
955,0,0,7431,937281.6280418201,0,7,3,Steatosis,0
956,0,229.2700777958307,1363,358571.97186432953,229.2700777958307,7,4,NASH,0
957,0,33.753321016187485,134,212297.73769965296,33.753321016187485,7,5,Cirrhosis,0
958,0,1.1767723230652176,4,228615.24734775175,1.1767723230652176,7,6,HCC,0
959,176.462873582,0,35,0,176.462873582,7,7,Liver death,0
960,0,0,1145,0,0,7,8,Natural death,0
965,0,124.44937120522187,1843,2.7261730531788185e+07,124.44937120522187,7,13,CHD,0
966,287.59925159,0,189,0,287.59925159,7,14,CHD death,0
971,0,104.40566102374217,3245,3.0581056601404134e+07,104.40566102374217,7,19,T2DM,0
972,875.2362135959995,0,376,0,875.2362135959995,7,20,T2DM death,0
977,0,0,9157,2.926946803239619e+06,0,7,25,Overweight,0
978,0,79.06566691675019,8287,1.0525131457520343e+07,79.06566691675019,7,26,Obese,0
1091,0,0,7659,937902.4878947994,0,8,3,Steatosis,0
1092,0,242.67950879671525,1486,379543.94588634727,242.67950879671525,8,4,NASH,0
1093,0,33.99298377952518,139,213805.14085097663,33.99298377952518,8,5,Cirrhosis,0
1094,0,1.42812175129274,5,277445.68852882495,1.42812175129274,8,6,HCC,0
1095,213.32859896116506,0,48,0,213.32859896116506,8,7,Liver death,0
1096,0,0,1336,0,0,8,8,Natural death,0
1101,0,124.69259387781449,1902,2.731501059978273e+07,124.69259387781449,8,13,CHD,0
1102,315.9372771747573,0,229,0,315.9372771747573,8,14,CHD death,0
1107,0,108.58051302782376,3476,3.180389628449779e+07,108.58051302782376,8,19,T2DM,0
1108,884.7840377883498,0,464,0,884.7840377883498,8,20,T2DM death,0
1113,0,0,9353,2.902520693564893e+06,0,8,25,Overweight,0
1114,0,76.66089001290779,8276,1.020501029714756e+07,76.66089001290779,8,26,Obese,0
1227,0,0,7854,933768.6534055457,0,9,3,Steatosis,0
1228,0,256.6988492871243,1619,401469.80124527164,256.6988492871243,9,4,NASH,0
1229,0,33.71518961159872,142,212057.90319786654,33.71518961159872,9,5,Cirrhosis,0
1230,0,2.7730519442577473,10,538729.4922889805,2.7730519442577473,9,6,HCC,0
1231,246.650783184089,0,62,0,246.650783184089,9,7,Liver death,0
1232,0,0,1516,0,0,9,8,Natural death,0
1237,0,125.96175884566982,1979,2.7593032360912655e+07,125.96175884566982,9,13,CHD,0
1238,326.62373144877006,0,276,0,326.62373144877006,9,14,CHD death,0
1243,0,111.21050344470444,3667,3.2574236561176654e+07,111.21050344470444,9,19,T2DM,0
1244,1158.9246827099626,0,573,0,1158.9246827099626,9,20,T2DM death,0
1249,0,0,9412,2.835757466098455e+06,0,9,25,Overweight,0
1250,0,75.03059559021412,8343,9.987987361877218e+06,75.03059559021412,9,26,Obese,0
1363,0,0,7969,919845.7281042472,0,10,3,Steatosis,0
1364,0,269.695655325425,1752,421796.4413978229,269.695655325425,10,4,NASH,0
1365,0,35.96041008757955,156,226179.63147044534,35.96041008757955,10,5,Cirrhosis,0
1366,0,1.6153700646161635,6,313823.0052168818,1.6153700646161635,10,6,HCC,0
1367,173.78236093461587,0,76,0,173.78236093461587,10,7,Liver death,0
1368,0,0,1718,0,0,10,8,Natural death,0
1373,0,125.50632722006173,2031,2.749326605327625e+07,125.50632722006173,10,13,CHD,0
1374,330.38640995600906,0,323,0,330.38640995600906,10,14,CHD death,0
1379,0,113.97795050435109,3871,3.338483872913107e+07,113.97795050435109,10,19,T2DM,0
1380,1016.882442615585,0,680,0,1016.882442615585,10,20,T2DM death,0
1385,0,0,9526,2.786509436626237e+06,0,10,25,Overweight,0
1386,0,72.89762623892966,8349,9.70404891308347e+06,72.89762623892966,10,26,Obese,0
1499,0,0,8078,905269.3010204366,0,11,3,Steatosis,0
1500,0,282.3154081381261,1889,441533.3808798126,282.3154081381261,11,4,NASH,0
1501,0,35.808225130773636,160,225222.43611694776,35.808225130773636,11,5,Cirrhosis,0
1502,0,1.306933709236378,5,253902.10778064874,1.306933709236378,11,6,HCC,0
1503,193.36383352077002,0,92,0,193.36383352077002,11,7,Liver death,0
1504,0,0,1913,0,0,11,8,Natural death,0
1509,0,125.87049973358837,2098,2.7573041248881765e+07,125.87049973358837,11,13,CHD,0
1510,343.46561900479475,0,369,0,343.46561900479475,11,14,CHD death,0
1515,0,117.23309122561629,4101,3.433828935303018e+07,117.23309122561629,11,19,T2DM,0
1516,946.9559466504761,0,787,0,946.9559466504761,11,20,T2DM death,0
1521,0,0,9604,2.7275006807493777e+06,0,11,25,Overweight,0
1522,0,70.994796161962,8375,9.450746342168072e+06,70.994796161962,11,26,Obese,0
1635,0,0,8163,888150.4006123586,0,12,3,Steatosis,0
1636,0,288.89276064442004,1991,451820.1757397926,288.89276064442004,12,4,NASH,0
1637,0,41.71832054070725,192,262395.07120421145,41.71832054070725,12,5,Cirrhosis,0
1638,0,1.5226412146443242,6,295808.2809094937,1.5226412146443242,12,6,HCC,0
1639,128.73135583154652,0,101,0,128.73135583154652,12,7,Liver death,0
1640,0,0,2091,0,0,12,8,Natural death,0
1645,0,125.11677021469754,2148,2.740793016122557e+07,125.11677021469754,12,13,CHD,0
1646,274.8379416406655,0,416,0,274.8379416406655,12,14,CHD death,0
1651,0,119.34155114195285,4300,3.4955870156711444e+07,119.34155114195285,12,19,T2DM,0
1652,1205.8621602334235,0,909,0,1205.8621602334235,12,20,T2DM death,0
1657,0,0,9670,2.666256735951708e+06,0,12,25,Overweight,0
1658,0,69.09981841193598,8396,9.198489064058851e+06,69.09981841193598,12,26,Obese,0
1771,0,0,8229,869253.7184285433,0,13,3,Steatosis,0
1772,0,297.80580378805763,2114,465759.9252529287,297.80580378805763,13,4,NASH,0
1773,0,44.300401059610444,210,278635.5428442773,44.300401059610444,13,5,Cirrhosis,0
1774,0,2.4638207356704274,10,478654.1762289542,2.4638207356704274,13,6,HCC,0
1775,187.05015806615097,0,113,0,187.05015806615097,13,7,Liver death,0
1776,0,0,2262,0,0,13,8,Natural death,0
1781,0,126.10981431306284,2230,2.7625465214664076e+07,126.10981431306284,13,13,CHD,0
1782,221.5674460323561,0,454,0,221.5674460323561,13,14,CHD death,0
1787,0,120.85049827762813,4485,3.539785000063669e+07,120.85049827762813,13,19,T2DM,0
1788,1097.8996639165723,0,1030,0,1097.8996639165723,13,20,T2DM death,0
1793,0,0,9852,2.6373190392264696e+06,0,13,25,Overweight,0
1794,0,66.75959689909736,8355,8.886961443755278e+06,66.75959689909736,13,26,Obese,0
1907,0,0,8311,852345.2641275182,0,14,3,Steatosis,0
1908,0,306.7751825080135,2243,479787.7820274937,306.7751825080135,14,4,NASH,0
1909,0,44.64857804435972,218,280825.4662045892,44.64857804435972,14,5,Cirrhosis,0
1910,0,2.392058966670318,10,464712.79245529533,2.392058966670318,14,6,HCC,0
1911,175.12911060647093,0,127,0,175.12911060647093,14,7,Liver death,0
1912,0,0,2412,0,0,14,8,Natural death,0
1917,0,128.42128768263106,2339,2.8131813808653418e+07,128.42128768263106,14,13,CHD,0
1918,165.22109066347426,0,486,0,165.22109066347426,14,14,CHD death,0
1923,0,122.32726779583636,4676,3.58304048236323e+07,122.32726779583636,14,19,T2DM,0
1924,923.2155226924464,0,1138,0,923.2155226924464,14,20,T2DM death,0
1929,0,0,10012,2.602087420102301e+06,0,14,25,Overweight,0
1930,0,64.85393085663722,8360,8.633281352341078e+06,64.85393085663722,14,26,Obese,0
2043,0,0,8351,831502.4421638572,0,15,3,Steatosis,0
2044,0,310.8530540543677,2341,486165.4587633862,310.8530540543677,15,4,NASH,0
2045,0,45.535425189981304,229,286403.4548893327,45.535425189981304,15,5,Cirrhosis,0
2046,0,2.786864815538234,12,541412.9620838392,2.786864815538234,15,6,HCC,0
2047,197.17381914672188,0,145,0,197.17381914672188,15,7,Liver death,0
2048,0,0,2574,0,0,15,8,Natural death,0
2053,0,128.03908940162077,2402,2.8048089909966093e+07,128.03908940162077,15,13,CHD,0
2054,280.6830951213495,0,538,0,280.6830951213495,15,14,CHD death,0
2059,0,123.20911078210534,4851,3.6088702027170494e+07,123.20911078210534,15,19,T2DM,0
2060,1210.1137995213983,0,1281,0,1210.1137995213983,15,20,T2DM death,0
2065,0,0,10043,2.534120604797827e+06,0,15,25,Overweight,0
2066,0,63.17586891175593,8388,8.40989965896727e+06,63.17586891175593,15,26,Obese,0
2179,0,0,8425,814437.4402263802,0,16,3,Steatosis,0
2180,0,312.6282669350671,2425,488941.8419234981,312.6282669350671,16,4,NASH,0
2181,0,47.491052684679545,246,298703.73469612835,47.491052684679545,16,5,Cirrhosis,0
2182,0,1.57832149747311,7,306625.4639633393,1.57832149747311,16,6,HCC,0
2183,296.7219484169493,0,168,0,296.7219484169493,16,7,Liver death,0
2184,0,0,2725,0,0,16,8,Natural death,0
2189,0,130.31309956640743,2518,2.8546231859085284e+07,130.31309956640743,16,13,CHD,0
2190,200.10025860262334,0,571,0,200.10025860262334,16,14,CHD death,0
2195,0,123.71387919089887,5017,3.6236551780998304e+07,123.71387919089887,16,19,T2DM,0
2196,996.7884532521228,0,1409,0,996.7884532521228,16,20,T2DM death,0
2201,0,0,10033,2.457861489568692e+06,0,16,25,Overweight,0
2202,0,61.81109628540411,8453,8.228222682571928e+06,61.81109628540411,16,26,Obese,0
2315,0,0,8488,796628.7335589364,0,17,3,Steatosis,0
2316,0,317.9164440056402,2540,497212.40255653084,317.9164440056402,17,4,NASH,0
2317,0,46.85753876063585,250,294719.1320310671,46.85753876063585,17,5,Cirrhosis,0
2318,0,1.7512582496234228,8,340222.4288081434,1.7512582496234228,17,6,HCC,0
2319,300.56940409427625,0,194,0,300.56940409427625,17,7,Liver death,0
2320,0,0,2858,0,0,17,8,Natural death,0
2325,0,130.73817449193285,2602,2.8639348264281914e+07,130.73817449193285,17,13,CHD,0
2326,281.70701679055753,0,625,0,281.70701679055753,17,14,CHD death,0
2331,0,123.65378799866741,5165,3.6218950703307636e+07,123.65378799866741,17,19,T2DM,0
2332,952.7149318939503,0,1528,0,952.7149318939503,17,20,T2DM death,0
2337,0,0,10151,2.4143386998257497e+06,0,17,25,Overweight,0
2338,0,59.833289438609356,8428,7.964939289516518e+06,59.833289438609356,17,26,Obese,0
2451,0,0,8535,777708.5915611103,0,18,3,Steatosis,0
2452,0,318.4997323365099,2621,498124.6491479225,318.4997323365099,18,4,NASH,0
2453,0,46.76655324847944,257,294146.8618717839,46.76655324847944,18,5,Cirrhosis,0
2454,0,2.3378447507108797,11,454180.4268069876,2.3378447507108797,18,6,HCC,0
2455,195.64025203506202,0,210,0,195.64025203506202,18,7,Liver death,0
2456,0,0,3022,0,0,18,8,Natural death,0
2461,0,129.6620477898011,2658,2.8403613234946933e+07,129.6620477898011,18,13,CHD,0
2462,214.423946675038,0,674,0,214.423946675038,18,14,CHD death,0
2467,0,123.28305558229438,5304,3.6110360911356546e+07,123.28305558229438,18,19,T2DM,0
2468,1248.6646326638513,0,1693,0,1248.6646326638513,18,20,T2DM death,0
2473,0,0,10180,2.3507146901429137e+06,0,18,25,Overweight,0
2474,0,58.014754010540514,8417,7.722857926175267e+06,58.014754010540514,18,26,Obese,0
2587,0,0,8525,754172.2255087225,0,19,3,Steatosis,0
2588,0,321.96477648653325,2729,503543.8810224654,321.96477648653325,19,4,NASH,0
2589,0,48.40782588524587,274,304469.9488227453,48.40782588524587,19,5,Cirrhosis,0
2590,0,2.6824344006391394,13,521124.9380839222,2.6824344006391394,19,6,HCC,0
2591,204.5511693374601,0,227,0,204.5511693374601,19,7,Liver death,0
2592,0,0,3172,0,0,19,8,Natural death,0
2597,0,128.96394695319958,2723,2.8250688099954244e+07,128.96394695319958,19,13,CHD,0
2598,200.341227506837,0,719,0,200.341227506837,19,14,CHD death,0
2603,0,122.58078861951158,5432,3.590466262328129e+07,122.58078861951158,19,19,T2DM,0
2604,991.4651401532717,0,1849,0,991.4651401532717,19,20,T2DM death,0
2609,0,0,10236,2.2948018738725884e+06,0,19,25,Overweight,0
2610,0,56.030564049196755,8373,7.458724820187736e+06,56.030564049196755,19,26,Obese,0
2723,0,0,8544,733837.9403521485,0,20,3,Steatosis,0
2724,0,321.9796670438751,2811,503567.1694365128,321.9796670438751,20,4,NASH,0
2725,0,49.39924121235486,288,310705.6383705992,49.39924121235486,20,5,Cirrhosis,0
2726,0,3.405629933597116,17,661622.4008533743,3.405629933597116,20,6,HCC,0
2727,179.07241584254817,0,243,0,179.07241584254817,20,7,Liver death,0
2728,0,0,3309,0,0,20,8,Natural death,0
2733,0,127.23090295879751,2767,2.7871049553629372e+07,127.23090295879751,20,13,CHD,0
2734,253.29288221360838,0,774,0,253.29288221360838,20,14,CHD death,0
2739,0,120.96038827236245,5521,3.5430037452121995e+07,120.96038827236245,20,19,T2DM,0
2740,1316.3860653518184,0,2034,0,1316.3860653518184,20,20,T2DM death,0
2745,0,0,10211,2.2225214960064543e+06,0,20,25,Overweight,0
2746,0,54.26866772449558,8353,7.2241831897291e+06,54.26866772449558,20,26,Obese,0
2859,0,0,8583,715716.1378269512,0,21,3,Steatosis,0
2860,0,319.38521817894025,2872,499509.5241722479,319.38521817894025,21,4,NASH,0
2861,0,49.7922502780947,299,313177.54137273843,49.7922502780947,21,5,Cirrhosis,0
2862,0,3.3064368287350634,17,642351.845488713,3.3064368287350634,21,6,HCC,0
2863,200.22757270416517,0,266,0,200.22757270416517,21,7,Liver death,0
2864,0,0,3440,0,0,21,8,Natural death,0
2869,0,127.09652973977674,2847,2.7841613916857675e+07,127.09652973977674,21,13,CHD,0
2870,292.0356131807736,0,835,0,292.0356131807736,21,14,CHD death,0
