Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,5955,0,0,2,3,Steatosis,0
276,0,0,704,0,0,2,4,NASH,0
277,0,0,84,0,0,2,5,Cirrhosis,0
278,0,0,9,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1445,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2135,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7543,0,0,2,25,Overweight,0
298,0,0,8329,0,0,2,26,Obese,0
411,0,0,6363,0,0,3,3,Steatosis,0
412,0,0,860,0,0,3,4,NASH,0
413,0,0,100,0,0,3,5,Cirrhosis,0
414,0,0,3,0,0,3,6,HCC,0
415,0,0,14,0,0,3,7,Liver death,0
416,0,0,143,0,0,3,8,Natural death,0
421,0,0,1474,0,0,3,13,CHD,0
422,0,0,51,0,0,3,14,CHD death,0
427,0,0,2289,0,0,3,19,T2DM,0
428,0,0,81,0,0,3,20,T2DM death,0
433,0,0,7640,0,0,3,25,Overweight,0
434,0,0,8319,0,0,3,26,Obese,0
547,0,0,6761,0,0,4,3,Steatosis,0
548,0,0,1023,0,0,4,4,NASH,0
549,0,0,116,0,0,4,5,Cirrhosis,0
550,0,0,4,0,0,4,6,HCC,0
551,0,0,25,0,0,4,7,Liver death,0
552,0,0,305,0,0,4,8,Natural death,0
557,0,0,1480,0,0,4,13,CHD,0
558,0,0,99,0,0,4,14,CHD death,0
563,0,0,2414,0,0,4,19,T2DM,0
564,0,0,171,0,0,4,20,T2DM death,0
569,0,0,7628,0,0,4,25,Overweight,0
570,0,0,8350,0,0,4,26,Obese,0
683,0,0,7054,0,0,5,3,Steatosis,0
684,0,0,1193,0,0,5,4,NASH,0
685,0,0,132,0,0,5,5,Cirrhosis,0
686,0,0,4,0,0,5,6,HCC,0
687,0,0,33,0,0,5,7,Liver death,0
688,0,0,468,0,0,5,8,Natural death,0
693,0,0,1513,0,0,5,13,CHD,0
694,0,0,151,0,0,5,14,CHD death,0
699,0,0,2567,0,0,5,19,T2DM,0
700,0,0,262,0,0,5,20,T2DM death,0
705,0,0,7536,0,0,5,25,Overweight,0
706,0,0,8348,0,0,5,26,Obese,0
819,0,0,7352,0,0,6,3,Steatosis,0
820,0,0,1361,0,0,6,4,NASH,0
821,0,0,146,0,0,6,5,Cirrhosis,0
822,0,0,2,0,0,6,6,HCC,0
823,0,0,43,0,0,6,7,Liver death,0
824,0,0,619,0,0,6,8,Natural death,0
829,0,0,1542,0,0,6,13,CHD,0
830,0,0,191,0,0,6,14,CHD death,0
835,0,0,2754,0,0,6,19,T2DM,0
836,0,0,339,0,0,6,20,T2DM death,0
841,0,0,7539,0,0,6,25,Overweight,0
842,0,0,8427,0,0,6,26,Obese,0
955,0,0,7511,899176.1873181002,0,7,3,Steatosis,0
956,0,327.24273520985037,1546,420788.7156978808,327.24273520985037,7,4,NASH,0
957,0,41.90217557405494,163,544400.197937334,41.90217557405494,7,5,Cirrhosis,0
958,0,0.8601044640388108,4,104709.39606507296,0.8601044640388108,7,6,HCC,0
959,294.758800611,0,59,0,294.758800611,7,7,Liver death,0
960,0,0,767,0,0,7,8,Natural death,0
965,0,77.6521092775386,1557,1.823486917342832e+07,77.6521092775386,7,13,CHD,0
966,363.0473579970001,0,244,0,363.0473579970001,7,14,CHD death,0
971,0,126.53443181709966,2910,2.0275497308313668e+07,126.53443181709966,7,19,T2DM,0
972,1113.8315862709994,0,445,0,1113.8315862709994,7,20,T2DM death,0
977,0,0,7491,1.5076759977236679e+06,0,7,25,Overweight,0
978,0,153.21567426866935,8472,9.076644021785691e+06,153.21567426866935,7,26,Obese,0
1091,0,0,7699,894837.4056127358,0,8,3,Steatosis,0
1092,0,350.7977674946907,1707,451077.2163028191,350.7977674946907,8,4,NASH,0
1093,0,46.42208980150213,186,603123.6929915088,46.42208980150213,8,5,Cirrhosis,0
1094,0,0.8350528777075833,4,101659.60783016792,0.8350528777075833,8,6,HCC,0
1095,275.5066218038835,0,74,0,275.5066218038835,8,7,Liver death,0
1096,0,0,925,0,0,8,8,Natural death,0
1101,0,75.82618000051623,1566,1.780609033153691e+07,75.82618000051623,8,13,CHD,0
1102,352.2192933834952,0,302,0,352.2192933834952,8,14,CHD death,0
1107,0,131.20775834501652,3108,2.1024337114814468e+07,131.20775834501652,8,19,T2DM,0
1108,885.0036824087381,0,531,0,885.0036824087381,8,20,T2DM death,0
1113,0,0,7491,1.463763104586224e+06,0,8,25,Overweight,0
1114,0,149.56075907626843,8518,8.860123327739298e+06,149.56075907626843,8,26,Obese,0
1227,0,0,7820,882428.1191343279,0,9,3,Steatosis,0
1228,0,373.10208974756114,1870,479757.47748354217,373.10208974756114,9,4,NASH,0
1229,0,50.40084914245964,208,654816.4116412661,50.40084914245964,9,5,Cirrhosis,0
1230,0,0.8107309492306634,4,98698.6483788038,0.8107309492306634,9,6,HCC,0
1231,295.32053535677255,0,90,0,295.32053535677255,9,7,Liver death,0
1232,0,0,1085,0,0,9,8,Natural death,0
1237,0,74.46383037658053,1584,1.7486172850968756e+07,74.46383037658053,9,13,CHD,0
1238,247.54673688566314,0,346,0,247.54673688566314,9,14,CHD death,0
1243,0,133.45218139576664,3256,2.138397672334445e+07,133.45218139576664,9,19,T2DM,0
1244,1142.4742288368368,0,644,0,1142.4742288368368,9,20,T2DM death,0
1249,0,0,7529,1.428338266687633e+06,0,9,25,Overweight,0
1250,0,144.84663771646248,8497,8.580854240798032e+06,144.84663771646248,9,26,Obese,0
1363,0,0,7933,869106.1342701578,0,10,3,Steatosis,0
1364,0,386.6423192649274,1996,497168.3324111305,386.6423192649274,10,4,NASH,0
1365,0,54.578962850311285,232,709099.17616119,54.578962850311285,10,5,Cirrhosis,0
1366,0,0.5903380698281531,3,71867.94784864355,0.5903380698281531,10,6,HCC,0
1367,287.1891150140886,0,109,0,287.1891150140886,10,7,Liver death,0
1368,0,0,1213,0,0,10,8,Natural death,0
1373,0,73.07087405174433,1601,1.715906806805998e+07,73.07087405174433,10,13,CHD,0
1374,318.2116627657228,0,397,0,318.2116627657228,10,14,CHD death,0
1379,0,137.3646055014865,3452,2.201089181108154e+07,137.3646055014865,10,19,T2DM,0
1380,946.2229492700372,0,745,0,946.2229492700372,10,20,T2DM death,0
1385,0,0,7522,1.3854468794477142e+06,0,10,25,Overweight,0
1386,0,141.63737122267185,8558,8.390734204618601e+06,141.63737122267185,10,26,Obese,0
1499,0,0,8095,861023.4692390126,0,11,3,Steatosis,0
1500,0,401.8982801861777,2137,516785.37967321574,401.8982801861777,11,4,NASH,0
1501,0,57.32892398488462,251,744827.1393390534,57.32892398488462,11,5,Cirrhosis,0
1502,0,1.3373354332676606,7,162807.64884805982,1.3373354332676606,11,6,HCC,0
1503,165.86198162500386,0,123,0,165.86198162500386,11,7,Liver death,0
1504,0,0,1380,0,0,11,8,Natural death,0
1509,0,71.38571044636105,1611,1.676334491042901e+07,71.38571044636105,11,13,CHD,0
1510,239.49671606035673,0,441,0,239.49671606035673,11,14,CHD death,0
1515,0,140.93590907462723,3648,2.258314676923494e+07,140.93590907462723,11,19,T2DM,0
1516,1051.3131283494806,0,861,0,1051.3131283494806,11,20,T2DM death,0
1521,0,0,7493,1.3399082390945642e+06,0,11,25,Overweight,0
1522,0,137.78517100158865,8575,8.162526155575004e+06,137.78517100158865,11,26,Obese,0
1635,0,0,8166,843277.0618091719,0,12,3,Steatosis,0
1636,0,419.22414204991026,2296,539064.0321155188,419.22414204991026,12,4,NASH,0
1637,0,62.31163748792255,281,809563.4013626014,62.31163748792255,12,5,Cirrhosis,0
1638,0,1.298383915793845,7,158065.67849326198,1.298383915793845,12,6,HCC,0
1639,249.79634007847315,0,139,0,249.79634007847315,12,7,Liver death,0
1640,0,0,1537,0,0,12,8,Natural death,0
1645,0,71.15640956185874,1654,1.6709498702397427e+07,71.15640956185874,12,13,CHD,0
1646,221.57509084131155,0,480,0,221.57509084131155,12,14,CHD death,0
1651,0,142.45725351979488,3798,2.282692243377193e+07,142.45725351979488,12,19,T2DM,0
1652,1013.339154253352,0,976,0,1013.339154253352,12,20,T2DM death,0
1657,0,0,7482,1.2989720431504964e+06,0,12,25,Overweight,0
1658,0,133.8656120880326,8581,7.93032771275681e+06,133.8656120880326,12,26,Obese,0
1771,0,0,8321,834255.7503779317,0,13,3,Steatosis,0
1772,0,430.4134742131116,2428,553451.9594974808,430.4134742131116,13,4,NASH,0
1773,0,66.95546162714328,311,869896.7550833246,66.95546162714328,13,5,Cirrhosis,0
1774,0,1.8008098693395906,10,219231.17682837998,1.8008098693395906,13,6,HCC,0
1775,279.99125759972964,0,161,0,279.99125759972964,13,7,Liver death,0
1776,0,0,1679,0,0,13,8,Natural death,0
1781,0,69.54333825647642,1665,1.63307048165028e+07,69.54333825647642,13,13,CHD,0
1782,276.5999024741867,0,529,0,276.5999024741867,13,14,CHD death,0
1787,0,144.1345750270752,3958,2.3095691394262426e+07,144.1345750270752,13,19,T2DM,0
1788,896.879666285195,0,1075,0,896.879666285195,13,20,T2DM death,0
1793,0,0,7548,1.2722626188546747e+06,0,13,25,Overweight,0
1794,0,130.37555186314006,8608,7.723573185669692e+06,130.37555186314006,13,26,Obese,0
1907,0,0,8319,809762.361389129,0,14,3,Steatosis,0
1908,0,443.69329366191516,2578,570527.9632381396,443.69329366191516,14,4,NASH,0
1909,0,69.3947281247819,332,901588.120649537,69.3947281247819,14,5,Cirrhosis,0
1910,0,1.5735231868015842,9,191561.2224714,1.5735231868015842,14,6,HCC,0
1911,401.161480066542,0,192,0,401.161480066542,14,7,Liver death,0
1912,0,0,1834,0,0,14,8,Natural death,0
1917,0,66.90953562680468,1650,1.5712214902609147e+07,66.90953562680468,14,13,CHD,0
1918,260.2252135347539,0,585,0,260.2252135347539,14,14,CHD death,0
1923,0,144.0377013643801,4074,2.3080168649517663e+07,144.0377013643801,14,19,T2DM,0
1924,1176.8163558520741,0,1220,0,1176.8163558520741,14,20,T2DM death,0
1929,0,0,7563,1.237661128827121e+06,0,14,25,Overweight,0
1930,0,126.44586323754135,8599,7.49077464895675e+06,126.44586323754135,14,26,Obese,0
2043,0,0,8414,795154.910181009,0,15,3,Steatosis,0
2044,0,446.81128113611487,2674,574537.2621581156,446.81128113611487,15,4,NASH,0
2045,0,73.05562675436181,360,949151.1388286079,73.05562675436181,15,5,Cirrhosis,0
2046,0,1.8671796175639077,11,227311.05147631068,1.8671796175639077,15,6,HCC,0
2047,370.0059998374557,0,219,0,370.0059998374557,15,7,Liver death,0
2048,0,0,1971,0,0,15,8,Natural death,0
2053,0,66.25992848479669,1683,1.5559669126855547e+07,66.25992848479669,15,13,CHD,0
2054,254.49790940109233,0,636,0,254.49790940109233,15,14,CHD death,0
2059,0,143.7212194815088,4187,2.3029456543157667e+07,143.7212194815088,15,19,T2DM,0
2060,1216.0757618774462,0,1368,0,1216.0757618774462,15,20,T2DM death,0
2065,0,0,7580,1.2043137138662213e+06,0,15,25,Overweight,0
2066,0,122.96284395959978,8613,7.284437234344715e+06,122.96284395959978,15,26,Obese,0
2179,0,0,8474,777500.1337198863,0,16,3,Steatosis,0
2180,0,449.695692903701,2772,578246.2151542786,449.695692903701,16,4,NASH,0
2181,0,75.45929084930064,383,980379.951918444,75.45929084930064,16,5,Cirrhosis,0
2182,0,3.29599226401396,20,401255.1658893391,3.29599226401396,16,6,HCC,0
2183,183.06828656685505,0,236,0,183.06828656685505,16,7,Liver death,0
2184,0,0,2130,0,0,16,8,Natural death,0
2189,0,63.75667625001575,1668,1.4971836066892054e+07,63.75667625001575,16,13,CHD,0
2190,209.269268145638,0,677,0,209.269268145638,16,14,CHD death,0
2195,0,143.90084559494565,4318,2.3058239292062826e+07,143.90084559494565,16,19,T2DM,0
2196,1118.3984823503029,0,1515,0,1118.3984823503029,16,20,T2DM death,0
2201,0,0,7593,1.1712419024751957e+06,0,16,25,Overweight,0
2202,0,119.8942443349504,8650,7.102650438890002e+06,119.8942443349504,16,26,Obese,0
2315,0,0,8450,752716.6054401029,0,17,3,Steatosis,0
2316,0,462.4282192119806,2936,594618.4759148066,462.4282192119806,17,4,NASH,0
2317,0,76.51326101984863,400,994073.3117883209,76.51326101984863,17,5,Cirrhosis,0
2318,0,3.359992113800638,21,409046.5283337925,3.359992113800638,17,6,HCC,0
2319,387.78704853075834,0,268,0,387.78704853075834,17,7,Liver death,0
2320,0,0,2261,0,0,17,8,Natural death,0
2325,0,62.34500715933355,1680,1.464033700750771e+07,62.34500715933355,17,13,CHD,0
2326,224.94478211623277,0,725,0,224.94478211623277,17,14,CHD death,0
2331,0,141.90970936279348,4386,2.273918560259974e+07,141.90970936279348,17,19,T2DM,0
2332,1170.4895259961766,0,1674,0,1170.4895259961766,17,20,T2DM death,0
2337,0,0,7590,1.1366787805051096e+06,0,17,25,Overweight,0
2338,0,116.34835136876869,8646,6.892588326465883e+06,116.34835136876869,17,26,Obese,0
2451,0,0,8489,734165.7107577932,0,18,3,Steatosis,0
2452,0,465.47429277044796,3044,598535.3035252914,465.47429277044796,18,4,NASH,0
2453,0,78.3703790057677,422,1.018201304792903e+06,78.3703790057677,18,5,Cirrhosis,0
2454,0,2.640770500906651,17,321488.2562031655,2.640770500906651,18,6,HCC,0
2455,436.49001612407204,0,311,0,436.49001612407204,18,7,Liver death,0
2456,0,0,2382,0,0,18,8,Natural death,0
2461,0,60.92545486964418,1691,1.4306986754331755e+07,60.92545486964418,18,13,CHD,0
2462,148.96135396548675,0,763,0,148.96135396548675,18,14,CHD death,0
2467,0,141.45171115080515,4503,2.2665797344710965e+07,141.45171115080515,18,19,T2DM,0
2468,1131.2614257505943,0,1820,0,1131.2614257505943,18,20,T2DM death,0
2473,0,0,7642,1.1111323331186895e+06,0,18,25,Overweight,0
2474,0,112.97262938647505,8647,6.6926073069264265e+06,112.97262938647505,18,26,Obese,0
2587,0,0,8434,708164.1466948669,0,19,3,Steatosis,0
2588,0,469.88062992567717,3165,604201.2412313496,469.88062992567717,19,4,NASH,0
2589,0,80.95591996868808,449,1.0517930931118936e+06,80.95591996868808,19,5,Cirrhosis,0
2590,0,2.262224872278684,15,275403.98875199794,2.262224872278684,19,6,HCC,0
2591,321.8414953800777,0,343,0,321.8414953800777,19,7,Liver death,0
2592,0,0,2506,0,0,19,8,Natural death,0
2597,0,60.09538301921467,1718,1.4112062859307602e+07,60.09538301921467,19,13,CHD,0
2598,217.1669712969233,0,812,0,217.1669712969233,19,14,CHD death,0
2603,0,138.97864157751178,4557,2.226952010414822e+07,138.97864157751178,19,19,T2DM,0
2604,1295.1294166047762,0,2000,0,1295.1294166047762,19,20,T2DM death,0
2609,0,0,7615,1.0749578487686643e+06,0,19,25,Overweight,0
2610,0,109.64411119816587,8644,6.495422685578991e+06,109.64411119816587,19,26,Obese,0
2723,0,0,8476,690961.8381661038,0,20,3,Steatosis,0
2724,0,465.13130347710825,3227,598094.266922352,465.13130347710825,20,4,NASH,0
2725,0,85.42497663571554,488,1.109855838083756e+06,85.42497663571554,20,5,Cirrhosis,0
2726,0,1.1713785746426844,8,142604.00712077555,1.1713785746426844,20,6,HCC,0
2727,434.1666994695312,0,384,0,434.1666994695312,20,7,Liver death,0
2728,0,0,2645,0,0,20,8,Natural death,0
2733,0,59.36386265220298,1748,1.3940281586213766e+07,59.36386265220298,20,13,CHD,0
2734,186.13639084971243,0,865,0,186.13639084971243,20,14,CHD death,0
2739,0,137.86206544181238,4656,2.2090603297796894e+07,137.86206544181238,20,19,T2DM,0
2740,1040.88194051557,0,2152,0,1040.88194051557,20,20,T2DM death,0
2745,0,0,7634,1.0462523784174774e+06,0,20,25,Overweight,0
2746,0,106.65994787197775,8661,6.318637977720186e+06,106.65994787197775,20,26,Obese,0
2859,0,0,8459,669491.2636302854,0,21,3,Steatosis,0
2860,0,464.5981351352845,3320,597408.6864719526,464.5981351352845,21,4,NASH,0
2861,0,86.84578040118292,511,1.1283151624638084e+06,86.84578040118292,21,5,Cirrhosis,0
2862,0,1.7058911281204143,12,207675.7385254013,1.7058911281204143,21,6,HCC,0
2863,552.8800618754079,0,432,0,552.8800618754079,21,7,Liver death,0
2864,0,0,2785,0,0,21,8,Natural death,0
2869,0,59.580158079434426,1807,1.3991073752132095e+07,59.580158079434426,21,13,CHD,0
