Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,4652,0,0,2,3,Steatosis,0
276,0,0,694,0,0,2,4,NASH,0
277,0,0,70,0,0,2,5,Cirrhosis,0
278,0,0,2,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1456,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2141,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7453,0,0,2,25,Overweight,0
298,0,0,8414,0,0,2,26,Obese,0
411,0,0,5103,0,0,3,3,Steatosis,0
412,0,0,800,0,0,3,4,NASH,0
413,0,0,75,0,0,3,5,Cirrhosis,0
414,0,0,4,0,0,3,6,HCC,0
415,0,0,5,0,0,3,7,Liver death,0
416,0,0,257,0,0,3,8,Natural death,0
421,0,0,1477,0,0,3,13,CHD,0
422,0,0,36,0,0,3,14,CHD death,0
427,0,0,2217,0,0,3,19,T2DM,0
428,0,0,45,0,0,3,20,T2DM death,0
433,0,0,8098,0,0,3,25,Overweight,0
434,0,0,8550,0,0,3,26,Obese,0
547,0,0,5517,0,0,4,3,Steatosis,0
548,0,0,880,0,0,4,4,NASH,0
549,0,0,86,0,0,4,5,Cirrhosis,0
550,0,0,3,0,0,4,6,HCC,0
551,0,0,14,0,0,4,7,Liver death,0
552,0,0,503,0,0,4,8,Natural death,0
557,0,0,1487,0,0,4,13,CHD,0
558,0,0,78,0,0,4,14,CHD death,0
563,0,0,2272,0,0,4,19,T2DM,0
564,0,0,86,0,0,4,20,T2DM death,0
569,0,0,8465,0,0,4,25,Overweight,0
570,0,0,8697,0,0,4,26,Obese,0
683,0,0,5857,0,0,5,3,Steatosis,0
684,0,0,1010,0,0,5,4,NASH,0
685,0,0,104,0,0,5,5,Cirrhosis,0
686,0,0,1,0,0,5,6,HCC,0
687,0,0,21,0,0,5,7,Liver death,0
688,0,0,724,0,0,5,8,Natural death,0
693,0,0,1525,0,0,5,13,CHD,0
694,0,0,111,0,0,5,14,CHD death,0
699,0,0,2354,0,0,5,19,T2DM,0
700,0,0,122,0,0,5,20,T2DM death,0
705,0,0,8729,0,0,5,25,Overweight,0
706,0,0,8867,0,0,5,26,Obese,0
819,0,0,6193,0,0,6,3,Steatosis,0
820,0,0,1152,0,0,6,4,NASH,0
821,0,0,113,0,0,6,5,Cirrhosis,0
822,0,0,1,0,0,6,6,HCC,0
823,0,0,26,0,0,6,7,Liver death,0
824,0,0,967,0,0,6,8,Natural death,0
829,0,0,1553,0,0,6,13,CHD,0
830,0,0,152,0,0,6,14,CHD death,0
835,0,0,2438,0,0,6,19,T2DM,0
836,0,0,166,0,0,6,20,T2DM death,0
841,0,0,8959,0,0,6,25,Overweight,0
842,0,0,8994,0,0,6,26,Obese,0
955,0,0,6494,1.2210168936306043e+06,0,7,3,Steatosis,0
956,0,205.4078544953139,1278,320106.69199488236,205.4078544953139,7,4,NASH,0
957,0,22.846054170807868,128,337489.3427807587,22.846054170807868,7,5,Cirrhosis,0
958,0,0.7714557306935701,3,89374.69745265962,0.7714557306935701,7,6,HCC,0
959,137.377357517,0,36,0,137.377357517,7,7,Liver death,0
960,0,0,1190,0,0,7,8,Natural death,0
965,0,101.17998681998135,1556,1.9970796591383953e+07,101.17998681998135,7,13,CHD,0
966,258.335291715,0,192,0,258.335291715,7,14,CHD death,0
971,0,101.54027240062544,2529,1.2160504545472031e+07,101.54027240062544,7,19,T2DM,0
972,369.738152796,0,206,0,369.738152796,7,20,T2DM death,0
977,0,0,9085,4.499345705632936e+06,0,7,25,Overweight,0
978,0,104.58533123839865,9149,9.677853398555206e+06,104.58533123839865,7,26,Obese,0
1091,0,0,6708,1.2245181246429335e+06,0,8,3,Steatosis,0
1092,0,222.36366945912758,1425,346530.55904455937,222.36366945912758,8,4,NASH,0
1093,0,23.566924812119748,136,348138.2783539371,23.566924812119748,8,5,Cirrhosis,0
1094,0,0.49932409753629137,2,57847.70061660816,0.49932409753629137,8,6,HCC,0
1095,164.8016729339806,0,46,0,164.8016729339806,8,7,Liver death,0
1096,0,0,1381,0,0,8,8,Natural death,0
1101,0,101.64211120134475,1610,2.0062010202989638e+07,101.64211120134475,8,13,CHD,0
1102,186.64016225825245,0,225,0,186.64016225825245,8,14,CHD death,0
1107,0,102.59782521141537,2632,1.228715750255639e+07,102.59782521141537,8,19,T2DM,0
1108,428.1117450796115,0,257,0,428.1117450796115,8,20,T2DM death,0
1113,0,0,9182,4.414936844487802e+06,0,8,25,Overweight,0
1114,0,103.38148903597393,9315,9.566455287442222e+06,103.38148903597393,8,26,Obese,0
1227,0,0,6940,1.2299696905913225e+06,0,9,3,Steatosis,0
1228,0,234.97601862108942,1551,366185.58819833875,234.97601862108942,9,4,NASH,0
1229,0,26.077051298390614,155,385218.68321573624,26.077051298390614,9,5,Cirrhosis,0
1230,0,0.48478067721970036,2,56162.81613262928,0.48478067721970036,9,6,HCC,0
1231,237.60497433782638,0,60,0,237.60497433782638,9,7,Liver death,0
1232,0,0,1627,0,0,9,8,Natural death,0
1237,0,99.4784698062977,1623,1.9634952999730673e+07,99.4784698062977,9,13,CHD,0
1238,227.44805421151852,0,261,0,227.44805421151852,9,14,CHD death,0
1243,0,103.20486814689748,2727,1.2359857212747427e+07,103.20486814689748,9,19,T2DM,0
1244,517.6904114120089,0,309,0,517.6904114120089,9,20,T2DM death,0
1249,0,0,9191,4.290547836066402e+06,0,9,25,Overweight,0
1250,0,101.48021655649909,9418,9.390520133735757e+06,101.48021655649909,9,26,Obese,0
1363,0,0,7155,1.231139746534781e+06,0,10,3,Steatosis,0
1364,0,247.547551119099,1683,385777.0088435249,247.547551119099,10,4,NASH,0
1365,0,28.094286397263946,172,415017.9361923368,28.094286397263946,10,5,Cirrhosis,0
1366,0,0.705991277504418,3,81790.50893101352,0.705991277504418,10,6,HCC,0
1367,211.2282017676876,0,74,0,211.2282017676876,10,7,Liver death,0
1368,0,0,1820,0,0,10,8,Natural death,0
1373,0,97.47365453087318,1638,1.9239244724535454e+07,97.47365453087318,10,13,CHD,0
1374,238.09190004456744,0,304,0,238.09190004456744,10,14,CHD death,0
1379,0,102.95464646865089,2802,1.2329890562237475e+07,102.95464646865089,10,19,T2DM,0
1380,357.75499591206216,0,358,0,357.75499591206216,10,20,T2DM death,0
1385,0,0,9207,4.1728320049969167e+06,0,10,25,Overweight,0
1386,0,100.76319935511764,9632,9.32417060577598e+06,100.76319935511764,10,26,Obese,0
1499,0,0,7396,1.2355416560315301e+06,0,11,3,Steatosis,0
1500,0,260.1870435589538,1822,405474.33796152327,260.1870435589538,11,4,NASH,0
1501,0,30.447634840114553,192,449782.3648054228,30.447634840114553,11,5,Cirrhosis,0
1502,0,1.3708568495231417,6,158816.52219614276,1.3708568495231417,11,6,HCC,0
1503,179.7733339128638,0,85,0,179.7733339128638,11,7,Liver death,0
1504,0,0,2043,0,0,11,8,Natural death,0
1509,0,95.9634293394644,1661,1.8941158106294166e+07,95.9634293394644,11,13,CHD,0
1510,176.70766114838318,0,345,0,176.70766114838318,11,14,CHD death,0
1515,0,103.16654455810213,2892,1.2355267564080715e+07,103.16654455810213,11,19,T2DM,0
1516,461.34139640719445,0,409,0,461.34139640719445,11,20,T2DM death,0
1521,0,0,9214,4.0543733708343813e+06,0,11,25,Overweight,0
1522,0,99.02682741514117,9750,9.163494601965783e+06,99.02682741514117,11,26,Obese,0
1635,0,0,7546,1.2238834605445694e+06,0,12,3,Steatosis,0
1636,0,270.63245821142755,1952,421752.4259593314,270.63245821142755,12,4,NASH,0
1637,0,31.716286291785917,206,468523.2966723145,31.716286291785917,12,5,Cirrhosis,0
1638,0,2.6618579602391104,12,308381.5964973646,2.6618579602391104,12,6,HCC,0
1639,257.08545499558403,0,104,0,257.08545499558403,12,7,Liver death,0
1640,0,0,2263,0,0,12,8,Natural death,0
1645,0,95.07549711565933,1695,1.8765899002337746e+07,95.07549711565933,12,13,CHD,0
1646,157.7827547894124,0,372,0,157.7827547894124,12,14,CHD death,0
1651,0,103.48656324766444,2988,1.2393593133207593e+07,103.48656324766444,12,19,T2DM,0
1652,417.5788851478504,0,463,0,417.5788851478504,12,20,T2DM death,0
1657,0,0,9269,3.95978120823712e+06,0,12,25,Overweight,0
1658,0,97.34556537141543,9872,9.007918218630824e+06,97.34556537141543,12,26,Obese,0
1771,0,0,7634,1.2020933533613028e+06,0,13,3,Steatosis,0
1772,0,280.7870980368778,2086,437577.3717527387,280.7870980368778,13,4,NASH,0
1773,0,32.73572767414996,219,483582.8163410199,32.73572767414996,13,5,Cirrhosis,0
1774,0,1.722885411158,8,199599.73883324565,1.722885411158,13,6,HCC,0
1775,261.8997648763409,0,127,0,261.8997648763409,13,7,Liver death,0
1776,0,0,2454,0,0,13,8,Natural death,0
1781,0,92.41522387678312,1697,1.8240817141774204e+07,92.41522387678312,13,13,CHD,0
1782,219.33275339472482,0,413,0,219.33275339472482,13,14,CHD death,0
1787,0,103.33054186327018,3073,1.237490794841134e+07,103.33054186327018,13,19,T2DM,0
1788,462.26827500062865,0,519,0,462.26827500062865,13,20,T2DM death,0
1793,0,0,9305,3.859379279992284e+06,0,13,25,Overweight,0
1794,0,95.66865930082801,9993,8.85274491734733e+06,95.66865930082801,13,26,Obese,0
1907,0,0,7729,1.181604463441288e+06,0,14,3,Steatosis,0
1908,0,294.30253692162654,2252,458639.77193642413,294.30253692162654,14,4,NASH,0
1909,0,31.927384352143434,220,471641.70587854617,31.927384352143434,14,5,Cirrhosis,0
1910,0,1.2545282120082528,6,145339.615655276,1.2545282120082528,14,6,HCC,0
1911,349.86996050229163,0,152,0,349.86996050229163,14,7,Liver death,0
1912,0,0,2660,0,0,14,8,Natural death,0
1917,0,90.25223676142475,1707,1.781388907953371e+07,90.25223676142475,14,13,CHD,0
1918,182.93239936217154,0,444,0,182.93239936217154,14,14,CHD death,0
1923,0,102.96523401019233,3154,1.2331158530543342e+07,102.96523401019233,14,19,T2DM,0
1924,525.469214673282,0,582,0,525.469214673282,14,20,T2DM death,0
1929,0,0,9312,3.7497889594057505e+06,0,14,25,Overweight,0
1930,0,93.89531859262156,10102,8.688647990975758e+06,93.89531859262156,14,26,Obese,0
2043,0,0,7832,1.162476734034428e+06,0,15,3,Steatosis,0
2044,0,302.98610864511676,2388,472172.21170576615,302.98610864511676,15,4,NASH,0
2045,0,34.37900168545005,244,507857.7945029336,34.37900168545005,15,5,Cirrhosis,0
2046,0,1.4209866479057878,7,164624.16012733526,1.4209866479057878,15,6,HCC,0
2047,177.27383860535446,0,167,0,177.27383860535446,15,7,Liver death,0
2048,0,0,2871,0,0,15,8,Natural death,0
2053,0,89.47147876258944,1743,1.7659783908422403e+07,89.47147876258944,15,13,CHD,0
2054,158.31290045966537,0,482,0,158.31290045966537,15,14,CHD death,0
2059,0,103.00897320497941,3250,1.233639675439537e+07,103.00897320497941,15,19,T2DM,0
2060,536.902880071169,0,650,0,536.902880071169,15,20,T2DM death,0
2065,0,0,9357,3.6581647746681557e+06,0,15,25,Overweight,0
2066,0,92.16216809771045,10213,8.528270085116118e+06,92.16216809771045,15,26,Obese,0
2179,0,0,7902,1.138705429596766e+06,0,16,3,Steatosis,0
2180,0,313.1314697174597,2542,487982.69753136946,313.1314697174597,16,4,NASH,0
2181,0,34.8824026332555,255,515294.19703266444,34.8824026332555,16,5,Cirrhosis,0
2182,0,1.1825131605318622,6,136996.5271517353,1.1825131605318622,16,6,HCC,0
2183,277.08923030818084,0,190,0,277.08923030818084,16,7,Liver death,0
2184,0,0,3088,0,0,16,8,Natural death,0
2189,0,88.21110651192039,1770,1.741101299395028e+07,88.21110651192039,16,13,CHD,0
2190,233.09519286365273,0,523,0,233.09519286365273,16,14,CHD death,0
2195,0,102.43969284521918,3329,1.2268219505716048e+07,102.43969284521918,16,19,T2DM,0
2196,456.71647693672026,0,710,0,456.71647693672026,16,20,T2DM death,0
2201,0,0,9322,3.538331411658153e+06,0,16,25,Overweight,0
2202,0,90.58174057260862,10339,8.382024471955347e+06,90.58174057260862,16,26,Obese,0
2315,0,0,8032,1.1237270655973915e+06,0,17,3,Steatosis,0
2316,0,319.7977091749926,2674,498371.3356194277,319.7977091749926,17,4,NASH,0
2317,0,35.061695393791986,264,517942.76800541684,35.061695393791986,17,5,Cirrhosis,0
2318,0,2.6788324024993644,14,310348.11976121267,2.6788324024993644,17,6,HCC,0
2319,237.8137697607174,0,208,0,237.8137697607174,17,7,Liver death,0
2320,0,0,3317,0,0,17,8,Natural death,0
2325,0,85.93216234170643,1776,1.6961197453378294e+07,85.93216234170643,17,13,CHD,0
2326,233.59524212675345,0,565,0,233.59524212675345,17,14,CHD death,0
2331,0,101.9954420475399,3414,1.221501584851853e+07,101.9954420475399,17,19,T2DM,0
2332,377.0255955584698,0,763,0,377.0255955584698,17,20,T2DM death,0
2337,0,0,9313,3.4319566030011796e+06,0,17,25,Overweight,0
2338,0,89.05772222579193,10470,8.240998708945062e+06,89.05772222579193,17,26,Obese,0
2451,0,0,8156,1.1078402345728837e+06,0,18,3,Steatosis,0
2452,0,319.8882764547043,2755,498512.4752675646,319.8882764547043,18,4,NASH,0
2453,0,35.58777555415778,276,525714.195239393,35.58777555415778,18,5,Cirrhosis,0
2454,0,2.7865801690353993,15,322830.91514689254,2.7865801690353993,18,6,HCC,0
2455,222.60357485598573,0,230,0,222.60357485598573,18,7,Liver death,0
2456,0,0,3523,0,0,18,8,Natural death,0
2461,0,85.02646606232533,1810,1.678243209930517e+07,85.02646606232533,18,13,CHD,0
2462,142.14696324619064,0,601,0,142.14696324619064,18,14,CHD death,0
2467,0,101.5481775807298,3501,1.2161451273075415e+07,101.5481775807298,18,19,T2DM,0
2468,531.0421907479326,0,831,0,531.0421907479326,18,20,T2DM death,0
2473,0,0,9335,3.339867842010659e+06,0,18,25,Overweight,0
2474,0,86.94278610113807,10528,8.045292088148843e+06,86.94278610113807,18,26,Obese,0
2587,0,0,8204,1.081903046471958e+06,0,19,3,Steatosis,0
2588,0,322.85871187999504,2864,503141.5886971287,322.85871187999504,19,4,NASH,0
2589,0,36.053466158707764,288,532593.5283134388,36.053466158707764,19,5,Cirrhosis,0
2590,0,1.623250583904116,9,188056.84377488884,1.623250583904116,19,6,HCC,0
2591,423.5071111921618,0,268,0,423.5071111921618,19,7,Liver death,0
2592,0,0,3744,0,0,19,8,Natural death,0
2597,0,83.00604421682533,1820,1.6383643416153755e+07,83.00604421682533,19,13,CHD,0
2598,193.72229517809646,0,640,0,193.72229517809646,19,14,CHD death,0
2603,0,100.64619170487852,3574,1.2053429075734135e+07,100.64619170487852,19,19,T2DM,0
2604,430.2561197003733,0,899,0,430.2561197003733,19,20,T2DM death,0
2609,0,0,9253,3.214106753695492e+06,0,19,25,Overweight,0
2610,0,85.5810578949384,10674,7.919283920536038e+06,85.5810578949384,19,26,Obese,0
2723,0,0,8287,1.0610181330102917e+06,0,20,3,Steatosis,0
2724,0,319.36517643389817,2918,497697.278508648,319.36517643389817,20,4,NASH,0
2725,0,37.312614990301995,307,551194.0843858758,37.312614990301995,20,5,Cirrhosis,0
2726,0,1.4008635028298735,8,162292.85331166242,1.4008635028298735,20,6,HCC,0
2727,302.73989263554176,0,302,0,302.73989263554176,20,7,Liver death,0
2728,0,0,3969,0,0,20,8,Natural death,0
2733,0,80.98690647208842,1829,1.5985108187424114e+07,80.98690647208842,20,13,CHD,0
2734,166.56277340960585,0,681,0,166.56277340960585,20,14,CHD death,0
2739,0,98.97240968256915,3620,1.1852976256283477e+07,98.97240968256915,20,19,T2DM,0
2740,471.3248866825069,0,974,0,471.3248866825069,20,20,T2DM death,0
2745,0,0,9210,3.105990626134914e+06,0,20,25,Overweight,0
2746,0,83.85904017765706,10773,7.759936191556162e+06,83.85904017765706,20,26,Obese,0
2859,0,0,8350,1.0379459008361303e+06,0,21,3,Steatosis,0
2860,0,317.5013964826346,2988,494792.7720754759,317.5013964826346,21,4,NASH,0
2861,0,37.28783509988754,316,550828.0277851352,37.28783509988754,21,5,Cirrhosis,0
2862,0,2.04009247984933,12,236348.81550242103,2.04009247984933,21,6,HCC,0
2863,255.2782001973383,0,326,0,255.2782001973383,21,7,Liver death,0
2864,0,0,4188,0,0,21,8,Natural death,0
2869,0,79.659816066277,1853,1.5723168515500898e+07,79.659816066277,21,13,CHD,0
