Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,6311,0,0,2,3,Steatosis,0
276,0,0,731,0,0,2,4,NASH,0
277,0,0,59,0,0,2,5,Cirrhosis,0
278,0,0,11,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1511,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2121,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7459,0,0,2,25,Overweight,0
298,0,0,8417,0,0,2,26,Obese,0
411,0,0,6583,0,0,3,3,Steatosis,0
412,0,0,823,0,0,3,4,NASH,0
413,0,0,65,0,0,3,5,Cirrhosis,0
414,0,0,7,0,0,3,6,HCC,0
415,0,0,7,0,0,3,7,Liver death,0
416,0,0,218,0,0,3,8,Natural death,0
421,0,0,1545,0,0,3,13,CHD,0
422,0,0,43,0,0,3,14,CHD death,0
427,0,0,2235,0,0,3,19,T2DM,0
428,0,0,71,0,0,3,20,T2DM death,0
433,0,0,7692,0,0,3,25,Overweight,0
434,0,0,8401,0,0,3,26,Obese,0
547,0,0,6773,0,0,4,3,Steatosis,0
548,0,0,950,0,0,4,4,NASH,0
549,0,0,67,0,0,4,5,Cirrhosis,0
550,0,0,5,0,0,4,6,HCC,0
551,0,0,16,0,0,4,7,Liver death,0
552,0,0,439,0,0,4,8,Natural death,0
557,0,0,1600,0,0,4,13,CHD,0
558,0,0,80,0,0,4,14,CHD death,0
563,0,0,2350,0,0,4,19,T2DM,0
564,0,0,137,0,0,4,20,T2DM death,0
569,0,0,7833,0,0,4,25,Overweight,0
570,0,0,8465,0,0,4,26,Obese,0
683,0,0,6905,0,0,5,3,Steatosis,0
684,0,0,1078,0,0,5,4,NASH,0
685,0,0,70,0,0,5,5,Cirrhosis,0
686,0,0,3,0,0,5,6,HCC,0
687,0,0,27,0,0,5,7,Liver death,0
688,0,0,654,0,0,5,8,Natural death,0
693,0,0,1631,0,0,5,13,CHD,0
694,0,0,126,0,0,5,14,CHD death,0
699,0,0,2470,0,0,5,19,T2DM,0
700,0,0,209,0,0,5,20,T2DM death,0
705,0,0,8003,0,0,5,25,Overweight,0
706,0,0,8488,0,0,5,26,Obese,0
819,0,0,6983,0,0,6,3,Steatosis,0
820,0,0,1197,0,0,6,4,NASH,0
821,0,0,84,0,0,6,5,Cirrhosis,0
822,0,0,4,0,0,6,6,HCC,0
823,0,0,35,0,0,6,7,Liver death,0
824,0,0,857,0,0,6,8,Natural death,0
829,0,0,1652,0,0,6,13,CHD,0
830,0,0,172,0,0,6,14,CHD death,0
835,0,0,2547,0,0,6,19,T2DM,0
836,0,0,296,0,0,6,20,T2DM death,0
841,0,0,8128,0,0,6,25,Overweight,0
842,0,0,8481,0,0,6,26,Obese,0
955,0,0,7147,957698,0,7,3,Steatosis,0
956,0,196.9500000000046,1313,350571,196.9500000000046,7,4,NASH,0
957,0,17.654000000000025,91,260351,17.654000000000025,7,5,Cirrhosis,0
958,0,0.588,2,85288,0.588,7,6,HCC,0
959,155.18512274499997,0,44,0,155.18512274499997,7,7,Liver death,0
960,0,0,1051,0,0,7,8,Natural death,0
965,0,110.08800000000278,1668,2.2072644e+07,110.08800000000278,7,13,CHD,0
966,315.81626428400006,0,216,0,315.81626428400006,7,14,CHD death,0
971,0,87.74700000000263,2659,2.172403e+07,87.74700000000263,7,19,T2DM,0
972,652.712508811,0,371,0,652.712508811,7,20,T2DM death,0
977,0,0,8204,2.813972e+06,0,7,25,Overweight,0
978,0,102.78000000000344,8565,7.84554e+06,102.78000000000344,7,26,Obese,0
1091,0,0,7306,950489.3203882093,0,8,3,Steatosis,0
1092,0,205.92233009709128,1414,366541.74757281534,205.92233009709128,8,4,NASH,0
1093,0,18.269902912621383,97,269433.9805825247,18.269902912621383,8,5,Cirrhosis,0
1094,0,0.570873786407767,2,82803.88349514564,0.570873786407767,8,6,HCC,0
1095,169.38069222815534,0,54,0,169.38069222815534,8,7,Liver death,0
1096,0,0,1214,0,0,8,8,Natural death,0
1101,0,108.8038834951477,1698,2.1815178640776385e+07,108.8038834951477,8,13,CHD,0
1102,316.90606732621364,0,264,0,316.90606732621364,8,14,CHD death,0
1107,0,89.58058252426831,2796,2.2177980582525052e+07,89.58058252426831,8,19,T2DM,0
1108,779.2476327728159,0,446,0,779.2476327728159,8,20,T2DM death,0
1113,0,0,8294,2.7619825242722505e+06,0,8,25,Overweight,0
1114,0,100.67184466018394,8641,7.684617475729275e+06,100.67184466018394,8,26,Obese,0
1227,0,0,7476,944277.5002358198,0,9,3,Steatosis,0
1228,0,216.3257611461989,1530,385059.8548402401,216.3257611461989,9,4,NASH,0
1229,0,18.652087849938713,102,275070.22339523083,18.652087849938713,9,5,Cirrhosis,0
1230,0,0,0,0,0,9,6,HCC,0
1231,254.3801135309643,0,69,0,254.3801135309643,9,7,Liver death,0
1232,0,0,1428,0,0,9,8,Natural death,0
1237,0,108.99425016495057,1752,2.1853347158073626e+07,108.99425016495057,9,13,CHD,0
1238,221.5342013384862,0,301,0,221.5342013384862,9,14,CHD death,0
1243,0,90.95296446413668,2924,2.2517749080968317e+07,90.95296446413668,9,19,T2DM,0
1244,757.1140485672546,0,523,0,757.1140485672546,9,20,T2DM death,0
1249,0,0,8361,2.703198227919706e+06,0,9,25,Overweight,0
1250,0,97.67178810444524,8635,7.455613158639617e+06,97.67178810444524,9,26,Obese,0
1363,0,0,7579,929405.0572559801,0,10,3,Steatosis,0
1364,0,226.22301819210463,1648,402676.97238195466,226.22301819210463,10,4,NASH,0
1365,0,19.174048046767386,108,282767.79104021355,19.174048046767386,10,5,Cirrhosis,0
1366,0,1.3452582392491448,5,195126.5046072807,1.3452582392491448,10,6,HCC,0
1367,183.11329957985845,0,80,0,183.11329957985845,10,7,Liver death,0
1368,0,0,1652,0,0,10,8,Natural death,0
1373,0,107.8732382379164,1786,2.1628584266701475e+07,107.8732382379164,10,13,CHD,0
1374,264.5123855784656,0,343,0,264.5123855784656,10,14,CHD death,0
1379,0,91.38421581968483,3026,2.262451646202468e+07,91.38421581968483,10,19,T2DM,0
1380,568.4353516797881,0,589,0,568.4353516797881,10,20,T2DM death,0
1385,0,0,8355,2.622580937415829e+06,0,10,25,Overweight,0
1386,0,95.51882583663536,8698,7.291270372198695e+06,95.51882583663536,10,26,Obese,0
1499,0,0,7626,907930.698472221,0,11,3,Steatosis,0
1500,0,235.2269459356774,1765,418703.96376550576,235.2269459356774,11,4,NASH,0
1501,0,20.856344962772923,121,307577.3347345008,20.856344962772923,11,5,Cirrhosis,0
1502,0,1.8285063446104877,7,265220.4916992165,1.8285063446104877,11,6,HCC,0
1503,115.93801912665614,0,89,0,115.93801912665614,11,7,Liver death,0
1504,0,0,1838,0,0,11,8,Natural death,0
1509,0,105.6695415827137,1802,2.118674308733236e+07,105.6695415827137,11,13,CHD,0
1510,244.82145932913667,0,386,0,244.82145932913667,11,14,CHD death,0
1515,0,91.06814543726283,3106,2.254626509764819e+07,91.06814543726283,11,19,T2DM,0
1516,926.0672504225001,0,686,0,926.0672504225001,11,20,T2DM death,0
1521,0,0,8408,2.5623468909143596e+06,0,11,25,Overweight,0
1522,0,92.97128469388718,8720,7.09680806496692e+06,92.97128469388718,11,26,Obese,0
1635,0,0,7679,887612.3626082191,0,12,3,Steatosis,0
1636,0,237.56245921939328,1836,422861.1774105282,237.56245921939328,12,4,NASH,0
1637,0,25.26926172974966,151,372656.4835505881,25.26926172974966,12,5,Cirrhosis,0
1638,0,1.7752488782626095,7,257495.623008948,1.7752488782626095,12,6,HCC,0
1639,122.53218277634005,0,98,0,122.53218277634005,12,7,Liver death,0
1640,0,0,2057,0,0,12,8,Natural death,0
1645,0,103.50270282069181,1818,2.0752291915548414e+07,103.50270282069181,12,13,CHD,0
1646,215.8179840121694,0,431,0,215.8179840121694,12,14,CHD death,0
1651,0,91.803139878085,3225,2.2728231903149948e+07,91.803139878085,12,19,T2DM,0
1652,851.486444267323,0,786,0,851.486444267323,12,20,T2DM death,0
1657,0,0,8468,2.50546791685478e+06,0,12,25,Overweight,0
1658,0,90.41865277916156,8735,6.901957162140362e+06,90.41865277916156,12,26,Obese,0
1771,0,0,7799,875226.3221952021,0,13,3,Steatosis,0
1772,0,240.94422064787526,1918,428880.7127532265,240.94422064787526,13,4,NASH,0
1773,0,26.482927164850473,163,390554.92071462615,26.482927164850473,13,5,Cirrhosis,0
1774,0,0.9848814858599775,4,142854.714568071,0.9848814858599775,13,6,HCC,0
1775,169.0359361024,0,112,0,169.0359361024,13,7,Liver death,0
1776,0,0,2259,0,0,13,8,Natural death,0
1781,0,101.75936209260531,1841,2.040275209956729e+07,101.75936209260531,13,13,CHD,0
1782,228.01115371699095,0,478,0,228.01115371699095,13,14,CHD death,0
1787,0,91.28494649426277,3303,2.259993978357992e+07,91.28494649426277,13,19,T2DM,0
1788,908.5123059596691,0,883,0,908.5123059596691,13,20,T2DM death,0
1793,0,0,8485,2.437376493860271e+06,0,13,25,Overweight,0
1794,0,88.22729147311033,8779,6.73468324911406e+06,88.22729147311033,13,26,Obese,0
1907,0,0,7886,859213.3142326346,0,14,3,Steatosis,0
1908,0,243.92745340300056,2000,434190.8670573363,243.92745340300056,14,4,NASH,0
1909,0,27.44671705690638,174,404768.3376278816,27.44671705690638,14,5,Cirrhosis,0
1910,0,1.673342330344622,7,242714.32086808185,1.673342330344622,14,6,HCC,0
1911,286.85542573353547,0,133,0,286.85542573353547,14,7,Liver death,0
1912,0,0,2427,0,0,14,8,Natural death,0
1917,0,98.47351293879713,1835,1.974393934422751e+07,98.47351293879713,14,13,CHD,0
1918,222.16330978917858,0,523,0,222.16330978917858,14,14,CHD death,0
1923,0,90.23608283738079,3363,2.2340266569131352e+07,90.23608283738079,14,19,T2DM,0
1924,852.9231821164186,0,979,0,852.9231821164186,14,20,T2DM death,0
1929,0,0,8531,2.379213903361731e+06,0,14,25,Overweight,0
1930,0,86.008820069899,8815,6.565339932001563e+06,86.008820069899,14,26,Obese,0
2043,0,0,7969,842967.4932251113,0,15,3,Steatosis,0
2044,0,247.95344049799778,2094,441357.1240864392,247.95344049799778,15,4,NASH,0
2045,0,29.863351334096084,195,440407.46477757534,29.863351334096084,15,5,Cirrhosis,0
2046,0,2.3208631488829705,10,336635.6738808348,2.3208631488829705,15,6,HCC,0
2047,169.93321499920324,0,145,0,169.93321499920324,15,7,Liver death,0
2048,0,0,2596,0,0,15,8,Natural death,0
2053,0,98.73141293564578,1895,1.9795648293596648e+07,98.73141293564578,15,13,CHD,0
2054,177.84488085021673,0,561,0,177.84488085021673,15,14,CHD death,0
2059,0,91.09861504905699,3497,2.2553808634874586e+07,91.09861504905699,15,19,T2DM,0
2060,687.6883909468028,0,1054,0,687.6883909468028,15,20,T2DM death,0
2065,0,0,8555,2.316414827847729e+06,0,15,25,Overweight,0
2066,0,83.70263993276805,8836,6.389301514867619e+06,83.70263993276805,15,26,Obese,0
2179,0,0,8049,826631.0293368271,0,16,3,Steatosis,0
2180,0,252.68759665369817,2198,449783.92204359185,252.68759665369817,16,4,NASH,0
2181,0,30.48039344530592,205,449507.2456031995,30.48039344530592,16,5,Cirrhosis,0
2182,0,2.4785917123992895,11,359513.82647467783,2.4785917123992895,16,6,HCC,0
2183,196.48860791850203,0,160,0,196.48860791850203,16,7,Liver death,0
2184,0,0,2784,0,0,16,8,Natural death,0
2189,0,97.2720788355915,1923,1.9503051806535408e+07,97.2720788355915,16,13,CHD,0
2190,230.50173211128728,0,605,0,230.50173211128728,16,14,CHD death,0
2195,0,90.72151502424371,3587,2.24604478105476e+07,90.72151502424371,16,19,T2DM,0
2196,735.279605411904,0,1149,0,735.279605411904,16,20,T2DM death,0
2201,0,0,8568,2.252363887012786e+06,0,16,25,Overweight,0
2202,0,81.37506297329928,8848,6.21162980696433e+06,81.37506297329928,16,26,Obese,0
2315,0,0,8116,809234.872582502,0,17,3,Steatosis,0
2316,0,252.35945123721686,2261,449199.8232022461,252.35945123721686,17,4,NASH,0
2317,0,32.91276204371199,228,485378.4134384533,32.91276204371199,17,5,Cirrhosis,0
2318,0,1.7501088878370972,8,253849.1272548475,1.7501088878370972,17,6,HCC,0
2319,146.76519572241546,0,173,0,146.76519572241546,17,7,Liver death,0
2320,0,0,2956,0,0,17,8,Natural death,0
2325,0,96.59976021972523,1967,1.9368251924054135e+07,96.59976021972523,17,13,CHD,0
2326,221.18440386973333,0,657,0,221.18440386973333,17,14,CHD death,0
2331,0,89.62611204930928,3650,2.218925258917907e+07,89.62611204930928,17,19,T2DM,0
2332,818.3437818145597,0,1250,0,818.3437818145597,17,20,T2DM death,0
2337,0,0,8557,2.183953589011076e+06,0,17,25,Overweight,0
2338,0,79.83532431710147,8941,6.0940964228709685e+06,79.83532431710147,17,26,Obese,0
2451,0,0,8196,793409.2809223162,0,18,3,Steatosis,0
2452,0,256.0622214904325,2363,455790.7542529446,256.0622214904325,18,4,NASH,0
2453,0,32.374587089496856,231,477441.71991263196,32.374587089496856,18,5,Cirrhosis,0
2454,0,1.4867429872402527,7,215648.5304349433,1.4867429872402527,18,6,HCC,0
2455,212.6414895504275,0,191,0,212.6414895504275,18,7,Liver death,0
2456,0,0,3117,0,0,18,8,Natural death,0
2461,0,96.45624400891559,2023,1.933947692378786e+07,96.45624400891559,18,13,CHD,0
2462,143.00244275008419,0,694,0,143.00244275008419,18,14,CHD death,0
2467,0,89.23275366420765,3743,2.2091866588984594e+07,89.23275366420765,18,19,T2DM,0
2468,755.0808514503298,0,1357,0,755.0808514503298,18,20,T2DM death,0
2473,0,0,8681,2.1510693120389925e+06,0,18,25,Overweight,0
2474,0,77.36264966842597,8924,5.905348924687746e+06,77.36264966842597,18,26,Obese,0
2587,0,0,8233,773777.7141861984,0,19,3,Steatosis,0
2588,0,257.5466920068429,2448,458433.11177219864,257.5466920068429,19,4,NASH,0
2589,0,34.42512727963141,253,507681.9028197211,34.42512727963141,19,5,Cirrhosis,0
2590,0,1.8558511629906072,9,269186.7924985422,1.8558511629906072,19,6,HCC,0
2591,200.019998786632,0,210,0,200.019998786632,19,7,Liver death,0
2592,0,0,3286,0,0,19,8,Natural death,0
2597,0,96.33172102498753,2081,1.9314510065508973e+07,96.33172102498753,19,13,CHD,0
2598,180.08011419498288,0,734,0,180.08011419498288,19,14,CHD death,0
2603,0,87.88360036806685,3797,2.1757848939607315e+07,87.88360036806685,19,19,T2DM,0
2604,641.5528293494871,0,1463,0,641.5528293494871,19,20,T2DM death,0
2609,0,0,8667,2.0850487816200876e+06,0,19,25,Overweight,0
2610,0,75.3955316012314,8958,5.7551922455611825e+06,75.3955316012314,19,26,Obese,0
2723,0,0,8257,753430.4387192979,0,20,3,Steatosis,0
2724,0,258.62531892940046,2532,460353.0676943599,258.62531892940046,20,4,NASH,0
2725,0,34.47929014921462,261,508480.66555104376,34.47929014921462,20,5,Cirrhosis,0
2726,0,2.402396327495931,12,348461.86731202883,2.402396327495931,20,6,HCC,0
2727,174.12463408279382,0,227,0,174.12463408279382,20,7,Liver death,0
2728,0,0,3463,0,0,20,8,Natural death,0
2733,0,94.37985572305789,2100,1.8923161072473478e+07,94.37985572305789,20,13,CHD,0
2734,170.42755215728644,0,784,0,170.42755215728644,20,14,CHD death,0
2739,0,86.98676702475589,3871,2.1535814745217334e+07,86.98676702475589,20,19,T2DM,0
2740,887.2509095651585,0,1588,0,887.2509095651585,20,20,T2DM death,0
2745,0,0,8698,2.0315597610542725e+06,0,20,25,Overweight,0
2746,0,73.10965966702642,8947,5.580704021249604e+06,73.10965966702642,20,26,Obese,0
2859,0,0,8301,735383.8134175191,0,21,3,Steatosis,0
2860,0,258.926788648854,2611,460889.6837949681,258.926788648854,21,4,NASH,0
2861,0,33.98806639713505,265,501236.3812484709,33.98806639713505,21,5,Cirrhosis,0
2862,0,2.3324236189280887,12,338312.4925359504,2.3324236189280887,21,6,HCC,0
2863,299.3852307864762,0,256,0,299.3852307864762,21,7,Liver death,0
2864,0,0,3616,0,0,21,8,Natural death,0
2869,0,92.37270206459175,2117,1.852072676395036e+07,92.37270206459175,21,13,CHD,0
2870,201.59940644262238,0,839,0,201.59940644262238,21,14,CHD death,0
2875,0,85.17312915922345,3904,2.108680197669436e+07,85.17312915922345,21,19,T2DM,0
