Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,5711,0,0,2,3,Steatosis,0
276,0,0,730,0,0,2,4,NASH,0
277,0,0,75,0,0,2,5,Cirrhosis,0
278,0,0,3,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1507,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2134,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7343,0,0,2,25,Overweight,0
298,0,0,8507,0,0,2,26,Obese,0
411,0,0,5983,0,0,3,3,Steatosis,0
412,0,0,846,0,0,3,4,NASH,0
413,0,0,75,0,0,3,5,Cirrhosis,0
414,0,0,4,0,0,3,6,HCC,0
415,0,0,8,0,0,3,7,Liver death,0
416,0,0,225,0,0,3,8,Natural death,0
421,0,0,1553,0,0,3,13,CHD,0
422,0,0,41,0,0,3,14,CHD death,0
427,0,0,2194,0,0,3,19,T2DM,0
428,0,0,64,0,0,3,20,T2DM death,0
433,0,0,7413,0,0,3,25,Overweight,0
434,0,0,8455,0,0,3,26,Obese,0
547,0,0,6234,0,0,4,3,Steatosis,0
548,0,0,933,0,0,4,4,NASH,0
549,0,0,82,0,0,4,5,Cirrhosis,0
550,0,0,1,0,0,4,6,HCC,0
551,0,0,19,0,0,4,7,Liver death,0
552,0,0,460,0,0,4,8,Natural death,0
557,0,0,1574,0,0,4,13,CHD,0
558,0,0,78,0,0,4,14,CHD death,0
563,0,0,2259,0,0,4,19,T2DM,0
564,0,0,145,0,0,4,20,T2DM death,0
569,0,0,7568,0,0,4,25,Overweight,0
570,0,0,8364,0,0,4,26,Obese,0
683,0,0,6475,0,0,5,3,Steatosis,0
684,0,0,1039,0,0,5,4,NASH,0
685,0,0,88,0,0,5,5,Cirrhosis,0
686,0,0,2,0,0,5,6,HCC,0
687,0,0,28,0,0,5,7,Liver death,0
688,0,0,690,0,0,5,8,Natural death,0
693,0,0,1582,0,0,5,13,CHD,0
694,0,0,118,0,0,5,14,CHD death,0
699,0,0,2340,0,0,5,19,T2DM,0
700,0,0,216,0,0,5,20,T2DM death,0
705,0,0,7696,0,0,5,25,Overweight,0
706,0,0,8266,0,0,5,26,Obese,0
819,0,0,6667,0,0,6,3,Steatosis,0
820,0,0,1148,0,0,6,4,NASH,0
821,0,0,94,0,0,6,5,Cirrhosis,0
822,0,0,4,0,0,6,6,HCC,0
823,0,0,37,0,0,6,7,Liver death,0
824,0,0,887,0,0,6,8,Natural death,0
829,0,0,1605,0,0,6,13,CHD,0
830,0,0,158,0,0,6,14,CHD death,0
835,0,0,2458,0,0,6,19,T2DM,0
836,0,0,276,0,0,6,20,T2DM death,0
841,0,0,7800,0,0,6,25,Overweight,0
842,0,0,8253,0,0,6,26,Obese,0
955,0,0,6835,1.090529561303043e+06,0,7,3,Steatosis,0
956,0,184.40598941338146,1236,232103.0862801474,184.40598941338146,7,4,NASH,0
957,0,24.380503941639347,110,176413.6792159678,24.380503941639347,7,5,Cirrhosis,0
958,0,1.081560188613035,4,71955.51724384239,1.081560188613035,7,6,HCC,0
959,111.246992632,0,45,0,111.246992632,7,7,Liver death,0
960,0,0,1077,0,0,7,8,Natural death,0
965,0,107.60939373681984,1633,2.7026856767232716e+07,107.60939373681984,7,13,CHD,0
966,191.07528938800004,0,187,0,191.07528938800004,7,14,CHD death,0
971,0,101.3039690175573,2559,1.42372336239812e+07,101.3039690175573,7,19,T2DM,0
972,724.1205126909999,0,350,0,724.1205126909999,7,20,T2DM death,0
977,0,0,7906,2.680424162225426e+06,0,7,25,Overweight,0
978,0,99.50016387059432,8213,8.927064007000439e+06,99.50016387059432,7,26,Obese,0
1091,0,0,6995,1.083551151102147e+06,0,8,3,Steatosis,0
1092,0,193.9545196095503,1339,244121.3690648864,193.9545196095503,8,4,NASH,0
1093,0,26.898172927669172,125,194631.15535742318,26.898172927669172,8,5,Cirrhosis,0
1094,0,0.787543826659977,3,52394.794109593975,0.787543826659977,8,6,HCC,0
1095,155.42508937572816,0,55,0,155.42508937572816,8,7,Liver death,0
1096,0,0,1280,0,0,8,8,Natural death,0
1101,0,105.17889125579333,1644,2.641641895928642e+07,105.17889125579333,8,13,CHD,0
1102,261.58019342815544,0,223,0,261.58019342815544,8,14,CHD death,0
1107,0,100.50568865299681,2615,1.4125043507859804e+07,100.50568865299681,8,19,T2DM,0
1108,737.0251647388352,0,417,0,737.0251647388352,8,20,T2DM death,0
1113,0,0,7949,2.6165075149427173e+06,0,8,25,Overweight,0
1114,0,96.67267342593675,8219,8.673384141591277e+06,96.67267342593675,8,26,Obese,0
1227,0,0,7099,1.0676321674528937e+06,0,9,3,Steatosis,0
1228,0,201.8059670959348,1435,254003.6142086306,201.8059670959348,9,4,NASH,0
1229,0,29.039580869483732,139,210126.06287131496,29.039580869483732,9,5,Cirrhosis,0
1230,0,0.764605656951434,3,50868.73214523686,0.764605656951434,9,6,HCC,0
1231,176.42504022810823,0,68,0,176.42504022810823,9,7,Liver death,0
1232,0,0,1459,0,0,9,8,Natural death,0
1237,0,103.91673462248514,1673,2.609941943571479e+07,103.91673462248514,9,13,CHD,0
1238,219.73404556037326,0,258,0,219.73404556037326,9,14,CHD death,0
1243,0,101.45908312665566,2719,1.4259033320784057e+07,101.45908312665566,9,19,T2DM,0
1244,623.6142239315677,0,483,0,623.6142239315677,9,20,T2DM death,0
1249,0,0,8046,2.5712972951627243e+06,0,9,25,Overweight,0
1250,0,93.63999377391247,8200,8.401294887531502e+06,93.63999377391247,9,26,Obese,0
1363,0,0,7226,1.0550795533919567e+06,0,10,3,Steatosis,0
1364,0,205.62212810560177,1506,258806.8353561733,205.62212810560177,10,4,NASH,0
1365,0,31.033427904106897,153,224553.24173577758,31.033427904106897,10,5,Cirrhosis,0
1366,0,1.4846711785464737,6,98774.23717521722,1.4846711785464737,10,6,HCC,0
1367,140.75403268153897,0,78,0,140.75403268153897,10,7,Liver death,0
1368,0,0,1616,0,0,10,8,Natural death,0
1373,0,101.43277736930368,1682,2.5475556085443616e+07,101.43277736930368,10,13,CHD,0
1374,271.60656855921013,0,299,0,271.60656855921013,10,14,CHD death,0
1379,0,102.1267653849189,2819,1.4352869212801212e+07,102.1267653849189,10,19,T2DM,0
1380,665.6991344306492,0,552,0,665.6991344306492,10,20,T2DM death,0
1385,0,0,8125,2.520916203094329e+06,0,10,25,Overweight,0
1386,0,91.3006569651984,8235,8.191411721387822e+06,91.3006569651984,10,26,Obese,0
1499,0,0,7380,1.0461799359958658e+06,0,11,3,Steatosis,0
1500,0,209.8401402745949,1583,264115.84752821614,209.8401402745949,11,4,NASH,0
1501,0,29.932616545620046,152,216587.93542634658,29.932616545620046,11,5,Cirrhosis,0
1502,0,1.2011902739049138,5,79914.43137153497,1.2011902739049138,11,6,HCC,0
1503,272.32038710296723,0,94,0,272.32038710296723,11,7,Liver death,0
1504,0,0,1766,0,0,11,8,Natural death,0
1509,0,99.41519918098528,1698,2.4968827120442864e+07,99.41519918098528,11,13,CHD,0
1510,251.85561867525496,0,348,0,251.85561867525496,11,14,CHD death,0
1515,0,102.24740818164113,2907,1.436982432027066e+07,102.24740818164113,11,19,T2DM,0
1516,697.518848162548,0,627,0,697.518848162548,11,20,T2DM death,0
1521,0,0,8174,2.462251715500443e+06,0,11,25,Overweight,0
1522,0,88.5553026512169,8227,7.945101034755017e+06,88.5553026512169,11,26,Obese,0
1635,0,0,7484,1.0300221855177641e+06,0,12,3,Steatosis,0
1636,0,214.6675870309129,1668,270191.92615537107,214.6675870309129,12,4,NASH,0
1637,0,29.060792762737815,152,210279.54895761836,29.060792762737815,12,5,Cirrhosis,0
1638,0,2.5656491287289427,11,170691.01846347275,2.5656491287289427,12,6,HCC,0
1639,100.63772319625662,0,102,0,100.63772319625662,12,7,Liver death,0
1640,0,0,1922,0,0,12,8,Natural death,0
1645,0,96.74698331905834,1702,2.429868592347048e+07,96.74698331905834,12,13,CHD,0
1646,252.40889219202631,0,391,0,252.40889219202631,12,14,CHD death,0
1651,0,100.90845036813346,2955,1.4181647535210941e+07,100.90845036813346,12,19,T2DM,0
1652,827.0324328730655,0,723,0,827.0324328730655,12,20,T2DM death,0
1657,0,0,8254,2.4139321290736627e+06,0,12,25,Overweight,0
1658,0,86.00737340341475,8230,7.716503145105625e+06,86.00737340341475,12,26,Obese,0
1771,0,0,7553,1.0092414065494101e+06,0,13,3,Steatosis,0
1772,0,223.15912926196535,1786,280879.82824234903,223.15912926196535,13,4,NASH,0
1773,0,29.884949123663755,161,216243.02109208275,29.884949123663755,13,5,Cirrhosis,0
1774,0,2.490921484202857,11,165719.4354014299,2.490921484202857,13,6,HCC,0
1775,184.2157764424665,0,118,0,184.2157764424665,13,7,Liver death,0
1776,0,0,2071,0,0,13,8,Natural death,0
1781,0,94.03948500089788,1704,2.361867866108054e+07,94.03948500089788,13,13,CHD,0
1782,276.89387094945386,0,441,0,276.89387094945386,13,14,CHD death,0
1787,0,100.8205928965176,3041,1.4169300068855964e+07,100.8205928965176,13,19,T2DM,0
1788,686.5327486668344,0,809,0,686.5327486668344,13,20,T2DM death,0
1793,0,0,8342,2.36860996148185e+06,0,13,25,Overweight,0
1794,0,83.28923642706971,8209,7.4726343732021665e+06,83.28923642706971,13,26,Obese,0
1907,0,0,7595,985294.6598396668,0,14,3,Steatosis,0
1908,0,226.72806433565722,1869,285371.87781175406,226.72806433565722,14,4,NASH,0
1909,0,30.996871792017043,172,224288.72717746088,30.996871792017043,14,5,Cirrhosis,0
1910,0,2.1985185209204388,10,146266.05066322142,2.1985185209204388,14,6,HCC,0
1911,233.95815419786828,0,136,0,233.95815419786828,14,7,Liver death,0
1912,0,0,2214,0,0,14,8,Natural death,0
1917,0,93.06861379652625,1737,2.3374837523527652e+07,93.06861379652625,14,13,CHD,0
1918,242.76146793464702,0,488,0,242.76146793464702,14,14,CHD death,0
1923,0,100.16942724319705,3112,1.4077785416231537e+07,100.16942724319705,14,19,T2DM,0
1924,598.214628357711,0,886,0,598.214628357711,14,20,T2DM death,0
1929,0,0,8462,2.332701465511884e+06,0,14,25,Overweight,0
1930,0,80.951991474863,8218,7.262938886513972e+06,80.951991474863,14,26,Obese,0
2043,0,0,7690,968562.088518633,0,15,3,Steatosis,0
2044,0,229.89978628475563,1952,289363.9740313656,229.89978628475563,15,4,NASH,0
2045,0,33.41839304738785,191,241810.49272349803,33.41839304738785,15,5,Cirrhosis,0
2046,0,2.561380801072356,12,170407.04931637438,2.561380801072356,15,6,HCC,0
2047,145.9401038028078,0,149,0,145.9401038028078,15,7,Liver death,0
2048,0,0,2358,0,0,15,8,Natural death,0
2053,0,91.29422853424528,1755,2.2929188173892282e+07,91.29422853424528,15,13,CHD,0
2054,236.54367318950898,0,542,0,236.54367318950898,15,14,CHD death,0
2059,0,98.84565177396904,3163,1.3891742353913808e+07,98.84565177396904,15,19,T2DM,0
2060,703.0073642909974,0,978,0,703.0073642909974,15,20,T2DM death,0
2065,0,0,8571,2.2939313230020166e+06,0,15,25,Overweight,0
2066,0,78.25943834381478,8183,7.021365473885763e+06,78.25943834381478,15,26,Obese,0
2179,0,0,7811,955147.7108611432,0,16,3,Steatosis,0
2180,0,234.06655982657725,2047,294608.4945697742,234.06655982657725,16,4,NASH,0
2181,0,32.275172464818155,190,233538.31961299595,32.275172464818155,16,5,Cirrhosis,0
2182,0,1.4506201947820783,7,96508.84670021206,1.4506201947820783,16,6,HCC,0
2183,403.37908362613865,0,182,0,403.37908362613865,16,7,Liver death,0
2184,0,0,2496,0,0,16,8,Natural death,0
2189,0,90.09980013005634,1784,2.262919907184596e+07,90.09980013005634,16,13,CHD,0
2190,179.88620701888712,0,574,0,179.88620701888712,16,14,CHD death,0
2195,0,97.18026779051411,3203,1.365768971929132e+07,97.18026779051411,16,19,T2DM,0
2196,817.2214528173085,0,1085,0,817.2214528173085,16,20,T2DM death,0
2201,0,0,8645,2.2463462009905805e+06,0,16,25,Overweight,0
2202,0,76.09145852076533,8195,6.826856300298816e+06,76.09145852076533,16,26,Obese,0
2315,0,0,7904,938368.9055199468,0,17,3,Steatosis,0
2316,0,236.79643528065756,2133,298044.45952983585,236.79643528065756,17,4,NASH,0
2317,0,30.675432184242137,186,221962.83826273656,30.675432184242137,17,5,Cirrhosis,0
2318,0,2.011955887353784,10,133854.15631097375,2.011955887353784,17,6,HCC,0
2319,176.85444543431709,0,201,0,176.85444543431709,17,7,Liver death,0
2320,0,0,2638,0,0,17,8,Natural death,0
2325,0,87.72070096253275,1789,2.203167156794747e+07,87.72070096253275,17,13,CHD,0
2326,193.05618777384146,0,616,0,193.05618777384146,17,14,CHD death,0
2331,0,97.05978993289582,3295,1.3640757792319689e+07,97.05978993289582,17,19,T2DM,0
2332,706.6293409516015,0,1183,0,706.6293409516015,17,20,T2DM death,0
2337,0,0,8717,2.1990824522884423e+06,0,17,25,Overweight,0
2338,0,74.46115585295642,8260,6.6805870309820315e+06,74.46115585295642,17,26,Obese,0
2451,0,0,7997,921757.2198227751,0,18,3,Steatosis,0
2452,0,237.65977077448113,2205,299131.0990324451,237.65977077448113,18,4,NASH,0
2453,0,32.66409941322363,204,236352.53682846858,32.66409941322363,18,5,Cirrhosis,0
2454,0,0.9766776152202836,5,64977.74578202609,0.9766776152202836,18,6,HCC,0
2455,243.87413889123118,0,226,0,243.87413889123118,18,7,Liver death,0
2456,0,0,2759,0,0,18,8,Natural death,0
2461,0,85.21333430452805,1790,2.1401928780858863e+07,85.21333430452805,18,13,CHD,0
2462,239.9559957004698,0,663,0,239.9559957004698,18,14,CHD death,0
2467,0,96.80669119815765,3385,1.3605187361552926e+07,96.80669119815765,18,19,T2DM,0
2468,705.219787422993,0,1276,0,705.219787422993,18,20,T2DM death,0
2473,0,0,8779,2.1502170013338192e+06,0,18,25,Overweight,0
2474,0,72.31864063717927,8263,6.488362518749144e+06,72.31864063717927,18,26,Obese,0
2587,0,0,8053,901176.6416330937,0,19,3,Steatosis,0
2588,0,239.42300399887097,2288,301350.39719360444,239.42300399887097,19,4,NASH,0
2589,0,33.11180837148603,213,239592.0918735202,33.11180837148603,19,5,Cirrhosis,0
2590,0,2.65504594428815,14,176638.53222298351,2.65504594428815,19,6,HCC,0
2591,94.2915921732001,0,235,0,94.2915921732001,19,7,Liver death,0
2592,0,0,2906,0,0,19,8,Natural death,0
2597,0,82.87004849380095,1793,2.081339605363174e+07,82.87004849380095,19,13,CHD,0
2598,248.76373827490542,0,717,0,248.76373827490542,19,14,CHD death,0
2603,0,97.15237484114034,3499,1.3653769651394455e+07,97.15237484114034,19,19,T2DM,0
2604,697.1379008528194,0,1384,0,697.1379008528194,19,20,T2DM death,0
2609,0,0,8738,2.077839787318421e+06,0,19,25,Overweight,0
2610,0,70.31423873091745,8275,6.308529406753791e+06,70.31423873091745,19,26,Obese,0
2723,0,0,8137,884055.0687820014,0,20,3,Steatosis,0
2724,0,238.44362753129383,2347,300117.70241248666,238.44362753129383,20,4,NASH,0
2725,0,34.26036054664015,227,247902.84359035952,34.26036054664015,20,5,Cirrhosis,0
2726,0,1.6571021843684706,9,110245.96324596755,1.6571021843684706,20,6,HCC,0
2727,271.3677426542403,0,261,0,271.3677426542403,20,7,Liver death,0
2728,0,0,3042,0,0,20,8,Natural death,0
2733,0,81.98202210222745,1827,2.059036197401097e+07,81.98202210222745,20,13,CHD,0
2734,132.26486945912822,0,750,0,132.26486945912822,20,14,CHD death,0
2739,0,95.56271800592637,3545,1.3430359690617763e+07,95.56271800592637,20,19,T2DM,0
2740,751.2527831220183,0,1494,0,751.2527831220183,20,20,T2DM death,0
2745,0,0,8727,2.014780639403739e+06,0,20,25,Overweight,0
2746,0,68.56324032413544,8311,6.151431425749342e+06,68.56324032413544,20,26,Obese,0
2859,0,0,8219,866955.4045130804,0,21,3,Steatosis,0
2860,0,239.3895466712112,2427,301308.28603965725,239.3895466712112,21,4,NASH,0
2861,0,33.99513984355027,232,245983.74625962574,33.99513984355027,21,5,Cirrhosis,0
2862,0,1.6088370722023984,9,107034.91577278402,1.6088370722023984,21,6,HCC,0
2863,222.29680706260802,0,284,0,222.29680706260802,21,7,Liver death,0
2864,0,0,3165,0,0,21,8,Natural death,0
2869,0,81.42394785290068,1869,2.0450197697656363e+07,81.42394785290068,21,13,CHD,0
