Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,6340,0,0,2,3,Steatosis,0
276,0,0,702,0,0,2,4,NASH,0
277,0,0,60,0,0,2,5,Cirrhosis,0
278,0,0,13,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1473,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2104,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7483,0,0,2,25,Overweight,0
298,0,0,8484,0,0,2,26,Obese,0
411,0,0,6610,0,0,3,3,Steatosis,0
412,0,0,848,0,0,3,4,NASH,0
413,0,0,70,0,0,3,5,Cirrhosis,0
414,0,0,8,0,0,3,6,HCC,0
415,0,0,8,0,0,3,7,Liver death,0
416,0,0,262,0,0,3,8,Natural death,0
421,0,0,1518,0,0,3,13,CHD,0
422,0,0,31,0,0,3,14,CHD death,0
427,0,0,2160,0,0,3,19,T2DM,0
428,0,0,77,0,0,3,20,T2DM death,0
433,0,0,7861,0,0,3,25,Overweight,0
434,0,0,8445,0,0,3,26,Obese,0
547,0,0,6866,0,0,4,3,Steatosis,0
548,0,0,984,0,0,4,4,NASH,0
549,0,0,84,0,0,4,5,Cirrhosis,0
550,0,0,4,0,0,4,6,HCC,0
551,0,0,16,0,0,4,7,Liver death,0
552,0,0,498,0,0,4,8,Natural death,0
557,0,0,1552,0,0,4,13,CHD,0
558,0,0,75,0,0,4,14,CHD death,0
563,0,0,2208,0,0,4,19,T2DM,0
564,0,0,160,0,0,4,20,T2DM death,0
569,0,0,8152,0,0,4,25,Overweight,0
570,0,0,8461,0,0,4,26,Obese,0
683,0,0,7094,0,0,5,3,Steatosis,0
684,0,0,1111,0,0,5,4,NASH,0
685,0,0,101,0,0,5,5,Cirrhosis,0
686,0,0,4,0,0,5,6,HCC,0
687,0,0,23,0,0,5,7,Liver death,0
688,0,0,721,0,0,5,8,Natural death,0
693,0,0,1595,0,0,5,13,CHD,0
694,0,0,118,0,0,5,14,CHD death,0
699,0,0,2312,0,0,5,19,T2DM,0
700,0,0,247,0,0,5,20,T2DM death,0
705,0,0,8355,0,0,5,25,Overweight,0
706,0,0,8504,0,0,5,26,Obese,0
819,0,0,7309,0,0,6,3,Steatosis,0
820,0,0,1238,0,0,6,4,NASH,0
821,0,0,113,0,0,6,5,Cirrhosis,0
822,0,0,4,0,0,6,6,HCC,0
823,0,0,36,0,0,6,7,Liver death,0
824,0,0,939,0,0,6,8,Natural death,0
829,0,0,1643,0,0,6,13,CHD,0
830,0,0,153,0,0,6,14,CHD death,0
835,0,0,2406,0,0,6,19,T2DM,0
836,0,0,331,0,0,6,20,T2DM death,0
841,0,0,8456,0,0,6,25,Overweight,0
842,0,0,8584,0,0,6,26,Obese,0
955,0,0,7539,765111.0824082573,0,7,3,Steatosis,0
956,0,207.59224606531788,1356,865160.7267382616,207.59224606531788,7,4,NASH,0
957,0,24.508792224269687,125,441545.0803535422,24.508792224269687,7,5,Cirrhosis,0
958,0,1.0785006659078464,5,229075.6056886156,1.0785006659078464,7,6,HCC,0
959,216.54287595,0,47,0,216.54287595,7,7,Liver death,0
960,0,0,1136,0,0,7,8,Natural death,0
965,0,130.72133275604773,1688,9.616335648876185e+06,130.72133275604773,7,13,CHD,0
966,215.29492719499999,0,182,0,215.29492719499999,7,14,CHD death,0
971,0,74.47292900061944,2503,1.263270135893559e+07,74.47292900061944,7,19,T2DM,0
972,815.4259505609999,0,402,0,815.4259505609999,7,20,T2DM death,0
977,0,0,8631,4.831861091219279e+06,0,7,25,Overweight,0
978,0,144.4964211560158,8615,2.3934868126207734e+06,144.4964211560158,7,26,Obese,0
1091,0,0,7688,757507.4340359537,0,8,3,Steatosis,0
1092,0,223.09760384915558,1501,929780.8022125122,223.09760384915558,8,4,NASH,0
1093,0,25.69853941962257,135,462979.30755516887,25.69853941962257,8,5,Cirrhosis,0
1094,0,1.2565056301838988,6,266884.20080227056,1.2565056301838988,8,6,HCC,0
1095,168.76874525436892,0,56,0,168.76874525436892,8,7,Liver death,0
1096,0,0,1358,0,0,8,8,Natural death,0
1101,0,127.44021707857327,1695,9.37496487187976e+06,127.44021707857327,8,13,CHD,0
1102,327.43717104077666,0,227,0,327.43717104077666,8,14,CHD death,0
1107,0,75.04806641490732,2598,1.273026082507377e+07,75.04806641490732,8,19,T2DM,0
1108,905.0901955543694,0,493,0,905.0901955543694,8,20,T2DM death,0
1113,0,0,8695,4.725912598654322e+06,0,8,25,Overweight,0
1114,0,140.54833362417418,8631,2.3280893767056256e+06,140.54833362417418,8,26,Obese,0
1227,0,0,7821,748167.0642429212,0,9,3,Steatosis,0
1228,0,238.38945011339237,1652,993511.0478160676,238.38945011339237,9,4,NASH,0
1229,0,28.64634023762319,155,516086.247184837,28.64634023762319,9,5,Cirrhosis,0
1230,0,1.219908378819319,6,259110.87456531124,1.219908378819319,9,6,HCC,0
1231,169.02915596191912,0,65,0,169.02915596191912,9,7,Liver death,0
1232,0,0,1554,0,0,9,8,Natural death,0
1237,0,128.0351351810473,1754,9.418729206562193e+06,128.0351351810473,9,13,CHD,0
1238,329.3007106843247,0,271,0,329.3007106843247,9,14,CHD death,0
1243,0,76.05938702558404,2712,1.290180921754493e+07,76.05938702558404,9,19,T2DM,0
1244,913.1755309359979,0,587,0,913.1755309359979,9,20,T2DM death,0
1249,0,0,8810,4.6489490103275785e+06,0,9,25,Overweight,0
1250,0,137.26099446508775,8682,2.273636796752868e+06,137.26099446508775,9,26,Obese,0
1363,0,0,7948,738170.9222745028,0,10,3,Steatosis,0
1364,0,247.13732692354367,1764,1.02996866895523e+06,247.13732692354367,10,4,NASH,0
1365,0,29.2474378874574,163,526915.4919582111,29.2474378874574,10,5,Cirrhosis,0
1366,0,1.7765656002223096,9,377345.93383297755,1.7765656002223096,10,6,HCC,0
1367,186.2520415154014,0,78,0,186.2520415154014,10,7,Liver death,0
1368,0,0,1751,0,0,10,8,Natural death,0
1373,0,125.29813629877341,1768,9.2173856357191e+06,125.29813629877341,10,13,CHD,0
1374,280.00525356928125,0,317,0,280.00525356928125,10,14,CHD death,0
1379,0,76.02235607849559,2792,1.2895527728394216e+07,76.02235607849559,10,19,T2DM,0
1380,995.6741828462186,0,683,0,995.6741828462186,10,20,T2DM death,0
1385,0,0,8832,4.52481377728468e+06,0,10,25,Overweight,0
1386,0,134.85943435817117,8786,2.2338565558326477e+06,134.85943435817117,10,26,Obese,0
1499,0,0,8046,725507.4538652134,0,11,3,Steatosis,0
1500,0,256.3975635971166,1885,1.0685615992892846e+06,256.3975635971166,11,4,NASH,0
1501,0,31.531277965511904,181,568060.6590293373,31.531277965511904,11,5,Cirrhosis,0
1502,0,1.341527421958594,7,284942.99210688705,1.341527421958594,11,6,HCC,0
1503,319.8885993278009,0,98,0,319.8885993278009,11,7,Liver death,0
1504,0,0,1954,0,0,11,8,Natural death,0
1509,0,125.70821893964046,1827,9.247552803046089e+06,125.70821893964046,11,13,CHD,0
1510,221.1371328457216,0,353,0,221.1371328457216,11,14,CHD death,0
1515,0,75.28850464278817,2848,1.2771045904548973e+07,75.28850464278817,11,19,T2DM,0
1516,1054.172999560973,0,793,0,1054.172999560973,11,20,T2DM death,0
1521,0,0,8792,4.373127146858987e+06,0,11,25,Overweight,0
1522,0,132.36210917734022,8882,2.1924900303564165e+06,132.36210917734022,11,26,Obese,0
1635,0,0,8160,714356.1443472789,0,12,3,Steatosis,0
1636,0,263.588131616413,1996,1.098528985697683e+06,263.588131616413,12,4,NASH,0
1637,0,34.164663139158975,202,615503.1546635558,34.164663139158975,12,5,Cirrhosis,0
1638,0,1.4885186374020463,8,316164.2076081964,1.4885186374020463,12,6,HCC,0
1639,251.64915810193926,0,115,0,251.64915810193926,12,7,Liver death,0
1640,0,0,2126,0,0,12,8,Natural death,0
1645,0,124.25127256616678,1860,9.140374540290827e+06,124.25127256616678,12,13,CHD,0
1646,332.44739853059605,0,405,0,332.44739853059605,12,14,CHD death,0
1651,0,74.37891569448196,2898,1.2616754060552308e+07,74.37891569448196,12,19,T2DM,0
1652,1057.607934695965,0,907,0,1057.607934695965,12,20,T2DM death,0
1657,0,0,8824,4.261207667152e+06,0,12,25,Overweight,0
1658,0,129.24478232195585,8933,2.140853590786664e+06,129.24478232195585,12,26,Obese,0
1771,0,0,8287,704343.8711456787,0,13,3,Steatosis,0
1772,0,266.55238906477393,2079,1.1108828147876346e+06,266.55238906477393,13,4,NASH,0
1773,0,35.96107482205035,219,647866.9175781925,35.96107482205035,13,5,Cirrhosis,0
1774,0,1.8064546570413182,10,383694.42670897633,1.8064546570413182,13,6,HCC,0
1775,173.44333680528217,0,125,0,173.44333680528217,13,7,Liver death,0
1776,0,0,2297,0,0,13,8,Natural death,0
1781,0,124.91280455289984,1926,9.189039234053817e+06,124.91280455289984,13,13,CHD,0
1782,234.3373985581579,0,442,0,234.3373985581579,13,14,CHD death,0
1787,0,74.60467332317008,2994,1.2655048897897905e+07,74.60467332317008,13,19,T2DM,0
1788,1006.3076669111516,0,1020,0,1006.3076669111516,13,20,T2DM death,0
1793,0,0,8903,4.17413363605028e+06,0,13,25,Overweight,0
1794,0,126.32318124693718,8993,2.0924592181868132e+06,126.32318124693718,13,26,Obese,0
1907,0,0,8366,690347.9453730121,0,14,3,Steatosis,0
1908,0,272.6057300008411,2190,1.1361106975370178e+06,272.6057300008411,14,4,NASH,0
1909,0,39.21808931251668,246,706544.5836070178,39.21808931251668,14,5,Cirrhosis,0
1910,0,2.2799913147123436,13,484274.51914725173,2.2799913147123436,14,6,HCC,0
1911,236.87268657372425,0,141,0,236.87268657372425,14,7,Liver death,0
1912,0,0,2497,0,0,14,8,Natural death,0
1917,0,122.15610643953258,1940,8.986246516278941e+06,122.15610643953258,14,13,CHD,0
1918,267.3174509797594,0,489,0,267.3174509797594,14,14,CHD death,0
1923,0,74.00422064049917,3059,1.2553195250913082e+07,74.00422064049917,14,19,T2DM,0
1924,947.2916820673507,0,1126,0,947.2916820673507,14,20,T2DM death,0
1929,0,0,8890,4.0466394576812224e+06,0,14,25,Overweight,0
1930,0,123.84398317390294,9081,2.051392956156746e+06,123.84398317390294,14,26,Obese,0
2043,0,0,8420,674566.9248437479,0,15,3,Steatosis,0
2044,0,275.5424322391647,2280,1.1483496876288843e+06,275.5424322391647,15,4,NASH,0
2045,0,40.39751089496732,261,727792.7868080854,40.39751089496732,15,5,Cirrhosis,0
2046,0,2.8946865085967013,17,614836.9548546133,2.8946865085967013,15,6,HCC,0
2047,239.5130932668126,0,163,0,239.5130932668126,15,7,Liver death,0
2048,0,0,2701,0,0,15,8,Natural death,0
2053,0,121.65481524105665,1990,8.949369716442462e+06,121.65481524105665,15,13,CHD,0
2054,161.66248341346557,0,517,0,161.66248341346557,15,14,CHD death,0
2059,0,73.93915981689962,3148,1.2542159107098285e+07,73.93915981689962,15,19,T2DM,0
2060,781.8570690966129,0,1217,0,781.8570690966129,15,20,T2DM death,0
2065,0,0,8854,3.912866617702228e+06,0,15,25,Overweight,0
2066,0,120.96510374022115,9136,2.0037062390423852e+06,120.96510374022115,15,26,Obese,0
2179,0,0,8507,661686.3258591881,0,16,3,Steatosis,0
2180,0,275.3781674609501,2347,1.1476650983073015e+06,275.3781674609501,16,4,NASH,0
2181,0,42.677130878885166,284,768861.9255793436,42.677130878885166,16,5,Cirrhosis,0
2182,0,2.4797428685865515,15,526702.1315145177,2.4797428685865515,16,6,HCC,0
2183,238.93857404399262,0,181,0,238.93857404399262,16,7,Liver death,0
2184,0,0,2851,0,0,16,8,Natural death,0
2189,0,121.43521099829333,2046,8.933214831361307e+06,121.43521099829333,16,13,CHD,0
2190,221.0279217784274,0,561,0,221.0279217784274,16,14,CHD death,0
2195,0,73.76950136553116,3235,1.2513380266548337e+07,73.76950136553116,16,19,T2DM,0
2196,1007.9806761955329,0,1334,0,1007.9806761955329,16,20,T2DM death,0
2201,0,0,8956,3.842663776357842e+06,0,16,25,Overweight,0
2202,0,118.13600982909854,9190,1.9568441858936679e+06,118.13600982909854,16,26,Obese,0
2315,0,0,8605,649814.4684979308,0,17,3,Steatosis,0
2316,0,277.0401807161575,2432,1.1545916990016063e+06,277.0401807161575,17,4,NASH,0
2317,0,44.49789729953502,305,801664.4581625226,44.49789729953502,17,5,Cirrhosis,0
2318,0,2.568018504685102,16,545452.0455813773,2.568018504685102,17,6,HCC,0
2319,366.6106224722493,0,209,0,366.6106224722493,17,7,Liver death,0
2320,0,0,3005,0,0,17,8,Natural death,0
2325,0,121.64380909821075,2111,8.948560064631734e+06,121.64380909821075,17,13,CHD,0
2326,176.3316045948127,0,593,0,176.3316045948127,17,14,CHD death,0
2331,0,73.21491004511525,3307,1.2419305995249957e+07,73.21491004511525,17,19,T2DM,0
2332,838.9340631068412,0,1448,0,838.9340631068412,17,20,T2DM death,0
2337,0,0,8971,3.73698998097511e+06,0,17,25,Overweight,0
2338,0,115.79343304714158,9278,1.9180409643999068e+06,115.79343304714158,17,26,Obese,0
2451,0,0,8689,637046.4131578387,0,18,3,Steatosis,0
2452,0,277.37639452770253,2508,1.155992902519764e+06,277.37639452770253,18,4,NASH,0
2453,0,44.618295875707624,315,803833.5327747669,44.618295875707624,18,5,Cirrhosis,0
2454,0,1.8699163869066275,12,397173.8195980903,1.8699163869066275,18,6,HCC,0
2455,274.3874135981236,0,236,0,274.3874135981236,18,7,Liver death,0
2456,0,0,3205,0,0,18,8,Natural death,0
2461,0,119.10780312560432,2129,8.762002261663077e+06,119.10780312560432,18,13,CHD,0
2462,244.2708669265829,0,644,0,244.2708669265829,18,14,CHD death,0
2467,0,73.10292350249564,3401,1.2400309930934211e+07,73.10292350249564,18,19,T2DM,0
2468,730.6867493783092,0,1547,0,730.6867493783092,18,20,T2DM death,0
2473,0,0,9037,3.65483802263253e+06,0,18,25,Overweight,0
2474,0,112.80855030993614,9310,1.8685983732858354e+06,112.80855030993614,18,26,Obese,0
2587,0,0,8757,623331.970902053,0,19,3,Steatosis,0
2588,0,276.70637211328693,2577,1.1532005194226608e+06,276.70637211328693,19,4,NASH,0
2589,0,45.79409008047676,333,825016.3859269524,45.79409008047676,19,5,Cirrhosis,0
2590,0,2.4206037370959588,16,514140.86679364456,2.4206037370959588,19,6,HCC,0
2591,351.56700813190326,0,269,0,351.56700813190326,19,7,Liver death,0
2592,0,0,3399,0,0,19,8,Natural death,0
2597,0,117.59401777896103,2165,8.650642717762854e+06,117.59401777896103,19,13,CHD,0
2598,240.59204138976216,0,698,0,240.59204138976216,19,14,CHD death,0
2603,0,71.39108180690698,3421,1.2109933478652485e+07,71.39108180690698,19,19,T2DM,0
2604,942.7159632294001,0,1677,0,942.7159632294001,19,20,T2DM death,0
2609,0,0,9086,3.5676263251769855e+06,0,19,25,Overweight,0
2610,0,109.36993234454339,9297,1.8116399608353712e+06,109.36993234454339,19,26,Obese,0
2723,0,0,8798,608010.0890157527,0,20,3,Steatosis,0
2724,0,274.0678565374201,2629,1.1422042510341234e+06,274.0678565374201,20,4,NASH,0
2725,0,48.99976984616152,367,882769.2166978421,48.99976984616152,20,5,Cirrhosis,0
2726,0,2.7907445998072324,19,592759.494482964,2.7907445998072324,20,6,HCC,0
2727,277.8147802893162,0,294,0,277.8147802893162,20,7,Liver death,0
2728,0,0,3583,0,0,20,8,Natural death,0
2733,0,116.01463670203317,2200,8.53445771388522e+06,116.01463670203317,20,13,CHD,0
2734,208.3829364657573,0,749,0,208.3829364657573,20,14,CHD death,0
2739,0,71.21623228071039,3515,1.2080274085946744e+07,71.21623228071039,20,19,T2DM,0
2740,933.1782283357159,0,1807,0,933.1782283357159,20,20,T2DM death,0
2745,0,0,9015,3.4366486498449943e+06,0,20,25,Overweight,0
2746,0,106.80115386985398,9351,1.7690898592165718e+06,106.80115386985398,20,26,Obese,0
2859,0,0,8877,595601.5555381145,0,21,3,Steatosis,0
2860,0,271.65193563442705,2684,1.1321356674344114e+06,271.65193563442705,21,4,NASH,0
2861,0,49.25772477326321,380,887416.4766677578,49.25772477326321,21,5,Cirrhosis,0
2862,0,2.994667174039443,21,636073.0395576006,2.994667174039443,21,6,HCC,0
2863,338.0734320749024,0,329,0,338.0734320749024,21,7,Liver death,0
2864,0,0,3768,0,0,21,8,Natural death,0
