Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,6991,0,0,2,3,Steatosis,0
276,0,0,746,0,0,2,4,NASH,0
277,0,0,48,0,0,2,5,Cirrhosis,0
278,0,0,8,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1504,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2155,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7461,0,0,2,25,Overweight,0
298,0,0,8400,0,0,2,26,Obese,0
411,0,0,7345,0,0,3,3,Steatosis,0
412,0,0,878,0,0,3,4,NASH,0
413,0,0,53,0,0,3,5,Cirrhosis,0
414,0,0,9,0,0,3,6,HCC,0
415,0,0,7,0,0,3,7,Liver death,0
416,0,0,198,0,0,3,8,Natural death,0
421,0,0,1519,0,0,3,13,CHD,0
422,0,0,37,0,0,3,14,CHD death,0
427,0,0,2289,0,0,3,19,T2DM,0
428,0,0,87,0,0,3,20,T2DM death,0
433,0,0,7794,0,0,3,25,Overweight,0
434,0,0,8435,0,0,3,26,Obese,0
547,0,0,7586,0,0,4,3,Steatosis,0
548,0,0,1037,0,0,4,4,NASH,0
549,0,0,61,0,0,4,5,Cirrhosis,0
550,0,0,9,0,0,4,6,HCC,0
551,0,0,17,0,0,4,7,Liver death,0
552,0,0,389,0,0,4,8,Natural death,0
557,0,0,1552,0,0,4,13,CHD,0
558,0,0,73,0,0,4,14,CHD death,0
563,0,0,2425,0,0,4,19,T2DM,0
564,0,0,172,0,0,4,20,T2DM death,0
569,0,0,8106,0,0,4,25,Overweight,0
570,0,0,8413,0,0,4,26,Obese,0
683,0,0,7828,0,0,5,3,Steatosis,0
684,0,0,1173,0,0,5,4,NASH,0
685,0,0,70,0,0,5,5,Cirrhosis,0
686,0,0,9,0,0,5,6,HCC,0
687,0,0,26,0,0,5,7,Liver death,0
688,0,0,587,0,0,5,8,Natural death,0
693,0,0,1561,0,0,5,13,CHD,0
694,0,0,113,0,0,5,14,CHD death,0
699,0,0,2592,0,0,5,19,T2DM,0
700,0,0,256,0,0,5,20,T2DM death,0
705,0,0,8343,0,0,5,25,Overweight,0
706,0,0,8366,0,0,5,26,Obese,0
819,0,0,7960,0,0,6,3,Steatosis,0
820,0,0,1347,0,0,6,4,NASH,0
821,0,0,79,0,0,6,5,Cirrhosis,0
822,0,0,9,0,0,6,6,HCC,0
823,0,0,39,0,0,6,7,Liver death,0
824,0,0,767,0,0,6,8,Natural death,0
829,0,0,1583,0,0,6,13,CHD,0
830,0,0,146,0,0,6,14,CHD death,0
835,0,0,2745,0,0,6,19,T2DM,0
836,0,0,343,0,0,6,20,T2DM death,0
841,0,0,8524,0,0,6,25,Overweight,0
842,0,0,8328,0,0,6,26,Obese,0
955,0,0,8111,1.445871771573737e+06,0,7,3,Steatosis,0
956,0,218.4004208729733,1520,537618.5998526871,218.4004208729733,7,4,NASH,0
957,0,21.698262223524708,86,203971.70912063355,21.698262223524708,7,5,Cirrhosis,0
958,0,1.5240533553640683,5,210702.97802155197,1.5240533553640683,7,6,HCC,0
959,211.43615684799997,0,53,0,211.43615684799997,7,7,Liver death,0
960,0,0,957,0,0,7,8,Natural death,0
965,0,111.03299529601932,1579,2.8393470723215654e+07,111.03299529601932,7,13,CHD,0
966,226.854706378,0,179,0,226.854706378,7,14,CHD death,0
971,0,105.54315582774242,2895,3.1682790960184332e+07,105.54315582774242,7,19,T2DM,0
972,861.9751332499995,0,426,0,861.9751332499995,7,20,T2DM death,0
977,0,0,8626,2.6299153100371673e+06,0,7,25,Overweight,0
978,0,92.46717703072918,8369,7.596150428537456e+06,92.46717703072918,7,26,Obese,0
1091,0,0,8251,1.4279885983980477e+06,0,8,3,Steatosis,0
1092,0,230.73217688035447,1654,567974.683288423,230.73217688035447,8,4,NASH,0
1093,0,23.51584074800599,96,221057.6210835501,23.51584074800599,8,5,Cirrhosis,0
1094,0,1.7755961421717301,6,245479.197695012,1.7755961421717301,8,6,HCC,0
1095,137.1490966932039,0,63,0,137.1490966932039,8,7,Liver death,0
1096,0,0,1125,0,0,8,8,Natural death,0
1101,0,108.07210631873481,1583,2.763630917617068e+07,108.07210631873481,8,13,CHD,0
1102,272.34659389902913,0,219,0,272.34659389902913,8,14,CHD death,0
1107,0,107.282829556789,3031,3.2205020172151428e+07,107.282829556789,8,19,T2DM,0
1108,923.6278296300975,0,518,0,923.6278296300975,8,20,T2DM death,0
1113,0,0,8750,2.590020120117507e+06,0,8,25,Overweight,0
1114,0,90.62138840582224,8448,7.444519455214218e+06,90.62138840582224,8,26,Obese,0
1227,0,0,8361,1.4048797464041233e+06,0,9,3,Steatosis,0
1228,0,246.49426628137428,1820,606774.9401773287,246.49426628137428,9,4,NASH,0
1229,0,26.873887586212355,113,252624.5062949149,26.873887586212355,9,5,Cirrhosis,0
1230,0,2.01119304129484,7,278050.87117557996,2.01119304129484,9,6,HCC,0
1231,95.02370459704025,0,71,0,95.02370459704025,9,7,Liver death,0
1232,0,0,1284,0,0,9,8,Natural death,0
1237,0,105.32206694948152,1589,2.693306630579465e+07,105.32206694948152,9,13,CHD,0
1238,249.9727460957677,0,252,0,249.9727460957677,9,14,CHD death,0
1243,0,108.90035550618596,3169,3.269058208401402e+07,108.90035550618596,9,19,T2DM,0
1244,931.1161658610621,0,618,0,931.1161658610621,9,20,T2DM death,0
1249,0,0,8832,2.538147872497374e+06,0,9,25,Overweight,0
1250,0,88.5026568789343,8498,7.270466305621929e+06,88.5026568789343,9,26,Obese,0
1363,0,0,8461,1.380274289474218e+06,0,10,3,Steatosis,0
1364,0,257.32917908493147,1957,633446.3661192195,257.32917908493147,10,4,NASH,0
1365,0,30.247265862993558,131,284335.51271272334,30.247265862993558,10,5,Cirrhosis,0
1366,0,1.3947247165706242,5,192823.0729372954,1.3947247165706242,10,6,HCC,0
1367,211.21614414213246,0,83,0,211.21614414213246,10,7,Liver death,0
1368,0,0,1445,0,0,10,8,Natural death,0
1373,0,102.96229974226382,1600,2.6329624230462693e+07,102.96229974226382,10,13,CHD,0
1374,231.11163632728025,0,282,0,231.11163632728025,10,14,CHD death,0
1379,0,110.33264472237678,3307,3.31205381477227e+07,110.33264472237678,10,19,T2DM,0
1380,933.1159487200373,0,718,0,933.1159487200373,10,20,T2DM death,0
1385,0,0,8982,2.506072818917012e+06,0,10,25,Overweight,0
1386,0,86.0057991271907,8506,7.065350201833636e+06,86.0057991271907,10,26,Obese,0
1499,0,0,8561,1.3559103496212757e+06,0,11,3,Steatosis,0
1500,0,269.3664107779473,2110,663077.4429414857,269.3664107779473,11,4,NASH,0
1501,0,32.72882839988925,146,307663.1205518233,32.72882839988925,11,5,Cirrhosis,0
1502,0,2.708203333146843,10,374413.73385882593,2.708203333146843,11,6,HCC,0
1503,109.7783665522796,0,91,0,109.7783665522796,11,7,Liver death,0
1504,0,0,1607,0,0,11,8,Natural death,0
1509,0,99.40110369535775,1591,2.5418951547735333e+07,99.40110369535775,11,13,CHD,0
1510,220.47521216026732,0,313,0,220.47521216026732,11,14,CHD death,0
1515,0,111.29759094891935,3436,3.3410203444760285e+07,111.29759094891935,11,19,T2DM,0
1516,912.7615032529159,0,812,0,912.7615032529159,11,20,T2DM death,0
1521,0,0,9064,2.4552928976246826e+06,0,11,25,Overweight,0
1522,0,83.89344350200528,8546,6.891820830624698e+06,83.89344350200528,11,26,Obese,0
1635,0,0,8625,1.326259041678347e+06,0,12,3,Steatosis,0
1636,0,281.7235778301565,2273,693496.0786849047,281.7235778301565,12,4,NASH,0
1637,0,33.73432904630162,155,317115.19939840777,33.73432904630162,12,5,Cirrhosis,0
1638,0,2.1034588995315286,8,290806.78357967065,2.1034588995315286,12,6,HCC,0
1639,263.05390518298077,0,108,0,263.05390518298077,12,7,Liver death,0
1640,0,0,1770,0,0,12,8,Natural death,0
1645,0,97.29447213839649,1604,2.4880241578885775e+07,97.29447213839649,12,13,CHD,0
1646,228.35672643749032,0,351,0,228.35672643749032,12,14,CHD death,0
1651,0,112.77313910473934,3586,3.3853145323894985e+07,112.77313910473934,12,19,T2DM,0
1652,930.9215900516408,0,920,0,930.9215900516408,12,20,T2DM death,0
1657,0,0,9133,2.4019261126926052e+06,0,12,25,Overweight,0
1658,0,81.54525282971125,8556,6.698917682131406e+06,81.54525282971125,12,26,Obese,0
1771,0,0,8714,1.3009169876670085e+06,0,13,3,Steatosis,0
1772,0,285.43105284625244,2372,702622.4691890208,285.43105284625244,13,4,NASH,0
1773,0,34.01958644819636,161,319796.72472999437,34.01958644819636,13,5,Cirrhosis,0
1774,0,2.2974672446339515,9,317628.76847294124,2.2974672446339515,13,6,HCC,0
1775,316.52535009032636,0,130,0,316.52535009032636,13,7,Liver death,0
1776,0,0,1918,0,0,13,8,Natural death,0
1781,0,95.99181027140078,1630,2.4547123558569334e+07,95.99181027140078,13,13,CHD,0
1782,142.21008353202882,0,380,0,142.21008353202882,13,14,CHD death,0
1787,0,112.45010838340524,3683,3.375617537129493e+07,112.45010838340524,13,19,T2DM,0
1788,1104.7171797596088,0,1047,0,1104.7171797596088,13,20,T2DM death,0
1793,0,0,9159,2.3386057884775954e+06,0,13,25,Overweight,0
1794,0,79.54952847227536,8597,6.534969534044135e+06,79.54952847227536,13,26,Obese,0
1907,0,0,8818,1.278100188876475e+06,0,14,3,Steatosis,0
1908,0,292.8893930342502,2507,720982.0602239814,292.8893930342502,14,4,NASH,0
1909,0,35.69564036655724,174,335552.2529278122,35.69564036655724,14,5,Cirrhosis,0
1910,0,2.4783896921617594,10,342641.6056881783,2.4783896921617594,14,6,HCC,0
1911,218.34505723010201,0,147,0,218.34505723010201,14,7,Liver death,0
1912,0,0,2077,0,0,14,8,Natural death,0
1917,0,93.36745855810061,1633,2.3876021663673982e+07,93.36745855810061,14,13,CHD,0
1918,201.5433767887817,0,417,0,201.5433767887817,14,14,CHD death,0
1923,0,113.53237127510761,3830,3.408105772575137e+07,113.53237127510761,14,19,T2DM,0
1924,930.591180480626,0,1170,0,930.591180480626,14,20,T2DM death,0
1929,0,0,9201,2.2809027419343325e+06,0,14,25,Overweight,0
1930,0,77.48409448241573,8625,6.365294760887721e+06,77.48409448241573,14,26,Obese,0
2043,0,0,8883,1.2500208067114789e+06,0,15,3,Steatosis,0
2044,0,297.2891821899792,2621,731812.6642864356,297.2891821899792,15,4,NASH,0
2045,0,37.84271660331353,190,355735.56554114656,37.84271660331353,15,5,Cirrhosis,0
2046,0,2.4062035846230674,10,332661.7530953186,2.4062035846230674,15,6,HCC,0
2047,248.41347710493557,0,167,0,248.41347710493557,15,7,Liver death,0
2048,0,0,2235,0,0,15,8,Natural death,0
2053,0,90.70352813270878,1634,2.3194798660184853e+07,90.70352813270878,15,13,CHD,0
2054,231.25682470105718,0,456,0,231.25682470105718,15,14,CHD death,0
2059,0,113.70792641334134,3951,3.413375727507946e+07,113.70792641334134,15,19,T2DM,0
2060,991.6450609955805,0,1291,0,991.6450609955805,15,20,T2DM death,0
2065,0,0,9238,2.2233737288996917e+06,0,15,25,Overweight,0
2066,0,75.75059637875897,8685,6.222888419678169e+06,75.75059637875897,15,26,Obese,0
2179,0,0,8955,1.2234492112786192e+06,0,16,3,Steatosis,0
2180,0,303.93725912228524,2760,748177.6959918902,303.93725912228524,16,4,NASH,0
2181,0,39.834438529803805,206,374458.49004331155,39.834438529803805,16,5,Cirrhosis,0
2182,0,2.5697319835780323,11,355269.83340276754,2.5697319835780323,16,6,HCC,0
2183,209.87948212142135,0,184,0,209.87948212142135,16,7,Liver death,0
2184,0,0,2378,0,0,16,8,Natural death,0
2189,0,88.33114437707515,1639,2.258813026823422e+07,88.33114437707515,16,13,CHD,0
2190,160.51784359511277,0,484,0,160.51784359511277,16,14,CHD death,0
2195,0,113.66517623642562,4068,3.412092418412448e+07,113.66517623642562,16,19,T2DM,0
2196,925.46951640909,0,1419,0,925.46951640909,16,20,T2DM death,0
2201,0,0,9314,2.1763739588671187e+06,0,16,25,Overweight,0
2202,0,74.13702581686336,8755,6.090334089493228e+06,74.13702581686336,16,26,Obese,0
2315,0,0,9018,1.1961712540384866e+06,0,17,3,Steatosis,0
2316,0,308.9836354521591,2890,760599.9512510732,308.9836354521591,17,4,NASH,0
2317,0,42.428990044941244,226,398848.23616640747,42.428990044941244,17,5,Cirrhosis,0
2318,0,3.402116483113019,15,470348.41138936573,3.402116483113019,17,6,HCC,0
2319,233.93523582503923,0,203,0,233.93523582503923,17,7,Liver death,0
2320,0,0,2508,0,0,17,8,Natural death,0
2325,0,87.17113000006384,1666,2.2291490209444545e+07,87.17113000006384,17,13,CHD,0
2326,137.15968857821346,0,519,0,137.15968857821346,17,14,CHD death,0
2331,0,113.9353658182253,4200,3.420203185967451e+07,113.9353658182253,17,19,T2DM,0
2332,892.2519676151334,0,1532,0,892.2519676151334,17,20,T2DM death,0
2337,0,0,9376,2.1270498152203723e+06,0,17,25,Overweight,0
2338,0,72.77516343291975,8852,5.978457509462364e+06,72.77516343291975,17,26,Obese,0
2451,0,0,9108,1.1729214474807e+06,0,18,3,Steatosis,0
2452,0,307.7691669015049,2965,757610.3925351795,307.7691669015049,18,4,NASH,0
2453,0,45.93223426121317,252,431780.0305607674,45.93223426121317,18,5,Cirrhosis,0
2454,0,3.523227425877558,16,487092.2059695695,3.523227425877558,18,6,HCC,0
2455,279.0723736992703,0,228,0,279.0723736992703,18,7,Liver death,0
2456,0,0,2627,0,0,18,8,Natural death,0
2461,0,85.85135590164754,1690,2.1953996231868017e+07,85.85135590164754,18,13,CHD,0
2462,163.66297093166423,0,552,0,163.66297093166423,18,14,CHD death,0
2467,0,113.46129356102418,4308,3.4059721047500566e+07,113.46129356102418,18,19,T2DM,0
2468,1040.7711531173693,0,1673,0,1040.7711531173693,18,20,T2DM death,0
2473,0,0,9400,2.0703829922162693e+06,0,18,25,Overweight,0
2474,0,71.2461567351844,8926,5.852850074961366e+06,71.2461567351844,18,26,Obese,0
2587,0,0,9130,1.141509311722152e+06,0,19,3,Steatosis,0
2588,0,309.2858669004763,3069,761343.9298909748,309.2858669004763,19,4,NASH,0
2589,0,46.717945157035906,264,439166.0042689276,46.717945157035906,19,5,Cirrhosis,0
2590,0,4.061973367213207,19,561574.7520280235,4.061973367213207,19,6,HCC,0
2591,381.04759875672846,0,263,0,381.04759875672846,19,7,Liver death,0
2592,0,0,2754,0,0,19,8,Natural death,0
2597,0,83.05491086251526,1684,2.123888645629053e+07,83.05491086251526,19,13,CHD,0
2598,154.9344319331381,0,594,0,154.9344319331381,19,14,CHD death,0
2603,0,111.81866131700512,4373,3.3566622526775606e+07,111.81866131700512,19,19,T2DM,0
2604,1141.3743090678336,0,1838,0,1141.3743090678336,19,20,T2DM death,0
2609,0,0,9401,2.0102944133261936e+06,0,19,25,Overweight,0
2610,0,69.7909768949119,9006,5.733307494316775e+06,69.7909768949119,19,26,Obese,0
2723,0,0,9127,1.1078973072965029e+06,0,20,3,Steatosis,0
2724,0,310.74665011400765,3176,764939.8214319102,310.74665011400765,20,4,NASH,0
2725,0,48.106151235547344,280,452215.6560580247,48.106151235547344,20,5,Cirrhosis,0
2726,0,4.358785933136297,21,602609.5959421814,4.358785933136297,20,6,HCC,0
2727,219.73291714398414,0,286,0,219.73291714398414,20,7,Liver death,0
2728,0,0,2898,0,0,20,8,Natural death,0
2733,0,80.44430173709125,1680,2.057129882997496e+07,80.44430173709125,20,13,CHD,0
2734,114.3365479913703,0,624,0,114.3365479913703,20,14,CHD death,0
2739,0,109.50517519672562,4411,3.28721417092978e+07,109.50517519672562,20,19,T2DM,0
2740,1066.2347187922724,0,2002,0,1066.2347187922724,20,20,T2DM death,0
2745,0,0,9416,1.9548562997205476e+06,0,20,25,Overweight,0
2746,0,68.17955587555157,9062,5.600929748398754e+06,68.17955587555157,20,26,Obese,0
2859,0,0,9112,1.0738606847799437e+06,0,21,3,Steatosis,0
2860,0,311.6699759800648,3281,767212.6978179483,311.6699759800648,21,4,NASH,0
2861,0,49.040251259539026,294,460996.5425834279,49.040251259539026,21,5,Cirrhosis,0
2862,0,3.42576795484591,17,473618.26773079426,3.42576795484591,21,6,HCC,0
2863,364.51315178398,0,319,0,364.51315178398,21,7,Liver death,0
2864,0,0,3020,0,0,21,8,Natural death,0
