Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,6372,0,0,2,3,Steatosis,0
276,0,0,751,0,0,2,4,NASH,0
277,0,0,68,0,0,2,5,Cirrhosis,0
278,0,0,5,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1407,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2093,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7464,0,0,2,25,Overweight,0
298,0,0,8436,0,0,2,26,Obese,0
411,0,0,6494,0,0,3,3,Steatosis,0
412,0,0,820,0,0,3,4,NASH,0
413,0,0,67,0,0,3,5,Cirrhosis,0
414,0,0,5,0,0,3,6,HCC,0
415,0,0,5,0,0,3,7,Liver death,0
416,0,0,259,0,0,3,8,Natural death,0
421,0,0,1409,0,0,3,13,CHD,0
422,0,0,57,0,0,3,14,CHD death,0
427,0,0,2174,0,0,3,19,T2DM,0
428,0,0,74,0,0,3,20,T2DM death,0
433,0,0,7740,0,0,3,25,Overweight,0
434,0,0,8139,0,0,3,26,Obese,0
547,0,0,6575,0,0,4,3,Steatosis,0
548,0,0,871,0,0,4,4,NASH,0
549,0,0,69,0,0,4,5,Cirrhosis,0
550,0,0,4,0,0,4,6,HCC,0
551,0,0,14,0,0,4,7,Liver death,0
552,0,0,516,0,0,4,8,Natural death,0
557,0,0,1389,0,0,4,13,CHD,0
558,0,0,110,0,0,4,14,CHD death,0
563,0,0,2246,0,0,4,19,T2DM,0
564,0,0,141,0,0,4,20,T2DM death,0
569,0,0,7957,0,0,4,25,Overweight,0
570,0,0,7893,0,0,4,26,Obese,0
683,0,0,6673,0,0,5,3,Steatosis,0
684,0,0,955,0,0,5,4,NASH,0
685,0,0,68,0,0,5,5,Cirrhosis,0
686,0,0,5,0,0,5,6,HCC,0
687,0,0,20,0,0,5,7,Liver death,0
688,0,0,735,0,0,5,8,Natural death,0
693,0,0,1410,0,0,5,13,CHD,0
694,0,0,162,0,0,5,14,CHD death,0
699,0,0,2308,0,0,5,19,T2DM,0
700,0,0,220,0,0,5,20,T2DM death,0
705,0,0,8174,0,0,5,25,Overweight,0
706,0,0,7704,0,0,5,26,Obese,0
819,0,0,6736,0,0,6,3,Steatosis,0
820,0,0,1054,0,0,6,4,NASH,0
821,0,0,73,0,0,6,5,Cirrhosis,0
822,0,0,3,0,0,6,6,HCC,0
823,0,0,28,0,0,6,7,Liver death,0
824,0,0,969,0,0,6,8,Natural death,0
829,0,0,1419,0,0,6,13,CHD,0
830,0,0,205,0,0,6,14,CHD death,0
835,0,0,2384,0,0,6,19,T2DM,0
836,0,0,291,0,0,6,20,T2DM death,0
841,0,0,8316,0,0,6,25,Overweight,0
842,0,0,7549,0,0,6,26,Obese,0
955,0,0,6821,638761.2093041141,0,7,3,Steatosis,0
956,0,136.0428535244819,1120,103926.09232732558,136.0428535244819,7,4,NASH,0
957,0,14.209517854991027,74,84676.01356792009,14.209517854991027,7,5,Cirrhosis,0
958,0,0.5681040394619966,2,60007.510553896005,0.5681040394619966,7,6,HCC,0
959,179.69509027,0,36,0,179.69509027,7,7,Liver death,0
960,0,0,1171,0,0,7,8,Natural death,0
965,0,62.707748168864256,1418,1.3550840144524101e+07,62.707748168864256,7,13,CHD,0
966,294.87983113699994,0,245,0,294.87983113699994,7,14,CHD death,0
971,0,67.74490166001145,2456,1.1494134908259863e+07,67.74490166001145,7,19,T2DM,0
972,703.1639999479999,0,367,0,703.1639999479999,7,20,T2DM death,0
977,0,0,8503,2.3073840702136382e+06,0,7,25,Overweight,0
978,0,62.336904676400266,7445,6.93158581959346e+06,62.336904676400266,7,26,Obese,0
1091,0,0,6923,629430.2222024812,0,8,3,Steatosis,0
1092,0,137.97688854337798,1170,105403.54370923023,137.97688854337798,8,4,NASH,0
1093,0,13.422793040663253,72,79987.83753463978,13.422793040663253,8,5,Cirrhosis,0
1094,0,0.8273359797990241,3,87389.57847654758,0.8273359797990241,8,6,HCC,0
1095,173.59854165048546,0,46,0,173.59854165048546,8,7,Liver death,0
1096,0,0,1374,0,0,8,8,Natural death,0
1101,0,60.06555088408237,1399,1.2979874130245795e+07,60.06555088408237,8,13,CHD,0
1102,295.4563834825243,0,294,0,295.4563834825243,8,14,CHD death,0
1107,0,67.61957112817933,2525,1.1472870340658622e+07,67.61957112817933,8,19,T2DM,0
1108,918.7880336543692,0,458,0,918.7880336543692,8,20,T2DM death,0
1113,0,0,8703,2.292870199218457e+06,0,8,25,Overweight,0
1114,0,59.19622081067965,7282,6.582355779051584e+06,59.19622081067965,8,26,Obese,0
1227,0,0,7011,618865.1151377783,0,9,3,Steatosis,0
1228,0,140.59880435753686,1228,107406.48217984887,140.59880435753686,9,4,NASH,0
1229,0,13.39383340087756,74,79815.26399087568,13.39383340087756,9,5,Cirrhosis,0
1230,0,0.5354925435592389,2,56562.83396540296,0.5354925435592389,9,6,HCC,0
1231,110.75431247808464,0,54,0,110.75431247808464,9,7,Liver death,0
1232,0,0,1597,0,0,9,8,Natural death,0
1237,0,57.89922772714884,1389,1.2511742206230283e+07,57.89922772714884,9,13,CHD,0
1238,316.17178234894897,0,341,0,316.17178234894897,9,14,CHD death,0
1243,0,68.17207170935019,2622,1.1566611951631987e+07,68.17207170935019,9,19,T2DM,0
1244,593.376690509002,0,524,0,593.376690509002,9,20,T2DM death,0
1249,0,0,8796,2.2498754778588424e+06,0,9,25,Overweight,0
1250,0,56.85645610002862,7204,6.322184376997163e+06,56.85645610002862,9,26,Obese,0
1363,0,0,7134,611380.9687955437,0,10,3,Steatosis,0
1364,0,143.72905192301153,1293,109797.74632249509,143.72905192301153,10,4,NASH,0
1365,0,13.88235159629138,79,82726.3953723325,13.88235159629138,10,5,Cirrhosis,0
1366,0,0.7798435100377266,3,82373.05917291694,0.7798435100377266,10,6,HCC,0
1367,108.68950306709729,0,62,0,108.68950306709729,10,7,Liver death,0
1368,0,0,1815,0,0,10,8,Natural death,0
1373,0,56.21284245354279,1389,1.2147322530320343e+07,56.21284245354279,10,13,CHD,0
1374,363.6140782089213,0,397,0,363.6140782089213,10,14,CHD death,0
1379,0,68.76123737762462,2724,1.1666574450779924e+07,68.76123737762462,10,19,T2DM,0
1380,546.0208179902207,0,584,0,546.0208179902207,10,20,T2DM death,0
1385,0,0,8851,2.1980034895089585e+06,0,10,25,Overweight,0
1386,0,54.457183105243196,7107,6.055395919110828e+06,54.457183105243196,10,26,Obese,0
1499,0,0,7195,598649.1695020709,0,11,3,Steatosis,0
1500,0,146.44975818974967,1357,111876.15296678068,146.44975818974967,11,4,NASH,0
1501,0,13.13679578363568,77,78283.5497562934,13.13679578363568,11,5,Cirrhosis,0
1502,0,0.757129621395851,3,79973.8438572009,0.757129621395851,11,6,HCC,0
1503,142.24919555272072,0,71,0,142.24919555272072,11,7,Liver death,0
1504,0,0,2022,0,0,11,8,Natural death,0
1509,0,54.73274028097647,1393,1.182747963173668e+07,54.73274028097647,11,13,CHD,0
1510,316.3608519776936,0,441,0,316.3608519776936,11,14,CHD death,0
1515,0,68.98866715781443,2815,1.1705161983000783e+07,68.98866715781443,11,19,T2DM,0
1516,704.2238942332227,0,661,0,704.2238942332227,11,20,T2DM death,0
1521,0,0,8987,2.166773691329387e+06,0,11,25,Overweight,0
1522,0,51.84442919814718,6969,5.764869335755104e+06,51.84442919814718,11,26,Obese,0
1635,0,0,7281,588159.8741229683,0,12,3,Steatosis,0
1636,0,147.42314913177563,1407,112619.74746139301,147.42314913177563,12,4,NASH,0
1637,0,13.085447823820681,79,77977.56185534208,13.085447823820681,12,5,Cirrhosis,0
1638,0,0.980103069768092,4,103526.01146563225,0.980103069768092,12,6,HCC,0
1639,129.4654093085156,0,82,0,129.4654093085156,12,7,Liver death,0
1640,0,0,2230,0,0,12,8,Natural death,0
1645,0,52.94784847259756,1388,1.1441773171579586e+07,52.94784847259756,12,13,CHD,0
1646,361.0495238770303,0,494,0,361.0495238770303,12,14,CHD death,0
1651,0,68.2879424521577,2870,1.1586271496736918e+07,68.2879424521577,12,19,T2DM,0
1652,760.4812879951076,0,748,0,760.4812879951076,12,20,T2DM death,0
1657,0,0,9042,2.1165380973168416e+06,0,12,25,Overweight,0
1658,0,49.807146454457204,6896,5.538332579559841e+06,49.807146454457204,12,26,Obese,0
1771,0,0,7377,578558.0225970681,0,13,3,Steatosis,0
1772,0,149.1311380870801,1466,113924.51734282463,149.1311380870801,13,4,NASH,0
1773,0,13.347574897101095,83,79539.60469452375,13.347574897101095,13,5,Cirrhosis,0
1774,0,0.23788909460390584,1,25127.67268583307,0.23788909460390584,13,6,HCC,0
1775,111.50930082128629,0,90,0,111.50930082128629,13,7,Liver death,0
1776,0,0,2422,0,0,13,8,Natural death,0
1781,0,52.59082344582216,1420,1.1364621795447448e+07,52.59082344582216,13,13,CHD,0
1782,207.66186553620335,0,533,0,207.66186553620335,13,14,CHD death,0
1787,0,68.79384750940277,2978,1.1672107343216583e+07,68.79384750940277,13,19,T2DM,0
1788,655.8641366425109,0,827,0,655.8641366425109,13,20,T2DM death,0
1793,0,0,9169,2.0837534670242139e+06,0,13,25,Overweight,0
1794,0,47.739375163592165,6808,5.308405632875845e+06,47.739375163592165,13,26,Obese,0
1907,0,0,7463,568255.1149718649,0,14,3,Steatosis,0
1908,0,151.20715003597803,1531,115510.42798703574,151.20715003597803,14,4,NASH,0
1909,0,13.58333157150308,87,80944.50354922883,13.58333157150308,14,5,Cirrhosis,0
1910,0,0.6928808580696286,3,73187.39617232933,0.6928808580696286,14,6,HCC,0
1911,161.06280803159376,0,101,0,161.06280803159376,14,7,Liver death,0
1912,0,0,2607,0,0,14,8,Natural death,0
1917,0,51.81415054384919,1441,1.1196786549459381e+07,51.81415054384919,14,13,CHD,0
1918,234.3827239034937,0,582,0,234.3827239034937,14,14,CHD death,0
1923,0,68.58437137185369,3058,1.1636565967762338e+07,68.58437137185369,14,19,T2DM,0
1924,787.8207806198717,0,911,0,787.8207806198717,14,20,T2DM death,0
1929,0,0,9244,2.039609728556967e+06,0,14,25,Overweight,0
1930,0,45.73618734513577,6718,5.085660080325826e+06,45.73618734513577,14,26,Obese,0
2043,0,0,7515,555548.1071037065,0,15,3,Steatosis,0
2044,0,151.59741028890198,1581,115808.55627548505,151.59741028890198,15,4,NASH,0
2045,0,12.732952259862278,84,75877.0036618147,12.732952259862278,15,5,Cirrhosis,0
2046,0,0.6726998622035228,3,71055.72443915468,0.6726998622035228,15,6,HCC,0
2047,141.16916606690882,0,111,0,141.16916606690882,15,7,Liver death,0
2048,0,0,2796,0,0,15,8,Natural death,0
2053,0,50.72391795086514,1453,1.0961192575520303e+07,50.72391795086514,15,13,CHD,0
2054,290.38786720006283,0,639,0,290.38786720006283,15,14,CHD death,0
2059,0,68.32873740844437,3138,1.1593193091124568e+07,68.32873740844437,15,19,T2DM,0
2060,649.7164050728472,0,997,0,649.7164050728472,15,20,T2DM death,0
2065,0,0,9318,1.9960555312386712e+06,0,15,25,Overweight,0
2066,0,43.888507613464924,6640,4.880206333565504e+06,43.888507613464924,15,26,Obese,0
2179,0,0,7566,543027.4697654053,0,16,3,Steatosis,0
2180,0,151.55737977704788,1628,115777.97609752334,151.55737977704788,16,4,NASH,0
2181,0,12.950760504714257,88,77174.94593434708,12.950760504714257,16,5,Cirrhosis,0
2182,0,0.8708088831113565,4,91981.52030958535,0.8708088831113565,16,6,HCC,0
2183,133.31284535562918,0,121,0,133.31284535562918,16,7,Liver death,0
2184,0,0,2991,0,0,16,8,Natural death,0
2189,0,49.721024217665956,1467,1.0744472105445191e+07,49.721024217665956,16,13,CHD,0
2190,228.68757012640265,0,683,0,228.68757012640265,16,14,CHD death,0
2195,0,68.19893534303876,3226,1.15711698478299e+07,68.19893534303876,16,19,T2DM,0
2196,639.7791554821272,0,1084,0,639.7791554821272,16,20,T2DM death,0
2201,0,0,9402,1.9553879540696298e+06,0,16,25,Overweight,0
2202,0,42.103242843006136,6561,4.681692852164642e+06,42.103242843006136,16,26,Obese,0
2315,0,0,7647,532855.3469015142,0,17,3,Steatosis,0
2316,0,150.21610003903464,1662,114753.34335660779,150.21610003903464,17,4,NASH,0
2317,0,12.8593164764374,90,76630.02133816438,12.8593164764374,17,5,Cirrhosis,0
2318,0,1.9022524145636428,9,200930.50553064758,1.9022524145636428,17,6,HCC,0
2319,140.9158489640729,0,132,0,140.9158489640729,17,7,Liver death,0
2320,0,0,3163,0,0,17,8,Natural death,0
2325,0,48.272839046278634,1467,1.0431526315966018e+07,48.272839046278634,17,13,CHD,0
2326,259.50393100960855,0,737,0,259.50393100960855,17,14,CHD death,0
2331,0,66.91039708265798,3260,1.1352546272677915e+07,66.91039708265798,17,19,T2DM,0
2332,703.7772005923399,0,1173,0,703.7772005923399,17,20,T2DM death,0
2337,0,0,9438,1.9057039620274643e+06,0,17,25,Overweight,0
2338,0,40.6401837668288,6523,4.519007207146094e+06,40.6401837668288,17,26,Obese,0
2451,0,0,7671,518958.9376482159,0,18,3,Steatosis,0
2452,0,149.9651343957457,1709,114561.62524764425,149.9651343957457,18,4,NASH,0
2453,0,13.73325060590402,99,81837.8868660007,13.73325060590402,18,5,Cirrhosis,0
2454,0,1.641641781716197,8,173402.809519437,1.641641781716197,18,6,HCC,0
2455,102.95552613837886,0,142,0,102.95552613837886,18,7,Liver death,0
2456,0,0,3324,0,0,18,8,Natural death,0
2461,0,46.83488662672364,1466,1.0120791774512608e+07,46.83488662672364,18,13,CHD,0
2462,278.0719833943608,0,794,0,278.0719833943608,18,14,CHD death,0
2467,0,65.59920995774583,3292,1.1130079912339045e+07,65.59920995774583,18,19,T2DM,0
2468,797.4792081552444,0,1284,0,797.4792081552444,18,20,T2DM death,0
2473,0,0,9482,1.8588236531871215e+06,0,18,25,Overweight,0
2474,0,39.14195016515339,6471,4.3524103117496e+06,39.14195016515339,18,26,Obese,0
2587,0,0,7701,505814.07707861374,0,19,3,Steatosis,0
2588,0,149.60135433707617,1756,114283.72575506775,149.60135433707617,19,4,NASH,0
2589,0,14.814725572711966,110,88282.5101035608,14.814725572711966,19,5,Cirrhosis,0
2590,0,1.3945986009724973,7,147308.21197039552,1.3945986009724973,19,6,HCC,0
2591,111.05442994248904,0,152,0,111.05442994248904,19,7,Liver death,0
2592,0,0,3537,0,0,19,8,Natural death,0
2597,0,45.687881959471916,1473,9.872929630761322e+06,45.687881959471916,19,13,CHD,0
2598,214.47712355149707,0,844,0,214.47712355149707,19,14,CHD death,0
2603,0,64.40437245611724,3329,1.0927354347750256e+07,64.40437245611724,19,19,T2DM,0
2604,868.7616673248194,0,1401,0,868.7616673248194,19,20,T2DM death,0
2609,0,0,9518,1.8115349400947469e+06,0,19,25,Overweight,0
2610,0,37.59668077851971,6402,4.180583246810722e+06,37.59668077851971,19,26,Obese,0
2723,0,0,7729,492867.1477214909,0,20,3,Steatosis,0
2724,0,149.37968348893648,1806,114114.38657675446,149.37968348893648,20,4,NASH,0
2725,0,14.77549858531737,113,88048.7523539484,14.77549858531737,20,5,Cirrhosis,0
2726,0,1.3539792242451427,7,143017.68152465584,1.3539792242451427,20,6,HCC,0
2727,129.20081649133888,0,163,0,129.20081649133888,20,7,Liver death,0
2728,0,0,3734,0,0,20,8,Natural death,0
2733,0,45.381025522789194,1507,9.806619443548666e+06,45.381025522789194,20,13,CHD,0
2734,212.29144802693185,0,892,0,212.29144802693185,20,14,CHD death,0
2739,0,63.768193162331045,3395,1.0819415145692974e+07,63.768193162331045,20,19,T2DM,0
2740,600.9659403410819,0,1478,0,600.9659403410819,20,20,T2DM death,0
2745,0,0,9587,1.7715218656407336e+06,0,20,25,Overweight,0
2746,0,36.42180944867962,6388,4.049942794064556e+06,36.42180944867962,20,26,Obese,0
2859,0,0,7756,480183.3967553216,0,21,3,Steatosis,0
2860,0,148.5621899249211,1850,113489.88547720766,148.5621899249211,21,4,NASH,0
2861,0,14.852936974672485,117,88510.21587260033,14.852936974672485,21,5,Cirrhosis,0
2862,0,1.5023347841832377,8,158688.13484011742,1.5023347841832377,21,6,HCC,0
2863,161.36243520917714,0,178,0,161.36243520917714,21,7,Liver death,0
2864,0,0,3892,0,0,21,8,Natural death,0
2869,0,44.26390284916788,1514,9.565214653644107e+06,44.26390284916788,21,13,CHD,0
