Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,5983,0,0,2,3,Steatosis,0
276,0,0,632,0,0,2,4,NASH,0
277,0,0,51,0,0,2,5,Cirrhosis,0
278,0,0,1,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1511,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2229,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7527,0,0,2,25,Overweight,0
298,0,0,8440,0,0,2,26,Obese,0
411,0,0,6160,0,0,3,3,Steatosis,0
412,0,0,759,0,0,3,4,NASH,0
413,0,0,56,0,0,3,5,Cirrhosis,0
414,0,0,4,0,0,3,6,HCC,0
415,0,0,3,0,0,3,7,Liver death,0
416,0,0,251,0,0,3,8,Natural death,0
421,0,0,1558,0,0,3,13,CHD,0
422,0,0,38,0,0,3,14,CHD death,0
427,0,0,2282,0,0,3,19,T2DM,0
428,0,0,101,0,0,3,20,T2DM death,0
433,0,0,7684,0,0,3,25,Overweight,0
434,0,0,8363,0,0,3,26,Obese,0
547,0,0,6376,0,0,4,3,Steatosis,0
548,0,0,915,0,0,4,4,NASH,0
549,0,0,66,0,0,4,5,Cirrhosis,0
550,0,0,2,0,0,4,6,HCC,0
551,0,0,13,0,0,4,7,Liver death,0
552,0,0,466,0,0,4,8,Natural death,0
557,0,0,1586,0,0,4,13,CHD,0
558,0,0,76,0,0,4,14,CHD death,0
563,0,0,2347,0,0,4,19,T2DM,0
564,0,0,193,0,0,4,20,T2DM death,0
569,0,0,7839,0,0,4,25,Overweight,0
570,0,0,8255,0,0,4,26,Obese,0
683,0,0,6515,0,0,5,3,Steatosis,0
684,0,0,1056,0,0,5,4,NASH,0
685,0,0,71,0,0,5,5,Cirrhosis,0
686,0,0,3,0,0,5,6,HCC,0
687,0,0,20,0,0,5,7,Liver death,0
688,0,0,680,0,0,5,8,Natural death,0
693,0,0,1640,0,0,5,13,CHD,0
694,0,0,121,0,0,5,14,CHD death,0
699,0,0,2448,0,0,5,19,T2DM,0
700,0,0,261,0,0,5,20,T2DM death,0
705,0,0,8016,0,0,5,25,Overweight,0
706,0,0,8167,0,0,5,26,Obese,0
819,0,0,6608,0,0,6,3,Steatosis,0
820,0,0,1197,0,0,6,4,NASH,0
821,0,0,86,0,0,6,5,Cirrhosis,0
822,0,0,4,0,0,6,6,HCC,0
823,0,0,28,0,0,6,7,Liver death,0
824,0,0,923,0,0,6,8,Natural death,0
829,0,0,1664,0,0,6,13,CHD,0
830,0,0,173,0,0,6,14,CHD death,0
835,0,0,2487,0,0,6,19,T2DM,0
836,0,0,367,0,0,6,20,T2DM death,0
841,0,0,8113,0,0,6,25,Overweight,0
842,0,0,8112,0,0,6,26,Obese,0
955,0,0,6669,772325.956714517,0,7,3,Steatosis,0
956,0,200.60910399798527,1334,463377.4952073745,200.60910399798527,7,4,NASH,0
957,0,21.551500523805117,107,286366.7449682691,21.551500523805117,7,5,Cirrhosis,0
958,0,0.6825301741933875,3,148998.79797035694,0.6825301741933875,7,6,HCC,0
959,192.36086605200003,0,37,0,192.36086605200003,7,7,Liver death,0
960,0,0,1177,0,0,7,8,Natural death,0
965,0,125.77217383832759,1684,2.039355995105625e+07,125.77217383832759,7,13,CHD,0
966,303.9594624620001,0,215,0,303.9594624620001,7,14,CHD death,0
971,0,81.14706215747647,2538,1.2099896948530266e+07,81.14706215747647,7,19,T2DM,0
972,979.0552012329995,0,464,0,979.0552012329995,7,20,T2DM death,0
977,0,0,8173,1.5066474572906597e+06,0,7,25,Overweight,0
978,0,92.89016479452057,8073,8.322033662897823e+06,92.89016479452057,7,26,Obese,0
1091,0,0,6772,761411.8619946513,0,8,3,Steatosis,0
1092,0,211.11829840984345,1446,487652.1870641563,211.11829840984345,8,4,NASH,0
1093,0,23.465929251942757,120,311804.8216694703,23.465929251942757,8,5,Cirrhosis,0
1094,0,0.8835342060755824,4,192878.70287424844,0.8835342060755824,8,6,HCC,0
1095,163.76731432815535,0,46,0,163.76731432815535,8,7,Liver death,0
1096,0,0,1396,0,0,8,8,Natural death,0
1101,0,123.486619956345,1703,2.0022964622286186e+07,123.486619956345,8,13,CHD,0
1102,354.53961672233,0,261,0,354.53961672233,8,14,CHD death,0
1107,0,81.14271633486868,2614,1.2099248939788269e+07,81.14271633486868,8,19,T2DM,0
1108,786.2659680533984,0,550,0,786.2659680533984,8,20,T2DM death,0
1113,0,0,8184,1.4647332491267973e+06,0,8,25,Overweight,0
1114,0,89.51435751898289,8013,8.019594951023131e+06,89.51435751898289,8,26,Obese,0
1227,0,0,6855,748295.1378854883,0,9,3,Steatosis,0
1228,0,221.27037009880462,1561,511101.97800904856,221.27037009880462,9,4,NASH,0
1229,0,24.68099354977795,130,327950.0551539725,24.68099354977795,9,5,Cirrhosis,0
1230,0,1.715600400146762,8,374521.75315388053,1.715600400146762,9,6,HCC,0
1231,148.4210554152135,0,55,0,148.4210554152135,9,7,Liver death,0
1232,0,0,1617,0,0,9,8,Natural death,0
1237,0,119.4675267893358,1697,1.9371281384661574e+07,119.4675267893358,9,13,CHD,0
1238,353.4416485813933,0,314,0,353.4416485813933,9,14,CHD death,0
1243,0,81.13005859913302,2692,1.2097361535686048e+07,81.13005859913302,9,19,T2DM,0
1244,921.5604797700069,0,648,0,921.5604797700069,9,20,T2DM death,0
1249,0,0,8169,1.4194646803276238e+06,0,9,25,Overweight,0
1250,0,86.65769054617304,7990,7.763666040097313e+06,86.65769054617304,9,26,Obese,0
1363,0,0,6911,732435.0729644015,0,10,3,Steatosis,0
1364,0,228.58765213618997,1661,528003.8222156736,228.58765213618997,10,4,NASH,0
1365,0,26.726990774591606,145,355136.35546920204,26.726990774591606,10,5,Cirrhosis,0
1366,0,1.457427524396521,7,318161.6835045102,1.457427524396521,10,6,HCC,0
1367,164.4298357155996,0,65,0,164.4298357155996,10,7,Liver death,0
1368,0,0,1827,0,0,10,8,Natural death,0
1373,0,119.26863182165725,1745,1.9339031195103336e+07,119.26863182165725,10,13,CHD,0
1374,247.2613669727205,0,353,0,247.2613669727205,10,14,CHD death,0
1379,0,80.40558902696668,2748,1.198933535541004e+07,80.40558902696668,10,19,T2DM,0
1380,906.0798039437113,0,746,0,906.0798039437113,10,20,T2DM death,0
1385,0,0,8203,1.3838568935994352e+06,0,10,25,Overweight,0
1386,0,84.08103078011484,7985,7.532822986277937e+06,84.08103078011484,10,26,Obese,0
1499,0,0,7015,721803.0123422327,0,11,3,Steatosis,0
1500,0,233.8212395377191,1750,540092.6385891457,233.8212395377191,11,4,NASH,0
1501,0,27.738088852103623,155,368571.3766168465,27.738088852103623,11,5,Cirrhosis,0
1502,0,1.414978179025749,7,308894.8383538933,1.414978179025749,11,6,HCC,0
1503,118.81202283258892,0,73,0,118.81202283258892,11,7,Liver death,0
1504,0,0,2035,0,0,11,8,Natural death,0
1509,0,116.59108471397047,1757,1.8904875405344985e+07,116.59108471397047,11,13,CHD,0
1510,338.41516205101925,0,402,0,338.41516205101925,11,14,CHD death,0
1515,0,79.79653325163437,2809,1.1898518609595366e+07,79.79653325163437,11,19,T2DM,0
1516,922.8821711062396,0,845,0,922.8821711062396,11,20,T2DM death,0
1521,0,0,8251,1.3514121910277787e+06,0,11,25,Overweight,0
1522,0,81.27425752192022,7950,7.281364055286778e+06,81.27425752192022,11,26,Obese,0
1635,0,0,7072,706473.7702542171,0,12,3,Steatosis,0
1636,0,242.96653628525385,1873,561216.9276435117,242.96653628525385,12,4,NASH,0
1637,0,28.493871417131242,164,378613.8788923451,28.493871417131242,12,5,Cirrhosis,0
1638,0,1.7662695715994092,9,385583.01597573364,1.7662695715994092,12,6,HCC,0
1639,263.2283122127611,0,91,0,263.2283122127611,12,7,Liver death,0
1640,0,0,2243,0,0,12,8,Natural death,0
1645,0,114.87028531920657,1783,1.8625853229373697e+07,114.87028531920657,12,13,CHD,0
1646,234.9254114661779,0,441,0,234.9254114661779,12,14,CHD death,0
1651,0,79.15474547214319,2870,1.1802821171042e+07,79.15474547214319,12,19,T2DM,0
1652,1069.5775769476297,0,952,0,1069.5775769476297,12,20,T2DM death,0
1657,0,0,8241,1.3104604991990286e+06,0,12,25,Overweight,0
1658,0,78.73831408944295,7933,7.054168779459911e+06,78.73831408944295,12,26,Obese,0
1771,0,0,7075,686187.8273609258,0,13,3,Steatosis,0
1772,0,250.37320022136808,1988,578325.2308768751,250.37320022136808,13,4,NASH,0
1773,0,29.519461863592174,175,392241.4681870735,29.519461863592174,13,5,Cirrhosis,0
1774,0,1.1432165511970285,6,249568.2951299247,1.1432165511970285,13,6,HCC,0
1775,187.7465093569755,0,103,0,187.7465093569755,13,7,Liver death,0
1776,0,0,2443,0,0,13,8,Natural death,0
1781,0,114.4643434672313,1830,1.8560031042778518e+07,114.4643434672313,13,13,CHD,0
1782,258.7246517393193,0,481,0,258.7246517393193,13,14,CHD death,0
1787,0,77.43835590996139,2892,1.1546889085840976e+07,77.43835590996139,13,19,T2DM,0
1788,987.1107935383252,0,1068,0,987.1107935383252,13,20,T2DM death,0
1793,0,0,8308,1.282635582135054e+06,0,13,25,Overweight,0
1794,0,75.96314889224028,7883,6.805541615945224e+06,75.96314889224028,13,26,Obese,0
1907,0,0,7111,669591.6347541952,0,14,3,Steatosis,0
1908,0,253.8408917873975,2076,586335.0878574015,253.8408917873975,14,4,NASH,0
1909,0,32.09883231769238,196,426514.99453351856,32.09883231769238,14,5,Cirrhosis,0
1910,0,1.109918981744688,6,242299.31566012106,1.109918981744688,14,6,HCC,0
1911,136.65950029268856,0,113,0,136.65950029268856,14,7,Liver death,0
1912,0,0,2653,0,0,14,8,Natural death,0
1917,0,113.49878398868223,1869,1.8403468629080776e+07,113.49878398868223,14,13,CHD,0
1918,282.3626233727899,0,536,0,282.3626233727899,14,14,CHD death,0
1923,0,76.2487403765023,2933,1.1369504655886745e+07,76.2487403765023,14,19,T2DM,0
1924,884.0367365863162,0,1175,0,884.0367365863162,14,20,T2DM death,0
1929,0,0,8305,1.2448275974067808e+06,0,14,25,Overweight,0
1930,0,73.71320737164612,7879,6.603969263097584e+06,73.71320737164612,14,26,Obese,0
2043,0,0,7152,653837.1935402803,0,15,3,Steatosis,0
2044,0,249.5339967343596,2102,576386.7943750488,249.5339967343596,15,4,NASH,0
2045,0,34.50290575064008,217,458459.25209913525,34.50290575064008,15,5,Cirrhosis,0
2046,0,0.7183941629415455,4,156828.03602596832,0.7183941629415455,15,6,HCC,0
2047,293.515978647611,0,135,0,293.515978647611,15,7,Liver death,0
2048,0,0,2870,0,0,15,8,Natural death,0
2053,0,110.42882721708645,1873,1.79056848541965e+07,110.42882721708645,15,13,CHD,0
2054,330.2304421665587,0,598,0,330.2304421665587,15,14,CHD death,0
2059,0,74.6841342652824,2959,1.1136205110500531e+07,74.6841342652824,15,19,T2DM,0
2060,951.310100387709,0,1287,0,951.310100387709,15,20,T2DM death,0
2065,0,0,8317,1.2103167617627005e+06,0,15,25,Overweight,0
2066,0,71.21197749378241,7840,6.379883976046307e+06,71.21197749378241,15,26,Obese,0
2179,0,0,7172,636568.5410925802,0,16,3,Steatosis,0
2180,0,253.90677154711,2203,586487.2604030571,253.90677154711,16,4,NASH,0
2181,0,34.42417781035634,223,457413.1502756359,34.42417781035634,16,5,Cirrhosis,0
2182,0,1.918042668047815,11,418715.63016642036,1.918042668047815,16,6,HCC,0
2183,218.1665610160586,0,154,0,218.1665610160586,16,7,Liver death,0
2184,0,0,3067,0,0,16,8,Natural death,0
2189,0,109.27313077374824,1909,1.7718292333395008e+07,109.27313077374824,16,13,CHD,0
2190,268.3024931847573,0,648,0,268.3024931847573,16,14,CHD death,0
2195,0,73.26850827102606,2990,1.0925120097775634e+07,73.26850827102606,16,19,T2DM,0
2196,920.6296711039721,0,1397,0,920.6296711039721,16,20,T2DM death,0
2201,0,0,8342,1.1785969346470733e+06,0,16,25,Overweight,0
2202,0,68.7057307130385,7791,6.155349224462606e+06,68.7057307130385,16,26,Obese,0
2315,0,0,7233,623284.2198790866,0,17,3,Steatosis,0
2316,0,256.35845806662394,2291,592150.2953093097,256.35845806662394,17,4,NASH,0
2317,0,34.62051057596024,231,460021.932664335,34.62051057596024,17,5,Cirrhosis,0
2318,0,1.8621773476192387,11,406520.0292877866,1.8621773476192387,17,6,HCC,0
2319,261.47551980391523,0,174,0,261.47551980391523,17,7,Liver death,0
2320,0,0,3254,0,0,17,8,Natural death,0
2325,0,108.70238766469126,1956,1.762574814451753e+07,108.70238766469126,17,13,CHD,0
2326,229.68610952836664,0,689,0,229.68610952836664,17,14,CHD death,0
2331,0,72.30022295537246,3039,1.0780738376185825e+07,72.30022295537246,17,19,T2DM,0
2332,824.8664237711064,0,1504,0,824.8664237711064,17,20,T2DM death,0
2337,0,0,8435,1.157025642118505e+06,0,17,25,Overweight,0
2338,0,66.4220551809128,7758,5.950754640142236e+06,66.4220551809128,17,26,Obese,0
2451,0,0,7305,611154.00506798,0,18,3,Steatosis,0
2452,0,257.3655406168695,2369,594476.5077308618,257.3655406168695,18,4,NASH,0
2453,0,34.63069607480593,238,460157.2730387622,34.63069607480593,18,5,Cirrhosis,0
2454,0,1.4792229592738875,9,322919.70552427886,1.4792229592738875,18,6,HCC,0
2455,296.82509005358065,0,198,0,296.82509005358065,18,7,Liver death,0
2456,0,0,3465,0,0,18,8,Natural death,0
2461,0,106.07585033294899,1966,1.7199863428494826e+07,106.07585033294899,18,13,CHD,0
2462,207.29138178639468,0,733,0,207.29138178639468,18,14,CHD death,0
2467,0,71.71884986324181,3105,1.0694049415224593e+07,71.71884986324181,18,19,T2DM,0
2468,778.9209284820596,0,1612,0,778.9209284820596,18,20,T2DM death,0
2473,0,0,8428,1.1223936454985235e+06,0,18,25,Overweight,0
2474,0,64.77836546112424,7793,5.80349641092411e+06,64.77836546112424,18,26,Obese,0
2587,0,0,7333,595627.7212926323,0,19,3,Steatosis,0
2588,0,253.87749378697671,2407,586419.6330876667,253.87749378697671,19,4,NASH,0
2589,0,35.599801790206,252,473034.3183722279,35.599801790206,19,5,Cirrhosis,0
2590,0,2.074422704483337,13,452853.9559671656,2.074422704483337,19,6,HCC,0
2591,115.7714355337117,0,212,0,115.7714355337117,19,7,Liver death,0
2592,0,0,3682,0,0,19,8,Natural death,0
2597,0,106.07689800602049,2025,1.720003330536808e+07,106.07689800602049,19,13,CHD,0
2598,125.26965846361385,0,767,0,125.26965846361385,19,14,CHD death,0
2603,0,70.14572874074817,3128,1.0459480190368095e+07,70.14572874074817,19,19,T2DM,0
2604,860.4390670736312,0,1734,0,860.4390670736312,19,20,T2DM death,0
2609,0,0,8485,1.0970724125839716e+06,0,19,25,Overweight,0
2610,0,62.59301694904004,7756,5.607710948352214e+06,62.59301694904004,19,26,Obese,0
2723,0,0,7333,578279.3410607862,0,20,3,Steatosis,0
2724,0,254.7776124418684,2488,588498.7746588815,254.7776124418684,20,4,NASH,0
2725,0,34.83722320354569,254,462901.5135866266,34.83722320354569,20,5,Cirrhosis,0
2726,0,1.8590793468110567,12,405843.7245411494,1.8590793468110567,20,6,HCC,0
2727,281.02653795874994,0,236,0,281.02653795874994,20,7,Liver death,0
2728,0,0,3893,0,0,20,8,Natural death,0
2733,0,103.08899544921375,2027,1.6715554361730225e+07,103.08899544921375,20,13,CHD,0
2734,209.51661411016565,0,817,0,209.51661411016565,20,14,CHD death,0
2739,0,69.47428190466775,3191,1.0359360268500373e+07,69.47428190466775,20,19,T2DM,0
2740,941.8250080546201,0,1861,0,941.8250080546201,20,20,T2DM death,0
2745,0,0,8549,1.0731527430107766e+06,0,20,25,Overweight,0
2746,0,60.464346024096315,7717,5.4170032331292005e+06,60.464346024096315,20,26,Obese,0
2859,0,0,7402,566719.0983348468,0,21,3,Steatosis,0
2860,0,252.5267441397988,2540,583299.6002690725,252.5267441397988,21,4,NASH,0
2861,0,35.1541431302502,264,467112.6044907522,35.1541431302502,21,5,Cirrhosis,0
2862,0,2.1057533054494173,14,459693.53912427905,2.1057533054494173,21,6,HCC,0
2863,252.90358251616635,0,263,0,252.90358251616635,21,7,Liver death,0
2864,0,0,4091,0,0,21,8,Natural death,0
2869,0,102.01209142502401,2066,1.654093778233408e+07,102.01209142502401,21,13,CHD,0
2870,211.45664884880634,0,864,0,211.45664884880634,21,14,CHD death,0
