Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,5993,0,0,2,3,Steatosis,0
276,0,0,789,0,0,2,4,NASH,0
277,0,0,71,0,0,2,5,Cirrhosis,0
278,0,0,8,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1505,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2095,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7644,0,0,2,25,Overweight,0
298,0,0,8332,0,0,2,26,Obese,0
411,0,0,6364,0,0,3,3,Steatosis,0
412,0,0,910,0,0,3,4,NASH,0
413,0,0,82,0,0,3,5,Cirrhosis,0
414,0,0,7,0,0,3,6,HCC,0
415,0,0,6,0,0,3,7,Liver death,0
416,0,0,223,0,0,3,8,Natural death,0
421,0,0,1570,0,0,3,13,CHD,0
422,0,0,40,0,0,3,14,CHD death,0
427,0,0,2243,0,0,3,19,T2DM,0
428,0,0,54,0,0,3,20,T2DM death,0
433,0,0,8002,0,0,3,25,Overweight,0
434,0,0,8853,0,0,3,26,Obese,0
547,0,0,6645,0,0,4,3,Steatosis,0
548,0,0,1023,0,0,4,4,NASH,0
549,0,0,84,0,0,4,5,Cirrhosis,0
550,0,0,7,0,0,4,6,HCC,0
551,0,0,15,0,0,4,7,Liver death,0
552,0,0,446,0,0,4,8,Natural death,0
557,0,0,1594,0,0,4,13,CHD,0
558,0,0,91,0,0,4,14,CHD death,0
563,0,0,2426,0,0,4,19,T2DM,0
564,0,0,118,0,0,4,20,T2DM death,0
569,0,0,7919,0,0,4,25,Overweight,0
570,0,0,9341,0,0,4,26,Obese,0
683,0,0,6927,0,0,5,3,Steatosis,0
684,0,0,1106,0,0,5,4,NASH,0
685,0,0,96,0,0,5,5,Cirrhosis,0
686,0,0,5,0,0,5,6,HCC,0
687,0,0,24,0,0,5,7,Liver death,0
688,0,0,665,0,0,5,8,Natural death,0
693,0,0,1671,0,0,5,13,CHD,0
694,0,0,135,0,0,5,14,CHD death,0
699,0,0,2574,0,0,5,19,T2DM,0
700,0,0,188,0,0,5,20,T2DM death,0
705,0,0,7849,0,0,5,25,Overweight,0
706,0,0,9803,0,0,5,26,Obese,0
819,0,0,7231,0,0,6,3,Steatosis,0
820,0,0,1220,0,0,6,4,NASH,0
821,0,0,110,0,0,6,5,Cirrhosis,0
822,0,0,5,0,0,6,6,HCC,0
823,0,0,32,0,0,6,7,Liver death,0
824,0,0,855,0,0,6,8,Natural death,0
829,0,0,1735,0,0,6,13,CHD,0
830,0,0,166,0,0,6,14,CHD death,0
835,0,0,2752,0,0,6,19,T2DM,0
836,0,0,246,0,0,6,20,T2DM death,0
841,0,0,7717,0,0,6,25,Overweight,0
842,0,0,10299,0,0,6,26,Obese,0
955,0,0,7467,1.3781482886953289e+06,0,7,3,Steatosis,0
956,0,210.4283661965671,1360,376607.31928460253,210.4283661965671,7,4,NASH,0
957,0,32.58705016498167,120,266246.68402845087,32.58705016498167,7,5,Cirrhosis,0
958,0,0.8309227678092304,3,124054.92885650948,0.8309227678092304,7,6,HCC,0
959,185.95391117,0,42,0,185.95391117,7,7,Liver death,0
960,0,0,1068,0,0,7,8,Natural death,0
965,0,123.88362101462977,1788,2.614612238880087e+07,123.88362101462977,7,13,CHD,0
966,360.58668123600006,0,217,0,360.58668123600006,7,14,CHD death,0
971,0,106.08195163045768,2867,2.284717782560973e+07,106.08195163045768,7,19,T2DM,0
972,788.9673201339997,0,316,0,788.9673201339997,7,20,T2DM death,0
977,0,0,7591,2.0483736183956477e+06,0,7,25,Overweight,0
978,0,117.69945260758384,10669,1.185899723820341e+07,117.69945260758384,7,26,Obese,0
1091,0,0,7738,1.3865684036196636e+06,0,8,3,Steatosis,0
1092,0,220.52315932077957,1468,394674.14670888206,220.52315932077957,8,4,NASH,0
1093,0,36.119950425586424,137,295111.61579205317,36.119950425586424,8,5,Cirrhosis,0
1094,0,1.0756281783938257,4,160588.90466862067,1.0756281783938257,8,6,HCC,0
1095,192.57265573300973,0,55,0,192.57265573300973,8,7,Liver death,0
1096,0,0,1283,0,0,8,8,Natural death,0
1101,0,122.4279393619921,1820,2.583889508678148e+07,122.4279393619921,8,13,CHD,0
1102,310.4726380572817,0,266,0,310.4726380572817,8,14,CHD death,0
1107,0,108.91953543792873,3032,2.3458316486314878e+07,108.91953543792873,8,19,T2DM,0
1108,538.7025179747573,0,369,0,538.7025179747573,8,20,T2DM death,0
1113,0,0,7417,1.9431272249632904e+06,0,8,25,Overweight,0
1114,0,118.73763035519501,11086,1.196360050328953e+07,118.73763035519501,8,26,Obese,0
1227,0,0,7932,1.3799331727561809e+06,0,9,3,Steatosis,0
1228,0,229.70554742614092,1575,411108.02694802283,229.70554742614092,9,4,NASH,0
1229,0,38.65149538844554,151,315795.1526086026,38.65149538844554,9,5,Cirrhosis,0
1230,0,1.0442992023241027,4,155911.55793069967,1.0442992023241027,9,6,HCC,0
1231,221.65911722594026,0,70,0,221.65911722594026,9,7,Liver death,0
1232,0,0,1531,0,0,9,8,Natural death,0
1237,0,120.16825372136711,1840,2.5361979600808665e+07,120.16825372136711,9,13,CHD,0
1238,227.18553996889437,0,312,0,227.18553996889437,9,14,CHD death,0
1243,0,111.71109204333702,3203,2.4059542134919275e+07,111.71109204333702,9,19,T2DM,0
1244,573.1914144179473,0,430,0,573.1914144179473,9,20,T2DM death,0
1249,0,0,7303,1.8575351199108222e+06,0,9,25,Overweight,0
1250,0,118.31565380125913,11378,1.192108357838489e+07,118.31565380125913,9,26,Obese,0
1363,0,0,8085,1.3655831487222551e+06,0,10,3,Steatosis,0
1364,0,243.12185232283346,1717,435119.4219569883,243.12185232283346,10,4,NASH,0
1365,0,37.02869422541243,149,302536.34500534856,37.02869422541243,10,5,Cirrhosis,0
1366,0,1.2673534008787655,5,189213.0557411404,1.2673534008787655,10,6,HCC,0
1367,218.1499033445682,0,86,0,218.1499033445682,10,7,Liver death,0
1368,0,0,1733,0,0,10,8,Natural death,0
1373,0,119.20447287682751,1880,2.5158569886829995e+07,119.20447287682751,10,13,CHD,0
1374,314.70758203741644,0,371,0,314.70758203741644,10,14,CHD death,0
1379,0,113.63813199927725,3356,2.4474574323461648e+07,113.63813199927725,10,19,T2DM,0
1380,923.2378021262402,0,520,0,923.2378021262402,10,20,T2DM death,0
1385,0,0,7074,1.7468819753884564e+06,0,10,25,Overweight,0
1386,0,118.04973146078032,11693,1.1894290146203764e+07,118.04973146078032,10,26,Obese,0
1499,0,0,8234,1.3502424658606276e+06,0,11,3,Steatosis,0
1500,0,248.55064941654095,1808,444835.43485661026,248.55064941654095,11,4,NASH,0
1501,0,42.46465226866871,176,346949.87112101074,42.46465226866871,11,5,Cirrhosis,0
1502,0,1.9687043120446839,8,293923.19338429574,1.9687043120446839,11,6,HCC,0
1503,125.470940756119,0,94,0,125.470940756119,11,7,Liver death,0
1504,0,0,1935,0,0,11,8,Natural death,0
1509,0,117.64085295786847,1911,2.4828561791847777e+07,117.64085295786847,11,13,CHD,0
1510,246.42290888953596,0,407,0,246.42290888953596,11,14,CHD death,0
1515,0,116.9361455273175,3557,2.518487706948419e+07,116.9361455273175,11,19,T2DM,0
1516,744.2160677258495,0,601,0,744.2160677258495,11,20,T2DM death,0
1521,0,0,6926,1.660518699893754e+06,0,11,25,Overweight,0
1522,0,117.26765305578239,11964,1.181549058138858e+07,117.26765305578239,11,26,Obese,0
1635,0,0,8409,1.3387763376839045e+06,0,12,3,Steatosis,0
1636,0,253.85736274072974,1902,454332.9523032587,253.85736274072974,12,4,NASH,0
1637,0,46.381294953642865,198,378950.1019525603,46.381294953642865,12,5,Cirrhosis,0
1638,0,1.9113634097521202,8,285362.3236740735,1.9113634097521202,12,6,HCC,0
1639,253.10949882078285,0,109,0,253.10949882078285,12,7,Liver death,0
1640,0,0,2133,0,0,12,8,Natural death,0
1645,0,115.70859120495,1936,2.4420750397045016e+07,115.70859120495,12,13,CHD,0
1646,293.3451013793623,0,458,0,293.3451013793623,12,14,CHD death,0
1651,0,118.7966115365824,3722,2.5585571033905804e+07,118.7966115365824,12,19,T2DM,0
1652,678.2787534749234,0,683,0,678.2787534749234,12,20,T2DM death,0
1657,0,0,6883,1.6021450355027856e+06,0,12,25,Overweight,0
1658,0,115.49839690094319,12137,1.1637226338098042e+07,115.49839690094319,12,26,Obese,0
1771,0,0,8539,1.3198770096629588e+06,0,13,3,Steatosis,0
1772,0,260.19906709513094,2008,465682.8112589472,260.19906709513094,13,4,NASH,0
1773,0,48.441776135755106,213,395784.89612579613,48.441776135755106,13,5,Cirrhosis,0
1774,0,1.391769473120476,6,207788.09976267494,1.391769473120476,13,6,HCC,0
1775,318.66633755413466,0,130,0,318.66633755413466,13,7,Liver death,0
1776,0,0,2308,0,0,13,8,Natural death,0
1781,0,115.18171464625912,1985,2.4309551040146045e+07,115.18171464625912,13,13,CHD,0
1782,238.67314913043128,0,503,0,238.67314913043128,13,14,CHD death,0
1787,0,119.9846830104003,3872,2.5841449435597274e+07,119.9846830104003,13,19,T2DM,0
1788,870.6353700846905,0,777,0,870.6353700846905,13,20,T2DM death,0
1793,0,0,6804,1.5376275051601436e+06,0,13,25,Overweight,0
1794,0,114.04684954734837,12344,1.1490973354966585e+07,114.04684954734837,13,26,Obese,0
1907,0,0,8640,1.296590897445511e+06,0,14,3,Steatosis,0
1908,0,264.3205043741683,2101,473059.01948277524,264.3205043741683,14,4,NASH,0
1909,0,52.99250773773334,240,432965.83741370024,52.99250773773334,14,5,Cirrhosis,0
1910,0,1.126027081812683,5,168113.34932255253,1.126027081812683,14,6,HCC,0
1911,234.45899212630675,0,147,0,234.45899212630675,14,7,Liver death,0
1912,0,0,2518,0,0,14,8,Natural death,0
1917,0,113.57332260246673,2016,2.3970093613233637e+07,113.57332260246673,14,13,CHD,0
1918,293.38289954014954,0,554,0,293.38289954014954,14,14,CHD death,0
1923,0,119.91969892869812,3986,2.5827453625307377e+07,119.91969892869812,14,19,T2DM,0
1924,764.2640093277263,0,875,0,764.2640093277263,14,20,T2DM death,0
1929,0,0,6691,1.4680492966771813e+06,0,14,25,Overweight,0
1930,0,112.46526747986128,12538,1.1331618515547624e+07,112.46526747986128,14,26,Obese,0
2043,0,0,8771,1.2779124821889903e+06,0,15,3,Steatosis,0
2044,0,267.61469345795035,2191,478954.687174779,267.61469345795035,15,4,NASH,0
2045,0,54.664601428486776,255,446627.3808272367,54.664601428486776,15,5,Cirrhosis,0
2046,0,1.3118762118206013,6,195860.21280297378,1.3118762118206013,15,6,HCC,0
2047,289.5621556487969,0,169,0,289.5621556487969,15,7,Liver death,0
2048,0,0,2705,0,0,15,8,Natural death,0
2053,0,112.94542262583752,2065,2.383757286914725e+07,112.94542262583752,15,13,CHD,0
2054,224.95579736525468,0,602,0,224.95579736525468,15,14,CHD death,0
2059,0,120.39930995962824,4122,2.5930748845109224e+07,120.39930995962824,15,19,T2DM,0
2060,698.178805753129,0,957,0,698.178805753129,15,20,T2DM death,0
2065,0,0,6629,1.412083582449228e+06,0,15,25,Overweight,0
2066,0,110.6700577145848,12708,1.1150739274588063e+07,110.6700577145848,15,26,Obese,0
2179,0,0,8907,1.2599294540654803e+06,0,16,3,Steatosis,0
2180,0,266.3422746658101,2246,476677.4170567492,266.3422746658101,16,4,NASH,0
2181,0,56.402463305234754,271,460826.2714798459,56.402463305234754,16,5,Cirrhosis,0
2182,0,1.2736662250685449,6,190155.54641065418,1.2736662250685449,16,6,HCC,0
2183,217.1200280600451,0,189,0,217.1200280600451,16,7,Liver death,0
2184,0,0,2886,0,0,16,8,Natural death,0
2189,0,112.89497567056529,2126,2.3826925842076577e+07,112.89497567056529,16,13,CHD,0
2190,184.55397373687407,0,642,0,184.55397373687407,16,14,CHD death,0
2195,0,120.06865325275079,4234,2.5859534350419506e+07,120.06865325275079,16,19,T2DM,0
2196,725.5704802405683,0,1047,0,725.5704802405683,16,20,T2DM death,0
2201,0,0,6561,1.356891737020075e+06,0,16,25,Overweight,0
2202,0,108.90092498602421,12880,1.0972487467318801e+07,108.90092498602421,16,26,Obese,0
2315,0,0,8970,1.2318845113602928e+06,0,17,3,Steatosis,0
2316,0,274.01231691490403,2380,490404.62552415556,274.01231691490403,17,4,NASH,0
2317,0,57.386520899533046,284,468866.3386245729,57.386520899533046,17,5,Cirrhosis,0
2318,0,1.648758867402647,8,246156.04713353288,1.648758867402647,17,6,HCC,0
2319,165.06381601752764,0,205,0,165.06381601752764,17,7,Liver death,0
2320,0,0,3084,0,0,17,8,Natural death,0
2325,0,111.15343438416456,2156,2.345936674712558e+07,111.15343438416456,17,13,CHD,0
2326,215.4039599757528,0,687,0,215.4039599757528,17,14,CHD death,0
2331,0,120.48108622157822,4376,2.594836123600241e+07,120.48108622157822,17,19,T2DM,0
2332,766.8491707601326,0,1147,0,766.8491707601326,17,20,T2DM death,0
2337,0,0,6473,1.2997012670831776e+06,0,17,25,Overweight,0
2338,0,107.12454554869757,13050,1.0793505506275069e+07,107.12454554869757,17,26,Obese,0
2451,0,0,9124,1.2165377884914763e+06,0,18,3,Steatosis,0
2452,0,273.96760575933934,2451,490324.6051887855,273.96760575933934,18,4,NASH,0
2453,0,56.49978811385776,288,461621.44647844887,56.49978811385776,18,5,Cirrhosis,0
2454,0,2.4011051467028843,12,358479.6802915528,2.4011051467028843,18,6,HCC,0
2455,250.5399209423314,0,228,0,250.5399209423314,18,7,Liver death,0
2456,0,0,3258,0,0,18,8,Natural death,0
2461,0,110.46869863548083,2207,2.3314850591217704e+07,110.46869863548083,18,13,CHD,0
2462,223.24000437026922,0,731,0,223.24000437026922,18,14,CHD death,0
2467,0,119.64496146852116,4476,2.5768282621082716e+07,119.64496146852116,18,19,T2DM,0
2468,882.5528738179471,0,1258,0,882.5528738179471,18,20,T2DM death,0
2473,0,0,6460,1.2593116718371594e+06,0,18,25,Overweight,0
2474,0,105.04047244219517,13180,1.0583521375792883e+07,105.04047244219517,18,26,Obese,0
2587,0,0,9140,1.1831758540168188e+06,0,19,3,Steatosis,0
2588,0,275.1038334263881,2535,492358.131673417,275.1038334263881,19,4,NASH,0
2589,0,56.949287506888446,299,465294.0011362491,56.949287506888446,19,5,Cirrhosis,0
2590,0,2.9139625566782574,15,435048.1556936321,2.9139625566782574,19,6,HCC,0
2591,236.0208136010572,0,252,0,236.0208136010572,19,7,Liver death,0
2592,0,0,3470,0,0,19,8,Natural death,0
2597,0,107.73712278006049,2217,2.27383408311283e+07,107.73712278006049,19,13,CHD,0
2598,218.97793552439018,0,778,0,218.97793552439018,19,14,CHD death,0
2603,0,119.17056297306321,4592,2.56661100401719e+07,119.17056297306321,19,19,T2DM,0
2604,737.1784810866347,0,1361,0,737.1784810866347,19,20,T2DM death,0
2609,0,0,6444,1.2196044986802416e+06,0,19,25,Overweight,0
2610,0,102.72384696897441,13276,1.0350106058390625e+07,102.72384696897441,19,26,Obese,0
2723,0,0,9203,1.1566322560090215e+06,0,20,3,Steatosis,0
2724,0,276.5736246890407,2625,494988.6427463257,276.5736246890407,20,4,NASH,0
2725,0,57.50958994266419,311,469871.8523017599,57.50958994266419,20,5,Cirrhosis,0
2726,0,3.0176958515761902,16,450535.3068671916,3.0176958515761902,20,6,HCC,0
2727,291.0909868151959,0,281,0,291.0909868151959,20,7,Liver death,0
2728,0,0,3692,0,0,20,8,Natural death,0
2733,0,104.41042636655182,2213,2.2036228551346965e+07,104.41042636655182,20,13,CHD,0
2734,180.70713869501685,0,823,0,180.70713869501685,20,14,CHD death,0
2739,0,117.61446415003635,4668,2.5330968520075213e+07,117.61446415003635,20,19,T2DM,0
2740,733.8522245989586,0,1471,0,733.8522245989586,20,20,T2DM death,0
2745,0,0,6320,1.1612970945592122e+06,0,20,25,Overweight,0
2746,0,100.55071942945285,13385,1.0131149105586989e+07,100.55071942945285,20,26,Obese,0
2859,0,0,9266,1.1306311559630947e+06,0,21,3,Steatosis,0
2860,0,276.5991978397055,2704,495034.41146040696,276.5991978397055,21,4,NASH,0
2861,0,57.450344275130234,320,469387.79613699636,57.450344275130234,21,5,Cirrhosis,0
2862,0,2.9298017976467863,16,437412.91928853566,2.9298017976467863,21,6,HCC,0
2863,370.5535118762552,0,316,0,370.5535118762552,21,7,Liver death,0
2864,0,0,3885,0,0,21,8,Natural death,0
