Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,5031,0,0,2,3,Steatosis,0
276,0,0,701,0,0,2,4,NASH,0
277,0,0,84,0,0,2,5,Cirrhosis,0
278,0,0,7,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1442,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2113,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7425,0,0,2,25,Overweight,0
298,0,0,8376,0,0,2,26,Obese,0
411,0,0,5287,0,0,3,3,Steatosis,0
412,0,0,744,0,0,3,4,NASH,0
413,0,0,89,0,0,3,5,Cirrhosis,0
414,0,0,4,0,0,3,6,HCC,0
415,0,0,8,0,0,3,7,Liver death,0
416,0,0,238,0,0,3,8,Natural death,0
421,0,0,1498,0,0,3,13,CHD,0
422,0,0,32,0,0,3,14,CHD death,0
427,0,0,2192,0,0,3,19,T2DM,0
428,0,0,84,0,0,3,20,T2DM death,0
433,0,0,7919,0,0,3,25,Overweight,0
434,0,0,8183,0,0,3,26,Obese,0
547,0,0,5503,0,0,4,3,Steatosis,0
548,0,0,796,0,0,4,4,NASH,0
549,0,0,86,0,0,4,5,Cirrhosis,0
550,0,0,4,0,0,4,6,HCC,0
551,0,0,17,0,0,4,7,Liver death,0
552,0,0,473,0,0,4,8,Natural death,0
557,0,0,1549,0,0,4,13,CHD,0
558,0,0,65,0,0,4,14,CHD death,0
563,0,0,2334,0,0,4,19,T2DM,0
564,0,0,163,0,0,4,20,T2DM death,0
569,0,0,8271,0,0,4,25,Overweight,0
570,0,0,8020,0,0,4,26,Obese,0
683,0,0,5664,0,0,5,3,Steatosis,0
684,0,0,843,0,0,5,4,NASH,0
685,0,0,90,0,0,5,5,Cirrhosis,0
686,0,0,2,0,0,5,6,HCC,0
687,0,0,29,0,0,5,7,Liver death,0
688,0,0,706,0,0,5,8,Natural death,0
693,0,0,1591,0,0,5,13,CHD,0
694,0,0,104,0,0,5,14,CHD death,0
699,0,0,2424,0,0,5,19,T2DM,0
700,0,0,243,0,0,5,20,T2DM death,0
705,0,0,8540,0,0,5,25,Overweight,0
706,0,0,7864,0,0,5,26,Obese,0
819,0,0,5823,0,0,6,3,Steatosis,0
820,0,0,898,0,0,6,4,NASH,0
821,0,0,92,0,0,6,5,Cirrhosis,0
822,0,0,2,0,0,6,6,HCC,0
823,0,0,33,0,0,6,7,Liver death,0
824,0,0,911,0,0,6,8,Natural death,0
829,0,0,1627,0,0,6,13,CHD,0
830,0,0,134,0,0,6,14,CHD death,0
835,0,0,2531,0,0,6,19,T2DM,0
836,0,0,342,0,0,6,20,T2DM death,0
841,0,0,8821,0,0,6,25,Overweight,0
842,0,0,7746,0,0,6,26,Obese,0
955,0,0,6021,377981.5371154374,0,7,3,Steatosis,0
956,0,115.36018478311381,942,253002.0776244538,115.36018478311381,7,4,NASH,0
957,0,18.295799779158358,98,275521.9263071889,18.295799779158358,7,5,Cirrhosis,0
958,0,0.23089318715285614,1,26073.945691169807,0.23089318715285614,7,6,HCC,0
959,72.82777519,0,37,0,72.82777519,7,7,Liver death,0
960,0,0,1132,0,0,7,8,Natural death,0
965,0,105.80483246879793,1656,1.652887428660766e+07,105.80483246879793,7,13,CHD,0
966,178.26796068500002,0,157,0,178.26796068500002,7,14,CHD death,0
971,0,64.16201898798323,2655,1.3168010345739553e+07,64.16201898798323,7,19,T2DM,0
972,785.2686466029998,0,428,0,785.2686466029998,7,20,T2DM death,0
977,0,0,8973,2.4122798447072627e+06,0,7,25,Overweight,0
978,0,90.08041212839763,7654,1.0937230554388627e+07,90.08041212839763,7,26,Obese,0
1091,0,0,6157,375261.3948300225,0,8,3,Steatosis,0
1092,0,118.77726032025714,999,260496.23353206614,118.77726032025714,8,4,NASH,0
1093,0,17.944166615184066,99,270226.5772182653,17.944166615184066,8,5,Cirrhosis,0
1094,0,0.8966725714674025,4,101258.04151910605,0.8966725714674025,8,6,HCC,0
1095,170.9690472038835,0,46,0,170.9690472038835,8,7,Liver death,0
1096,0,0,1352,0,0,8,8,Natural death,0
1101,0,105.88671323122699,1707,1.6541665732868848e+07,105.88671323122699,8,13,CHD,0
1102,168.1424574291262,0,184,0,168.1424574291262,8,14,CHD death,0
1107,0,64.70987086788051,2758,1.3280446321669333e+07,64.70987086788051,8,19,T2DM,0
1108,780.9285089067964,0,507,0,780.9285089067964,8,20,T2DM death,0
1113,0,0,9149,2.387956566488006e+06,0,8,25,Overweight,0
1114,0,86.51975623334025,7572,1.0504908881685575e+07,86.51975623334025,8,26,Obese,0
1227,0,0,6272,371136.4077470693,0,9,3,Steatosis,0
1228,0,120.39678757789346,1043,264048.09816997,120.39678757789346,9,4,NASH,0
1229,0,18.477370742319582,105,278256.2578005084,18.477370742319582,9,5,Cirrhosis,0
1230,0,0.21763897365713653,1,24577.194543472342,0.21763897365713653,9,6,HCC,0
1231,128.92072581016117,0,54,0,128.92072581016117,9,7,Liver death,0
1232,0,0,1570,0,0,9,8,Natural death,0
1237,0,104.06734148000413,1728,1.6257442732322881e+07,104.06734148000413,9,13,CHD,0
1238,246.155586141955,0,220,0,246.155586141955,9,14,CHD death,0
1243,0,64.78413115887416,2844,1.3295686806545783e+07,64.78413115887416,9,19,T2DM,0
1244,913.2822092270716,0,599,0,913.2822092270716,9,20,T2DM death,0
1249,0,0,9272,2.34957327656077e+06,0,9,25,Overweight,0
1250,0,83.44508977725908,7522,1.0131594249641478e+07,83.44508977725908,9,26,Obese,0
1363,0,0,6414,368484.51420544466,0,10,3,Steatosis,0
1364,0,122.38156553171397,1092,268401.0120187352,122.38156553171397,10,4,NASH,0
1365,0,18.79344227142994,110,283016.07358350314,18.79344227142994,10,5,Cirrhosis,0
1366,0,1.2677998465464264,6,143168.12355420782,1.2677998465464264,10,6,HCC,0
1367,96.72830636563388,0,60,0,96.72830636563388,10,7,Liver death,0
1368,0,0,1769,0,0,10,8,Natural death,0
1373,0,102.26412500479778,1749,1.59757435156155e+07,102.26412500479778,10,13,CHD,0
1374,210.2531221073516,0,254,0,210.2531221073516,10,14,CHD death,0
1379,0,64.9982116927918,2939,1.3339622685276743e+07,64.9982116927918,10,19,T2DM,0
1380,725.6662568207794,0,681,0,725.6662568207794,10,20,T2DM death,0
1385,0,0,9298,2.2875357402874315e+06,0,10,25,Overweight,0
1386,0,81.251598196045,7544,9.86526861262474e+06,81.251598196045,10,26,Obese,0
1499,0,0,6570,366453.1256459676,0,11,3,Steatosis,0
1500,0,124.03978155886294,1140,272037.72689404996,124.03978155886294,11,4,NASH,0
1501,0,18.909553565251688,114,284764.62831879413,18.909553565251688,11,5,Cirrhosis,0
1502,0,1.2308736374237148,6,138998.17820796874,1.2308736374237148,11,6,HCC,0
1503,85.76811403279908,0,66,0,85.76811403279908,11,7,Liver death,0
1504,0,0,1960,0,0,11,8,Natural death,0
1509,0,101.27240476308104,1784,1.5820816573053079e+07,101.27240476308104,11,13,CHD,0
1510,219.19784566857362,0,287,0,219.19784566857362,11,14,CHD death,0
1515,0,65.53135175309231,3052,1.3449039345482947e+07,65.53135175309231,11,19,T2DM,0
1516,693.4980798231159,0,756,0,693.4980798231159,11,20,T2DM death,0
1521,0,0,9449,2.256976154175988e+06,0,11,25,Overweight,0
1522,0,78.23673384144912,7482,9.499214930616144e+06,78.23673384144912,11,26,Obese,0
1635,0,0,6657,360490.97211880476,0,12,3,Steatosis,0
1636,0,123.17355245924037,1166,270137.95738243766,123.17355245924037,12,4,NASH,0
1637,0,19.16399995115778,119,288596.41262081836,19.16399995115778,12,5,Cirrhosis,0
1638,0,1.593363931940084,8,179932.9167740696,1.593363931940084,12,6,HCC,0
1639,134.44271163495995,0,77,0,134.44271163495995,12,7,Liver death,0
1640,0,0,2153,0,0,12,8,Natural death,0
1645,0,100.80283660133117,1829,1.574746044239789e+07,100.80283660133117,12,13,CHD,0
1646,135.6863557661983,0,312,0,135.6863557661983,12,14,CHD death,0
1651,0,65.68644764978986,3151,1.3480869771092314e+07,65.68644764978986,12,19,T2DM,0
1652,958.5458758516465,0,858,0,958.5458758516465,12,20,T2DM death,0
1657,0,0,9585,2.222777613265724e+06,0,12,25,Overweight,0
1658,0,75.2574992884727,7413,9.137487287374027e+06,75.2574992884727,12,26,Obese,0
1771,0,0,6743,354512.6780915424,0,13,3,Steatosis,0
1772,0,123.89352975966143,1208,271716.97490214894,123.89352975966143,13,4,NASH,0
1773,0,18.44947372306942,118,277836.1482357563,18.44947372306942,13,5,Cirrhosis,0
1774,0,1.5469552737282368,8,174692.15220783453,1.5469552737282368,13,6,HCC,0
1775,108.73246274925344,0,85,0,108.73246274925344,13,7,Liver death,0
1776,0,0,2381,0,0,13,8,Natural death,0
1781,0,101.23785975132486,1892,1.5815419937158916e+07,101.23785975132486,13,13,CHD,0
1782,129.97619539625475,0,340,0,129.97619539625475,13,14,CHD death,0
1787,0,64.58281219107566,3191,1.3254369991822617e+07,64.58281219107566,13,19,T2DM,0
1788,980.8020912989862,0,967,0,980.8020912989862,13,20,T2DM death,0
1793,0,0,9691,2.1819021276328363e+06,0,13,25,Overweight,0
1794,0,72.64170785722636,7370,8.819887564085666e+06,72.64170785722636,13,26,Obese,0
1907,0,0,6830,348627.8602283476,0,14,3,Steatosis,0
1908,0,125.26366331066379,1258,274721.88197365485,125.26366331066379,14,4,NASH,0
1909,0,18.97469323172359,125,285745.586057837,18.97469323172359,14,5,Cirrhosis,0
1910,0,1.3141610335069975,7,148403.52736102452,1.3141610335069975,14,6,HCC,0
1911,134.85202061977748,0,95,0,134.85202061977748,14,7,Liver death,0
1912,0,0,2599,0,0,14,8,Natural death,0
1917,0,100.62692909250852,1937,1.5719980099282686e+07,100.62692909250852,14,13,CHD,0
1918,148.56485656265184,0,371,0,148.56485656265184,14,14,CHD death,0
1923,0,63.62528892689008,3238,1.3057856907479044e+07,63.62528892689008,14,19,T2DM,0
1924,822.9672695568222,0,1064,0,822.9672695568222,14,20,T2DM death,0
1929,0,0,9726,2.1260022153827e+06,0,14,25,Overweight,0
1930,0,70.37282074825455,7354,8.544407680874446e+06,70.37282074825455,14,26,Obese,0
2043,0,0,6880,340951.4958806685,0,15,3,Steatosis,0
2044,0,125.2887984091053,1296,274777.00699049415,125.2887984091053,15,4,NASH,0
2045,0,18.2746560056988,124,275203.5158925965,18.2746560056988,15,5,Cirrhosis,0
2046,0,1.6404229267077637,9,185247.12153248547,1.6404229267077637,15,6,HCC,0
2047,114.04466641472128,0,106,0,114.04466641472128,15,7,Liver death,0
2048,0,0,2799,0,0,15,8,Natural death,0
2053,0,99.66308217932024,1976,1.5569407539525254e+07,99.66308217932024,15,13,CHD,0
2054,191.05091903725307,0,408,0,191.05091903725307,15,14,CHD death,0
2059,0,62.9549144739815,3300,1.2920275549056668e+07,62.9549144739815,15,19,T2DM,0
2060,885.0123804849752,0,1169,0,885.0123804849752,15,20,T2DM death,0
2065,0,0,9853,2.0910321276940384e+06,0,15,25,Overweight,0
2066,0,68.0072462879024,7320,8.257188376973716e+06,68.0072462879024,15,26,Obese,0
2179,0,0,6977,335687.8791431025,0,16,3,Steatosis,0
2180,0,125.67549223135514,1339,275625.0841725677,125.67549223135514,16,4,NASH,0
2181,0,17.885468217290583,125,269342.6204711434,17.885468217290583,16,5,Cirrhosis,0
2182,0,1.4156832161447799,8,159868.06604745242,1.4156832161447799,16,6,HCC,0
2183,186.12551581592123,0,119,0,186.12551581592123,16,7,Liver death,0
2184,0,0,3007,0,0,16,8,Natural death,0
2189,0,97.78859671008497,1997,1.5276574651365148e+07,97.78859671008497,16,13,CHD,0
2190,116.48201710044488,0,438,0,116.48201710044488,16,14,CHD death,0
2195,0,62.30665851440682,3364,1.2787233582532207e+07,62.30665851440682,16,19,T2DM,0
2196,884.8797402584405,0,1276,0,884.8797402584405,16,20,T2DM death,0
2201,0,0,9921,2.0441391108368605e+06,0,16,25,Overweight,0
2202,0,65.99037267789988,7316,8.012307040949701e+06,65.99037267789988,16,26,Obese,0
2315,0,0,7032,328479.7296712527,0,17,3,Steatosis,0
2316,0,127.39135722169087,1398,279388.2318156939,127.39135722169087,17,4,NASH,0
2317,0,18.753694829780393,135,282417.5049600352,18.753694829780393,17,5,Cirrhosis,0
2318,0,1.7180621555155096,10,194014.64326147136,1.7180621555155096,17,6,HCC,0
2319,114.32631001118096,0,129,0,114.32631001118096,17,7,Liver death,0
2320,0,0,3187,0,0,17,8,Natural death,0
2325,0,97.17483588267162,2044,1.5180692683390072e+07,97.17483588267162,17,13,CHD,0
2326,133.2746446355627,0,469,0,133.2746446355627,17,14,CHD death,0
2331,0,62.002400793580144,3448,1.2724790584651329e+07,62.002400793580144,17,19,T2DM,0
2332,828.1740500098527,0,1385,0,828.1740500098527,17,20,T2DM death,0
2337,0,0,9911,1.9826006742102636e+06,0,17,25,Overweight,0
2338,0,64.2784979133019,7340,7.804457536954434e+06,64.2784979133019,17,26,Obese,0
2451,0,0,7080,321089.2350741815,0,18,3,Steatosis,0
2452,0,126.95431588338857,1435,278429.73502752045,126.95431588338857,18,4,NASH,0
2453,0,19.421302089093007,144,292471.2025476098,19.421302089093007,18,5,Cirrhosis,0
2454,0,1.1676150571464627,7,131854.6119252718,1.1676150571464627,18,6,HCC,0
2455,141.3041055126276,0,144,0,141.3041055126276,18,7,Liver death,0
2456,0,0,3410,0,0,18,8,Natural death,0
2461,0,95.72920488127998,2074,1.4954855615939744e+07,95.72920488127998,18,13,CHD,0
2462,121.39038151339213,0,498,0,121.39038151339213,18,14,CHD death,0
2467,0,61.680468205487166,3533,1.265872016296979e+07,61.680468205487166,18,19,T2DM,0
2468,720.9869413697298,0,1486,0,720.9869413697298,18,20,T2DM death,0
2473,0,0,9956,1.9335946538210413e+06,0,18,25,Overweight,0
2474,0,62.17674866274137,7313,7.549270914494446e+06,62.17674866274137,18,26,Obese,0
2587,0,0,7190,316580.4947868157,0,19,3,Steatosis,0
2588,0,124.71680028596941,1452,273522.5298602486,124.71680028596941,19,4,NASH,0
2589,0,20.950703440229805,160,315502.9153695888,20.950703440229805,19,5,Cirrhosis,0
2590,0,1.1336068515985076,7,128014.18633521535,1.1336068515985076,19,6,HCC,0
2591,180.14630536761965,0,159,0,180.14630536761965,19,7,Liver death,0
2592,0,0,3608,0,0,19,8,Natural death,0
2597,0,93.8372241723265,2094,1.4659289614261389e+07,93.8372241723265,19,13,CHD,0
2598,211.44252688180538,0,544,0,211.44252688180538,19,14,CHD death,0
2603,0,60.68059438901079,3580,1.2453515448909534e+07,60.68059438901079,19,19,T2DM,0
2604,710.7145676835519,0,1598,0,710.7145676835519,19,20,T2DM death,0
2609,0,0,10010,1.8874584565047715e+06,0,19,25,Overweight,0
2610,0,60.233702050998744,7297,7.313353379612915e+06,60.233702050998744,19,26,Obese,0
2723,0,0,7230,309069.6324869475,0,20,3,Steatosis,0
2724,0,124.08636151376581,1488,272139.8836770658,124.08636151376581,20,4,NASH,0
2725,0,21.230385160912473,167,319714.7261330176,21.230385160912473,20,5,Cirrhosis,0
2726,0,1.1005891763092306,7,124285.61780117995,1.1005891763092306,20,6,HCC,0
2727,156.39148800554582,0,174,0,156.39148800554582,20,7,Liver death,0
2728,0,0,3802,0,0,20,8,Natural death,0
2733,0,91.88723094738484,2112,1.435466087356473e+07,91.88723094738484,20,13,CHD,0
2734,137.6101919764781,0,575,0,137.6101919764781,20,14,CHD death,0
2739,0,59.76892087131594,3632,1.2266412136043066e+07,59.76892087131594,20,19,T2DM,0
2740,870.2316009826836,0,1726,0,870.2316009826836,20,20,T2DM death,0
2745,0,0,10107,1.8502412752184158e+06,0,20,25,Overweight,0
2746,0,58.030529443714414,7241,7.04585230820788e+06,58.030529443714414,20,26,Obese,0
2859,0,0,7298,302889.81695599854,0,21,3,Steatosis,0
2860,0,123.95358301856682,1531,271848.6806487955,123.95358301856682,21,4,NASH,0
2861,0,19.871472652211477,161,299250.4558305665,19.871472652211477,21,5,Cirrhosis,0
2862,0,1.9844187644965325,13,224093.34693694033,1.9844187644965325,21,6,HCC,0
2863,167.25947742718802,0,189,0,167.25947742718802,21,7,Liver death,0
2864,0,0,3994,0,0,21,8,Natural death,0
2869,0,90.30914412580819,2138,1.4108131503604742e+07,90.30914412580819,21,13,CHD,0
