Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,6100,0,0,2,3,Steatosis,0
276,0,0,661,0,0,2,4,NASH,0
277,0,0,87,0,0,2,5,Cirrhosis,0
278,0,0,11,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1515,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2107,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7505,0,0,2,25,Overweight,0
298,0,0,8500,0,0,2,26,Obese,0
411,0,0,6268,0,0,3,3,Steatosis,0
412,0,0,836,0,0,3,4,NASH,0
413,0,0,93,0,0,3,5,Cirrhosis,0
414,0,0,6,0,0,3,6,HCC,0
415,0,0,13,0,0,3,7,Liver death,0
416,0,0,194,0,0,3,8,Natural death,0
421,0,0,1527,0,0,3,13,CHD,0
422,0,0,37,0,0,3,14,CHD death,0
427,0,0,2266,0,0,3,19,T2DM,0
428,0,0,76,0,0,3,20,T2DM death,0
433,0,0,8154,0,0,3,25,Overweight,0
434,0,0,9114,0,0,3,26,Obese,0
547,0,0,6496,0,0,4,3,Steatosis,0
548,0,0,986,0,0,4,4,NASH,0
549,0,0,111,0,0,4,5,Cirrhosis,0
550,0,0,6,0,0,4,6,HCC,0
551,0,0,18,0,0,4,7,Liver death,0
552,0,0,389,0,0,4,8,Natural death,0
557,0,0,1522,0,0,4,13,CHD,0
558,0,0,73,0,0,4,14,CHD death,0
563,0,0,2429,0,0,4,19,T2DM,0
564,0,0,144,0,0,4,20,T2DM death,0
569,0,0,8033,0,0,4,25,Overweight,0
570,0,0,9685,0,0,4,26,Obese,0
683,0,0,6721,0,0,5,3,Steatosis,0
684,0,0,1131,0,0,5,4,NASH,0
685,0,0,126,0,0,5,5,Cirrhosis,0
686,0,0,6,0,0,5,6,HCC,0
687,0,0,24,0,0,5,7,Liver death,0
688,0,0,604,0,0,5,8,Natural death,0
693,0,0,1552,0,0,5,13,CHD,0
694,0,0,108,0,0,5,14,CHD death,0
699,0,0,2637,0,0,5,19,T2DM,0
700,0,0,212,0,0,5,20,T2DM death,0
705,0,0,7759,0,0,5,25,Overweight,0
706,0,0,10270,0,0,5,26,Obese,0
819,0,0,6873,0,0,6,3,Steatosis,0
820,0,0,1298,0,0,6,4,NASH,0
821,0,0,136,0,0,6,5,Cirrhosis,0
822,0,0,7,0,0,6,6,HCC,0
823,0,0,34,0,0,6,7,Liver death,0
824,0,0,802,0,0,6,8,Natural death,0
829,0,0,1569,0,0,6,13,CHD,0
830,0,0,142,0,0,6,14,CHD death,0
835,0,0,2813,0,0,6,19,T2DM,0
836,0,0,272,0,0,6,20,T2DM death,0
841,0,0,7593,0,0,6,25,Overweight,0
842,0,0,10747,0,0,6,26,Obese,0
955,0,0,7024,643970.1837358355,0,7,3,Steatosis,0
956,0,261.6992265460594,1463,373925.8615721332,261.6992265460594,7,4,NASH,0
957,0,37.41292588980569,164,593871.6892484342,37.41292588980569,7,5,Cirrhosis,0
958,0,2.2141562977040308,9,412770.3057750739,2.2141562977040308,7,6,HCC,0
959,168.69034559200003,0,44,0,168.69034559200003,7,7,Liver death,0
960,0,0,982,0,0,7,8,Natural death,0
965,0,100.21143496974857,1589,2.3748046611312646e+07,100.21143496974857,7,13,CHD,0
966,205.52699490099997,0,171,0,205.52699490099997,7,14,CHD death,0
971,0,81.4510653303743,2970,1.6785329063526347e+07,81.4510653303743,7,19,T2DM,0
972,867.8628387909997,0,353,0,867.8628387909997,7,20,T2DM death,0
977,0,0,7366,1.4437226888403466e+06,0,7,25,Overweight,0
978,0,148.2540132145404,11175,1.0608789266706867e+07,148.2540132145404,7,26,Obese,0
1091,0,0,7150,636429.1657052715,0,8,3,Steatosis,0
1092,0,284.6425633649185,1639,406708.17851118825,284.6425633649185,8,4,NASH,0
1093,0,38.09509384943499,172,604700.0387800746,38.09509384943499,8,5,Cirrhosis,0
1094,0,1.9108144964004574,8,356220.32860847795,1.9108144964004574,8,6,HCC,0
1095,163.60535940097088,0,56,0,163.60535940097088,8,7,Liver death,0
1096,0,0,1157,0,0,8,8,Natural death,0
1101,0,99.25197876539752,1621,2.3520675247264165e+07,99.25197876539752,8,13,CHD,0
1102,195.5976316456311,0,199,0,195.5976316456311,8,14,CHD death,0
1107,0,85.30914756579338,3204,1.7580397606988356e+07,85.30914756579338,8,19,T2DM,0
1108,763.0091122902916,0,431,0,763.0091122902916,8,20,T2DM death,0
1113,0,0,7240,1.3776960354719688e+06,0,8,25,Overweight,0
1114,0,147.67118537866892,11465,1.0567083160032969e+07,147.67118537866892,8,26,Obese,0
1227,0,0,7263,627657.6862675829,0,9,3,Steatosis,0
1228,0,305.01572538735655,1809,435818.131424417,305.01572538735655,9,4,NASH,0
1229,0,41.50120294051099,193,658766.6938617898,41.50120294051099,9,5,Cirrhosis,0
1230,0,1.1594748157769768,5,216153.11201970748,1.1594748157769768,9,6,HCC,0
1231,299.45786934301066,0,74,0,299.45786934301066,9,7,Liver death,0
1232,0,0,1331,0,0,9,8,Natural death,0
1237,0,98.62007317297362,1659,2.3370926633571934e+07,98.62007317297362,9,13,CHD,0
1238,267.0503591045338,0,239,0,267.0503591045338,9,14,CHD death,0
1243,0,86.93461548784464,3363,1.7915371911415774e+07,86.93461548784464,9,19,T2DM,0
1244,921.7641530568388,0,523,0,921.7641530568388,9,20,T2DM death,0
1249,0,0,7068,1.3057924661688174e+06,0,9,25,Overweight,0
1250,0,146.6714088302862,11729,1.0495540956989322e+07,146.6714088302862,9,26,Obese,0
1363,0,0,7378,619025.0637667383,0,10,3,Steatosis,0
1364,0,320.52294638373513,1958,457975.4417389661,320.52294638373513,10,4,NASH,0
1365,0,44.4678113905572,213,705856.9635925381,44.4678113905572,10,5,Cirrhosis,0
1366,0,2.926829632058388,13,545629.2148070285,2.926829632058388,10,6,HCC,0
1367,204.04890063666403,0,89,0,204.04890063666403,10,7,Liver death,0
1368,0,0,1506,0,0,10,8,Natural death,0
1373,0,97.7099222726603,1693,2.315523961132012e+07,97.7099222726603,10,13,CHD,0
1374,157.29625087693452,0,269,0,157.29625087693452,10,14,CHD death,0
1379,0,88.44321989993352,3524,1.822626313648248e+07,88.44321989993352,10,19,T2DM,0
1380,895.2035521077088,0,610,0,895.2035521077088,10,20,T2DM death,0
1385,0,0,7007,1.2568183430924444e+06,0,10,25,Overweight,0
1386,0,145.39820328764333,11976,1.0404432669243941e+07,145.39820328764333,10,26,Obese,0
1499,0,0,7503,611177.4250713342,0,11,3,Steatosis,0
1500,0,332.9609035740381,2095,475747.27056691924,332.9609035740381,11,4,NASH,0
1501,0,43.172632418016605,213,685298.0229053812,43.172632418016605,11,5,Cirrhosis,0
1502,0,2.4044156798089817,11,448239.0860998741,2.4044156798089817,11,6,HCC,0
1503,333.1048855032951,0,110,0,333.1048855032951,11,7,Liver death,0
1504,0,0,1656,0,0,11,8,Natural death,0
1509,0,96.9932591963323,1731,2.2985405219204605e+07,96.9932591963323,11,13,CHD,0
1510,207.97773229513857,0,307,0,207.97773229513857,11,14,CHD death,0
1515,0,89.40033220547622,3669,1.8423503589189507e+07,89.40033220547622,11,19,T2DM,0
1516,888.6663780490533,0,696,0,888.6663780490533,11,20,T2DM death,0
1521,0,0,6914,1.204016790995309e+06,0,11,25,Overweight,0
1522,0,144.05116400911314,12221,1.0308040972789295e+07,144.05116400911314,11,26,Obese,0
1635,0,0,7609,601759.1704246973,0,12,3,Steatosis,0
1636,0,344.09380400405325,2230,491654.3843938199,344.09380400405325,12,4,NASH,0
1637,0,44.866950140424976,228,712192.6670423719,44.866950140424976,12,5,Cirrhosis,0
1638,0,3.607684603420361,17,672556.4398674192,3.607684603420361,12,6,HCC,0
1639,296.6848060996096,0,131,0,296.6848060996096,12,7,Liver death,0
1640,0,0,1812,0,0,12,8,Natural death,0
1645,0,95.41943689901964,1754,2.2612441741675086e+07,95.41943689901964,12,13,CHD,0
1646,177.89640116684865,0,340,0,177.89640116684865,12,14,CHD death,0
1651,0,90.84173504830429,3840,1.872054600271826e+07,90.84173504830429,12,19,T2DM,0
1652,810.2058449190663,0,789,0,810.2058449190663,12,20,T2DM death,0
1657,0,0,6818,1.1527176435326561e+06,0,12,25,Overweight,0
1658,0,141.89250737028232,12399,1.0153571404756112e+07,141.89250737028232,12,26,Obese,0
1771,0,0,7681,589760.4890520171,0,13,3,Steatosis,0
1772,0,358.4903448045982,2393,512224.712375165,358.4903448045982,13,4,NASH,0
1773,0,43.94225230922233,230,697514.535086638,43.94225230922233,13,5,Cirrhosis,0
1774,0,5.35692745225182,26,998656.050060132,5.35692745225182,13,6,HCC,0
1775,374.69655965368673,0,157,0,374.69655965368673,13,7,Liver death,0
1776,0,0,1952,0,0,13,8,Natural death,0
1781,0,94.64725892718558,1792,2.242945146244431e+07,94.64725892718558,13,13,CHD,0
1782,213.75445791858664,0,383,0,213.75445791858664,13,14,CHD death,0
1787,0,92.51378154697377,4028,1.9065119159320038e+07,92.51378154697377,13,19,T2DM,0
1788,826.1073444952277,0,893,0,826.1073444952277,13,20,T2DM death,0
1793,0,0,6794,1.115203853614454e+06,0,13,25,Overweight,0
1794,0,139.88183104270436,12590,1.0009691040372241e+07,139.88183104270436,13,26,Obese,0
1907,0,0,7787,580484.8084667044,0,14,3,Steatosis,0
1908,0,361.28433517444336,2484,516216.87265037943,361.28433517444336,14,4,NASH,0
1909,0,46.55764174594689,251,739029.7522445979,46.55764174594689,14,5,Cirrhosis,0
1910,0,3.4005887486288637,17,633948.9488805913,3.4005887486288637,14,6,HCC,0
1911,391.162305005812,0,189,0,391.162305005812,14,7,Liver death,0
1912,0,0,2120,0,0,14,8,Natural death,0
1917,0,93.1724977628161,1817,2.2079963433632232e+07,93.1724977628161,14,13,CHD,0
1918,211.20991237281325,0,427,0,211.20991237281325,14,14,CHD death,0
1923,0,92.42815449913647,4145,1.9047473249242313e+07,92.42815449913647,14,19,T2DM,0
1924,1043.7690089337204,0,1006,0,1043.7690089337204,14,20,T2DM death,0
1929,0,0,6714,1.069973030624973e+06,0,14,25,Overweight,0
1930,0,137.55508759891535,12752,9.843193484334286e+06,137.55508759891535,14,26,Obese,0
2043,0,0,7862,569005.5449854751,0,15,3,Steatosis,0
2044,0,369.4009899536908,2616,527814.2593582589,369.4009899536908,15,4,NASH,0
2045,0,51.144432970444214,284,811837.889751542,51.144432970444214,15,5,Cirrhosis,0
2046,0,3.3015424743969537,17,615484.4163889235,3.3015424743969537,15,6,HCC,0
2047,344.49452747176804,0,217,0,344.49452747176804,15,7,Liver death,0
2048,0,0,2304,0,0,15,8,Natural death,0
2053,0,92.4003376139029,1856,2.189697737806543e+07,92.4003376139029,15,13,CHD,0
2054,189.22211177456313,0,461,0,189.22211177456313,15,14,CHD death,0
2059,0,92.74531576803855,4284,1.9112833428917274e+07,92.74531576803855,15,19,T2DM,0
2060,895.900980210105,0,1112,0,895.900980210105,15,20,T2DM death,0
2065,0,0,6666,1.0313820739946797e+06,0,15,25,Overweight,0
2066,0,134.55401364577583,12848,9.62844205567268e+06,134.55401364577583,15,26,Obese,0
2179,0,0,7902,555243.214438699,0,16,3,Steatosis,0
2180,0,373.859334492635,2727,534184.5125107787,373.859334492635,16,4,NASH,0
2181,0,55.59937674210669,318,882553.1551380858,55.59937674210669,16,5,Cirrhosis,0
2182,0,3.2053810431038405,17,597557.6858144887,3.2053810431038405,16,6,HCC,0
2183,350.192079217193,0,245,0,350.192079217193,16,7,Liver death,0
2184,0,0,2453,0,0,16,8,Natural death,0
2189,0,91.06243516937663,1884,2.157992204776526e+07,91.06243516937663,16,13,CHD,0
2190,175.19128543947366,0,498,0,175.19128543947366,16,14,CHD death,0
2195,0,92.73438605799129,4412,1.9110581048560694e+07,92.73438605799129,16,19,T2DM,0
2196,1050.6133872233218,0,1246,0,1050.6133872233218,16,20,T2DM death,0
2201,0,0,6678,1.0031444149470953e+06,0,16,25,Overweight,0
2202,0,130.8993256232159,12874,9.366919185391549e+06,130.8993256232159,16,26,Obese,0
2315,0,0,7956,542754.9390315652,0,17,3,Steatosis,0
2316,0,378.6763101212155,2845,541067.1914772316,378.6763101212155,17,4,NASH,0
2317,0,58.902679762810976,347,934987.9246287869,58.902679762810976,17,5,Cirrhosis,0
2318,0,2.3797803289748667,13,443646.4829005343,2.3797803289748667,17,6,HCC,0
2319,376.40329010192926,0,276,0,376.40329010192926,17,7,Liver death,0
2320,0,0,2630,0,0,17,8,Natural death,0
2325,0,90.85032593732777,1936,2.1529656527362105e+07,90.85032593732777,17,13,CHD,0
2326,135.67252646030303,0,528,0,135.67252646030303,17,14,CHD death,0
2331,0,92.29850367055708,4523,1.902075497597603e+07,92.29850367055708,17,19,T2DM,0
2332,912.44802063686,0,1370,0,912.44802063686,17,20,T2DM death,0
2337,0,0,6639,968238.8150096404,0,17,25,Overweight,0
2338,0,128.5773325210779,13025,9.200761555219028e+06,128.5773325210779,17,26,Obese,0
2451,0,0,8006,530258.1726055427,0,18,3,Steatosis,0
2452,0,383.2832036512664,2966,547649.6971083782,383.2832036512664,18,4,NASH,0
2453,0,59.98873963700886,364,952227.4266665078,59.98873963700886,18,5,Cirrhosis,0
2454,0,3.0213790584445643,17,563255.4301201705,3.0213790584445643,18,6,HCC,0
2455,329.38916287489445,0,307,0,329.38916287489445,18,7,Liver death,0
2456,0,0,2788,0,0,18,8,Natural death,0
2461,0,90.20884084686783,1980,2.1377637769887388e+07,90.20884084686783,18,13,CHD,0
2462,165.42448446891345,0,561,0,165.42448446891345,18,14,CHD death,0
2467,0,92.62163927195517,4675,1.9087346338281672e+07,92.62163927195517,18,19,T2DM,0
2468,774.9362582491938,0,1478,0,774.9362582491938,18,20,T2DM death,0
2473,0,0,6704,949241.2466822447,0,18,25,Overweight,0
2474,0,125.2923964778522,13073,8.965697468378456e+06,125.2923964778522,18,26,Obese,0
2587,0,0,8086,519958.0391998071,0,19,3,Steatosis,0
2588,0,382.2820187122393,3047,546219.1657847901,382.2820187122393,19,4,NASH,0
2589,0,57.92148658006309,362,919413.0173190979,57.92148658006309,19,5,Cirrhosis,0
2590,0,3.6235842505617266,21,675520.5044273885,3.6235842505617266,19,6,HCC,0
2591,363.3836232778463,0,344,0,363.3836232778463,19,7,Liver death,0
2592,0,0,2953,0,0,19,8,Natural death,0
2597,0,88.68722462389078,2005,2.1017046056989405e+07,88.68722462389078,19,13,CHD,0
2598,177.45264358994578,0,601,0,177.45264358994578,19,14,CHD death,0
2603,0,91.46272669915115,4755,1.8848519150311384e+07,91.46272669915115,19,19,T2DM,0
2604,1005.062801814397,0,1625,0,1005.062801814397,19,20,T2DM death,0
2609,0,0,6641,912932.8844705642,0,19,25,Overweight,0
2610,0,122.4898502906279,13164,8.76515232786765e+06,122.4898502906279,19,26,Obese,0
2723,0,0,8076,504189.32454005955,0,20,3,Steatosis,0
2724,0,381.8666549822242,3135,545625.678204936,381.8666549822242,20,4,NASH,0
2725,0,58.71995367500897,378,932087.433746241,58.71995367500897,20,5,Cirrhosis,0
2726,0,4.020620527669046,24,749537.3142051471,4.020620527669046,20,6,HCC,0
2727,349.0758752893335,0,378,0,349.0758752893335,20,7,Liver death,0
2728,0,0,3112,0,0,20,8,Natural death,0
2733,0,87.43538693763101,2036,2.0720386302219663e+07,87.43538693763101,20,13,CHD,0
2734,115.56323444432614,0,636,0,115.56323444432614,20,14,CHD death,0
2739,0,91.39456361022462,4894,1.8834472190055463e+07,91.39456361022462,20,19,T2DM,0
2740,812.5721578242526,0,1753,0,812.5721578242526,20,20,T2DM death,0
2745,0,0,6600,880870.5317667378,0,20,25,Overweight,0
2746,0,119.47325230133934,13225,8.549290027234113e+06,119.47325230133934,20,26,Obese,0
2859,0,0,8056,488291.9544057996,0,21,3,Steatosis,0
2860,0,381.0329237245425,3222,544434.4111043323,381.0329237245425,21,4,NASH,0
2861,0,59.42277122297564,394,943243.5631993035,59.42277122297564,21,5,Cirrhosis,0
2862,0,4.554100921307984,28,848990.4853456356,4.554100921307984,21,6,HCC,0
2863,356.5001402383934,0,413,0,356.5001402383934,21,7,Liver death,0
2864,0,0,3268,0,0,21,8,Natural death,0
2869,0,87.43205142779648,2097,2.071959585507275e+07,87.43205142779648,21,13,CHD,0
2870,133.69967968172702,0,667,0,133.69967968172702,21,14,CHD death,0
