Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,6317,0,0,2,3,Steatosis,0
276,0,0,918,0,0,2,4,NASH,0
277,0,0,67,0,0,2,5,Cirrhosis,0
278,0,0,4,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1457,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2099,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7414,0,0,2,25,Overweight,0
298,0,0,8399,0,0,2,26,Obese,0
411,0,0,6521,0,0,3,3,Steatosis,0
412,0,0,1073,0,0,3,4,NASH,0
413,0,0,76,0,0,3,5,Cirrhosis,0
414,0,0,6,0,0,3,6,HCC,0
415,0,0,7,0,0,3,7,Liver death,0
416,0,0,283,0,0,3,8,Natural death,0
421,0,0,1480,0,0,3,13,CHD,0
422,0,0,38,0,0,3,14,CHD death,0
427,0,0,2241,0,0,3,19,T2DM,0
428,0,0,62,0,0,3,20,T2DM death,0
433,0,0,7687,0,0,3,25,Overweight,0
434,0,0,8501,0,0,3,26,Obese,0
547,0,0,6646,0,0,4,3,Steatosis,0
548,0,0,1236,0,0,4,4,NASH,0
549,0,0,87,0,0,4,5,Cirrhosis,0
550,0,0,5,0,0,4,6,HCC,0
551,0,0,16,0,0,4,7,Liver death,0
552,0,0,529,0,0,4,8,Natural death,0
557,0,0,1510,0,0,4,13,CHD,0
558,0,0,70,0,0,4,14,CHD death,0
563,0,0,2342,0,0,4,19,T2DM,0
564,0,0,139,0,0,4,20,T2DM death,0
569,0,0,7865,0,0,4,25,Overweight,0
570,0,0,8603,0,0,4,26,Obese,0
683,0,0,6847,0,0,5,3,Steatosis,0
684,0,0,1370,0,0,5,4,NASH,0
685,0,0,101,0,0,5,5,Cirrhosis,0
686,0,0,5,0,0,5,6,HCC,0
687,0,0,28,0,0,5,7,Liver death,0
688,0,0,780,0,0,5,8,Natural death,0
693,0,0,1550,0,0,5,13,CHD,0
694,0,0,94,0,0,5,14,CHD death,0
699,0,0,2503,0,0,5,19,T2DM,0
700,0,0,200,0,0,5,20,T2DM death,0
705,0,0,8034,0,0,5,25,Overweight,0
706,0,0,8743,0,0,5,26,Obese,0
819,0,0,7022,0,0,6,3,Steatosis,0
820,0,0,1496,0,0,6,4,NASH,0
821,0,0,111,0,0,6,5,Cirrhosis,0
822,0,0,4,0,0,6,6,HCC,0
823,0,0,38,0,0,6,7,Liver death,0
824,0,0,1022,0,0,6,8,Natural death,0
829,0,0,1559,0,0,6,13,CHD,0
830,0,0,133,0,0,6,14,CHD death,0
835,0,0,2643,0,0,6,19,T2DM,0
836,0,0,259,0,0,6,20,T2DM death,0
841,0,0,8236,0,0,6,25,Overweight,0
842,0,0,8847,0,0,6,26,Obese,0
955,0,0,7141,1.8694399318079099e+06,0,7,3,Steatosis,0
956,0,256.1705217896646,1645,358110.0779579025,256.1705217896646,7,4,NASH,0
957,0,24.996477695691777,122,217704.58177360392,24.996477695691777,7,5,Cirrhosis,0
958,0,1.5292969525893703,4,93253.58202228743,1.5292969525893703,7,6,HCC,0
959,225.028614083,0,51,0,225.028614083,7,7,Liver death,0
960,0,0,1254,0,0,7,8,Natural death,0
965,0,95.86059511929604,1601,1.961320130250047e+07,95.86059511929604,7,13,CHD,0
966,314.6452981650001,0,171,0,314.6452981650001,7,14,CHD death,0
971,0,120.95340142301707,2811,2.589540889979279e+07,120.95340142301707,7,19,T2DM,0
972,740.3189490579997,0,326,0,740.3189490579997,7,20,T2DM death,0
977,0,0,8372,1.2266111994446851e+06,0,7,25,Overweight,0
978,0,88.38807285932829,8925,1.1300535784224983e+07,88.38807285932829,7,26,Obese,0
1091,0,0,7308,1.8574357323499296e+06,0,8,3,Steatosis,0
1092,0,268.51526939443806,1776,375367.2490649871,268.51526939443806,8,4,NASH,0
1093,0,26.25764010688619,132,228688.56274165018,26.25764010688619,8,5,Cirrhosis,0
1094,0,1.4847543229023012,4,90537.45827406547,1.4847543229023012,8,6,HCC,0
1095,214.94285302330098,0,64,0,214.94285302330098,8,7,Liver death,0
1096,0,0,1486,0,0,8,8,Natural death,0
1101,0,95.21940462297057,1638,1.94820129006113e+07,95.21940462297057,8,13,CHD,0
1102,224.32677860485438,0,201,0,224.32677860485438,8,14,CHD death,0
1107,0,123.07015801038388,2946,2.6348593983686894e+07,123.07015801038388,8,19,T2DM,0
1108,823.3398920669906,0,407,0,823.3398920669906,8,20,T2DM death,0
1113,0,0,8397,1.1944408130822259e+06,0,8,25,Overweight,0
1114,0,86.63093595087892,9010,1.1075883431602774e+07,86.63093595087892,8,26,Obese,0
1227,0,0,7365,1.8174010884141843e+06,0,9,3,Steatosis,0
1228,0,281.09788599358643,1915,392956.94588002516,281.09788599358643,9,4,NASH,0
1229,0,28.582897439093433,148,248940.1830373939,28.582897439093433,9,5,Cirrhosis,0
1230,0,1.8018863142018218,5,109875.55615784644,1.8018863142018218,9,6,HCC,0
1231,234.32017482891885,0,78,0,234.32017482891885,9,7,Liver death,0
1232,0,0,1715,0,0,9,8,Natural death,0
1237,0,94.02629781871083,1666,1.923790171083513e+07,94.02629781871083,9,13,CHD,0
1238,209.42732416438878,0,230,0,209.42732416438878,9,14,CHD death,0
1243,0,125.69105374877864,3099,2.69097122823926e+07,125.69105374877864,9,19,T2DM,0
1244,763.2514298576684,0,487,0,763.2514298576684,9,20,T2DM death,0
1249,0,0,8464,1.1689041788995615e+06,0,9,25,Overweight,0
1250,0,85.23723114205603,9131,1.089769636907806e+07,85.23723114205603,9,26,Obese,0
1363,0,0,7444,1.7833934711089323e+06,0,10,3,Steatosis,0
1364,0,297.13761682000893,2085,415379.4682551393,297.13761682000893,10,4,NASH,0
1365,0,29.4379093278514,157,256386.8324381463,29.4379093278514,10,5,Cirrhosis,0
1366,0,1.3995233508363665,4,85340.2377925021,1.3995233508363665,10,6,HCC,0
1367,301.80055757751023,0,98,0,301.80055757751023,10,7,Liver death,0
1368,0,0,1952,0,0,10,8,Natural death,0
1373,0,91.7260239329883,1674,1.8767262709319543e+07,91.7260239329883,10,13,CHD,0
1374,283.72992531345886,0,270,0,283.72992531345886,10,14,CHD death,0
1379,0,126.63728946576038,3216,2.7112295760980096e+07,126.63728946576038,10,19,T2DM,0
1380,838.1182162983068,0,577,0,838.1182162983068,10,20,T2DM death,0
1385,0,0,8585,1.1510821819713407e+06,0,10,25,Overweight,0
1386,0,83.0989887581741,9169,1.0624319161130758e+07,83.0989887581741,10,26,Obese,0
1499,0,0,7478,1.7393582603764383e+06,0,11,3,Steatosis,0
1500,0,307.71533133462293,2224,430166.4396169979,307.71533133462293,11,4,NASH,0
1501,0,31.857239084620716,175,277457.76808283717,31.857239084620716,11,5,Cirrhosis,0
1502,0,1.3587605347925888,4,82854.59979854572,1.3587605347925888,11,6,HCC,0
1503,280.9447753500925,0,115,0,280.9447753500925,11,7,Liver death,0
1504,0,0,2151,0,0,11,8,Natural death,0
1509,0,90.65034901683761,1704,1.854717823519162e+07,90.65034901683761,11,13,CHD,0
1510,177.23286037894272,0,301,0,177.23286037894272,11,14,CHD death,0
1515,0,127.192394234098,3327,2.723114041345827e+07,127.192394234098,11,19,T2DM,0
1516,1022.0108491714077,0,682,0,1022.0108491714077,11,20,T2DM death,0
1521,0,0,8624,1.1226323557485305e+06,0,11,25,Overweight,0
1522,0,81.24177004239839,9233,1.0386871212805301e+07,81.24177004239839,11,26,Obese,0
1635,0,0,7510,1.6959236459866567e+06,0,12,3,Steatosis,0
1636,0,322.1263901919272,2398,450312.1822839455,322.1263901919272,12,4,NASH,0
1637,0,32.16653266796642,182,280151.5328215039,32.16653266796642,12,5,Cirrhosis,0
1638,0,2.638369970471046,8,160882.7180554286,2.638369970471046,12,6,HCC,0
1639,283.75520485406236,0,134,0,283.75520485406236,12,7,Liver death,0
1640,0,0,2370,0,0,12,8,Natural death,0
1645,0,89.6628184359029,1736,1.834512820564415e+07,89.6628184359029,12,13,CHD,0
1646,162.51368385923715,0,326,0,162.51368385923715,12,14,CHD death,0
1651,0,127.867549743487,3445,2.7375687220583268e+07,127.867549743487,12,19,T2DM,0
1652,790.9775756795771,0,768,0,790.9775756795771,12,20,T2DM death,0
1657,0,0,8597,1.0865219620079696e+06,0,12,25,Overweight,0
1658,0,80.15692217424518,9383,1.0248171931805106e+07,80.15692217424518,12,26,Obese,0
1771,0,0,7605,1.6673560595873194e+06,0,13,3,Steatosis,0
1772,0,324.612170816967,2489,453787.1453172333,324.612170816967,13,4,NASH,0
1773,0,36.54897822616488,213,318320.0495624698,36.54897822616488,13,5,Cirrhosis,0
1774,0,1.92114318238183,6,117147.61023453537,1.92114318238183,13,6,HCC,0
1775,272.4322197969153,0,155,0,272.4322197969153,13,7,Liver death,0
1776,0,0,2582,0,0,13,8,Natural death,0
1781,0,89.20750413710545,1779,1.825197031332006e+07,89.20750413710545,13,13,CHD,0
1782,171.21608569766255,0,354,0,171.21608569766255,13,14,CHD death,0
1787,0,128.21529499268965,3558,2.7450137424671024e+07,128.21529499268965,13,19,T2DM,0
1788,972.6514873310605,0,876,0,972.6514873310605,13,20,T2DM death,0
1793,0,0,8576,1.052298933154918e+06,0,13,25,Overweight,0
1794,0,78.85070594624855,9507,1.008117040378502e+07,78.85070594624855,13,26,Obese,0
1907,0,0,7632,1.624539482427055e+06,0,14,3,Steatosis,0
1908,0,334.6569439394716,2643,467829.0985475356,334.6569439394716,14,4,NASH,0
1909,0,38.149943086703,229,332263.5095027392,38.149943086703,14,5,Cirrhosis,0
1910,0,2.797781333565772,9,170603.31587553694,2.797781333565772,14,6,HCC,0
1911,309.1539283442288,0,176,0,309.1539283442288,14,7,Liver death,0
1912,0,0,2800,0,0,14,8,Natural death,0
1917,0,89.14080675575353,1831,1.8238323943139747e+07,89.14080675575353,14,13,CHD,0
1918,176.08330233132284,0,383,0,176.08330233132284,14,14,CHD death,0
1923,0,127.73458472315137,3651,2.7347220195013233e+07,127.73458472315137,14,19,T2DM,0
1924,811.2937262085051,0,977,0,811.2937262085051,14,20,T2DM death,0
1929,0,0,8530,1.0161695202472778e+06,0,14,25,Overweight,0
1930,0,77.19022235029696,9586,9.868875309115704e+06,77.19022235029696,14,26,Obese,0
2043,0,0,7660,1.5830092552807992e+06,0,15,3,Steatosis,0
2044,0,336.46527576500864,2737,470357.03129519743,336.46527576500864,15,4,NASH,0
2045,0,38.332710864241214,237,333855.3090776652,38.332710864241214,15,5,Cirrhosis,0
2046,0,1.810861704573315,6,110422.85817186857,1.810861704573315,15,6,HCC,0
2047,295.93355057166946,0,200,0,295.93355057166946,15,7,Liver death,0
2048,0,0,2996,0,0,15,8,Natural death,0
2053,0,87.34799853899058,1848,1.7871513071492773e+07,87.34799853899058,15,13,CHD,0
2054,243.27791904385964,0,429,0,243.27791904385964,15,14,CHD death,0
2059,0,127.47881188716268,3753,2.7292460741407845e+07,127.47881188716268,15,19,T2DM,0
2060,769.2560035737248,0,1075,0,769.2560035737248,15,20,T2DM death,0
2065,0,0,8529,986456.6906283093,0,15,25,Overweight,0
2066,0,74.94196344686578,9586,9.581432338949155e+06,74.94196344686578,15,26,Obese,0
2179,0,0,7658,1.5365009096477672e+06,0,16,3,Steatosis,0
2180,0,338.48112420925924,2836,473175.0590623263,338.48112420925924,16,4,NASH,0
2181,0,41.613077624939244,265,362425.3693235878,41.613077624939244,16,5,Cirrhosis,0
2182,0,2.9301969329665294,10,178677.76403214983,2.9301969329665294,16,6,HCC,0
2183,168.6093956639677,0,214,0,168.6093956639677,16,7,Liver death,0
2184,0,0,3225,0,0,16,8,Natural death,0
2189,0,86.8689116727113,1893,1.7773491281225327e+07,86.8689116727113,16,13,CHD,0
2190,101.94449109202993,0,446,0,101.94449109202993,16,14,CHD death,0
2195,0,127.7891333697335,3875,2.7358898738085106e+07,127.7891333697335,16,19,T2DM,0
2196,904.4435862573946,0,1186,0,904.4435862573946,16,20,T2DM death,0
2201,0,0,8515,956152.8765592679,0,16,25,Overweight,0
2202,0,73.20700672351573,9645,9.359615753265908e+06,73.20700672351573,16,26,Obese,0
2315,0,0,7744,1.5085009196947308e+06,0,17,3,Steatosis,0
2316,0,340.0941088755368,2935,475429.90891995694,340.0941088755368,17,4,NASH,0
2317,0,41.010873350828454,269,357180.5251806012,41.010873350828454,17,5,Cirrhosis,0
2318,0,3.6983068085985313,13,225515.62450659683,3.6983068085985313,17,6,HCC,0
2319,320.90607473247354,0,241,0,320.90607473247354,17,7,Liver death,0
2320,0,0,3410,0,0,17,8,Natural death,0
2325,0,85.85354976347004,1927,1.75657469260389e+07,85.85354976347004,17,13,CHD,0
2326,147.1384552798626,0,473,0,147.1384552798626,17,14,CHD death,0
2331,0,128.10130225175382,4001,2.7425732252073668e+07,128.10130225175382,17,19,T2DM,0
2332,778.6538714266592,0,1287,0,778.6538714266592,17,20,T2DM death,0
2337,0,0,8496,926232.3870777108,0,17,25,Overweight,0
2338,0,71.7895644406119,9742,9.178393822275864e+06,71.7895644406119,17,26,Obese,0
2451,0,0,7755,1.4666443462938874e+06,0,18,3,Steatosis,0
2452,0,335.9259718173348,2986,469603.1187161905,335.9259718173348,18,4,NASH,0
2453,0,42.92472397495308,290,373849.03563133586,42.92472397495308,18,5,Cirrhosis,0
2454,0,3.3143899703646293,12,202105.11531584486,3.3143899703646293,18,6,HCC,0
2455,316.90312031262533,0,269,0,316.90312031262533,18,7,Liver death,0
2456,0,0,3634,0,0,18,8,Natural death,0
2461,0,83.22319503877418,1924,1.7027572959476553e+07,83.22319503877418,18,13,CHD,0
2462,172.40094967413623,0,507,0,172.40094967413623,18,14,CHD death,0
2467,0,127.94494581893755,4116,2.7392257263242006e+07,127.94494581893755,18,19,T2DM,0
2468,958.1178951428896,0,1409,0,958.1178951428896,18,20,T2DM death,0
2473,0,0,8513,901054.1009812086,0,18,25,Overweight,0
2474,0,69.86315849524159,9765,8.93210019219402e+06,69.86315849524159,18,26,Obese,0
2587,0,0,7738,1.4208051118441825e+06,0,19,3,Steatosis,0
2588,0,340.2315667974659,3115,475622.06634225993,340.2315667974659,19,4,NASH,0
2589,0,44.54859200614517,310,387991.9686833425,44.54859200614517,19,5,Cirrhosis,0
2590,0,1.87708169842657,7,114460.82582612569,1.87708169842657,19,6,HCC,0
2591,298.65657259746365,0,297,0,298.65657259746365,19,7,Liver death,0
2592,0,0,3830,0,0,19,8,Natural death,0
2597,0,81.51314089289204,1941,1.6677693677383156e+07,81.51314089289204,19,13,CHD,0
2598,127.42177368034376,0,537,0,127.42177368034376,19,14,CHD death,0
2603,0,127.96063910486923,4240,2.7395617103074413e+07,127.96063910486923,19,19,T2DM,0
2604,855.2472084560385,0,1524,0,855.2472084560385,19,20,T2DM death,0
2609,0,0,8558,879434.0803950008,0,19,25,Overweight,0
2610,0,68.09920569175935,9804,8.706576418085912e+06,68.09920569175935,19,26,Obese,0
2723,0,0,7813,1.3927923899504878e+06,0,20,3,Steatosis,0
2724,0,341.35031355359575,3219,477186.0030718054,341.35031355359575,20,4,NASH,0
2725,0,44.925294788533435,322,391272.82779842423,44.925294788533435,20,5,Cirrhosis,0
2726,0,4.16550723645286,16,254004.60654896128,4.16550723645286,20,6,HCC,0
2727,231.82761213825464,0,317,0,231.82761213825464,20,7,Liver death,0
2728,0,0,4036,0,0,20,8,Natural death,0
2733,0,79.79132802498823,1957,1.6325408545610389e+07,79.79132802498823,20,13,CHD,0
2734,131.12227837073146,0,572,0,131.12227837073146,20,14,CHD death,0
2739,0,127.19296903148206,4341,2.7231263474181525e+07,127.19296903148206,20,19,T2DM,0
2740,788.1377614618683,0,1634,0,788.1377614618683,20,20,T2DM death,0
2745,0,0,8570,855016.7184724185,0,20,25,Overweight,0
2746,0,66.5271024853165,9865,8.505580876876343e+06,66.5271024853165,20,26,Obese,0
2859,0,0,7874,1.3627831232820486e+06,0,21,3,Steatosis,0
2860,0,337.58529548228677,3279,471922.7475434217,337.58529548228677,21,4,NASH,0
2861,0,45.24226153099639,334,394033.4212285898,45.24226153099639,21,5,Cirrhosis,0
2862,0,3.285897698658201,13,200367.71147672916,3.285897698658201,21,6,HCC,0
2863,387.2185690816481,0,352,0,387.2185690816481,21,7,Liver death,0
2864,0,0,4236,0,0,21,8,Natural death,0
2869,0,78.45692691186579,1982,1.6052388358146412e+07,78.45692691186579,21,13,CHD,0
