Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,6500,0,0,2,3,Steatosis,0
276,0,0,685,0,0,2,4,NASH,0
277,0,0,77,0,0,2,5,Cirrhosis,0
278,0,0,6,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1497,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2119,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7438,0,0,2,25,Overweight,0
298,0,0,8402,0,0,2,26,Obese,0
411,0,0,6821,0,0,3,3,Steatosis,0
412,0,0,780,0,0,3,4,NASH,0
413,0,0,81,0,0,3,5,Cirrhosis,0
414,0,0,5,0,0,3,6,HCC,0
415,0,0,10,0,0,3,7,Liver death,0
416,0,0,205,0,0,3,8,Natural death,0
421,0,0,1556,0,0,3,13,CHD,0
422,0,0,60,0,0,3,14,CHD death,0
427,0,0,2277,0,0,3,19,T2DM,0
428,0,0,49,0,0,3,20,T2DM death,0
433,0,0,7884,0,0,3,25,Overweight,0
434,0,0,8305,0,0,3,26,Obese,0
547,0,0,7141,0,0,4,3,Steatosis,0
548,0,0,908,0,0,4,4,NASH,0
549,0,0,90,0,0,4,5,Cirrhosis,0
550,0,0,6,0,0,4,6,HCC,0
551,0,0,20,0,0,4,7,Liver death,0
552,0,0,407,0,0,4,8,Natural death,0
557,0,0,1601,0,0,4,13,CHD,0
558,0,0,122,0,0,4,14,CHD death,0
563,0,0,2422,0,0,4,19,T2DM,0
564,0,0,97,0,0,4,20,T2DM death,0
569,0,0,8166,0,0,4,25,Overweight,0
570,0,0,8241,0,0,4,26,Obese,0
683,0,0,7393,0,0,5,3,Steatosis,0
684,0,0,1027,0,0,5,4,NASH,0
685,0,0,101,0,0,5,5,Cirrhosis,0
686,0,0,3,0,0,5,6,HCC,0
687,0,0,32,0,0,5,7,Liver death,0
688,0,0,595,0,0,5,8,Natural death,0
693,0,0,1646,0,0,5,13,CHD,0
694,0,0,165,0,0,5,14,CHD death,0
699,0,0,2580,0,0,5,19,T2DM,0
700,0,0,152,0,0,5,20,T2DM death,0
705,0,0,8491,0,0,5,25,Overweight,0
706,0,0,8197,0,0,5,26,Obese,0
819,0,0,7627,0,0,6,3,Steatosis,0
820,0,0,1154,0,0,6,4,NASH,0
821,0,0,112,0,0,6,5,Cirrhosis,0
822,0,0,2,0,0,6,6,HCC,0
823,0,0,42,0,0,6,7,Liver death,0
824,0,0,757,0,0,6,8,Natural death,0
829,0,0,1714,0,0,6,13,CHD,0
830,0,0,228,0,0,6,14,CHD death,0
835,0,0,2772,0,0,6,19,T2DM,0
836,0,0,193,0,0,6,20,T2DM death,0
841,0,0,8710,0,0,6,25,Overweight,0
842,0,0,8172,0,0,6,26,Obese,0
955,0,0,7797,1.0316867719618344e+06,0,7,3,Steatosis,0
956,0,181.09070894422808,1254,336029.7804525289,181.09070894422808,7,4,NASH,0
957,0,29.950568190258466,123,233376.2422197572,29.950568190258466,7,5,Cirrhosis,0
958,0,0.9764491055215785,4,178813.33814808418,0.9764491055215785,7,6,HCC,0
959,163.17791163200002,0,53,0,163.17791163200002,7,7,Liver death,0
960,0,0,926,0,0,7,8,Natural death,0
965,0,116.73209917213174,1794,1.2654884547611933e+07,116.73209917213174,7,13,CHD,0
966,353.752406797,0,274,0,353.752406797,7,14,CHD death,0
971,0,97.08919938799698,2948,3.392497383848299e+07,97.08919938799698,7,19,T2DM,0
972,573.7522913900001,0,250,0,573.7522913900001,7,20,T2DM death,0
977,0,0,8864,1.9679949310332967e+06,0,7,25,Overweight,0
978,0,83.97992701933771,8159,7.270203021441023e+06,83.97992701933771,7,26,Obese,0
1091,0,0,7969,1.0237335352733894e+06,0,8,3,Steatosis,0
1092,0,194.74380601379747,1389,361364.3061028496,194.74380601379747,8,4,NASH,0
1093,0,30.496671375351998,129,237631.5040362198,30.496671375351998,8,5,Cirrhosis,0
1094,0,0.7110066302341591,3,130203.88700103217,0.7110066302341591,8,6,HCC,0
1095,184.51309470873787,0,64,0,184.51309470873787,8,7,Liver death,0
1096,0,0,1069,0,0,8,8,Natural death,0
1101,0,119.01769373655902,1884,1.2902665025652615e+07,119.01769373655902,8,13,CHD,0
1102,376.94944498252426,0,324,0,376.94944498252426,8,14,CHD death,0
1107,0,98.92966200763271,3094,3.456806953414432e+07,98.92966200763271,8,19,T2DM,0
1108,632.1502213786409,0,310,0,632.1502213786409,8,20,T2DM death,0
1113,0,0,8989,1.9376189972150652e+06,0,8,25,Overweight,0
1114,0,81.38401284726297,8144,7.045472854042798e+06,81.38401284726297,8,26,Obese,0
1227,0,0,8093,1.0093816818044239e+06,0,9,3,Steatosis,0
1228,0,206.90346840359547,1520,383927.63200201665,206.90346840359547,9,4,NASH,0
1229,0,32.1331677018837,140,250383.16072153833,32.1331677018837,9,5,Cirrhosis,0
1230,0,0.9203969323419535,4,168548.72103693485,0.9203969323419535,9,6,HCC,0
1231,68.4621720991611,0,68,0,68.4621720991611,9,7,Liver death,0
1232,0,0,1220,0,0,9,8,Natural death,0
1237,0,117.20714691452048,1911,1.2706384301127058e+07,117.20714691452048,9,13,CHD,0
1238,551.3638466179659,0,406,0,551.3638466179659,9,14,CHD death,0
1243,0,102.13271788338517,3290,3.568728348866149e+07,102.13271788338517,9,19,T2DM,0
1244,665.1674278480536,0,376,0,665.1674278480536,9,20,T2DM death,0
1249,0,0,9164,1.9178068221977681e+06,0,9,25,Overweight,0
1250,0,78.69343661234863,8111,6.812547723398503e+06,78.69343661234863,9,26,Obese,0
1363,0,0,8272,1.0016573440412527e+06,0,10,3,Steatosis,0
1364,0,215.0178481685238,1627,398984.5792458281,215.0178481685238,10,4,NASH,0
1365,0,31.197250196003587,140,243090.44730246326,31.197250196003587,10,5,Cirrhosis,0
1366,0,1.3403838820513887,6,245459.3024809731,1.3403838820513887,10,6,HCC,0
1367,185.75058790530483,0,80,0,185.75058790530483,10,7,Liver death,0
1368,0,0,1360,0,0,10,8,Natural death,0
1373,0,117.72341500155314,1977,1.2762352737258412e+07,117.72341500155314,10,13,CHD,0
1374,339.6737991904657,0,467,0,339.6737991904657,10,14,CHD death,0
1379,0,104.31178227473255,3461,3.644869364483852e+07,104.31178227473255,10,19,T2DM,0
1380,648.2461607025356,0,446,0,648.2461607025356,10,20,T2DM death,0
1385,0,0,9379,1.9056322318017923e+06,0,10,25,Overweight,0
1386,0,75.73261175501914,8040,6.55622697405194e+06,75.73261175501914,10,26,Obese,0
1499,0,0,8404,988001.2017757419,0,11,3,Steatosis,0
1500,0,225.43507869752563,1757,418314.66916593525,225.43507869752563,11,4,NASH,0
1501,0,29.85589824582855,138,232638.56954049855,29.85589824582855,11,5,Cirrhosis,0
1502,0,1.7351247664095644,8,317746.6698782823,1.7351247664095644,11,6,HCC,0
1503,254.19856821023015,0,94,0,254.19856821023015,11,7,Liver death,0
1504,0,0,1513,0,0,11,8,Natural death,0
1509,0,116.08675364905926,2008,1.258492287344018e+07,116.08675364905926,11,13,CHD,0
1510,444.563969840449,0,547,0,444.563969840449,11,14,CHD death,0
1515,0,105.01902940223573,3589,3.6695820415369734e+07,105.01902940223573,11,19,T2DM,0
1516,713.5814466729943,0,531,0,713.5814466729943,11,20,T2DM death,0
1521,0,0,9535,1.880901386823118e+06,0,11,25,Overweight,0
1522,0,72.92322925838279,7974,6.313016699401743e+06,72.92322925838279,11,26,Obese,0
1635,0,0,8506,970866.6495271834,0,12,3,Steatosis,0
1636,0,237.80360678427257,1909,441265.5637852248,237.80360678427257,12,4,NASH,0
1637,0,30.036537562638962,143,234046.1196305858,30.036537562638962,12,5,Cirrhosis,0
1638,0,2.3163073337991764,11,424176.37969188165,2.3163073337991764,12,6,HCC,0
1639,214.2949457133392,0,110,0,214.2949457133392,12,7,Liver death,0
1640,0,0,1635,0,0,12,8,Natural death,0
1645,0,115.5681283426536,2059,1.2528698892011372e+07,115.5681283426536,12,13,CHD,0
1646,493.2741810570481,0,629,0,493.2741810570481,12,14,CHD death,0
1651,0,105.9374952703307,3729,3.701675138135641e+07,105.9374952703307,12,19,T2DM,0
1652,696.0379616711662,0,611,0,696.0379616711662,12,20,T2DM death,0
1657,0,0,9670,1.8519726923881208e+06,0,12,25,Overweight,0
1658,0,70.72822160765091,7966,6.122993299513549e+06,70.72822160765091,12,26,Obese,0
1771,0,0,8581,950900.0750574212,0,13,3,Steatosis,0
1772,0,243.69708517666183,2015,452201.4326756644,243.69708517666183,13,4,NASH,0
1773,0,31.200965761991583,153,243119.39916816907,31.200965761991583,13,5,Cirrhosis,0
1774,0,1.635521506654317,8,299506.71116814244,1.635521506654317,13,6,HCC,0
1775,283.0461140131409,0,133,0,283.0461140131409,13,7,Liver death,0
1776,0,0,1750,0,0,13,8,Natural death,0
1781,0,114.65427275610021,2104,1.2429628139209677e+07,114.65427275610021,13,13,CHD,0
1782,389.8435518035072,0,701,0,389.8435518035072,13,14,CHD death,0
1787,0,106.68578517514439,3868,3.7278219346938744e+07,106.68578517514439,13,19,T2DM,0
1788,715.9260512324117,0,689,0,715.9260512324117,13,20,T2DM death,0
1793,0,0,9685,1.8008208276809948e+06,0,13,25,Overweight,0
1794,0,68.76299805289763,7977,5.952862475012173e+06,68.76299805289763,13,26,Obese,0
1907,0,0,8650,930627.4586378537,0,14,3,Steatosis,0
1908,0,251.39389499300248,2141,466483.5420552613,251.39389499300248,14,4,NASH,0
1909,0,32.27208210676218,163,251465.58832674462,32.27208210676218,14,5,Cirrhosis,0
1910,0,1.1909137184376093,6,218087.41104476393,1.1909137184376093,14,6,HCC,0
1911,257.77456606534145,0,155,0,257.77456606534145,14,7,Liver death,0
1912,0,0,1868,0,0,14,8,Natural death,0
1917,0,114.22467370538303,2159,1.2383055461882047e+07,114.22467370538303,14,13,CHD,0
1918,422.5690204592347,0,784,0,422.5690204592347,14,14,CHD death,0
1923,0,107.27383646037079,4006,3.748369662549639e+07,107.27383646037079,14,19,T2DM,0
1924,840.2954909290507,0,790,0,840.2954909290507,14,20,T2DM death,0
1929,0,0,9693,1.749813923313729e+06,0,14,25,Overweight,0
1930,0,67.44645726713134,8059,5.8388885869839825e+06,67.44645726713134,14,26,Obese,0
2043,0,0,8767,915742.8508755257,0,15,3,Steatosis,0
2044,0,257.40961935681713,2258,477646.2491263161,257.40961935681713,15,4,NASH,0
2045,0,31.908783308848186,166,248634.74693096383,31.908783308848186,15,5,Cirrhosis,0
2046,0,1.9270448518407914,10,352892.2508814949,1.9270448518407914,15,6,HCC,0
2047,220.97517163917485,0,172,0,220.97517163917485,15,7,Liver death,0
2048,0,0,1972,0,0,15,8,Natural death,0
2053,0,115.62335156550365,2251,1.2534685621577395e+07,115.62335156550365,15,13,CHD,0
2054,392.4853171874577,0,867,0,392.4853171874577,15,14,CHD death,0
2059,0,107.1651633931869,4122,3.74457240087199e+07,107.1651633931869,15,19,T2DM,0
2060,677.1398027165199,0,873,0,677.1398027165199,15,20,T2DM death,0
2065,0,0,9701,1.700250593217857e+06,0,15,25,Overweight,0
2066,0,65.4982479975109,8061,5.670230701450013e+06,65.4982479975109,15,26,Obese,0
2179,0,0,8800,892417.2938575814,0,16,3,Steatosis,0
2180,0,264.18978966037105,2387,490227.453053422,264.18978966037105,16,4,NASH,0
2181,0,34.52523635592979,185,269022.2726765006,34.52523635592979,16,5,Cirrhosis,0
2182,0,2.0580090650726897,11,376875.2193880044,2.0580090650726897,16,6,HCC,0
2183,139.68160248291196,0,186,0,139.68160248291196,16,7,Liver death,0
2184,0,0,2081,0,0,16,8,Natural death,0
2189,0,115.09822836590288,2308,1.2477757205903083e+07,115.09822836590288,16,13,CHD,0
2190,366.3769273982575,0,948,0,366.3769273982575,16,14,CHD death,0
2195,0,106.89609317989081,4235,3.735170531246593e+07,106.89609317989081,16,19,T2DM,0
2196,559.6970388046934,0,949,0,559.6970388046934,16,20,T2DM death,0
2201,0,0,9770,1.662469818018542e+06,0,16,25,Overweight,0
2202,0,63.77197134131005,8084,5.520785682775456e+06,63.77197134131005,16,26,Obese,0
2315,0,0,8861,872430.4546417235,0,17,3,Steatosis,0
2316,0,263.6944223876769,2454,489308.255393565,263.6944223876769,17,4,NASH,0
2317,0,37.32457984424872,206,290834.8893800023,37.32457984424872,17,5,Cirrhosis,0
2318,0,1.8164245940623915,10,332634.79204589967,1.8164245940623915,17,6,HCC,0
2319,205.82149368995246,0,203,0,205.82149368995246,17,7,Liver death,0
2320,0,0,2225,0,0,17,8,Natural death,0
2325,0,113.44043893814053,2343,1.2298036855105022e+07,113.44043893814053,17,13,CHD,0
2326,436.72473944877305,0,1035,0,436.72473944877305,17,14,CHD death,0
2331,0,105.76759509046158,4316,3.695738474538598e+07,105.76759509046158,17,19,T2DM,0
2332,778.6155249225225,0,1055,0,778.6155249225225,17,20,T2DM death,0
2337,0,0,9863,1.6294123893351804e+06,0,17,25,Overweight,0
2338,0,61.86092299349328,8077,5.355344845119911e+06,61.86092299349328,17,26,Obese,0
2451,0,0,8915,852181.6997937873,0,18,3,Steatosis,0
2452,0,264.1513666949974,2532,490156.1558527462,264.1513666949974,18,4,NASH,0
2453,0,39.22792584252738,223,305665.8513136969,39.22792584252738,18,5,Cirrhosis,0
2454,0,2.116222828033855,12,387535.6800534754,2.116222828033855,18,6,HCC,0
2455,198.0959570281937,0,220,0,198.0959570281937,18,7,Liver death,0
2456,0,0,2307,0,0,18,8,Natural death,0
2461,0,112.0166105149313,2383,1.2143680131983466e+07,112.0166105149313,18,13,CHD,0
2462,352.82899646964603,0,1119,0,352.82899646964603,18,14,CHD death,0
2467,0,104.8996568995732,4409,3.665410919459593e+07,104.8996568995732,18,19,T2DM,0
2468,831.9307591702778,0,1168,0,831.9307591702778,18,20,T2DM death,0
2473,0,0,9892,1.586605166046958e+06,0,18,25,Overweight,0
2474,0,60.23017248394341,8100,5.21416959404866e+06,60.23017248394341,18,26,Obese,0
2587,0,0,8968,832279.5641416709,0,19,3,Steatosis,0
2588,0,266.6875828263945,2633,494862.3285480926,266.6875828263945,19,4,NASH,0
2589,0,40.134801571657135,235,312732.2698363825,40.134801571657135,19,5,Cirrhosis,0
2590,0,2.7394470265810407,16,501664.3107488353,2.7394470265810407,19,6,HCC,0
2591,288.74121242632634,0,243,0,288.74121242632634,19,7,Liver death,0
2592,0,0,2411,0,0,19,8,Natural death,0
2597,0,112.40498502674018,2463,1.2185783671995608e+07,112.40498502674018,19,13,CHD,0
2598,344.5172181308365,0,1200,0,344.5172181308365,19,14,CHD death,0
2603,0,104.20044442940464,4511,3.640978989948539e+07,104.20044442940464,19,19,T2DM,0
2604,741.9432764872346,0,1277,0,741.9432764872346,19,20,T2DM death,0
2609,0,0,10044,1.5640629760422271e+06,0,19,25,Overweight,0
2610,0,58.432580137235085,8094,5.058550724467094e+06,58.432580137235085,19,26,Obese,0
2723,0,0,9038,814345.5804795562,0,20,3,Steatosis,0
2724,0,266.68856619128974,2712,494864.15326843114,266.68856619128974,20,4,NASH,0
2725,0,41.95044328704485,253,326879.8358545967,41.95044328704485,20,5,Cirrhosis,0
2726,0,2.8258858890702494,17,517493.5244375125,2.8258858890702494,20,6,HCC,0
2727,197.09379626411035,0,266,0,197.09379626411035,20,7,Liver death,0
2728,0,0,2522,0,0,20,8,Natural death,0
2733,0,110.63753162800111,2497,1.1994174689865867e+07,110.63753162800111,20,13,CHD,0
2734,359.88898401986285,0,1285,0,359.88898401986285,20,14,CHD death,0
2739,0,102.84745985611963,4586,3.593702911309293e+07,102.84745985611963,20,19,T2DM,0
2740,795.3696131447547,0,1405,0,795.3696131447547,20,20,T2DM death,0
2745,0,0,10041,1.518054187056259e+06,0,20,25,Overweight,0
2746,0,56.70963339622824,8091,4.909393978960452e+06,56.70963339622824,20,26,Obese,0
2859,0,0,9115,797362.588388263,0,21,3,Steatosis,0
2860,0,265.79494525468846,2784,493205.96081396483,265.79494525468846,21,4,NASH,0
2861,0,44.592166969229524,277,347464.27158264996,44.592166969229524,21,5,Cirrhosis,0
2862,0,2.582191560543918,16,472866.7270702569,2.582191560543918,21,6,HCC,0
2863,241.9457841240163,0,290,0,241.9457841240163,21,7,Liver death,0
2864,0,0,2610,0,0,21,8,Natural death,0
2869,0,111.02856209272309,2581,1.2036566160769021e+07,111.02856209272309,21,13,CHD,0
