Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,6800,0,0,2,3,Steatosis,0
276,0,0,925,0,0,2,4,NASH,0
277,0,0,68,0,0,2,5,Cirrhosis,0
278,0,0,10,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1443,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2154,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7422,0,0,2,25,Overweight,0
298,0,0,8424,0,0,2,26,Obese,0
411,0,0,7027,0,0,3,3,Steatosis,0
412,0,0,1129,0,0,3,4,NASH,0
413,0,0,80,0,0,3,5,Cirrhosis,0
414,0,0,7,0,0,3,6,HCC,0
415,0,0,8,0,0,3,7,Liver death,0
416,0,0,214,0,0,3,8,Natural death,0
421,0,0,1497,0,0,3,13,CHD,0
422,0,0,33,0,0,3,14,CHD death,0
427,0,0,2387,0,0,3,19,T2DM,0
428,0,0,62,0,0,3,20,T2DM death,0
433,0,0,7663,0,0,3,25,Overweight,0
434,0,0,8696,0,0,3,26,Obese,0
547,0,0,7269,0,0,4,3,Steatosis,0
548,0,0,1300,0,0,4,4,NASH,0
549,0,0,89,0,0,4,5,Cirrhosis,0
550,0,0,6,0,0,4,6,HCC,0
551,0,0,16,0,0,4,7,Liver death,0
552,0,0,439,0,0,4,8,Natural death,0
557,0,0,1524,0,0,4,13,CHD,0
558,0,0,64,0,0,4,14,CHD death,0
563,0,0,2567,0,0,4,19,T2DM,0
564,0,0,127,0,0,4,20,T2DM death,0
569,0,0,7757,0,0,4,25,Overweight,0
570,0,0,8936,0,0,4,26,Obese,0
683,0,0,7354,0,0,5,3,Steatosis,0
684,0,0,1498,0,0,5,4,NASH,0
685,0,0,108,0,0,5,5,Cirrhosis,0
686,0,0,4,0,0,5,6,HCC,0
687,0,0,28,0,0,5,7,Liver death,0
688,0,0,641,0,0,5,8,Natural death,0
693,0,0,1575,0,0,5,13,CHD,0
694,0,0,105,0,0,5,14,CHD death,0
699,0,0,2757,0,0,5,19,T2DM,0
700,0,0,184,0,0,5,20,T2DM death,0
705,0,0,7732,0,0,5,25,Overweight,0
706,0,0,9255,0,0,5,26,Obese,0
819,0,0,7426,0,0,6,3,Steatosis,0
820,0,0,1703,0,0,6,4,NASH,0
821,0,0,123,0,0,6,5,Cirrhosis,0
822,0,0,3,0,0,6,6,HCC,0
823,0,0,36,0,0,6,7,Liver death,0
824,0,0,856,0,0,6,8,Natural death,0
829,0,0,1589,0,0,6,13,CHD,0
830,0,0,142,0,0,6,14,CHD death,0
835,0,0,2975,0,0,6,19,T2DM,0
836,0,0,262,0,0,6,20,T2DM death,0
841,0,0,7668,0,0,6,25,Overweight,0
842,0,0,9488,0,0,6,26,Obese,0
955,0,0,7529,1.7826223552962565e+06,0,7,3,Steatosis,0
956,0,284.0184624101737,1892,497675.4481884113,284.0184624101737,7,4,NASH,0
957,0,26.70455773334046,147,226213.68262244726,26.70455773334046,7,5,Cirrhosis,0
958,0,0.4460257667185433,2,91050.91194226473,0.4460257667185433,7,6,HCC,0
959,207.87423665000003,0,47,0,207.87423665000003,7,7,Liver death,0
960,0,0,1061,0,0,7,8,Natural death,0
965,0,107.42967442084327,1621,9.313007692199683e+06,107.42967442084327,7,13,CHD,0
966,302.71573596800005,0,177,0,302.71573596800005,7,14,CHD death,0
971,0,133.5926056417657,3193,3.405124176147843e+07,133.5926056417657,7,19,T2DM,0
972,629.7021218309999,0,324,0,629.7021218309999,7,20,T2DM death,0
977,0,0,7697,2.130680532278635e+06,0,7,25,Overweight,0
978,0,91.47151571276216,9723,6.157987803133739e+06,91.47151571276216,7,26,Obese,0
1091,0,0,7629,1.7536884497817468e+06,0,8,3,Steatosis,0
1092,0,303.4372825478516,2082,531702.3559228866,303.4372825478516,8,4,NASH,0
1093,0,27.86685239989305,158,236059.45349941493,27.86685239989305,8,5,Cirrhosis,0
1094,0,0.6495520874541894,3,132598.41544990012,0.6495520874541894,8,6,HCC,0
1095,171.58178641747574,0,57,0,171.58178641747574,8,7,Liver death,0
1096,0,0,1255,0,0,8,8,Natural death,0
1101,0,104.94408879834855,1631,9.097533912290912e+06,104.94408879834855,8,13,CHD,0
1102,234.1245137912622,0,220,0,234.1245137912622,8,14,CHD death,0
1107,0,138.39436614120928,3407,3.527515611558255e+07,138.39436614120928,8,19,T2DM,0
1108,781.9388826834953,0,398,0,781.9388826834953,8,20,T2DM death,0
1113,0,0,7647,2.0551840308901276e+06,0,8,25,Overweight,0
1114,0,90.74364844109365,9935,6.1089867808313025e+06,90.74364844109365,8,26,Obese,0
1227,0,0,7691,1.7164470610063686e+06,0,9,3,Steatosis,0
1228,0,317.66351404080086,2245,556630.475293018,317.66351404080086,9,4,NASH,0
1229,0,32.534729974067176,190,275600.93501836766,32.534729974067176,9,5,Cirrhosis,0
1230,0,1.8918992838471533,9,386208.9770385439,1.8918992838471533,9,6,HCC,0
1231,279.95438463285893,0,75,0,279.95438463285893,9,7,Liver death,0
1232,0,0,1481,0,0,9,8,Natural death,0
1237,0,101.94993417517752,1632,8.83797262079874e+06,101.94993417517752,9,13,CHD,0
1238,241.3214712706193,0,253,0,241.3214712706193,9,14,CHD death,0
1243,0,142.84251844816032,3622,3.6408939747303136e+07,142.84251844816032,9,19,T2DM,0
1244,748.5796484541427,0,481,0,748.5796484541427,9,20,T2DM death,0
1249,0,0,7559,1.972362547087166e+06,0,9,25,Overweight,0
1250,0,89.5992713656841,10104,6.0319457477025185e+06,89.5992713656841,9,26,Obese,0
1363,0,0,7781,1.6859542778775436e+06,0,10,3,Steatosis,0
1364,0,329.8419777334639,2401,577970.363992708,329.8419777334639,10,4,NASH,0
1365,0,35.577068035004366,214,301372.5094222291,35.577068035004366,10,5,Cirrhosis,0
1366,0,1.6327070410762923,8,333297.93056185025,1.6327070410762923,10,6,HCC,0
1367,281.80814450452857,0,95,0,281.80814450452857,10,7,Liver death,0
1368,0,0,1665,0,0,10,8,Natural death,0
1373,0,100.9819629269416,1665,8.75405983106702e+06,100.9819629269416,10,13,CHD,0
1374,146.6326090359257,0,281,0,146.6326090359257,10,14,CHD death,0
1379,0,147.29703818360272,3847,3.7544346364415936e+07,147.29703818360272,10,19,T2DM,0
1380,794.5988525432246,0,555,0,794.5988525432246,10,20,T2DM death,0
1385,0,0,7428,1.8817289747526597e+06,0,10,25,Overweight,0
1386,0,88.84060923891118,10319,5.980871573552872e+06,88.84060923891118,10,26,Obese,0
1499,0,0,7799,1.6406353805782986e+06,0,11,3,Steatosis,0
1500,0,346.1098054687056,2595,606475.8998318013,346.1098054687056,11,4,NASH,0
1501,0,36.63911824673789,227,310369.1118720917,36.63911824673789,11,5,Cirrhosis,0
1502,0,2.774016817362632,14,566282.891731299,2.774016817362632,11,6,HCC,0
1503,221.92673905857743,0,109,0,221.92673905857743,11,7,Liver death,0
1504,0,0,1887,0,0,11,8,Natural death,0
1509,0,97.92297405026929,1663,8.488878100856742e+06,97.92297405026929,11,13,CHD,0
1510,171.2142261329789,0,309,0,171.2142261329789,11,14,CHD death,0
1515,0,149.66090730823885,4026,3.814686982496779e+07,149.66090730823885,11,19,T2DM,0
1516,851.2033381764467,0,644,0,851.2033381764467,11,20,T2DM death,0
1521,0,0,7468,1.8367593602082706e+06,0,11,25,Overweight,0
1522,0,87.1891886651886,10431,5.869695677189892e+06,87.1891886651886,11,26,Obese,0
1635,0,0,7844,1.602040580912761e+06,0,12,3,Steatosis,0
1636,0,355.7115571852533,2747,623300.707798061,355.7115571852533,12,4,NASH,0
1637,0,38.70605280759719,247,327878.066089589,38.70605280759719,12,5,Cirrhosis,0
1638,0,3.6550845721144243,19,746142.5064420719,3.6550845721144243,12,6,HCC,0
1639,369.41942005266833,0,132,0,369.41942005266833,12,7,Liver death,0
1640,0,0,2057,0,0,12,8,Natural death,0
1645,0,96.61439213548189,1690,8.375437996863972e+06,96.61439213548189,12,13,CHD,0
1646,133.77061783999565,0,330,0,133.77061783999565,12,14,CHD death,0
1651,0,151.2207548077041,4190,3.8544457281700835e+07,151.2207548077041,12,19,T2DM,0
1652,982.2129057734243,0,759,0,982.2129057734243,12,20,T2DM death,0
1657,0,0,7469,1.7835003017917727e+06,0,12,25,Overweight,0
1658,0,85.60729185960402,10549,5.763200216186365e+06,85.60729185960402,12,26,Obese,0
1771,0,0,7858,1.5581552512852282e+06,0,13,3,Steatosis,0
1772,0,364.58608538079363,2900,638851.2278582185,364.58608538079363,13,4,NASH,0
1773,0,38.947956128866274,256,329927.2234540089,38.947956128866274,13,5,Cirrhosis,0
1774,0,3.175086240467309,17,648156.4951208598,3.175086240467309,13,6,HCC,0
1775,409.8945707509998,0,163,0,409.8945707509998,13,7,Liver death,0
1776,0,0,2241,0,0,13,8,Natural death,0
1781,0,95.29896667813183,1717,8.261404630674537e+06,95.29896667813183,13,13,CHD,0
1782,196.40088282875678,0,364,0,196.40088282875678,13,14,CHD death,0
1787,0,152.8781317575336,4363,3.89669038904575e+07,152.8781317575336,13,19,T2DM,0
1788,892.3106397535608,0,857,0,892.3106397535608,13,20,T2DM death,0
1793,0,0,7469,1.7315536910601428e+06,0,13,25,Overweight,0
1794,0,84.39024755560385,10711,5.681267125633268e+06,84.39024755560385,13,26,Obese,0
1907,0,0,7951,1.530675856027621e+06,0,14,3,Steatosis,0
1908,0,370.933081175801,3039,649972.8428059097,370.933081175801,14,4,NASH,0
1909,0,41.35856991839551,280,350347.4763619653,41.35856991839551,14,5,Cirrhosis,0
1910,0,2.7199482356944387,15,555245.4270024501,2.7199482356944387,14,6,HCC,0
1911,427.70511469343325,0,194,0,427.70511469343325,14,7,Liver death,0
1912,0,0,2416,0,0,14,8,Natural death,0
1917,0,94.30152596634426,1750,8.174937152563746e+06,94.30152596634426,14,13,CHD,0
1918,119.35006082862955,0,389,0,119.35006082862955,14,14,CHD death,0
1923,0,153.97048533333086,4526,3.9245332442099355e+07,153.97048533333086,14,19,T2DM,0
1924,850.4131360500819,0,951,0,850.4131360500819,14,20,T2DM death,0
1929,0,0,7455,1.6779689729656004e+06,0,14,25,Overweight,0
1930,0,82.64366952319288,10804,5.5636850987377055e+06,82.64366952319288,14,26,Obese,0
2043,0,0,8028,1.5004848595938268e+06,0,15,3,Steatosis,0
2044,0,374.5865143416285,3161,656374.6237774476,374.5865143416285,15,4,NASH,0
2045,0,44.74297439160685,312,379016.687326397,44.74297439160685,15,5,Cirrhosis,0
2046,0,2.6407264424217853,15,539073.2300994657,2.6407264424217853,15,6,HCC,0
2047,310.9810773021081,0,220,0,310.9810773021081,15,7,Liver death,0
2048,0,0,2608,0,0,15,8,Natural death,0
2053,0,94.11841620718063,1799,8.159063488189917e+06,94.11841620718063,15,13,CHD,0
2054,139.51081255361865,0,416,0,139.51081255361865,15,14,CHD death,0
2059,0,153.48232763965507,4647,3.9120906576117456e+07,153.48232763965507,15,19,T2DM,0
2060,969.5561856857464,0,1075,0,969.5561856857464,15,20,T2DM death,0
2065,0,0,7378,1.612269745663509e+06,0,15,25,Overweight,0
2066,0,81.09805350708561,10920,5.459632110204234e+06,81.09805350708561,15,26,Obese,0
2179,0,0,8075,1.4653101573160742e+06,0,16,3,Steatosis,0
2180,0,378.74790920063623,3292,663666.4879540349,378.74790920063623,16,4,NASH,0
2181,0,43.30055089553704,311,366797.9517006163,43.30055089553704,16,5,Cirrhosis,0
2182,0,2.9056536906906376,17,593155.010465432,2.9056536906906376,16,6,HCC,0
2183,494.7380830670714,0,261,0,494.7380830670714,16,7,Liver death,0
2184,0,0,2805,0,0,16,8,Natural death,0
2189,0,92.24058880189168,1816,7.996275867689145e+06,92.24058880189168,16,13,CHD,0
2190,121.89268275444095,0,442,0,121.89268275444095,16,14,CHD death,0
2195,0,153.53331301302325,4788,3.9133902170203276e+07,153.53331301302325,16,19,T2DM,0
2196,944.5384824036095,0,1194,0,944.5384824036095,16,20,T2DM death,0
2201,0,0,7415,1.5731603223565686e+06,0,16,25,Overweight,0
2202,0,79.16137926794728,10979,5.329252546138297e+06,79.16137926794728,16,26,Obese,0
2315,0,0,8032,1.4150555993344723e+06,0,17,3,Steatosis,0
2316,0,382.6842173794151,3426,670563.9407479407,382.6842173794151,17,4,NASH,0
2317,0,46.77048858944162,346,396191.7125726979,46.77048858944162,17,5,Cirrhosis,0
2318,0,2.4891379417681074,15,508128.22141527536,2.4891379417681074,17,6,HCC,0
2319,477.4218584582848,0,301,0,477.4218584582848,17,7,Liver death,0
2320,0,0,3016,0,0,17,8,Natural death,0
2325,0,89.94848059035853,1824,7.79757451705742e+06,89.94848059035853,17,13,CHD,0
2326,146.06400209721394,0,469,0,146.06400209721394,17,14,CHD death,0
2331,0,153.48225603536727,4930,3.912088832499866e+07,153.48225603536727,17,19,T2DM,0
2332,804.8206577375473,0,1302,0,804.8206577375473,17,20,T2DM death,0
2337,0,0,7367,1.5174530890283396e+06,0,17,25,Overweight,0
2338,0,77.25472208648799,11036,5.200893771531868e+06,77.25472208648799,17,26,Obese,0
2451,0,0,8018,1.3714457455930468e+06,0,18,3,Steatosis,0
2452,0,385.6361340182783,3556,675736.4792647094,385.6361340182783,18,4,NASH,0
2453,0,48.820421334732934,372,413556.6448090303,48.820421334732934,18,5,Cirrhosis,0
2454,0,1.611092518943759,10,328885.58020406176,1.611092518943759,18,6,HCC,0
2455,346.9078414225511,0,334,0,346.9078414225511,18,7,Liver death,0
2456,0,0,3207,0,0,18,8,Natural death,0
2461,0,89.38735589241723,1867,7.748930986707158e+06,89.38735589241723,18,13,CHD,0
2462,83.31786410387481,0,489,0,83.31786410387481,18,14,CHD death,0
2467,0,152.42738478233966,5043,3.885201359281685e+07,152.42738478233966,18,19,T2DM,0
2468,761.3856079344582,0,1413,0,761.3856079344582,18,20,T2DM death,0
2473,0,0,7325,1.4648562504704758e+06,0,18,25,Overweight,0
2474,0,75.55508938402592,11117,5.086472168589776e+06,75.55508938402592,18,26,Obese,0
2587,0,0,8008,1.3298400844107042e+06,0,19,3,Steatosis,0
2588,0,384.5116585218391,3652,673766.1008536434,384.5116585218391,19,4,NASH,0
2589,0,51.60317006098511,405,437129.244043372,51.60317006098511,19,5,Cirrhosis,0
2590,0,1.7205842435321697,11,351237.0274023962,1.7205842435321697,19,6,HCC,0
2591,354.4194074742613,0,366,0,354.4194074742613,19,7,Liver death,0
2592,0,0,3414,0,0,19,8,Natural death,0
2597,0,88.31778108048822,1900,7.656210250983492e+06,88.31778108048822,19,13,CHD,0
2598,108.42946640019503,0,517,0,108.42946640019503,19,14,CHD death,0
2603,0,151.80262586013993,5173,3.869276962118553e+07,151.80262586013993,19,19,T2DM,0
2604,804.9041522618307,0,1535,0,804.9041522618307,19,20,T2DM death,0
2609,0,0,7269,1.4113178149932367e+06,0,19,25,Overweight,0
2610,0,73.89552482920101,11199,4.974748008257825e+06,73.89552482920101,19,26,Obese,0
2723,0,0,8044,1.2969110548432718e+06,0,20,3,Steatosis,0
2724,0,380.16111880254135,3719,666142.8048667968,380.16111880254135,20,4,NASH,0
2725,0,52.32683911254097,423,443259.42761680175,52.32683911254097,20,5,Cirrhosis,0
2726,0,2.2779138263885748,15,465009.3037101448,2.2779138263885748,20,6,HCC,0
2727,414.48774517158955,0,402,0,414.48774517158955,20,7,Liver death,0
2728,0,0,3597,0,0,20,8,Natural death,0
2733,0,86.37722687177073,1914,7.487984885223003e+06,86.37722687177073,20,13,CHD,0
2734,113.0464829675669,0,545,0,113.0464829675669,20,14,CHD death,0
2739,0,150.17325600418084,5271,3.827746170336632e+07,150.17325600418084,20,19,T2DM,0
2740,978.980536547565,0,1682,0,978.980536547565,20,20,T2DM death,0
2745,0,0,7232,1.3632369455649888e+06,0,20,25,Overweight,0
2746,0,72.23010050732888,11275,4.862629360379243e+06,72.23010050732888,20,26,Obese,0
2859,0,0,8000,1.2522495737938934e+06,0,21,3,Steatosis,0
2860,0,379.90606170258405,3828,665695.8773837736,379.90606170258405,21,4,NASH,0
2861,0,53.08467692107518,442,449679.0539296799,53.08467692107518,21,5,Cirrhosis,0
2862,0,3.2436313385468356,22,662149.1703315979,3.2436313385468356,21,6,HCC,0
2863,287.69618725572394,0,432,0,287.69618725572394,21,7,Liver death,0
2864,0,0,3768,0,0,21,8,Natural death,0
