Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,6872,0,0,2,3,Steatosis,0
276,0,0,694,0,0,2,4,NASH,0
277,0,0,75,0,0,2,5,Cirrhosis,0
278,0,0,4,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1462,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2073,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7539,0,0,2,25,Overweight,0
298,0,0,8279,0,0,2,26,Obese,0
411,0,0,7034,0,0,3,3,Steatosis,0
412,0,0,801,0,0,3,4,NASH,0
413,0,0,81,0,0,3,5,Cirrhosis,0
414,0,0,5,0,0,3,6,HCC,0
415,0,0,7,0,0,3,7,Liver death,0
416,0,0,152,0,0,3,8,Natural death,0
421,0,0,1515,0,0,3,13,CHD,0
422,0,0,35,0,0,3,14,CHD death,0
427,0,0,2209,0,0,3,19,T2DM,0
428,0,0,76,0,0,3,20,T2DM death,0
433,0,0,7862,0,0,3,25,Overweight,0
434,0,0,8426,0,0,3,26,Obese,0
547,0,0,7209,0,0,4,3,Steatosis,0
548,0,0,905,0,0,4,4,NASH,0
549,0,0,89,0,0,4,5,Cirrhosis,0
550,0,0,3,0,0,4,6,HCC,0
551,0,0,12,0,0,4,7,Liver death,0
552,0,0,312,0,0,4,8,Natural death,0
557,0,0,1611,0,0,4,13,CHD,0
558,0,0,66,0,0,4,14,CHD death,0
563,0,0,2348,0,0,4,19,T2DM,0
564,0,0,156,0,0,4,20,T2DM death,0
569,0,0,8014,0,0,4,25,Overweight,0
570,0,0,8588,0,0,4,26,Obese,0
683,0,0,7335,0,0,5,3,Steatosis,0
684,0,0,1011,0,0,5,4,NASH,0
685,0,0,83,0,0,5,5,Cirrhosis,0
686,0,0,1,0,0,5,6,HCC,0
687,0,0,22,0,0,5,7,Liver death,0
688,0,0,452,0,0,5,8,Natural death,0
693,0,0,1639,0,0,5,13,CHD,0
694,0,0,111,0,0,5,14,CHD death,0
699,0,0,2454,0,0,5,19,T2DM,0
700,0,0,223,0,0,5,20,T2DM death,0
705,0,0,8119,0,0,5,25,Overweight,0
706,0,0,8743,0,0,5,26,Obese,0
819,0,0,7465,0,0,6,3,Steatosis,0
820,0,0,1104,0,0,6,4,NASH,0
821,0,0,93,0,0,6,5,Cirrhosis,0
822,0,0,0,0,0,6,6,HCC,0
823,0,0,27,0,0,6,7,Liver death,0
824,0,0,593,0,0,6,8,Natural death,0
829,0,0,1669,0,0,6,13,CHD,0
830,0,0,157,0,0,6,14,CHD death,0
835,0,0,2595,0,0,6,19,T2DM,0
836,0,0,299,0,0,6,20,T2DM death,0
841,0,0,8148,0,0,6,25,Overweight,0
842,0,0,8909,0,0,6,26,Obese,0
955,0,0,7557,1.3806052091232014e+06,0,7,3,Steatosis,0
956,0,156.68321247215607,1215,472666.55688584945,156.68321247215607,7,4,NASH,0
957,0,23.416533151837136,101,179227.77235265632,23.416533151837136,7,5,Cirrhosis,0
958,0,0.22001711821999764,1,72210.0867343125,0.22001711821999764,7,6,HCC,0
959,165.30044922300002,0,36,0,165.30044922300002,7,7,Liver death,0
960,0,0,737,0,0,7,8,Natural death,0
965,0,133.2410610758662,1727,1.0434244862979468e+07,133.2410610758662,7,13,CHD,0
966,241.25660381399996,0,193,0,241.25660381399996,7,14,CHD death,0
971,0,122.07408117702464,2708,1.8295238898769874e+07,122.07408117702464,7,19,T2DM,0
972,857.8201515629996,0,386,0,857.8201515629996,7,20,T2DM death,0
977,0,0,8214,4.442277187301469e+06,0,7,25,Overweight,0
978,0,126.35248662310298,9056,3.7558718785822666e+06,126.35248662310298,7,26,Obese,0
1091,0,0,7670,1.360436341278961e+06,0,8,3,Steatosis,0
1092,0,165.51616675711028,1322,499312.9475433063,165.51616675711028,8,4,NASH,0
1093,0,24.08506245550875,107,184344.62791246976,24.08506245550875,8,5,Cirrhosis,0
1094,0,0.21360885264077442,1,70106.88032457525,0.21360885264077442,8,6,HCC,0
1095,237.1867731553398,0,48,0,237.1867731553398,8,7,Liver death,0
1096,0,0,888,0,0,8,8,Natural death,0
1101,0,130.63363176298836,1744,1.0230054385255171e+07,130.63363176298836,8,13,CHD,0
1102,274.83710951456317,0,238,0,274.83710951456317,8,14,CHD death,0
1107,0,123.3327934336405,2818,1.848388206706082e+07,123.3327934336405,8,19,T2DM,0
1108,884.9035522737867,0,466,0,884.9035522737867,8,20,T2DM death,0
1113,0,0,8228,4.320241394293179e+06,0,8,25,Overweight,0
1114,0,124.18946590795537,9168,3.6915753309346614e+06,124.18946590795537,8,26,Obese,0
1227,0,0,7728,1.3307998690399325e+06,0,9,3,Steatosis,0
1228,0,175.28187099845871,1442,528773.1668385975,175.28187099845871,9,4,NASH,0
1229,0,26.224548540613878,120,200720.03765081608,26.224548540613878,9,5,Cirrhosis,0
1230,0,0.8295489422942696,4,272259.7294158262,0.8295489422942696,9,6,HCC,0
1231,164.13671967574703,0,57,0,164.13671967574703,9,7,Liver death,0
1232,0,0,1032,0,0,9,8,Natural death,0
1237,0,129.59223957960532,1782,1.01485018897107e+07,129.59223957960532,9,13,CHD,0
1238,279.9482618974456,0,280,0,279.9482618974456,9,14,CHD death,0
1243,0,125.26444942787353,2948,1.8773379293205068e+07,125.26444942787353,9,19,T2DM,0
1244,826.2841159817135,0,548,0,826.2841159817135,9,20,T2DM death,0
1249,0,0,8270,4.2158195707304785e+06,0,9,25,Overweight,0
1250,0,122.42664842436592,9309,3.6391749643827733e+06,122.42664842436592,9,26,Obese,0
1363,0,0,7790,1.3024044427804968e+06,0,10,3,Steatosis,0
1364,0,182.33204334097402,1545,550041.4356851152,182.33204334097402,10,4,NASH,0
1365,0,27.79462668948561,131,212737.2567334701,27.79462668948561,10,5,Cirrhosis,0
1366,0,0.6040404919618467,3,198247.37578822294,0.6040404919618467,10,6,HCC,0
1367,158.98323152351867,0,68,0,158.98323152351867,10,7,Liver death,0
1368,0,0,1177,0,0,10,8,Natural death,0
1373,0,128.2182706659668,1816,1.004090496753642e+07,128.2182706659668,10,13,CHD,0
1374,352.73298972112883,0,338,0,352.73298972112883,10,14,CHD death,0
1379,0,128.0928045584749,3105,1.919726479212535e+07,128.0928045584749,10,19,T2DM,0
1380,686.7205034386445,0,622,0,686.7205034386445,10,20,T2DM death,0
1385,0,0,8284,4.0999576576847364e+06,0,10,25,Overweight,0
1386,0,120.73777516700764,9456,3.5889726158316494e+06,120.73777516700764,10,26,Obese,0
1499,0,0,7869,1.2772935877761384e+06,0,11,3,Steatosis,0
1500,0,186.53128887994566,1628,562709.30800601,186.53128887994566,11,4,NASH,0
1501,0,29.6629826079147,144,227037.4636449975,29.6629826079147,11,5,Cirrhosis,0
1502,0,0.7819294394328113,4,256630.90716922065,0.7819294394328113,11,6,HCC,0
1503,128.04874185036365,0,76,0,128.04874185036365,11,7,Liver death,0
1504,0,0,1309,0,0,11,8,Natural death,0
1509,0,125.92327274999009,1837,9.861181314616967e+06,125.92327274999009,11,13,CHD,0
1510,247.82086235202362,0,380,0,247.82086235202362,11,14,CHD death,0
1515,0,127.84648379552561,3192,1.9160348706740778e+07,127.84648379552561,11,19,T2DM,0
1516,909.3068446207902,0,724,0,909.3068446207902,11,20,T2DM death,0
1521,0,0,8301,3.988710078200616e+06,0,11,25,Overweight,0
1522,0,118.89466611090997,9591,3.534185554190468e+06,118.89466611090997,11,26,Obese,0
1635,0,0,7888,1.2430851085034723e+06,0,12,3,Steatosis,0
1636,0,193.2234731903216,1737,582897.633648082,193.2234731903216,12,4,NASH,0
1637,0,29.39899166237489,147,225016.903693465,29.39899166237489,12,5,Cirrhosis,0
1638,0,1.7080982900231314,9,560601.4962434431,1.7080982900231314,12,6,HCC,0
1639,247.6866760643989,0,95,0,247.6866760643989,12,7,Liver death,0
1640,0,0,1428,0,0,12,8,Natural death,0
1645,0,123.45353650222019,1855,9.667773722782508e+06,123.45353650222019,12,13,CHD,0
1646,256.63599520729815,0,427,0,256.63599520729815,12,14,CHD death,0
1651,0,128.05024428140922,3293,1.919088628467238e+07,128.05024428140922,12,19,T2DM,0
1652,869.3823862036833,0,828,0,869.3823862036833,12,20,T2DM death,0
1657,0,0,8271,3.858538631653925e+06,0,12,25,Overweight,0
1658,0,116.97224845013513,9719,3.4770410165253324e+06,116.97224845013513,12,26,Obese,0
1771,0,0,7958,1.2175888769802565e+06,0,13,3,Steatosis,0
1772,0,199.58357979985286,1848,602084.1798333349,199.58357979985286,13,4,NASH,0
1773,0,30.09605513287169,155,230352.156875287,30.09605513287169,13,5,Cirrhosis,0
1774,0,1.6583478543913899,9,544273.2973237312,1.6583478543913899,13,6,HCC,0
1775,133.4154433864287,0,107,0,133.4154433864287,13,7,Liver death,0
1776,0,0,1547,0,0,13,8,Natural death,0
1781,0,121.34390995272122,1878,9.502566692688676e+06,121.34390995272122,13,13,CHD,0
1782,269.44450824494197,0,479,0,269.44450824494197,13,14,CHD death,0
1787,0,127.90716041543507,3388,1.9169442309952453e+07,127.90716041543507,13,19,T2DM,0
1788,891.2294638010901,0,933,0,891.2294638010901,13,20,T2DM death,0
1793,0,0,8280,3.7502303486499195e+06,0,13,25,Overweight,0
1794,0,114.7454620246666,9820,3.4108490108245737e+06,114.7454620246666,13,26,Obese,0
1907,0,0,8078,1.1999505837988858e+06,0,14,3,Steatosis,0
1908,0,201.4248186417878,1921,607638.648688603,201.4248186417878,14,4,NASH,0
1909,0,32.801212609581526,174,251057.15813529387,32.801212609581526,14,5,Cirrhosis,0
1910,0,1.2522583582243507,7,410993.8598992577,1.2522583582243507,14,6,HCC,0
1911,120.84351368557392,0,116,0,120.84351368557392,14,7,Liver death,0
1912,0,0,1642,0,0,14,8,Natural death,0
1917,0,120.06795271229923,1914,9.402645165692698e+06,120.06795271229923,14,13,CHD,0
1918,266.25607038724706,0,533,0,266.25607038724706,14,14,CHD death,0
1923,0,127.77374205022821,3486,1.9149446903548006e+07,127.77374205022821,14,19,T2DM,0
1924,887.3082136866199,0,1040,0,887.3082136866199,14,20,T2DM death,0
1929,0,0,8356,3.674420148365474e+06,0,14,25,Overweight,0
1930,0,112.43571412875026,9911,3.3421909463823475e+06,112.43571412875026,14,26,Obese,0
2043,0,0,8162,1.1771149574375534e+06,0,15,3,Steatosis,0
2044,0,205.02548973004187,2014,618500.80028042,205.02548973004187,15,4,NASH,0
2045,0,33.49303597563572,183,256352.30408860036,33.49303597563572,15,5,Cirrhosis,0
2046,0,1.7368354483000696,10,570033.0927867651,1.7368354483000696,15,6,HCC,0
2047,101.09387091596015,0,126,0,101.09387091596015,15,7,Liver death,0
2048,0,0,1758,0,0,15,8,Natural death,0
2053,0,118.70247833352498,1949,9.295713459300919e+06,118.70247833352498,15,13,CHD,0
2054,224.16416610814338,0,584,0,224.16416610814338,15,14,CHD death,0
2059,0,127.7886880956359,3591,1.915168686692386e+07,127.7886880956359,15,19,T2DM,0
2060,1072.2661748034864,0,1170,0,1072.2661748034864,15,20,T2DM death,0
2065,0,0,8403,3.587463749868085e+06,0,15,25,Overweight,0
2066,0,109.94288962375165,9982,3.2680908656738643e+06,109.94288962375165,15,26,Obese,0
2179,0,0,8187,1.1463305153819455e+06,0,16,3,Steatosis,0
2180,0,207.35602117876476,2098,625531.319110068,207.35602117876476,16,4,NASH,0
2181,0,35.538263011974855,200,272006.26461732865,35.538263011974855,16,5,Cirrhosis,0
2182,0,1.180373605640824,7,387401.13102013164,1.180373605640824,16,6,HCC,0
2183,242.0319571070586,0,147,0,242.0319571070586,16,7,Liver death,0
2184,0,0,1882,0,0,16,8,Natural death,0
2189,0,118.97033898741213,2012,9.316689903268287e+06,118.97033898741213,16,13,CHD,0
2190,137.02826399166577,0,616,0,137.02826399166577,16,14,CHD death,0
2195,0,127.65981904960283,3695,1.9132373266846634e+07,127.65981904960283,16,19,T2DM,0
2196,822.9187388238951,0,1280,0,822.9187388238951,16,20,T2DM death,0
2201,0,0,8389,3.477171629368866e+06,0,16,25,Overweight,0
2202,0,107.56405478651334,10059,3.197379167727079e+06,107.56405478651334,16,26,Obese,0
2315,0,0,8247,1.121098658701632e+06,0,17,3,Steatosis,0
2316,0,207.26582216356164,2160,625259.2155625536,207.26582216356164,17,4,NASH,0
2317,0,38.64354812952593,224,295773.80230233644,38.64354812952593,17,5,Cirrhosis,0
2318,0,0.8185669942030681,5,268655.4306658333,0.8185669942030681,17,6,HCC,0
2319,161.75170579295224,0,161,0,161.75170579295224,17,7,Liver death,0
2320,0,0,1996,0,0,17,8,Natural death,0
2325,0,117.22742776944744,2042,9.180200728866087e+06,117.22742776944744,17,13,CHD,0
2326,238.7234455834026,0,665,0,238.7234455834026,17,14,CHD death,0
2331,0,127.59776440602722,3804,1.9123073139266573e+07,127.59776440602722,17,19,T2DM,0
2332,963.7329318525685,0,1410,0,963.7329318525685,17,20,T2DM death,0
2337,0,0,8443,3.3976254233488482e+06,0,17,25,Overweight,0
2338,0,105.07479641904929,10121,3.1233850917030987e+06,105.07479641904929,17,26,Obese,0
2451,0,0,8313,1.0971560296461175e+06,0,18,3,Steatosis,0
2452,0,204.76909255460194,2198,617727.3264142751,204.76909255460194,18,4,NASH,0
2453,0,40.030374492704325,239,306388.4307830208,40.030374492704325,18,5,Cirrhosis,0
2454,0,0.9536702845084288,6,312996.6182514563,0.9536702845084288,18,6,HCC,0
2455,219.15115295238147,0,178,0,219.15115295238147,18,7,Liver death,0
2456,0,0,2102,0,0,18,8,Natural death,0
2461,0,115.26217425673725,2068,9.026299700130481e+06,115.26217425673725,18,13,CHD,0
2462,195.05098428974011,0,720,0,195.05098428974011,18,14,CHD death,0
2467,0,125.6073262978424,3857,1.8824766239461668e+07,125.6073262978424,18,19,T2DM,0
2468,1173.8343774254133,0,1559,0,1173.8343774254133,18,20,T2DM death,0
2473,0,0,8491,3.3174189763284056e+06,0,18,25,Overweight,0
2474,0,102.55865709993978,10175,3.0485919699863885e+06,102.55865709993978,18,26,Obese,0
2587,0,0,8310,1.0648156188121107e+06,0,19,3,Steatosis,0
2588,0,206.8548259549145,2287,624019.3624873233,206.8548259549145,19,4,NASH,0
2589,0,40.490568504217876,249,309910.7091236622,40.490568504217876,19,5,Cirrhosis,0
2590,0,0.7715779000877256,5,253233.50991218147,0.7715779000877256,19,6,HCC,0
2591,241.61326297076715,0,200,0,241.61326297076715,19,7,Liver death,0
2592,0,0,2205,0,0,19,8,Natural death,0
2597,0,114.77299562380021,2121,8.98799161704753e+06,114.77299562380021,19,13,CHD,0
2598,181.26077074372836,0,768,0,181.26077074372836,19,14,CHD death,0
2603,0,124.7944392864099,3947,1.870293888734557e+07,124.7944392864099,19,19,T2DM,0
2604,987.3248183591608,0,1698,0,987.3248183591608,19,20,T2DM death,0
2609,0,0,8484,3.218139891714673e+06,0,19,25,Overweight,0
2610,0,100.246738706769,10244,2.979869386755205e+06,100.246738706769,19,26,Obese,0
2723,0,0,8283,1.0304426495882131e+06,0,20,3,Steatosis,0
2724,0,208.3819061691161,2373,628626.1083890753,208.3819061691161,20,4,NASH,0
2725,0,41.67937803686008,264,319009.7368450395,41.67937803686008,20,5,Cirrhosis,0
2726,0,1.0487466603134137,7,344200.88725927577,1.0487466603134137,20,6,HCC,0
2727,134.9418482768363,0,213,0,134.9418482768363,20,7,Liver death,0
2728,0,0,2326,0,0,20,8,Natural death,0
2733,0,112.95365374968551,2150,8.845517079163522e+06,112.95365374968551,20,13,CHD,0
2734,184.84588619282871,0,818,0,184.84588619282871,20,14,CHD death,0
2739,0,123.49259465817595,4023,1.8507831471806016e+07,123.49259465817595,20,19,T2DM,0
2740,993.4585438328239,0,1848,0,993.4585438328239,20,20,T2DM death,0
2745,0,0,8468,3.118515332463472e+06,0,20,25,Overweight,0
2746,0,97.92548570706138,10307,2.910869329077833e+06,97.92548570706138,20,26,Obese,0
2859,0,0,8336,1.0068311545775923e+06,0,21,3,Steatosis,0
2860,0,208.70673159697628,2448,629606.0098995466,208.70673159697628,21,4,NASH,0
2861,0,40.771971748325896,266,312064.5410443527,40.771971748325896,21,5,Cirrhosis,0
2862,0,1.3091151099612652,9,429654.3668978476,1.3091151099612652,21,6,HCC,0
2863,275.7282441773495,0,238,0,275.7282441773495,21,7,Liver death,0
2864,0,0,2440,0,0,21,8,Natural death,0
