Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,6224,0,0,2,3,Steatosis,0
276,0,0,705,0,0,2,4,NASH,0
277,0,0,87,0,0,2,5,Cirrhosis,0
278,0,0,10,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1512,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2170,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7603,0,0,2,25,Overweight,0
298,0,0,8267,0,0,2,26,Obese,0
411,0,0,6373,0,0,3,3,Steatosis,0
412,0,0,907,0,0,3,4,NASH,0
413,0,0,97,0,0,3,5,Cirrhosis,0
414,0,0,11,0,0,3,6,HCC,0
415,0,0,7,0,0,3,7,Liver death,0
416,0,0,248,0,0,3,8,Natural death,0
421,0,0,1508,0,0,3,13,CHD,0
422,0,0,50,0,0,3,14,CHD death,0
427,0,0,2372,0,0,3,19,T2DM,0
428,0,0,70,0,0,3,20,T2DM death,0
433,0,0,7892,0,0,3,25,Overweight,0
434,0,0,8204,0,0,3,26,Obese,0
547,0,0,6525,0,0,4,3,Steatosis,0
548,0,0,1101,0,0,4,4,NASH,0
549,0,0,106,0,0,4,5,Cirrhosis,0
550,0,0,5,0,0,4,6,HCC,0
551,0,0,23,0,0,4,7,Liver death,0
552,0,0,513,0,0,4,8,Natural death,0
557,0,0,1529,0,0,4,13,CHD,0
558,0,0,94,0,0,4,14,CHD death,0
563,0,0,2551,0,0,4,19,T2DM,0
564,0,0,155,0,0,4,20,T2DM death,0
569,0,0,8143,0,0,4,25,Overweight,0
570,0,0,8158,0,0,4,26,Obese,0
683,0,0,6659,0,0,5,3,Steatosis,0
684,0,0,1272,0,0,5,4,NASH,0
685,0,0,121,0,0,5,5,Cirrhosis,0
686,0,0,4,0,0,5,6,HCC,0
687,0,0,28,0,0,5,7,Liver death,0
688,0,0,778,0,0,5,8,Natural death,0
693,0,0,1548,0,0,5,13,CHD,0
694,0,0,130,0,0,5,14,CHD death,0
699,0,0,2712,0,0,5,19,T2DM,0
700,0,0,225,0,0,5,20,T2DM death,0
705,0,0,8315,0,0,5,25,Overweight,0
706,0,0,8087,0,0,5,26,Obese,0
819,0,0,6722,0,0,6,3,Steatosis,0
820,0,0,1429,0,0,6,4,NASH,0
821,0,0,138,0,0,6,5,Cirrhosis,0
822,0,0,6,0,0,6,6,HCC,0
823,0,0,35,0,0,6,7,Liver death,0
824,0,0,1050,0,0,6,8,Natural death,0
829,0,0,1544,0,0,6,13,CHD,0
830,0,0,173,0,0,6,14,CHD death,0
835,0,0,2873,0,0,6,19,T2DM,0
836,0,0,297,0,0,6,20,T2DM death,0
841,0,0,8460,0,0,6,25,Overweight,0
842,0,0,8008,0,0,6,26,Obese,0
955,0,0,6783,373030.0796995713,0,7,3,Steatosis,0
956,0,245.9952899595809,1634,428976.7793857039,245.9952899595809,7,4,NASH,0
957,0,31.71676965632326,154,547684.270115302,31.71676965632326,7,5,Cirrhosis,0
958,0,2.1388032666052834,6,251053.65079712664,2.1388032666052834,7,6,HCC,0
959,183.676243296,0,48,0,183.676243296,7,7,Liver death,0
960,0,0,1280,0,0,7,8,Natural death,0
965,0,99.94655862577386,1547,2.4728724900050398e+07,99.94655862577386,7,13,CHD,0
966,330.110675163,0,210,0,330.110675163,7,14,CHD death,0
971,0,70.12102052591221,3045,3.379986184583516e+07,70.12102052591221,7,19,T2DM,0
972,768.0676171579998,0,372,0,768.0676171579998,7,20,T2DM death,0
977,0,0,8625,1.4319618996375725e+06,0,7,25,Overweight,0
978,0,102.55863436063504,7977,6.693954269629062e+06,102.55863436063504,7,26,Obese,0
1091,0,0,6860,366276.391541225,0,8,3,Steatosis,0
1092,0,262.9472772975136,1799,458538.35730705474,262.9472772975136,8,4,NASH,0
1093,0,32.19266116926016,161,555901.9511320356,32.19266116926016,8,5,Cirrhosis,0
1094,0,3.1147620387455586,9,365612.11281134957,3.1147620387455586,8,6,HCC,0
1095,228.6627926553398,0,62,0,228.6627926553398,8,7,Liver death,0
1096,0,0,1541,0,0,8,8,Natural death,0
1101,0,98.03909297172709,1563,2.4256780752460923e+07,98.03909297172709,8,13,CHD,0
1102,340.86231030582525,0,251,0,340.86231030582525,8,14,CHD death,0
1107,0,71.54407693111976,3200,3.448580608244827e+07,71.54407693111976,8,19,T2DM,0
1108,884.2981787009713,0,458,0,884.2981787009713,8,20,T2DM death,0
1113,0,0,8751,1.4105640730242047e+06,0,8,25,Overweight,0
1114,0,99.07219675502353,7937,6.466396111884661e+06,99.07219675502353,8,26,Obese,0
1227,0,0,6957,360636.4255926655,0,9,3,Steatosis,0
1228,0,279.2707068768191,1968,487003.8301647114,279.2707068768191,9,4,NASH,0
1229,0,35.13762088666756,181,606755.4311939847,35.13762088666756,9,5,Cirrhosis,0
1230,0,2.688036279392068,8,315522.85895262094,2.688036279392068,9,6,HCC,0
1231,121.00416467339053,0,69,0,121.00416467339053,9,7,Liver death,0
1232,0,0,1805,0,0,9,8,Natural death,0
1237,0,94.8790953729464,1558,2.3474935810728315e+07,94.8790953729464,9,13,CHD,0
1238,181.43317047695353,0,276,0,181.43317047695353,9,14,CHD death,0
1243,0,72.67280630017856,3348,3.502987826578591e+07,72.67280630017856,9,19,T2DM,0
1244,938.609646984636,0,547,0,938.609646984636,9,20,T2DM death,0
1249,0,0,8930,1.3974921226320458e+06,0,9,25,Overweight,0
1250,0,95.61701706731228,7890,6.240878143874816e+06,95.61701706731228,9,26,Obese,0
1363,0,0,6988,351692.6225092666,0,10,3,Steatosis,0
1364,0,296.4867793427304,2152,517025.93067451456,296.4867793427304,10,4,NASH,0
1365,0,36.187433407928786,192,624883.5637464208,36.187433407928786,10,5,Cirrhosis,0
1366,0,2.9359619556466763,9,344624.48186572676,2.9359619556466763,10,6,HCC,0
1367,203.3909291753567,0,82,0,203.3909291753567,10,7,Liver death,0
1368,0,0,2090,0,0,10,8,Natural death,0
1373,0,92.35212369140437,1562,2.284971380806798e+07,92.35212369140437,10,13,CHD,0
1374,167.00129510390065,0,304,0,167.00129510390065,10,14,CHD death,0
1379,0,73.23253468035244,3475,3.52996795575999e+07,73.23253468035244,10,19,T2DM,0
1380,875.2058401970485,0,645,0,875.2058401970485,10,20,T2DM death,0
1385,0,0,8975,1.3636255885172188e+06,0,10,25,Overweight,0
1386,0,92.7732264727351,7885,6.055265257048038e+06,92.7732264727351,10,26,Obese,0
1499,0,0,7060,344967.227440659,0,11,3,Steatosis,0
1500,0,302.83234761609083,2264,528091.5955566291,302.83234761609083,11,4,NASH,0
1501,0,39.34212268762488,215,679358.6478836965,39.34212268762488,11,5,Cirrhosis,0
1502,0,1.9002990004185605,6,223057.91706519533,1.9002990004185605,11,6,HCC,0
1503,272.2418648273398,0,102,0,272.2418648273398,11,7,Liver death,0
1504,0,0,2351,0,0,11,8,Natural death,0
1509,0,89.14563609807489,1553,2.20563663363684e+07,89.14563609807489,11,13,CHD,0
1510,253.17275393695058,0,340,0,253.17275393695058,11,14,CHD death,0
1515,0,74.22997438578284,3628,3.5780467258496314e+07,74.22997438578284,11,19,T2DM,0
1516,1034.7771715603008,0,748,0,1034.7771715603008,11,20,T2DM death,0
1521,0,0,9043,1.3339390644952345e+06,0,11,25,Overweight,0
1522,0,89.51136207253745,7836,5.842364887765456e+06,89.51136207253745,11,26,Obese,0
1635,0,0,7096,336627.4438129169,0,12,3,Steatosis,0
1636,0,314.40062848579913,2421,548264.8430660891,314.40062848579913,12,4,NASH,0
1637,0,41.92703072603051,236,723994.7658638648,41.92703072603051,12,5,Cirrhosis,0
1638,0,0.9224752429216313,3,108280.54226465791,0.9224752429216313,12,6,HCC,0
1639,247.1916296153126,0,118,0,247.1916296153126,12,7,Liver death,0
1640,0,0,2652,0,0,12,8,Natural death,0
1645,0,86.54916126026404,1553,2.1413947899386194e+07,86.54916126026404,12,13,CHD,0
1646,141.28019828434114,0,368,0,141.28019828434114,12,14,CHD death,0
1651,0,74.65030446627603,3758,3.598307552836618e+07,74.65030446627603,12,19,T2DM,0
1652,795.0225843535021,0,829,0,795.0225843535021,12,20,T2DM death,0
1657,0,0,9140,1.3089782527158596e+06,0,12,25,Overweight,0
1658,0,86.74896967089215,7822,5.662064823059129e+06,86.74896967089215,12,26,Obese,0
1771,0,0,7096,326822.7609833654,0,13,3,Steatosis,0
1772,0,327.18151085790305,2595,570552.6753192608,327.18151085790305,13,4,NASH,0
1773,0,45.017915992652426,261,777368.0841306088,45.017915992652426,13,5,Cirrhosis,0
1774,0,2.089749741246414,7,245295.72681314085,2.089749741246414,13,6,HCC,0
1775,70.53357361718749,0,123,0,70.53357361718749,13,7,Liver death,0
1776,0,0,2955,0,0,13,8,Natural death,0
1781,0,84.2447402660868,1557,2.0843789270590812e+07,84.2447402660868,13,13,CHD,0
1782,173.44159210866704,0,400,0,173.44159210866704,13,14,CHD death,0
1787,0,74.77103355321391,3877,3.6041269582426906e+07,74.77103355321391,13,19,T2DM,0
1788,857.235173325711,0,921,0,857.235173325711,13,20,T2DM death,0
1793,0,0,9153,1.2726602310453686e+06,0,13,25,Overweight,0
1794,0,83.7916061964896,7782,5.469039087295287e+06,83.7916061964896,13,26,Obese,0
1907,0,0,7090,317035.3563572024,0,14,3,Steatosis,0
1908,0,331.8514229888647,2711,578696.2615899363,331.8514229888647,14,4,NASH,0
1909,0,45.71621867348919,273,789426.3548251909,45.71621867348919,14,5,Cirrhosis,0
1910,0,3.478085561020384,12,408259.18470980454,3.478085561020384,14,6,HCC,0
1911,216.6287243309792,0,141,0,216.6287243309792,14,7,Liver death,0
1912,0,0,3226,0,0,14,8,Natural death,0
1917,0,81.9486034352205,1560,2.0275680305118695e+07,81.9486034352205,14,13,CHD,0
1918,159.99049423253243,0,429,0,159.99049423253243,14,14,CHD death,0
1923,0,75.10226242939399,4011,3.620092912774573e+07,75.10226242939399,14,19,T2DM,0
1924,834.0814219616125,0,1022,0,834.0814219616125,14,20,T2DM death,0
1929,0,0,9209,1.2431520746761414e+06,0,14,25,Overweight,0
1930,0,81.38243522389081,7785,5.311793620651651e+06,81.38243522389081,14,26,Obese,0
2043,0,0,7113,308799.82606009213,0,15,3,Steatosis,0
2044,0,334.42677057894434,2814,583187.2594263887,334.42677057894434,15,4,NASH,0
2045,0,48.93695302365045,301,845041.9033478576,48.93695302365045,15,5,Cirrhosis,0
2046,0,3.9395791144243817,14,462429.49724411505,3.9395791144243817,15,6,HCC,0
2047,292.8891798017381,0,164,0,292.8891798017381,15,7,Liver death,0
2048,0,0,3487,0,0,15,8,Natural death,0
2053,0,80.0717621317523,1570,1.9811313218219824e+07,80.0717621317523,15,13,CHD,0
2054,219.465160865235,0,457,0,219.465160865235,15,14,CHD death,0
2059,0,75.53255256639976,4155,3.640833836216644e+07,75.53255256639976,15,19,T2DM,0
2060,1040.9658485504638,0,1135,0,1040.9658485504638,15,20,T2DM death,0
2065,0,0,9200,1.2057642098771867e+06,0,15,25,Overweight,0
2066,0,79.19475990695607,7803,5.169005072232987e+06,79.19475990695607,15,26,Obese,0
2179,0,0,7139,300901.5297087502,0,16,3,Steatosis,0
2180,0,336.80134118585664,2919,587328.134040484,336.80134118585664,16,4,NASH,0
2181,0,49.40575523788844,313,853137.1665576801,49.40575523788844,16,5,Cirrhosis,0
2182,0,2.7320243511958267,10,320686.19781145296,2.7320243511958267,16,6,HCC,0
2183,334.9511511114829,0,190,0,334.9511511114829,16,7,Liver death,0
2184,0,0,3783,0,0,16,8,Natural death,0
2189,0,77.3434496628512,1562,1.9136275583983734e+07,77.3434496628512,16,13,CHD,0
2190,191.62480783152037,0,485,0,191.62480783152037,16,14,CHD death,0
2195,0,75.25634202403265,4264,3.627519885417693e+07,75.25634202403265,16,19,T2DM,0
2196,831.443582213423,0,1229,0,831.443582213423,16,20,T2DM death,0
2201,0,0,9208,1.1716628160141378e+06,0,16,25,Overweight,0
2202,0,76.68118953451177,7782,5.004945505414979e+06,76.68118953451177,16,26,Obese,0
2315,0,0,7158,292914.9128410678,0,17,3,Steatosis,0
2316,0,337.96972841400867,3017,589365.6161007389,337.96972841400867,17,4,NASH,0
2317,0,49.8057335907253,325,860043.9812998106,49.8057335907253,17,5,Cirrhosis,0
2318,0,3.182940991684459,12,373614.98774149857,3.182940991684459,17,6,HCC,0
2319,359.048194247392,0,218,0,359.048194247392,17,7,Liver death,0
2320,0,0,4078,0,0,17,8,Natural death,0
2325,0,74.46577298693073,1549,1.842428233630755e+07,74.46577298693073,17,13,CHD,0
2326,191.39877874137838,0,513,0,191.39877874137838,17,14,CHD death,0
2331,0,74.24673718786583,4333,3.5788547294840746e+07,74.24673718786583,17,19,T2DM,0
2332,1003.2641164013627,0,1349,0,1003.2641164013627,17,20,T2DM death,0
2337,0,0,9311,1.150261115271617e+06,0,17,25,Overweight,0
2338,0,73.48152405659435,7681,4.796104830800647e+06,73.48152405659435,17,26,Obese,0
2451,0,0,7193,285773.9413115843,0,18,3,Steatosis,0
2452,0,339.4368875338192,3121,591924.1089651876,339.4368875338192,18,4,NASH,0
2453,0,49.24779034661699,331,850409.4333390294,49.24779034661699,18,5,Cirrhosis,0
2454,0,3.8627924656364794,15,453416.2472591002,3.8627924656364794,18,6,HCC,0
2455,356.2144449311459,0,247,0,356.2144449311459,18,7,Liver death,0
2456,0,0,4372,0,0,18,8,Natural death,0
2461,0,71.59676820118897,1534,1.7714434683130655e+07,71.59676820118897,18,13,CHD,0
2462,133.24356487857955,0,539,0,133.24356487857955,18,14,CHD death,0
2467,0,73.08237671746694,4393,3.5227300143231966e+07,73.08237671746694,18,19,T2DM,0
2468,1002.5089442253985,0,1480,0,1002.5089442253985,18,20,T2DM death,0
2473,0,0,9276,1.1125604755271159e+06,0,18,25,Overweight,0
2474,0,71.0719328972138,7652,4.638831938762892e+06,71.0719328972138,18,26,Obese,0
2587,0,0,7113,274364.645852983,0,19,3,Steatosis,0
2588,0,337.786495870647,3199,589046.0875993893,337.786495870647,19,4,NASH,0
2589,0,50.846866518080056,352,878022.2348732515,50.846866518080056,19,5,Cirrhosis,0
2590,0,3.750283947219883,15,440209.94879524305,3.750283947219883,19,6,HCC,0
2591,268.0023781156121,0,275,0,268.0023781156121,19,7,Liver death,0
2592,0,0,4666,0,0,19,8,Natural death,0
2597,0,68.87703172479624,1520,1.7041518916443948e+07,68.87703172479624,19,13,CHD,0
2598,113.54205587312143,0,560,0,113.54205587312143,19,14,CHD death,0
2603,0,72.06822082644871,4462,3.473845487615673e+07,72.06822082644871,19,19,T2DM,0
2604,830.3574254346381,0,1591,0,830.3574254346381,19,20,T2DM death,0
2609,0,0,9240,1.0759637349824095e+06,0,19,25,Overweight,0
2610,0,68.78545670399895,7628,4.489594703192167e+06,68.78545670399895,19,26,Obese,0
2723,0,0,7080,265137.6315811286,0,20,3,Steatosis,0
2724,0,336.45686590389204,3282,586727.4237705374,336.45686590389204,20,4,NASH,0
2725,0,52.030525921799615,371,898461.6315588414,52.030525921799615,20,5,Cirrhosis,0
2726,0,3.6410523759416344,15,427388.29980120674,3.6410523759416344,20,6,HCC,0
2727,259.39285040020553,0,299,0,259.39285040020553,20,7,Liver death,0
2728,0,0,4994,0,0,20,8,Natural death,0
2733,0,66.47495844159546,1511,1.6447199209726071e+07,66.47495844159546,20,13,CHD,0
2734,150.6985797138114,0,590,0,150.6985797138114,20,14,CHD death,0
2739,0,71.19227360104574,4540,3.431622920144868e+07,71.19227360104574,20,19,T2DM,0
2740,838.5498592604266,0,1706,0,838.5498592604266,20,20,T2DM death,0
2745,0,0,9248,1.045529422636676e+06,0,20,25,Overweight,0
2746,0,66.4843318955459,7594,4.339401359329601e+06,66.4843318955459,20,26,Obese,0
2859,0,0,7035,255779.06288366026,0,21,3,Steatosis,0
2860,0,332.1312961908781,3337,579184.3160760459,332.1312961908781,21,4,NASH,0
2861,0,53.64673596207912,394,926370.3002490934,53.64673596207912,21,5,Cirrhosis,0
2862,0,1.8853345635943735,8,221301.38501033356,1.8853345635943735,21,6,HCC,0
2863,277.7923019695569,0,330,0,277.7923019695569,21,7,Liver death,0
2864,0,0,5311,0,0,21,8,Natural death,0
2869,0,63.684541862213706,1491,1.575679580918012e+07,63.684541862213706,21,13,CHD,0
2870,56.959769332859125,0,605,0,56.959769332859125,21,14,CHD death,0
