Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,6243,0,0,2,3,Steatosis,0
276,0,0,751,0,0,2,4,NASH,0
277,0,0,73,0,0,2,5,Cirrhosis,0
278,0,0,8,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1406,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2136,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7551,0,0,2,25,Overweight,0
298,0,0,8361,0,0,2,26,Obese,0
411,0,0,6463,0,0,3,3,Steatosis,0
412,0,0,913,0,0,3,4,NASH,0
413,0,0,79,0,0,3,5,Cirrhosis,0
414,0,0,4,0,0,3,6,HCC,0
415,0,0,10,0,0,3,7,Liver death,0
416,0,0,186,0,0,3,8,Natural death,0
421,0,0,1487,0,0,3,13,CHD,0
422,0,0,26,0,0,3,14,CHD death,0
427,0,0,2286,0,0,3,19,T2DM,0
428,0,0,49,0,0,3,20,T2DM death,0
433,0,0,8247,0,0,3,25,Overweight,0
434,0,0,8383,0,0,3,26,Obese,0
547,0,0,6682,0,0,4,3,Steatosis,0
548,0,0,1080,0,0,4,4,NASH,0
549,0,0,84,0,0,4,5,Cirrhosis,0
550,0,0,5,0,0,4,6,HCC,0
551,0,0,18,0,0,4,7,Liver death,0
552,0,0,379,0,0,4,8,Natural death,0
557,0,0,1569,0,0,4,13,CHD,0
558,0,0,62,0,0,4,14,CHD death,0
563,0,0,2420,0,0,4,19,T2DM,0
564,0,0,101,0,0,4,20,T2DM death,0
569,0,0,8652,0,0,4,25,Overweight,0
570,0,0,8521,0,0,4,26,Obese,0
683,0,0,6848,0,0,5,3,Steatosis,0
684,0,0,1231,0,0,5,4,NASH,0
685,0,0,92,0,0,5,5,Cirrhosis,0
686,0,0,3,0,0,5,6,HCC,0
687,0,0,24,0,0,5,7,Liver death,0
688,0,0,563,0,0,5,8,Natural death,0
693,0,0,1630,0,0,5,13,CHD,0
694,0,0,103,0,0,5,14,CHD death,0
699,0,0,2572,0,0,5,19,T2DM,0
700,0,0,157,0,0,5,20,T2DM death,0
705,0,0,8952,0,0,5,25,Overweight,0
706,0,0,8601,0,0,5,26,Obese,0
819,0,0,7039,0,0,6,3,Steatosis,0
820,0,0,1378,0,0,6,4,NASH,0
821,0,0,103,0,0,6,5,Cirrhosis,0
822,0,0,2,0,0,6,6,HCC,0
823,0,0,37,0,0,6,7,Liver death,0
824,0,0,735,0,0,6,8,Natural death,0
829,0,0,1702,0,0,6,13,CHD,0
830,0,0,138,0,0,6,14,CHD death,0
835,0,0,2705,0,0,6,19,T2DM,0
836,0,0,219,0,0,6,20,T2DM death,0
841,0,0,9093,0,0,6,25,Overweight,0
842,0,0,8690,0,0,6,26,Obese,0
955,0,0,7178,775833.6116414205,0,7,3,Steatosis,0
956,0,262.42187366599023,1519,323716.19159668236,262.42187366599023,7,4,NASH,0
957,0,19.550833877499585,101,255506.1590873702,19.550833877499585,7,5,Cirrhosis,0
958,0,1.7905797115559767,6,329829.72886198584,1.7905797115559767,7,6,HCC,0
959,246.87449351,0,51,0,246.87449351,7,7,Liver death,0
960,0,0,915,0,0,7,8,Natural death,0
965,0,108.2552454220705,1780,2.0959433734324314e+07,108.2552454220705,7,13,CHD,0
966,267.109738081,0,177,0,267.109738081,7,14,CHD death,0
971,0,90.48071276756693,2875,2.8132813627476662e+07,90.48071276756693,7,19,T2DM,0
972,731.2535062339997,0,290,0,731.2535062339997,7,20,T2DM death,0
977,0,0,9288,1.958402133599423e+06,0,7,25,Overweight,0
978,0,97.40510415517281,8774,1.067817794531276e+07,97.40510415517281,7,26,Obese,0
1091,0,0,7290,764989.4403430319,0,8,3,Steatosis,0
1092,0,282.6213318209954,1685,348633.67113033996,282.6213318209954,8,4,NASH,0
1093,0,21.048672443333277,112,275081.12869158323,21.048672443333277,8,5,Cirrhosis,0
1094,0,2.317902539231038,8,426964.0503067779,2.317902539231038,8,6,HCC,0
1095,173.84370249805826,0,61,0,173.84370249805826,8,7,Liver death,0
1096,0,0,1094,0,0,8,8,Natural death,0
1101,0,109.53064266277784,1855,2.120636499245653e+07,109.53064266277784,8,13,CHD,0
1102,208.7437271718447,0,211,0,208.7437271718447,8,14,CHD death,0
1107,0,92.45914287367893,3026,2.8747959151285376e+07,92.45914287367893,8,19,T2DM,0
1108,646.7335686242719,0,361,0,646.7335686242719,8,20,T2DM death,0
1113,0,0,9394,1.9230607238318867e+06,0,8,25,Overweight,0
1114,0,95.15008592045774,8828,1.0430968251432491e+07,95.15008592045774,8,26,Obese,0
1227,0,0,7338,747598.4542247996,0,9,3,Steatosis,0
1228,0,305.65540596814026,1877,377047.8526758793,305.65540596814026,9,4,NASH,0
1229,0,21.165447325127026,116,276607.23758862447,21.165447325127026,9,5,Cirrhosis,0
1230,0,2.2503908147874156,8,414528.20418133767,2.2503908147874156,9,6,HCC,0
1231,223.69352868790656,0,76,0,223.69352868790656,9,7,Liver death,0
1232,0,0,1303,0,0,9,8,Natural death,0
1237,0,109.14942225417055,1904,2.1132556431391954e+07,109.14942225417055,9,13,CHD,0
1238,261.6240909199737,0,259,0,261.6240909199737,9,14,CHD death,0
1243,0,92.99963837966203,3135,2.8916013301959258e+07,92.99963837966203,9,19,T2DM,0
1244,883.8422766848903,0,449,0,883.8422766848903,9,20,T2DM death,0
1249,0,0,9503,1.8887129006713044e+06,0,9,25,Overweight,0
1250,0,93.48793859928684,8934,1.0248752904296067e+07,93.48793859928684,9,26,Obese,0
1363,0,0,7472,739078.0866678408,0,10,3,Steatosis,0
1364,0,318.09625813134727,2012,392394.535580894,318.09625813134727,10,4,NASH,0
1365,0,23.20617341472749,131,303277.1018087529,23.20617341472749,10,5,Cirrhosis,0
1366,0,2.4579511326561576,9,452761.3880621407,2.4579511326561576,10,6,HCC,0
1367,266.7063379709662,0,94,0,266.7063379709662,10,7,Liver death,0
1368,0,0,1480,0,0,10,8,Natural death,0
1373,0,110.25587699147918,1981,2.1346778519717254e+07,110.25587699147918,10,13,CHD,0
1374,192.85524581620112,0,290,0,192.85524581620112,10,14,CHD death,0
1379,0,93.60301783307915,3250,2.9103619712105785e+07,93.60301783307915,10,19,T2DM,0
1380,859.4756013057241,0,540,0,859.4756013057241,10,20,T2DM death,0
1385,0,0,9537,1.8402624959214253e+06,0,10,25,Overweight,0
1386,0,91.85205562218547,9041,1.0069416824539028e+07,91.85205562218547,10,26,Obese,0
1499,0,0,7561,726098.393652938,0,11,3,Steatosis,0
1500,0,332.3160063185834,2165,409935.6142429852,332.3160063185834,11,4,NASH,0
1501,0,25.626027116241055,149,334901.7132550516,25.626027116241055,11,5,Cirrhosis,0
1502,0,1.5909068819780956,6,293049.44211141794,1.5909068819780956,11,6,HCC,0
1503,272.3497654629643,0,112,0,272.3497654629643,11,7,Liver death,0
1504,0,0,1664,0,0,11,8,Natural death,0
1509,0,110.50281972307732,2045,2.1394589411457237e+07,110.50281972307732,11,13,CHD,0
1510,206.2532141609802,0,324,0,206.2532141609802,11,14,CHD death,0
1515,0,94.17624019770298,3368,2.9281849496747985e+07,94.17624019770298,11,19,T2DM,0
1516,674.134765115699,0,616,0,674.134765115699,11,20,T2DM death,0
1521,0,0,9610,1.800338445339623e+06,0,11,25,Overweight,0
1522,0,90.0842036759381,9133,9.875613452258604e+06,90.0842036759381,11,26,Obese,0
1635,0,0,7611,709611.6471588535,0,12,3,Steatosis,0
1636,0,344.69244719158104,2313,425202.84120456857,344.69244719158104,12,4,NASH,0
1637,0,27.55127695432182,165,360062.44013216515,27.55127695432182,12,5,Cirrhosis,0
1638,0,1.28714149027354,5,237095.0178894967,1.28714149027354,12,6,HCC,0
1639,225.67691191401298,0,128,0,225.67691191401298,12,7,Liver death,0
1640,0,0,1844,0,0,12,8,Natural death,0
1645,0,109.59260825670913,2089,2.12183622287536e+07,109.59260825670913,12,13,CHD,0
1646,263.02716601690497,0,365,0,263.02716601690497,12,14,CHD death,0
1651,0,95.96689836349444,3535,2.9838611826617815e+07,95.96689836349444,12,19,T2DM,0
1652,806.8312781287565,0,710,0,806.8312781287565,12,20,T2DM death,0
1657,0,0,9726,1.7689999009301665e+06,0,12,25,Overweight,0
1658,0,87.42208669911194,9129,9.583774959437001e+06,87.42208669911194,12,26,Obese,0
1771,0,0,7692,696275.4202139501,0,13,3,Steatosis,0
1772,0,350.2786758888288,2421,432093.8547241074,350.2786758888288,13,4,NASH,0
1773,0,30.47743493623114,188,398303.84668930504,30.47743493623114,13,5,Cirrhosis,0
1774,0,1.749512705226171,7,322265.0728595101,1.749512705226171,13,6,HCC,0
1775,202.8458319556672,0,144,0,202.8458319556672,13,7,Liver death,0
1776,0,0,2022,0,0,13,8,Natural death,0
1781,0,108.89634398064882,2138,2.108355762968973e+07,108.89634398064882,13,13,CHD,0
1782,270.446116621289,0,414,0,270.446116621289,13,14,CHD death,0
1787,0,95.70201122145036,3631,2.975625150504513e+07,95.70201122145036,13,19,T2DM,0
1788,871.883935703913,0,808,0,871.883935703913,13,20,T2DM death,0
1793,0,0,9778,1.7266581050181696e+06,0,13,25,Overweight,0
1794,0,85.25700504535332,9170,9.346424695652507e+06,85.25700504535332,13,26,Obese,0
1907,0,0,7738,680038.1687209067,0,14,3,Steatosis,0
1908,0,359.1802209019736,2557,443074.5485615902,359.1802209019736,14,4,NASH,0
1909,0,31.63584188278502,201,413442.8485052157,31.63584188278502,14,5,Cirrhosis,0
1910,0,2.426508606416326,10,446969.5878772677,2.426508606416326,14,6,HCC,0
1911,269.2466600268843,0,164,0,269.2466600268843,14,7,Liver death,0
1912,0,0,2182,0,0,14,8,Natural death,0
1917,0,109.68062473279463,2218,2.1235403208993316e+07,109.68062473279463,14,13,CHD,0
1918,195.53394325110202,0,450,0,195.53394325110202,14,14,CHD death,0
1923,0,96.98326506893375,3790,3.015462674545316e+07,96.98326506893375,14,19,T2DM,0
1924,622.8326954523724,0,887,0,622.8326954523724,14,20,T2DM death,0
1929,0,0,9817,1.6830533590335143e+06,0,14,25,Overweight,0
1930,0,83.59521060922968,9261,9.16424803405637e+06,83.59521060922968,14,26,Obese,0
2043,0,0,7811,666459.8282939491,0,15,3,Steatosis,0
2044,0,358.26512421998024,2627,441945.71121012344,358.26512421998024,15,4,NASH,0
2045,0,34.07618576950687,223,445335.2423159109,34.07618576950687,15,5,Cirrhosis,0
2046,0,3.2981670378474344,14,607531.4786681308,3.2981670378474344,15,6,HCC,0
2047,353.07060074001237,0,189,0,353.07060074001237,15,7,Liver death,0
2048,0,0,2346,0,0,15,8,Natural death,0
2053,0,110.47086831928797,2301,2.1388403260128424e+07,110.47086831928797,15,13,CHD,0
2054,159.22101938187734,0,486,0,159.22101938187734,15,14,CHD death,0
2059,0,96.99071824913239,3904,3.0156944133576673e+07,96.99071824913239,15,19,T2DM,0
2060,856.5688239703383,0,988,0,856.5688239703383,15,20,T2DM death,0
2065,0,0,9823,1.6350310829718742e+06,0,15,25,Overweight,0
2066,0,81.44959994067948,9294,8.92903230569393e+06,81.44959994067948,15,26,Obese,0
2179,0,0,7779,644397.5578750636,0,16,3,Steatosis,0
2180,0,368.48553324303157,2783,454553.3183401025,368.48553324303157,16,4,NASH,0
2181,0,35.75410671100706,241,467263.67450970714,35.75410671100706,16,5,Cirrhosis,0
2182,0,2.0584953772972883,9,379180.5345362815,2.0584953772972883,16,6,HCC,0
2183,264.90942570998965,0,211,0,264.90942570998965,16,7,Liver death,0
2184,0,0,2528,0,0,16,8,Natural death,0
2189,0,108.97789906900715,2338,2.1099347612553906e+07,108.97789906900715,16,13,CHD,0
2190,214.1654902508863,0,531,0,214.1654902508863,16,14,CHD death,0
2195,0,96.62601894647455,4006,3.0043549607849464e+07,96.62601894647455,16,19,T2DM,0
2196,822.664514773224,0,1085,0,822.664514773224,16,20,T2DM death,0
2201,0,0,9879,1.5964584869355964e+06,0,16,25,Overweight,0
2202,0,79.40910998497436,9333,8.705340590235189e+06,79.40910998497436,16,26,Obese,0
2315,0,0,7834,630052.0905040855,0,17,3,Steatosis,0
2316,0,371.7648281134168,2892,458598.563622979,371.7648281134168,17,4,NASH,0
2317,0,37.881521431715846,263,495066.45609335095,37.881521431715846,17,5,Cirrhosis,0
2318,0,1.9985392012595034,9,368136.4412973606,1.9985392012595034,17,6,HCC,0
2319,336.95212671341915,0,235,0,336.95212671341915,17,7,Liver death,0
2320,0,0,2723,0,0,17,8,Natural death,0
2325,0,107.25191259376479,2370,2.0765177208032567e+07,107.25191259376479,17,13,CHD,0
2326,250.46165756925447,0,589,0,250.46165756925447,17,14,CHD death,0
2331,0,96.22370130508696,4109,2.991845855940908e+07,96.22370130508696,17,19,T2DM,0
2332,764.8054384950785,0,1186,0,764.8054384950785,17,20,T2DM death,0
2337,0,0,9899,1.5530975838891303e+06,0,17,25,Overweight,0
2338,0,77.31925961218006,9360,8.476237666389735e+06,77.31925961218006,17,26,Obese,0
2451,0,0,7874,614824.3728022779,0,18,3,Steatosis,0
2452,0,369.29867676066084,2959,455556.3891553314,369.29867676066084,18,4,NASH,0
2453,0,40.55388244378778,290,529991.0379381743,40.55388244378778,18,5,Cirrhosis,0
2454,0,2.371513615302539,11,436839.3586052824,2.371513615302539,18,6,HCC,0
2455,288.6088775619387,0,262,0,288.6088775619387,18,7,Liver death,0
2456,0,0,2893,0,0,18,8,Natural death,0
2461,0,106.23699342579684,2418,2.0568677436001603e+07,106.23699342579684,18,13,CHD,0
2462,210.06693827381778,0,639,0,210.06693827381778,18,14,CHD death,0
2467,0,95.9447340333783,4220,2.983172035826835e+07,95.9447340333783,18,19,T2DM,0
2468,744.1365544811539,0,1297,0,744.1365544811539,18,20,T2DM death,0
2473,0,0,9920,1.5110605496265031e+06,0,18,25,Overweight,0
2474,0,75.2276424323995,9380,8.246941053722652e+06,75.2276424323995,18,26,Obese,0
2587,0,0,7976,604649.3433559017,0,19,3,Steatosis,0
2588,0,363.9950603191575,3004,449013.9981109296,363.9950603191575,19,4,NASH,0
2589,0,42.63113186256862,314,557138.2186561334,42.63113186256862,19,5,Cirrhosis,0
2590,0,2.5117531671341986,12,462671.8714266009,2.5117531671341986,19,6,HCC,0
2591,330.06457119746386,0,293,0,330.06457119746386,19,7,Liver death,0
2592,0,0,3065,0,0,19,8,Natural death,0
2597,0,106.00067803090978,2485,2.052292411624067e+07,106.00067803090978,19,13,CHD,0
2598,217.9904860004282,0,694,0,217.9904860004282,19,14,CHD death,0
2603,0,95.24721100493036,4315,2.9614842255081262e+07,95.24721100493036,19,19,T2DM,0
2604,800.5667583095537,0,1417,0,800.5667583095537,19,20,T2DM death,0
2609,0,0,9939,1.4698589495320283e+06,0,19,25,Overweight,0
2610,0,73.62052696279265,9455,8.070758654330604e+06,73.62052696279265,19,26,Obese,0
2723,0,0,8002,588951.812419428,0,20,3,Steatosis,0
2724,0,365.15735240738087,3104,450447.7687149485,365.15735240738087,20,4,NASH,0
2725,0,43.89390547967186,333,573641.16879752,43.89390547967186,20,5,Cirrhosis,0
2726,0,2.6418115835553873,13,486628.9909826707,2.6418115835553873,20,6,HCC,0
2727,271.39000435902824,0,318,0,271.39000435902824,20,7,Liver death,0
2728,0,0,3240,0,0,20,8,Natural death,0
2733,0,106.01931423848502,2560,2.0526532295745917e+07,106.01931423848502,20,13,CHD,0
2734,204.2465858941909,0,737,0,204.2465858941909,20,14,CHD death,0
2739,0,95.43044259806267,4453,2.9671813736655142e+07,95.43044259806267,20,19,T2DM,0
2740,738.3960664569142,0,1526,0,738.3960664569142,20,20,T2DM death,0
2745,0,0,9885,1.419294171741514e+06,0,20,25,Overweight,0
2746,0,72.1566058806839,9545,7.910274150480977e+06,72.1566058806839,20,26,Obese,0
2859,0,0,8096,578514.8219435412,0,21,3,Steatosis,0
2860,0,363.6588586181197,3184,448599.2692136477,363.6588586181197,21,4,NASH,0
2861,0,43.89518522268118,343,573657.8935174441,43.89518522268118,21,5,Cirrhosis,0
2862,0,1.9729735500787051,10,363427.17773164366,1.9729735500787051,21,6,HCC,0
2863,356.97418361791495,0,351,0,356.97418361791495,21,7,Liver death,0
2864,0,0,3404,0,0,21,8,Natural death,0
2869,0,104.5798833185332,2601,2.0247842271403465e+07,104.5798833185332,21,13,CHD,0
2870,137.49553269173606,0,773,0,137.49553269173606,21,14,CHD death,0
