Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,6252,0,0,2,3,Steatosis,0
276,0,0,735,0,0,2,4,NASH,0
277,0,0,75,0,0,2,5,Cirrhosis,0
278,0,0,6,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1430,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,1980,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7544,0,0,2,25,Overweight,0
298,0,0,8334,0,0,2,26,Obese,0
411,0,0,6629,0,0,3,3,Steatosis,0
412,0,0,863,0,0,3,4,NASH,0
413,0,0,82,0,0,3,5,Cirrhosis,0
414,0,0,6,0,0,3,6,HCC,0
415,0,0,5,0,0,3,7,Liver death,0
416,0,0,175,0,0,3,8,Natural death,0
421,0,0,1453,0,0,3,13,CHD,0
422,0,0,30,0,0,3,14,CHD death,0
427,0,0,2050,0,0,3,19,T2DM,0
428,0,0,70,0,0,3,20,T2DM death,0
433,0,0,7954,0,0,3,25,Overweight,0
434,0,0,8318,0,0,3,26,Obese,0
547,0,0,6963,0,0,4,3,Steatosis,0
548,0,0,979,0,0,4,4,NASH,0
549,0,0,86,0,0,4,5,Cirrhosis,0
550,0,0,8,0,0,4,6,HCC,0
551,0,0,12,0,0,4,7,Liver death,0
552,0,0,335,0,0,4,8,Natural death,0
557,0,0,1478,0,0,4,13,CHD,0
558,0,0,72,0,0,4,14,CHD death,0
563,0,0,2153,0,0,4,19,T2DM,0
564,0,0,135,0,0,4,20,T2DM death,0
569,0,0,8196,0,0,4,25,Overweight,0
570,0,0,8374,0,0,4,26,Obese,0
683,0,0,7184,0,0,5,3,Steatosis,0
684,0,0,1144,0,0,5,4,NASH,0
685,0,0,85,0,0,5,5,Cirrhosis,0
686,0,0,7,0,0,5,6,HCC,0
687,0,0,24,0,0,5,7,Liver death,0
688,0,0,496,0,0,5,8,Natural death,0
693,0,0,1490,0,0,5,13,CHD,0
694,0,0,107,0,0,5,14,CHD death,0
699,0,0,2288,0,0,5,19,T2DM,0
700,0,0,203,0,0,5,20,T2DM death,0
705,0,0,8384,0,0,5,25,Overweight,0
706,0,0,8390,0,0,5,26,Obese,0
819,0,0,7408,0,0,6,3,Steatosis,0
820,0,0,1291,0,0,6,4,NASH,0
821,0,0,95,0,0,6,5,Cirrhosis,0
822,0,0,6,0,0,6,6,HCC,0
823,0,0,36,0,0,6,7,Liver death,0
824,0,0,629,0,0,6,8,Natural death,0
829,0,0,1526,0,0,6,13,CHD,0
830,0,0,137,0,0,6,14,CHD death,0
835,0,0,2403,0,0,6,19,T2DM,0
836,0,0,272,0,0,6,20,T2DM death,0
841,0,0,8575,0,0,6,25,Overweight,0
842,0,0,8470,0,0,6,26,Obese,0
955,0,0,7537,801248.0096288577,0,7,3,Steatosis,0
956,0,151.43933320526693,1447,426297.96639288636,151.43933320526693,7,4,NASH,0
957,0,19.22834538486246,103,500379.6992595534,19.22834538486246,7,5,Cirrhosis,0
958,0,1.5967792636349207,5,183336.11285098188,1.5967792636349207,7,6,HCC,0
959,211.977109109,0,50,0,211.977109109,7,7,Liver death,0
960,0,0,786,0,0,7,8,Natural death,0
965,0,90.76356433656053,1578,2.5832493226658456e+07,90.76356433656053,7,13,CHD,0
966,203.68430854199997,0,168,0,203.68430854199997,7,14,CHD death,0
971,0,79.83761066266159,2528,2.7671446679960273e+07,79.83761066266159,7,19,T2DM,0
972,746.038427362,0,343,0,746.038427362,7,20,T2DM death,0
977,0,0,8807,1.707144969055846e+06,0,7,25,Overweight,0
978,0,103.37941214552764,8428,5.790185877589764e+06,103.37941214552764,7,26,Obese,0
1091,0,0,7693,794011.7991467748,0,8,3,Steatosis,0
1092,0,163.18433795241742,1606,459359.8634114107,163.18433795241742,8,4,NASH,0
1093,0,20.843243654059552,115,542404.2361659786,20.843243654059552,8,5,Cirrhosis,0
1094,0,0.9301626778455848,3,106797.73564134867,0.9301626778455848,8,6,HCC,0
1095,378.28429194368937,0,70,0,378.28429194368937,8,7,Liver death,0
1096,0,0,950,0,0,8,8,Natural death,0
1101,0,90.18614960780218,1615,2.5668153470075537e+07,90.18614960780218,8,13,CHD,0
1102,200.23178645436897,0,199,0,200.23178645436897,8,14,CHD death,0
1107,0,81.03831455904397,2643,2.8087606602226708e+07,81.03831455904397,8,19,T2DM,0
1108,693.2525118145631,0,410,0,693.2525118145631,8,20,T2DM death,0
1113,0,0,8834,1.6625035311314827e+06,0,8,25,Overweight,0
1114,0,101.7974314720685,8548,5.701580593772578e+06,101.7974314720685,8,26,Obese,0
1227,0,0,7786,780204.405739779,0,9,3,Steatosis,0
1228,0,176.97753707978433,1794,498187.37680302496,176.97753707978433,9,4,NASH,0
1229,0,22.875657872754328,130,595293.8007731286,22.875657872754328,9,5,Cirrhosis,0
1230,0,0.903070561015131,3,103687.12198189192,0.903070561015131,9,6,HCC,0
1231,173.67656970685266,0,81,0,173.67656970685266,9,7,Liver death,0
1232,0,0,1085,0,0,9,8,Natural death,0
1237,0,90.05331960597232,1661,2.563034832053604e+07,90.05331960597232,9,13,CHD,0
1238,159.62961560750307,0,222,0,159.62961560750307,9,14,CHD death,0
1243,0,81.14875545513118,2726,2.8125885044453997e+07,81.14875545513118,9,19,T2DM,0
1244,779.2546533942877,0,495,0,779.2546533942877,9,20,T2DM death,0
1249,0,0,8956,1.6363720076241523e+06,0,9,25,Overweight,0
1250,0,99.6071155158263,8615,5.578903009770862e+06,99.6071155158263,9,26,Obese,0
1363,0,0,7917,770224.6601745588,0,10,3,Steatosis,0
1364,0,185.71042872016227,1939,522770.25014399196,185.71042872016227,10,4,NASH,0
1365,0,25.284521024403606,148,657979.7051114525,25.284521024403606,10,5,Cirrhosis,0
1366,0,1.1690233799548622,4,134222.81162704455,1.1690233799548622,10,6,HCC,0
1367,226.84518010445427,0,94,0,226.84518010445427,10,7,Liver death,0
1368,0,0,1233,0,0,10,8,Natural death,0
1373,0,89.95699350994173,1709,2.5602932658297326e+07,89.95699350994173,10,13,CHD,0
1374,141.11208760925643,0,246,0,141.11208760925643,10,14,CHD death,0
1379,0,81.55973327482563,2822,2.8268328571129397e+07,81.55973327482563,10,19,T2DM,0
1380,848.7010207352798,0,587,0,848.7010207352798,10,20,T2DM death,0
1385,0,0,9011,1.5984671729213768e+06,0,10,25,Overweight,0
1386,0,97.53660940410809,8689,5.462935865068391e+06,97.53660940410809,10,26,Obese,0
1499,0,0,8023,757803.0376541156,0,11,3,Steatosis,0
1500,0,191.18084161520989,2056,538169.3267453666,191.18084161520989,11,4,NASH,0
1501,0,26.04086723190349,157,677662.1208508144,26.04086723190349,11,5,Cirrhosis,0
1502,0,3.688666004711942,13,423518.58037659695,3.688666004711942,11,6,HCC,0
1503,273.9366979695166,0,111,0,273.9366979695166,11,7,Liver death,0
1504,0,0,1373,0,0,11,8,Natural death,0
1509,0,89.43215452310751,1750,2.545355664302664e+07,89.43215452310751,11,13,CHD,0
1510,179.93966440831323,0,282,0,179.93966440831323,11,14,CHD death,0
1515,0,81.148379456414,2892,2.8125754724565636e+07,81.148379456414,11,19,T2DM,0
1516,753.7366804680988,0,672,0,753.7366804680988,11,20,T2DM death,0
1521,0,0,9129,1.5722323009307154e+06,0,11,25,Overweight,0
1522,0,95.22975628968722,8738,5.333731141926273e+06,95.22975628968722,11,26,Obese,0
1635,0,0,8111,743800.94587437,0,12,3,Steatosis,0
1636,0,196.0847663425289,2172,551973.7532067959,196.0847663425289,12,4,NASH,0
1637,0,28.825151409997638,179,750117.61568422,28.825151409997638,12,5,Cirrhosis,0
1638,0,4.40766662250867,16,506071.49260833097,4.40766662250867,12,6,HCC,0
1639,296.81735007208897,0,130,0,296.81735007208897,12,7,Liver death,0
1640,0,0,1521,0,0,12,8,Natural death,0
1645,0,89.80427167091923,1810,2.555946603266596e+07,89.80427167091923,12,13,CHD,0
1646,162.69662691877897,0,313,0,162.69662691877897,12,14,CHD death,0
1651,0,80.96422126807072,2972,2.80619261173829e+07,80.96422126807072,12,19,T2DM,0
1652,715.1472075131179,0,756,0,715.1472075131179,12,20,T2DM death,0
1657,0,0,9171,1.5334618506730932e+06,0,12,25,Overweight,0
1658,0,93.4718423338943,8834,5.235271996634494e+06,93.4718423338943,12,26,Obese,0
1771,0,0,8202,730238.7334545502,0,13,3,Steatosis,0
1772,0,200.89143577441922,2292,565504.4084240706,200.89143577441922,13,4,NASH,0
1773,0,28.92364815777816,185,752680.7989454976,28.92364815777816,13,5,Cirrhosis,0
1774,0,2.4070994904476963,9,276373.99474969524,2.4070994904476963,13,6,HCC,0
1775,361.87706130382674,0,155,0,361.87706130382674,13,7,Liver death,0
1776,0,0,1677,0,0,13,8,Natural death,0
1781,0,89.11543345556048,1850,2.5363413699742123e+07,89.11543345556048,13,13,CHD,0
1782,108.56365009960153,0,343,0,108.56365009960153,13,14,CHD death,0
1787,0,81.70055779412318,3089,2.831713787472278e+07,81.70055779412318,13,19,T2DM,0
1788,758.3852416308357,0,843,0,758.3852416308357,13,20,T2DM death,0
1793,0,0,9197,1.493018690261618e+06,0,13,25,Overweight,0
1794,0,91.1808164566821,8876,5.106953742505156e+06,91.1808164566821,13,26,Obese,0
1907,0,0,8314,718650.7707025346,0,14,3,Steatosis,0
1908,0,205.93252790375328,2420,579694.9577196519,205.93252790375328,14,4,NASH,0
1909,0,29.59911514440707,195,770258.492754511,29.59911514440707,14,5,Cirrhosis,0
1910,0,2.077324263601032,8,238510.45933091285,2.077324263601032,14,6,HCC,0
1911,323.25275912230205,0,180,0,323.25275912230205,14,7,Liver death,0
1912,0,0,1834,0,0,14,8,Natural death,0
1917,0,88.43730499315652,1891,2.5170409502080373e+07,88.43730499315652,14,13,CHD,0
1918,127.07451426411913,0,374,0,127.07451426411913,14,14,CHD death,0
1923,0,80.75892668394621,3145,2.7990771706684068e+07,80.75892668394621,14,19,T2DM,0
1924,953.9804578770215,0,958,0,953.9804578770215,14,20,T2DM death,0
1929,0,0,9280,1.4626142806832106e+06,0,14,25,Overweight,0
1930,0,88.75445574276594,8899,4.971055508532271e+06,88.75445574276594,14,26,Obese,0
2043,0,0,8441,708377.1618697689,0,15,3,Steatosis,0
2044,0,209.60074752941222,2537,590020.9049726039,209.60074752941222,15,4,NASH,0
2045,0,31.684390122217913,215,824523.6541808314,31.684390122217913,15,5,Cirrhosis,0
2046,0,2.268922132573943,9,260508.99684201635,2.268922132573943,15,6,HCC,0
2047,266.0415504136603,0,203,0,266.0415504136603,15,7,Liver death,0
2048,0,0,1961,0,0,15,8,Natural death,0
2053,0,88.81280699410101,1956,2.527728226503044e+07,88.81280699410101,15,13,CHD,0
2054,160.01662492135776,0,407,0,160.01662492135776,15,14,CHD death,0
2059,0,80.77513157145808,3240,2.799638826605917e+07,80.77513157145808,15,19,T2DM,0
2060,602.731007982633,0,1034,0,602.731007982633,15,20,T2DM death,0
2065,0,0,9335,1.4284298951889724e+06,0,15,25,Overweight,0
2066,0,86.80845515902242,8965,4.862061804041961e+06,86.80845515902242,15,26,Obese,0
2179,0,0,8482,691085.3620136777,0,16,3,Steatosis,0
2180,0,214.48480886518306,2674,603769.4164795068,214.48480886518306,16,4,NASH,0
2181,0,33.05077497508422,231,860081.1204144099,33.05077497508422,16,5,Cirrhosis,0
2182,0,2.937116029221933,12,337228.4748763966,2.937116029221933,16,6,HCC,0
2183,222.15857510444877,0,222,0,222.15857510444877,16,7,Liver death,0
2184,0,0,2102,0,0,16,8,Natural death,0
2189,0,88.03342246272987,1997,2.5055459270587914e+07,88.03342246272987,16,13,CHD,0
2190,184.44328385391972,0,441,0,184.44328385391972,16,14,CHD death,0
2195,0,80.26199697079664,3316,2.7818537543526262e+07,80.26199697079664,16,19,T2DM,0
2196,723.1306087100569,0,1134,0,723.1306087100569,16,20,T2DM death,0
2201,0,0,9386,1.3944017967917884e+06,0,16,25,Overweight,0
2202,0,84.74070303645394,9014,4.746248907740844e+06,84.74070303645394,16,26,Obese,0
2315,0,0,8557,676889.4315032127,0,17,3,Steatosis,0
2316,0,214.70130129085206,2757,604378.8372874701,214.70130129085206,17,4,NASH,0
2317,0,34.72741454953558,250,903712.3528079822,34.72741454953558,17,5,Cirrhosis,0
2318,0,2.1386767203072323,9,245554.71471582283,2.1386767203072323,17,6,HCC,0
2319,359.76530365748056,0,249,0,359.76530365748056,17,7,Liver death,0
2320,0,0,2242,0,0,17,8,Natural death,0
2325,0,87.43809018934306,2043,2.4886019947305374e+07,87.43809018934306,17,13,CHD,0
2326,130.2065746481932,0,477,0,130.2065746481932,17,14,CHD death,0
2331,0,80.3212156552437,3418,2.7839062539895765e+07,80.3212156552437,17,19,T2DM,0
2332,683.9609573786091,0,1233,0,683.9609573786091,17,20,T2DM death,0
2337,0,0,9373,1.3519130993831318e+06,0,17,25,Overweight,0
2338,0,82.93881238593556,9087,4.645326668185914e+06,82.93881238593556,17,26,Obese,0
2451,0,0,8626,662473.3779698518,0,18,3,Steatosis,0
2452,0,216.61339650819917,2865,609761.337893187,216.61339650819917,18,4,NASH,0
2453,0,34.79484642244717,258,905467.1340755714,34.79484642244717,18,5,Cirrhosis,0
2454,0,3.691351405061027,16,423826.9078158754,3.691351405061027,18,6,HCC,0
2455,201.57491244884073,0,270,0,201.57491244884073,18,7,Liver death,0
2456,0,0,2374,0,0,18,8,Natural death,0
2461,0,87.01051701831798,2094,2.47643270507654e+07,87.01051701831798,18,13,CHD,0
2462,155.92961087568054,0,514,0,155.92961087568054,18,14,CHD death,0
2467,0,79.76133488918305,3496,2.764500975403718e+07,79.76133488918305,18,19,T2DM,0
2468,695.5727309808535,0,1334,0,695.5727309808535,18,20,T2DM death,0
2473,0,0,9429,1.3203788835814442e+06,0,18,25,Overweight,0
2474,0,81.23202709748521,9167,4.549731192567319e+06,81.23202709748521,18,26,Obese,0
2587,0,0,8741,651752.7498524713,0,19,3,Steatosis,0
2588,0,215.6628065338614,2938,607085.4506955885,215.6628065338614,19,4,NASH,0
2589,0,36.40011780477303,278,947241.1502709767,36.40011780477303,19,5,Cirrhosis,0
2590,0,3.359846545868654,15,385764.78259940114,3.359846545868654,19,6,HCC,0
2591,234.31996622379177,0,293,0,234.31996622379177,19,7,Liver death,0
2592,0,0,2531,0,0,19,8,Natural death,0
2597,0,84.71828235016548,2100,2.411192719216647e+07,84.71828235016548,19,13,CHD,0
2598,138.97768510911445,0,545,0,138.97768510911445,19,14,CHD death,0
2603,0,79.01087554978336,3567,2.738490307720585e+07,79.01087554978336,19,19,T2DM,0
2604,759.489097002999,0,1447,0,759.489097002999,19,20,T2DM death,0
2609,0,0,9549,1.2982358659369857e+06,0,19,25,Overweight,0
2610,0,78.87464898149936,9168,4.417696610514976e+06,78.87464898149936,19,26,Obese,0
2723,0,0,8838,639791.586263644,0,20,3,Steatosis,0
2724,0,211.7331644312848,2971,596023.6056549973,211.7331644312848,20,4,NASH,0
2725,0,39.15358065191746,308,1.0188945808600192e+06,39.15358065191746,20,5,Cirrhosis,0
2726,0,4.349315916982075,20,499371.8868600661,4.349315916982075,20,6,HCC,0
2727,254.01027829403188,0,317,0,254.01027829403188,20,7,Liver death,0
2728,0,0,2668,0,0,20,8,Natural death,0
2733,0,84.32661206652924,2153,2.400045272525774e+07,84.32661206652924,20,13,CHD,0
2734,156.7276483248345,0,582,0,156.7276483248345,20,14,CHD death,0
2739,0,77.67732871870875,3612,2.6922700241665382e+07,77.67732871870875,20,19,T2DM,0
2740,805.0480853410746,0,1563,0,805.0480853410746,20,20,T2DM death,0
2745,0,0,9530,1.2579152600106183e+06,0,20,25,Overweight,0
2746,0,76.97825753288285,9216,4.311481468097713e+06,76.97825753288285,20,26,Obese,0
2859,0,0,8815,619540.3819905844,0,21,3,Steatosis,0
2860,0,212.69284228504821,3074,598725.0750076984,212.69284228504821,21,4,NASH,0
2861,0,40.72841260601681,330,1.0598764710749157e+06,40.72841260601681,21,5,Cirrhosis,0
2862,0,2.9558457688227695,14,339378.9522349964,2.9558457688227695,21,6,HCC,0
2863,318.6643913359724,0,353,0,318.6643913359724,21,7,Liver death,0
2864,0,0,2819,0,0,21,8,Natural death,0
2869,0,81.98457587535667,2156,2.3333878704205118e+07,81.98457587535667,21,13,CHD,0
2870,141.4477954056538,0,623,0,141.4477954056538,21,14,CHD death,0
