Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,6739,0,0,2,3,Steatosis,0
276,0,0,706,0,0,2,4,NASH,0
277,0,0,73,0,0,2,5,Cirrhosis,0
278,0,0,6,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1445,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2072,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7512,0,0,2,25,Overweight,0
298,0,0,8360,0,0,2,26,Obese,0
411,0,0,7140,0,0,3,3,Steatosis,0
412,0,0,914,0,0,3,4,NASH,0
413,0,0,83,0,0,3,5,Cirrhosis,0
414,0,0,5,0,0,3,6,HCC,0
415,0,0,10,0,0,3,7,Liver death,0
416,0,0,224,0,0,3,8,Natural death,0
421,0,0,1507,0,0,3,13,CHD,0
422,0,0,21,0,0,3,14,CHD death,0
427,0,0,2102,0,0,3,19,T2DM,0
428,0,0,78,0,0,3,20,T2DM death,0
433,0,0,8018,0,0,3,25,Overweight,0
434,0,0,8309,0,0,3,26,Obese,0
547,0,0,7408,0,0,4,3,Steatosis,0
548,0,0,1192,0,0,4,4,NASH,0
549,0,0,107,0,0,4,5,Cirrhosis,0
550,0,0,4,0,0,4,6,HCC,0
551,0,0,18,0,0,4,7,Liver death,0
552,0,0,426,0,0,4,8,Natural death,0
557,0,0,1547,0,0,4,13,CHD,0
558,0,0,62,0,0,4,14,CHD death,0
563,0,0,2185,0,0,4,19,T2DM,0
564,0,0,149,0,0,4,20,T2DM death,0
569,0,0,8396,0,0,4,25,Overweight,0
570,0,0,8308,0,0,4,26,Obese,0
683,0,0,7606,0,0,5,3,Steatosis,0
684,0,0,1449,0,0,5,4,NASH,0
685,0,0,127,0,0,5,5,Cirrhosis,0
686,0,0,9,0,0,5,6,HCC,0
687,0,0,22,0,0,5,7,Liver death,0
688,0,0,615,0,0,5,8,Natural death,0
693,0,0,1560,0,0,5,13,CHD,0
694,0,0,105,0,0,5,14,CHD death,0
699,0,0,2283,0,0,5,19,T2DM,0
700,0,0,210,0,0,5,20,T2DM death,0
705,0,0,8627,0,0,5,25,Overweight,0
706,0,0,8394,0,0,5,26,Obese,0
819,0,0,7781,0,0,6,3,Steatosis,0
820,0,0,1737,0,0,6,4,NASH,0
821,0,0,147,0,0,6,5,Cirrhosis,0
822,0,0,6,0,0,6,6,HCC,0
823,0,0,37,0,0,6,7,Liver death,0
824,0,0,800,0,0,6,8,Natural death,0
829,0,0,1617,0,0,6,13,CHD,0
830,0,0,140,0,0,6,14,CHD death,0
835,0,0,2355,0,0,6,19,T2DM,0
836,0,0,288,0,0,6,20,T2DM death,0
841,0,0,8802,0,0,6,25,Overweight,0
842,0,0,8459,0,0,6,26,Obese,0
955,0,0,7979,902339.4240782628,0,7,3,Steatosis,0
956,0,264.11279043842137,1983,610605.8686413587,264.11279043842137,7,4,NASH,0
957,0,36.24081333428254,180,255702.3563937961,36.24081333428254,7,5,Cirrhosis,0
958,0,1.7060607454179797,7,284996.806845424,1.7060607454179797,7,6,HCC,0
959,175.264838055,0,48,0,175.264838055,7,7,Liver death,0
960,0,0,1003,0,0,7,8,Natural death,0
965,0,110.18466832551465,1651,3.379801048862486e+07,110.18466832551465,7,13,CHD,0
966,265.483426754,0,178,0,265.483426754,7,14,CHD death,0
971,0,76.39601785009853,2396,1.2176185852084104e+07,76.39601785009853,7,19,T2DM,0
972,819.5304411870001,0,375,0,819.5304411870001,7,20,T2DM death,0
977,0,0,8924,3.389765625505624e+06,0,7,25,Overweight,0
978,0,77.40617509263284,8527,1.0412271098885763e+07,77.40617509263284,7,26,Obese,0
1091,0,0,8116,891099.6664569018,0,8,3,Steatosis,0
1092,0,288.23025321407374,2229,666363.351204457,288.23025321407374,8,4,NASH,0
1093,0,38.899254873366814,199,274459.37930078496,38.899254873366814,8,5,Cirrhosis,0
1094,0,1.4197454192105243,6,237167.93912240557,1.4197454192105243,8,6,HCC,0
1095,407.9021541252427,0,72,0,407.9021541252427,8,7,Liver death,0
1096,0,0,1192,0,0,8,8,Natural death,0
1101,0,109.30800130850231,1687,3.352910192370017e+07,109.30800130850231,8,13,CHD,0
1102,218.25831899611657,0,212,0,218.25831899611657,8,14,CHD death,0
1107,0,76.36877645435916,2467,1.2171844051205833e+07,76.36877645435916,8,19,T2DM,0
1108,822.6921971864082,0,459,0,822.6921971864082,8,20,T2DM death,0
1113,0,0,8999,3.318693439739143e+06,0,8,25,Overweight,0
1114,0,75.74212225313497,8594,1.0188431472822841e+07,75.74212225313497,8,26,Obese,0
1227,0,0,8195,873566.5097126274,0,9,3,Steatosis,0
1228,0,306.57584198964906,2442,708776.7615941954,306.57584198964906,9,4,NASH,0
1229,0,44.59835534586138,235,314670.21581540944,44.59835534586138,9,5,Cirrhosis,0
1230,0,1.6081258793646713,7,268636.82424867945,1.6081258793646713,9,6,HCC,0
1231,173.1422680601376,0,83,0,173.1422680601376,9,7,Liver death,0
1232,0,0,1382,0,0,9,8,Natural death,0
1237,0,107.63404344982395,1711,3.301563261689845e+07,107.63404344982395,9,13,CHD,0
1238,352.14659868602143,0,265,0,352.14659868602143,9,14,CHD death,0
1243,0,77.05972933163149,2564,1.2281969825893521e+07,77.05972933163149,9,19,T2DM,0
1244,817.442975964747,0,538,0,817.442975964747,9,20,T2DM death,0
1249,0,0,9063,3.244947242719945e+06,0,9,25,Overweight,0
1250,0,74.39170824405919,8694,1.0006780890792083e+07,74.39170824405919,9,26,Obese,0
1363,0,0,8248,853607.9390239185,0,10,3,Steatosis,0
1364,0,324.82710292469613,2665,750972.0941964011,324.82710292469613,10,4,NASH,0
1365,0,51.59074363495662,280,364006.03358113917,51.59074363495662,10,5,Cirrhosis,0
1366,0,2.676492448318454,12,447107.0583889257,2.676492448318454,10,6,HCC,0
1367,264.7825945730269,0,99,0,264.7825945730269,10,7,Liver death,0
1368,0,0,1570,0,0,10,8,Natural death,0
1373,0,105.96486775203431,1735,3.2503630188626364e+07,105.96486775203431,10,13,CHD,0
1374,245.38756825080748,0,302,0,245.38756825080748,10,14,CHD death,0
1379,0,75.63228663784251,2592,1.2054460486767784e+07,75.63228663784251,10,19,T2DM,0
1380,1041.6990145278735,0,652,0,1041.6990145278735,10,20,T2DM death,0
1385,0,0,9128,3.173029187441328e+06,0,10,25,Overweight,0
1386,0,73.00585964304227,8788,9.820363834032562e+06,73.00585964304227,10,26,Obese,0
1499,0,0,8332,837185.7547044682,0,11,3,Steatosis,0
1500,0,335.36494642474526,2834,775334.6745670278,335.36494642474526,11,4,NASH,0
1501,0,57.78020178256224,323,407676.6603561307,57.78020178256224,11,5,Cirrhosis,0
1502,0,1.0827234823294718,5,180868.55112820613,1.0827234823294718,11,6,HCC,0
1503,327.97387880775455,0,123,0,327.97387880775455,11,7,Liver death,0
1504,0,0,1749,0,0,11,8,Natural death,0
1509,0,104.95387141999566,1770,3.2193517491880335e+07,104.95387141999566,11,13,CHD,0
1510,283.4385099659948,0,352,0,283.4385099659948,11,14,CHD death,0
1515,0,76.34731679588317,2695,1.2168423757880189e+07,76.34731679588317,11,19,T2DM,0
1516,748.1885384788768,0,731,0,748.1885384788768,11,20,T2DM death,0
1521,0,0,9122,3.078585920185993e+06,0,11,25,Overweight,0
1522,0,71.56504154083459,8873,9.62655256941029e+06,71.56504154083459,11,26,Obese,0
1635,0,0,8420,821386.2631162711,0,12,3,Steatosis,0
1636,0,349.37917591440635,3041,807734.3578866816,349.37917591440635,12,4,NASH,0
1637,0,57.48668968116916,331,405605.74281727726,57.48668968116916,12,5,Cirrhosis,0
1638,0,3.363801110149815,16,561921.7122429704,3.363801110149815,12,6,HCC,0
1639,409.34638683742025,0,149,0,409.34638683742025,12,7,Liver death,0
1640,0,0,1923,0,0,12,8,Natural death,0
1645,0,103.96944313779555,1806,3.1891554270384e+07,103.96944313779555,12,13,CHD,0
1646,267.01926517326245,0,399,0,267.01926517326245,12,14,CHD death,0
1651,0,75.99388882937288,2763,1.2112093536403302e+07,75.99388882937288,12,19,T2DM,0
1652,938.4036184781258,0,836,0,938.4036184781258,12,20,T2DM death,0
1657,0,0,9181,3.008250334007841e+06,0,12,25,Overweight,0
1658,0,70.20103503849319,8965,9.443073596759336e+06,70.20103503849319,12,26,Obese,0
1771,0,0,8423,797746.5228683803,0,13,3,Steatosis,0
1772,0,362.6271700666117,3251,838362.5715510967,362.6271700666117,13,4,NASH,0
1773,0,62.5570113269982,371,441380.138401457,62.5570113269982,13,5,Cirrhosis,0
1774,0,3.265826320533802,16,545555.0604300684,3.265826320533802,13,6,HCC,0
1775,425.91582155015624,0,182,0,425.91582155015624,13,7,Liver death,0
1776,0,0,2087,0,0,13,8,Natural death,0
1781,0,102.3944025999852,1832,3.1408426831459604e+07,102.3944025999852,13,13,CHD,0
1782,293.50928495240174,0,450,0,293.50928495240174,13,14,CHD death,0
1787,0,76.18374737962428,2853,1.2142353660668515e+07,76.18374737962428,13,19,T2DM,0
1788,886.8999565617268,0,935,0,886.8999565617268,13,20,T2DM death,0
1793,0,0,9242,2.94003652402711e+06,0,13,25,Overweight,0
1794,0,68.74173661523761,9042,9.246776456650874e+06,68.74173661523761,13,26,Obese,0
1907,0,0,8467,778557.0725933308,0,14,3,Steatosis,0
1908,0,372.8577455000584,3443,862014.7747968584,372.8577455000584,14,4,NASH,0
1909,0,66.13726369588267,404,466641.13237429166,66.13726369588267,14,5,Cirrhosis,0
1910,0,1.9816907284792484,10,331040.6920085368,1.9816907284792484,14,6,HCC,0
1911,372.37039481019553,0,210,0,372.37039481019553,14,7,Liver death,0
1912,0,0,2264,0,0,14,8,Natural death,0
1917,0,101.25702465954329,1866,3.105954787992604e+07,101.25702465954329,14,13,CHD,0
1918,316.9506393156318,0,504,0,316.9506393156318,14,14,CHD death,0
1923,0,75.28699219368671,2904,1.1999426606154084e+07,75.28699219368671,14,19,T2DM,0
1924,861.9299465525208,0,1034,0,861.9299465525208,14,20,T2DM death,0
1929,0,0,9308,2.8747885828982336e+06,0,14,25,Overweight,0
1930,0,66.84288496053503,9056,8.99135293027796e+06,66.84288496053503,14,26,Obese,0
2043,0,0,8539,762308.3614022097,0,15,3,Steatosis,0
2044,0,377.6637054037708,3592,873125.7373396782,377.6637054037708,15,4,NASH,0
2045,0,68.66119849231241,432,484449.1232954343,68.66119849231241,15,5,Cirrhosis,0
2046,0,3.463148845886065,18,578517.7141896756,3.463148845886065,15,6,HCC,0
2047,436.8492132761938,0,242,0,436.8492132761938,15,7,Liver death,0
2048,0,0,2449,0,0,15,8,Natural death,0
2053,0,100.09903685424874,1900,3.0704347064932436e+07,100.09903685424874,15,13,CHD,0
2054,284.8886846030369,0,558,0,284.8886846030369,15,14,CHD death,0
2059,0,74.67988774728275,2967,1.1902664801298061e+07,74.67988774728275,15,19,T2DM,0
2060,777.2348811589362,0,1128,0,777.2348811589362,15,20,T2DM death,0
2065,0,0,9375,2.811147208651456e+06,0,15,25,Overweight,0
2066,0,65.17548186859196,9095,8.767062645897323e+06,65.17548186859196,15,26,Obese,0
2179,0,0,8557,741665.3286429566,0,16,3,Steatosis,0
2180,0,383.9149555710614,3761,887578.0856418052,383.9149555710614,16,4,NASH,0
2181,0,71.90785350911962,466,507356.3723833009,71.90785350911962,16,5,Cirrhosis,0
2182,0,4.109453862432223,22,686482.7244969187,4.109453862432223,16,6,HCC,0
2183,538.2454932327215,0,284,0,538.2454932327215,16,7,Liver death,0
2184,0,0,2629,0,0,16,8,Natural death,0
2189,0,98.71800773055955,1930,3.0280730626121588e+07,98.71800773055955,16,13,CHD,0
2190,241.22313801414708,0,609,0,241.22313801414708,16,14,CHD death,0
2195,0,73.92209463828488,3025,1.178188586553231e+07,73.92209463828488,16,19,T2DM,0
2196,789.5309063133053,0,1218,0,789.5309063133053,16,20,T2DM death,0
2201,0,0,9324,2.7144219105205294e+06,0,16,25,Overweight,0
2202,0,63.75026717570113,9163,8.575350269737856e+06,63.75026717570113,16,26,Obese,0
2315,0,0,8537,718380.4448550467,0,17,3,Steatosis,0
2316,0,385.4183746358816,3889,891053.8601489767,385.4183746358816,17,4,NASH,0
2317,0,73.2591782281743,489,516890.8414838737,73.2591782281743,17,5,Cirrhosis,0
2318,0,4.533819353963176,25,757372.8204952759,4.533819353963176,17,6,HCC,0
2319,402.98427875423954,0,319,0,402.98427875423954,17,7,Liver death,0
2320,0,0,2793,0,0,17,8,Natural death,0
2325,0,98.07740090942282,1975,3.008423109139675e+07,98.07740090942282,17,13,CHD,0
2326,304.36001671593795,0,673,0,304.36001671593795,17,14,CHD death,0
2331,0,73.00273937318369,3077,1.163535675463277e+07,73.00273937318369,17,19,T2DM,0
2332,918.7674419658451,0,1331,0,918.7674419658451,17,20,T2DM death,0
2337,0,0,9255,2.615858727854281e+06,0,17,25,Overweight,0
2338,0,62.77833108152758,9294,8.444610543982396e+06,62.77833108152758,17,26,Obese,0
2451,0,0,8495,694025.4220684036,0,18,3,Steatosis,0
2452,0,387.2782725261001,4025,895353.7827878202,387.2782725261001,18,4,NASH,0
2453,0,76.36164268229597,525,538780.7329780172,76.36164268229597,18,5,Cirrhosis,0
2454,0,5.106048981162411,29,852963.5648296318,5.106048981162411,18,6,HCC,0
2455,391.31138226629014,0,356,0,391.31138226629014,18,7,Liver death,0
2456,0,0,2959,0,0,18,8,Natural death,0
2461,0,95.89576030913192,1989,2.941503534019242e+07,95.89576030913192,18,13,CHD,0
2462,261.92882048627143,0,736,0,261.92882048627143,18,14,CHD death,0
2467,0,71.86691956429821,3120,1.145432699056056e+07,71.86691956429821,18,19,T2DM,0
2468,784.9893050791472,0,1437,0,784.9893050791472,18,20,T2DM death,0
2473,0,0,9343,2.563816786973777e+06,0,18,25,Overweight,0
2474,0,61.0022998155575,9302,8.205708169600344e+06,61.0022998155575,18,26,Obese,0
2587,0,0,8451,670321.0731499703,0,19,3,Steatosis,0
2588,0,387.0213792620312,4143,894759.8678382499,387.0213792620312,19,4,NASH,0
2589,0,77.52666080920898,549,547000.6886822555,77.52666080920898,19,5,Cirrhosis,0
2590,0,5.982983406115989,35,999455.1312031163,5.982983406115989,19,6,HCC,0
2591,489.60846881705214,0,401,0,489.60846881705214,19,7,Liver death,0
2592,0,0,3146,0,0,19,8,Natural death,0
2597,0,94.36651719564456,2016,2.8945955788794227e+07,94.36651719564456,19,13,CHD,0
2598,276.8630177169305,0,800,0,276.8630177169305,19,14,CHD death,0
2603,0,71.45096091857695,3195,1.1388030475118138e+07,71.45096091857695,19,19,T2DM,0
2604,746.6139848580689,0,1536,0,746.6139848580689,19,20,T2DM death,0
2609,0,0,9336,2.4872775862707575e+06,0,19,25,Overweight,0
2610,0,59.42927676877915,9334,7.994113391947225e+06,59.42927676877915,19,26,Obese,0
2723,0,0,8461,651567.2414158428,0,20,3,Steatosis,0
2724,0,386.6322982018904,4263,893860.3461667717,386.6322982018904,20,4,NASH,0
2725,0,78.69613472772323,574,555252.0828755066,78.69613472772323,20,5,Cirrhosis,0
2726,0,5.476794796167197,33,914896.5140000788,5.476794796167197,20,6,HCC,0
2727,578.999066267636,0,453,0,578.999066267636,20,7,Liver death,0
2728,0,0,3325,0,0,20,8,Natural death,0
2733,0,92.48144094483644,2035,2.8367728092829823e+07,92.48144094483644,20,13,CHD,0
2734,205.08363054542383,0,857,0,205.08363054542383,20,14,CHD death,0
2739,0,70.86799350873804,3264,1.1295115690713935e+07,70.86799350873804,20,19,T2DM,0
2740,750.5160258463158,0,1646,0,750.5160258463158,20,20,T2DM death,0
2745,0,0,9334,2.4143152917042505e+06,0,20,25,Overweight,0
2746,0,58.33502373274602,9437,7.846920235218913e+06,58.33502373274602,20,26,Obese,0
2859,0,0,8377,626309.2660832916,0,21,3,Steatosis,0
2860,0,388.40304980734584,4411,897954.1703258449,388.40304980734584,21,4,NASH,0
2861,0,77.86820272608992,585,549410.4876055875,77.86820272608992,21,5,Cirrhosis,0
2862,0,4.99501731924634,31,834415.76740225,4.99501731924634,21,6,HCC,0
2863,362.28817545186706,0,494,0,362.28817545186706,21,7,Liver death,0
2864,0,0,3527,0,0,21,8,Natural death,0
2869,0,90.44963332789148,2050,2.774449206378504e+07,90.44963332789148,21,13,CHD,0
2870,210.08633459244146,0,916,0,210.08633459244146,21,14,CHD death,0
