Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,5576,0,0,2,3,Steatosis,0
276,0,0,871,0,0,2,4,NASH,0
277,0,0,96,0,0,2,5,Cirrhosis,0
278,0,0,3,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1429,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2118,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7417,0,0,2,25,Overweight,0
298,0,0,8369,0,0,2,26,Obese,0
411,0,0,6060,0,0,3,3,Steatosis,0
412,0,0,1033,0,0,3,4,NASH,0
413,0,0,108,0,0,3,5,Cirrhosis,0
414,0,0,4,0,0,3,6,HCC,0
415,0,0,10,0,0,3,7,Liver death,0
416,0,0,215,0,0,3,8,Natural death,0
421,0,0,1489,0,0,3,13,CHD,0
422,0,0,23,0,0,3,14,CHD death,0
427,0,0,2189,0,0,3,19,T2DM,0
428,0,0,64,0,0,3,20,T2DM death,0
433,0,0,7836,0,0,3,25,Overweight,0
434,0,0,8357,0,0,3,26,Obese,0
547,0,0,6494,0,0,4,3,Steatosis,0
548,0,0,1220,0,0,4,4,NASH,0
549,0,0,111,0,0,4,5,Cirrhosis,0
550,0,0,3,0,0,4,6,HCC,0
551,0,0,23,0,0,4,7,Liver death,0
552,0,0,441,0,0,4,8,Natural death,0
557,0,0,1525,0,0,4,13,CHD,0
558,0,0,61,0,0,4,14,CHD death,0
563,0,0,2277,0,0,4,19,T2DM,0
564,0,0,127,0,0,4,20,T2DM death,0
569,0,0,8114,0,0,4,25,Overweight,0
570,0,0,8393,0,0,4,26,Obese,0
683,0,0,6819,0,0,5,3,Steatosis,0
684,0,0,1421,0,0,5,4,NASH,0
685,0,0,126,0,0,5,5,Cirrhosis,0
686,0,0,5,0,0,5,6,HCC,0
687,0,0,32,0,0,5,7,Liver death,0
688,0,0,661,0,0,5,8,Natural death,0
693,0,0,1584,0,0,5,13,CHD,0
694,0,0,105,0,0,5,14,CHD death,0
699,0,0,2360,0,0,5,19,T2DM,0
700,0,0,182,0,0,5,20,T2DM death,0
705,0,0,8321,0,0,5,25,Overweight,0
706,0,0,8391,0,0,5,26,Obese,0
819,0,0,7106,0,0,6,3,Steatosis,0
820,0,0,1578,0,0,6,4,NASH,0
821,0,0,140,0,0,6,5,Cirrhosis,0
822,0,0,6,0,0,6,6,HCC,0
823,0,0,45,0,0,6,7,Liver death,0
824,0,0,888,0,0,6,8,Natural death,0
829,0,0,1597,0,0,6,13,CHD,0
830,0,0,146,0,0,6,14,CHD death,0
835,0,0,2435,0,0,6,19,T2DM,0
836,0,0,250,0,0,6,20,T2DM death,0
841,0,0,8541,0,0,6,25,Overweight,0
842,0,0,8346,0,0,6,26,Obese,0
955,0,0,7373,559309.9186087007,0,7,3,Steatosis,0
956,0,285.150063088634,1786,445893.47913778014,285.150063088634,7,4,NASH,0
957,0,26.431007439128763,157,429233.5532137449,26.431007439128763,7,5,Cirrhosis,0
958,0,2.2363618153990554,8,353787.6880925874,2.2363618153990554,7,6,HCC,0
959,202.623852275,0,57,0,202.623852275,7,7,Liver death,0
960,0,0,1095,0,0,7,8,Natural death,0
965,0,104.80555552910903,1640,1.4687499634699555e+07,104.80555552910903,7,13,CHD,0
966,204.12417713799996,0,180,0,204.12417713799996,7,14,CHD death,0
971,0,64.9594982934954,2521,2.373506268057866e+07,64.9594982934954,7,19,T2DM,0
972,662.0902969470002,0,311,0,662.0902969470002,7,20,T2DM death,0
977,0,0,8676,3.540986766905192e+06,0,7,25,Overweight,0
978,0,98.5971679681823,8391,1.443630138456996e+07,98.5971679681823,7,26,Obese,0
1091,0,0,7641,562757.4617028575,0,8,3,Steatosis,0
1092,0,306.2962875564749,1976,478960.15110854304,306.2962875564749,8,4,NASH,0
1093,0,29.583899242361795,181,480435.7994662522,29.583899242361795,8,5,Cirrhosis,0
1094,0,1.89982193055745,7,300547.7932825378,1.89982193055745,8,6,HCC,0
1095,269.3853585951457,0,71,0,269.3853585951457,8,7,Liver death,0
1096,0,0,1294,0,0,8,8,Natural death,0
1101,0,105.66176951578815,1703,1.480748986377793e+07,105.66176951578815,8,13,CHD,0
1102,252.7802248048545,0,222,0,252.7802248048545,8,14,CHD death,0
1107,0,65.56915888179861,2621,2.395782197917999e+07,65.56915888179861,8,19,T2DM,0
1108,684.7226747067962,0,376,0,684.7226747067962,8,20,T2DM death,0
1113,0,0,8768,3.474306083988735e+06,0,8,25,Overweight,0
1114,0,96.05624082806945,8420,1.4064266459564384e+07,96.05624082806945,8,26,Obese,0
1227,0,0,7807,558236.2273420475,0,9,3,Steatosis,0
1228,0,324.46385557355836,2156,507369.052803555,324.46385557355836,9,4,NASH,0
1229,0,31.419900498780517,198,510252.0425592342,31.419900498780517,9,5,Cirrhosis,0
1230,0,1.053992749269043,4,166739.41374898073,1.053992749269043,9,6,HCC,0
1231,201.12159494391554,0,87,0,201.12159494391554,9,7,Liver death,0
1232,0,0,1544,0,0,9,8,Natural death,0
1237,0,105.41539866975559,1750,1.4772963338033577e+07,105.41539866975559,9,13,CHD,0
1238,225.03050958148748,0,255,0,225.03050958148748,9,14,CHD death,0
1243,0,66.01533315332767,2718,2.4120846241674487e+07,66.01533315332767,9,19,T2DM,0
1244,728.843527462532,0,455,0,728.843527462532,9,20,T2DM death,0
1249,0,0,8763,3.3711891669166004e+06,0,9,25,Overweight,0
1250,0,93.59076113244093,8450,1.370327832291367e+07,93.59076113244093,9,26,Obese,0
1363,0,0,7948,551765.4102946253,0,10,3,Steatosis,0
1364,0,336.783862194046,2305,526634.0340400789,336.783862194046,10,4,NASH,0
1365,0,33.894175295340276,220,550433.7028686452,33.894175295340276,10,5,Cirrhosis,0
1366,0,2.302411345490628,9,364236.58343223954,2.302411345490628,10,6,HCC,0
1367,313.00434764950444,0,105,0,313.00434764950444,10,7,Liver death,0
1368,0,0,1807,0,0,10,8,Natural death,0
1373,0,103.22229051435227,1765,1.4465620134051703e+07,103.22229051435227,10,13,CHD,0
1374,241.7476359630539,0,291,0,241.7476359630539,10,14,CHD death,0
1379,0,66.8043460080513,2833,2.4409137716433354e+07,66.8043460080513,10,19,T2DM,0
1380,714.0196145835147,0,528,0,714.0196145835147,10,20,T2DM death,0
1385,0,0,8832,3.2987708383560847e+06,0,10,25,Overweight,0
1386,0,91.25193301199293,8486,1.336083412974587e+07,91.25193301199293,10,26,Obese,0
1499,0,0,8102,546074.1609546782,0,11,3,Steatosis,0
1500,0,348.25279855375277,2455,544568.1837998624,348.25279855375277,11,4,NASH,0
1501,0,37.39427989335851,250,607274.6059892405,37.39427989335851,11,5,Cirrhosis,0
1502,0,1.986978507435278,8,314335.7785822994,1.986978507435278,11,6,HCC,0
1503,406.3555701372076,0,134,0,406.3555701372076,11,7,Liver death,0
1504,0,0,2073,0,0,11,8,Natural death,0
1509,0,101.86242150925466,1794,1.4275047454819722e+07,101.86242150925466,11,13,CHD,0
1510,151.60183589944532,0,324,0,151.60183589944532,11,14,CHD death,0
1515,0,65.84302863243674,2876,2.405788918826411e+07,65.84302863243674,11,19,T2DM,0
1516,812.3628300181857,0,619,0,812.3628300181857,11,20,T2DM death,0
1521,0,0,8839,3.205228498335573e+06,0,11,25,Overweight,0
1522,0,88.52102949789891,8479,1.2960983434292605e+07,88.52102949789891,11,26,Obese,0
1635,0,0,8193,536123.8386186014,0,12,3,Steatosis,0
1636,0,361.93556031845975,2628,565964.1259272714,361.93556031845975,12,4,NASH,0
1637,0,38.919095189980986,268,632037.2598256913,38.919095189980986,12,5,Cirrhosis,0
1638,0,1.4468290102684063,6,228885.27566672285,1.4468290102684063,12,6,HCC,0
1639,386.48246281755047,0,160,0,386.48246281755047,12,7,Liver death,0
1640,0,0,2286,0,0,12,8,Natural death,0
1645,0,99.6673150462341,1808,1.3967424207072688e+07,99.6673150462341,12,13,CHD,0
1646,336.19923533383553,0,373,0,336.19923533383553,12,14,CHD death,0
1651,0,65.21444495711494,2934,2.382821572517355e+07,65.21444495711494,12,19,T2DM,0
1652,642.9987523857112,0,699,0,642.9987523857112,12,20,T2DM death,0
1657,0,0,8844,3.1136326363942698e+06,0,12,25,Overweight,0
1658,0,86.6826716681217,8552,1.269181659887292e+07,86.6826716681217,12,26,Obese,0
1771,0,0,8308,527814.6335247537,0,13,3,Steatosis,0
1772,0,371.9853145386992,2782,581679.0790477716,371.9853145386992,13,4,NASH,0
1773,0,39.90039102581018,283,647973.2811573384,39.90039102581018,13,5,Cirrhosis,0
1774,0,1.6388030860645375,7,259255.166612793,1.6388030860645375,13,6,HCC,0
1775,415.27519684390717,0,190,0,415.27519684390717,13,7,Liver death,0
1776,0,0,2493,0,0,13,8,Natural death,0
1781,0,96.87142378731052,1810,1.3575606696667869e+07,96.87142378731052,13,13,CHD,0
1782,228.88181422827859,0,415,0,228.88181422827859,13,14,CHD death,0
1787,0,64.71767904461377,2999,2.3646706163357083e+07,64.71767904461377,13,19,T2DM,0
1788,883.2923080562786,0,797,0,883.2923080562786,13,20,T2DM death,0
1793,0,0,8858,3.027729610243703e+06,0,13,25,Overweight,0
1794,0,84.96487362092064,8634,1.2440301764950301e+07,84.96487362092064,13,26,Obese,0
1907,0,0,8409,518671.1198132473,0,14,3,Steatosis,0
1908,0,375.0412058455629,2889,586457.6226396686,375.0412058455629,14,4,NASH,0
1909,0,43.392308330240816,317,704681.2244909836,43.392308330240816,14,5,Cirrhosis,0
1910,0,2.045662659442558,9,323619.4867566069,2.045662659442558,14,6,HCC,0
1911,169.40297466767112,0,207,0,169.40297466767112,14,7,Liver death,0
1912,0,0,2730,0,0,14,8,Natural death,0
1917,0,94.72542271322493,1823,1.3274865101124251e+07,94.72542271322493,14,13,CHD,0
1918,194.28960264754645,0,454,0,194.28960264754645,14,14,CHD death,0
1923,0,64.17357595368188,3063,2.3447900425827175e+07,64.17357595368188,14,19,T2DM,0
1924,585.6012011460997,0,868,0,585.6012011460997,14,20,T2DM death,0
1929,0,0,8954,2.971401084436626e+06,0,14,25,Overweight,0
1930,0,82.76723769632298,8663,1.2118530509292228e+07,82.76723769632298,14,26,Obese,0
2043,0,0,8397,502845.58650998736,0,15,3,Steatosis,0
2044,0,388.5686375243195,3083,607610.6727553963,388.5686375243195,15,4,NASH,0
2045,0,43.324530690203616,326,703580.5310222077,43.324530690203616,15,5,Cirrhosis,0
2046,0,3.5308093366861826,16,558566.5359337338,3.5308093366861826,15,6,HCC,0
2047,422.11307880769414,0,242,0,422.11307880769414,15,7,Liver death,0
2048,0,0,2986,0,0,15,8,Natural death,0
2053,0,92.37001261545574,1831,1.2944776826930173e+07,92.37001261545574,15,13,CHD,0
2054,210.73842163257905,0,492,0,210.73842163257905,15,14,CHD death,0
2059,0,63.83001668605071,3138,2.3322369888092276e+07,63.83001668605071,15,19,T2DM,0
2060,547.7085321181495,0,932,0,547.7085321181495,15,20,T2DM death,0
2065,0,0,8894,2.865524248530113e+06,0,15,25,Overweight,0
2066,0,80.90381560092233,8722,1.1845693839335062e+07,80.90381560092233,15,26,Obese,0
2179,0,0,8483,493199.6182599564,0,16,3,Steatosis,0
2180,0,393.0361814170414,3212,614596.6389093602,393.0361814170414,16,4,NASH,0
2181,0,46.70760649786705,362,758520.9131873199,46.70760649786705,16,5,Cirrhosis,0
2182,0,3.4279702297924093,16,542297.607702654,3.4279702297924093,16,6,HCC,0
2183,309.7954009214978,0,268,0,309.7954009214978,16,7,Liver death,0
2184,0,0,3221,0,0,16,8,Natural death,0
2189,0,90.95306476215751,1857,1.2746205091179896e+07,90.95306476215751,16,13,CHD,0
2190,175.934552354382,0,531,0,175.934552354382,16,14,CHD death,0
2195,0,63.94574307716651,3238,2.336465428404727e+07,63.94574307716651,16,19,T2DM,0
2196,566.0943225138079,0,1008,0,566.0943225138079,16,20,T2DM death,0
2201,0,0,8871,2.7748679276215867e+06,0,16,25,Overweight,0
2202,0,78.97065995424678,8769,1.1562646992105674e+07,78.97065995424678,16,26,Obese,0
2315,0,0,8469,478044.33161511266,0,17,3,Steatosis,0
2316,0,400.5966713834774,3372,626419.091756182,400.5966713834774,17,4,NASH,0
2317,0,50.10739312113583,400,813732.6751996157,50.10739312113583,17,5,Cirrhosis,0
2318,0,3.744142241278119,18,592315.3482189185,3.744142241278119,17,6,HCC,0
2319,232.31858879744638,0,289,0,232.31858879744638,17,7,Liver death,0
2320,0,0,3482,0,0,17,8,Natural death,0
2325,0,89.25498510415825,1877,1.2508235412657231e+07,89.25498510415825,17,13,CHD,0
2326,211.77994663098139,0,577,0,211.77994663098139,17,14,CHD death,0
2331,0,63.73215217007048,3324,2.3286611908399098e+07,63.73215217007048,17,19,T2DM,0
2332,573.5285147147061,0,1085,0,573.5285147147061,17,20,T2DM death,0
2337,0,0,8874,2.694957605912972e+06,0,17,25,Overweight,0
2338,0,76.44321622617638,8743,1.1192586267820654e+07,76.44321622617638,17,26,Obese,0
2451,0,0,8532,467573.25544102234,0,18,3,Steatosis,0
2452,0,399.8861727322264,3467,625308.0742374874,399.8861727322264,18,4,NASH,0
2453,0,51.44521186951619,423,835458.5475957195,51.44521186951619,18,5,Cirrhosis,0
2454,0,3.4331401349367874,17,543115.47571314,3.4331401349367874,18,6,HCC,0
2455,346.4794368967395,0,318,0,346.4794368967395,18,7,Liver death,0
2456,0,0,3739,0,0,18,8,Natural death,0
2461,0,87.48633006211375,1895,1.226037526676344e+07,87.48633006211375,18,13,CHD,0
2462,200.67755516603566,0,623,0,200.67755516603566,18,14,CHD death,0
2467,0,63.56983037771499,3415,2.322730236911276e+07,63.56983037771499,18,19,T2DM,0
2468,584.4675533604632,0,1163,0,584.4675533604632,18,20,T2DM death,0
2473,0,0,8911,2.627372998274195e+06,0,18,25,Overweight,0
2474,0,74.19124867902168,8740,1.0862859939076638e+07,74.19124867902168,18,26,Obese,0
2587,0,0,8447,449432.09672208835,0,19,3,Steatosis,0
2588,0,401.4527904556569,3585,627757.818135851,401.4527904556569,19,4,NASH,0
2589,0,53.01682418557305,449,860981.1743911513,53.01682418557305,19,5,Cirrhosis,0
2590,0,4.117415353150915,21,651366.3615063356,4.117415353150915,19,6,HCC,0
2591,413.538685721157,0,359,0,413.538685721157,19,7,Liver death,0
2592,0,0,4016,0,0,19,8,Natural death,0
2597,0,86.46214139908658,1929,1.2116844987876307e+07,86.46214139908658,19,13,CHD,0
2598,178.345794027546,0,660,0,178.345794027546,19,14,CHD death,0
2603,0,62.51348086725254,3459,2.284133076369612e+07,62.51348086725254,19,19,T2DM,0
2604,749.9649822771161,0,1261,0,749.9649822771161,19,20,T2DM death,0
2609,0,0,8914,2.551706345993414e+06,0,19,25,Overweight,0
2610,0,71.52760961602036,8679,1.0472857902650086e+07,71.52760961602036,19,26,Obese,0
2723,0,0,8527,440474.3556625215,0,20,3,Steatosis,0
2724,0,395.19597386795834,3635,617973.9391271347,395.19597386795834,20,4,NASH,0
2725,0,54.68252024243463,477,888031.6997525843,54.68252024243463,20,5,Cirrhosis,0
2726,0,4.37820402785349,23,692622.5758042407,4.37820402785349,20,6,HCC,0
2727,375.3526487011633,0,397,0,375.3526487011633,20,7,Liver death,0
2728,0,0,4280,0,0,20,8,Natural death,0
2733,0,83.94382660105792,1929,1.1763927172695478e+07,83.94382660105792,20,13,CHD,0
2734,200.15958790087038,0,710,0,200.15958790087038,20,14,CHD death,0
2739,0,61.32436717247231,3495,2.2406849451164167e+07,61.32436717247231,20,19,T2DM,0
2740,511.9078906708359,0,1331,0,511.9078906708359,20,20,T2DM death,0
2745,0,0,8918,2.478496484592305e+06,0,20,25,Overweight,0
2746,0,69.50029108592695,8686,1.017602400867261e+07,69.50029108592695,20,26,Obese,0
2859,0,0,8566,429600.9284733865,0,21,3,Steatosis,0
2860,0,392.12965716794656,3715,613179.0931897801,392.12965716794656,21,4,NASH,0
2861,0,56.09490993911618,504,910968.5873995996,56.09490993911618,21,5,Cirrhosis,0
2862,0,4.6203081762911475,25,730922.9377419165,4.6203081762911475,21,6,HCC,0
2863,288.4392640759156,0,423,0,288.4392640759156,21,7,Liver death,0
2864,0,0,4549,0,0,21,8,Natural death,0
2869,0,83.146582690808,1968,1.165220103774552e+07,83.146582690808,21,13,CHD,0
2870,189.17500715497013,0,751,0,189.17500715497013,21,14,CHD death,0
