Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,4508,0,0,2,3,Steatosis,0
276,0,0,826,0,0,2,4,NASH,0
277,0,0,54,0,0,2,5,Cirrhosis,0
278,0,0,6,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1469,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2218,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7587,0,0,2,25,Overweight,0
298,0,0,8302,0,0,2,26,Obese,0
411,0,0,5129,0,0,3,3,Steatosis,0
412,0,0,966,0,0,3,4,NASH,0
413,0,0,63,0,0,3,5,Cirrhosis,0
414,0,0,5,0,0,3,6,HCC,0
415,0,0,7,0,0,3,7,Liver death,0
416,0,0,258,0,0,3,8,Natural death,0
421,0,0,1488,0,0,3,13,CHD,0
422,0,0,54,0,0,3,14,CHD death,0
427,0,0,2313,0,0,3,19,T2DM,0
428,0,0,57,0,0,3,20,T2DM death,0
433,0,0,7887,0,0,3,25,Overweight,0
434,0,0,8182,0,0,3,26,Obese,0
547,0,0,5623,0,0,4,3,Steatosis,0
548,0,0,1163,0,0,4,4,NASH,0
549,0,0,78,0,0,4,5,Cirrhosis,0
550,0,0,5,0,0,4,6,HCC,0
551,0,0,10,0,0,4,7,Liver death,0
552,0,0,489,0,0,4,8,Natural death,0
557,0,0,1508,0,0,4,13,CHD,0
558,0,0,100,0,0,4,14,CHD death,0
563,0,0,2431,0,0,4,19,T2DM,0
564,0,0,121,0,0,4,20,T2DM death,0
569,0,0,8114,0,0,4,25,Overweight,0
570,0,0,8168,0,0,4,26,Obese,0
683,0,0,5973,0,0,5,3,Steatosis,0
684,0,0,1377,0,0,5,4,NASH,0
685,0,0,95,0,0,5,5,Cirrhosis,0
686,0,0,5,0,0,5,6,HCC,0
687,0,0,20,0,0,5,7,Liver death,0
688,0,0,705,0,0,5,8,Natural death,0
693,0,0,1525,0,0,5,13,CHD,0
694,0,0,152,0,0,5,14,CHD death,0
699,0,0,2541,0,0,5,19,T2DM,0
700,0,0,177,0,0,5,20,T2DM death,0
705,0,0,8316,0,0,5,25,Overweight,0
706,0,0,8157,0,0,5,26,Obese,0
819,0,0,6351,0,0,6,3,Steatosis,0
820,0,0,1526,0,0,6,4,NASH,0
821,0,0,108,0,0,6,5,Cirrhosis,0
822,0,0,6,0,0,6,6,HCC,0
823,0,0,36,0,0,6,7,Liver death,0
824,0,0,920,0,0,6,8,Natural death,0
829,0,0,1546,0,0,6,13,CHD,0
830,0,0,206,0,0,6,14,CHD death,0
835,0,0,2652,0,0,6,19,T2DM,0
836,0,0,235,0,0,6,20,T2DM death,0
841,0,0,8482,0,0,6,25,Overweight,0
842,0,0,8139,0,0,6,26,Obese,0
955,0,0,6694,1.04E+06,0,7,3,Steatosis,0
956,0,321.1499936,1706,373104.5943,321.1499936,7,4,NASH,0
957,0,27.32252077,127,399944.4686,27.32252077,7,5,Cirrhosis,0
958,0,2.06428919,7,513900.7576,2.06428919,7,6,HCC,0
959,155.6137877,0,45,0,155.6137877,7,7,Liver death,0
960,0,0,1105,0,0,7,8,Natural death,0
965,0,92.65501209,1574,3.48E+07,92.65501209,7,13,CHD,0
966,399.7247607,0,253,0,399.7247607,7,14,CHD death,0
971,0,94.43139959,2767,2.49E+07,94.43139959,7,19,T2DM,0
972,551.0854749,0,295,0,551.0854749,7,20,T2DM death,0
977,0,0,8600,3.12E+06,0,7,25,Overweight,0
978,0,100.452016,8162,6.05E+06,100.452016,7,26,Obese,0
1091,0,0,6895,1.04E+06,0,8,3,Steatosis,0
1092,0,356.3906301,1950,414046.3463,356.3906301,8,4,NASH,0
1093,0,30.70415529,147,449444.5141,30.70415529,8,5,Cirrhosis,0
1094,0,1.717855081,6,427656.6638,1.717855081,8,6,HCC,0
1095,187.1185928,0,57,0,187.1185928,8,7,Liver death,0
1096,0,0,1300,0,0,8,8,Natural death,0
1101,0,90.98504784,1592,3.42E+07,90.98504784,8,13,CHD,0
1102,364.0408356,0,303,0,364.0408356,8,14,CHD death,0
1107,0,94.92807388,2865,2.50E+07,94.92807388,8,19,T2DM,0
1108,783.8960539,0,378,0,783.8960539,8,20,T2DM death,0
1113,0,0,8772,3.09E+06,0,8,25,Overweight,0
1114,0,97.22750879,8137,5.86E+06,97.22750879,8,26,Obese,0
1227,0,0,7128,1.05E+06,0,9,3,Steatosis,0
1228,0,378.8369407,2135,440123.9479,378.8369407,9,4,NASH,0
1229,0,36.29908062,179,531342.5006,36.29908062,9,5,Cirrhosis,0
1230,0,1.389850389,5,346000.537,1.389850389,9,6,HCC,0
1231,162.0904405,0,68,0,162.0904405,9,7,Liver death,0
1232,0,0,1487,0,0,9,8,Natural death,0
1237,0,87.94659024,1585,3.31E+07,87.94659024,9,13,CHD,0
1238,412.5770511,0,357,0,412.5770511,9,14,CHD death,0
1243,0,96.60245204,3003,2.54E+07,96.60245204,9,19,T2DM,0
1244,650.6405395,0,446,0,650.6405395,9,20,T2DM death,0
1249,0,0,8861,3.03E+06,0,9,25,Overweight,0
1250,0,94.82486888,8174,5.72E+06,94.82486888,9,26,Obese,0
1363,0,0,7315,1.04E+06,0,10,3,Steatosis,0
1364,0,399.845633,2321,464531.3581,399.845633,10,4,NASH,0
1365,0,40.75451369,207,596560.7074,40.75451369,10,5,Cirrhosis,0
1366,0,3.238486344,12,806214.8436,3.238486344,10,6,HCC,0
1367,187.0382322,0,82,0,187.0382322,10,7,Liver death,0
1368,0,0,1687,0,0,10,8,Natural death,0
1373,0,84.8463322,1575,3.19E+07,84.8463322,10,13,CHD,0
1374,347.7153349,0,410,0,347.7153349,10,14,CHD death,0
1379,0,96.56840949,3092,2.54E+07,96.56840949,10,19,T2DM,0
1380,795.4022358,0,533,0,795.4022358,10,20,T2DM death,0
1385,0,0,8937,2.97E+06,0,10,25,Overweight,0
1386,0,91.75888108,8147,5.53E+06,91.75888108,10,26,Obese,0
1499,0,0,7432,1.03E+06,0,11,3,Steatosis,0
1500,0,421.4834563,2520,489669.6781,421.4834563,11,4,NASH,0
1501,0,45.30190772,237,663125.03,45.30190772,11,5,Cirrhosis,0
1502,0,3.668188416,14,913188.3342,3.668188416,11,6,HCC,0
1503,185.6337846,0,97,0,185.6337846,11,7,Liver death,0
1504,0,0,1883,0,0,11,8,Natural death,0
1509,0,82.32277817,1574,3.09E+07,82.32277817,11,13,CHD,0
1510,365.0868259,0,467,0,365.0868259,11,14,CHD death,0
1515,0,97.60663603,3219,2.57E+07,97.60663603,11,19,T2DM,0
1516,689.1704718,0,603,0,689.1704718,11,20,T2DM death,0
1521,0,0,9007,2.90E+06,0,11,25,Overweight,0
1522,0,89.62210038,8196,5.40E+06,89.62210038,11,26,Obese,0
1635,0,0,7559,1.01E+06,0,12,3,Steatosis,0
1636,0,438.2739438,2699,509176.476,438.2739438,12,4,NASH,0
1637,0,48.62193201,262,711723.2308,48.62193201,12,5,Cirrhosis,0
1638,0,2.798201982,11,696606.9123,2.798201982,12,6,HCC,0
1639,320.0670289,0,120,0,320.0670289,12,7,Liver death,0
1640,0,0,2038,0,0,12,8,Natural death,0
1645,0,79.06179643,1557,2.97E+07,79.06179643,12,13,CHD,0
1646,402.1091327,0,532,0,402.1091327,12,14,CHD death,0
1651,0,98.11975554,3333,2.58E+07,98.11975554,12,19,T2DM,0
1652,618.0409021,0,672,0,618.0409021,12,20,T2DM death,0
1657,0,0,9141,2.86E+06,0,12,25,Overweight,0
1658,0,87.09667888,8204,5.25E+06,87.09667888,12,26,Obese,0
1771,0,0,7697,1.00E+06,0,13,3,Steatosis,0
1772,0,449.4721216,2851,522186.2585,449.4721216,13,4,NASH,0
1773,0,51.52995091,286,754290.5359,51.52995091,13,5,Cirrhosis,0
1774,0,2.963673767,12,737800.7898,2.963673767,13,6,HCC,0
1775,269.3123949,0,138,0,269.3123949,13,7,Liver death,0
1776,0,0,2210,0,0,13,8,Natural death,0
1781,0,77.99150841,1582,2.93E+07,77.99150841,13,13,CHD,0
1782,340.0831753,0,586,0,340.0831753,13,14,CHD death,0
1787,0,98.49159992,3446,2.59E+07,98.49159992,13,19,T2DM,0
1788,793.6018324,0,757,0,793.6018324,13,20,T2DM death,0
1793,0,0,9194,2.79E+06,0,13,25,Overweight,0
1794,0,84.99278283,8246,5.12E+06,84.99278283,13,26,Obese,0
1907,0,0,7787,985369.4361,0,14,3,Steatosis,0
1908,0,461.6359849,3016,536317.952,461.6359849,14,4,NASH,0
1909,0,53.87746922,308,788653.2862,53.87746922,14,5,Cirrhosis,0
1910,0,2.877353172,12,716311.4464,2.877353172,14,6,HCC,0
1911,382.7900968,0,170,0,382.7900968,14,7,Liver death,0
1912,0,0,2371,0,0,14,8,Natural death,0
1917,0,76.29427197,1594,2.87E+07,76.29427197,14,13,CHD,0
1918,283.6705121,0,637,0,283.6705121,14,14,CHD death,0
1923,0,97.50984175,3514,2.57E+07,97.50984175,14,19,T2DM,0
1924,745.8882272,0,849,0,745.8882272,14,20,T2DM death,0
1929,0,0,9280,2.74E+06,0,14,25,Overweight,0
1930,0,82.89752878,8284,5.00E+06,82.89752878,14,26,Obese,0
2043,0,0,7917,972640.4632,0,15,3,Steatosis,0
2044,0,468.251844,3151,544004.1033,468.251844,15,4,NASH,0
2045,0,55.36519658,326,810430.4984,55.36519658,15,5,Cirrhosis,0
2046,0,2.793546769,12,695448.0062,2.793546769,15,6,HCC,0
2047,353.3081783,0,200,0,353.3081783,15,7,Liver death,0
2048,0,0,2505,0,0,15,8,Natural death,0
2053,0,75.18737258,1618,2.83E+07,75.18737258,15,13,CHD,0
2054,377.6954729,0,712,0,377.6954729,15,14,CHD death,0
2059,0,97.28300074,3611,2.56E+07,97.28300074,15,19,T2DM,0
2060,774.9797631,0,940,0,774.9797631,15,20,T2DM death,0
2065,0,0,9313,2.67E+06,0,15,25,Overweight,0
2066,0,80.98824262,8336,4.88E+06,80.98824262,15,26,Obese,0
2179,0,0,8058,961129.0994,0,16,3,Steatosis,0
2180,0,472.7922074,3277,549278.9919,472.7922074,16,4,NASH,0
2181,0,58.20452199,353,851992.2745,58.20452199,16,5,Cirrhosis,0
2182,0,2.712181329,12,675192.239,2.712181329,16,6,HCC,0
2183,479.7148444,0,238,0,479.7148444,16,7,Liver death,0
2184,0,0,2646,0,0,16,8,Natural death,0
2189,0,71.77932109,1591,2.70E+07,71.77932109,16,13,CHD,0
2190,363.0969352,0,779,0,363.0969352,16,14,CHD death,0
2195,0,96.75124814,3699,2.55E+07,96.75124814,16,19,T2DM,0
2196,786.8541032,0,1044,0,786.8541032,16,20,T2DM death,0
2201,0,0,9381,2.61E+06,0,16,25,Overweight,0
2202,0,79.11985203,8388,4.77E+06,79.11985203,16,26,Obese,0
2315,0,0,8114,939619.9776,0,17,3,Steatosis,0
2316,0,476.6708485,3403,553785.107,476.6708485,17,4,NASH,0
2317,0,61.47181288,384,899818.5687,61.47181288,17,5,Cirrhosis,0
2318,0,3.291482195,15,819408.057,3.291482195,17,6,HCC,0
2319,480.9100546,0,277,0,480.9100546,17,7,Liver death,0
2320,0,0,2785,0,0,17,8,Natural death,0
2325,0,70.34568823,1606,2.64E+07,70.34568823,17,13,CHD,0
2326,404.8370117,0,854,0,404.8370117,17,14,CHD death,0
2331,0,95.88860621,3776,2.53E+07,95.88860621,17,19,T2DM,0
2332,935.1364323,0,1163,0,935.1364323,17,20,T2DM death,0
2337,0,0,9454,2.55E+06,0,17,25,Overweight,0
2338,0,76.87033695,8394,4.63E+06,76.87033695,17,26,Obese,0
2451,0,0,8140,915175.5706,0,18,3,Steatosis,0
2452,0,481.9623711,3544,559932.6748,481.9623711,18,4,NASH,0
2453,0,63.87771818,411,935035.9824,63.87771818,18,5,Cirrhosis,0
2454,0,4.047777457,19,1.01E+06,4.047777457,18,6,HCC,0
2455,385.0325567,0,312,0,385.0325567,18,7,Liver death,0
2456,0,0,2904,0,0,18,8,Natural death,0
2461,0,68.42436274,1609,2.57E+07,68.42436274,18,13,CHD,0
2462,242.4577061,0,905,0,242.4577061,18,14,CHD death,0
2467,0,95.4132657,3870,2.51E+07,95.4132657,18,19,T2DM,0
2468,761.4289152,0,1270,0,761.4289152,18,20,T2DM death,0
2473,0,0,9434,2.47E+06,0,18,25,Overweight,0
2474,0,75.44937083,8486,4.55E+06,75.44937083,18,26,Obese,0
2587,0,0,8161,890812.222,0,19,3,Steatosis,0
2588,0,483.7685813,3664,562031.0878,483.7685813,19,4,NASH,0
2589,0,67.90204611,450,993943.7131,67.90204611,19,5,Cirrhosis,0
2590,0,3.516209339,17,875353.4401,3.516209339,19,6,HCC,0
2591,370.6219236,0,347,0,370.6219236,19,7,Liver death,0
2592,0,0,3034,0,0,19,8,Natural death,0
2597,0,66.39013274,1608,2.50E+07,66.39013274,19,13,CHD,0
2598,291.0780069,0,975,0,291.0780069,19,14,CHD death,0
2603,0,94.04649179,3929,2.48E+07,94.04649179,19,19,T2DM,0
2604,846.0590906,0,1386,0,846.0590906,19,20,T2DM death,0
2609,0,0,9495,2.42E+06,0,19,25,Overweight,0
2610,0,73.42445791,8506,4.43E+06,73.42445791,19,26,Obese,0
2723,0,0,8256,874933.9096,0,20,3,Steatosis,0
2724,0,479.0359065,3737,556532.7763,479.0359065,20,4,NASH,0
2725,0,71.93075435,491,1.05E+06,71.93075435,20,5,Cirrhosis,0
2726,0,3.815418472,19,949840.9687,3.815418472,20,6,HCC,0
2727,283.0346765,0,378,0,283.0346765,20,7,Liver death,0
2728,0,0,3160,0,0,20,8,Natural death,0
2733,0,65.53873052,1635,2.46E+07,65.53873052,20,13,CHD,0
2734,270.8346018,0,1046,0,270.8346018,20,14,CHD death,0
2739,0,93.3290941,4016,2.46E+07,93.3290941,20,19,T2DM,0
2740,755.8477675,0,1500,0,755.8477675,20,20,T2DM death,0
2745,0,0,9563,2.36E+06,0,20,25,Overweight,0
2746,0,71.70491439,8556,4.32E+06,71.70491439,20,26,Obese,0
2859,0,0,8259,849759.0642,0,21,3,Steatosis,0
2860,0,479.1466703,3850,556661.4591,479.1466703,21,4,NASH,0
2861,0,74.10262989,521,1.08E+06,74.10262989,21,5,Cirrhosis,0
2862,0,3.899252399,20,970711.2609,3.899252399,21,6,HCC,0
2863,391.5191403,0,420,0,391.5191403,21,7,Liver death,0
2864,0,0,3310,0,0,21,8,Natural death,0
2869,0,63.39633147,1629,2.38E+07,63.39633147,21,13,CHD,0
2870,279.75109,0,1119,0,279.75109,21,14,CHD death,0
2875,0,93.07007725,4125,2.45E+07,93.07007725,21,19,T2DM,0
2876,628.6975788,0,1603,0,628.6975788,21,20,T2DM death,0
2881,0,0,9621,2.31E+06,0,21,25,Overweight,0
2882,0,69.6245583,8557,4.20E+06,69.6245583,21,26,Obese,0
2995,0,0,8225,821612.469,0,22,3,Steatosis,0
2996,0,481.623661,3986,559539.1693,481.623661,22,4,NASH,0
2997,0,73.46327843,532,1.08E+06,73.46327843,22,5,Cirrhosis,0
2998,0,3.974966037,21,989560.0232,3.974966037,22,6,HCC,0
2999,437.682264,0,466,0,437.682264,22,7,Liver death,0
3000,0,0,3422,0,0,22,8,Natural death,0
3005,0,62.3055127,1649,2.34E+07,62.3055127,22,13,CHD,0
3006,277.9658482,0,1197,0,277.9658482,22,14,CHD death,0
3011,0,91.80504708,4191,2.42E+07,91.80504708,22,19,T2DM,0
3012,755.2190762,0,1724,0,755.2190762,22,20,T2DM death,0
3017,0,0,9668,2.25E+06,0,22,25,Overweight,0
3018,0,67.8573445,8590,4.09E+06,67.8573445,22,26,Obese,0
3131,0,0,8229,798069.9392,0,23,3,Steatosis,0
3132,0,480.9690738,4100,558778.6851,480.9690738,23,4,NASH,0
3133,0,75.74777778,565,1.11E+06,75.74777778,23,5,Cirrhosis,0
3134,0,2.572793552,14,640491.9244,2.572793552,23,6,HCC,0
3135,288.7412127,0,498,0,288.7412127,23,7,Liver death,0
3136,0,0,3549,0,0,23,8,Natural death,0
3141,0,60.6375223,1653,2.28E+07,60.6375223,23,13,CHD,0
3142,193.0117608,0,1268,0,193.0117608,23,14,CHD death,0
3147,0,90.30081332,4246,2.38E+07,90.30081332,23,19,T2DM,0
3148,788.2920574,0,1859,0,788.2920574,23,20,T2DM death,0
3153,0,0,9641,2.18E+06,0,23,25,Overweight,0
