Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,6721,0,0,2,3,Steatosis,0
276,0,0,706,0,0,2,4,NASH,0
277,0,0,69,0,0,2,5,Cirrhosis,0
278,0,0,4,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1487,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2066,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7518,0,0,2,25,Overweight,0
298,0,0,8413,0,0,2,26,Obese,0
411,0,0,6885,0,0,3,3,Steatosis,0
412,0,0,802,0,0,3,4,NASH,0
413,0,0,74,0,0,3,5,Cirrhosis,0
414,0,0,2,0,0,3,6,HCC,0
415,0,0,7,0,0,3,7,Liver death,0
416,0,0,203,0,0,3,8,Natural death,0
421,0,0,1622,0,0,3,13,CHD,0
422,0,0,38,0,0,3,14,CHD death,0
427,0,0,2271,0,0,3,19,T2DM,0
428,0,0,50,0,0,3,20,T2DM death,0
433,0,0,7655,0,0,3,25,Overweight,0
434,0,0,8319,0,0,3,26,Obese,0
547,0,0,7134,0,0,4,3,Steatosis,0
548,0,0,896,0,0,4,4,NASH,0
549,0,0,74,0,0,4,5,Cirrhosis,0
550,0,0,4,0,0,4,6,HCC,0
551,0,0,15,0,0,4,7,Liver death,0
552,0,0,377,0,0,4,8,Natural death,0
557,0,0,1738,0,0,4,13,CHD,0
558,0,0,69,0,0,4,14,CHD death,0
563,0,0,2499,0,0,4,19,T2DM,0
564,0,0,102,0,0,4,20,T2DM death,0
569,0,0,7820,0,0,4,25,Overweight,0
570,0,0,8187,0,0,4,26,Obese,0
683,0,0,7330,0,0,5,3,Steatosis,0
684,0,0,1006,0,0,5,4,NASH,0
685,0,0,78,0,0,5,5,Cirrhosis,0
686,0,0,4,0,0,5,6,HCC,0
687,0,0,23,0,0,5,7,Liver death,0
688,0,0,587,0,0,5,8,Natural death,0
693,0,0,1832,0,0,5,13,CHD,0
694,0,0,117,0,0,5,14,CHD death,0
699,0,0,2722,0,0,5,19,T2DM,0
700,0,0,155,0,0,5,20,T2DM death,0
705,0,0,7941,0,0,5,25,Overweight,0
706,0,0,8096,0,0,5,26,Obese,0
819,0,0,7460,0,0,6,3,Steatosis,0
820,0,0,1091,0,0,6,4,NASH,0
821,0,0,85,0,0,6,5,Cirrhosis,0
822,0,0,2,0,0,6,6,HCC,0
823,0,0,33,0,0,6,7,Liver death,0
824,0,0,769,0,0,6,8,Natural death,0
829,0,0,1904,0,0,6,13,CHD,0
830,0,0,167,0,0,6,14,CHD death,0
835,0,0,2943,0,0,6,19,T2DM,0
836,0,0,205,0,0,6,20,T2DM death,0
841,0,0,8021,0,0,6,25,Overweight,0
842,0,0,7999,0,0,6,26,Obese,0
955,0,0,7620,297355.47838685394,0,7,3,Steatosis,0
956,0,184.0353487570228,1185,508428.33980660443,184.0353487570228,7,4,NASH,0
957,0,17.01557424103736,90,249652.50888246414,17.01557424103736,7,5,Cirrhosis,0
958,0,0.2944952440427699,1,63447.31501432201,0.2944952440427699,7,6,HCC,0
959,154.88453356,0,42,0,154.88453356,7,7,Liver death,0
960,0,0,958,0,0,7,8,Natural death,0
965,0,162.32452082303206,1980,2.671315937441584e+07,162.32452082303206,7,13,CHD,0
966,314.33805305900006,0,218,0,314.33805305900006,7,14,CHD death,0
971,0,64.06338664322003,3160,2.9577021937278755e+07,64.06338664322003,7,19,T2DM,0
972,573.24322153,0,260,0,573.24322153,7,20,T2DM death,0
977,0,0,8128,3.6671015914202e+06,0,7,25,Overweight,0
978,0,94.01550846280942,7932,5.66916823138251e+06,94.01550846280942,7,26,Obese,0
1091,0,0,7712,292180.1912849768,0,8,3,Steatosis,0
1092,0,190.73754961094616,1265,526944.2872929241,190.73754961094616,8,4,NASH,0
1093,0,19.089748878833678,104,280084.79960923677,19.089748878833678,8,5,Cirrhosis,0
1094,0,1.1436708506515336,4,246397.33986144472,1.1436708506515336,8,6,HCC,0
1095,147.71750866990294,0,50,0,147.71750866990294,8,7,Liver death,0
1096,0,0,1175,0,0,8,8,Natural death,0
1101,0,163.56619117943058,2055,2.691749657469021e+07,163.56619117943058,8,13,CHD,0
1102,307.33857337281563,0,259,0,307.33857337281563,8,14,CHD death,0
1107,0,66.4095694156952,3374,3.066021630096428e+07,66.4095694156952,8,19,T2DM,0
1108,667.038210554369,0,331,0,667.038210554369,8,20,T2DM death,0
1113,0,0,8246,3.611980128962681e+06,0,8,25,Overweight,0
1114,0,89.8502673302748,7808,5.418002725917622e+06,89.8502673302748,8,26,Obese,0
1227,0,0,7775,285987.4142983245,0,9,3,Steatosis,0
1228,0,198.64987514643826,1357,548803.4060067289,198.64987514643826,9,4,NASH,0
1229,0,20.850453872512553,117,305917.8636508653,20.850453872512553,9,5,Cirrhosis,0
1230,0,1.1103600491762462,4,239220.71831208223,1.1103600491762462,9,6,HCC,0
1231,196.24711276180602,0,61,0,196.24711276180602,9,7,Liver death,0
1232,0,0,1366,0,0,9,8,Natural death,0
1237,0,164.21144556553577,2125,2.7023683755565904e+07,164.21144556553577,9,13,CHD,0
1238,308.77392253369794,0,308,0,308.77392253369794,9,14,CHD death,0
1243,0,68.25898272710054,3572,3.1514060297490805e+07,68.25898272710054,9,19,T2DM,0
1244,728.4527374794986,0,406,0,728.4527374794986,9,20,T2DM death,0
1249,0,0,8356,3.5535565296279755e+06,0,9,25,Overweight,0
1250,0,86.55175933664493,7747,5.219101533612636e+06,86.55175933664493,9,26,Obese,0
1363,0,0,7871,281085.99730803835,0,10,3,Steatosis,0
1364,0,204.51822648168698,1439,565015.7051489337,204.51822648168698,10,4,NASH,0
1365,0,21.108251368737193,122,309700.268570289,21.108251368737193,10,5,Cirrhosis,0
1366,0,1.3475243315245704,5,290316.4057185464,1.3475243315245704,10,6,HCC,0
1367,195.48471559776596,0,73,0,195.48471559776596,10,7,Liver death,0
1368,0,0,1547,0,0,10,8,Natural death,0
1373,0,162.35457142379016,2164,2.6718104693108946e+07,162.35457142379016,10,13,CHD,0
1374,395.1591115978647,0,368,0,395.1591115978647,10,14,CHD death,0
1379,0,69.05378774238132,3722,3.188100882463867e+07,69.05378774238132,10,19,T2DM,0
1380,927.5071472673415,0,503,0,927.5071472673415,10,20,T2DM death,0
1385,0,0,8468,3.496297839920495e+06,0,10,25,Overweight,0
1386,0,82.65327964664435,7620,4.984021836968412e+06,82.65327964664435,10,26,Obese,0
1499,0,0,7912,274320.55618960375,0,11,3,Steatosis,0
1500,0,208.7723248121294,1513,576768.3611801218,208.7723248121294,11,4,NASH,0
1501,0,21.66930150061358,129,317931.99622447323,21.66930150061358,11,5,Cirrhosis,0
1502,0,1.8315864700333973,7,394604.82330676215,1.8315864700333973,11,6,HCC,0
1503,238.9502682622271,0,89,0,238.9502682622271,11,7,Liver death,0
1504,0,0,1732,0,0,11,8,Natural death,0
1509,0,159.5924779666916,2191,2.6263556961489655e+07,159.5924779666916,11,13,CHD,0
1510,269.60447103386065,0,421,0,269.60447103386065,11,14,CHD death,0
1515,0,69.47419941319265,3857,3.2075106043997977e+07,69.47419941319265,11,19,T2DM,0
1516,887.536468107256,0,603,0,887.536468107256,11,20,T2DM death,0
1521,0,0,8499,3.4068905143154627e+06,0,11,25,Overweight,0
1522,0,79.83519519420183,7581,4.81409035319125e+06,79.83519519420183,11,26,Obese,0
1635,0,0,7982,268686.9495893161,0,12,3,Steatosis,0
1636,0,206.84454437588286,1544,571442.546257401,206.84454437588286,12,4,NASH,0
1637,0,23.158281125063038,142,339778.3055909924,23.158281125063038,12,5,Cirrhosis,0
1638,0,1.0161367378826058,4,218920.8451077737,1.0161367378826058,12,6,HCC,0
1639,207.5168425208351,0,105,0,207.5168425208351,12,7,Liver death,0
1640,0,0,1903,0,0,12,8,Natural death,0
1645,0,157.136425731926,2222,2.5859373327084266e+07,157.136425731926,12,13,CHD,0
1646,278.0192627982416,0,474,0,278.0192627982416,12,14,CHD death,0
1651,0,70.1088338810169,4009,3.2368106438773654e+07,70.1088338810169,12,19,T2DM,0
1652,754.9019311791571,0,697,0,754.9019311791571,12,20,T2DM death,0
1657,0,0,8590,3.343076286298626e+06,0,12,25,Overweight,0
1658,0,77.17249861058426,7548,4.65352881256334e+06,77.17249861058426,12,26,Obese,0
1771,0,0,8056,263279.52284523775,0,13,3,Steatosis,0
1772,0,211.48525400874226,1626,584263.2804810017,211.48525400874226,13,4,NASH,0
1773,0,24.22546842701111,153,355436.0779120871,24.22546842701111,13,5,Cirrhosis,0
1774,0,0.7399053916620916,3,159408.3823600294,0.7399053916620916,13,6,HCC,0
1775,174.00753045405145,0,118,0,174.00753045405145,13,7,Liver death,0
1776,0,0,2068,0,0,13,8,Natural death,0
1781,0,155.16866732242744,2260,2.553554644167646e+07,155.16866732242744,13,13,CHD,0
1782,291.91990528995575,0,524,0,291.91990528995575,13,14,CHD death,0
1787,0,70.2400777294283,4137,3.2428699585447904e+07,70.2400777294283,13,19,T2DM,0
1788,1234.9380449796633,0,822,0,1234.9380449796633,13,20,T2DM death,0
1793,0,0,8628,3.2600633156850487e+06,0,13,25,Overweight,0
1794,0,74.22990525490164,7478,4.476089398123849e+06,74.22990525490164,13,26,Obese,0
1907,0,0,8117,257546.6741227718,0,14,3,Steatosis,0
1908,0,213.1546285283756,1688,588875.205968504,213.1546285283756,14,4,NASH,0
1909,0,23.366147603944974,152,342828.12261334626,23.366147603944974,14,5,Cirrhosis,0
1910,0,0.9578063322486623,4,206353.89302269177,0.9578063322486623,14,6,HCC,0
1911,149.37088350888473,0,129,0,149.37088350888473,14,7,Liver death,0
1912,0,0,2257,0,0,14,8,Natural death,0
1917,0,152.51564173628287,2288,2.5098947615155235e+07,152.51564173628287,14,13,CHD,0
1918,391.3779355346455,0,593,0,391.3779355346455,14,14,CHD death,0
1923,0,70.32068442112647,4266,3.2465914381819963e+07,70.32068442112647,14,19,T2DM,0
1924,879.6902932539722,0,930,0,879.6902932539722,14,20,T2DM death,0
1929,0,0,8694,3.1893215661098873e+06,0,14,25,Overweight,0
1930,0,71.56672860753399,7426,4.31549890948262e+06,71.56672860753399,14,26,Obese,0
2043,0,0,8111,249860.48384728163,0,15,3,Steatosis,0
2044,0,214.42474882445063,1749,592384.1250856536,214.42474882445063,15,4,NASH,0
2045,0,25.521277722755563,171,374448.19217477227,25.521277722755563,15,5,Cirrhosis,0
2046,0,1.3948635906533915,6,300515.37818838604,1.3948635906533915,15,6,HCC,0
2047,98.71395033029428,0,137,0,98.71395033029428,15,7,Liver death,0
2048,0,0,2445,0,0,15,8,Natural death,0
2053,0,149.36778681824566,2308,2.45809165149433e+07,149.36778681824566,15,13,CHD,0
2054,269.81931511564784,0,650,0,269.81931511564784,15,14,CHD death,0
2059,0,70.72110124693286,4419,3.2650780306979176e+07,70.72110124693286,15,19,T2DM,0
2060,864.9420093374737,0,1040,0,864.9420093374737,15,20,T2DM death,0
2065,0,0,8750,3.116373495330613e+06,0,15,25,Overweight,0
2066,0,69.49161740411206,7427,4.1903689739722875e+06,69.49161740411206,15,26,Obese,0
2179,0,0,8100,242254.00710322283,0,16,3,Steatosis,0
2180,0,214.60686113589904,1803,592887.2407142116,214.60686113589904,16,4,NASH,0
2181,0,25.212640230281348,174,369919.8628195674,25.212640230281348,16,5,Cirrhosis,0
2182,0,2.0313547436699877,9,437643.75464328076,2.0313547436699877,16,6,HCC,0
2183,270.387958125119,0,157,0,270.387958125119,16,7,Liver death,0
2184,0,0,2663,0,0,16,8,Natural death,0
2189,0,148.09605825688777,2357,2.437163274457878e+07,148.09605825688777,16,13,CHD,0
2190,298.9085377302176,0,710,0,298.9085377302176,16,14,CHD death,0
2195,0,70.96084854121435,4567,3.276146772695507e+07,70.96084854121435,16,19,T2DM,0
2196,768.1338192739586,0,1142,0,768.1338192739586,16,20,T2DM death,0
2201,0,0,8861,3.06398730009703e+06,0,16,25,Overweight,0
2202,0,66.66818916138226,7339,4.0201152577607026e+06,66.66818916138226,16,26,Obese,0
2315,0,0,8149,236620.86825895586,0,17,3,Steatosis,0
2316,0,213.2097307054178,1845,589027.4349211496,213.2097307054178,17,4,NASH,0
2317,0,25.322370502458732,180,371529.825396283,25.322370502458732,17,5,Cirrhosis,0
2318,0,2.410453309640762,11,519318.37120561895,2.410453309640762,17,6,HCC,0
2319,238.93279001459211,0,175,0,238.93279001459211,17,7,Liver death,0
2320,0,0,2842,0,0,17,8,Natural death,0
2325,0,146.10067080714694,2395,2.404325904793807e+07,146.10067080714694,17,13,CHD,0
2326,297.68026798381743,0,768,0,297.68026798381743,17,14,CHD death,0
2331,0,71.20206060670392,4720,3.287283140793176e+07,71.20206060670392,17,19,T2DM,0
2332,818.6853253496,0,1248,0,818.6853253496,17,20,T2DM death,0
2337,0,0,8893,2.985487738872016e+06,0,17,25,Overweight,0
2338,0,64.1795875112491,7277,3.8700517028621645e+06,64.1795875112491,17,26,Obese,0
2451,0,0,8181,230631.11242744344,0,18,3,Steatosis,0
2452,0,216.64850684988346,1931,598527.6274542637,216.64850684988346,18,4,NASH,0
2453,0,24.994572826051442,183,366720.3778183384,24.994572826051442,18,5,Cirrhosis,0
2454,0,2.7657451919973437,13,595863.9740223342,2.7657451919973437,18,6,HCC,0
2455,169.67636455903127,0,192,0,169.67636455903127,18,7,Liver death,0
2456,0,0,3028,0,0,18,8,Natural death,0
2461,0,144.7473658522699,2444,2.382055054549679e+07,144.7473658522699,18,13,CHD,0
2462,268.77604039141613,0,818,0,268.77604039141613,18,14,CHD death,0
2467,0,71.07610665713294,4853,3.2814680521371696e+07,71.07610665713294,18,19,T2DM,0
2468,773.6895267925381,0,1352,0,773.6895267925381,18,20,T2DM death,0
2473,0,0,8898,2.9001614557193173e+06,0,18,25,Overweight,0
2474,0,62.61853391918769,7313,3.7759196221412295e+06,62.61853391918769,18,26,Obese,0
2587,0,0,8244,225638.00931734018,0,19,3,Steatosis,0
2588,0,216.00256875973977,1983,596743.1157666624,216.00256875973977,19,4,NASH,0
2589,0,24.92959674941727,188,365767.0488081453,24.92959674941727,19,5,Cirrhosis,0
2590,0,2.4786364678094195,12,534008.042439732,2.4786364678094195,19,6,HCC,0
2591,245.9208697123053,0,214,0,245.9208697123053,19,7,Liver death,0
2592,0,0,3199,0,0,19,8,Natural death,0
2597,0,144.72896566593263,2517,2.3817522493372604e+07,144.72896566593263,19,13,CHD,0
2598,185.3531991606045,0,862,0,185.3531991606045,19,14,CHD death,0
2603,0,71.09615577306259,5000,3.2823936871569622e+07,71.09615577306259,19,19,T2DM,0
2604,720.7978868934096,0,1454,0,720.7978868934096,19,20,T2DM death,0
2609,0,0,8908,2.81885514226471e+06,0,19,25,Overweight,0
2610,0,60.52035634527481,7280,3.649398776376844e+06,60.52035634527481,19,26,Obese,0
2723,0,0,8269,219730.34805486485,0,20,3,Steatosis,0
2724,0,213.62414939346257,2020,590172.3356534122,213.62414939346257,20,4,NASH,0
2725,0,24.847201883069317,193,364558.1513115703,24.847201883069317,20,5,Cirrhosis,0
2726,0,2.0053693105254204,10,432045.34177971835,2.0053693105254204,20,6,HCC,0
2727,297.1235106128133,0,244,0,297.1235106128133,20,7,Liver death,0
2728,0,0,3378,0,0,20,8,Natural death,0
2733,0,141.6300750602548,2537,2.33075492729772e+07,141.6300750602548,20,13,CHD,0
2734,221.5582325701448,0,920,0,221.5582325701448,20,14,CHD death,0
2739,0,70.33687643956495,5095,3.2473389972940095e+07,70.33687643956495,20,19,T2DM,0
2740,877.8870994966242,0,1577,0,877.8870994966242,20,20,T2DM death,0
2745,0,0,8948,2.7490415305735646e+06,0,20,25,Overweight,0
2746,0,58.79798303310638,7285,3.5455390597871873e+06,58.79798303310638,20,26,Obese,0
2859,0,0,8253,212917.65389937206,0,21,3,Steatosis,0
2860,0,212.84382471050276,2073,588016.558593431,212.84382471050276,21,4,NASH,0
2861,0,25.248426884551478,202,370444.92461862654,25.248426884551478,21,5,Cirrhosis,0
2862,0,0.9734802478278739,5,209730.7484367565,0.9734802478278739,21,6,HCC,0
2863,197.1764002935883,0,265,0,197.1764002935883,21,7,Liver death,0
2864,0,0,3556,0,0,21,8,Natural death,0
2869,0,139.34772090723988,2571,2.2931950503738027e+07,139.34772090723988,21,13,CHD,0
2870,200.01523483836968,0,968,0,200.01523483836968,21,14,CHD death,0
