Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,6097,0,0,2,3,Steatosis,0
276,0,0,663,0,0,2,4,NASH,0
277,0,0,64,0,0,2,5,Cirrhosis,0
278,0,0,7,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1481,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2161,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7537,0,0,2,25,Overweight,0
298,0,0,8250,0,0,2,26,Obese,0
411,0,0,6317,0,0,3,3,Steatosis,0
412,0,0,786,0,0,3,4,NASH,0
413,0,0,66,0,0,3,5,Cirrhosis,0
414,0,0,4,0,0,3,6,HCC,0
415,0,0,6,0,0,3,7,Liver death,0
416,0,0,210,0,0,3,8,Natural death,0
421,0,0,1476,0,0,3,13,CHD,0
422,0,0,46,0,0,3,14,CHD death,0
427,0,0,2278,0,0,3,19,T2DM,0
428,0,0,77,0,0,3,20,T2DM death,0
433,0,0,7796,0,0,3,25,Overweight,0
434,0,0,8249,0,0,3,26,Obese,0
547,0,0,6513,0,0,4,3,Steatosis,0
548,0,0,902,0,0,4,4,NASH,0
549,0,0,71,0,0,4,5,Cirrhosis,0
550,0,0,1,0,0,4,6,HCC,0
551,0,0,15,0,0,4,7,Liver death,0
552,0,0,426,0,0,4,8,Natural death,0
557,0,0,1481,0,0,4,13,CHD,0
558,0,0,78,0,0,4,14,CHD death,0
563,0,0,2415,0,0,4,19,T2DM,0
564,0,0,144,0,0,4,20,T2DM death,0
569,0,0,8043,0,0,4,25,Overweight,0
570,0,0,8209,0,0,4,26,Obese,0
683,0,0,6714,0,0,5,3,Steatosis,0
684,0,0,995,0,0,5,4,NASH,0
685,0,0,77,0,0,5,5,Cirrhosis,0
686,0,0,4,0,0,5,6,HCC,0
687,0,0,21,0,0,5,7,Liver death,0
688,0,0,638,0,0,5,8,Natural death,0
693,0,0,1470,0,0,5,13,CHD,0
694,0,0,123,0,0,5,14,CHD death,0
699,0,0,2569,0,0,5,19,T2DM,0
700,0,0,212,0,0,5,20,T2DM death,0
705,0,0,8265,0,0,5,25,Overweight,0
706,0,0,8223,0,0,5,26,Obese,0
819,0,0,6942,0,0,6,3,Steatosis,0
820,0,0,1105,0,0,6,4,NASH,0
821,0,0,85,0,0,6,5,Cirrhosis,0
822,0,0,5,0,0,6,6,HCC,0
823,0,0,29,0,0,6,7,Liver death,0
824,0,0,826,0,0,6,8,Natural death,0
829,0,0,1476,0,0,6,13,CHD,0
830,0,0,149,0,0,6,14,CHD death,0
835,0,0,2712,0,0,6,19,T2DM,0
836,0,0,302,0,0,6,20,T2DM death,0
841,0,0,8382,0,0,6,25,Overweight,0
842,0,0,8223,0,0,6,26,Obese,0
955,0,0,7099,999648.7602083315,0,7,3,Steatosis,0
956,0,185.92218250028355,1225,84640.69978874606,185.92218250028355,7,4,NASH,0
957,0,20.568253314078863,89,316703.580001076,20.568253314078863,7,5,Cirrhosis,0
958,0,1.055617209235432,3,184566.68267920113,1.055617209235432,7,6,HCC,0
959,156.551700128,0,38,0,156.551700128,7,7,Liver death,0
960,0,0,1036,0,0,7,8,Natural death,0
965,0,100.23645866327365,1488,2.5659794481554527e+07,100.23645866327365,7,13,CHD,0
966,253.283762468,0,186,0,253.283762468,7,14,CHD death,0
971,0,124.28908937805214,2861,2.084362120426647e+07,124.28908937805214,7,19,T2DM,0
972,719.7348449130001,0,378,0,719.7348449130001,7,20,T2DM death,0
977,0,0,8510,2.6117769464724623e+06,0,7,25,Overweight,0
978,0,111.59549366952027,8254,5.89791461313925e+06,111.59549366952027,7,26,Obese,0
1091,0,0,7320,1.0007465737311102e+06,0,8,3,Steatosis,0
1092,0,196.56841010928133,1334,89487.3735036146,196.56841010928133,8,4,NASH,0
1093,0,21.091041906004296,94,324753.31646232307,21.091041906004296,8,5,Cirrhosis,0
1094,0,0.6832473846184026,2,119460.63603831788,0.6832473846184026,8,6,HCC,0
1095,195.2551454184466,0,49,0,195.2551454184466,8,7,Liver death,0
1096,0,0,1204,0,0,8,8,Natural death,0
1101,0,97.3169501585238,1488,2.491242182675136e+07,97.3169501585238,8,13,CHD,0
1102,203.5452153359224,0,224,0,203.5452153359224,8,14,CHD death,0
1107,0,126.53165202408462,3000,2.1219705111187216e+07,126.53165202408462,8,19,T2DM,0
1108,877.3840115941751,0,467,0,877.3840115941751,8,20,T2DM death,0
1113,0,0,8617,2.5675883253002847e+06,0,8,25,Overweight,0
1114,0,108.9227001994739,8298,5.756655256272654e+06,108.9227001994739,8,26,Obese,0
1227,0,0,7447,988455.5857839866,0,9,3,Steatosis,0
1228,0,207.72429184340723,1452,94566.06623429444,207.72429184340723,9,4,NASH,0
1229,0,20.912415027643178,96,322002.8752363456,20.912415027643178,9,5,Cirrhosis,0
1230,0,1.3266939507153448,4,231962.40007440365,1.3266939507153448,9,6,HCC,0
1231,141.17324109718166,0,57,0,141.17324109718166,9,7,Liver death,0
1232,0,0,1391,0,0,9,8,Natural death,0
1237,0,95.68890534560947,1507,2.449565435648017e+07,95.68890534560947,9,13,CHD,0
1238,196.70494902912623,0,259,0,196.70494902912623,9,14,CHD death,0
1243,0,128.45624349500463,3137,2.154246437986896e+07,128.45624349500463,9,19,T2DM,0
1244,938.6143193090774,0,573,0,938.6143193090774,9,20,T2DM death,0
1249,0,0,8687,2.513054436520451e+06,0,9,25,Overweight,0
1250,0,106.15800422857977,8330,5.610538775836897e+06,106.15800422857977,9,26,Obese,0
1363,0,0,7584,977320.2687449224,0,10,3,Steatosis,0
1364,0,218.2024542552576,1571,99336.22860605954,218.2024542552576,10,4,NASH,0
1365,0,20.09182269039337,95,309367.6491449517,20.09182269039337,10,5,Cirrhosis,0
1366,0,1.2880523793352863,4,225206.21366446957,1.2880523793352863,10,6,HCC,0
1367,253.10771412896355,0,72,0,253.10771412896355,10,7,Liver death,0
1368,0,0,1589,0,0,10,8,Natural death,0
1373,0,92.16208727664744,1495,2.359281493028428e+07,92.16208727664744,10,13,CHD,0
1374,291.7286828558277,0,302,0,291.7286828558277,10,14,CHD death,0
1379,0,129.2867478500374,3252,2.168174223822068e+07,129.2867478500374,10,19,T2DM,0
1380,1040.3562843775248,0,683,0,1040.3562843775248,10,20,T2DM death,0
1385,0,0,8727,2.4510932045003576e+06,0,10,25,Overweight,0
1386,0,103.62280276161376,8375,5.476551270718618e+06,103.62280276161376,10,26,Obese,0
1499,0,0,7735,967746.6458183131,0,11,3,Steatosis,0
1500,0,225.46674464645793,1672,102643.28220187992,225.46674464645793,11,4,NASH,0
1501,0,20.12262262297964,98,309841.8969464009,20.12262262297964,11,5,Cirrhosis,0
1502,0,0.6252681453083914,2,109323.40469149007,0.6252681453083914,11,6,HCC,0
1503,178.57248267474694,0,84,0,178.57248267474694,11,7,Liver death,0
1504,0,0,1775,0,0,11,8,Natural death,0
1509,0,89.65730866020539,1498,2.295161006952944e+07,89.65730866020539,11,13,CHD,0
1510,216.5345689644135,0,338,0,216.5345689644135,11,14,CHD death,0
1515,0,130.34588050060285,3377,2.1859361688838612e+07,130.34588050060285,11,19,T2DM,0
1516,996.1921545758498,0,789,0,996.1921545758498,11,20,T2DM death,0
1521,0,0,8820,2.405061633707695e+06,0,11,25,Overweight,0
1522,0,100.5806378812305,8373,5.31577032774616e+06,100.5806378812305,11,26,Obese,0
1635,0,0,7819,949763.2151993331,0,12,3,Steatosis,0
1636,0,230.8135543803843,1763,105077.40658354592,230.8135543803843,12,4,NASH,0
1637,0,21.33069764869046,107,328443.4611973927,21.33069764869046,12,5,Cirrhosis,0
1638,0,0,0,0,0,12,6,HCC,0
1639,118.2148484341379,0,94,0,118.2148484341379,12,7,Liver death,0
1640,0,0,1959,0,0,12,8,Natural death,0
1645,0,86.52295785645588,1489,2.214923936998858e+07,86.52295785645588,12,13,CHD,0
1646,152.95945355378677,0,370,0,152.95945355378677,12,14,CHD death,0
1651,0,131.72079830710805,3515,2.2089939176288202e+07,131.72079830710805,12,19,T2DM,0
1652,974.5384492042374,0,907,0,974.5384492042374,12,20,T2DM death,0
1657,0,0,8915,2.360161643276008e+06,0,12,25,Overweight,0
1658,0,97.47616546149122,8358,5.151696379521395e+06,97.47616546149122,12,26,Obese,0
1771,0,0,7871,928232.6057678269,0,13,3,Steatosis,0
1772,0,237.18291993114855,1866,107977.04744500118,237.18291993114855,13,4,NASH,0
1773,0,22.451328620343904,116,345698.5890472523,22.451328620343904,13,5,Cirrhosis,0
1774,0,1.1787503917586792,4,206095.58806954487,1.1787503917586792,13,6,HCC,0
1775,128.15742944327852,0,104,0,128.15742944327852,13,7,Liver death,0
1776,0,0,2157,0,0,13,8,Natural death,0
1781,0,84.00287170529963,1489,2.150411589319325e+07,84.00287170529963,13,13,CHD,0
1782,199.65366144347098,0,409,0,199.65366144347098,13,14,CHD death,0
1787,0,131.34060182814346,3610,2.2026179183911733e+07,131.34060182814346,13,19,T2DM,0
1788,1100.6615406037047,0,1032,0,1100.6615406037047,13,20,T2DM death,0
1793,0,0,8931,2.2955315450778306e+06,0,13,25,Overweight,0
1794,0,95.08997106961016,8398,5.025584022193896e+06,95.08997106961016,13,26,Obese,0
1907,0,0,7965,911959.3129677199,0,14,3,Steatosis,0
1908,0,238.66625414772642,1934,108652.33236487041,238.66625414772642,14,4,NASH,0
1909,0,22.54904113191556,120,347203.1359697878,22.54904113191556,14,5,Cirrhosis,0
1910,0,2.288835712152775,8,400185.60790202895,2.288835712152775,14,6,HCC,0
1911,180.21538301688514,0,116,0,180.21538301688514,14,7,Liver death,0
1912,0,0,2344,0,0,14,8,Natural death,0
1917,0,80.62505437949322,1472,2.063941955882306e+07,80.62505437949322,14,13,CHD,0
1918,168.9797312541523,0,439,0,168.9797312541523,14,14,CHD death,0
1923,0,131.15339122391143,3713,2.199478345208095e+07,131.15339122391143,14,19,T2DM,0
1924,1076.3526272384781,0,1159,0,1076.3526272384781,14,20,T2DM death,0
1929,0,0,9025,2.2521284751951364e+06,0,14,25,Overweight,0
1930,0,91.93560048452592,8363,4.858872914448657e+06,91.93560048452592,14,26,Obese,0
2043,0,0,8067,896735.8135667604,0,15,3,Steatosis,0
2044,0,242.61762665493262,2025,110451.18675457507,242.61762665493262,15,4,NASH,0
2045,0,22.074708551470625,121,339899.5101322347,22.074708551470625,15,5,Cirrhosis,0
2046,0,1.9443992700326969,7,339963.5018585196,1.9443992700326969,15,6,HCC,0
2047,193.12185627799246,0,131,0,193.12185627799246,15,7,Liver death,0
2048,0,0,2523,0,0,15,8,Natural death,0
2053,0,78.48946038949245,1476,2.0092723240833495e+07,78.48946038949245,15,13,CHD,0
2054,178.36991690669785,0,476,0,178.36991690669785,15,14,CHD death,0
2059,0,131.14001658833624,3824,2.199254048900814e+07,131.14001658833624,15,19,T2DM,0
2060,786.7780002399912,0,1256,0,786.7780002399912,15,20,T2DM death,0
2065,0,0,9117,2.2088218065626347e+06,0,15,25,Overweight,0
2066,0,89.67410952206569,8402,4.739351237036984e+06,89.67410952206569,15,26,Obese,0
2179,0,0,8105,874718.3802836005,0,16,3,Steatosis,0
2180,0,246.95060356630677,2123,112423.76578208078,246.95060356630677,16,4,NASH,0
2181,0,23.911463166561308,135,368181.287553973,23.911463166561308,16,5,Cirrhosis,0
2182,0,1.8877662815851428,7,330061.6522898249,1.8877662815851428,16,6,HCC,0
2183,171.5935162362292,0,148,0,171.5935162362292,16,7,Liver death,0
2184,0,0,2698,0,0,16,8,Natural death,0
2189,0,76.56475764833958,1483,1.9600013527873736e+07,76.56475764833958,16,13,CHD,0
2190,86.41886343270868,0,494,0,86.41886343270868,16,14,CHD death,0
2195,0,130.3502571757633,3915,2.186009566926664e+07,130.3502571757633,16,19,T2DM,0
2196,916.6862707921268,0,1383,0,916.6862707921268,16,20,T2DM death,0
2201,0,0,9165,2.1557776795025836e+06,0,16,25,Overweight,0
2202,0,87.62179487065592,8456,4.63088470155952e+06,87.62179487065592,16,26,Obese,0
2315,0,0,8181,857204.4188350552,0,17,3,Steatosis,0
2316,0,251.2770868001449,2225,114393.38857593802,251.2770868001449,17,4,NASH,0
2317,0,23.558938898374027,137,362753.22829841456,23.558938898374027,17,5,Cirrhosis,0
2318,0,2.356435025557044,9,412004.83642280503,2.356435025557044,17,6,HCC,0
2319,143.16388141641522,0,161,0,143.16388141641522,17,7,Liver death,0
2320,0,0,2858,0,0,17,8,Natural death,0
2325,0,75.3372072782512,1503,1.92857696825481e+07,75.3372072782512,17,13,CHD,0
2326,125.06880312302607,0,518,0,125.06880312302607,17,14,CHD death,0
2331,0,129.62455362740988,4010,2.1738393193657156e+07,129.62455362740988,17,19,T2DM,0
2332,1067.558430744915,0,1522,0,1067.558430744915,17,20,T2DM death,0
2337,0,0,9187,2.098012123114235e+06,0,17,25,Overweight,0
2338,0,85.38157235022031,8487,4.512487078989501e+06,85.38157235022031,17,26,Obese,0
2451,0,0,8257,839968.632780903,0,18,3,Steatosis,0
2452,0,252.62022820446458,2304,115004.85099988226,252.62022820446458,18,4,NASH,0
2453,0,23.206665061824054,139,357329.0251114703,23.206665061824054,18,5,Cirrhosis,0
2454,0,1.779400774422795,7,311114.7632103166,1.779400774422795,18,6,HCC,0
2455,177.19002036818782,0,177,0,177.19002036818782,18,7,Liver death,0
2456,0,0,3022,0,0,18,8,Natural death,0
2461,0,73.92155356320698,1519,1.8923372767597783e+07,73.92155356320698,18,13,CHD,0
2462,105.94136263206104,0,539,0,105.94136263206104,18,14,CHD death,0
2467,0,130.2741985103652,4151,2.1847340422456678e+07,130.2741985103652,18,19,T2DM,0
2468,882.5500505703133,0,1641,0,882.5500505703133,18,20,T2DM death,0
2473,0,0,9244,2.0495427864048653e+06,0,18,25,Overweight,0
2474,0,83.59797311315265,8559,4.418222376550817e+06,83.59797311315265,18,26,Obese,0
2587,0,0,8361,825775.0985841834,0,19,3,Steatosis,0
2588,0,253.67196088323158,2383,115483.65018738818,253.67196088323158,19,4,NASH,0
2589,0,21.72028440514371,134,334442.19714281574,21.72028440514371,19,5,Cirrhosis,0
2590,0,1.7275735674007717,7,302053.168165356,1.7275735674007717,19,6,HCC,0
2591,151.61184279445106,0,192,0,151.61184279445106,19,7,Liver death,0
2592,0,0,3176,0,0,19,8,Natural death,0
2597,0,71.76849860505472,1519,1.8372206570483256e+07,71.76849860505472,19,13,CHD,0
2598,186.88793346436304,0,582,0,186.88793346436304,19,14,CHD death,0
2603,0,129.86194320963705,4262,2.1778204077741724e+07,129.86194320963705,19,19,T2DM,0
2604,823.5293209587643,0,1762,0,823.5293209587643,19,20,T2DM death,0
2609,0,0,9315,2.005130701978787e+06,0,19,25,Overweight,0
2610,0,81.50446063219259,8595,4.307578501532087e+06,81.50446063219259,19,26,Obese,0
2723,0,0,8407,806134.2657479048,0,20,3,Steatosis,0
2724,0,254.34477049556423,2461,115789.94541072234,254.34477049556423,20,4,NASH,0
2725,0,21.24502532020287,135,327124.305276627,21.24502532020287,20,5,Cirrhosis,0
2726,0,1.437647906297452,6,251361.8597769952,1.437647906297452,20,6,HCC,0
2727,156.64205054669114,0,208,0,156.64205054669114,20,7,Liver death,0
2728,0,0,3378,0,0,20,8,Natural death,0
2733,0,70.09099360752425,1528,1.7942777657566715e+07,70.09099360752425,20,13,CHD,0
2734,109.55962292813007,0,608,0,109.55962292813007,20,14,CHD death,0
2739,0,128.09114962614078,4330,2.1481237136633992e+07,128.09114962614078,20,19,T2DM,0
2740,932.8564723006504,0,1903,0,932.8564723006504,20,20,T2DM death,0
2745,0,0,9351,1.9542524265800363e+06,0,20,25,Overweight,0
2746,0,79.58166666154177,8644,4.205957241705952e+06,79.58166666154177,20,26,Obese,0
2859,0,0,8411,783027.0093008069,0,21,3,Steatosis,0
2860,0,257.4723674138175,2566,117213.77761976683,257.4723674138175,21,4,NASH,0
2861,0,20.77902512439831,136,319948.9789113367,20.77902512439831,21,5,Cirrhosis,0
2862,0,1.395774666308206,6,244040.64056018952,1.395774666308206,21,6,HCC,0
2863,184.6383957981415,0,224,0,184.6383957981415,21,7,Liver death,0
2864,0,0,3533,0,0,21,8,Natural death,0
2869,0,67.69322820835492,1520,1.7328967391539708e+07,67.69322820835492,21,13,CHD,0
2870,118.74825236380954,0,641,0,118.74825236380954,21,14,CHD death,0
