Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,5969,0,0,2,3,Steatosis,0
276,0,0,616,0,0,2,4,NASH,0
277,0,0,76,0,0,2,5,Cirrhosis,0
278,0,0,1,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1464,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2146,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7383,0,0,2,25,Overweight,0
298,0,0,8416,0,0,2,26,Obese,0
411,0,0,6175,0,0,3,3,Steatosis,0
412,0,0,716,0,0,3,4,NASH,0
413,0,0,72,0,0,3,5,Cirrhosis,0
414,0,0,4,0,0,3,6,HCC,0
415,0,0,6,0,0,3,7,Liver death,0
416,0,0,220,0,0,3,8,Natural death,0
421,0,0,1467,0,0,3,13,CHD,0
422,0,0,50,0,0,3,14,CHD death,0
427,0,0,2280,0,0,3,19,T2DM,0
428,0,0,60,0,0,3,20,T2DM death,0
433,0,0,7814,0,0,3,25,Overweight,0
434,0,0,8369,0,0,3,26,Obese,0
547,0,0,6347,0,0,4,3,Steatosis,0
548,0,0,818,0,0,4,4,NASH,0
549,0,0,73,0,0,4,5,Cirrhosis,0
550,0,0,4,0,0,4,6,HCC,0
551,0,0,11,0,0,4,7,Liver death,0
552,0,0,443,0,0,4,8,Natural death,0
557,0,0,1462,0,0,4,13,CHD,0
558,0,0,111,0,0,4,14,CHD death,0
563,0,0,2414,0,0,4,19,T2DM,0
564,0,0,119,0,0,4,20,T2DM death,0
569,0,0,8087,0,0,4,25,Overweight,0
570,0,0,8378,0,0,4,26,Obese,0
683,0,0,6472,0,0,5,3,Steatosis,0
684,0,0,964,0,0,5,4,NASH,0
685,0,0,73,0,0,5,5,Cirrhosis,0
686,0,0,5,0,0,5,6,HCC,0
687,0,0,21,0,0,5,7,Liver death,0
688,0,0,646,0,0,5,8,Natural death,0
693,0,0,1452,0,0,5,13,CHD,0
694,0,0,161,0,0,5,14,CHD death,0
699,0,0,2550,0,0,5,19,T2DM,0
700,0,0,190,0,0,5,20,T2DM death,0
705,0,0,8267,0,0,5,25,Overweight,0
706,0,0,8422,0,0,5,26,Obese,0
819,0,0,6628,0,0,6,3,Steatosis,0
820,0,0,1059,0,0,6,4,NASH,0
821,0,0,89,0,0,6,5,Cirrhosis,0
822,0,0,5,0,0,6,6,HCC,0
823,0,0,27,0,0,6,7,Liver death,0
824,0,0,838,0,0,6,8,Natural death,0
829,0,0,1456,0,0,6,13,CHD,0
830,0,0,207,0,0,6,14,CHD death,0
835,0,0,2697,0,0,6,19,T2DM,0
836,0,0,266,0,0,6,20,T2DM death,0
841,0,0,8436,0,0,6,25,Overweight,0
842,0,0,8428,0,0,6,26,Obese,0
955,0,0,6763,903609.7938145692,0,7,3,Steatosis,0
956,0,135.25571110348818,1183,204075.8955398324,135.25571110348818,7,4,NASH,0
957,0,20.633802716769825,92,216435.96864605887,20.633802716769825,7,5,Cirrhosis,0
958,0,0.6016552882661486,2,110195.55429866821,0.6016552882661486,7,6,HCC,0
959,199.92821294999996,0,37,0,199.92821294999996,7,7,Liver death,0
960,0,0,1027,0,0,7,8,Natural death,0
965,0,101.41058119761662,1467,2.012375558326515e+07,101.41058119761662,7,13,CHD,0
966,287.420403234,0,253,0,287.420403234,7,14,CHD death,0
971,0,87.56527187082793,2834,1.4891793745221201e+07,87.56527187082793,7,19,T2DM,0
972,761.8464710879996,0,339,0,761.8464710879996,7,20,T2DM death,0
977,0,0,8599,4.522397034406718e+06,0,7,25,Overweight,0
978,0,125.66596196130938,8480,9.741171202322945e+06,125.66596196130938,7,26,Obese,0
1091,0,0,6873,891560.175783253,0,8,3,Steatosis,0
1092,0,143.1935160103968,1290,216052.57757254952,143.1935160103968,8,4,NASH,0
1093,0,20.903810266039503,96,219268.18267224275,20.903810266039503,8,5,Cirrhosis,0
1094,0,0.2920656739156061,1,53492.98752362534,0.2920656739156061,8,6,HCC,0
1095,219.6522524640777,0,50,0,219.6522524640777,8,7,Liver death,0
1096,0,0,1201,0,0,8,8,Natural death,0
1101,0,98.65821825169944,1470,1.9577581026862785e+07,98.65821825169944,8,13,CHD,0
1102,403.68467344563095,0,308,0,403.68467344563095,8,14,CHD death,0
1107,0,88.97458611755246,2966,1.513146886568882e+07,88.97458611755246,8,19,T2DM,0
1108,886.6626790223305,0,423,0,886.6626790223305,8,20,T2DM death,0
1113,0,0,8762,4.473905050537929e+06,0,8,25,Overweight,0
1114,0,122.26476286259442,8498,9.477522540456275e+06,122.26476286259442,8,26,Obese,0
1227,0,0,6987,879949.6761912643,0,9,3,Steatosis,0
1228,0,150.87749109245917,1400,227646.2772646779,150.87749109245917,9,4,NASH,0
1229,0,21.351990664138274,101,223969.32089296554,21.351990664138274,9,5,Cirrhosis,0
1230,0,1.1342356268567226,4,207739.7573733023,1.1342356268567226,9,6,HCC,0
1231,115.78621587331511,0,58,0,115.78621587331511,9,7,Liver death,0
1232,0,0,1367,0,0,9,8,Natural death,0
1237,0,96.50143400750535,1481,1.9149592167481463e+07,96.50143400750535,9,13,CHD,0
1238,387.86995027429566,0,371,0,387.86995027429566,9,14,CHD death,0
1243,0,90.34401735416978,3102,1.5364361279408094e+07,90.34401735416978,9,19,T2DM,0
1244,888.3910784013577,0,513,0,888.3910784013577,9,20,T2DM death,0
1249,0,0,8911,4.417461091401131e+06,0,9,25,Overweight,0
1250,0,118.45222166206543,8480,9.181988125481414e+06,118.45222166206543,9,26,Obese,0
1363,0,0,7053,862390.0789647498,0,10,3,Steatosis,0
1364,0,160.92203973662092,1538,242801.6466248782,160.92203973662092,10,4,NASH,0
1365,0,22.577323589879878,110,236822.31373859735,22.577323589879878,10,5,Cirrhosis,0
1366,0,1.6517994565874603,6,302533.6272426733,1.6517994565874603,10,6,HCC,0
1367,66.77850769771408,0,63,0,66.77850769771408,10,7,Liver death,0
1368,0,0,1522,0,0,10,8,Natural death,0
1373,0,95.14573382409348,1504,1.8880569164033093e+07,95.14573382409348,10,13,CHD,0
1374,332.25060315064974,0,423,0,332.25060315064974,10,14,CHD death,0
1379,0,91.8975094054806,3250,1.5628556007735558e+07,91.8975094054806,10,19,T2DM,0
1380,831.5566001370883,0,599,0,831.5566001370883,10,20,T2DM death,0
1385,0,0,8978,4.321043771426611e+06,0,10,25,Overweight,0
1386,0,115.55818153307173,8521,8.957652594023718e+06,115.55818153307173,10,26,Obese,0
1499,0,0,7158,849736.6245347462,0,11,3,Steatosis,0
1500,0,165.88539579197482,1633,250290.434518681,165.88539579197482,11,4,NASH,0
1501,0,23.912434517083735,120,250826.8106675349,23.912434517083735,11,5,Cirrhosis,0
1502,0,0.2672814654672266,1,48953.66136612836,0.2672814654672266,11,6,HCC,0
1503,211.92567949690238,0,78,0,211.92567949690238,11,7,Liver death,0
1504,0,0,1681,0,0,11,8,Natural death,0
1509,0,93.97139843967351,1530,1.864753590488207e+07,93.97139843967351,11,13,CHD,0
1510,266.73030826653405,0,471,0,266.73030826653405,11,14,CHD death,0
1515,0,93.0093388695327,3388,1.5817639358987393e+07,93.0093388695327,11,19,T2DM,0
1516,742.0814605831476,0,682,0,742.0814605831476,11,20,T2DM death,0
1521,0,0,9156,4.278362942336893e+06,0,11,25,Overweight,0
1522,0,112.1792426776254,8520,8.695729465759793e+06,112.1792426776254,11,26,Obese,0
1635,0,0,7241,834553.0831491359,0,12,3,Steatosis,0
1636,0,167.858871716203,1702,253268.04532177694,167.858871716203,12,4,NASH,0
1637,0,24.763686231284172,128,259755.92043239716,24.763686231284172,12,5,Cirrhosis,0
1638,0,0.5189931368295662,2,95055.65313811332,0.5189931368295662,12,6,HCC,0
1639,126.70844897803474,0,87,0,126.70844897803474,12,7,Liver death,0
1640,0,0,1832,0,0,12,8,Natural death,0
1645,0,92.06919169417816,1544,1.8270065002308857e+07,92.06919169417816,12,13,CHD,0
1646,295.2974266751441,0,524,0,295.2974266751441,12,14,CHD death,0
1651,0,93.20550487349793,3497,1.5851000343411682e+07,93.20550487349793,12,19,T2DM,0
1652,768.420583957158,0,773,0,768.420583957158,12,20,T2DM death,0
1657,0,0,9252,4.197302203287919e+06,0,12,25,Overweight,0
1658,0,109.26981248103301,8548,8.470200951881263e+06,109.26981248103301,12,26,Obese,0
1771,0,0,7345,821882.993113693,0,13,3,Steatosis,0
1772,0,170.43842860760583,1780,257160.12040248484,170.43842860760583,13,4,NASH,0
1773,0,24.230245174724388,129,254160.45005900628,24.230245174724388,13,5,Cirrhosis,0
1774,0,0.5038768318733652,2,92287.04188166342,0.5038768318733652,13,6,HCC,0
1775,187.60917465356536,0,101,0,187.60917465356536,13,7,Liver death,0
1776,0,0,1976,0,0,13,8,Natural death,0
1781,0,90.66122176233452,1566,1.799066967252856e+07,90.66122176233452,13,13,CHD,0
1782,291.4350383350638,0,579,0,291.4350383350638,13,14,CHD death,0
1787,0,93.67361417749473,3620,1.5930609383119162e+07,93.67361417749473,13,19,T2DM,0
1788,705.6577625580876,0,859,0,705.6577625580876,13,20,T2DM death,0
1793,0,0,9324,4.1067631394795417e+06,0,13,25,Overweight,0
1794,0,106.53398402817386,8584,8.258129417762681e+06,106.53398402817386,13,26,Obese,0
1907,0,0,7363,799900.1339388853,0,14,3,Steatosis,0
1908,0,173.3760605177117,1865,261592.4645743659,173.3760605177117,14,4,NASH,0
1909,0,24.253952045144413,133,254409.1206280405,24.253952045144413,14,5,Cirrhosis,0
1910,0,1.7122028267541538,7,313596.7442580796,1.7122028267541538,14,6,HCC,0
1911,173.12543380490825,0,115,0,173.12543380490825,14,7,Liver death,0
1912,0,0,2118,0,0,14,8,Natural death,0
1917,0,89.20095657529957,1587,1.7700896954892036e+07,89.20095657529957,14,13,CHD,0
1918,292.5684202173825,0,630,0,292.5684202173825,14,14,CHD death,0
1923,0,93.88464736933389,3737,1.5966498756828254e+07,93.88464736933389,14,19,T2DM,0
1924,709.7124543080396,0,944,0,709.7124543080396,14,20,T2DM death,0
1929,0,0,9353,3.9995497206851356e+06,0,14,25,Overweight,0
1930,0,104.47934014833211,8671,8.0988608498795e+06,104.47934014833211,14,26,Obese,0
2043,0,0,7447,785461.8536717914,0,15,3,Steatosis,0
2044,0,174.46363777335765,1933,263233.4178517159,174.46363777335765,15,4,NASH,0
2045,0,23.901624396631057,135,250713.4191166189,23.901624396631057,15,5,Cirrhosis,0
2046,0,1.4248567212933316,6,260968.16443113415,1.4248567212933316,15,6,HCC,0
2047,184.28992972921833,0,129,0,184.28992972921833,15,7,Liver death,0
2048,0,0,2257,0,0,15,8,Natural death,0
2053,0,87.42142311232398,1602,1.734776914477369e+07,87.42142311232398,15,13,CHD,0
2054,288.3231385516448,0,683,0,288.3231385516448,15,14,CHD death,0
2059,0,93.93074685299426,3851,1.5974338668562235e+07,93.93074685299426,15,19,T2DM,0
2060,913.4617085662975,0,1062,0,913.4617085662975,15,20,T2DM death,0
2065,0,0,9416,3.9092135091876406e+06,0,15,25,Overweight,0
2066,0,101.93928092553725,8714,7.901964638949241e+06,101.93928092553725,15,26,Obese,0
2179,0,0,7495,767499.5982316163,0,16,3,Steatosis,0
2180,0,176.30467214802567,2012,266011.1988094491,176.30467214802567,16,4,NASH,0
2181,0,23.721137481014715,138,248820.22177701004,23.721137481014715,16,5,Cirrhosis,0
2182,0,1.3833560400906133,6,253367.14993314,1.3833560400906133,16,6,HCC,0
2183,198.11107795562157,0,146,0,198.11107795562157,16,7,Liver death,0
2184,0,0,2372,0,0,16,8,Natural death,0
2189,0,86.51757144735262,1633,1.7168410247758154e+07,86.51757144735262,16,13,CHD,0
2190,243.93622680066775,0,739,0,243.93622680066775,16,14,CHD death,0
2195,0,94.8891102903344,4007,1.6137322809843477e+07,94.8891102903344,16,19,T2DM,0
2196,869.8510533962142,0,1174,0,869.8510533962142,16,20,T2DM death,0
2201,0,0,9438,3.804220568555232e+06,0,16,25,Overweight,0
2202,0,99.83335368549005,8790,7.73872077032232e+06,99.83335368549005,16,26,Obese,0
2315,0,0,7581,753695.2731196029,0,17,3,Steatosis,0
2316,0,175.25315322866035,2060,264424.6509040206,175.25315322866035,17,4,NASH,0
2317,0,25.03285930879558,150,262579.38136028964,25.03285930879558,17,5,Cirrhosis,0
2318,0,1.1192200971606903,5,204989.60350577667,1.1192200971606903,17,6,HCC,0
2319,148.24196877801924,0,159,0,148.24196877801924,17,7,Liver death,0
2320,0,0,2501,0,0,17,8,Natural death,0
2325,0,85.02639468871836,1653,1.687250348666983e+07,85.02639468871836,17,13,CHD,0
2326,263.2861534567229,0,793,0,263.2861534567229,17,14,CHD death,0
2331,0,94.44745120133712,4108,1.6062212027699465e+07,94.44745120133712,17,19,T2DM,0
2332,882.0116751531011,0,1288,0,882.0116751531011,17,20,T2DM death,0
2337,0,0,9452,3.698896715197975e+06,0,17,25,Overweight,0
2338,0,97.355631364979,8829,7.546656690762924e+06,97.355631364979,17,26,Obese,0
2451,0,0,7629,736376.1010382053,0,18,3,Steatosis,0
2452,0,175.51746187713138,2125,264823.4438547835,175.51746187713138,18,4,NASH,0
2453,0,23.979696943053437,148,251532.35237102237,23.979696943053437,18,5,Cirrhosis,0
2454,0,1.7385943256865095,8,318430.4520478085,1.7385943256865095,18,6,HCC,0
2455,215.47049310742798,0,176,0,215.47049310742798,18,7,Liver death,0
2456,0,0,2630,0,0,18,8,Natural death,0
2461,0,83.79838380800356,1678,1.662881894679891e+07,83.79838380800356,18,13,CHD,0
2462,219.0878006844918,0,841,0,219.0878006844918,18,14,CHD death,0
2467,0,94.44209405113085,4231,1.6061300963591417e+07,94.44209405113085,18,19,T2DM,0
2468,880.617430159429,0,1412,0,880.617430159429,18,20,T2DM death,0
2473,0,0,9527,3.619657113273005e+06,0,18,25,Overweight,0
2474,0,94.958961389084,8870,7.360875496028068e+06,94.958961389084,18,26,Obese,0
2587,0,0,7730,724393.1575637141,0,19,3,Steatosis,0
2588,0,175.13655590618754,2184,264248.72707198915,175.13655590618754,19,4,NASH,0
2589,0,23.43856497320227,149,245856.20902179423,23.43856497320227,19,5,Cirrhosis,0
2590,0,0.6329833710023699,3,115933.41700769725,0.6329833710023699,19,6,HCC,0
2591,219.03993906917512,0,196,0,219.03993906917512,19,7,Liver death,0
2592,0,0,2756,0,0,19,8,Natural death,0
2597,0,81.93947292519279,1690,1.6259939606843164e+07,81.93947292519279,19,13,CHD,0
2598,209.26656307144833,0,897,0,209.26656307144833,19,14,CHD death,0
2603,0,93.88015673254706,4332,1.5965735056387667e+07,93.88015673254706,19,19,T2DM,0
2604,1050.4722364898096,0,1567,0,1050.4722364898096,19,20,T2DM death,0
2609,0,0,9568,3.5293539016645225e+06,0,19,25,Overweight,0
2610,0,92.52576857581171,8902,7.172263182939595e+06,92.52576857581171,19,26,Obese,0
2723,0,0,7761,706114.7836387403,0,20,3,Steatosis,0
2724,0,173.85039001142715,2233,262308.14020401816,173.85039001142715,20,4,NASH,0
2725,0,23.214060571621467,152,243501.2951802485,23.214060571621467,20,5,Cirrhosis,0
2726,0,0.4096979747588155,2,75037.81036096909,0.4096979747588155,20,6,HCC,0
2727,222.28481168795886,0,215,0,222.28481168795886,20,7,Liver death,0
2728,0,0,2869,0,0,20,8,Natural death,0
2733,0,80.77677689414114,1716,1.6029216042593379e+07,80.77677689414114,20,13,CHD,0
2734,262.40026540984786,0,964,0,262.40026540984786,20,14,CHD death,0
2739,0,93.29187508452632,4434,1.5865688899052847e+07,93.29187508452632,20,19,T2DM,0
2740,1036.7642531777788,0,1715,0,1036.7642531777788,20,20,T2DM death,0
2745,0,0,9574,3.428705946858623e+06,0,20,25,Overweight,0
2746,0,90.01248281682989,8920,6.977442354158998e+06,90.01248281682989,20,26,Obese,0
2859,0,0,7783,687491.6480660129,0,21,3,Steatosis,0
2860,0,172.33939679132357,2280,260028.33041238718,172.33939679132357,21,4,NASH,0
2861,0,25.05861162879424,169,262849.50744418806,25.05861162879424,21,5,Cirrhosis,0
2862,0,0.5966475360565274,3,109278.36460335304,0.5966475360565274,21,6,HCC,0
2863,121.87200233404857,0,226,0,121.87200233404857,21,7,Liver death,0
2864,0,0,2971,0,0,21,8,Natural death,0
2869,0,79.6580001620864,1743,1.5807207754680151e+07,79.6580001620864,21,13,CHD,0
2870,225.425909067088,0,1032,0,225.425909067088,21,14,CHD death,0
