Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,6799,0,0,2,3,Steatosis,0
276,0,0,799,0,0,2,4,NASH,0
277,0,0,74,0,0,2,5,Cirrhosis,0
278,0,0,8,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1406,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2156,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7459,0,0,2,25,Overweight,0
298,0,0,8422,0,0,2,26,Obese,0
411,0,0,7021,0,0,3,3,Steatosis,0
412,0,0,896,0,0,3,4,NASH,0
413,0,0,80,0,0,3,5,Cirrhosis,0
414,0,0,5,0,0,3,6,HCC,0
415,0,0,8,0,0,3,7,Liver death,0
416,0,0,212,0,0,3,8,Natural death,0
421,0,0,1482,0,0,3,13,CHD,0
422,0,0,32,0,0,3,14,CHD death,0
427,0,0,2283,0,0,3,19,T2DM,0
428,0,0,71,0,0,3,20,T2DM death,0
433,0,0,7625,0,0,3,25,Overweight,0
434,0,0,8461,0,0,3,26,Obese,0
547,0,0,7208,0,0,4,3,Steatosis,0
548,0,0,971,0,0,4,4,NASH,0
549,0,0,85,0,0,4,5,Cirrhosis,0
550,0,0,4,0,0,4,6,HCC,0
551,0,0,15,0,0,4,7,Liver death,0
552,0,0,429,0,0,4,8,Natural death,0
557,0,0,1544,0,0,4,13,CHD,0
558,0,0,81,0,0,4,14,CHD death,0
563,0,0,2376,0,0,4,19,T2DM,0
564,0,0,147,0,0,4,20,T2DM death,0
569,0,0,7710,0,0,4,25,Overweight,0
570,0,0,8542,0,0,4,26,Obese,0
683,0,0,7450,0,0,5,3,Steatosis,0
684,0,0,1045,0,0,5,4,NASH,0
685,0,0,99,0,0,5,5,Cirrhosis,0
686,0,0,3,0,0,5,6,HCC,0
687,0,0,29,0,0,5,7,Liver death,0
688,0,0,621,0,0,5,8,Natural death,0
693,0,0,1597,0,0,5,13,CHD,0
694,0,0,137,0,0,5,14,CHD death,0
699,0,0,2486,0,0,5,19,T2DM,0
700,0,0,227,0,0,5,20,T2DM death,0
705,0,0,7824,0,0,5,25,Overweight,0
706,0,0,8597,0,0,5,26,Obese,0
819,0,0,7640,0,0,6,3,Steatosis,0
820,0,0,1141,0,0,6,4,NASH,0
821,0,0,114,0,0,6,5,Cirrhosis,0
822,0,0,2,0,0,6,6,HCC,0
823,0,0,35,0,0,6,7,Liver death,0
824,0,0,797,0,0,6,8,Natural death,0
829,0,0,1658,0,0,6,13,CHD,0
830,0,0,196,0,0,6,14,CHD death,0
835,0,0,2616,0,0,6,19,T2DM,0
836,0,0,290,0,0,6,20,T2DM death,0
841,0,0,7958,0,0,6,25,Overweight,0
842,0,0,8674,0,0,6,26,Obese,0
955,0,0,7806,1.1655589536758556e+06,0,7,3,Steatosis,0
956,0,211.1456984716041,1203,387007.5947526486,211.1456984716041,7,4,NASH,0
957,0,26.673820985188975,127,533372.4740588397,26.673820985188975,7,5,Cirrhosis,0
958,0,0.9414401840390845,3,218412.43474433653,0.9414401840390845,7,6,HCC,0
959,174.68310240699998,0,44,0,174.68310240699998,7,7,Liver death,0
960,0,0,996,0,0,7,8,Natural death,0
965,0,118.97092735852733,1698,2.552818183092752e+07,118.97092735852733,7,13,CHD,0
966,365.1275438100002,0,243,0,365.1275438100002,7,14,CHD death,0
971,0,92.2906926656373,2755,3.470998292978311e+07,92.2906926656373,7,19,T2DM,0
972,757.0850070939999,0,363,0,757.0850070939999,7,20,T2DM death,0
977,0,0,8031,1.82974312856804e+06,0,7,25,Overweight,0
978,0,122.57713618265186,8762,6.273362562166456e+06,122.57713618265186,7,26,Obese,0
1091,0,0,7866,1.1403086410522016e+06,0,8,3,Steatosis,0
1092,0,220.67297736300623,1295,404470.08304858726,220.67297736300623,8,4,NASH,0
1093,0,27.528215220552926,135,550457.0292633855,27.528215220552926,8,5,Cirrhosis,0
1094,0,1.8280391923089019,6,424101.8150375466,1.8280391923089019,8,6,HCC,0
1095,166.4243019067961,0,54,0,166.4243019067961,8,7,Liver death,0
1096,0,0,1201,0,0,8,8,Natural death,0
1101,0,118.70291047185027,1745,2.5470672118521877e+07,118.70291047185027,8,13,CHD,0
1102,302.04038013398053,0,286,0,302.04038013398053,8,14,CHD death,0
1107,0,93.57049770022662,2877,3.5191310023782134e+07,93.57049770022662,8,19,T2DM,0
1108,676.0093629262138,0,434,0,676.0093629262138,8,20,T2DM death,0
1113,0,0,8039,1.7782192318551666e+06,0,8,25,Overweight,0
1114,0,120.22932316832521,8852,6.153204082978718e+06,120.22932316832521,8,26,Obese,0
1227,0,0,7991,1.124688823059154e+06,0,9,3,Steatosis,0
1228,0,229.30070594529184,1386,420283.791359849,229.30070594529184,9,4,NASH,0
1229,0,27.51831654553639,139,550259.0943373629,27.51831654553639,9,5,Cirrhosis,0
1230,0,1.7747953323387393,6,411749.33498790936,1.7747953323387393,9,6,HCC,0
1231,216.17578384579127,0,68,0,216.17578384579127,9,7,Liver death,0
1232,0,0,1349,0,0,9,8,Natural death,0
1237,0,118.28353556907969,1791,2.5380684766057678e+07,118.28353556907969,9,13,CHD,0
1238,407.29129643981526,0,342,0,407.29129643981526,9,14,CHD death,0
1243,0,95.07637357393735,3011,3.5757661021494865e+07,95.07637357393735,9,19,T2DM,0
1244,685.9219040258273,0,505,0,685.9219040258273,9,20,T2DM death,0
1249,0,0,8104,1.7403856025842447e+06,0,9,25,Overweight,0
1250,0,118.21758038374998,8965,6.050245307285538e+06,118.21758038374998,9,26,Obese,0
1363,0,0,8075,1.1034090835447514e+06,0,10,3,Steatosis,0
1364,0,233.54433828188388,1454,428061.91781701345,233.54433828188388,10,4,NASH,0
1365,0,29.215506844461505,152,584196.2865075055,29.215506844461505,10,5,Cirrhosis,0
1366,0,2.297469685875391,8,533008.847880789,2.297469685875391,10,6,HCC,0
1367,170.8512666960732,0,79,0,170.8512666960732,10,7,Liver death,0
1368,0,0,1550,0,0,10,8,Natural death,0
1373,0,117.14669327473807,1827,2.5136746877638064e+07,117.14669327473807,10,13,CHD,0
1374,370.3613433272902,0,394,0,370.3613433272902,10,14,CHD death,0
1379,0,94.08524423340903,3069,3.5384903146382235e+07,94.08524423340903,10,19,T2DM,0
1380,1089.0824069012665,0,622,0,1089.0824069012665,10,20,T2DM death,0
1385,0,0,8146,1.6984518155546065e+06,0,10,25,Overweight,0
1386,0,115.55530196111043,9026,5.91399283552172e+06,115.55530196111043,10,26,Obese,0
1499,0,0,8224,1.0910380598238492e+06,0,11,3,Steatosis,0
1500,0,238.59379386712405,1530,437317.032531635,238.59379386712405,11,4,NASH,0
1501,0,30.977095913263877,166,619421.2031185863,30.977095913263877,11,5,Cirrhosis,0
1502,0,2.509372229718267,9,582169.8581222208,2.509372229718267,11,6,HCC,0
1503,84.802259205772,0,87,0,84.802259205772,11,7,Liver death,0
1504,0,0,1737,0,0,11,8,Natural death,0
1509,0,116.03798272094969,1864,2.4898845356289595e+07,116.03798272094969,11,13,CHD,0
1510,372.66879706965585,0,441,0,372.66879706965585,11,14,CHD death,0
1515,0,95.4522925011336,3207,3.589904190367691e+07,95.4522925011336,11,19,T2DM,0
1516,767.44632584884,0,709,0,767.44632584884,11,20,T2DM death,0
1521,0,0,8223,1.66456933765868e+06,0,11,25,Overweight,0
1522,0,112.99753787103909,9091,5.783089291962505e+06,112.99753787103909,11,26,Obese,0
1635,0,0,8365,1.0774212074564232e+06,0,12,3,Steatosis,0
1636,0,244.21079351968348,1613,447612.3951225142,244.21079351968348,12,4,NASH,0
1637,0,33.51715255558448,185,670212.4375771333,33.51715255558448,12,5,Cirrhosis,0
1638,0,1.6241891454487165,6,376808.9696583954,1.6241891454487165,12,6,HCC,0
1639,234.67237696424007,0,104,0,234.67237696424007,12,7,Liver death,0
1640,0,0,1898,0,0,12,8,Natural death,0
1645,0,113.92745397151727,1885,2.444597873692927e+07,113.92745397151727,12,13,CHD,0
1646,327.37894797066446,0,493,0,327.37894797066446,12,14,CHD death,0
1651,0,96.63099413109812,3344,3.634234460597123e+07,96.63099413109812,12,19,T2DM,0
1652,779.2058734846155,0,796,0,779.2058734846155,12,20,T2DM death,0
1657,0,0,8321,1.6353469204492494e+06,0,12,25,Overweight,0
1658,0,110.05630719637102,9120,5.632560351772113e+06,110.05630719637102,12,26,Obese,0
1771,0,0,8463,1.05829486924884e+06,0,13,3,Steatosis,0
1772,0,244.59444225422192,1664,448315.5824242688,244.59444225422192,13,4,NASH,0
1773,0,33.596306156476665,191,671795.2011400315,33.596306156476665,13,5,Cirrhosis,0
1774,0,1.8396964430648892,7,426806.2763120982,1.8396964430648892,13,6,HCC,0
1775,203.0634361131696,0,120,0,203.0634361131696,13,7,Liver death,0
1776,0,0,2060,0,0,13,8,Natural death,0
1781,0,113.24971603359042,1930,2.430055314685271e+07,113.24971603359042,13,13,CHD,0
1782,239.444514337531,0,539,0,239.444514337531,13,14,CHD death,0
1787,0,96.11702335821496,3426,3.614904324222497e+07,96.11702335821496,13,19,T2DM,0
1788,951.4991561966372,0,910,0,951.4991561966372,13,20,T2DM death,0
1793,0,0,8343,1.5919132382696879e+06,0,13,25,Overweight,0
1794,0,107.54203327323724,9179,5.503882586965059e+06,107.54203327323724,13,26,Obese,0
1907,0,0,8544,1.0373047454839934e+06,0,14,3,Steatosis,0
1908,0,248.8871751840144,1744,456183.70504336816,248.8871751840144,14,4,NASH,0
1909,0,34.32550977203185,201,686376.4318057552,34.32550977203185,14,5,Cirrhosis,0
1910,0,2.0412720588792115,8,473571.45776654454,2.0412720588792115,14,6,HCC,0
1911,209.27980340413473,0,134,0,209.27980340413473,14,7,Liver death,0
1912,0,0,2236,0,0,14,8,Natural death,0
1917,0,109.78027204423606,1927,2.3556097345936574e+07,109.78027204423606,14,13,CHD,0
1918,376.0082940816417,0,605,0,376.0082940816417,14,14,CHD death,0
1923,0,96.12301572529768,3529,3.615129693599591e+07,96.12301572529768,14,19,T2DM,0
1924,842.9218036305441,0,1009,0,842.9218036305441,14,20,T2DM death,0
1929,0,0,8379,1.55221585952037e+06,0,14,25,Overweight,0
1930,0,104.61448832801477,9197,5.354054067305784e+06,104.61448832801477,14,26,Obese,0
2043,0,0,8596,1.0132212910643691e+06,0,15,3,Steatosis,0
2044,0,253.83077900213274,1832,465244.80473380804,253.83077900213274,15,4,NASH,0
2045,0,34.98373454039843,211,699538.3621263296,34.98373454039843,15,5,Cirrhosis,0
2046,0,1.7340903412808837,7,402305.8500443946,1.7340903412808837,15,6,HCC,0
2047,123.94358238474805,0,143,0,123.94358238474805,15,7,Liver death,0
2048,0,0,2371,0,0,15,8,Natural death,0
2053,0,109.84609120260336,1986,2.3570220489128746e+07,109.84609120260336,15,13,CHD,0
2054,331.4116514309589,0,659,0,331.4116514309589,15,14,CHD death,0
2059,0,96.52312390741416,3650,3.630177525369337e+07,96.52312390741416,15,19,T2DM,0
2060,918.1048616352087,0,1121,0,918.1048616352087,15,20,T2DM death,0
2065,0,0,8421,1.5145596020824835e+06,0,15,25,Overweight,0
2066,0,102.26320760121858,9260,5.233718114418671e+06,102.26320760121858,15,26,Obese,0
2179,0,0,8661,991148.4684581585,0,16,3,Steatosis,0
2180,0,254.50875157503566,1892,466487.4563087592,254.50875157503566,16,4,NASH,0
2181,0,34.12576138850817,212,682382.2425379948,34.12576138850817,16,5,Cirrhosis,0
2182,0,1.683582855612508,7,390588.20392659673,1.683582855612508,16,6,HCC,0
2183,209.52512015282002,0,162,0,209.52512015282002,16,7,Liver death,0
2184,0,0,2525,0,0,16,8,Natural death,0
2189,0,107.23738212712402,1997,2.3010456846855976e+07,107.23738212712402,16,13,CHD,0
2190,280.9046372790613,0,718,0,280.9046372790613,16,14,CHD death,0
2195,0,95.84275077707234,3733,3.604589094880581e+07,95.84275077707234,16,19,T2DM,0
2196,761.9875668805233,0,1228,0,761.9875668805233,16,20,T2DM death,0
2201,0,0,8430,1.4720177648287013e+06,0,16,25,Overweight,0
2202,0,99.7885962323103,9307,5.107070235367529e+06,99.7885962323103,16,26,Obese,0
2315,0,0,8750,972168.4079852961,0,17,3,Steatosis,0
2316,0,252.97289137751488,1937,463672.3880159812,252.97289137751488,17,4,NASH,0
2317,0,33.131807173308985,212,662507.031590285,33.131807173308985,17,5,Cirrhosis,0
2318,0,1.6345464617597165,7,379211.84847242397,1.6345464617597165,17,6,HCC,0
2319,298.5487092127053,0,185,0,298.5487092127053,17,7,Liver death,0
2320,0,0,2689,0,0,17,8,Natural death,0
2325,0,104.63531507413842,2007,2.245211841628392e+07,104.63531507413842,17,13,CHD,0
2326,281.86619285856887,0,774,0,281.86619285856887,17,14,CHD death,0
2331,0,95.46910017351732,3830,3.590536316971782e+07,95.46910017351732,17,19,T2DM,0
2332,902.9816312308395,0,1347,0,902.9816312308395,17,20,T2DM death,0
2337,0,0,8426,1.4284653383600588e+06,0,17,25,Overweight,0
2338,0,97.65244254562289,9381,4.997744246995206e+06,97.65244254562289,17,26,Obese,0
2451,0,0,8786,947736.1034740242,0,18,3,Steatosis,0
2452,0,252.32496145138458,1990,462484.8014153508,252.32496145138458,18,4,NASH,0
2453,0,34.13929572263466,225,682652.8764783568,34.13929572263466,18,5,Cirrhosis,0
2454,0,1.5869383123880743,7,368166.8431771106,1.5869383123880743,18,6,HCC,0
2455,112.87600341351816,0,196,0,112.87600341351816,18,7,Liver death,0
2456,0,0,2853,0,0,18,8,Natural death,0
2461,0,103.05556837038114,2036,2.211314433248377e+07,103.05556837038114,18,13,CHD,0
2462,248.81706255876074,0,835,0,248.81706255876074,18,14,CHD death,0
2467,0,93.75327487951937,3874,3.526005143843551e+07,93.75327487951937,18,19,T2DM,0
2468,865.9472991140351,0,1464,0,865.9472991140351,18,20,T2DM death,0
2473,0,0,8403,1.383073915716738e+06,0,18,25,Overweight,0
2474,0,95.34383617531121,9434,4.879592320581042e+06,95.34383617531121,18,26,Obese,0
2587,0,0,8800,921598.31843822,0,19,3,Steatosis,0
2588,0,253.346719357422,2058,464357.5749196432,253.346719357422,19,4,NASH,0
2589,0,34.912677826383685,237,698117.5047480931,34.912677826383685,19,5,Cirrhosis,0
2590,0,1.7608192093071562,8,408506.8995030354,1.7608192093071562,19,6,HCC,0
2591,216.2679285816785,0,218,0,216.2679285816785,19,7,Liver death,0
2592,0,0,3009,0,0,19,8,Natural death,0
2597,0,99.56252575885938,2026,2.136362485819066e+07,99.56252575885938,19,13,CHD,0
2598,308.44746463678644,0,900,0,308.44746463678644,19,14,CHD death,0
2603,0,92.43234292244358,3934,3.476325675246132e+07,92.43234292244358,19,19,T2DM,0
2604,834.7892823086036,0,1578,0,834.7892823086036,19,20,T2DM death,0
2609,0,0,8438,1.3483831711529915e+06,0,19,25,Overweight,0
2610,0,93.09668166077904,9488,4.7645854323311085e+06,93.09668166077904,19,26,Obese,0
2723,0,0,8858,900652.9021099379,0,20,3,Steatosis,0
2724,0,252.30213354633975,2111,462442.9602948657,252.30213354633975,20,4,NASH,0
2725,0,35.4690266721688,248,709242.3136189713,35.4690266721688,20,5,Cirrhosis,0
2726,0,1.2821499096896767,6,297456.48022065684,1.2821499096896767,20,6,HCC,0
2727,224.65747045982368,0,239,0,224.65747045982368,20,7,Liver death,0
2728,0,0,3150,0,0,20,8,Natural death,0
2733,0,97.61686795092226,2046,2.0946135414303154e+07,97.61686795092226,20,13,CHD,0
2734,216.98105168050645,0,951,0,216.98105168050645,20,14,CHD death,0
2739,0,91.22288126585605,3999,3.430838538632063e+07,91.22288126585605,20,19,T2DM,0
2740,809.6263700405779,0,1702,0,809.6263700405779,20,20,T2DM death,0
2745,0,0,8457,1.3120576217205923e+06,0,20,25,Overweight,0
2746,0,90.70902056903986,9522,4.6423875725140665e+06,90.70902056903986,20,26,Obese,0
2859,0,0,8931,881626.5115777396,0,21,3,Steatosis,0
2860,0,248.3185927569288,2140,455141.55396421306,248.3185927569288,21,4,NASH,0
2861,0,35.824494524818384,258,716350.2854435309,35.824494524818384,21,5,Cirrhosis,0
2862,0,1.8672086063441895,9,433189.04886503424,1.8672086063441895,21,6,HCC,0
2863,238.14723377187084,0,262,0,238.14723377187084,21,7,Liver death,0
2864,0,0,3298,0,0,21,8,Natural death,0
2869,0,94.44940815227112,2039,2.0266477858649757e+07,94.44940815227112,21,13,CHD,0
