Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,5403,0,0,2,3,Steatosis,0
276,0,0,769,0,0,2,4,NASH,0
277,0,0,84,0,0,2,5,Cirrhosis,0
278,0,0,1,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1468,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2140,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7467,0,0,2,25,Overweight,0
298,0,0,8322,0,0,2,26,Obese,0
411,0,0,5767,0,0,3,3,Steatosis,0
412,0,0,831,0,0,3,4,NASH,0
413,0,0,91,0,0,3,5,Cirrhosis,0
414,0,0,2,0,0,3,6,HCC,0
415,0,0,6,0,0,3,7,Liver death,0
416,0,0,225,0,0,3,8,Natural death,0
421,0,0,1466,0,0,3,13,CHD,0
422,0,0,44,0,0,3,14,CHD death,0
427,0,0,2250,0,0,3,19,T2DM,0
428,0,0,69,0,0,3,20,T2DM death,0
433,0,0,7881,0,0,3,25,Overweight,0
434,0,0,8319,0,0,3,26,Obese,0
547,0,0,6021,0,0,4,3,Steatosis,0
548,0,0,919,0,0,4,4,NASH,0
549,0,0,97,0,0,4,5,Cirrhosis,0
550,0,0,4,0,0,4,6,HCC,0
551,0,0,15,0,0,4,7,Liver death,0
552,0,0,443,0,0,4,8,Natural death,0
557,0,0,1491,0,0,4,13,CHD,0
558,0,0,79,0,0,4,14,CHD death,0
563,0,0,2357,0,0,4,19,T2DM,0
564,0,0,143,0,0,4,20,T2DM death,0
569,0,0,8119,0,0,4,25,Overweight,0
570,0,0,8374,0,0,4,26,Obese,0
683,0,0,6278,0,0,5,3,Steatosis,0
684,0,0,1001,0,0,5,4,NASH,0
685,0,0,107,0,0,5,5,Cirrhosis,0
686,0,0,6,0,0,5,6,HCC,0
687,0,0,21,0,0,5,7,Liver death,0
688,0,0,677,0,0,5,8,Natural death,0
693,0,0,1516,0,0,5,13,CHD,0
694,0,0,109,0,0,5,14,CHD death,0
699,0,0,2527,0,0,5,19,T2DM,0
700,0,0,205,0,0,5,20,T2DM death,0
705,0,0,8407,0,0,5,25,Overweight,0
706,0,0,8392,0,0,5,26,Obese,0
819,0,0,6512,0,0,6,3,Steatosis,0
820,0,0,1104,0,0,6,4,NASH,0
821,0,0,108,0,0,6,5,Cirrhosis,0
822,0,0,7,0,0,6,6,HCC,0
823,0,0,29,0,0,6,7,Liver death,0
824,0,0,867,0,0,6,8,Natural death,0
829,0,0,1523,0,0,6,13,CHD,0
830,0,0,154,0,0,6,14,CHD death,0
835,0,0,2619,0,0,6,19,T2DM,0
836,0,0,301,0,0,6,20,T2DM death,0
841,0,0,8580,0,0,6,25,Overweight,0
842,0,0,8397,0,0,6,26,Obese,0
955,0,0,6763,639534.1019618774,0,7,3,Steatosis,0
956,0,229.6058931239582,1171,363998.3168336457,229.6058931239582,7,4,NASH,0
957,0,20.619601958619448,116,607322.4940114802,20.619601958619448,7,5,Cirrhosis,0
958,0,1.9291334367063186,6,185335.2692447855,1.9291334367063186,7,6,HCC,0
959,212.147450608,0,42,0,212.147450608,7,7,Liver death,0
960,0,0,1057,0,0,7,8,Natural death,0
965,0,114.44478213791162,1534,6.282425504155062e+06,114.44478213791162,7,13,CHD,0
966,241.28230190999994,0,188,0,241.28230190999994,7,14,CHD death,0
971,0,84.88726010577251,2777,4.281631335896514e+07,84.88726010577251,7,19,T2DM,0
972,789.9186519779998,0,375,0,789.9186519779998,7,20,T2DM death,0
977,0,0,8690,2.4060296598451673e+06,0,7,25,Overweight,0
978,0,124.53732905259183,8455,4.825234964248816e+06,124.53732905259183,7,26,Obese,0
1091,0,0,6932,636422.6817821136,0,8,3,Steatosis,0
1092,0,239.2898009806711,1257,379350.38864790107,239.2898009806711,8,4,NASH,0
1093,0,22.607698833102972,131,665879.1991588855,22.607698833102972,8,5,Cirrhosis,0
1094,0,1.2486300561205947,4,119958.10307105858,1.2486300561205947,8,6,HCC,0
1095,277.298522231068,0,59,0,277.298522231068,8,7,Liver death,0
1096,0,0,1245,0,0,8,8,Natural death,0
1101,0,111.54603390614066,1540,6.123299247097176e+06,111.54603390614066,8,13,CHD,0
1102,205.87724628834954,0,219,0,205.87724628834954,8,14,CHD death,0
1107,0,85.5012905470825,2881,4.312602437748887e+07,85.5012905470825,8,19,T2DM,0
1108,951.6816364194178,0,465,0,951.6816364194178,8,20,T2DM death,0
1113,0,0,8838,2.3757348736650012e+06,0,8,25,Overweight,0
1114,0,121.49634531539301,8496,4.7074111666291505e+06,121.49634531539301,8,26,Obese,0
1227,0,0,7098,632682.5633882466,0,9,3,Steatosis,0
1228,0,249.3237416277886,1349,395257.37368676637,249.3237416277886,9,4,NASH,0
1229,0,22.786978739361263,136,671159.6463767047,22.786978739361263,9,5,Cirrhosis,0
1230,0,1.5153277380104304,5,145580.22217361478,1.5153277380104304,9,6,HCC,0
1231,216.70447218776513,0,74,0,216.70447218776513,9,7,Liver death,0
1232,0,0,1412,0,0,9,8,Natural death,0
1237,0,109.98486762652993,1564,6.037599308069665e+06,109.98486762652993,9,13,CHD,0
1238,235.48557427750026,0,253,0,235.48557427750026,9,14,CHD death,0
1243,0,86.58380419891932,3005,4.367203379839227e+07,86.58380419891932,9,19,T2DM,0
1244,745.7873333905176,0,546,0,745.7873333905176,9,20,T2DM death,0
1249,0,0,8937,2.3323757039816366e+06,0,9,25,Overweight,0
1250,0,118.70734742637839,8550,4.59935063384252e+06,118.70734742637839,9,26,Obese,0
1363,0,0,7205,623514.6054012317,0,10,3,Steatosis,0
1364,0,262.15894299136994,1461,415605.2472931251,262.15894299136994,10,4,NASH,0
1365,0,23.261978581729412,143,685150.1244422367,23.261978581729412,10,5,Cirrhosis,0
1366,0,1.765430374381084,6,169608.0258333376,1.765430374381084,10,6,HCC,0
1367,124.75373012655497,0,81,0,124.75373012655497,10,7,Liver death,0
1368,0,0,1604,0,0,10,8,Natural death,0
1373,0,108.14691624688652,1584,5.936705301307757e+06,108.14691624688652,10,13,CHD,0
1374,223.7606577004137,0,292,0,223.7606577004137,10,14,CHD death,0
1379,0,88.09020545769812,3149,4.443184803035098e+07,88.09020545769812,10,19,T2DM,0
1380,670.9785266155222,0,620,0,670.9785266155222,10,20,T2DM death,0
1385,0,0,9014,2.2839525650090454e+06,0,10,25,Overweight,0
1386,0,115.95078664185763,8602,4.49254688608502e+06,115.95078664185763,10,26,Obese,0
1499,0,0,7317,614764.0686040927,0,11,3,Steatosis,0
1500,0,273.8607406699851,1572,434156.31582624826,273.8607406699851,11,4,NASH,0
1501,0,24.953442975851967,158,734969.920984955,24.953442975851967,11,5,Cirrhosis,0
1502,0,1.9996784175837519,7,192112.6506202853,1.9996784175837519,11,6,HCC,0
1503,161.7972636242625,0,92,0,161.7972636242625,11,7,Liver death,0
1504,0,0,1775,0,0,11,8,Natural death,0
1509,0,106.98558572525033,1614,5.872954273505789e+06,106.98558572525033,11,13,CHD,0
1510,198.69157220635174,0,325,0,198.69157220635174,11,14,CHD death,0
1515,0,87.67005189425572,3228,4.421992663473653e+07,87.67005189425572,11,19,T2DM,0
1516,1091.3128427417646,0,731,0,1091.3128427417646,11,20,T2DM death,0
1521,0,0,9086,2.235141560342297e+06,0,11,25,Overweight,0
1522,0,112.59975307916133,8604,4.362710117975608e+06,112.59975307916133,11,26,Obese,0
1635,0,0,7472,609501.8941938139,0,12,3,Steatosis,0
1636,0,278.06211718512697,1644,440816.8329370503,278.06211718512697,12,4,NASH,0
1637,0,25.299975980186787,165,745176.5820481555,25.299975980186787,12,5,Cirrhosis,0
1638,0,2.496131173128124,9,239807.74696013422,2.496131173128124,12,6,HCC,0
1639,227.6409307810568,0,110,0,227.6409307810568,12,7,Liver death,0
1640,0,0,1956,0,0,12,8,Natural death,0
1645,0,106.37935852783323,1653,5.839675541743747e+06,106.37935852783323,12,13,CHD,0
1646,178.56952211926125,0,359,0,178.56952211926125,12,14,CHD death,0
1651,0,88.72899887637922,3365,4.475404925526567e+07,88.72899887637922,12,19,T2DM,0
1652,712.4670072025261,0,810,0,712.4670072025261,12,20,T2DM death,0
1657,0,0,9074,2.167174348944697e+06,0,12,25,Overweight,0
1658,0,110.37472467072672,8687,4.276500746419898e+06,110.37472467072672,12,26,Obese,0
1771,0,0,7596,601569.6643903635,0,13,3,Steatosis,0
1772,0,284.41380658389795,1732,450886.2794078747,284.41380658389795,13,4,NASH,0
1773,0,25.456286511397057,171,749780.4973829624,25.456286511397057,13,5,Cirrhosis,0
1774,0,2.6926981371392915,10,258692.28366789027,2.6926981371392915,13,6,HCC,0
1775,232.9628246213453,0,128,0,232.9628246213453,13,7,Liver death,0
1776,0,0,2093,0,0,13,8,Natural death,0
1781,0,107.27970832220244,1717,5.889100079980385e+06,107.27970832220244,13,13,CHD,0
1782,203.09048206843792,0,394,0,203.09048206843792,13,14,CHD death,0
1787,0,89.8310873086041,3509,4.5309932006156154e+07,89.8310873086041,13,19,T2DM,0
1788,842.399609770836,0,907,0,842.399609770836,13,20,T2DM death,0
1793,0,0,9119,2.1144872352700126e+06,0,13,25,Overweight,0
1794,0,108.29480809784006,8779,4.195913775055227e+06,108.29480809784006,13,26,Obese,0
1907,0,0,7715,593197.9990454639,0,14,3,Steatosis,0
1908,0,288.5653209247143,1810,457467.74912454636,288.5653209247143,14,4,NASH,0
1909,0,25.582028686295843,177,753484.0631169269,25.582028686295843,14,5,Cirrhosis,0
1910,0,1.5685620216345388,6,150694.53417547003,1.5685620216345388,14,6,HCC,0
1911,251.5233021031269,0,149,0,251.5233021031269,14,7,Liver death,0
1912,0,0,2270,0,0,14,8,Natural death,0
1917,0,105.79290550458701,1744,5.807482309676262e+06,105.79290550458701,14,13,CHD,0
1918,177.95080379596,0,430,0,177.95080379596,14,14,CHD death,0
1923,0,89.74981290035588,3611,4.526893798034481e+07,89.74981290035588,14,19,T2DM,0
1924,792.1337840425178,0,1001,0,792.1337840425178,14,20,T2DM death,0
1929,0,0,9167,2.0637061513219092e+06,0,14,25,Overweight,0
1930,0,105.70347998050887,8826,4.0955120149503867e+06,105.70347998050887,14,26,Obese,0
2043,0,0,7849,585923.411650222,0,15,3,Steatosis,0
2044,0,290.22151838964857,1875,460093.3485000127,290.22151838964857,15,4,NASH,0
2045,0,25.257885818294316,180,743936.8732436342,25.257885818294316,15,5,Cirrhosis,0
2046,0,2.0305009988796616,8,195073.83064785763,2.0305009988796616,15,6,HCC,0
2047,281.18473108776254,0,171,0,281.18473108776254,15,7,Liver death,0
2048,0,0,2428,0,0,15,8,Natural death,0
2053,0,103.77165510547916,1762,5.696526136573396e+06,103.77165510547916,15,13,CHD,0
2054,210.50647289040626,0,475,0,210.50647289040626,15,14,CHD death,0
2059,0,89.23510635127994,3698,4.5009324972863324e+07,89.23510635127994,15,19,T2DM,0
2060,839.5265564624472,0,1101,0,839.5265564624472,15,20,T2DM death,0
2065,0,0,9249,2.0215206501133086e+06,0,15,25,Overweight,0
2066,0,102.92705409081415,8852,3.9879385879262686e+06,102.92705409081415,15,26,Obese,0
2179,0,0,7920,574003.4189340791,0,16,3,Steatosis,0
2180,0,292.43809697669815,1946,463607.3300613582,292.43809697669815,16,4,NASH,0
2181,0,26.15703385713324,192,770420.0629060342,26.15703385713324,16,5,Cirrhosis,0
2182,0,1.9713601930870506,8,189392.06859015304,1.9713601930870506,16,6,HCC,0
2183,164.79236613674854,0,184,0,164.79236613674854,16,7,Liver death,0
2184,0,0,2604,0,0,16,8,Natural death,0
2189,0,101.5496839796656,1776,5.574551435677952e+06,101.5496839796656,16,13,CHD,0
2190,213.96983856202274,0,523,0,213.96983856202274,16,14,CHD death,0
2195,0,88.69767248786042,3786,4.473824852774354e+07,88.69767248786042,16,19,T2DM,0
2196,1070.3696915584153,0,1235,0,1070.3696915584153,16,20,T2DM death,0
2201,0,0,9260,1.9649756121671482e+06,0,16,25,Overweight,0
2202,0,100.019489780671,8860,3.875284164734776e+06,100.019489780671,16,26,Obese,0
2315,0,0,8006,563336.1983900719,0,17,3,Steatosis,0
2316,0,299.8235311104231,2055,475315.5904948534,299.8235311104231,17,4,NASH,0
2317,0,25.527445056769377,193,751876.376116827,25.527445056769377,17,5,Cirrhosis,0
2318,0,2.1531846769154677,9,206860.26909118658,2.1531846769154677,17,6,HCC,0
2319,123.12463074358445,0,195,0,123.12463074358445,17,7,Liver death,0
2320,0,0,2755,0,0,17,8,Natural death,0
2325,0,100.53489771231585,1811,5.518844928066237e+06,100.53489771231585,17,13,CHD,0
2326,180.917858278995,0,560,0,180.917858278995,17,14,CHD death,0
2331,0,88.47977114914293,3890,4.4628341199028365e+07,88.47977114914293,17,19,T2DM,0
2332,764.6784360969954,0,1343,0,764.6784360969954,17,20,T2DM death,0
2337,0,0,9299,1.9157780848359966e+06,0,17,25,Overweight,0
2338,0,97.36934265611907,8884,3.7726034451238276e+06,97.36934265611907,17,26,Obese,0
2451,0,0,8117,554511.2915716527,0,18,3,Steatosis,0
2452,0,300.01475864781105,2118,475618.7469199738,300.01475864781105,18,4,NASH,0
2453,0,26.838553331982443,209,790493.2974919124,26.838553331982443,18,5,Cirrhosis,0
2454,0,0.696823520037368,3,66945.07090329663,0.696823520037368,18,6,HCC,0
2455,165.6587356217409,0,212,0,165.6587356217409,18,7,Liver death,0
2456,0,0,2906,0,0,18,8,Natural death,0
2461,0,99.60087007250736,1848,5.4675716506282445e+06,99.60087007250736,18,13,CHD,0
2462,278.02008801561084,0,616,0,278.02008801561084,18,14,CHD death,0
2467,0,88.22140058922272,3995,4.449802158637589e+07,88.22140058922272,18,19,T2DM,0
2468,890.8608624470519,0,1464,0,890.8608624470519,18,20,T2DM death,0
2473,0,0,9317,1.8635790690946372e+06,0,18,25,Overweight,0
2474,0,95.17179359386363,8944,3.6874587688121153e+06,95.17179359386363,18,26,Obese,0
2587,0,0,8166,541610.404984183,0,19,3,Steatosis,0
2588,0,299.2528740328527,2176,474410.91765348346,299.2528740328527,19,4,NASH,0
2589,0,27.926956595736044,224,822550.7438945865,27.926956595736044,19,5,Cirrhosis,0
2590,0,1.1275461489277803,5,108325.35744870006,1.1275461489277803,19,6,HCC,0
2591,221.18509430889085,0,230,0,221.18509430889085,19,7,Liver death,0
2592,0,0,3051,0,0,19,8,Natural death,0
2597,0,97.48477543031906,1863,5.351409020048034e+06,97.48477543031906,19,13,CHD,0
2598,200.97200322617192,0,660,0,200.97200322617192,19,14,CHD death,0
2603,0,87.06686945887964,4061,4.391568724553347e+07,87.06686945887964,19,19,T2DM,0
2604,951.0110156614819,0,1594,0,951.0110156614819,19,20,T2DM death,0
2609,0,0,9376,1.8207574786904536e+06,0,19,25,Overweight,0
2610,0,92.04854813134084,8910,3.5664477167644934e+06,92.04854813134084,19,26,Obese,0
2723,0,0,8177,526543.6704824927,0,20,3,Steatosis,0
2724,0,301.6188260459288,2259,478161.70357086015,301.6188260459288,20,4,NASH,0
2725,0,28.566061705069878,236,841374.7206966111,28.566061705069878,20,5,Cirrhosis,0
2726,0,1.7515279983344156,8,168272.39992031074,1.7515279983344156,20,6,HCC,0
2727,217.81773991159386,0,249,0,217.81773991159386,20,7,Liver death,0
2728,0,0,3213,0,0,20,8,Natural death,0
2733,0,95.00103187503612,1870,5.215064369239445e+06,95.00103187503612,20,13,CHD,0
2734,212.78024650695644,0,716,0,212.78024650695644,20,14,CHD death,0
2739,0,85.86312054706458,4125,4.3308527931520365e+07,85.86312054706458,20,19,T2DM,0
2740,942.4799978918907,0,1732,0,942.4799978918907,20,20,T2DM death,0
2745,0,0,9397,1.7716849907277003e+06,0,20,25,Overweight,0
2746,0,89.66842320661473,8940,3.47422908566587e+06,89.66842320661473,20,26,Obese,0
2859,0,0,8218,513770.67384420545,0,21,3,Steatosis,0
2860,0,299.0560440816918,2307,474098.8796219513,299.0560440816918,21,4,NASH,0
2861,0,30.084382904796254,256,886094.818571389,30.084382904796254,21,5,Cirrhosis,0
2862,0,1.9130766972099198,9,183792.6698158734,1.9130766972099198,21,6,HCC,0
2863,228.7948834322207,0,274,0,228.7948834322207,21,7,Liver death,0
2864,0,0,3377,0,0,21,8,Natural death,0
2869,0,91.9873965250777,1865,5.04963140471996e+06,91.9873965250777,21,13,CHD,0
2870,161.77227483311043,0,767,0,161.77227483311043,21,14,CHD death,0
