Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,7721,0,0,2,3,Steatosis,0
276,0,0,670,0,0,2,4,NASH,0
277,0,0,74,0,0,2,5,Cirrhosis,0
278,0,0,6,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1492,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2076,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7575,0,0,2,25,Overweight,0
298,0,0,8331,0,0,2,26,Obese,0
411,0,0,8043,0,0,3,3,Steatosis,0
412,0,0,989,0,0,3,4,NASH,0
413,0,0,91,0,0,3,5,Cirrhosis,0
414,0,0,6,0,0,3,6,HCC,0
415,0,0,6,0,0,3,7,Liver death,0
416,0,0,187,0,0,3,8,Natural death,0
421,0,0,1535,0,0,3,13,CHD,0
422,0,0,38,0,0,3,14,CHD death,0
427,0,0,2193,0,0,3,19,T2DM,0
428,0,0,67,0,0,3,20,T2DM death,0
433,0,0,7777,0,0,3,25,Overweight,0
434,0,0,8274,0,0,3,26,Obese,0
547,0,0,8264,0,0,4,3,Steatosis,0
548,0,0,1334,0,0,4,4,NASH,0
549,0,0,107,0,0,4,5,Cirrhosis,0
550,0,0,7,0,0,4,6,HCC,0
551,0,0,17,0,0,4,7,Liver death,0
552,0,0,404,0,0,4,8,Natural death,0
557,0,0,1601,0,0,4,13,CHD,0
558,0,0,71,0,0,4,14,CHD death,0
563,0,0,2321,0,0,4,19,T2DM,0
564,0,0,128,0,0,4,20,T2DM death,0
569,0,0,7917,0,0,4,25,Overweight,0
570,0,0,8224,0,0,4,26,Obese,0
683,0,0,8453,0,0,5,3,Steatosis,0
684,0,0,1667,0,0,5,4,NASH,0
685,0,0,136,0,0,5,5,Cirrhosis,0
686,0,0,7,0,0,5,6,HCC,0
687,0,0,24,0,0,5,7,Liver death,0
688,0,0,612,0,0,5,8,Natural death,0
693,0,0,1662,0,0,5,13,CHD,0
694,0,0,109,0,0,5,14,CHD death,0
699,0,0,2495,0,0,5,19,T2DM,0
700,0,0,182,0,0,5,20,T2DM death,0
705,0,0,8073,0,0,5,25,Overweight,0
706,0,0,8202,0,0,5,26,Obese,0
819,0,0,8545,0,0,6,3,Steatosis,0
820,0,0,1960,0,0,6,4,NASH,0
821,0,0,172,0,0,6,5,Cirrhosis,0
822,0,0,5,0,0,6,6,HCC,0
823,0,0,37,0,0,6,7,Liver death,0
824,0,0,801,0,0,6,8,Natural death,0
829,0,0,1692,0,0,6,13,CHD,0
830,0,0,153,0,0,6,14,CHD death,0
835,0,0,2584,0,0,6,19,T2DM,0
836,0,0,248,0,0,6,20,T2DM death,0
841,0,0,8186,0,0,6,25,Overweight,0
842,0,0,8171,0,0,6,26,Obese,0
955,0,0,8585,882842.9434892444,0,7,3,Steatosis,0
956,0,365.1951931978615,2225,1.0774342929958678e+06,365.1951931978615,7,4,NASH,0
957,0,39.608836378332555,232,585559.8110361396,39.608836378332555,7,5,Cirrhosis,0
958,0,2.550496328543643,10,470414.23477940774,2.550496328543643,7,6,HCC,0
959,190.742699403,0,48,0,190.742699403,7,7,Liver death,0
960,0,0,992,0,0,7,8,Natural death,0
965,0,148.24955711280165,1730,1.5172052123778764e+07,148.24955711280165,7,13,CHD,0
966,292.44824058200004,0,203,0,292.44824058200004,7,14,CHD death,0
971,0,85.4834062012175,2727,1.9190531413160224e+07,85.4834062012175,7,19,T2DM,0
972,793.9909641199997,0,318,0,793.9909641199997,7,20,T2DM death,0
977,0,0,8343,2.3289404816515516e+06,0,7,25,Overweight,0
978,0,95.31378623995793,8133,5.790724219925823e+06,95.31378623995793,7,26,Obese,0
1091,0,0,8596,858227.3147717742,0,8,3,Steatosis,0
1092,0,390.2533121594918,2449,1.15136318688642e+06,390.2533121594918,8,4,NASH,0
1093,0,48.56624145819999,293,717982.1921392251,48.56624145819999,8,5,Cirrhosis,0
1094,0,3.4666940387971845,14,639397.9890205539,3.4666940387971845,8,6,HCC,0
1095,180.8802046213592,0,60,0,180.8802046213592,8,7,Liver death,0
1096,0,0,1165,0,0,8,8,Natural death,0
1101,0,146.67712508550736,1763,1.5011127388866901e+07,146.67712508550736,8,13,CHD,0
1102,266.358936607767,0,249,0,266.358936607767,8,14,CHD death,0
1107,0,87.61957072685057,2879,1.9670088022504795e+07,87.61957072685057,8,19,T2DM,0
1108,820.6928811932044,0,397,0,820.6928811932044,8,20,T2DM death,0
1113,0,0,8482,2.2987788338775104e+06,0,8,25,Overweight,0
1114,0,91.9459980977943,8081,5.586116543198599e+06,91.9459980977943,8,26,Obese,0
1227,0,0,8590,832648.8086454782,0,9,3,Steatosis,0
1228,0,412.7683726036787,2668,1.2177893027916288e+06,412.7683726036787,9,4,NASH,0
1229,0,54.71527252655151,340,808886.7932248828,54.71527252655151,9,5,Cirrhosis,0
1230,0,4.327357329982615,18,798138.9599424395,4.327357329982615,9,6,HCC,0
1231,396.1459365821474,0,84,0,396.1459365821474,9,7,Liver death,0
1232,0,0,1355,0,0,9,8,Natural death,0
1237,0,145.7974936694063,1805,1.4921104767857598e+07,145.7974936694063,9,13,CHD,0
1238,284.7051765746065,0,291,0,284.7051765746065,9,14,CHD death,0
1243,0,89.20420858926987,3019,2.002583007851907e+07,89.20420858926987,9,19,T2DM,0
1244,849.5294391290414,0,483,0,849.5294391290414,9,20,T2DM death,0
1249,0,0,8579,2.257347211094058e+06,0,9,25,Overweight,0
1250,0,89.02493307086846,8059,5.408649225337285e+06,89.02493307086846,9,26,Obese,0
1363,0,0,8576,807079.3746330995,0,10,3,Steatosis,0
1364,0,432.43917291089025,2879,1.2758240064690665e+06,432.43917291089025,10,4,NASH,0
1365,0,60.30866703383461,386,891577.1050394159,60.30866703383461,10,5,Cirrhosis,0
1366,0,3.5010981634163567,15,645743.4950990608,3.5010981634163567,10,6,HCC,0
1367,396.8782171118678,0,108,0,396.8782171118678,10,7,Liver death,0
1368,0,0,1541,0,0,10,8,Natural death,0
1373,0,144.29572027631235,1840,1.4767411329293571e+07,144.29572027631235,10,13,CHD,0
1374,260.8795646588764,0,334,0,260.8795646588764,10,14,CHD death,0
1379,0,89.90503179499797,3134,2.018316084412847e+07,89.90503179499797,10,19,T2DM,0
1380,711.6957218372017,0,564,0,711.6957218372017,10,20,T2DM death,0
1385,0,0,8607,2.198752139836502e+06,0,10,25,Overweight,0
1386,0,86.61429716523212,8076,5.262192681380235e+06,86.61429716523212,10,26,Obese,0
1499,0,0,8575,783480.8403536124,0,11,3,Steatosis,0
1500,0,445.65572337197403,3056,1.3148167560100593e+06,445.65572337197403,11,4,NASH,0
1501,0,64.61967945171692,426,955309.2377553942,64.61967945171692,11,5,Cirrhosis,0
1502,0,5.211990793435353,23,961300.9959403494,5.211990793435353,11,6,HCC,0
1503,513.7235713516982,0,142,0,513.7235713516982,11,7,Liver death,0
1504,0,0,1703,0,0,11,8,Natural death,0
1509,0,143.06229337231082,1879,1.4641180818774978e+07,143.06229337231082,11,13,CHD,0
1510,405.8043006398144,0,398,0,405.8043006398144,11,14,CHD death,0
1515,0,90.76786966001602,3259,2.0376862965848606e+07,90.76786966001602,11,19,T2DM,0
1516,806.2782058756168,0,652,0,806.2782058756168,11,20,T2DM death,0
1521,0,0,8712,2.16075294801279e+06,0,11,25,Overweight,0
1522,0,83.45638663034399,8015,5.0703359758581305e+06,83.45638663034399,11,26,Obese,0
1635,0,0,8517,755516.0142989161,0,12,3,Steatosis,0
1636,0,461.41666321524696,3259,1.3613162099821572e+06,461.41666321524696,12,4,NASH,0
1637,0,72.31018417154958,491,1.0690023149138512e+06,72.31018417154958,12,5,Cirrhosis,0
1638,0,4.620169128836741,21,852145.2475621504,4.620169128836741,12,6,HCC,0
1639,365.1514879995967,0,169,0,365.1514879995967,12,7,Liver death,0
1640,0,0,1879,0,0,12,8,Natural death,0
1645,0,143.92198142778224,1947,1.4729162410368823e+07,143.92198142778224,12,13,CHD,0
1646,305.26898616333517,0,453,0,305.26898616333517,12,14,CHD death,0
1651,0,90.99041084314078,3365,2.0426822177296393e+07,90.99041084314078,12,19,T2DM,0
1652,807.1665687072459,0,734,0,807.1665687072459,12,20,T2DM death,0
1657,0,0,8812,2.121898037958123e+06,0,12,25,Overweight,0
1658,0,81.0458365825466,8017,4.923884648136184e+06,81.0458365825466,12,26,Obese,0
1771,0,0,8471,729549.0295396098,0,13,3,Steatosis,0
1772,0,469.28341477571854,3414,1.3845254637281883e+06,469.28341477571854,13,4,NASH,0
1773,0,78.21104293167912,547,1.15623804452548e+06,78.21104293167912,13,5,Cirrhosis,0
1774,0,5.980801461277335,28,1.1031006440933982e+06,5.980801461277335,13,6,HCC,0
1775,363.90098331798384,0,198,0,363.90098331798384,13,7,Liver death,0
1776,0,0,2054,0,0,13,8,Natural death,0
1781,0,142.7442872329555,1989,1.4608635657658363e+07,142.7442872329555,13,13,CHD,0
1782,283.7482677441266,0,504,0,283.7482677441266,13,14,CHD death,0
1787,0,90.5454282369876,3449,2.032692614997046e+07,90.5454282369876,13,19,T2DM,0
1788,962.3437663595605,0,847,0,962.3437663595605,13,20,T2DM death,0
1793,0,0,8853,2.0696802826290813e+06,0,13,25,Overweight,0
1794,0,78.44972295574551,7993,4.766159531450435e+06,78.44972295574551,13,26,Obese,0
1907,0,0,8463,707631.1111691223,0,14,3,Steatosis,0
1908,0,474.56555898968054,3556,1.4001093581022667e+06,474.56555898968054,14,4,NASH,0
1909,0,84.26208810551681,607,1.2456940647609616e+06,84.26208810551681,14,5,Cirrhosis,0
1910,0,6.428739434798804,31,1.1857184454540685e+06,6.428739434798804,14,6,HCC,0
1911,547.9272336648947,0,237,0,547.9272336648947,14,7,Liver death,0
1912,0,0,2195,0,0,14,8,Natural death,0
1917,0,142.27954454826727,2042,1.4561073288005743e+07,142.27954454826727,14,13,CHD,0
1918,332.972312179778,0,565,0,332.972312179778,14,14,CHD death,0
1923,0,90.07466449809388,3534,2.0221242407114115e+07,90.07466449809388,14,19,T2DM,0
1924,974.6716561676768,0,957,0,974.6716561676768,14,20,T2DM death,0
1929,0,0,8935,2.028010177591813e+06,0,14,25,Overweight,0
1930,0,76.27912679185383,8005,4.6342864386517145e+06,76.27912679185383,14,26,Obese,0
2043,0,0,8458,686614.5997331911,0,15,3,Steatosis,0
2044,0,473.052206545836,3651,1.3956445188855012e+06,473.052206545836,15,4,NASH,0
2045,0,86.79449263439946,644,1.2831320319669636e+06,86.79449263439946,15,5,Cirrhosis,0
2046,0,6.442833132275658,32,1.188317890840282e+06,6.442833132275658,15,6,HCC,0
2047,641.172046105872,0,290,0,641.172046105872,15,7,Liver death,0
2048,0,0,2354,0,0,15,8,Natural death,0
2053,0,141.6531319399824,2094,1.449696540850124e+07,141.6531319399824,15,13,CHD,0
2054,287.83591939082925,0,622,0,287.83591939082925,15,14,CHD death,0
2059,0,89.43078265946687,3614,2.0076694649838723e+07,89.43078265946687,15,19,T2DM,0
2060,840.0795047837661,0,1067,0,840.0795047837661,15,20,T2DM death,0
2065,0,0,8971,1.9768749820094618e+06,0,15,25,Overweight,0
2066,0,73.80761702885857,7978,4.484131544915176e+06,73.80761702885857,15,26,Obese,0
2179,0,0,8464,667089.0054272542,0,16,3,Steatosis,0
2180,0,471.47600740692315,3748,1.3909942632508145e+06,471.47600740692315,16,4,NASH,0
2181,0,90.67807905028998,693,1.3405452845581316e+06,90.67807905028998,16,5,Cirrhosis,0
2182,0,6.059703492128196,31,1.117653356069439e+06,6.059703492128196,16,6,HCC,0
2183,318.3884413272602,0,320,0,318.3884413272602,16,7,Liver death,0
2184,0,0,2531,0,0,16,8,Natural death,0
2189,0,140.4827705694478,2139,1.4377189106547574e+07,140.4827705694478,16,13,CHD,0
2190,187.72507935835614,0,666,0,187.72507935835614,16,14,CHD death,0
2195,0,88.89214431472591,3700,1.995577344963967e+07,88.89214431472591,16,19,T2DM,0
2196,1030.142021228038,0,1193,0,1030.142021228038,16,20,T2DM death,0
2201,0,0,9000,1.9255004895040388e+06,0,16,25,Overweight,0
2202,0,71.79260964152357,7993,4.361711142353405e+06,71.79260964152357,16,26,Obese,0
2315,0,0,8497,650184.364976464,0,17,3,Steatosis,0
2316,0,469.4681882044908,3844,1.3850706002258477e+06,469.4681882044908,17,4,NASH,0
2317,0,94.8969935843421,747,1.4029158822131613e+06,94.8969935843421,17,5,Cirrhosis,0
2318,0,6.262769033518022,33,1.1551068196145175e+06,6.262769033518022,17,6,HCC,0
2319,463.9425690133262,0,364,0,463.9425690133262,17,7,Liver death,0
2320,0,0,2697,0,0,17,8,Natural death,0
2325,0,139.32418001981915,2185,1.4258617445682535e+07,139.32418001981915,17,13,CHD,0
2326,239.94205072593326,0,714,0,239.94205072593326,17,14,CHD death,0
2331,0,88.16906468372267,3780,1.9793446244985223e+07,88.16906468372267,17,19,T2DM,0
2332,774.0733278328651,0,1299,0,774.0733278328651,17,20,T2DM death,0
2337,0,0,9072,1.8843732945828012e+06,0,17,25,Overweight,0
2338,0,69.74516438688921,7998,4.237319999240993e+06,69.74516438688921,17,26,Obese,0
2451,0,0,8467,629018.2392479071,0,18,3,Steatosis,0
2452,0,467.6516508588293,3944,1.379711275494398e+06,467.6516508588293,18,4,NASH,0
2453,0,98.66988324491804,800,1.4586926421160507e+06,98.66988324491804,18,5,Cirrhosis,0
2454,0,7.001624691782432,38,1.2913815576743635e+06,7.001624691782432,18,6,HCC,0
2455,506.39713071617206,0,411,0,506.39713071617206,18,7,Liver death,0
2456,0,0,2870,0,0,18,8,Natural death,0
2461,0,139.22822459601608,2249,1.4248797243047353e+07,139.22822459601608,18,13,CHD,0
2462,275.8238929272699,0,775,0,275.8238929272699,18,14,CHD death,0
2467,0,87.525924642359,3865,1.9649065016918365e+07,87.525924642359,18,19,T2DM,0
2468,742.3040306955074,0,1397,0,742.3040306955074,18,20,T2DM death,0
2473,0,0,9082,1.8315052676112407e+06,0,18,25,Overweight,0
2474,0,67.9338765565882,8024,4.127276439728874e+06,67.9338765565882,18,26,Obese,0
2587,0,0,8387,604927.1784543552,0,19,3,Steatosis,0
2588,0,466.0031417211168,4048,1.3748476838855061e+06,466.0031417211168,19,4,NASH,0
2589,0,100.34631330005026,838,1.483476254967513e+06,100.34631330005026,19,5,Cirrhosis,0
2590,0,7.155467237386229,40,1.3197563185225993e+06,7.155467237386229,19,6,HCC,0
2591,566.3692170923746,0,465,0,566.3692170923746,19,7,Liver death,0
2592,0,0,3060,0,0,19,8,Natural death,0
2597,0,137.69738548286207,2291,1.4092129180961754e+07,137.69738548286207,19,13,CHD,0
2598,281.5541389117296,0,841,0,281.5541389117296,19,14,CHD death,0
2603,0,85.87805967246109,3906,1.927912884012126e+07,85.87805967246109,19,19,T2DM,0
2604,805.5565777194103,0,1514,0,805.5565777194103,19,20,T2DM death,0
2609,0,0,9133,1.7881457196987327e+06,0,19,25,Overweight,0
2610,0,65.82370406561088,8008,3.999074346057828e+06,65.82370406561088,19,26,Obese,0
2723,0,0,8380,586817.7583485605,0,20,3,Steatosis,0
2724,0,456.5655900866936,4085,1.347004103350156e+06,456.5655900866936,20,4,NASH,0
2725,0,102.07389656074737,878,1.5090160945634362e+06,102.07389656074737,20,5,Cirrhosis,0
2726,0,8.162790295076523,47,1.5055472565670446e+06,8.162790295076523,20,6,HCC,0
2727,621.3886476056699,0,528,0,621.3886476056699,20,7,Liver death,0
2728,0,0,3228,0,0,20,8,Natural death,0
2733,0,134.6204304343915,2307,1.3777229606979486e+07,134.6204304343915,20,13,CHD,0
2734,263.1447000421523,0,903,0,263.1447000421523,20,14,CHD death,0
2739,0,84.93500152532982,3979,1.906741772797574e+07,84.93500152532982,20,19,T2DM,0
2740,795.9506212388717,0,1642,0,795.9506212388717,20,20,T2DM death,0
2745,0,0,9145,1.738344848526623e+06,0,20,25,Overweight,0
2746,0,63.81872513562709,7997,3.8772632155988812e+06,63.81872513562709,20,26,Obese,0
2859,0,0,8301,564355.053879017,0,21,3,Steatosis,0
2860,0,453.5761111721023,4180,1.3381842525944286e+06,453.5761111721023,21,4,NASH,0
2861,0,104.51868568818668,926,1.5451587937785937e+06,104.51868568818668,21,5,Cirrhosis,0
2862,0,8.768128389671132,52,1.6171959789606733e+06,8.768128389671132,21,6,HCC,0
2863,389.9537175207903,0,574,0,389.9537175207903,21,7,Liver death,0
