Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,5980,0,0,2,3,Steatosis,0
276,0,0,685,0,0,2,4,NASH,0
277,0,0,63,0,0,2,5,Cirrhosis,0
278,0,0,5,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1483,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2063,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7385,0,0,2,25,Overweight,0
298,0,0,8411,0,0,2,26,Obese,0
411,0,0,6392,0,0,3,3,Steatosis,0
412,0,0,807,0,0,3,4,NASH,0
413,0,0,66,0,0,3,5,Cirrhosis,0
414,0,0,2,0,0,3,6,HCC,0
415,0,0,7,0,0,3,7,Liver death,0
416,0,0,230,0,0,3,8,Natural death,0
421,0,0,1556,0,0,3,13,CHD,0
422,0,0,26,0,0,3,14,CHD death,0
427,0,0,2159,0,0,3,19,T2DM,0
428,0,0,75,0,0,3,20,T2DM death,0
433,0,0,7697,0,0,3,25,Overweight,0
434,0,0,8364,0,0,3,26,Obese,0
547,0,0,6716,0,0,4,3,Steatosis,0
548,0,0,940,0,0,4,4,NASH,0
549,0,0,66,0,0,4,5,Cirrhosis,0
550,0,0,4,0,0,4,6,HCC,0
551,0,0,13,0,0,4,7,Liver death,0
552,0,0,443,0,0,4,8,Natural death,0
557,0,0,1680,0,0,4,13,CHD,0
558,0,0,63,0,0,4,14,CHD death,0
563,0,0,2257,0,0,4,19,T2DM,0
564,0,0,155,0,0,4,20,T2DM death,0
569,0,0,7942,0,0,4,25,Overweight,0
570,0,0,8351,0,0,4,26,Obese,0
683,0,0,6968,0,0,5,3,Steatosis,0
684,0,0,1066,0,0,5,4,NASH,0
685,0,0,82,0,0,5,5,Cirrhosis,0
686,0,0,4,0,0,5,6,HCC,0
687,0,0,19,0,0,5,7,Liver death,0
688,0,0,688,0,0,5,8,Natural death,0
693,0,0,1756,0,0,5,13,CHD,0
694,0,0,97,0,0,5,14,CHD death,0
699,0,0,2330,0,0,5,19,T2DM,0
700,0,0,246,0,0,5,20,T2DM death,0
705,0,0,8185,0,0,5,25,Overweight,0
706,0,0,8290,0,0,5,26,Obese,0
819,0,0,7214,0,0,6,3,Steatosis,0
820,0,0,1212,0,0,6,4,NASH,0
821,0,0,85,0,0,6,5,Cirrhosis,0
822,0,0,5,0,0,6,6,HCC,0
823,0,0,24,0,0,6,7,Liver death,0
824,0,0,890,0,0,6,8,Natural death,0
829,0,0,1844,0,0,6,13,CHD,0
830,0,0,137,0,0,6,14,CHD death,0
835,0,0,2476,0,0,6,19,T2DM,0
836,0,0,311,0,0,6,20,T2DM death,0
841,0,0,8352,0,0,6,25,Overweight,0
842,0,0,8302,0,0,6,26,Obese,0
955,0,0,7439,814734.5915729282,0,7,3,Steatosis,0
956,0,199.17849671264113,1316,180188.14647068133,199.17849671264113,7,4,NASH,0
957,0,18.27303841380502,97,327111.8621813651,18.27303841380502,7,5,Cirrhosis,0
958,0,1.0443036133362253,4,204438.0225852191,1.0443036133362253,7,6,HCC,0
959,167.424081479,0,35,0,167.424081479,7,7,Liver death,0
960,0,0,1094,0,0,7,8,Natural death,0
965,0,102.59488523453457,1926,2.2408198332466222e+07,102.59488523453457,7,13,CHD,0
966,318.40705339600004,0,185,0,318.40705339600004,7,14,CHD death,0
971,0,81.9829702715327,2584,1.3804436202787526e+07,81.9829702715327,7,19,T2DM,0
972,740.7646927179995,0,385,0,740.7646927179995,7,20,T2DM death,0
977,0,0,8460,3.999974275899986e+06,0,7,25,Overweight,0
978,0,106.52493224647648,8268,1.0288913635462226e+07,106.52493224647648,7,26,Obese,0
1091,0,0,7643,812696.2053037945,0,8,3,Steatosis,0
1092,0,215.5655964510362,1467,195012.84480220327,215.5655964510362,8,4,NASH,0
1093,0,18.838183931757776,103,337228.7238983147,18.838183931757776,8,5,Cirrhosis,0
1094,0,1.0138870032390537,4,198483.51707302826,1.0138870032390537,8,6,HCC,0
1095,193.00534193689316,0,47,0,193.00534193689316,8,7,Liver death,0
1096,0,0,1273,0,0,8,8,Natural death,0
1101,0,103.17514847558853,1995,2.253493616896661e+07,103.17514847558853,8,13,CHD,0
1102,221.96537913009712,0,218,0,221.96537913009712,8,14,CHD death,0
1107,0,83.69192424921029,2717,1.409219286835102e+07,83.69192424921029,8,19,T2DM,0
1108,690.268152519418,0,461,0,690.268152519418,8,20,T2DM death,0
1113,0,0,8558,3.9284559954487914e+06,0,8,25,Overweight,0
1114,0,103.28466817431169,8257,9.975946553562595e+06,103.28466817431169,8,26,Obese,0
1227,0,0,7823,807607.7499801441,0,9,3,Steatosis,0
1228,0,225.69326052477902,1582,204174.90319527301,225.69326052477902,9,4,NASH,0
1229,0,21.66329003369259,122,387801.90701851546,21.66329003369259,9,5,Cirrhosis,0
1230,0,0.984356313824324,4,192702.4437602216,0.984356313824324,9,6,HCC,0
1231,172.53571497030822,0,58,0,172.53571497030822,9,7,Liver death,0
1232,0,0,1466,0,0,9,8,Natural death,0
1237,0,104.23710160611179,2076,2.2766882004416555e+07,104.23710160611179,9,13,CHD,0
1238,207.2443006174003,0,250,0,207.2443006174003,9,14,CHD death,0
1243,0,84.06544877971193,2811,1.4155087583369939e+07,84.06544877971193,9,19,T2DM,0
1244,973.934987903667,0,554,0,973.934987903667,9,20,T2DM death,0
1249,0,0,8572,3.820274312457776e+06,0,9,25,Overweight,0
1250,0,100.71357555634475,8293,9.727612672120413e+06,100.71357555634475,9,26,Obese,0
1363,0,0,7985,800322.1622561592,0,10,3,Steatosis,0
1364,0,236.43317155117893,1707,213890.8348497788,236.43317155117893,10,4,NASH,0
1365,0,21.72190469716111,126,388851.1880020132,21.72190469716111,10,5,Cirrhosis,0
1366,0,1.1946071769712672,5,233862.18902939517,1.1946071769712672,10,6,HCC,0
1367,197.40424580155886,0,70,0,197.40424580155886,10,7,Liver death,0
1368,0,0,1657,0,0,10,8,Natural death,0
1373,0,105.49090291057647,2164,2.3040730239985865e+07,105.49090291057647,10,13,CHD,0
1374,269.78226784000026,0,287,0,269.78226784000026,10,14,CHD death,0
1379,0,84.34621570082699,2905,1.4202363609568018e+07,84.34621570082699,10,19,T2DM,0
1380,859.2563964924448,0,639,0,859.2563964924448,10,20,T2DM death,0
1385,0,0,8670,3.75140764115747e+06,0,10,25,Overweight,0
1386,0,98.03956556540479,8315,9.469338320031635e+06,98.03956556540479,10,26,Obese,0
1499,0,0,8129,791024.2939711073,0,11,3,Steatosis,0
1500,0,244.06993838357795,1815,220799.48655300855,244.06993838357795,11,4,NASH,0
1501,0,24.436724347245566,146,437450.09591843135,24.436724347245566,11,5,Cirrhosis,0
1502,0,1.1598127931759874,5,227050.66896057778,1.1598127931759874,11,6,HCC,0
1503,270.0595828281433,0,86,0,270.0595828281433,11,7,Liver death,0
1504,0,0,1830,0,0,11,8,Natural death,0
1509,0,105.96797176066589,2239,2.314492893747923e+07,105.96797176066589,11,13,CHD,0
1510,288.76027021592125,0,332,0,288.76027021592125,11,14,CHD death,0
1515,0,83.63725815361502,2967,1.4082988095378457e+07,83.63725815361502,11,19,T2DM,0
1516,948.9310231698679,0,740,0,948.9310231698679,11,20,T2DM death,0
1521,0,0,8756,3.678270714323675e+06,0,11,25,Overweight,0
1522,0,95.43588416288588,8337,9.21785678871556e+06,95.43588416288588,11,26,Obese,0
1635,0,0,8276,781872.5307937571,0,12,3,Steatosis,0
1636,0,252.49739807634987,1934,228423.4437901506,252.49739807634987,12,4,NASH,0
1637,0,25.024973729723463,154,447980.5477552757,25.024973729723463,12,5,Cirrhosis,0
1638,0,1.1260318380349392,5,220437.54268017263,1.1260318380349392,12,6,HCC,0
1639,263.78599848758824,0,103,0,263.78599848758824,12,7,Liver death,0
1640,0,0,2005,0,0,12,8,Natural death,0
1645,0,106.60345702387004,2320,2.328372805775569e+07,106.60345702387004,12,13,CHD,0
1646,254.1041346118887,0,378,0,254.1041346118887,12,14,CHD death,0
1651,0,83.2811988708965,3043,1.4023034209390333e+07,83.2811988708965,12,19,T2DM,0
1652,782.6918702386096,0,828,0,782.6918702386096,12,20,T2DM death,0
1657,0,0,8849,3.6090666872591944e+06,0,12,25,Overweight,0
1658,0,92.93404455864851,8362,8.976211841612397e+06,92.93404455864851,12,26,Obese,0
1771,0,0,8354,766253.9384265684,0,13,3,Steatosis,0
1772,0,260.4803932926848,2055,235645.31329443143,260.4803932926848,13,4,NASH,0
1773,0,26.347059720487984,167,471647.65776781586,26.347059720487984,13,5,Cirrhosis,0
1774,0,0.43729391768347153,2,85606.81269132918,0.43729391768347153,13,6,HCC,0
1775,102.29696995774205,0,116,0,102.29696995774205,13,7,Liver death,0
1776,0,0,2188,0,0,13,8,Natural death,0
1781,0,105.50601601165727,2365,2.3044031158599645e+07,105.50601601165727,13,13,CHD,0
1782,266.5345736766651,0,422,0,266.5345736766651,13,14,CHD death,0
1787,0,84.0174810977273,3162,1.4147010701017225e+07,84.0174810977273,13,19,T2DM,0
1788,620.1355571849663,0,906,0,620.1355571849663,13,20,T2DM death,0
1793,0,0,8902,3.52493470821398e+06,0,13,25,Overweight,0
1794,0,90.47540115874239,8385,8.738739082248399e+06,90.47540115874239,13,26,Obese,0
1907,0,0,8417,749546.1042714427,0,14,3,Steatosis,0
1908,0,271.72215925648675,2208,245815.25134248516,271.72215925648675,14,4,NASH,0
1909,0,26.805043027064695,175,479846.1723700222,26.805043027064695,14,5,Cirrhosis,0
1910,0,1.061393004086096,5,207783.5259498281,1.061393004086096,14,6,HCC,0
1911,186.51513337162856,0,129,0,186.51513337162856,14,7,Liver death,0
1912,0,0,2363,0,0,14,8,Natural death,0
1917,0,105.33493336905012,2432,2.300666424914998e+07,105.33493336905012,14,13,CHD,0
1918,211.9784888232719,0,464,0,211.9784888232719,14,14,CHD death,0
1923,0,84.27906349866731,3267,1.4191056404088227e+07,84.27906349866731,14,19,T2DM,0
1924,962.9411590951039,0,1019,0,962.9411590951039,14,20,T2DM death,0
1929,0,0,8906,3.4238044588385997e+06,0,14,25,Overweight,0
1930,0,88.26970609370278,8426,8.525697819965765e+06,88.26970609370278,14,26,Obese,0
2043,0,0,8504,735236.4863440901,0,15,3,Steatosis,0
2044,0,273.8440925390052,2292,247734.87234285614,273.8440925390052,15,4,NASH,0
2045,0,29.29594161626479,197,524436.5933808301,29.29594161626479,15,5,Cirrhosis,0
2046,0,0.824382915795026,4,161385.2628736529,0.824382915795026,15,6,HCC,0
2047,281.8298229888161,0,150,0,281.8298229888161,15,7,Liver death,0
2048,0,0,2519,0,0,15,8,Natural death,0
2053,0,106.38787901750496,2530,2.323664272098126e+07,106.38787901750496,15,13,CHD,0
2054,221.86210124108752,0,507,0,221.86210124108752,15,14,CHD death,0
2059,0,84.27881304157498,3365,1.4191014231684742e+07,84.27881304157498,15,19,T2DM,0
2060,673.8245070241873,0,1107,0,673.8245070241873,15,20,T2DM death,0
2065,0,0,8894,3.319603110035364e+06,0,15,25,Overweight,0
2066,0,86.12591530163196,8468,8.318635699888574e+06,86.12591530163196,15,26,Obese,0
2179,0,0,8585,720620.9339821793,0,16,3,Steatosis,0
2180,0,273.98793040253463,2362,247864.99621893704,273.98793040253463,16,4,NASH,0
2181,0,31.474620631539977,218,563437.8658371762,31.474620631539977,16,5,Cirrhosis,0
2182,0,1.2005576443616883,6,235027.08185483428,1.2005576443616883,16,6,HCC,0
2183,225.95174646583058,0,167,0,225.95174646583058,16,7,Liver death,0
2184,0,0,2711,0,0,16,8,Natural death,0
2189,0,105.00388534979862,2572,2.2934358601005644e+07,105.00388534979862,16,13,CHD,0
2190,248.97781201066917,0,560,0,248.97781201066917,16,14,CHD death,0
2195,0,84.10981529185275,3459,1.4162558094432686e+07,84.10981529185275,16,19,T2DM,0
2196,732.6850547773907,0,1204,0,732.6850547773907,16,20,T2DM death,0
2201,0,0,9024,3.2700236949267504e+06,0,16,25,Overweight,0
2202,0,83.52852286122065,8459,8.067761599962447e+06,83.52852286122065,16,26,Obese,0
2315,0,0,8691,708270.4126344871,0,17,3,Steatosis,0
2316,0,275.0172743367821,2442,248796.19902774369,275.0172743367821,17,4,NASH,0
2317,0,32.099795691736986,229,574629.3367627743,32.099795691736986,17,5,Cirrhosis,0
2318,0,0.5827949729911108,3,114090.81643438558,0.5827949729911108,17,6,HCC,0
2319,252.0002800198636,0,187,0,252.0002800198636,17,7,Liver death,0
2320,0,0,2870,0,0,17,8,Natural death,0
2325,0,104.20481004719413,2629,2.2759829063570023e+07,104.20481004719413,17,13,CHD,0
2326,240.25122408402777,0,603,0,240.25122408402777,17,14,CHD death,0
2331,0,83.14731780550136,3522,1.4000491080981527e+07,83.14731780550136,17,19,T2DM,0
2332,996.7285998431923,0,1333,0,996.7285998431923,17,20,T2DM death,0
2337,0,0,9057,3.186390187648731e+06,0,17,25,Overweight,0
2338,0,81.09565326334588,8459,7.832778252392188e+06,81.09565326334588,17,26,Obese,0
2451,0,0,8754,692625.8044200467,0,18,3,Steatosis,0
2452,0,278.1596916075325,2544,251639.00762806312,278.1596916075325,18,4,NASH,0
2453,0,32.389669625782936,238,579818.468434053,32.389669625782936,18,5,Cirrhosis,0
2454,0,0.7544271495030561,4,147690.37726134056,0.7544271495030561,18,6,HCC,0
2455,290.33861091237816,0,210,0,290.33861091237816,18,7,Liver death,0
2456,0,0,3021,0,0,18,8,Natural death,0
2461,0,104.09436611714747,2705,2.2735706520976927e+07,104.09436611714747,18,13,CHD,0
2462,155.66463305454985,0,638,0,155.66463305454985,18,14,CHD death,0
2467,0,82.69670328592679,3608,1.39246158185106e+07,82.69670328592679,18,19,T2DM,0
2468,779.946358501524,0,1441,0,779.946358501524,18,20,T2DM death,0
2473,0,0,9095,3.1065622960371543e+06,0,18,25,Overweight,0
2474,0,79.1431817548537,8503,7.644195070004267e+06,79.1431817548537,18,26,Obese,0
2587,0,0,8763,673143.5864141122,0,19,3,Steatosis,0
2588,0,283.6457745524903,2672,256602.02890571626,283.6457745524903,19,4,NASH,0
2589,0,32.37117181331809,245,579487.3328152966,32.37117181331809,19,5,Cirrhosis,0
2590,0,1.0986803148102757,6,215083.0736815639,1.0986803148102757,19,6,HCC,0
2591,145.32106259508677,0,224,0,145.32106259508677,19,7,Liver death,0
2592,0,0,3166,0,0,19,8,Natural death,0
2597,0,103.22945052551718,2763,2.2546796517582007e+07,103.22945052551718,19,13,CHD,0
2598,196.8028817017705,0,684,0,196.8028817017705,19,14,CHD death,0
2603,0,82.02377895721764,3686,1.3811307640795989e+07,82.02377895721764,19,19,T2DM,0
2604,786.6559514898544,0,1561,0,786.6559514898544,19,20,T2DM death,0
2609,0,0,9137,3.030007920589356e+06,0,19,25,Overweight,0
2610,0,76.99166240027763,8520,7.436386471985225e+06,76.99166240027763,19,26,Obese,0
2723,0,0,8836,658981.7435792265,0,20,3,Steatosis,0
2724,0,281.1557732759549,2728,254349.4327563812,281.1557732759549,20,4,NASH,0
2725,0,30.915206685197997,241,553423.6069288165,30.915206685197997,20,5,Cirrhosis,0
2726,0,1.7777998621525495,10,348030.8635624011,1.7777998621525495,20,6,HCC,0
2727,286.08693623080165,0,249,0,286.08693623080165,20,7,Liver death,0
2728,0,0,3322,0,0,20,8,Natural death,0
2733,0,103.30598691329764,2848,2.2563513165326566e+07,103.30598691329764,20,13,CHD,0
2734,173.27007879645276,0,732,0,173.27007879645276,20,14,CHD death,0
2739,0,81.36310878550032,3766,1.3700062839512536e+07,81.36310878550032,20,19,T2DM,0
2740,782.6106950325093,0,1674,0,782.6106950325093,20,20,T2DM death,0
2745,0,0,9185,2.9572093781307368e+06,0,20,25,Overweight,0
2746,0,75.45983047369113,8601,7.288431565426549e+06,75.45983047369113,20,26,Obese,0
2859,0,0,8893,643915.2985855255,0,21,3,Steatosis,0
2860,0,282.4725777830962,2823,255540.68867667412,282.4725777830962,21,4,NASH,0
2861,0,30.388391536833808,244,543992.9101665067,30.388391536833808,21,5,Cirrhosis,0
2862,0,2.243825068736228,13,439262.2549816715,2.243825068736228,21,6,HCC,0
2863,200.05705910436882,0,269,0,200.05705910436882,21,7,Liver death,0
2864,0,0,3500,0,0,21,8,Natural death,0
2869,0,101.81139146066178,2891,2.2237072024979413e+07,101.81139146066178,21,13,CHD,0
2870,222.11270713622076,0,784,0,222.11270713622076,21,14,CHD death,0
