Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,6305,0,0,2,3,Steatosis,0
276,0,0,920,0,0,2,4,NASH,0
277,0,0,67,0,0,2,5,Cirrhosis,0
278,0,0,3,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1419,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2077,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7562,0,0,2,25,Overweight,0
298,0,0,8437,0,0,2,26,Obese,0
411,0,0,6965,0,0,3,3,Steatosis,0
412,0,0,1032,0,0,3,4,NASH,0
413,0,0,85,0,0,3,5,Cirrhosis,0
414,0,0,3,0,0,3,6,HCC,0
415,0,0,4,0,0,3,7,Liver death,0
416,0,0,231,0,0,3,8,Natural death,0
421,0,0,1491,0,0,3,13,CHD,0
422,0,0,34,0,0,3,14,CHD death,0
427,0,0,2203,0,0,3,19,T2DM,0
428,0,0,69,0,0,3,20,T2DM death,0
433,0,0,7951,0,0,3,25,Overweight,0
434,0,0,8292,0,0,3,26,Obese,0
547,0,0,7540,0,0,4,3,Steatosis,0
548,0,0,1141,0,0,4,4,NASH,0
549,0,0,98,0,0,4,5,Cirrhosis,0
550,0,0,4,0,0,4,6,HCC,0
551,0,0,12,0,0,4,7,Liver death,0
552,0,0,490,0,0,4,8,Natural death,0
557,0,0,1541,0,0,4,13,CHD,0
558,0,0,76,0,0,4,14,CHD death,0
563,0,0,2305,0,0,4,19,T2DM,0
564,0,0,152,0,0,4,20,T2DM death,0
569,0,0,8278,0,0,4,25,Overweight,0
570,0,0,8138,0,0,4,26,Obese,0
683,0,0,8061,0,0,5,3,Steatosis,0
684,0,0,1248,0,0,5,4,NASH,0
685,0,0,116,0,0,5,5,Cirrhosis,0
686,0,0,2,0,0,5,6,HCC,0
687,0,0,27,0,0,5,7,Liver death,0
688,0,0,714,0,0,5,8,Natural death,0
693,0,0,1600,0,0,5,13,CHD,0
694,0,0,117,0,0,5,14,CHD death,0
699,0,0,2428,0,0,5,19,T2DM,0
700,0,0,220,0,0,5,20,T2DM death,0
705,0,0,8467,0,0,5,25,Overweight,0
706,0,0,8097,0,0,5,26,Obese,0
819,0,0,8422,0,0,6,3,Steatosis,0
820,0,0,1388,0,0,6,4,NASH,0
821,0,0,124,0,0,6,5,Cirrhosis,0
822,0,0,3,0,0,6,6,HCC,0
823,0,0,35,0,0,6,7,Liver death,0
824,0,0,911,0,0,6,8,Natural death,0
829,0,0,1644,0,0,6,13,CHD,0
830,0,0,159,0,0,6,14,CHD death,0
835,0,0,2534,0,0,6,19,T2DM,0
836,0,0,299,0,0,6,20,T2DM death,0
841,0,0,8719,0,0,6,25,Overweight,0
842,0,0,8038,0,0,6,26,Obese,0
955,0,0,8721,1.3674089371271434e+06,0,7,3,Steatosis,0
956,0,230.75392911394474,1535,396120.0588638851,230.75392911394474,7,4,NASH,0
957,0,20.99653943631421,136,371844.8052896049,20.99653943631421,7,5,Cirrhosis,0
958,0,1.5835484210938442,4,141917.28114564446,1.5835484210938442,7,6,HCC,0
959,157.994485004,0,46,0,157.994485004,7,7,Liver death,0
960,0,0,1163,0,0,7,8,Natural death,0
965,0,112.56674202601776,1670,8.3016250246844115e+06,112.56674202601776,7,13,CHD,0
966,312.94731502400003,0,204,0,312.94731502400003,7,14,CHD death,0
971,0,91.68285708709885,2675,4.1005412616565704e+07,91.68285708709885,7,19,T2DM,0
972,716.645550351,0,366,0,716.645550351,7,20,T2DM death,0
977,0,0,8860,1.5500070278032557e+06,0,7,25,Overweight,0
978,0,93.73138799039592,7978,1.0911803093921468e+07,93.73138799039592,7,26,Obese,0
1091,0,0,8978,1.3667041209006116e+06,0,8,3,Steatosis,0
1092,0,245.48756128500142,1682,421412.3139743101,245.48756128500142,8,4,NASH,0
1093,0,23.982340875287502,160,424722.7930206805,23.982340875287502,8,5,Cirrhosis,0
1094,0,1.5374256515474216,4,137783.76810256744,1.5374256515474216,8,6,HCC,0
1095,218.53882012621364,0,57,0,218.53882012621364,8,7,Liver death,0
1096,0,0,1383,0,0,8,8,Natural death,0
1101,0,110.7932644904598,1693,8.170833769426286e+06,110.7932644904598,8,13,CHD,0
1102,293.385999346602,0,252,0,293.385999346602,8,14,CHD death,0
1107,0,92.0072951078255,2765,4.115051842294134e+07,92.0072951078255,8,19,T2DM,0
1108,927.002483890292,0,458,0,927.002483890292,8,20,T2DM death,0
1113,0,0,8991,1.527111397025665e+06,0,8,25,Overweight,0
1114,0,90.71618415297799,7953,1.0560786094520338e+07,90.71618415297799,8,26,Obese,0
1227,0,0,9194,1.3588207730613437e+06,0,9,3,Steatosis,0
1228,0,263.843228191521,1862,452922.2773513544,263.843228191521,9,4,NASH,0
1229,0,25.75773261484152,177,456164.6502709966,25.75773261484152,9,5,Cirrhosis,0
1230,0,1.4926462636382734,4,133770.64864326935,1.4926462636382734,9,6,HCC,0
1231,210.1110686304081,0,68,0,210.1110686304081,9,7,Liver death,0
1232,0,0,1569,0,0,9,8,Natural death,0
1237,0,111.75964550703824,1759,8.242102891071473e+06,111.75964550703824,9,13,CHD,0
1238,232.8551097898012,0,289,0,232.8551097898012,9,14,CHD death,0
1243,0,93.1719444129847,2884,4.1671411061204724e+07,93.1719444129847,9,19,T2DM,0
1244,866.6283410670187,0,536,0,866.6283410670187,9,20,T2DM death,0
1249,0,0,9140,1.5072027981397e+06,0,9,25,Overweight,0
1250,0,87.76388459532691,7925,1.021709213950884e+07,87.76388459532691,9,26,Obese,0
1363,0,0,9363,1.3434932129833251e+06,0,10,3,Steatosis,0
1364,0,277.06936980683014,2014,475626.7227981351,277.06936980683014,10,4,NASH,0
1365,0,29.104782615640154,206,515440.2827920893,29.104782615640154,10,5,Cirrhosis,0
1366,0,2.1737566946188447,6,194811.62423777094,2.1737566946188447,10,6,HCC,0
1367,155.3654976787432,0,79,0,155.3654976787432,10,7,Liver death,0
1368,0,0,1754,0,0,10,8,Natural death,0
1373,0,110.3550703522464,1789,8.138517622063755e+06,110.3550703522464,10,13,CHD,0
1374,384.11985403856585,0,348,0,384.11985403856585,10,14,CHD death,0
1379,0,93.7829450045231,2990,4.194468277372414e+07,93.7829450045231,10,19,T2DM,0
1380,775.8331983807484,0,623,0,775.8331983807484,10,20,T2DM death,0
1385,0,0,9270,1.4841165408375675e+06,0,10,25,Overweight,0
1386,0,84.80984002793988,7888,9.873195038001742e+06,84.80984002793988,10,26,Obese,0
1499,0,0,9562,1.332085092482992e+06,0,11,3,Steatosis,0
1500,0,284.22576862396096,2128,487911.64089934924,284.22576862396096,11,4,NASH,0
1501,0,31.13764564874331,227,551441.9087275168,31.13764564874331,11,5,Cirrhosis,0
1502,0,1.7587028273615248,5,157614.5827166431,1.7587028273615248,11,6,HCC,0
1503,243.22605373031243,0,98,0,243.22605373031243,11,7,Liver death,0
1504,0,0,1945,0,0,11,8,Natural death,0
1509,0,109.77594683566852,1833,8.095808148633622e+06,109.77594683566852,11,13,CHD,0
1510,225.82216841732227,0,386,0,225.82216841732227,11,14,CHD death,0
1515,0,95.64965102418408,3141,4.277957222855405e+07,95.64965102418408,11,19,T2DM,0
1516,789.8802181450715,0,704,0,789.8802181450715,11,20,T2DM death,0
1521,0,0,9406,1.4620291139719316e+06,0,11,25,Overweight,0
1522,0,82.51710665589957,7905,9.60628492775149e+06,82.51710665589957,11,26,Obese,0
1635,0,0,9724,1.3151974380087478e+06,0,12,3,Steatosis,0
1636,0,288.39610072803174,2224,495070.5751150557,288.39610072803174,12,4,NASH,0
1637,0,32.76104884132753,246,580192.0771009304,32.76104884132753,12,5,Cirrhosis,0
1638,0,1.0244870838999174,3,91814.32002911251,1.0244870838999174,12,6,HCC,0
1639,246.2318648360719,0,118,0,246.2318648360719,12,7,Liver death,0
1640,0,0,2145,0,0,12,8,Natural death,0
1645,0,108.55549697942615,1867,8.005801838727583e+06,108.55549697942615,12,13,CHD,0
1646,242.96435550935178,0,428,0,242.96435550935178,12,14,CHD death,0
1651,0,95.90893628041387,3244,4.2895538279947035e+07,95.90893628041387,12,19,T2DM,0
1652,798.4300789861978,0,795,0,798.4300789861978,12,20,T2DM death,0
1657,0,0,9500,1.4336311446249848e+06,0,12,25,Overweight,0
1658,0,80.11369578243155,7905,9.32649022111548e+06,80.11369578243155,12,26,Obese,0
1771,0,0,9851,1.2935675080595822e+06,0,13,3,Steatosis,0
1772,0,295.35571886041396,2346,507017.6927865241,295.35571886041396,13,4,NASH,0
1773,0,33.35839687845339,258,590770.9996528553,33.35839687845339,13,5,Cirrhosis,0
1774,0,1.3261968723623525,4,118853.48871082524,1.3261968723623525,13,6,HCC,0
1775,266.2151914191974,0,138,0,266.2151914191974,13,7,Liver death,0
1776,0,0,2329,0,0,13,8,Natural death,0
1781,0,107.82107177326232,1910,7.951639103264904e+06,107.82107177326232,13,13,CHD,0
1782,295.6976324390199,0,484,0,295.6976324390199,13,14,CHD death,0
1787,0,96.70346040746597,3369,4.325089140373609e+07,96.70346040746597,13,19,T2DM,0
1788,760.0625564936956,0,875,0,760.0625564936956,13,20,T2DM death,0
1793,0,0,9511,1.3934865423127273e+06,0,13,25,Overweight,0
1794,0,78.0754685228816,7935,9.089208612536678e+06,78.0754685228816,13,26,Obese,0
1907,0,0,9978,1.2720818442777959e+06,0,14,3,Steatosis,0
1908,0,299.4651136030028,2450,514072.0198507655,299.4651136030028,14,4,NASH,0
1909,0,36.02716905289447,287,638034.4581183457,36.02716905289447,14,5,Cirrhosis,0
1910,0,2.897032002733294,9,259631.40737801636,2.897032002733294,14,6,HCC,0
1911,218.94335764828824,0,152,0,218.94335764828824,14,7,Liver death,0
1912,0,0,2530,0,0,14,8,Natural death,0
1917,0,106.10562443604441,1936,7.825127486362138e+06,106.10562443604441,14,13,CHD,0
1918,231.46940520006544,0,524,0,231.46940520006544,14,14,CHD death,0
1923,0,97.56541363332421,3501,4.3636402379340775e+07,97.56541363332421,14,19,T2DM,0
1924,836.4241374009752,0,972,0,836.4241374009752,14,20,T2DM death,0
1929,0,0,9602,1.365843921068984e+06,0,14,25,Overweight,0
1930,0,75.6581338302308,7920,8.807792955053287e+06,75.6581338302308,14,26,Obese,0
2043,0,0,10080,1.2476560073249612e+06,0,15,3,Steatosis,0
2044,0,306.6446814147785,2584,526396.7106377056,306.6446814147785,15,4,NASH,0
2045,0,36.56219585219838,300,647509.6831484198,36.56219585219838,15,5,Cirrhosis,0
2046,0,3.7502032397842004,12,336092.43673529616,3.7502032397842004,15,6,HCC,0
2047,218.37581591758004,0,168,0,218.37581591758004,15,7,Liver death,0
2048,0,0,2719,0,0,15,8,Natural death,0
2053,0,104.18579627987604,1958,7.683543096714945e+06,104.18579627987604,15,13,CHD,0
2054,254.38694355490975,0,566,0,254.38694355490975,15,14,CHD death,0
2059,0,96.80702877680886,3578,4.329721264473479e+07,96.80702877680886,15,19,T2DM,0
2060,978.7987179724066,0,1089,0,978.7987179724066,15,20,T2DM death,0
2065,0,0,9645,1.3320004750945691e+06,0,15,25,Overweight,0
2066,0,73.83475573973537,7961,8.59552315818151e+06,73.83475573973537,15,26,Obese,0
2179,0,0,10210,1.2269386495207804e+06,0,16,3,Steatosis,0
2180,0,312.11504777443196,2709,535787.3279620724,312.11504777443196,16,4,NASH,0
2181,0,37.62711417799029,318,666369.188482837,37.62711417799029,16,5,Cirrhosis,0
2182,0,1.8204870096039802,6,163151.66831810496,1.8204870096039802,16,6,HCC,0
2183,339.404591742403,0,198,0,339.404591742403,16,7,Liver death,0
2184,0,0,2896,0,0,16,8,Natural death,0
2189,0,101.77118452124326,1970,7.505469173284176e+06,101.77118452124326,16,13,CHD,0
2190,253.0510948194118,0,615,0,253.0510948194118,16,14,CHD death,0
2195,0,96.95570645182855,3691,4.336370914805583e+07,96.95570645182855,16,19,T2DM,0
2196,840.5087907842241,0,1194,0,840.5087907842241,16,20,T2DM death,0
2201,0,0,9702,1.3008469209728942e+06,0,16,25,Overweight,0
2202,0,71.5041403699033,7941,8.32420298946593e+06,71.5041403699033,16,26,Obese,0
2315,0,0,10277,1.199019474637273e+06,0,17,3,Steatosis,0
2316,0,317.90148113800484,2842,545720.5166769455,317.90148113800484,17,4,NASH,0
2317,0,37.220446338367445,324,659167.1767370035,37.220446338367445,17,5,Cirrhosis,0
2318,0,2.6511946741805534,9,237599.51696811407,2.6511946741805534,17,6,HCC,0
2319,418.23461654162656,0,233,0,418.23461654162656,17,7,Liver death,0
2320,0,0,3065,0,0,17,8,Natural death,0
2325,0,99.7097801134586,1988,7.353443751657746e+06,99.7097801134586,17,13,CHD,0
2326,218.93148974610477,0,657,0,218.93148974610477,17,14,CHD death,0
2331,0,96.47803434416942,3783,4.315006897046987e+07,96.47803434416942,17,19,T2DM,0
2332,821.6985001268705,0,1304,0,821.6985001268705,17,20,T2DM death,0
2337,0,0,9751,1.269336752346697e+06,0,17,25,Overweight,0
2338,0,69.50891710846318,7951,8.091927720488035e+06,69.50891710846318,17,26,Obese,0
2451,0,0,10334,1.1705530826115713e+06,0,18,3,Steatosis,0
2452,0,321.5656571843973,2961,552010.5661541864,321.5656571843973,18,4,NASH,0
2453,0,38.70159079292056,347,685397.9693387923,38.70159079292056,18,5,Cirrhosis,0
2454,0,2.0019808758644957,7,179417.11097915834,2.0019808758644957,18,6,HCC,0
2455,266.20265765000437,0,259,0,266.20265765000437,18,7,Liver death,0
2456,0,0,3238,0,0,18,8,Natural death,0
2461,0,97.43864644519422,2001,7.185951117905027e+06,97.43864644519422,18,13,CHD,0
2462,198.2091033182191,0,701,0,198.2091033182191,18,14,CHD death,0
2467,0,96.56494279268246,3900,4.318893901558038e+07,96.56494279268246,18,19,T2DM,0
2468,828.4470503007092,0,1419,0,828.4470503007092,18,20,T2DM death,0
2473,0,0,9768,1.234514298948963e+06,0,18,25,Overweight,0
2474,0,67.77296170977216,7985,7.889835295563855e+06,67.77296170977216,18,26,Obese,0
2587,0,0,10444,1.1485563156396882e+06,0,19,3,Steatosis,0
2588,0,322.9542656331108,3063,554394.2987413087,322.9542656331108,19,4,NASH,0
2589,0,41.1477141135104,380,728718.3580446509,41.1477141135104,19,5,Cirrhosis,0
2590,0,1.3883362523332152,5,124422.40705905572,1.3883362523332152,19,6,HCC,0
2591,254.6992255203997,0,283,0,254.6992255203997,19,7,Liver death,0
2592,0,0,3413,0,0,19,8,Natural death,0
2597,0,95.54616112610803,2021,7.046383220664232e+06,95.54616112610803,19,13,CHD,0
2598,263.14287923265,0,754,0,263.14287923265,19,14,CHD death,0
2603,0,95.67549721554744,3980,4.279113200946749e+07,95.67549721554744,19,19,T2DM,0
2604,728.1297724433937,0,1527,0,728.1297724433937,19,20,T2DM death,0
2609,0,0,9777,1.1996618938824132e+06,0,19,25,Overweight,0
2610,0,65.98851941709022,8008,7.682098235999917e+06,65.98851941709022,19,26,Obese,0
2723,0,0,10477,1.1186266206598657e+06,0,20,3,Steatosis,0
2724,0,323.9891884435887,3165,556170.8825082135,323.9891884435887,20,4,NASH,0
2725,0,43.313383277379685,412,767071.9558364783,43.313383277379685,20,5,Cirrhosis,0
2726,0,2.156638838575868,8,193277.52552863027,2.156638838575868,20,6,HCC,0
2727,250.1941639749208,0,302,0,250.1941639749208,20,7,Liver death,0
2728,0,0,3591,0,0,20,8,Natural death,0
2733,0,93.26815976338312,2032,6.878384104951224e+06,93.26815976338312,20,13,CHD,0
2734,189.29210323448825,0,799,0,189.29210323448825,20,14,CHD death,0
2739,0,94.28916640260624,4040,4.217109170079451e+07,94.28916640260624,20,19,T2DM,0
2740,911.1970431233377,0,1663,0,911.1970431233377,20,20,T2DM death,0
2745,0,0,9760,1.162695099186322e+06,0,20,25,Overweight,0
2746,0,64.57854387538168,8072,7.517954977180223e+06,64.57854387538168,20,26,Obese,0
2859,0,0,10425,1.0806549455424529e+06,0,21,3,Steatosis,0
2860,0,320.21753866326156,3222,549696.3399565576,320.21753866326156,21,4,NASH,0
2861,0,45.21592231096032,443,800765.5679978267,45.21592231096032,21,5,Cirrhosis,0
2862,0,2.8790081582930287,11,258016.11417656956,2.8790081582930287,21,6,HCC,0
2863,359.59114771396486,0,336,0,359.59114771396486,21,7,Liver death,0
2864,0,0,3778,0,0,21,8,Natural death,0
2869,0,90.06142061090539,2021,6.641891997987114e+06,90.06142061090539,21,13,CHD,0
