Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,7321,0,0,2,3,Steatosis,0
276,0,0,691,0,0,2,4,NASH,0
277,0,0,76,0,0,2,5,Cirrhosis,0
278,0,0,4,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1390,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2167,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7670,0,0,2,25,Overweight,0
298,0,0,8307,0,0,2,26,Obese,0
411,0,0,7644,0,0,3,3,Steatosis,0
412,0,0,953,0,0,3,4,NASH,0
413,0,0,82,0,0,3,5,Cirrhosis,0
414,0,0,4,0,0,3,6,HCC,0
415,0,0,8,0,0,3,7,Liver death,0
416,0,0,174,0,0,3,8,Natural death,0
421,0,0,1452,0,0,3,13,CHD,0
422,0,0,35,0,0,3,14,CHD death,0
427,0,0,2315,0,0,3,19,T2DM,0
428,0,0,49,0,0,3,20,T2DM death,0
433,0,0,7895,0,0,3,25,Overweight,0
434,0,0,8580,0,0,3,26,Obese,0
547,0,0,7875,0,0,4,3,Steatosis,0
548,0,0,1177,0,0,4,4,NASH,0
549,0,0,94,0,0,4,5,Cirrhosis,0
550,0,0,6,0,0,4,6,HCC,0
551,0,0,15,0,0,4,7,Liver death,0
552,0,0,337,0,0,4,8,Natural death,0
557,0,0,1524,0,0,4,13,CHD,0
558,0,0,71,0,0,4,14,CHD death,0
563,0,0,2473,0,0,4,19,T2DM,0
564,0,0,112,0,0,4,20,T2DM death,0
569,0,0,8052,0,0,4,25,Overweight,0
570,0,0,8872,0,0,4,26,Obese,0
683,0,0,8103,0,0,5,3,Steatosis,0
684,0,0,1414,0,0,5,4,NASH,0
685,0,0,113,0,0,5,5,Cirrhosis,0
686,0,0,4,0,0,5,6,HCC,0
687,0,0,24,0,0,5,7,Liver death,0
688,0,0,511,0,0,5,8,Natural death,0
693,0,0,1626,0,0,5,13,CHD,0
694,0,0,109,0,0,5,14,CHD death,0
699,0,0,2689,0,0,5,19,T2DM,0
700,0,0,164,0,0,5,20,T2DM death,0
705,0,0,8135,0,0,5,25,Overweight,0
706,0,0,9168,0,0,5,26,Obese,0
819,0,0,8232,0,0,6,3,Steatosis,0
820,0,0,1699,0,0,6,4,NASH,0
821,0,0,143,0,0,6,5,Cirrhosis,0
822,0,0,7,0,0,6,6,HCC,0
823,0,0,35,0,0,6,7,Liver death,0
824,0,0,680,0,0,6,8,Natural death,0
829,0,0,1682,0,0,6,13,CHD,0
830,0,0,152,0,0,6,14,CHD death,0
835,0,0,2870,0,0,6,19,T2DM,0
836,0,0,229,0,0,6,20,T2DM death,0
841,0,0,8200,0,0,6,25,Overweight,0
842,0,0,9368,0,0,6,26,Obese,0
955,0,0,8332,1.0629200772182788e+06,0,7,3,Steatosis,0
956,0,290.0564919205593,1950,763483.284408093,290.0564919205593,7,4,NASH,0
957,0,29.83585224424216,164,200301.64708178132,29.83585224424216,7,5,Cirrhosis,0
958,0,2.09443686891543,9,413984.1711185038,2.09443686891543,7,6,HCC,0
959,320.546878112,0,53,0,320.546878112,7,7,Liver death,0
960,0,0,844,0,0,7,8,Natural death,0
965,0,129.53426078005927,1745,2.34553807751046e+07,129.53426078005927,7,13,CHD,0
966,321.74678469500014,0,197,0,321.74678469500014,7,14,CHD death,0
971,0,98.24272898977134,3025,1.7035692665379807e+07,98.24272898977134,7,19,T2DM,0
972,644.5320116359999,0,295,0,644.5320116359999,7,20,T2DM death,0
977,0,0,8156,2.431734041468466e+06,0,7,25,Overweight,0
978,0,80.29106375424603,9539,5.572270389283166e+06,80.29106375424603,7,26,Obese,0
1091,0,0,8446,1.0460807288993862e+06,0,8,3,Steatosis,0
1092,0,315.8344773862426,2187,831335.7943741359,315.8344773862426,8,4,NASH,0
1093,0,34.26566028524153,194,230040.96337831963,34.26566028524153,8,5,Cirrhosis,0
1094,0,2.033433853315951,9,401926.3797267026,2.033433853315951,8,6,HCC,0
1095,328.26201413398064,0,75,0,328.26201413398064,8,7,Liver death,0
1096,0,0,1008,0,0,8,8,Natural death,0
1101,0,129.43696684618467,1796,2.34377633026893e+07,129.43696684618467,8,13,CHD,0
1102,246.82206629611656,0,234,0,246.82206629611656,8,14,CHD death,0
1107,0,100.99380918052009,3203,1.7512741268462677e+07,100.99380918052009,8,19,T2DM,0
1108,573.8843409621359,0,357,0,573.8843409621359,8,20,T2DM death,0
1113,0,0,8174,2.366117273240354e+06,0,8,25,Overweight,0
1114,0,79.84021578037267,9770,5.540981143664121e+06,79.84021578037267,8,26,Obese,0
1227,0,0,8538,1.026675149647762e+06,0,9,3,Steatosis,0
1228,0,333.4151882591394,2378,877611.5346294797,333.4151882591394,9,4,NASH,0
1229,0,36.86876669666169,215,247516.80075237024,36.86876669666169,9,5,Cirrhosis,0
1230,0,2.8516332355024128,13,563650.8022057317,2.8516332355024128,9,6,HCC,0
1231,320.7409319775663,0,99,0,320.7409319775663,9,7,Liver death,0
1232,0,0,1165,0,0,9,8,Natural death,0
1237,0,130.28500890197176,1862,2.359132228555769e+07,130.28500890197176,9,13,CHD,0
1238,360.43060494862857,0,286,0,360.43060494862857,9,14,CHD death,0
1243,0,102.91964949877413,3362,1.7846689888596788e+07,102.91964949877413,9,19,T2DM,0
1244,627.3846810509946,0,419,0,627.3846810509946,9,20,T2DM death,0
1249,0,0,8141,2.287926995784361e+06,0,9,25,Overweight,0
1250,0,79.07776238762571,9967,5.488066208118417e+06,79.07776238762571,9,26,Obese,0
1363,0,0,8635,1.0080962910766297e+06,0,10,3,Steatosis,0
1364,0,354.05983026533374,2601,931952.1183548407,354.05983026533374,10,4,NASH,0
1365,0,42.45443895980479,255,285015.95932198834,42.45443895980479,10,5,Cirrhosis,0
1366,0,2.981543338090648,14,589328.6953607354,2.981543338090648,10,6,HCC,0
1367,204.33826451712096,0,114,0,204.33826451712096,10,7,Liver death,0
1368,0,0,1326,0,0,10,8,Natural death,0
1373,0,131.78903427248338,1940,2.3863663267381977e+07,131.78903427248338,10,13,CHD,0
1374,242.30456885388574,0,327,0,242.30456885388574,10,14,CHD death,0
1379,0,105.47981612631574,3549,1.8290633295781095e+07,105.47981612631574,10,19,T2DM,0
1380,708.3852858170432,0,487,0,708.3852858170432,10,20,T2DM death,0
1385,0,0,8183,2.23274813052316e+06,0,10,25,Overweight,0
1386,0,77.75279135133574,10094,5.396112053731921e+06,77.75279135133574,10,26,Obese,0
1499,0,0,8701,986215.0346194549,0,11,3,Steatosis,0
1500,0,372.2939055767926,2817,979947.6367960321,372.2939055767926,11,4,NASH,0
1501,0,47.03689981840164,291,315780.1034178515,47.03689981840164,11,5,Cirrhosis,0
1502,0,2.0676444785649433,10,408688.4156454476,2.0676444785649433,11,6,HCC,0
1503,388.4613188127777,0,141,0,388.4613188127777,11,7,Liver death,0
1504,0,0,1458,0,0,11,8,Natural death,0
1509,0,133.49064426358956,2024,2.4171781830238372e+07,133.49064426358956,11,13,CHD,0
1510,200.24343654315769,0,368,0,200.24343654315769,11,14,CHD death,0
1515,0,106.67817824219392,3697,1.8498434208051436e+07,106.67817824219392,11,19,T2DM,0
1516,707.9663472309916,0,567,0,707.9663472309916,11,20,T2DM death,0
1521,0,0,8206,2.1738094438112243e+06,0,11,25,Overweight,0
1522,0,76.96141472070912,10291,5.3411898200564515e+06,76.96141472070912,11,26,Obese,0
1635,0,0,8761,964092.9475020543,0,12,3,Steatosis,0
1636,0,385.3161279634281,3003,1.0142245773057606e+06,385.3161279634281,12,4,NASH,0
1637,0,51.316405567067704,327,344510.37206031324,51.316405567067704,12,5,Cirrhosis,0
1638,0,1.8066796414645137,9,357106.3826028182,1.8066796414645137,12,6,HCC,0
1639,345.7648372720104,0,166,0,345.7648372720104,12,7,Liver death,0
1640,0,0,1590,0,0,12,8,Natural death,0
1645,0,134.27696813997107,2097,2.4314165210679498e+07,134.27696813997107,12,13,CHD,0
1646,196.90884106662713,0,403,0,196.90884106662713,12,14,CHD death,0
1651,0,108.10945895165443,3859,1.8746624160987273e+07,108.10945895165443,12,19,T2DM,0
1652,993.8713906784382,0,674,0,993.8713906784382,12,20,T2DM death,0
1657,0,0,8211,2.111780551661031e+06,0,12,25,Overweight,0
1658,0,75.8887921353618,10452,5.266748869946104e+06,75.8887921353618,12,26,Obese,0
1771,0,0,8828,943170.7534993829,0,13,3,Steatosis,0
1772,0,402.49601836666676,3231,1.0594452826380366e+06,402.49601836666676,13,4,NASH,0
1773,0,53.78311559981863,353,361070.5185038737,53.78311559981863,13,5,Cirrhosis,0
1774,0,2.143848549742141,11,423750.83156752976,2.143848549742141,13,6,HCC,0
1775,415.54629568768564,0,192,0,415.54629568768564,13,7,Liver death,0
1776,0,0,1745,0,0,13,8,Natural death,0
1781,0,133.90955612664698,2154,2.4247636181045983e+07,133.90955612664698,13,13,CHD,0
1782,216.21099029369844,0,451,0,216.21099029369844,13,14,CHD death,0
1787,0,108.76848883021216,3999,1.8860902648405153e+07,108.76848883021216,13,19,T2DM,0
1788,796.6344831194735,0,767,0,796.6344831194735,13,20,T2DM death,0
1793,0,0,8134,2.031045614538763e+06,0,13,25,Overweight,0
1794,0,74.98254451639771,10637,5.203854488724284e+06,74.98254451639771,13,26,Obese,0
1907,0,0,8855,918500.3829647041,0,14,3,Steatosis,0
1908,0,412.66385250502105,3412,1.0862089359936258e+06,412.66385250502105,14,4,NASH,0
1909,0,57.39390206752042,388,385311.37044336495,57.39390206752042,14,5,Cirrhosis,0
1910,0,2.4598438787862174,13,486210.1333078453,2.4598438787862174,14,6,HCC,0
1911,287.8420915470909,0,216,0,287.8420915470909,14,7,Liver death,0
1912,0,0,1889,0,0,14,8,Natural death,0
1917,0,133.2685633085562,2208,2.4131568582159888e+07,133.2685633085562,14,13,CHD,0
1918,208.6497227830359,0,500,0,208.6497227830359,14,14,CHD death,0
1923,0,110.19524392955226,4173,1.910830784195791e+07,110.19524392955226,14,19,T2DM,0
1924,712.1700116478371,0,866,0,712.1700116478371,14,20,T2DM death,0
1929,0,0,8198,1.9874041775967965e+06,0,14,25,Overweight,0
1930,0,73.31872347064503,10713,5.088383845880283e+06,73.31872347064503,14,26,Obese,0
2043,0,0,8871,893359.2339668424,0,15,3,Steatosis,0
2044,0,425.303177185376,3622,1.1194780176670707e+06,425.303177185376,15,4,NASH,0
2045,0,59.16897120362852,412,397228.2169519216,59.16897120362852,15,5,Cirrhosis,0
2046,0,4.041565745578549,22,798851.6006551601,4.041565745578549,15,6,HCC,0
2047,365.69336949334786,0,248,0,365.69336949334786,15,7,Liver death,0
2048,0,0,2030,0,0,15,8,Natural death,0
2053,0,134.66087945118792,2298,2.4383681846156243e+07,134.66087945118792,15,13,CHD,0
2054,180.7206938477967,0,544,0,180.7206938477967,15,14,CHD death,0
2059,0,110.39547352738582,4306,1.914302847651242e+07,110.39547352738582,15,19,T2DM,0
2060,642.7627394081583,0,948,0,642.7627394081583,15,20,T2DM death,0
2065,0,0,8203,1.9306954417991077e+06,0,15,25,Overweight,0
2066,0,72.09353209888395,10850,5.003354487906007e+06,72.09353209888395,15,26,Obese,0
2179,0,0,8887,868903.4206869722,0,16,3,Steatosis,0
2180,0,430.13002726611444,3773,1.1321831956432802e+06,430.13002726611444,16,4,NASH,0
2181,0,63.9988636593128,459,429653.48190435534,63.9988636593128,16,5,Cirrhosis,0
2182,0,3.3887797513677156,19,669822.613082438,3.3887797513677156,16,6,HCC,0
2183,464.9583022418969,0,285,0,464.9583022418969,16,7,Liver death,0
2184,0,0,2167,0,0,16,8,Natural death,0
2189,0,132.5592744730555,2330,2.400313430063412e+07,132.5592744730555,16,13,CHD,0
2190,189.96814768262288,0,594,0,189.96814768262288,16,14,CHD death,0
2195,0,110.11719363929569,4424,1.9094773601094183e+07,110.11719363929569,16,19,T2DM,0
2196,776.5470151589196,0,1045,0,776.5470151589196,16,20,T2DM death,0
2201,0,0,8143,1.8607510373980473e+06,0,16,25,Overweight,0
2202,0,71.07104318674263,11017,4.932392858775639e+06,71.07104318674263,16,26,Obese,0
2315,0,0,8912,845968.6708483128,0,17,3,Steatosis,0
2316,0,434.64694651414806,3927,1.1440725773291101e+06,434.64694651414806,17,4,NASH,0
2317,0,66.06054839720026,488,443494.5093160061,66.06054839720026,17,5,Cirrhosis,0
2318,0,4.8485351578076665,28,958356.3191777348,4.8485351578076665,17,6,HCC,0
2319,343.26365324689255,0,316,0,343.26365324689255,17,7,Liver death,0
2320,0,0,2310,0,0,17,8,Natural death,0
2325,0,131.9572093487828,2389,2.389411552323628e+07,131.9572093487828,17,13,CHD,0
2326,220.76211339115682,0,641,0,220.76211339115682,17,14,CHD death,0
2331,0,110.14812597831752,4558,1.910013739571114e+07,110.14812597831752,17,19,T2DM,0
2332,747.5432126925161,0,1151,0,747.5432126925161,17,20,T2DM death,0
2337,0,0,8172,1.8129881615660002e+06,0,17,25,Overweight,0
2338,0,69.48953771854902,11095,4.822634989362033e+06,69.48953771854902,17,26,Obese,0
2451,0,0,8926,822619.0448996428,0,18,3,Steatosis,0
2452,0,439.82534459775263,4093,1.1577030958210786e+06,439.82534459775263,18,4,NASH,0
2453,0,65.5821535297695,499,440282.8269709684,65.5821535297695,18,5,Cirrhosis,0
2454,0,6.052263026389596,36,1.1962838935644391e+06,6.052263026389596,18,6,HCC,0
2455,563.0352650055524,0,365,0,563.0352650055524,18,7,Liver death,0
2456,0,0,2439,0,0,18,8,Natural death,0
2461,0,131.70677342374458,2456,2.38487679067371e+07,131.70677342374458,18,13,CHD,0
2462,240.37744686081092,0,696,0,240.37744686081092,18,14,CHD death,0
2467,0,109.12189683030718,4651,1.892218504697696e+07,109.12189683030718,18,19,T2DM,0
2468,862.5982304927238,0,1272,0,862.5982304927238,18,20,T2DM death,0
2473,0,0,8189,1.763844343586524e+06,0,18,25,Overweight,0
2474,0,68.07972315850836,11196,4.724792619862602e+06,68.07972315850836,18,26,Obese,0
2587,0,0,8895,795885.5230801167,0,19,3,Steatosis,0
2588,0,439.95158159412176,4217,1.1580353753573517e+06,439.95158159412176,19,4,NASH,0
2589,0,68.13796522150382,534,457441.15337956045,68.13796522150382,19,5,Cirrhosis,0
2590,0,6.528870578629552,40,1.2904896370705932e+06,6.528870578629552,19,6,HCC,0
2591,366.1903255025455,0,403,0,366.1903255025455,19,7,Liver death,0
2592,0,0,2571,0,0,19,8,Natural death,0
2597,0,130.73420672457598,2511,2.3672660658192903e+07,130.73420672457598,19,13,CHD,0
2598,212.94368715190825,0,753,0,212.94368715190825,19,14,CHD death,0
2603,0,108.44924273704203,4761,1.8805544064783856e+07,108.44924273704203,19,19,T2DM,0
2604,756.3272439008482,0,1383,0,756.3272439008482,19,20,T2DM death,0
2609,0,0,8267,1.72878146844247e+06,0,19,25,Overweight,0
2610,0,66.59862545840603,11281,4.622003137794141e+06,66.59862545840603,19,26,Obese,0
2723,0,0,8949,777395.3454862529,0,20,3,Steatosis,0
2724,0,434.22771682209674,4287,1.1429690858676434e+06,434.22771682209674,20,4,NASH,0
2725,0,71.10867247944346,574,477384.86244113394,71.10867247944346,20,5,Cirrhosis,0
2726,0,5.863306102167314,37,1.1589348682430086e+06,5.863306102167314,20,6,HCC,0
2727,497.1475880945649,0,450,0,497.1475880945649,20,7,Liver death,0
2728,0,0,2699,0,0,20,8,Natural death,0
2733,0,129.7571109108147,2567,2.349573330146688e+07,129.7571109108147,20,13,CHD,0
2734,234.52129658265358,0,806,0,234.52129658265358,20,14,CHD death,0
2739,0,108.07704370991443,4887,1.8741003224949114e+07,108.07704370991443,20,19,T2DM,0
2740,789.1101299576816,0,1511,0,789.1101299576816,20,20,T2DM death,0
2745,0,0,8291,1.683301270915396e+06,0,20,25,Overweight,0
2746,0,65.04861256769564,11349,4.514430880930976e+06,65.04861256769564,20,26,Obese,0
2859,0,0,8881,749017.6874202467,0,21,3,Steatosis,0
2860,0,433.18433752113685,4405,1.1402227151508278e+06,433.18433752113685,21,4,NASH,0
2861,0,73.00660362474673,607,490126.5375017119,73.00660362474673,21,5,Cirrhosis,0
2862,0,5.2309736938779565,34,1.0339487147799083e+06,5.2309736938779565,21,6,HCC,0
2863,581.1555676045618,0,512,0,581.1555676045618,21,7,Liver death,0
2864,0,0,2835,0,0,21,8,Natural death,0
