Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,7564,0,0,2,3,Steatosis,0
276,0,0,793,0,0,2,4,NASH,0
277,0,0,69,0,0,2,5,Cirrhosis,0
278,0,0,7,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1448,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2125,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7335,0,0,2,25,Overweight,0
298,0,0,8419,0,0,2,26,Obese,0
411,0,0,7699,0,0,3,3,Steatosis,0
412,0,0,979,0,0,3,4,NASH,0
413,0,0,84,0,0,3,5,Cirrhosis,0
414,0,0,4,0,0,3,6,HCC,0
415,0,0,6,0,0,3,7,Liver death,0
416,0,0,255,0,0,3,8,Natural death,0
421,0,0,1481,0,0,3,13,CHD,0
422,0,0,24,0,0,3,14,CHD death,0
427,0,0,2161,0,0,3,19,T2DM,0
428,0,0,79,0,0,3,20,T2DM death,0
433,0,0,7640,0,0,3,25,Overweight,0
434,0,0,8373,0,0,3,26,Obese,0
547,0,0,7874,0,0,4,3,Steatosis,0
548,0,0,1155,0,0,4,4,NASH,0
549,0,0,89,0,0,4,5,Cirrhosis,0
550,0,0,3,0,0,4,6,HCC,0
551,0,0,16,0,0,4,7,Liver death,0
552,0,0,503,0,0,4,8,Natural death,0
557,0,0,1505,0,0,4,13,CHD,0
558,0,0,47,0,0,4,14,CHD death,0
563,0,0,2224,0,0,4,19,T2DM,0
564,0,0,129,0,0,4,20,T2DM death,0
569,0,0,7892,0,0,4,25,Overweight,0
570,0,0,8375,0,0,4,26,Obese,0
683,0,0,7905,0,0,5,3,Steatosis,0
684,0,0,1338,0,0,5,4,NASH,0
685,0,0,106,0,0,5,5,Cirrhosis,0
686,0,0,3,0,0,5,6,HCC,0
687,0,0,28,0,0,5,7,Liver death,0
688,0,0,768,0,0,5,8,Natural death,0
693,0,0,1530,0,0,5,13,CHD,0
694,0,0,76,0,0,5,14,CHD death,0
699,0,0,2254,0,0,5,19,T2DM,0
700,0,0,199,0,0,5,20,T2DM death,0
705,0,0,7917,0,0,5,25,Overweight,0
706,0,0,8386,0,0,5,26,Obese,0
819,0,0,7978,0,0,6,3,Steatosis,0
820,0,0,1542,0,0,6,4,NASH,0
821,0,0,120,0,0,6,5,Cirrhosis,0
822,0,0,2,0,0,6,6,HCC,0
823,0,0,40,0,0,6,7,Liver death,0
824,0,0,1013,0,0,6,8,Natural death,0
829,0,0,1546,0,0,6,13,CHD,0
830,0,0,105,0,0,6,14,CHD death,0
835,0,0,2336,0,0,6,19,T2DM,0
836,0,0,259,0,0,6,20,T2DM death,0
841,0,0,8037,0,0,6,25,Overweight,0
842,0,0,8387,0,0,6,26,Obese,0
955,0,0,8063,2.1319690885168025e+06,0,7,3,Steatosis,0
956,0,244.24797459151986,1725,403734.5510923458,244.24797459151986,7,4,NASH,0
957,0,24.676940651168877,137,586098.9348860179,24.676940651168877,7,5,Cirrhosis,0
958,0,0.24170997659516905,1,34993.50838001104,0.24170997659516905,7,6,HCC,0
959,241.35336031,0,53,0,241.35336031,7,7,Liver death,0
960,0,0,1261,0,0,7,8,Natural death,0
965,0,98.05918291497093,1547,1.464333700624914e+07,98.05918291497093,7,13,CHD,0
966,200.78058050000004,0,130,0,200.78058050000004,7,14,CHD death,0
971,0,103.14553352436661,2412,1.1935230506567782e+07,103.14553352436661,7,19,T2DM,0
972,518.5670097999999,0,318,0,518.5670097999999,7,20,T2DM death,0
977,0,0,8150,1.8825297960668053e+06,0,7,25,Overweight,0
978,0,113.52277441114157,8371,6.542487153201419e+06,113.52277441114157,7,26,Obese,0
1091,0,0,8103,2.0801414015414976e+06,0,8,3,Steatosis,0
1092,0,261.3284928653417,1901,431968.13374225446,261.3284928653417,8,4,NASH,0
1093,0,27.105986825392733,155,643790.907145721,27.105986825392733,8,5,Cirrhosis,0
1094,0,0.469339760378969,2,67948.55996118647,0.469339760378969,8,6,HCC,0
1095,221.31198261553402,0,66,0,221.31198261553402,8,7,Liver death,0
1096,0,0,1506,0,0,8,8,Natural death,0
1101,0,96.24927801319916,1564,1.4373060968472878e+07,96.24927801319916,8,13,CHD,0
1102,155.20610860582525,0,152,0,155.20610860582525,8,14,CHD death,0
1107,0,102.92299731395661,2479,1.1909480278936837e+07,102.92299731395661,8,19,T2DM,0
1108,654.5939579456315,0,391,0,654.5939579456315,8,20,T2DM death,0
1113,0,0,8193,1.8373419047206726e+06,0,8,25,Overweight,0
1114,0,110.41378246580211,8386,6.36331130088926e+06,110.41378246580211,8,26,Obese,0
1227,0,0,8103,2.0195547587786997e+06,0,9,3,Steatosis,0
1228,0,277.20682506463874,2077,458214.53899206757,277.20682506463874,9,4,NASH,0
1229,0,29.20281699948367,172,693592.458685022,29.20281699948367,9,5,Cirrhosis,0
1230,0,0.9113393405416874,4,131938.9513809446,0.9113393405416874,9,6,HCC,0
1231,231.46103607314544,0,79,0,231.46103607314544,9,7,Liver death,0
1232,0,0,1760,0,0,9,8,Natural death,0
1237,0,95.35783757670193,1596,1.423994072063351e+07,95.35783757670193,9,13,CHD,0
1238,142.43373395890282,0,180,0,142.43373395890282,9,14,CHD death,0
1243,0,102.98870047708222,2555,1.1917082958084129e+07,102.98870047708222,9,19,T2DM,0
1244,835.9338405740414,0,468,0,835.9338405740414,9,20,T2DM death,0
1249,0,0,8263,1.799067894651489e+06,0,9,25,Overweight,0
1250,0,106.98053684670808,8369,6.165448224752427e+06,106.98053684670808,9,26,Obese,0
1363,0,0,8081,1.9554093001260853e+06,0,10,3,Steatosis,0
1364,0,287.14413728876417,2216,474640.6170243523,287.14413728876417,10,4,NASH,0
1365,0,33.297409313026066,202,790842.6092479952,33.297409313026066,10,5,Cirrhosis,0
1366,0,2.2119886906351645,10,320240.17325471994,2.2119886906351645,10,6,HCC,0
1367,219.21244661292346,0,94,0,219.21244661292346,10,7,Liver death,0
1368,0,0,2025,0,0,10,8,Natural death,0
1373,0,93.27651825153679,1608,1.392913392630747e+07,93.27651825153679,10,13,CHD,0
1374,167.45345916683672,0,209,0,167.45345916683672,10,14,CHD death,0
1379,0,103.82422524488514,2653,1.2013763641744789e+07,103.82422524488514,10,19,T2DM,0
1380,767.0135461089549,0,537,0,767.0135461089549,10,20,T2DM death,0
1385,0,0,8295,1.7534321541147481e+06,0,10,25,Overweight,0
1386,0,103.86459888030217,8369,5.985872062864795e+06,103.86459888030217,10,26,Obese,0
1499,0,0,8149,1.9144307559176988e+06,0,11,3,Steatosis,0
1500,0,297.90285877632533,2368,492424.45984790043,297.90285877632533,11,4,NASH,0
1501,0,32.64765692520111,204,775410.421448573,32.64765692520111,11,5,Cirrhosis,0
1502,0,1.07378091778406,5,155456.39478384462,1.07378091778406,11,6,HCC,0
1503,384.4756388046398,0,121,0,384.4756388046398,11,7,Liver death,0
1504,0,0,2259,0,0,11,8,Natural death,0
1509,0,89.7712711279504,1594,1.3405689681769509e+07,89.7712711279504,11,13,CHD,0
1510,219.33849267692537,0,242,0,219.33849267692537,11,14,CHD death,0
1515,0,103.11790181279005,2714,1.1932033171348616e+07,103.11790181279005,11,19,T2DM,0
1516,779.5657884046242,0,623,0,779.5657884046242,11,20,T2DM death,0
1521,0,0,8234,1.6898424430412652e+06,0,11,25,Overweight,0
1522,0,101.00810462252157,8383,5.821248029655411e+06,101.00810462252157,11,26,Obese,0
1635,0,0,8106,1.8488629503011564e+06,0,12,3,Steatosis,0
1636,0,308.8905183372664,2529,510586.7304166117,308.8905183372664,12,4,NASH,0
1637,0,33.561269254918045,216,797109.5137678126,33.561269254918045,12,5,Cirrhosis,0
1638,0,1.6680091926742677,8,241485.661800147,1.6680091926742677,12,6,HCC,0
1639,284.16682436456347,0,139,0,284.16682436456347,12,7,Liver death,0
1640,0,0,2528,0,0,12,8,Natural death,0
1645,0,86.88318440651915,1589,1.297440700218783e+07,86.88318440651915,12,13,CHD,0
1646,156.7556361645791,0,273,0,156.7556361645791,12,14,CHD death,0
1651,0,102.77041534023584,2786,1.1891824632928103e+07,102.77041534023584,12,19,T2DM,0
1652,522.1909958760476,0,683,0,522.1909958760476,12,20,T2DM death,0
1657,0,0,8277,1.6491914770932235e+06,0,12,25,Overweight,0
1658,0,97.73857102401782,8355,5.632819921937413e+06,97.73857102401782,12,26,Obese,0
1771,0,0,8122,1.7985556524527404e+06,0,13,3,Steatosis,0
1772,0,314.5978667452613,2653,520020.8055662682,314.5978667452613,13,4,NASH,0
1773,0,33.6397116318175,223,798972.5888629149,33.6397116318175,13,5,Cirrhosis,0
1774,0,2.024283000818286,10,293065.1235438677,2.024283000818286,13,6,HCC,0
1775,405.21922651923694,0,167,0,405.21922651923694,13,7,Liver death,0
1776,0,0,2793,0,0,13,8,Natural death,0
1781,0,84.9896303071693,1601,1.2691639493913082e+07,84.9896303071693,13,13,CHD,0
1782,138.45169964126856,0,298,0,138.45169964126856,13,14,CHD death,0
1787,0,101.81848591511668,2843,1.1781674472018382e+07,101.81848591511668,13,19,T2DM,0
1788,552.8705298997485,0,747,0,552.8705298997485,13,20,T2DM death,0
1793,0,0,8333,1.6119897785082106e+06,0,13,25,Overweight,0
1794,0,94.7895991315478,8346,5.462866264430689e+06,94.7895991315478,13,26,Obese,0
1907,0,0,8047,1.7300460854598149e+06,0,14,3,Steatosis,0
1908,0,319.0199366722296,2771,527330.3540685063,319.0199366722296,14,4,NASH,0
1909,0,35.44259747877483,242,841792.7054065334,35.44259747877483,14,5,Cirrhosis,0
1910,0,1.5722586414122615,8,227623.39692727593,1.5722586414122615,14,6,HCC,0
1911,306.7730474967539,0,189,0,306.7730474967539,14,7,Liver death,0
1912,0,0,3059,0,0,14,8,Natural death,0
1917,0,83.59652666005134,1622,1.2483605064265994e+07,83.59652666005134,14,13,CHD,0
1918,136.4797397154332,0,326,0,136.4797397154332,14,14,CHD death,0
1923,0,100.80005418450521,2899,1.166382916117622e+07,100.80005418450521,14,19,T2DM,0
1924,639.5541828838461,0,822,0,639.5541828838461,14,20,T2DM death,0
1929,0,0,8330,1.5644751834706808e+06,0,14,25,Overweight,0
1930,0,91.57664281797817,8305,5.277698790199136e+06,91.57664281797817,14,26,Obese,0
2043,0,0,8067,1.683831008771066e+06,0,15,3,Steatosis,0
2044,0,320.9055782974071,2871,530447.2629245274,320.9055782974071,15,4,NASH,0
2045,0,36.40096667963734,256,864554.8125815318,36.40096667963734,15,5,Cirrhosis,0
2046,0,1.7172727879502856,9,248617.78790600525,1.7172727879502856,15,6,HCC,0
2047,181.2361627174789,0,203,0,181.2361627174789,15,7,Liver death,0
2048,0,0,3340,0,0,15,8,Natural death,0
2053,0,79.66053562233229,1592,1.1895837131619181e+07,79.66053562233229,15,13,CHD,0
2054,141.0985634956024,0,353,0,141.0985634956024,15,14,CHD death,0
2059,0,100.46348799656307,2976,1.1624884236499777e+07,100.46348799656307,15,19,T2DM,0
2060,623.3350639968146,0,904,0,623.3350639968146,15,20,T2DM death,0
2065,0,0,8320,1.5170845262150809e+06,0,15,25,Overweight,0
2066,0,89.44463806972281,8355,5.154828170199902e+06,89.44463806972281,15,26,Obese,0
2179,0,0,8130,1.6475544139803455e+06,0,16,3,Steatosis,0
2180,0,324.25556805166815,2988,535984.6951667051,324.25556805166815,16,4,NASH,0
2181,0,36.85929195791559,267,875440.4390142107,36.85929195791559,16,5,Cirrhosis,0
2182,0,2.223006845243088,12,321835.32415016857,2.223006845243088,16,6,HCC,0
2183,265.8631897874731,0,225,0,265.8631897874731,16,7,Liver death,0
2184,0,0,3609,0,0,16,8,Natural death,0
2189,0,78.65200222749263,1619,1.1745231202183474e+07,78.65200222749263,16,13,CHD,0
2190,69.73676931262554,0,368,0,69.73676931262554,16,14,CHD death,0
2195,0,99.33997289563929,3031,1.1494879463158572e+07,99.33997289563929,16,19,T2DM,0
2196,499.0830062470239,0,967,0,499.0830062470239,16,20,T2DM death,0
2201,0,0,8379,1.483342424985869e+06,0,16,25,Overweight,0
2202,0,86.48606826658214,8321,4.984321370754501e+06,86.48606826658214,16,26,Obese,0
2315,0,0,8142,1.6019283772950226e+06,0,17,3,Steatosis,0
2316,0,327.66496947034165,3110,541620.3331021417,327.66496947034165,17,4,NASH,0
2317,0,39.80658780226515,297,945441.2944519249,39.80658780226515,17,5,Cirrhosis,0
2318,0,1.438839382034361,8,208307.65317163014,1.438839382034361,17,6,HCC,0
2319,197.60496906630812,0,243,0,197.60496906630812,17,7,Liver death,0
2320,0,0,3872,0,0,17,8,Natural death,0
2325,0,76.5969953989636,1624,1.1438353695704632e+07,76.5969953989636,17,13,CHD,0
2326,150.46553860195306,0,394,0,150.46553860195306,17,14,CHD death,0
2331,0,98.61033911830833,3099,1.1410451693767829e+07,98.61033911830833,17,19,T2DM,0
2332,568.0855219716827,0,1039,0,568.0855219716827,17,20,T2DM death,0
2337,0,0,8349,1.4349820350928458e+06,0,17,25,Overweight,0
2338,0,84.62297036315351,8386,4.876948254113432e+06,84.62297036315351,17,26,Obese,0
2451,0,0,8110,1.5491576864847776e+06,0,18,3,Steatosis,0
2452,0,327.83886215853346,3205,541907.7724823109,327.83886215853346,18,4,NASH,0
2453,0,39.948424227045095,307,948810.0336593692,39.948424227045095,18,5,Cirrhosis,0
2454,0,1.2223150090097725,7,176960.38497589942,1.2223150090097725,18,6,HCC,0
2455,335.2090174358754,0,272,0,335.2090174358754,18,7,Liver death,0
2456,0,0,4168,0,0,18,8,Natural death,0
2461,0,73.4043854467812,1603,1.096159606761053e+07,73.4043854467812,18,13,CHD,0
2462,137.1527349548529,0,421,0,137.1527349548529,18,14,CHD death,0
2467,0,95.83087307993684,3102,1.1088832650077598e+07,95.83087307993684,18,19,T2DM,0
2468,659.0403044303209,0,1132,0,659.0403044303209,18,20,T2DM death,0
2473,0,0,8371,1.3968575523564909e+06,0,18,25,Overweight,0
2474,0,82.02106468250999,8372,4.7269965410950305e+06,82.02106468250999,18,26,Obese,0
2587,0,0,8185,1.5179456818118026e+06,0,19,3,Steatosis,0
2588,0,323.65292451862973,3259,534988.5435437952,323.65292451862973,19,4,NASH,0
2589,0,40.679904497354975,322,966183.330186637,40.679904497354975,19,5,Cirrhosis,0
2590,0,0.8476525721288298,5,122718.71357551968,0.8476525721288298,19,6,HCC,0
2591,309.1063911620315,0,301,0,309.1063911620315,19,7,Liver death,0
2592,0,0,4425,0,0,19,8,Natural death,0
2597,0,70.91072854151986,1595,1.0589214232924294e+07,70.91072854151986,19,13,CHD,0
2598,95.47955562880213,0,438,0,95.47955562880213,19,14,CHD death,0
2603,0,94.1794337104812,3140,1.0897740424668903e+07,94.1794337104812,19,19,T2DM,0
2604,541.2318664505856,0,1210,0,541.2318664505856,19,20,T2DM death,0
2609,0,0,8401,1.3610326331597713e+06,0,19,25,Overweight,0
2610,0,79.67966022262328,8377,4.592057902758735e+06,79.67966022262328,19,26,Obese,0
2723,0,0,8178,1.4724733007758427e+06,0,20,3,Steatosis,0
2724,0,320.39688991958127,3323,529606.4163455343,320.39688991958127,20,4,NASH,0
2725,0,42.80674989319437,349,1.0166977695083513e+06,42.80674989319437,20,5,Cirrhosis,0
2726,0,0.9875563947131999,6,142973.25853458603,0.9875563947131999,20,6,HCC,0
2727,269.0979516079281,0,322,0,269.0979516079281,20,7,Liver death,0
2728,0,0,4701,0,0,20,8,Natural death,0
2733,0,68.54322483728224,1588,1.0235671060586508e+07,68.54322483728224,20,13,CHD,0
2734,91.54682979937871,0,460,0,91.54682979937871,20,14,CHD death,0
2739,0,91.52370297200319,3143,1.059043910541661e+07,91.52370297200319,20,19,T2DM,0
2740,838.442980247325,0,1324,0,838.442980247325,20,20,T2DM death,0
2745,0,0,8409,1.3226492237102306e+06,0,20,25,Overweight,0
2746,0,77.30348535502952,8371,4.455115393860947e+06,77.30348535502952,20,26,Obese,0
2859,0,0,8181,1.4301101550750665e+06,0,21,3,Steatosis,0
2860,0,318.1792767784372,3399,525940.7685646364,318.1792767784372,21,4,NASH,0
2861,0,42.86986385943176,360,1.0181967814365753e+06,42.86986385943176,21,5,Cirrhosis,0
2862,0,1.2783901549685435,8,185078.6518247069,1.2783901549685435,21,6,HCC,0
2863,207.11177983772708,0,342,0,207.11177983772708,21,7,Liver death,0
2864,0,0,4983,0,0,21,8,Natural death,0
