Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,6937,0,0,2,3,Steatosis,0
276,0,0,577,0,0,2,4,NASH,0
277,0,0,56,0,0,2,5,Cirrhosis,0
278,0,0,7,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1478,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2107,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7505,0,0,2,25,Overweight,0
298,0,0,8283,0,0,2,26,Obese,0
411,0,0,7200,0,0,3,3,Steatosis,0
412,0,0,753,0,0,3,4,NASH,0
413,0,0,60,0,0,3,5,Cirrhosis,0
414,0,0,4,0,0,3,6,HCC,0
415,0,0,7,0,0,3,7,Liver death,0
416,0,0,210,0,0,3,8,Natural death,0
421,0,0,1498,0,0,3,13,CHD,0
422,0,0,56,0,0,3,14,CHD death,0
427,0,0,2225,0,0,3,19,T2DM,0
428,0,0,62,0,0,3,20,T2DM death,0
433,0,0,7795,0,0,3,25,Overweight,0
434,0,0,8346,0,0,3,26,Obese,0
547,0,0,7382,0,0,4,3,Steatosis,0
548,0,0,920,0,0,4,4,NASH,0
549,0,0,61,0,0,4,5,Cirrhosis,0
550,0,0,3,0,0,4,6,HCC,0
551,0,0,14,0,0,4,7,Liver death,0
552,0,0,396,0,0,4,8,Natural death,0
557,0,0,1560,0,0,4,13,CHD,0
558,0,0,97,0,0,4,14,CHD death,0
563,0,0,2332,0,0,4,19,T2DM,0
564,0,0,146,0,0,4,20,T2DM death,0
569,0,0,7871,0,0,4,25,Overweight,0
570,0,0,8484,0,0,4,26,Obese,0
683,0,0,7540,0,0,5,3,Steatosis,0
684,0,0,1092,0,0,5,4,NASH,0
685,0,0,64,0,0,5,5,Cirrhosis,0
686,0,0,2,0,0,5,6,HCC,0
687,0,0,24,0,0,5,7,Liver death,0
688,0,0,568,0,0,5,8,Natural death,0
693,0,0,1575,0,0,5,13,CHD,0
694,0,0,147,0,0,5,14,CHD death,0
699,0,0,2433,0,0,5,19,T2DM,0
700,0,0,231,0,0,5,20,T2DM death,0
705,0,0,8028,0,0,5,25,Overweight,0
706,0,0,8636,0,0,5,26,Obese,0
819,0,0,7737,0,0,6,3,Steatosis,0
820,0,0,1254,0,0,6,4,NASH,0
821,0,0,75,0,0,6,5,Cirrhosis,0
822,0,0,3,0,0,6,6,HCC,0
823,0,0,33,0,0,6,7,Liver death,0
824,0,0,752,0,0,6,8,Natural death,0
829,0,0,1600,0,0,6,13,CHD,0
830,0,0,186,0,0,6,14,CHD death,0
835,0,0,2515,0,0,6,19,T2DM,0
836,0,0,304,0,0,6,20,T2DM death,0
841,0,0,8049,0,0,6,25,Overweight,0
842,0,0,8786,0,0,6,26,Obese,0
955,0,0,7860,878991.6021933083,0,7,3,Steatosis,0
956,0,220.94694662444593,1427,568193.0366730635,220.94694662444593,7,4,NASH,0
957,0,11.879218791686176,82,405505.1152373862,11.879218791686176,7,5,Cirrhosis,0
958,0,1.8180888951969763,6,104160.08393646796,1.8180888951969763,7,6,HCC,0
959,126.29706892000002,0,39,0,126.29706892000002,7,7,Liver death,0
960,0,0,958,0,0,7,8,Natural death,0
965,0,127.58185463204866,1632,2.7214653587165568e+07,127.58185463204866,7,13,CHD,0
966,325.580920387,0,234,0,325.580920387,7,14,CHD death,0
971,0,83.45693415360398,2628,1.6261686356658695e+07,83.45693415360398,7,19,T2DM,0
972,962.0420553779994,0,396,0,962.0420553779994,7,20,T2DM death,0
977,0,0,8097,2.5387273045608904e+06,0,7,25,Overweight,0
978,0,135.7971959370373,8857,1.0581069236465551e+07,135.7971959370373,7,26,Obese,0
1091,0,0,8003,868915.9554770333,0,8,3,Steatosis,0
1092,0,233.7530034501161,1555,601125.4325569926,233.7530034501161,8,4,NASH,0
1093,0,12.939712631247037,92,441705.7850087557,12.939712631247037,8,5,Cirrhosis,0
1094,0,1.4709457080881685,5,84271.9125699579,1.4709457080881685,8,6,HCC,0
1095,226.8758371165049,0,51,0,226.8758371165049,8,7,Liver death,0
1096,0,0,1121,0,0,8,8,Natural death,0
1101,0,127.73668697989814,1683,2.7247681079384733e+07,127.73668697989814,8,13,CHD,0
1102,405.20402858834944,0,289,0,405.20402858834944,8,14,CHD death,0
1107,0,84.51015077176453,2741,1.6466906911232932e+07,84.51015077176453,8,19,T2DM,0
1108,759.425324987379,0,468,0,759.425324987379,8,20,T2DM death,0
1113,0,0,8070,2.456564800795719e+06,0,8,25,Overweight,0
1114,0,133.98546710672468,9001,1.0439902638300285e+07,133.98546710672468,8,26,Obese,0
1227,0,0,8133,857311.2104679936,0,9,3,Steatosis,0
1228,0,250.58777318631275,1717,644418.1735712113,250.58777318631275,9,4,NASH,0
1229,0,14.064905033964173,103,480114.9837051679,14.064905033964173,9,5,Cirrhosis,0
1230,0,1.428102629211814,5,81817.39084461932,1.428102629211814,9,6,HCC,0
1231,230.71204442548782,0,65,0,230.71204442548782,9,7,Liver death,0
1232,0,0,1291,0,0,9,8,Natural death,0
1237,0,128.36376830497602,1742,2.738144462343909e+07,128.36376830497602,9,13,CHD,0
1238,426.0497355961923,0,350,0,426.0497355961923,9,14,CHD death,0
1243,0,85.13187689097748,2844,1.6588051010913746e+07,85.13187689097748,9,19,T2DM,0
1244,753.8987941304554,0,545,0,753.8987941304554,9,20,T2DM death,0
1249,0,0,8092,2.391516267614527e+06,0,9,25,Overweight,0
1250,0,131.0512656871681,9068,1.0211275028135996e+07,131.0512656871681,9,26,Obese,0
1363,0,0,8233,842575.1010543929,0,10,3,Steatosis,0
1364,0,262.55952395758834,1853,675205.0458450954,262.55952395758834,10,4,NASH,0
1365,0,16.571902434211708,125,565693.0244428887,16.571902434211708,10,5,Cirrhosis,0
1366,0,1.9411103698024659,7,111208.10406064763,1.9411103698024659,10,6,HCC,0
1367,127.31041701449678,0,74,0,127.31041701449678,10,7,Liver death,0
1368,0,0,1451,0,0,10,8,Natural death,0
1373,0,131.13527989423045,1833,2.7972639413890097e+07,131.13527989423045,10,13,CHD,0
1374,307.7425870350051,0,402,0,307.7425870350051,10,14,CHD death,0
1379,0,84.6575851676843,2913,1.6495634684771586e+07,84.6575851676843,10,19,T2DM,0
1380,1058.4388944429859,0,645,0,1058.4388944429859,10,20,T2DM death,0
1385,0,0,8132,2.333337767163108e+06,0,10,25,Overweight,0
1386,0,128.11819938562596,9131,9.982735864290727e+06,128.11819938562596,10,26,Obese,0
1499,0,0,8279,822604.6565655133,0,11,3,Steatosis,0
1500,0,275.27211577087604,2001,707897.0846205776,275.27211577087604,11,4,NASH,0
1501,0,18.01993274399726,140,615122.512015567,18.01993274399726,11,5,Cirrhosis,0
1502,0,2.4230226530127865,9,138817.32823104414,2.4230226530127865,11,6,HCC,0
1503,163.81771544995726,0,87,0,163.81771544995726,11,7,Liver death,0
1504,0,0,1631,0,0,11,8,Natural death,0
1509,0,130.44139833439021,1878,2.782462662370207e+07,130.44139833439021,11,13,CHD,0
1510,311.90708653360065,0,463,0,311.90708653360065,11,14,CHD death,0
1515,0,84.95695190954903,3011,1.6553966662950568e+07,84.95695190954903,11,19,T2DM,0
1516,901.9879679235922,0,740,0,901.9879679235922,11,20,T2DM death,0
1521,0,0,8122,2.2625907173502734e+06,0,11,25,Overweight,0
1522,0,125.20394841358123,9191,9.755662756522069e+06,125.20394841358123,11,26,Obese,0
1635,0,0,8308,801442.8231385645,0,12,3,Steatosis,0
1636,0,285.6858248710162,2139,734677.2555486195,285.6858248710162,12,4,NASH,0
1637,0,19.619482945960936,157,669724.2329157026,19.619482945960936,12,5,Cirrhosis,0
1638,0,1.5682994517882114,6,89849.4033857891,1.5682994517882114,12,6,HCC,0
1639,201.10674785061053,0,102,0,201.10674785061053,12,7,Liver death,0
1640,0,0,1780,0,0,12,8,Natural death,0
1645,0,130.5533397310614,1936,2.7848504990584094e+07,130.5533397310614,12,13,CHD,0
1646,355.06167650349914,0,524,0,355.06167650349914,12,14,CHD death,0
1651,0,84.6191873965663,3089,1.64881528318007e+07,84.6191873965663,12,19,T2DM,0
1652,895.7384697410891,0,844,0,895.7384697410891,12,20,T2DM death,0
1657,0,0,8129,2.1985832488226206e+06,0,12,25,Overweight,0
1658,0,122.73431705326192,9280,9.563233596025959e+06,122.73431705326192,12,26,Obese,0
1771,0,0,8418,788402.0648222477,0,13,3,Steatosis,0
1772,0,292.53630945818435,2256,752294.1436737865,292.53630945818435,13,4,NASH,0
1773,0,20.2612927584903,167,691632.842105758,20.2612927584903,13,5,Cirrhosis,0
1774,0,2.537701378298077,10,145387.3841193999,2.537701378298077,13,6,HCC,0
1775,233.7481697688953,0,117,0,233.7481697688953,13,7,Liver death,0
1776,0,0,1926,0,0,13,8,Natural death,0
1781,0,129.4351042326839,1977,2.760997270239123e+07,129.4351042326839,13,13,CHD,0
1782,401.3744265725802,0,589,0,401.3744265725802,13,14,CHD death,0
1787,0,84.73434738533344,3186,1.651059189737369e+07,84.73434738533344,13,19,T2DM,0
1788,920.6870792407547,0,954,0,920.6870792407547,13,20,T2DM death,0
1793,0,0,8132,2.1353345960730645e+06,0,13,25,Overweight,0
1794,0,120.12256612338355,9355,9.359730738496691e+06,120.12256612338355,13,26,Obese,0
1907,0,0,8488,771803.9160435492,0,14,3,Steatosis,0
1908,0,300.38199509709926,2386,772470.3172577781,300.38199509709926,14,4,NASH,0
1909,0,21.32023713322918,181,727780.6198543239,21.32023713322918,14,5,Cirrhosis,0
1910,0,1.9710301967363701,8,112922.24009273775,1.9710301967363701,14,6,HCC,0
1911,199.14559135573555,0,134,0,199.14559135573555,14,7,Liver death,0
1912,0,0,2058,0,0,14,8,Natural death,0
1917,0,128.207691970928,2017,2.734815177489012e+07,128.207691970928,14,13,CHD,0
1918,282.64024444646174,0,642,0,282.64024444646174,14,14,CHD death,0
1923,0,84.51280145301529,3273,1.6467423399737244e+07,84.51280145301529,14,19,T2DM,0
1924,896.2270609841928,0,1058,0,896.2270609841928,14,20,T2DM death,0
1929,0,0,8122,2.0705910235135905e+06,0,14,25,Overweight,0
1930,0,117.42170484771121,9419,9.149284565739868e+06,117.42170484771121,14,26,Obese,0
2043,0,0,8575,757004.5867235158,0,15,3,Steatosis,0
2044,0,307.40025458752825,2515,790518.6597805105,307.40025458752825,15,4,NASH,0
2045,0,20.92798045046902,183,714390.6744265489,20.92798045046902,15,5,Cirrhosis,0
2046,0,4.066445794237657,17,232970.640968027,4.066445794237657,15,6,HCC,0
2047,247.5319485999548,0,154,0,247.5319485999548,15,7,Liver death,0
2048,0,0,2183,0,0,15,8,Natural death,0
2053,0,129.0401894148431,2091,2.7525732902030133e+07,129.0401894148431,15,13,CHD,0
2054,277.3359543589505,0,704,0,277.3359543589505,15,14,CHD death,0
2059,0,84.28241614534879,3362,1.6422532538928226e+07,84.28241614534879,15,19,T2DM,0
2060,907.1254784090397,0,1167,0,907.1254784090397,15,20,T2DM death,0
2065,0,0,8193,2.0278558124094976e+06,0,15,25,Overweight,0
2066,0,114.52210016206935,9462,8.923352669832146e+06,114.52210016206935,15,26,Obese,0
2179,0,0,8625,739241.366638237,0,16,3,Steatosis,0
2180,0,314.34819216828095,2649,808386.1606125149,314.34819216828095,16,4,NASH,0
2181,0,20.54048694008588,185,701163.3230882887,20.54048694008588,16,5,Cirrhosis,0
2182,0,3.9480056254734524,17,226185.08831847282,3.9480056254734524,16,6,HCC,0
2183,310.4384562213757,0,177,0,310.4384562213757,16,7,Liver death,0
2184,0,0,2339,0,0,16,8,Natural death,0
2189,0,128.8766221538111,2151,2.7490842153966665e+07,128.8766221538111,16,13,CHD,0
2190,273.5320215101133,0,760,0,273.5320215101133,16,14,CHD death,0
2195,0,83.60433267855521,3435,1.6290407140694464e+07,83.60433267855521,16,19,T2DM,0
2196,860.7118865135807,0,1269,0,860.7118865135807,16,20,T2DM death,0
2201,0,0,8192,1.9685517491564692e+06,0,16,25,Overweight,0
2202,0,112.44384553552231,9569,8.761418868893577e+06,112.44384553552231,16,26,Obese,0
2315,0,0,8678,722120.3410369485,0,17,3,Steatosis,0
2316,0,317.6351456339783,2757,816838.9774520405,317.6351456339783,17,4,NASH,0
2317,0,21.559157113708487,200,735936.3139210569,21.559157113708487,17,5,Cirrhosis,0
2318,0,3.833015170362577,17,219597.17312473088,3.833015170362577,17,6,HCC,0
2319,228.98831631860043,0,198,0,228.98831631860043,17,7,Liver death,0
2320,0,0,2475,0,0,17,8,Natural death,0
2325,0,127.79873839302687,2197,2.7260917348113935e+07,127.79873839302687,17,13,CHD,0
2326,288.1579529449566,0,822,0,288.1579529449566,17,14,CHD death,0
2331,0,83.43774075775382,3531,1.6257946499847565e+07,83.43774075775382,17,19,T2DM,0
2332,800.1100661119807,0,1381,0,800.1100661119807,17,20,T2DM death,0
2337,0,0,8183,1.909115566613189e+06,0,17,25,Overweight,0
2338,0,110.45795255863604,9682,8.606681718843259e+06,110.45795255863604,17,26,Obese,0
2451,0,0,8711,703753.7496642303,0,18,3,Steatosis,0
2452,0,318.45056700155624,2847,818935.9366999125,318.45056700155624,18,4,NASH,0
2453,0,20.826564396252444,199,710928.7692732551,20.826564396252444,18,5,Cirrhosis,0
2454,0,4.815895702340187,22,275907.35629606387,4.815895702340187,18,6,HCC,0
2455,260.84069815387124,0,224,0,260.84069815387124,18,7,Liver death,0
2456,0,0,2633,0,0,18,8,Natural death,0
2461,0,126.44841167434602,2239,2.6972877375780344e+07,126.44841167434602,18,13,CHD,0
2462,322.79132053830983,0,897,0,322.79132053830983,18,14,CHD death,0
2467,0,83.02639418473755,3619,1.6177795113722626e+07,83.02639418473755,18,19,T2DM,0
2468,844.8115636247078,0,1488,0,844.8115636247078,18,20,T2DM death,0
2473,0,0,8203,1.858040407347657e+06,0,18,25,Overweight,0
2474,0,107.61732481854392,9716,8.385345198705915e+06,107.61732481854392,18,26,Obese,0
2587,0,0,8791,689530.9482929977,0,19,3,Steatosis,0
2588,0,315.25673285983913,2903,810722.5879872239,315.25673285983913,19,4,NASH,0
2589,0,21.134436231743635,208,721438.181240365,21.134436231743635,19,5,Cirrhosis,0
2590,0,4.0380414097291935,19,231343.3261087915,4.0380414097291935,19,6,HCC,0
2591,359.6725940822679,0,259,0,359.6725940822679,19,7,Liver death,0
2592,0,0,2768,0,0,19,8,Natural death,0
2597,0,125.39731134271199,2287,2.674866577850354e+07,125.39731134271199,19,13,CHD,0
2598,310.14534613173663,0,967,0,310.14534613173663,19,14,CHD death,0
2603,0,82.72414146539299,3714,1.6118900799279334e+07,82.72414146539299,19,19,T2DM,0
2604,745.4163138869025,0,1598,0,745.4163138869025,19,20,T2DM death,0
2609,0,0,8201,1.803482905337569e+06,0,19,25,Overweight,0
2610,0,105.6334843229636,9823,8.230767974242727e+06,105.6334843229636,19,26,Obese,0
2723,0,0,8812,671046.7033647076,0,20,3,Steatosis,0
2724,0,317.88309033252193,3015,817476.5986246273,317.88309033252193,20,4,NASH,0
2725,0,21.5053542686713,218,734099.7176549657,21.5053542686713,20,5,Cirrhosis,0
2726,0,3.9204285531351397,19,224605.1709794092,3.9204285531351397,20,6,HCC,0
2727,317.48083468863274,0,287,0,317.48083468863274,20,7,Liver death,0
2728,0,0,2868,0,0,20,8,Natural death,0
2733,0,125.25837196709183,2353,2.671902843714271e+07,125.25837196709183,20,13,CHD,0
2734,220.4682638739288,0,1022,0,220.4682638739288,20,14,CHD death,0
2739,0,82.45556080312974,3813,1.6066567526611637e+07,82.45556080312974,20,19,T2DM,0
2740,959.4160840969145,0,1735,0,959.4160840969145,20,20,T2DM death,0
2745,0,0,8233,1.7577864361371978e+06,0,20,25,Overweight,0
2746,0,103.11012604397098,9876,8.034152510467083e+06,103.11012604397098,20,26,Obese,0
2859,0,0,8862,655198.3267763217,0,21,3,Steatosis,0
2860,0,318.0417529386114,3107,817884.619596829,318.0417529386114,21,4,NASH,0
2861,0,21.93251147913821,229,748681.016046078,21.93251147913821,21,5,Cirrhosis,0
2862,0,4.006569803919407,20,229540.28715320295,4.006569803919407,21,6,HCC,0
2863,234.7599106631602,0,310,0,234.7599106631602,21,7,Liver death,0
2864,0,0,2964,0,0,21,8,Natural death,0
2869,0,124.29758522722913,2405,2.6514081751172494e+07,124.29758522722913,21,13,CHD,0
2870,253.83168032281674,0,1098,0,253.83168032281674,21,14,CHD death,0
