Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,5622,0,0,2,3,Steatosis,0
276,0,0,737,0,0,2,4,NASH,0
277,0,0,61,0,0,2,5,Cirrhosis,0
278,0,0,7,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1489,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2108,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7494,0,0,2,25,Overweight,0
298,0,0,8400,0,0,2,26,Obese,0
411,0,0,5819,0,0,3,3,Steatosis,0
412,0,0,783,0,0,3,4,NASH,0
413,0,0,69,0,0,3,5,Cirrhosis,0
414,0,0,4,0,0,3,6,HCC,0
415,0,0,6,0,0,3,7,Liver death,0
416,0,0,157,0,0,3,8,Natural death,0
421,0,0,1554,0,0,3,13,CHD,0
422,0,0,41,0,0,3,14,CHD death,0
427,0,0,2243,0,0,3,19,T2DM,0
428,0,0,62,0,0,3,20,T2DM death,0
433,0,0,7753,0,0,3,25,Overweight,0
434,0,0,8235,0,0,3,26,Obese,0
547,0,0,6045,0,0,4,3,Steatosis,0
548,0,0,839,0,0,4,4,NASH,0
549,0,0,72,0,0,4,5,Cirrhosis,0
550,0,0,7,0,0,4,6,HCC,0
551,0,0,12,0,0,4,7,Liver death,0
552,0,0,309,0,0,4,8,Natural death,0
557,0,0,1623,0,0,4,13,CHD,0
558,0,0,85,0,0,4,14,CHD death,0
563,0,0,2442,0,0,4,19,T2DM,0
564,0,0,117,0,0,4,20,T2DM death,0
569,0,0,8034,0,0,4,25,Overweight,0
570,0,0,8072,0,0,4,26,Obese,0
683,0,0,6212,0,0,5,3,Steatosis,0
684,0,0,910,0,0,5,4,NASH,0
685,0,0,74,0,0,5,5,Cirrhosis,0
686,0,0,5,0,0,5,6,HCC,0
687,0,0,20,0,0,5,7,Liver death,0
688,0,0,459,0,0,5,8,Natural death,0
693,0,0,1687,0,0,5,13,CHD,0
694,0,0,119,0,0,5,14,CHD death,0
699,0,0,2615,0,0,5,19,T2DM,0
700,0,0,181,0,0,5,20,T2DM death,0
705,0,0,8270,0,0,5,25,Overweight,0
706,0,0,7935,0,0,5,26,Obese,0
819,0,0,6413,0,0,6,3,Steatosis,0
820,0,0,940,0,0,6,4,NASH,0
821,0,0,79,0,0,6,5,Cirrhosis,0
822,0,0,2,0,0,6,6,HCC,0
823,0,0,31,0,0,6,7,Liver death,0
824,0,0,610,0,0,6,8,Natural death,0
829,0,0,1755,0,0,6,13,CHD,0
830,0,0,163,0,0,6,14,CHD death,0
835,0,0,2761,0,0,6,19,T2DM,0
836,0,0,260,0,0,6,20,T2DM death,0
841,0,0,8388,0,0,6,25,Overweight,0
842,0,0,7830,0,0,6,26,Obese,0
955,0,0,6594,873216.4974518991,0,7,3,Steatosis,0
956,0,171.64054579046484,984,305444.19593400933,171.64054579046484,7,4,NASH,0
957,0,16.946389536479433,89,265532.26473426673,16.946389536479433,7,5,Cirrhosis,0
958,0,0.6977611213485445,2,131137.95979759557,0.6977611213485445,7,6,HCC,0
959,60.361327889,0,35,0,60.361327889,7,7,Liver death,0
960,0,0,761,0,0,7,8,Natural death,0
965,0,133.45106555931676,1803,2.422303354951641e+07,133.45106555931676,7,13,CHD,0
966,271.99075143799996,0,204,0,271.99075143799996,7,14,CHD death,0
971,0,94.91076946967738,2881,3.709966776916777e+07,94.91076946967738,7,19,T2DM,0
972,603.87032566,0,323,0,603.87032566,7,20,T2DM death,0
977,0,0,8476,3.3824206472795545e+06,0,7,25,Overweight,0
978,0,94.27521896363854,7782,9.366829176065164e+06,94.27521896363854,7,26,Obese,0
1091,0,0,6792,873239.6398451754,0,8,3,Steatosis,0
1092,0,172.39923791804225,1018,306794.33209095366,172.39923791804225,8,4,NASH,0
1093,0,15.713353448246426,85,246211.87413998737,15.713353448246426,8,5,Cirrhosis,0
1094,0,0,0,0,0,8,6,HCC,0
1095,121.72555864271844,0,43,0,121.72555864271844,8,7,Liver death,0
1096,0,0,904,0,0,8,8,Natural death,0
1101,0,134.1632012445589,1867,2.4352295062137455e+07,134.1632012445589,8,13,CHD,0
1102,277.2983946815535,0,248,0,277.2983946815535,8,14,CHD death,0
1107,0,97.4557494445027,3047,3.8094474913531035e+07,97.4557494445027,8,19,T2DM,0
1108,936.9995683689324,0,417,0,936.9995683689324,8,20,T2DM death,0
1113,0,0,8616,3.338144515063356e+06,0,8,25,Overweight,0
1114,0,90.60016663756733,7703,9.001689877214946e+06,90.60016663756733,8,26,Obese,0
1227,0,0,6898,861036.8331176023,0,9,3,Steatosis,0
1228,0,176.58532962403015,1074,314243.7223812979,176.58532962403015,9,4,NASH,0
1229,0,14.896725713357595,83,233416.16851649355,14.896725713357595,9,5,Cirrhosis,0
1230,0,0.9865601678035789,3,185415.1566560405,0.9865601678035789,9,6,HCC,0
1231,136.15283445188047,0,52,0,136.15283445188047,9,7,Liver death,0
1232,0,0,1044,0,0,9,8,Natural death,0
1237,0,133.18576147593961,1909,2.4174877548021104e+07,133.18576147593961,9,13,CHD,0
1238,314.988318392874,0,299,0,314.988318392874,9,14,CHD death,0
1243,0,98.964594644935,3187,3.868426736768599e+07,98.964594644935,9,19,T2DM,0
1244,950.8217422707137,0,513,0,950.8217422707137,9,20,T2DM death,0
1249,0,0,8764,3.29658735272468e+06,0,9,25,Overweight,0
1250,0,87.13915163696244,7631,8.657816517462049e+06,87.13915163696244,9,26,Obese,0
1363,0,0,7047,854015.1729615381,0,10,3,Steatosis,0
1364,0,177.9868765081014,1115,316737.8554493268,177.9868765081014,10,4,NASH,0
1365,0,13.940087227378687,80,218426.64032424171,13.940087227378687,10,5,Cirrhosis,0
1366,0,2.2349259464805993,7,420034.33546675835,2.2349259464805993,10,6,HCC,0
1367,92.35411478530321,0,59,0,92.35411478530321,10,7,Liver death,0
1368,0,0,1183,0,0,10,8,Natural death,0
1373,0,133.43841390430146,1970,2.4220737116266638e+07,133.43841390430146,10,13,CHD,0
1374,358.53069041855827,0,350,0,358.53069041855827,10,14,CHD death,0
1379,0,99.66975970224611,3306,3.895990931532312e+07,99.66975970224611,10,19,T2DM,0
1380,731.8496303157148,0,591,0,731.8496303157148,10,20,T2DM death,0
1385,0,0,8861,3.2359941743685673e+06,0,10,25,Overweight,0
1386,0,83.99136033038728,7576,8.345063879230922e+06,83.99136033038728,10,26,Obese,0
1499,0,0,7188,845730.8230378242,0,11,3,Steatosis,0
1500,0,182.41155788239027,1177,324611.82973907713,182.41155788239027,11,4,NASH,0
1501,0,14.718295980363449,87,230620.36053651813,14.718295980363449,11,5,Cirrhosis,0
1502,0,1.8598551565719272,6,349543.1363107559,1.8598551565719272,11,6,HCC,0
1503,78.76405765051274,0,65,0,78.76405765051274,11,7,Liver death,0
1504,0,0,1311,0,0,11,8,Natural death,0
1509,0,135.0758967815455,2054,2.4517960690361347e+07,135.0758967815455,11,13,CHD,0
1510,224.69929645775056,0,394,0,224.69929645775056,11,14,CHD death,0
1515,0,100.6011324207822,3437,3.932397356872788e+07,100.6011324207822,11,19,T2DM,0
1516,731.7811123655267,0,675,0,731.7811123655267,11,20,T2DM death,0
1521,0,0,8893,3.1530877854263242e+06,0,11,25,Overweight,0
1522,0,81.34050168861353,7557,8.08168459101085e+06,81.34050168861353,11,26,Obese,0
1635,0,0,7302,834120.3070143554,0,12,3,Steatosis,0
1636,0,187.17982859639406,1244,333097.2409659382,187.17982859639406,12,4,NASH,0
1637,0,13.796862653169624,84,216182.46049623378,13.796862653169624,12,5,Cirrhosis,0
1638,0,1.504737181692498,5,282801.8902190582,1.504737181692498,12,6,HCC,0
1639,209.05206156390278,0,77,0,209.05206156390278,12,7,Liver death,0
1640,0,0,1449,0,0,12,8,Natural death,0
1645,0,135.48324036000784,2122,2.4591898632528752e+07,135.48324036000784,12,13,CHD,0
1646,257.184717758852,0,438,0,257.184717758852,12,14,CHD death,0
1651,0,101.62103706854273,3576,3.972264406523504e+07,101.62103706854273,12,19,T2DM,0
1652,885.9728631861116,0,771,0,885.9728631861116,12,20,T2DM death,0
1657,0,0,9043,3.112884994482511e+06,0,12,25,Overweight,0
1658,0,78.5533571000737,7517,7.804764446598173e+06,78.5533571000737,12,26,Obese,0
1771,0,0,7438,824908.5692137931,0,13,3,Steatosis,0
1772,0,190.49300447171558,1304,338993.2274682374,190.49300447171558,13,4,NASH,0
1773,0,13.873405580510378,87,217381.80840467336,13.873405580510378,13,5,Cirrhosis,0
1774,0,0.8765459310830084,3,164738.9651761504,0.8765459310830084,13,6,HCC,0
1775,184.56262643488634,0,90,0,184.56262643488634,13,7,Liver death,0
1776,0,0,1591,0,0,13,8,Natural death,0
1781,0,134.69848068879998,2173,2.4449454960279245e+07,134.69848068879998,13,13,CHD,0
1782,228.69025423072654,0,484,0,228.69025423072654,13,14,CHD death,0
1787,0,101.50295263328817,3679,3.967648604395861e+07,101.50295263328817,13,19,T2DM,0
1788,892.4410261155756,0,877,0,892.4410261155756,13,20,T2DM death,0
1793,0,0,9058,3.0272315206017224e+06,0,13,25,Overweight,0
1794,0,76.11320940686039,7502,7.56232060125123e+06,76.11320940686039,13,26,Obese,0
1907,0,0,7514,809065.3596035274,0,14,3,Steatosis,0
1908,0,191.4687861373697,1350,340729.68690965086,191.4687861373697,14,4,NASH,0
1909,0,13.624145643175025,88,213476.16493261096,13.624145643175025,14,5,Cirrhosis,0
1910,0,0.8510154670708819,3,159940.7428894664,0.8510154670708819,14,6,HCC,0
1911,163.4833131034465,0,103,0,163.4833131034465,14,7,Liver death,0
1912,0,0,1725,0,0,14,8,Natural death,0
1917,0,133.36304478457802,2216,2.420705668061058e+07,133.36304478457802,14,13,CHD,0
1918,279.4053172316894,0,535,0,279.4053172316894,14,14,CHD death,0
1923,0,101.57340042947541,3792,3.9704023380852036e+07,101.57340042947541,14,19,T2DM,0
1924,822.5754990537282,0,983,0,822.5754990537282,14,20,T2DM death,0
1929,0,0,9096,2.9513896326574613e+06,0,14,25,Overweight,0
1930,0,73.52201160761979,7464,7.304868988687843e+06,73.52201160761979,14,26,Obese,0
2043,0,0,7603,794804.2526526825,0,15,3,Steatosis,0
2044,0,194.7046843568821,1414,346488.15339106,194.7046843568821,15,4,NASH,0
2045,0,13.828567952031118,92,216679.24949029292,13.828567952031118,15,5,Cirrhosis,0
2046,0,1.9278667538822565,7,362325.3075165906,1.9278667538822565,15,6,HCC,0
2047,97.02800151655174,0,111,0,97.02800151655174,15,7,Liver death,0
2048,0,0,1868,0,0,15,8,Natural death,0
2053,0,133.04285381448776,2277,2.4148938024319742e+07,133.04285381448776,15,13,CHD,0
2054,274.47693419640234,0,593,0,274.47693419640234,15,14,CHD death,0
2059,0,100.53939977375491,3866,3.9299842896228336e+07,100.53939977375491,15,19,T2DM,0
2060,915.7344823492451,0,1097,0,915.7344823492451,15,20,T2DM death,0
2065,0,0,9162,2.8862181834337404e+06,0,15,25,Overweight,0
2066,0,70.99806113682436,7424,7.054098816326626e+06,70.99806113682436,15,26,Obese,0
2179,0,0,7694,780890.5171452995,0,16,3,Steatosis,0
2180,0,194.51484855965754,1455,346150.3297015944,194.51484855965754,16,4,NASH,0
2181,0,15.176984666644554,104,237807.5342654121,15.176984666644554,16,5,Cirrhosis,0
2182,0,1.336939496450941,5,251265.81658570777,1.336939496450941,16,6,HCC,0
2183,150.96244037061513,0,125,0,150.96244037061513,16,7,Liver death,0
2184,0,0,1979,0,0,16,8,Natural death,0
2189,0,130.75618065091342,2305,2.3733878312913347e+07,130.75618065091342,16,13,CHD,0
2190,294.4515497701087,0,650,0,294.4515497701087,16,14,CHD death,0
2195,0,99.42896657167344,3938,3.886578569589758e+07,99.42896657167344,16,19,T2DM,0
2196,926.2483682935366,0,1216,0,926.2483682935366,16,20,T2DM death,0
2201,0,0,9238,2.8253978101364956e+06,0,16,25,Overweight,0
2202,0,68.725891432513,7402,6.828344628605152e+06,68.725891432513,16,26,Obese,0
2315,0,0,7768,765437.8947640132,0,17,3,Steatosis,0
2316,0,193.91130934382446,1494,345076.2970501261,193.91130934382446,17,4,NASH,0
2317,0,15.159982816756571,107,237541.13299476483,15.159982816756571,17,5,Cirrhosis,0
2318,0,0.7787997066704511,3,146368.43684604333,0.7787997066704511,17,6,HCC,0
2319,155.98151096075253,0,138,0,155.98151096075253,17,7,Liver death,0
2320,0,0,2086,0,0,17,8,Natural death,0
2325,0,131.7943433639885,2393,2.3922317799128342e+07,131.7943433639885,17,13,CHD,0
2326,166.68154644660459,0,686,0,166.68154644660459,17,14,CHD death,0
2331,0,99.20491593377172,4047,3.877820654890943e+07,99.20491593377172,17,19,T2DM,0
2332,853.2711451657736,0,1330,0,853.2711451657736,17,20,T2DM death,0
2337,0,0,9255,2.748152600256801e+06,0,17,25,Overweight,0
2338,0,66.93149632694363,7425,6.65006031791427e+06,66.93149632694363,17,26,Obese,0
2451,0,0,7894,755197.6669616193,0,18,3,Steatosis,0
2452,0,191.16170590100288,1517,340183.2200160139,191.16170590100288,18,4,NASH,0
2453,0,14.993540758792044,109,234933.15939052054,14.993540758792044,18,5,Cirrhosis,0
2454,0,1.2601937001139984,5,236842.13081884038,1.2601937001139984,18,6,HCC,0
2455,129.31822047116646,0,148,0,129.31822047116646,18,7,Liver death,0
2456,0,0,2197,0,0,18,8,Natural death,0
2461,0,131.11045157133867,2452,2.3798182905424688e+07,131.11045157133867,18,13,CHD,0
2462,260.0600821410333,0,746,0,260.0600821410333,18,14,CHD death,0
2467,0,99.26655591934158,4171,3.880230100097982e+07,99.26655591934158,18,19,T2DM,0
2468,823.3601191672335,0,1445,0,823.3601191672335,18,20,T2DM death,0
2473,0,0,9326,2.6885777984082727e+06,0,18,25,Overweight,0
2474,0,64.6494672769231,7387,6.423326542897381e+06,64.6494672769231,18,26,Obese,0
2587,0,0,7925,736080.9254996738,0,19,3,Steatosis,0
2588,0,189.5088559053502,1549,337241.87864704436,189.5088559053502,19,4,NASH,0
2589,0,14.690384639414994,110,230183.0189093903,14.690384639414994,19,5,Cirrhosis,0
2590,0,0.48939561169475665,2,91977.52653158849,0.48939561169475665,19,6,HCC,0
2591,207.59740561878164,0,165,0,207.59740561878164,19,7,Liver death,0
2592,0,0,2300,0,0,19,8,Natural death,0
2597,0,130.09502511829132,2506,2.3613870334102113e+07,130.09502511829132,19,13,CHD,0
2598,270.6908820382291,0,811,0,270.6908820382291,19,14,CHD death,0
2603,0,97.6923413460401,4228,3.818695631467351e+07,97.6923413460401,19,19,T2DM,0
2604,954.9910250076157,0,1586,0,954.9910250076157,19,20,T2DM death,0
2609,0,0,9350,2.6169871072535943e+06,0,19,25,Overweight,0
2610,0,62.72398867049171,7382,6.232018271361493e+06,62.72398867049171,19,26,Obese,0
2723,0,0,7974,719060.2799221127,0,20,3,Steatosis,0
2724,0,191.47227821231763,1612,340735.90125734836,191.47227821231763,20,4,NASH,0
2725,0,14.651486886618649,113,229573.5316572038,14.651486886618649,20,5,Cirrhosis,0
2726,0,0.9502827411548673,4,178597.13889628835,0.9502827411548673,20,6,HCC,0
2727,168.4635197455136,0,179,0,168.4635197455136,20,7,Liver death,0
2728,0,0,2406,0,0,20,8,Natural death,0
2733,0,128.52351019753144,2550,2.3328620767230414e+07,128.52351019753144,20,13,CHD,0
2734,280.992947986284,0,881,0,280.992947986284,20,14,CHD death,0
2739,0,96.48454596019025,4301,3.7714841213318035e+07,96.48454596019025,20,19,T2DM,0
2740,890.100679826928,0,1712,0,890.100679826928,20,20,T2DM death,0
2745,0,0,9391,2.551905500672195e+06,0,20,25,Overweight,0
2746,0,60.97132098591908,7391,6.057879839393719e+06,60.97132098591908,20,26,Obese,0
2859,0,0,8029,702931.9788700605,0,21,3,Steatosis,0
2860,0,191.08480389664084,1657,340046.368488412,191.08480389664084,21,4,NASH,0
2861,0,14.224744550115197,113,222886.92393903274,14.224744550115197,21,5,Cirrhosis,0
2862,0,1.383906904594467,6,260092.92072274996,1.383906904594467,21,6,HCC,0
2863,170.10639103187518,0,194,0,170.10639103187518,21,7,Liver death,0
2864,0,0,2502,0,0,21,8,Natural death,0
2869,0,128.89051051219184,2634,2.3395235903630197e+07,128.89051051219184,21,13,CHD,0
2870,178.1361068757821,0,938,0,178.1361068757821,21,14,CHD death,0
