Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,7399,0,0,2,3,Steatosis,0
276,0,0,594,0,0,2,4,NASH,0
277,0,0,108,0,0,2,5,Cirrhosis,0
278,0,0,7,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1445,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2117,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7379,0,0,2,25,Overweight,0
298,0,0,8530,0,0,2,26,Obese,0
411,0,0,7419,0,0,3,3,Steatosis,0
412,0,0,765,0,0,3,4,NASH,0
413,0,0,110,0,0,3,5,Cirrhosis,0
414,0,0,7,0,0,3,6,HCC,0
415,0,0,4,0,0,3,7,Liver death,0
416,0,0,209,0,0,3,8,Natural death,0
421,0,0,1495,0,0,3,13,CHD,0
422,0,0,28,0,0,3,14,CHD death,0
427,0,0,2297,0,0,3,19,T2DM,0
428,0,0,60,0,0,3,20,T2DM death,0
433,0,0,7694,0,0,3,25,Overweight,0
434,0,0,8471,0,0,3,26,Obese,0
547,0,0,7476,0,0,4,3,Steatosis,0
548,0,0,939,0,0,4,4,NASH,0
549,0,0,113,0,0,4,5,Cirrhosis,0
550,0,0,9,0,0,4,6,HCC,0
551,0,0,12,0,0,4,7,Liver death,0
552,0,0,418,0,0,4,8,Natural death,0
557,0,0,1529,0,0,4,13,CHD,0
558,0,0,64,0,0,4,14,CHD death,0
563,0,0,2461,0,0,4,19,T2DM,0
564,0,0,123,0,0,4,20,T2DM death,0
569,0,0,8015,0,0,4,25,Overweight,0
570,0,0,8406,0,0,4,26,Obese,0
683,0,0,7518,0,0,5,3,Steatosis,0
684,0,0,1094,0,0,5,4,NASH,0
685,0,0,114,0,0,5,5,Cirrhosis,0
686,0,0,11,0,0,5,6,HCC,0
687,0,0,24,0,0,5,7,Liver death,0
688,0,0,602,0,0,5,8,Natural death,0
693,0,0,1564,0,0,5,13,CHD,0
694,0,0,104,0,0,5,14,CHD death,0
699,0,0,2617,0,0,5,19,T2DM,0
700,0,0,199,0,0,5,20,T2DM death,0
705,0,0,8234,0,0,5,25,Overweight,0
706,0,0,8345,0,0,5,26,Obese,0
819,0,0,7466,0,0,6,3,Steatosis,0
820,0,0,1271,0,0,6,4,NASH,0
821,0,0,116,0,0,6,5,Cirrhosis,0
822,0,0,3,0,0,6,6,HCC,0
823,0,0,44,0,0,6,7,Liver death,0
824,0,0,831,0,0,6,8,Natural death,0
829,0,0,1605,0,0,6,13,CHD,0
830,0,0,145,0,0,6,14,CHD death,0
835,0,0,2757,0,0,6,19,T2DM,0
836,0,0,282,0,0,6,20,T2DM death,0
841,0,0,8377,0,0,6,25,Overweight,0
842,0,0,8334,0,0,6,26,Obese,0
955,0,0,7460,1.5677106515513095e+06,0,7,3,Steatosis,0
956,0,184.99946089576227,1440,374038.2658062557,184.99946089576227,7,4,NASH,0
957,0,21.161458217819124,118,227154.42913130627,21.161458217819124,7,5,Cirrhosis,0
958,0,1.2256293024183944,4,153257.82926749348,1.2256293024183944,7,6,HCC,0
959,177.90484951,0,54,0,177.90484951,7,7,Liver death,0
960,0,0,1022,0,0,7,8,Natural death,0
965,0,105.39374488121452,1641,1.778409780938831e+07,105.39374488121452,7,13,CHD,0
966,212.411701114,0,180,0,212.411701114,7,14,CHD death,0
971,0,116.60880985368446,2930,2.4077885500720445e+07,116.60880985368446,7,19,T2DM,0
972,772.7415220269999,0,355,0,772.7415220269999,7,20,T2DM death,0
977,0,0,8521,1.3288068763616316e+06,0,7,25,Overweight,0
978,0,86.4131707671761,8365,1.1091979198786076e+07,86.4131707671761,7,26,Obese,0
1091,0,0,7400,1.5098074938806628e+06,0,8,3,Steatosis,0
1092,0,197.82169969030898,1586,399962.7087167807,197.82169969030898,8,4,NASH,0
1093,0,21.589771425124002,124,231752.09159356542,21.589771425124002,8,5,Cirrhosis,0
1094,0,2.9748284039281416,10,371985.0224939163,2.9748284039281416,8,6,HCC,0
1095,175.51063876504855,0,65,0,175.51063876504855,8,7,Liver death,0
1096,0,0,1248,0,0,8,8,Natural death,0
1101,0,103.00992559815303,1652,1.7381853109404728e+07,103.00992559815303,8,13,CHD,0
1102,280.79109612427186,0,223,0,280.79109612427186,8,14,CHD death,0
1107,0,116.96042527156982,3027,2.415048855518366e+07,116.96042527156982,8,19,T2DM,0
1108,1011.5024492019425,0,454,0,1011.5024492019425,8,20,T2DM death,0
1113,0,0,8583,1.299490740729637e+06,0,8,25,Overweight,0
1114,0,83.79598787825796,8355,1.0756038069611644e+07,83.79598787825796,8,26,Obese,0
1227,0,0,7393,1.4644459200024568e+06,0,9,3,Steatosis,0
1228,0,209.61897315340585,1731,423814.84150683705,209.61897315340585,9,4,NASH,0
1229,0,22.14422217891667,131,237703.758211378,22.14422217891667,9,5,Cirrhosis,0
1230,0,2.888182916435089,10,361150.5072756467,2.888182916435089,9,6,HCC,0
1231,158.83564944104063,0,74,0,158.83564944104063,9,7,Liver death,0
1232,0,0,1457,0,0,9,8,Natural death,0
1237,0,99.222635731546,1639,1.6742787351792304e+07,99.222635731546,9,13,CHD,0
1238,327.6077139956641,0,266,0,327.6077139956641,9,14,CHD death,0
1243,0,118.84323523895834,3168,2.4539259205282062e+07,118.84323523895834,9,19,T2DM,0
1244,901.834413431992,0,542,0,901.834413431992,9,20,T2DM death,0
1249,0,0,8688,1.2770757679110009e+06,0,9,25,Overweight,0
1250,0,80.82951263153194,8301,1.0375261835637236e+07,80.82951263153194,9,26,Obese,0
1363,0,0,7437,1.430254059147855e+06,0,10,3,Steatosis,0
1364,0,218.44494855043467,1858,441659.50178619364,218.44494855043467,10,4,NASH,0
1365,0,23.14040856167838,141,248397.16821910773,23.14040856167838,10,5,Cirrhosis,0
1366,0,2.523654975525806,9,315568.40441561374,2.523654975525806,10,6,HCC,0
1367,243.38911683613563,0,89,0,243.38911683613563,10,7,Liver death,0
1368,0,0,1663,0,0,10,8,Natural death,0
1373,0,97.03795920599259,1651,1.6374145920024283e+07,97.03795920599259,10,13,CHD,0
1374,163.02144917715037,0,299,0,163.02144917715037,10,14,CHD death,0
1379,0,119.38809365294046,3278,2.4651763899586197e+07,119.38809365294046,10,19,T2DM,0
1380,769.6218637619461,0,631,0,769.6218637619461,10,20,T2DM death,0
1385,0,0,8729,1.245730566666518e+06,0,10,25,Overweight,0
1386,0,78.82504228893883,8338,1.0117968379706481e+07,78.82504228893883,10,26,Obese,0
1499,0,0,7436,1.3884094593711088e+06,0,11,3,Steatosis,0
1500,0,224.98092405075474,1971,454874.1616001413,224.98092405075474,11,4,NASH,0
1501,0,23.581770069051895,148,253134.89565811545,23.581770069051895,11,5,Cirrhosis,0
1502,0,1.6334336411170265,6,204251.39444376293,1.6334336411170265,11,6,HCC,0
1503,197.40039399602742,0,100,0,197.40039399602742,11,7,Liver death,0
1504,0,0,1875,0,0,11,8,Natural death,0
1509,0,94.09748415533903,1649,1.5877971351355173e+07,94.09748415533903,11,13,CHD,0
1510,292.09181983835373,0,347,0,292.09181983835373,11,14,CHD death,0
1515,0,120.15399581578453,3398,2.4809910652008973e+07,120.15399581578453,11,19,T2DM,0
1516,889.3955240901225,0,730,0,889.3955240901225,11,20,T2DM death,0
1521,0,0,8759,1.213603804017765e+06,0,11,25,Overweight,0
1522,0,76.36395678736432,8320,9.802063883349016e+06,76.36395678736432,11,26,Obese,0
1635,0,0,7435,1.3477890726331417e+06,0,12,3,Steatosis,0
1636,0,234.16465572118548,2113,473442.14580400765,234.16465572118548,12,4,NASH,0
1637,0,24.59657203476274,159,264028.13178719534,24.59657203476274,12,5,Cirrhosis,0
1638,0,1.057238602664742,4,132201.5498017883,1.057238602664742,12,6,HCC,0
1639,181.87320301052296,0,112,0,181.87320301052296,12,7,Liver death,0
1640,0,0,2068,0,0,12,8,Natural death,0
1645,0,92.18780057021559,1664,1.5555732116937507e+07,92.18780057021559,12,13,CHD,0
1646,226.53708065590604,0,377,0,226.53708065590604,12,14,CHD death,0
1651,0,120.84266166608269,3520,2.4952109320462566e+07,120.84266166608269,12,19,T2DM,0
1652,980.529940876467,0,829,0,980.529940876467,12,20,T2DM death,0
1657,0,0,8878,1.1942639384592043e+06,0,12,25,Overweight,0
1658,0,73.70312343498912,8271,9.460519788459772e+06,73.70312343498912,12,26,Obese,0
1771,0,0,7448,1.3108210331576618e+06,0,13,3,Steatosis,0
1772,0,237.5656751925755,2208,480318.4438153026,237.5656751925755,13,4,NASH,0
1773,0,26.733771888549544,178,286969.5759792442,26.733771888549544,13,5,Cirrhosis,0
1774,0,0.7698339339791811,3,96263.26441877788,0.7698339339791811,13,6,HCC,0
1775,299.7543416912704,0,133,0,299.7543416912704,13,7,Liver death,0
1776,0,0,2250,0,0,13,8,Natural death,0
1781,0,89.28756823337908,1660,1.5066348087494269e+07,89.28756823337908,13,13,CHD,0
1782,249.62870122059246,0,422,0,249.62870122059246,13,14,CHD death,0
1787,0,120.38936836326717,3612,2.485851138170592e+07,120.38936836326717,13,19,T2DM,0
1788,784.101428081179,0,927,0,784.101428081179,13,20,T2DM death,0
1793,0,0,8915,1.1643118050469013e+06,0,13,25,Overweight,0
1794,0,71.90248991012385,8311,9.229390790127728e+06,71.90248991012385,13,26,Obese,0
1907,0,0,7441,1.2714456878663942e+06,0,14,3,Steatosis,0
1908,0,240.67438601190997,2304,486603.7421514365,240.67438601190997,14,4,NASH,0
1909,0,28.288162683422275,194,303654.9456745571,28.288162683422275,14,5,Cirrhosis,0
1910,0,1.2456859773125908,5,155765.80003038494,1.2456859773125908,14,6,HCC,0
1911,116.65988195662221,0,141,0,116.65988195662221,14,7,Liver death,0
1912,0,0,2461,0,0,14,8,Natural death,0
1917,0,88.51469654671948,1695,1.49359340322269e+07,88.51469654671948,14,13,CHD,0
1918,182.324468998726,0,454,0,182.324468998726,14,14,CHD death,0
1923,0,119.1480540360467,3682,2.460219949344693e+07,119.1480540360467,14,19,T2DM,0
1924,1015.0379821135077,0,1042,0,1015.0379821135077,14,20,T2DM death,0
1929,0,0,8909,1.1296390256590869e+06,0,14,25,Overweight,0
1930,0,70.16102162173738,8353,9.005856231001649e+06,70.16102162173738,14,26,Obese,0
2043,0,0,7449,1.2357404369280334e+06,0,15,3,Steatosis,0
2044,0,241.2707171665698,2379,487809.4249672434,241.2707171665698,15,4,NASH,0
2045,0,29.587758987264653,209,317605.26296658313,29.587758987264653,15,5,Cirrhosis,0
2046,0,0.9675230891748278,4,120983.1456546679,0.9675230891748278,15,6,HCC,0
2047,146.93518400838008,0,154,0,146.93518400838008,15,7,Liver death,0
2048,0,0,2663,0,0,15,8,Natural death,0
2053,0,86.0886987635377,1698,1.452657214922377e+07,86.0886987635377,15,13,CHD,0
2054,179.00487873664486,0,488,0,179.00487873664486,15,14,CHD death,0
2059,0,118.97651672911533,3787,2.4566779737082794e+07,118.97651672911533,15,19,T2DM,0
2060,833.8008441863452,0,1142,0,833.8008441863452,15,20,T2DM death,0
2065,0,0,8929,1.0991990057082928e+06,0,15,25,Overweight,0
2066,0,67.93808992884126,8331,8.720521115079127e+06,67.93808992884126,15,26,Obese,0
2179,0,0,7422,1.1953993333151233e+06,0,16,3,Steatosis,0
2180,0,242.80969344742178,2466,490920.9800843533,242.80969344742178,16,4,NASH,0
2181,0,30.925097654733868,225,331960.7198749534,30.925097654733868,16,5,Cirrhosis,0
2182,0,2.348357012560261,10,293648.41178317444,2.348357012560261,16,6,HCC,0
2183,178.79259048025455,0,166,0,178.79259048025455,16,7,Liver death,0
2184,0,0,2880,0,0,16,8,Natural death,0
2189,0,83.72893100780006,1701,1.4128385894215282e+07,83.72893100780006,16,13,CHD,0
2190,209.86433794291978,0,529,0,209.86433794291978,16,14,CHD death,0
2195,0,118.19535978356103,3875,2.4405483111919194e+07,118.19535978356103,16,19,T2DM,0
2196,1035.6835947786074,0,1277,0,1035.6835947786074,16,20,T2DM death,0
2201,0,0,9000,1.075669336564925e+06,0,16,25,Overweight,0
2202,0,65.47635322877146,8270,8.404533030997666e+06,65.47635322877146,16,26,Obese,0
2315,0,0,7379,1.1538579453541315e+06,0,17,3,Steatosis,0
2316,0,242.71601022960957,2539,490731.5681360037,242.71601022960957,17,4,NASH,0
2317,0,32.55975761706618,244,349507.72664288443,32.55975761706618,17,5,Cirrhosis,0
2318,0,2.279958264621613,10,285095.54542055784,2.279958264621613,17,6,HCC,0
2319,298.617353210515,0,190,0,298.617353210515,17,7,Liver death,0
2320,0,0,3088,0,0,17,8,Natural death,0
2325,0,81.05127594232627,1696,1.3676559463359516e+07,81.05127594232627,17,13,CHD,0
2326,127.95638012085527,0,563,0,127.95638012085527,17,14,CHD death,0
2331,0,117.35877502592409,3963,2.4232741515199747e+07,117.35877502592409,17,19,T2DM,0
2332,791.6066033737882,0,1383,0,791.6066033737882,17,20,T2DM death,0
2337,0,0,8998,1.044107086344083e+06,0,17,25,Overweight,0
2338,0,63.6153953723628,8276,8.165660812216225e+06,63.6153953723628,17,26,Obese,0
2451,0,0,7415,1.1257158092040839e+06,0,18,3,Steatosis,0
2452,0,243.44271876483253,2623,492200.85241907433,243.44271876483253,18,4,NASH,0
2453,0,31.870525122546045,246,342109.2660916352,31.870525122546045,18,5,Cirrhosis,0
2454,0,2.4349068845473547,11,304470.9708374889,2.4349068845473547,18,6,HCC,0
2455,228.7411838768903,0,208,0,228.7411838768903,18,7,Liver death,0
2456,0,0,3286,0,0,18,8,Natural death,0
2461,0,78.04099087229054,1682,1.3168605180304453e+07,78.04099087229054,18,13,CHD,0
2462,133.91353074823036,0,592,0,133.91353074823036,18,14,CHD death,0
2467,0,116.09688981200802,4038,2.397218206232244e+07,116.09688981200802,18,19,T2DM,0
2468,1024.946728458163,0,1517,0,1024.946728458163,18,20,T2DM death,0
2473,0,0,8993,1.0131329106028475e+06,0,18,25,Overweight,0
2474,0,61.96401664149276,8303,7.9536901326382905e+06,61.96401664149276,18,26,Obese,0
2587,0,0,7379,1.0876217790123627e+06,0,19,3,Steatosis,0
2588,0,240.0465644798489,2664,485334.39100872376,240.0465644798489,19,4,NASH,0
2589,0,32.07429120786675,255,344296.56189662474,32.07429120786675,19,5,Cirrhosis,0
2590,0,1.719263466582421,8,214983.91586053936,1.719263466582421,19,6,HCC,0
2591,279.95582841939967,0,238,0,279.95582841939967,19,7,Liver death,0
2592,0,0,3534,0,0,19,8,Natural death,0
2597,0,75.54272057815791,1677,1.274704806308371e+07,75.54272057815791,19,13,CHD,0
2598,120.15013708500034,0,623,0,120.15013708500034,19,14,CHD death,0
2603,0,114.64147070256685,4107,2.367166090344821e+07,114.64147070256685,19,19,T2DM,0
2604,803.4674859744484,0,1634,0,803.4674859744484,19,20,T2DM death,0
2609,0,0,8941,977936.5994155195,0,19,25,Overweight,0
2610,0,60.267921692131274,8318,7.735979687222097e+06,60.267921692131274,19,26,Obese,0
2723,0,0,7365,1.0539400585004059e+06,0,20,3,Steatosis,0
2724,0,239.70363081824058,2740,484641.03595002607,239.70363081824058,20,4,NASH,0
2725,0,32.48338648883482,266,348687.9324747861,32.48338648883482,20,5,Cirrhosis,0
2726,0,2.503781747450128,12,313083.37261243595,2.503781747450128,20,6,HCC,0
2727,171.6015080339602,0,254,0,171.6015080339602,20,7,Liver death,0
2728,0,0,3756,0,0,20,8,Natural death,0
2733,0,72.38029222134404,1655,1.2213421183461156e+07,72.38029222134404,20,13,CHD,0
2734,172.29285650127844,0,655,0,172.29285650127844,20,14,CHD death,0
2739,0,114.12086707954336,4211,2.356416444205366e+07,114.12086707954336,20,19,T2DM,0
2740,908.9716088060565,0,1761,0,908.9716088060565,20,20,T2DM death,0
2745,0,0,8943,949665.3909799169,0,20,25,Overweight,0
2746,0,58.54771757629391,8323,7.515174593493883e+06,58.54771757629391,20,26,Obese,0
2859,0,0,7313,1.0160182505573453e+06,0,21,3,Steatosis,0
2860,0,238.412618420659,2807,482030.82273104816,238.412618420659,21,4,NASH,0
2861,0,31.655829595295245,267,339804.64986775763,31.655829595295245,21,5,Cirrhosis,0
2862,0,1.6205707103237077,8,202642.9596196997,1.6205707103237077,21,6,HCC,0
2863,330.00485727206296,0,285,0,330.00485727206296,21,7,Liver death,0
2864,0,0,3975,0,0,21,8,Natural death,0
