Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,6349,0,0,2,3,Steatosis,0
276,0,0,754,0,0,2,4,NASH,0
277,0,0,66,0,0,2,5,Cirrhosis,0
278,0,0,4,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1392,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2215,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7606,0,0,2,25,Overweight,0
298,0,0,8262,0,0,2,26,Obese,0
411,0,0,6568,0,0,3,3,Steatosis,0
412,0,0,854,0,0,3,4,NASH,0
413,0,0,61,0,0,3,5,Cirrhosis,0
414,0,0,5,0,0,3,6,HCC,0
415,0,0,9,0,0,3,7,Liver death,0
416,0,0,177,0,0,3,8,Natural death,0
421,0,0,1411,0,0,3,13,CHD,0
422,0,0,36,0,0,3,14,CHD death,0
427,0,0,2284,0,0,3,19,T2DM,0
428,0,0,62,0,0,3,20,T2DM death,0
433,0,0,7986,0,0,3,25,Overweight,0
434,0,0,8396,0,0,3,26,Obese,0
547,0,0,6715,0,0,4,3,Steatosis,0
548,0,0,953,0,0,4,4,NASH,0
549,0,0,66,0,0,4,5,Cirrhosis,0
550,0,0,6,0,0,4,6,HCC,0
551,0,0,15,0,0,4,7,Liver death,0
552,0,0,364,0,0,4,8,Natural death,0
557,0,0,1444,0,0,4,13,CHD,0
558,0,0,62,0,0,4,14,CHD death,0
563,0,0,2347,0,0,4,19,T2DM,0
564,0,0,126,0,0,4,20,T2DM death,0
569,0,0,8290,0,0,4,25,Overweight,0
570,0,0,8496,0,0,4,26,Obese,0
683,0,0,6865,0,0,5,3,Steatosis,0
684,0,0,1065,0,0,5,4,NASH,0
685,0,0,66,0,0,5,5,Cirrhosis,0
686,0,0,3,0,0,5,6,HCC,0
687,0,0,21,0,0,5,7,Liver death,0
688,0,0,574,0,0,5,8,Natural death,0
693,0,0,1448,0,0,5,13,CHD,0
694,0,0,98,0,0,5,14,CHD death,0
699,0,0,2411,0,0,5,19,T2DM,0
700,0,0,190,0,0,5,20,T2DM death,0
705,0,0,8465,0,0,5,25,Overweight,0
706,0,0,8634,0,0,5,26,Obese,0
819,0,0,7059,0,0,6,3,Steatosis,0
820,0,0,1140,0,0,6,4,NASH,0
821,0,0,63,0,0,6,5,Cirrhosis,0
822,0,0,3,0,0,6,6,HCC,0
823,0,0,31,0,0,6,7,Liver death,0
824,0,0,765,0,0,6,8,Natural death,0
829,0,0,1451,0,0,6,13,CHD,0
830,0,0,127,0,0,6,14,CHD death,0
835,0,0,2480,0,0,6,19,T2DM,0
836,0,0,260,0,0,6,20,T2DM death,0
841,0,0,8607,0,0,6,25,Overweight,0
842,0,0,8733,0,0,6,26,Obese,0
955,0,0,7232,1.0528212052093586e+06,0,7,3,Steatosis,0
956,0,196.01966508953575,1236,251898.44131108507,196.01966508953575,7,4,NASH,0
957,0,15.665433820993124,71,181089.3497365034,15.665433820993124,7,5,Cirrhosis,0
958,0,0.78044380362811,3,118342.83205982653,0.78044380362811,7,6,HCC,0
959,177.80936882000003,0,42,0,177.80936882000003,7,7,Liver death,0
960,0,0,955,0,0,7,8,Natural death,0
965,0,80.42090536600487,1483,2.7243215314906154e+07,80.42090536600487,7,13,CHD,0
966,171.225952914,0,154,0,171.225952914,7,14,CHD death,0
971,0,85.4017829894885,2560,1.414414513527837e+07,85.4017829894885,7,19,T2DM,0
972,565.8228413520001,0,318,0,565.8228413520001,7,20,T2DM death,0
977,0,0,8707,2.9143263870096602e+06,0,7,25,Overweight,0
978,0,100.2371644700106,8911,1.4239000415800681e+07,100.2371644700106,7,26,Obese,0
1091,0,0,7359,1.0401064375613616e+06,0,8,3,Steatosis,0
1092,0,207.86325122605024,1350,267118.24533412023,207.86325122605024,8,4,NASH,0
1093,0,16.280226588205625,76,188196.23382981337,16.280226588205625,8,5,Cirrhosis,0
1094,0,1.2628540511781716,5,191493.2557602371,1.2628540511781716,8,6,HCC,0
1095,58.703257766990305,0,47,0,58.703257766990305,8,7,Liver death,0
1096,0,0,1124,0,0,8,8,Natural death,0
1101,0,77.6573564572304,1475,2.6307041348544415e+07,77.6573564572304,8,13,CHD,0
1102,238.66098238155345,0,190,0,238.66098238155345,8,14,CHD death,0
1107,0,84.59855020044851,2612,1.4011114644017905e+07,84.59855020044851,8,19,T2DM,0
1108,669.3776965728157,0,384,0,669.3776965728157,8,20,T2DM death,0
1113,0,0,8720,2.833667598632319e+06,0,8,25,Overweight,0
1114,0,98.52987393659616,9022,1.3996474494963804e+07,98.52987393659616,8,26,Obese,0
1227,0,0,7497,1.028748624614729e+06,0,9,3,Steatosis,0
1228,0,215.41240202570498,1441,276819.4113818589,215.41240202570498,9,4,NASH,0
1229,0,16.014019510626426,77,185118.93210137475,16.014019510626426,9,5,Cirrhosis,0
1230,0,1.4712862732172876,6,223098.9387497908,1.4712862732172876,9,6,HCC,0
1231,135.61054473183145,0,56,0,135.61054473183145,9,7,Liver death,0
1232,0,0,1314,0,0,9,8,Natural death,0
1237,0,76.82672815877598,1503,2.6025659468068004e+07,76.82672815877598,9,13,CHD,0
1238,163.40465598359887,0,216,0,163.40465598359887,9,14,CHD death,0
1243,0,83.89543850443155,2668,1.3894666093101611e+07,83.89543850443155,9,19,T2DM,0
1244,616.3132104769537,0,454,0,616.3132104769537,9,20,T2DM death,0
1249,0,0,8773,2.767854930390636e+06,0,9,25,Overweight,0
1250,0,96.90062026446846,9139,1.3765033952550493e+07,96.90062026446846,9,26,Obese,0
1363,0,0,7633,1.0169036225085851e+06,0,10,3,Steatosis,0
1364,0,222.49059263417493,1533,285915.36193742306,222.49059263417493,10,4,NASH,0
1365,0,17.970593070807578,89,207736.53961697634,17.970593070807578,10,5,Cirrhosis,0
1366,0,1.4284332749682402,6,216600.91140756392,1.4284332749682402,10,6,HCC,0
1367,110.69934744085212,0,65,0,110.69934744085212,10,7,Liver death,0
1368,0,0,1500,0,0,10,8,Natural death,0
1373,0,76.17711355523055,1535,2.5805597402917705e+07,76.17711355523055,10,13,CHD,0
1374,111.28597551263947,0,238,0,111.28597551263947,10,14,CHD death,0
1379,0,84.1995092484916,2758,1.3945025940225923e+07,84.1995092484916,10,19,T2DM,0
1380,582.2539744702932,0,513,0,582.2539744702932,10,20,T2DM death,0
1385,0,0,8814,2.6997964138059523e+06,0,10,25,Overweight,0
1386,0,95.60180687227134,9287,1.3580533477807933e+07,95.60180687227134,10,26,Obese,0
1499,0,0,7757,1.0033237640594185e+06,0,11,3,Steatosis,0
1500,0,226.15558121193533,1605,290625.1185312003,226.15558121193533,11,4,NASH,0
1501,0,18.4273562632913,94,213016.63274785335,18.4273562632913,11,5,Cirrhosis,0
1502,0,0.6934142111496311,3,105146.07349881742,0.6934142111496311,11,6,HCC,0
1503,173.6108174062183,0,77,0,173.6108174062183,11,7,Liver death,0
1504,0,0,1682,0,0,11,8,Natural death,0
1509,0,74.97017089398882,1556,2.539673606713296e+07,74.97017089398882,11,13,CHD,0
1510,136.76513752033622,0,267,0,136.76513752033622,11,14,CHD death,0
1515,0,83.05125598057872,2802,1.3754853553830441e+07,83.05125598057872,11,19,T2DM,0
1516,695.8425332930093,0,595,0,695.8425332930093,11,20,T2DM death,0
1521,0,0,8959,2.6642825592210586e+06,0,11,25,Overweight,0
1522,0,93.88668090775278,9394,1.3336894509661654e+07,93.88668090775278,11,26,Obese,0
1635,0,0,7792,978495.9365923654,0,12,3,Steatosis,0
1636,0,233.3856102274805,1706,299916.1916427415,233.3856102274805,12,4,NASH,0
1637,0,18.080963075941664,95,209012.39528037637,18.080963075941664,12,5,Cirrhosis,0
1638,0,0.6732176807277972,3,102083.56650370624,0.6732176807277972,12,6,HCC,0
1639,170.96981983460546,0,91,0,170.96981983460546,12,7,Liver death,0
1640,0,0,1923,0,0,12,8,Natural death,0
1645,0,72.03812562504163,1540,2.4403482631208513e+07,72.03812562504163,12,13,CHD,0
1646,210.78594937228291,0,303,0,210.78594937228291,12,14,CHD death,0
1651,0,82.18622865794529,2856,1.3611588722945e+07,82.18622865794529,12,19,T2DM,0
1652,789.6122801760475,0,688,0,789.6122801760475,12,20,T2DM death,0
1657,0,0,8937,2.5803301590480856e+06,0,12,25,Overweight,0
1658,0,91.81193684351867,9462,1.3042170673947865e+07,91.81193684351867,12,26,Obese,0
1771,0,0,7889,961822.2378662006,0,13,3,Steatosis,0
1772,0,236.54934145344484,1781,303981.7988571109,236.54934145344484,13,4,NASH,0
1773,0,17.369550629928614,94,200788.60660557408,17.369550629928614,13,5,Cirrhosis,0
1774,0,0.8714791983531355,4,132147.01165528316,0.8714791983531355,13,6,HCC,0
1775,119.98723196167848,0,101,0,119.98723196167848,13,7,Liver death,0
1776,0,0,2145,0,0,13,8,Natural death,0
1781,0,69.53118795356309,1531,2.3554237743274048e+07,69.53118795356309,13,13,CHD,0
1782,202.18919042557735,0,341,0,202.18919042557735,13,14,CHD death,0
1787,0,81.85990657303573,2930,1.3557543634328147e+07,81.85990657303573,13,19,T2DM,0
1788,572.6067382538587,0,755,0,572.6067382538587,13,20,T2DM death,0
1793,0,0,8900,2.494803257704637e+06,0,13,25,Overweight,0
1794,0,89.96681635645291,9550,1.2780065580276376e+07,89.96681635645291,13,26,Obese,0
1907,0,0,8005,947538.7277750722,0,14,3,Steatosis,0
1908,0,239.97553705775783,1861,308384.6904341394,239.97553705775783,14,4,NASH,0
1909,0,17.043041828581064,95,197014.22874953042,17.043041828581064,14,5,Cirrhosis,0
1910,0,0.8460963090807142,4,128298.06956823608,0.8460963090807142,14,6,HCC,0
1911,174.00270807288965,0,114,0,174.00270807288965,14,7,Liver death,0
1912,0,0,2349,0,0,14,8,Natural death,0
1917,0,69.35790342688257,1573,2.3495536244582623e+07,69.35790342688257,14,13,CHD,0
1918,137.80844168149662,0,364,0,137.80844168149662,14,14,CHD death,0
1923,0,81.23874886055191,2995,1.3454668207962051e+07,81.23874886055191,14,19,T2DM,0
1924,620.342233063417,0,825,0,620.342233063417,14,20,T2DM death,0
1929,0,0,8959,2.4381959622315983e+06,0,14,25,Overweight,0
1930,0,88.38909299737654,9664,1.2555945078821123e+07,88.38909299737654,14,26,Obese,0
2043,0,0,8077,928214.8055814106,0,15,3,Steatosis,0
2044,0,243.75263881065374,1947,313238.5199914679,243.75263881065374,15,4,NASH,0
2045,0,17.06916810629483,98,197316.24340780813,17.06916810629483,15,5,Cirrhosis,0
2046,0,0.8214527272628291,4,124561.23259052045,0.8214527272628291,15,6,HCC,0
2047,183.41602953117504,0,129,0,183.41602953117504,15,7,Liver death,0
2048,0,0,2589,0,0,15,8,Natural death,0
2053,0,67.89428081584975,1586,2.299972255346999e+07,67.89428081584975,15,13,CHD,0
2054,146.32900316445068,0,394,0,146.32900316445068,15,14,CHD death,0
2059,0,81.03202108494683,3077,1.342043019138775e+07,81.03202108494683,15,19,T2DM,0
2060,624.8458839791621,0,903,0,624.8458839791621,15,20,T2DM death,0
2065,0,0,8978,2.372200797041073e+06,0,15,25,Overweight,0
2066,0,86.19648597997023,9707,1.2244478444686105e+07,86.19648597997023,15,26,Obese,0
2179,0,0,8151,909435.8643076412,0,16,3,Steatosis,0
2180,0,244.55363705529993,2012,314267.85655941267,244.55363705529993,16,4,NASH,0
2181,0,17.24841635468663,102,199388.31808595613,17.24841635468663,16,5,Cirrhosis,0
2182,0,1.395672109427137,7,211633.16216835997,1.395672109427137,16,6,HCC,0
2183,150.50566785230592,0,141,0,150.50566785230592,16,7,Liver death,0
2184,0,0,2791,0,0,16,8,Natural death,0
2189,0,65.9167774911156,1586,2.232982772181551e+07,65.9167774911156,16,13,CHD,0
2190,160.90298459450483,0,428,0,160.90298459450483,16,14,CHD death,0
2195,0,80.18036043252643,3136,1.32793791330582e+07,80.18036043252643,16,19,T2DM,0
2196,713.2287360251175,0,991,0,713.2287360251175,16,20,T2DM death,0
2201,0,0,8996,2.3077250723107574e+06,0,16,25,Overweight,0
2202,0,84.08248354079721,9753,1.1944177834934138e+07,84.08248354079721,16,26,Obese,0
2315,0,0,8186,886738.7747076886,0,17,3,Steatosis,0
2316,0,246.04524950311801,2085,316184.67878476257,246.04524950311801,17,4,NASH,0
2317,0,17.56691937894035,107,203070.15072527365,17.56691937894035,17,5,Cirrhosis,0
2318,0,0.9678724753308855,5,146763.63534560334,0.9678724753308855,17,6,HCC,0
2319,184.6186225753773,0,155,0,184.6186225753773,17,7,Liver death,0
2320,0,0,2989,0,0,17,8,Natural death,0
2325,0,64.11792470120075,1589,2.172045216638665e+07,64.11792470120075,17,13,CHD,0
2326,116.01901304684915,0,457,0,116.01901304684915,17,14,CHD death,0
2331,0,78.01877131198745,3143,1.292137922751083e+07,78.01877131198745,17,19,T2DM,0
2332,791.8034332257532,0,1101,0,791.8034332257532,17,20,T2DM death,0
2337,0,0,9082,2.2619286140904436e+06,0,17,25,Overweight,0
2338,0,81.93480237405537,9789,1.1639093057367511e+07,81.93480237405537,17,26,Obese,0
2451,0,0,8262,868904.2571659504,0,18,3,Steatosis,0
2452,0,247.12793796570244,2157,317576.006211153,247.12793796570244,18,4,NASH,0
2453,0,17.85223637094022,112,206368.3593252032,17.85223637094022,18,5,Cirrhosis,0
2454,0,1.1276184178612259,6,170986.75962594565,1.1276184178612259,18,6,HCC,0
2455,173.03577764402266,0,168,0,173.03577764402266,18,7,Liver death,0
2456,0,0,3247,0,0,18,8,Natural death,0
2461,0,62.132884806404995,1586,2.10480042622456e+07,62.132884806404995,18,13,CHD,0
2462,166.36959273180778,0,489,0,166.36959273180778,18,14,CHD death,0
2467,0,77.5538818215174,3218,1.2844384764458336e+07,77.5538818215174,18,19,T2DM,0
2468,410.11191084198526,0,1166,0,410.11191084198526,18,20,T2DM death,0
2473,0,0,9135,2.2088627125151185e+06,0,18,25,Overweight,0
2474,0,79.78401452279503,9818,1.1333566965619117e+07,79.78401452279503,18,26,Obese,0
2587,0,0,8303,847782.6952793696,0,19,3,Steatosis,0
2588,0,247.71636165367127,2227,318332.1701897281,247.71636165367127,19,4,NASH,0
2589,0,19.808306652915647,128,228980.14904322126,19.808306652915647,19,5,Cirrhosis,0
2590,0,1.2772376901340745,7,193674.32320090928,1.2772376901340745,19,6,HCC,0
2591,148.9919374200915,0,181,0,148.9919374200915,19,7,Liver death,0
2592,0,0,3492,0,0,19,8,Natural death,0
2597,0,60.513363120871475,1591,2.0499378531343196e+07,60.513363120871475,19,13,CHD,0
2598,87.04922469681273,0,510,0,87.04922469681273,19,14,CHD death,0
2603,0,76.79250820270813,3282,1.2718286940858046e+07,76.79250820270813,19,19,T2DM,0
2604,538.7442751898622,0,1245,0,538.7442751898622,19,20,T2DM death,0
2609,0,0,9117,2.140301236575698e+06,0,19,25,Overweight,0
2610,0,78.11504605075427,9901,1.1096484812579488e+07,78.11504605075427,19,26,Obese,0
2723,0,0,8342,826956.1293227985,0,20,3,Steatosis,0
2724,0,245.03704517471417,2269,314889.06847581174,245.03704517471417,20,4,NASH,0
2725,0,19.682100815624565,131,227521.23425866285,19.682100815624565,20,5,Cirrhosis,0
2726,0,1.594332761609802,9,241757.13020917942,1.594332761609802,20,6,HCC,0
2727,139.6627732453925,0,195,0,139.6627732453925,20,7,Liver death,0
2728,0,0,3734,0,0,20,8,Natural death,0
2733,0,57.82766328027713,1566,1.9589576550184146e+07,57.82766328027713,20,13,CHD,0
2734,121.96645822316526,0,540,0,121.96645822316526,20,14,CHD death,0
2739,0,75.53264637771368,3325,1.250963007352556e+07,75.53264637771368,20,19,T2DM,0
2740,674.3467043493672,0,1348,0,674.3467043493672,20,20,T2DM death,0
2745,0,0,9045,2.0615520014167835e+06,0,20,25,Overweight,0
2746,0,76.36837792456801,9970,1.0848365182431795e+07,76.36837792456801,20,26,Obese,0
2859,0,0,8335,802196.3183034149,0,21,3,Steatosis,0
2860,0,245.76364160660108,2344,315822.7937149051,245.76364160660108,21,4,NASH,0
2861,0,20.129918569303978,138,232697.91986730465,20.129918569303978,21,5,Cirrhosis,0
2862,0,0.8599421583655888,5,130397.58910958975,0.8599421583655888,21,6,HCC,0
2863,198.92806533167638,0,215,0,198.92806533167638,21,7,Liver death,0
2864,0,0,4004,0,0,21,8,Natural death,0
2869,0,55.85655085039418,1558,1.892184668451392e+07,55.85655085039418,21,13,CHD,0
