Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,6308,0,0,2,3,Steatosis,0
276,0,0,763,0,0,2,4,NASH,0
277,0,0,74,0,0,2,5,Cirrhosis,0
278,0,0,5,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1476,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2063,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7345,0,0,2,25,Overweight,0
298,0,0,8480,0,0,2,26,Obese,0
411,0,0,6751,0,0,3,3,Steatosis,0
412,0,0,913,0,0,3,4,NASH,0
413,0,0,84,0,0,3,5,Cirrhosis,0
414,0,0,6,0,0,3,6,HCC,0
415,0,0,8,0,0,3,7,Liver death,0
416,0,0,148,0,0,3,8,Natural death,0
421,0,0,1498,0,0,3,13,CHD,0
422,0,0,28,0,0,3,14,CHD death,0
427,0,0,2262,0,0,3,19,T2DM,0
428,0,0,60,0,0,3,20,T2DM death,0
433,0,0,7660,0,0,3,25,Overweight,0
434,0,0,8448,0,0,3,26,Obese,0
547,0,0,7154,0,0,4,3,Steatosis,0
548,0,0,1080,0,0,4,4,NASH,0
549,0,0,93,0,0,4,5,Cirrhosis,0
550,0,0,4,0,0,4,6,HCC,0
551,0,0,17,0,0,4,7,Liver death,0
552,0,0,298,0,0,4,8,Natural death,0
557,0,0,1521,0,0,4,13,CHD,0
558,0,0,75,0,0,4,14,CHD death,0
563,0,0,2497,0,0,4,19,T2DM,0
564,0,0,108,0,0,4,20,T2DM death,0
569,0,0,7886,0,0,4,25,Overweight,0
570,0,0,8476,0,0,4,26,Obese,0
683,0,0,7419,0,0,5,3,Steatosis,0
684,0,0,1234,0,0,5,4,NASH,0
685,0,0,112,0,0,5,5,Cirrhosis,0
686,0,0,3,0,0,5,6,HCC,0
687,0,0,32,0,0,5,7,Liver death,0
688,0,0,452,0,0,5,8,Natural death,0
693,0,0,1535,0,0,5,13,CHD,0
694,0,0,124,0,0,5,14,CHD death,0
699,0,0,2711,0,0,5,19,T2DM,0
700,0,0,156,0,0,5,20,T2DM death,0
705,0,0,8095,0,0,5,25,Overweight,0
706,0,0,8491,0,0,5,26,Obese,0
819,0,0,7671,0,0,6,3,Steatosis,0
820,0,0,1431,0,0,6,4,NASH,0
821,0,0,131,0,0,6,5,Cirrhosis,0
822,0,0,10,0,0,6,6,HCC,0
823,0,0,39,0,0,6,7,Liver death,0
824,0,0,633,0,0,6,8,Natural death,0
829,0,0,1538,0,0,6,13,CHD,0
830,0,0,164,0,0,6,14,CHD death,0
835,0,0,2898,0,0,6,19,T2DM,0
836,0,0,209,0,0,6,20,T2DM death,0
841,0,0,8319,0,0,6,25,Overweight,0
842,0,0,8486,0,0,6,26,Obese,0
955,0,0,7908,1.551106180788301e+06,0,7,3,Steatosis,0
956,0,206.77445583177462,1569,363572.1969646206,206.77445583177462,7,4,NASH,0
957,0,25.553333238343964,158,254494.20590910438,25.553333238343964,7,5,Cirrhosis,0
958,0,3.181611985800569,10,232409.27615170137,3.181611985800569,7,6,HCC,0
959,213.574796368,0,51,0,213.574796368,7,7,Liver death,0
960,0,0,786,0,0,7,8,Natural death,0
965,0,113.50802993116373,1566,2.7124732364272956e+07,113.50802993116373,7,13,CHD,0
966,262.1006011150001,0,202,0,262.1006011150001,7,14,CHD death,0
971,0,146.16559562335698,3099,2.3300524811313733e+07,146.16559562335698,7,19,T2DM,0
972,594.0648667099998,0,275,0,594.0648667099998,7,20,T2DM death,0
977,0,0,8458,4.588578218428628e+06,0,7,25,Overweight,0
978,0,94.00207886909175,8516,3.1420920847520893e+06,94.00207886909175,7,26,Obese,0
1091,0,0,8076,1.5379207384984372e+06,0,8,3,Steatosis,0
1092,0,224.6783520767003,1756,395052.6758555533,224.6783520767003,8,4,NASH,0
1093,0,27.32137141128079,174,272102.6903538409,27.32137141128079,8,5,Cirrhosis,0
1094,0,3.088943675534534,10,225640.0739336907,3.088943675534534,8,6,HCC,0
1095,202.37321909708737,0,65,0,202.37321909708737,8,7,Liver death,0
1096,0,0,955,0,0,8,8,Natural death,0
1101,0,112.4538629307228,1598,2.6872820690962795e+07,112.4538629307228,8,13,CHD,0
1102,317.26856327378647,0,248,0,317.26856327378647,8,14,CHD death,0
1107,0,151.43300993631837,3307,2.41402129565809e+07,151.43300993631837,8,19,T2DM,0
1108,647.0494937844663,0,344,0,647.0494937844663,8,20,T2DM death,0
1113,0,0,8584,4.5212960243292395e+06,0,8,25,Overweight,0
1114,0,91.70354249029087,8557,3.065261731113155e+06,91.70354249029087,8,26,Obese,0
1227,0,0,8280,1.5308433612193759e+06,0,9,3,Steatosis,0
1228,0,235.6496637821612,1897,414343.56884466874,235.6496637821612,9,4,NASH,0
1229,0,28.65984725656072,188,285433.01967705536,28.65984725656072,9,5,Cirrhosis,0
1230,0,2.3991795538132297,8,175254.4263562646,2.3991795538132297,9,6,HCC,0
1231,168.67329321613727,0,77,0,168.67329321613727,9,7,Liver death,0
1232,0,0,1123,0,0,9,8,Natural death,0
1237,0,111.09152285341433,1626,2.6547265661873966e+07,111.09152285341433,9,13,CHD,0
1238,333.30447869733257,0,300,0,333.30447869733257,9,14,CHD death,0
1243,0,152.93524303578454,3440,2.437968668127745e+07,152.93524303578454,9,19,T2DM,0
1244,673.415053946649,0,419,0,673.415053946649,9,20,T2DM death,0
1249,0,0,8657,4.426937866183117e+06,0,9,25,Overweight,0
1250,0,89.61522576404606,8613,2.9954581317147412e+06,89.61522576404606,9,26,Obese,0
1363,0,0,8424,1.5121036155565868e+06,0,10,3,Steatosis,0
1364,0,245.55005883611435,2036,431751.4656088129,245.55005883611435,10,4,NASH,0
1365,0,30.193187566300285,204,300704.06948006427,30.193187566300285,10,5,Cirrhosis,0
1366,0,2.9116256721034346,10,212687.41062653472,2.9116256721034346,10,6,HCC,0
1367,251.88120589131594,0,97,0,251.88120589131594,10,7,Liver death,0
1368,0,0,1300,0,0,10,8,Natural death,0
1373,0,109.24881962979019,1647,2.610691944321413e+07,109.24881962979019,10,13,CHD,0
1374,313.9835776172823,0,351,0,313.9835776172823,10,14,CHD death,0
1379,0,156.0775115199319,3616,2.4880601444879547e+07,156.0775115199319,10,19,T2DM,0
1380,680.1981747893113,0,491,0,680.1981747893113,10,20,T2DM death,0
1385,0,0,8740,4.339205486154256e+06,0,10,25,Overweight,0
1386,0,87.197003941358,8632,2.914627199679766e+06,87.197003941358,10,26,Obese,0
1499,0,0,8551,1.4901942227736793e+06,0,11,3,Steatosis,0
1500,0,253.26872473272462,2163,445323.22091282596,253.26872473272462,11,4,NASH,0
1501,0,33.624623503304065,234,334878.8894837946,33.624623503304065,11,5,Cirrhosis,0
1502,0,1.6960926245262724,6,123895.57900574835,1.6960926245262724,11,6,HCC,0
1503,344.31789692254836,0,122,0,344.31789692254836,11,7,Liver death,0
1504,0,0,1450,0,0,11,8,Natural death,0
1509,0,107.67681540488424,1672,2.5731261492831554e+07,107.67681540488424,11,13,CHD,0
1510,291.0375195748135,0,400,0,291.0375195748135,11,14,CHD death,0
1515,0,159.74511177773542,3812,2.5465260306911677e+07,159.74511177773542,11,19,T2DM,0
1516,732.4908947323124,0,575,0,732.4908947323124,11,20,T2DM death,0
1521,0,0,8839,4.260540455900394e+06,0,11,25,Overweight,0
1522,0,84.94169933688545,8661,2.8392419014852317e+06,84.94169933688545,11,26,Obese,0
1635,0,0,8624,1.4591417772290495e+06,0,12,3,Steatosis,0
1636,0,260.67049352173365,2293,458337.77500375937,260.67049352173365,12,4,NASH,0
1637,0,35.2959494910628,253,351524.1848784329,35.2959494910628,12,5,Cirrhosis,0
1638,0,2.744486447453515,10,200478.28318082262,2.744486447453515,12,6,HCC,0
1639,375.8884562368239,0,149,0,375.8884562368239,12,7,Liver death,0
1640,0,0,1611,0,0,12,8,Natural death,0
1645,0,103.66525754941944,1658,2.4772629462486148e+07,103.66525754941944,12,13,CHD,0
1646,394.90810101609094,0,464,0,394.90810101609094,12,14,CHD death,0
1651,0,162.78186213763863,4001,2.5949354233425204e+07,162.78186213763863,12,19,T2DM,0
1652,785.8177957391763,0,667,0,785.8177957391763,12,20,T2DM death,0
1657,0,0,8843,4.1383189518136946e+06,0,12,25,Overweight,0
1658,0,83.5436243019565,8774,2.792510163698956e+06,83.5436243019565,12,26,Obese,0
1771,0,0,8756,1.4383258057687501e+06,0,13,3,Steatosis,0
1772,0,264.6669871009346,2398,465364.82263833145,264.6669871009346,13,4,NASH,0
1773,0,37.38317686608564,276,372311.58151290304,37.38317686608564,13,5,Cirrhosis,0
1774,0,2.664549948983996,10,194639.10988429384,2.664549948983996,13,6,HCC,0
1775,288.9040066182912,0,172,0,288.9040066182912,13,7,Liver death,0
1776,0,0,1791,0,0,13,8,Natural death,0
1781,0,102.70978941385052,1692,2.454430361209926e+07,102.70978941385052,13,13,CHD,0
1782,228.01812479943374,0,505,0,228.01812479943374,13,14,CHD death,0
1787,0,164.59769026859834,4167,2.6238818715389796e+07,164.59769026859834,13,19,T2DM,0
1788,607.2492749746074,0,735,0,607.2492749746074,13,20,T2DM death,0
1793,0,0,8911,4.048680946655808e+06,0,13,25,Overweight,0
1794,0,81.79440002830125,8848,2.7340409914119435e+06,81.79440002830125,13,26,Obese,0
1907,0,0,8859,1.4128595662897464e+06,0,14,3,Steatosis,0
1908,0,267.2451419183341,2494,469898.0006234955,267.2451419183341,14,4,NASH,0
1909,0,38.92437157858947,296,387660.8559442077,38.92437157858947,14,5,Cirrhosis,0
1910,0,3.104330037651256,12,226764.01151568207,3.104330037651256,14,6,HCC,0
1911,255.86230108100705,0,193,0,255.86230108100705,14,7,Liver death,0
1912,0,0,1981,0,0,14,8,Natural death,0
1917,0,100.83800964395454,1711,2.409700904329913e+07,100.83800964395454,14,13,CHD,0
1918,261.0929404570032,0,559,0,261.0929404570032,14,14,CHD death,0
1923,0,166.51479636491453,4342,2.6544428102969166e+07,166.51479636491453,14,19,T2DM,0
1924,665.0816873667179,0,822,0,665.0816873667179,14,20,T2DM death,0
1929,0,0,8924,3.9364926700128205e+06,0,14,25,Overweight,0
1930,0,79.9146467033473,8904,2.67120878477609e+06,79.9146467033473,14,26,Obese,0
2043,0,0,8898,1.3777469920716893e+06,0,15,3,Steatosis,0
2044,0,272.46557823595526,2619,479077.11074850813,272.46557823595526,15,4,NASH,0
2045,0,41.62078566852604,326,414515.3471458033,41.62078566852604,15,5,Cirrhosis,0
2046,0,4.520868986870762,18,330238.851721867,4.520868986870762,15,6,HCC,0
2047,194.97004408365598,0,208,0,194.97004408365598,15,7,Liver death,0
2048,0,0,2157,0,0,15,8,Natural death,0
2053,0,99.84641175529178,1745,2.386004935543222e+07,99.84641175529178,15,13,CHD,0
2054,252.98532727892763,0,605,0,252.98532727892763,15,14,CHD death,0
2059,0,165.90939091244482,4456,2.6447919313015033e+07,165.90939091244482,15,19,T2DM,0
2060,915.4504091561001,0,936,0,915.4504091561001,15,20,T2DM death,0
2065,0,0,8940,3.828689784927887e+06,0,15,25,Overweight,0
2066,0,77.81359256675222,8930,2.6009794275995037e+06,77.81359256675222,15,26,Obese,0
2179,0,0,8928,1.342128278550296e+06,0,16,3,Steatosis,0
2180,0,276.1451568993887,2734,485546.9258578682,276.1451568993887,16,4,NASH,0
2181,0,43.50734340834058,351,433304.20766029926,43.50734340834058,16,5,Cirrhosis,0
2182,0,4.1453491249624035,17,302808.0085907088,4.1453491249624035,16,6,HCC,0
2183,384.8990358118239,0,237,0,384.8990358118239,16,7,Liver death,0
2184,0,0,2314,0,0,16,8,Natural death,0
2189,0,98.77148029093212,1778,2.360317564968386e+07,98.77148029093212,16,13,CHD,0
2190,211.70010411261552,0,646,0,211.70010411261552,16,14,CHD death,0
2195,0,165.92095838667097,4590,2.644976330523129e+07,165.92095838667097,16,19,T2DM,0
2196,782.3741534073363,0,1033,0,782.3741534073363,16,20,T2DM death,0
2201,0,0,8989,3.7375483239624635e+06,0,16,25,Overweight,0
2202,0,75.74175564532588,8953,2.5317266784046176e+06,75.74175564532588,16,26,Obese,0
2315,0,0,8919,1.3017236181134917e+06,0,17,3,Steatosis,0
2316,0,278.2025021568092,2837,489164.36270298617,278.2025021568092,17,4,NASH,0
2317,0,46.57246120384998,387,463830.74257886654,46.57246120384998,17,5,Cirrhosis,0
2318,0,3.551127177295032,15,259401.49222505032,3.551127177295032,17,6,HCC,0
2319,368.2408126452934,0,271,0,368.2408126452934,17,7,Liver death,0
2320,0,0,2492,0,0,17,8,Natural death,0
2325,0,97.6205288622473,1810,2.332813564162105e+07,97.6205288622473,17,13,CHD,0
2326,241.1860168109481,0,697,0,241.1860168109481,17,14,CHD death,0
2331,0,165.15938620633,4706,2.6328359691688586e+07,165.15938620633,17,19,T2DM,0
2332,761.8483705896043,0,1145,0,761.8483705896043,17,20,T2DM death,0
2337,0,0,9096,3.671881550456612e+06,0,17,25,Overweight,0
2338,0,73.23999820956712,8917,2.448103503987962e+06,73.23999820956712,17,26,Obese,0
2451,0,0,9039,1.2808131635773228e+06,0,18,3,Steatosis,0
2452,0,275.24064245880413,2891,483956.51518058253,275.24064245880413,18,4,NASH,0
2453,0,47.20221350782748,404,470102.6567368115,47.20221350782748,18,5,Cirrhosis,0
2454,0,3.6775427078783522,16,268635.8495534501,3.6775427078783522,18,6,HCC,0
2455,452.7788324634668,0,308,0,452.7788324634668,18,7,Liver death,0
2456,0,0,2663,0,0,18,8,Natural death,0
2461,0,96.03392690734928,1834,2.294898930790792e+07,96.03392690734928,18,13,CHD,0
2462,202.986972916612,0,742,0,202.986972916612,18,14,CHD death,0
2467,0,165.5962058274697,4860,2.639799390606873e+07,165.5962058274697,18,19,T2DM,0
2468,744.7201751185953,0,1256,0,744.7201751185953,18,20,T2DM death,0
2473,0,0,9078,3.5578789262999934e+06,0,18,25,Overweight,0
2474,0,71.50550916109867,8967,2.3901268679832863e+06,71.50550916109867,18,26,Obese,0
2587,0,0,9118,1.2543760667632949e+06,0,19,3,Steatosis,0
2588,0,274.1564028749322,2966,482050.0932003923,274.1564028749322,19,4,NASH,0
2589,0,47.07516727325928,415,468837.36072714324,47.07516727325928,19,5,Cirrhosis,0
2590,0,4.239885403500528,19,309713.66149973014,4.239885403500528,19,6,HCC,0
2591,411.10955638681185,0,344,0,411.10955638681185,19,7,Liver death,0
2592,0,0,2835,0,0,19,8,Natural death,0
2597,0,93.69436389780651,1843,2.2389909738634314e+07,93.69436389780651,19,13,CHD,0
2598,206.8820951242877,0,789,0,206.8820951242877,19,14,CHD death,0
2603,0,166.0328732766223,5019,2.646760386243223e+07,166.0328732766223,19,19,T2DM,0
2604,638.4363860531438,0,1347,0,638.4363860531438,19,20,T2DM death,0
2609,0,0,9034,3.437509033917259e+06,0,19,25,Overweight,0
2610,0,70.23573806323613,9072,2.3476837883825013e+06,70.23573806323613,19,26,Obese,0
2723,0,0,9111,1.2169058902247488e+06,0,20,3,Steatosis,0
2724,0,277.7478303942984,3095,488364.9118668893,277.7478303942984,20,4,NASH,0
2725,0,47.79652028680449,434,476021.55703726877,47.79652028680449,20,5,Cirrhosis,0
2726,0,3.0331321230969546,14,221563.17123128366,3.0331321230969546,20,6,HCC,0
2727,313.9314606318742,0,376,0,313.9314606318742,20,7,Liver death,0
2728,0,0,2999,0,0,20,8,Natural death,0
2733,0,90.9654018425368,1843,2.1737776445276376e+07,90.9654018425368,20,13,CHD,0
2734,148.58469192181525,0,832,0,148.58469192181525,20,14,CHD death,0
2739,0,165.1473980211641,5142,2.632644863317718e+07,165.1473980211641,20,19,T2DM,0
2740,719.4480879276368,0,1467,0,719.4480879276368,20,20,T2DM death,0
2745,0,0,9064,3.348470168084896e+06,0,20,25,Overweight,0
2746,0,68.55834733937796,9121,2.291615707976062e+06,68.55834733937796,20,26,Obese,0
2859,0,0,9097,1.1796465899402201e+06,0,21,3,Steatosis,0
2860,0,277.1510103939186,3181,487315.52132273494,277.1510103939186,21,4,NASH,0
2861,0,49.291297597907324,461,490908.54501851596,49.291297597907324,21,5,Cirrhosis,0
2862,0,2.7344464355242986,13,199744.88391169824,2.7344464355242986,21,6,HCC,0
2863,369.9872273822348,0,411,0,369.9872273822348,21,7,Liver death,0
2864,0,0,3191,0,0,21,8,Natural death,0
