Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,5882,0,0,2,3,Steatosis,0
276,0,0,703,0,0,2,4,NASH,0
277,0,0,70,0,0,2,5,Cirrhosis,0
278,0,0,5,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1470,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2126,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7502,0,0,2,25,Overweight,0
298,0,0,8470,0,0,2,26,Obese,0
411,0,0,6282,0,0,3,3,Steatosis,0
412,0,0,857,0,0,3,4,NASH,0
413,0,0,75,0,0,3,5,Cirrhosis,0
414,0,0,3,0,0,3,6,HCC,0
415,0,0,10,0,0,3,7,Liver death,0
416,0,0,195,0,0,3,8,Natural death,0
421,0,0,1467,0,0,3,13,CHD,0
422,0,0,46,0,0,3,14,CHD death,0
427,0,0,2220,0,0,3,19,T2DM,0
428,0,0,99,0,0,3,20,T2DM death,0
433,0,0,7792,0,0,3,25,Overweight,0
434,0,0,8503,0,0,3,26,Obese,0
547,0,0,6582,0,0,4,3,Steatosis,0
548,0,0,1032,0,0,4,4,NASH,0
549,0,0,85,0,0,4,5,Cirrhosis,0
550,0,0,2,0,0,4,6,HCC,0
551,0,0,18,0,0,4,7,Liver death,0
552,0,0,349,0,0,4,8,Natural death,0
557,0,0,1510,0,0,4,13,CHD,0
558,0,0,87,0,0,4,14,CHD death,0
563,0,0,2331,0,0,4,19,T2DM,0
564,0,0,186,0,0,4,20,T2DM death,0
569,0,0,8003,0,0,4,25,Overweight,0
570,0,0,8583,0,0,4,26,Obese,0
683,0,0,6849,0,0,5,3,Steatosis,0
684,0,0,1230,0,0,5,4,NASH,0
685,0,0,90,0,0,5,5,Cirrhosis,0
686,0,0,6,0,0,5,6,HCC,0
687,0,0,24,0,0,5,7,Liver death,0
688,0,0,508,0,0,5,8,Natural death,0
693,0,0,1530,0,0,5,13,CHD,0
694,0,0,131,0,0,5,14,CHD death,0
699,0,0,2475,0,0,5,19,T2DM,0
700,0,0,263,0,0,5,20,T2DM death,0
705,0,0,8129,0,0,5,25,Overweight,0
706,0,0,8639,0,0,5,26,Obese,0
819,0,0,7035,0,0,6,3,Steatosis,0
820,0,0,1403,0,0,6,4,NASH,0
821,0,0,101,0,0,6,5,Cirrhosis,0
822,0,0,7,0,0,6,6,HCC,0
823,0,0,32,0,0,6,7,Liver death,0
824,0,0,663,0,0,6,8,Natural death,0
829,0,0,1550,0,0,6,13,CHD,0
830,0,0,179,0,0,6,14,CHD death,0
835,0,0,2602,0,0,6,19,T2DM,0
836,0,0,354,0,0,6,20,T2DM death,0
841,0,0,8314,0,0,6,25,Overweight,0
842,0,0,8660,0,0,6,26,Obese,0
955,0,0,7214,1.669564969861275e+06,0,7,3,Steatosis,0
956,0,206.95189157912267,1560,566194.8295362624,206.95189157912267,7,4,NASH,0
957,0,31.588535589000728,120,347064.39610529627,31.588535589000728,7,5,Cirrhosis,0
958,0,0.8278075761121174,3,123635.13527122635,0.8278075761121174,7,6,HCC,0
959,322.35138572,0,49,0,322.35138572,7,7,Liver death,0
960,0,0,831,0,0,7,8,Natural death,0
965,0,106.63960840123251,1577,3.196060282341512e+07,106.63960840123251,7,13,CHD,0
966,310.96839064600005,0,228,0,310.96839064600005,7,14,CHD death,0
971,0,85.37267919816043,2686,1.693974418444235e+07,85.37267919816043,7,19,T2DM,0
972,1117.8475779529992,0,454,0,1117.8475779529992,7,20,T2DM death,0
977,0,0,8378,3.144370705739889e+06,0,7,25,Overweight,0
978,0,89.95863921330645,8715,5.432479038893982e+06,89.95863921330645,7,26,Obese,0
1091,0,0,7338,1.6487988227909422e+06,0,8,3,Steatosis,0
1092,0,223.5925340934509,1736,611721.573360079,223.5925340934509,8,4,NASH,0
1093,0,34.24647062237952,134,376267.22555104777,34.24647062237952,8,5,Cirrhosis,0
1094,0,2.1431911355653526,8,320090.96510349866,2.1431911355653526,8,6,HCC,0
1095,167.39457791359226,0,60,0,167.39457791359226,8,7,Liver death,0
1096,0,0,978,0,0,8,8,Natural death,0
1101,0,104.58403641124549,1593,3.1344534170015886e+07,104.58403641124549,8,13,CHD,0
1102,328.0979402203883,0,274,0,328.0979402203883,8,14,CHD death,0
1107,0,87.1445778020474,2824,1.729132632234194e+07,87.1445778020474,8,19,T2DM,0
1108,1095.366474515535,0,562,0,1095.366474515535,8,20,T2DM death,0
1113,0,0,8420,3.0680911103659146e+06,0,8,25,Overweight,0
1114,0,88.17027976525867,8798,5.32448246068363e+06,88.17027976525867,8,26,Obese,0
1227,0,0,7471,1.6297893403765103e+06,0,9,3,Steatosis,0
1228,0,235.3368692474081,1882,643852.624638492,235.3368692474081,9,4,NASH,0
1229,0,39.204045488595575,158,430736.281966856,39.204045488595575,9,5,Cirrhosis,0
1230,0,2.861056127575106,11,427305.9000168063,2.861056127575106,9,6,HCC,0
1231,286.69950998586114,0,78,0,286.69950998586114,9,7,Liver death,0
1232,0,0,1126,0,0,9,8,Natural death,0
1237,0,104.66116187158556,1642,3.1367649185556613e+07,104.66116187158556,9,13,CHD,0
1238,236.21023385144693,0,307,0,236.21023385144693,9,14,CHD death,0
1243,0,88.44123658229158,2952,1.7548610833478123e+07,88.44123658229158,9,19,T2DM,0
1244,958.2586123715715,0,652,0,958.2586123715715,9,20,T2DM death,0
1249,0,0,8503,3.0080920037181275e+06,0,9,25,Overweight,0
1250,0,86.39032194383518,8879,5.216993245198986e+06,86.39032194383518,9,26,Obese,0
1363,0,0,7658,1.6219253954908554e+06,0,10,3,Steatosis,0
1364,0,246.81440688999479,2033,675253.7508589601,246.81440688999479,10,4,NASH,0
1365,0,45.770976052803,190,502887.38831081893,45.770976052803,10,5,Cirrhosis,0
1366,0,2.5252039960945343,10,377145.54282154137,2.5252039960945343,10,6,HCC,0
1367,227.10723670047506,0,91,0,227.10723670047506,10,7,Liver death,0
1368,0,0,1279,0,0,10,8,Natural death,0
1373,0,104.76883923736273,1693,3.1399920811196886e+07,104.76883923736273,10,13,CHD,0
1374,237.4328669100333,0,346,0,237.4328669100333,10,14,CHD death,0
1379,0,89.82113116206972,3088,1.7822411086701725e+07,89.82113116206972,10,19,T2DM,0
1380,976.8968140496208,0,747,0,976.8968140496208,10,20,T2DM death,0
1385,0,0,8486,2.914638778951599e+06,0,10,25,Overweight,0
1386,0,84.60146755448561,8956,5.108966778162377e+06,84.60146755448561,10,26,Obese,0
1499,0,0,7720,1.5874336696171407e+06,0,11,3,Steatosis,0
1500,0,259.0738572506101,2198,708794.0937578832,259.0738572506101,11,4,NASH,0
1501,0,48.179974792424105,206,529355.1455903348,48.179974792424105,11,5,Cirrhosis,0
1502,0,2.6968198016543563,11,402776.7933045587,2.6968198016543563,11,6,HCC,0
1503,223.09913117783591,0,109,0,223.09913117783591,11,7,Liver death,0
1504,0,0,1412,0,0,11,8,Natural death,0
1509,0,102.97902296311065,1714,3.0863500920634948e+07,102.97902296311065,11,13,CHD,0
1510,278.0514843006871,0,391,0,278.0514843006871,11,14,CHD death,0
1515,0,90.50905647116299,3205,1.795891000958101e+07,90.50905647116299,11,19,T2DM,0
1516,1096.259779248641,0,863,0,1096.259779248641,11,20,T2DM death,0
1521,0,0,8509,2.8374159804153824e+06,0,11,25,Overweight,0
1522,0,82.5775651687318,9004,4.986746084478531e+06,82.5775651687318,11,26,Obese,0
1635,0,0,7744,1.545989025795798e+06,0,12,3,Steatosis,0
1636,0,266.40456004989977,2328,728849.9917260827,266.40456004989977,12,4,NASH,0
1637,0,54.042954098392954,238,593771.9137077021,54.042954098392954,12,5,Cirrhosis,0
1638,0,2.1422222608022246,9,319946.2612304527,2.1422222608022246,12,6,HCC,0
1639,313.1917116487179,0,131,0,313.1917116487179,12,7,Liver death,0
1640,0,0,1553,0,0,12,8,Natural death,0
1645,0,100.21295864476008,1718,3.003449297144424e+07,100.21295864476008,12,13,CHD,0
1646,305.25314737300334,0,445,0,305.25314737300334,12,14,CHD death,0
1651,0,90.45010899182397,3299,1.7947213583630964e+07,90.45010899182397,12,19,T2DM,0
1652,1263.809428624259,0,997,0,1263.809428624259,12,20,T2DM death,0
1657,0,0,8548,2.7673989733989546e+06,0,12,25,Overweight,0
1658,0,80.3949955260994,9029,4.854943692422126e+06,80.3949955260994,12,26,Obese,0
1771,0,0,7829,1.5174351183194593e+06,0,13,3,Steatosis,0
1772,0,276.08820093250995,2485,755343.2378471094,276.08820093250995,13,4,NASH,0
1773,0,59.08261278603736,268,649142.8280723832,59.08261278603736,13,5,Cirrhosis,0
1774,0,1.6176435626338266,7,241599.11851274743,1.6176435626338266,13,6,HCC,0
1775,259.9784162212871,0,150,0,259.9784162212871,13,7,Liver death,0
1776,0,0,1668,0,0,13,8,Natural death,0
1781,0,100.29564166950809,1771,3.0059273626157187e+07,100.29564166950809,13,13,CHD,0
1782,159.03777171152393,0,479,0,159.03777171152393,13,14,CHD death,0
1787,0,91.03652261556398,3420,1.8063570442357644e+07,91.03652261556398,13,19,T2DM,0
1788,848.2777989560198,0,1100,0,848.2777989560198,13,20,T2DM death,0
1793,0,0,8630,2.712569242386193e+06,0,13,25,Overweight,0
1794,0,78.71903900383538,9106,4.753734972983175e+06,78.71903900383538,13,26,Obese,0
1907,0,0,7870,1.480953237238876e+06,0,14,3,Steatosis,0
1908,0,281.3143044800779,2608,769641.2120510445,281.3143044800779,14,4,NASH,0
1909,0,61.00037909006182,285,670213.3966114685,61.00037909006182,14,5,Cirrhosis,0
1910,0,3.3654165658124,15,502633.3949641069,3.3654165658124,14,6,HCC,0
1911,363.806950178122,0,177,0,363.806950178122,14,7,Liver death,0
1912,0,0,1813,0,0,14,8,Natural death,0
1917,0,100.45344209579311,1827,3.010656746777277e+07,100.45344209579311,14,13,CHD,0
1918,50.607342100483166,0,498,0,50.607342100483166,14,14,CHD death,0
1923,0,90.50414529033227,3502,1.7957935527492404e+07,90.50414529033227,14,19,T2DM,0
1924,1148.0956357806733,0,1234,0,1148.0956357806733,14,20,T2DM death,0
1929,0,0,8689,2.6515670270893406e+06,0,14,25,Overweight,0
1930,0,76.72839785281664,9142,4.633522879719709e+06,76.72839785281664,14,26,Obese,0
2043,0,0,7857,1.4354436270200647e+06,0,15,3,Steatosis,0
2044,0,287.6773461815816,2747,787049.7087022252,287.6773461815816,15,4,NASH,0
2045,0,64.62653005283319,311,710054.0498932556,64.62653005283319,15,5,Cirrhosis,0
2046,0,2.3960894643324524,11,357861.96405211504,2.3960894643324524,15,6,HCC,0
2047,476.8498762556149,0,212,0,476.8498762556149,15,7,Liver death,0
2048,0,0,1945,0,0,15,8,Natural death,0
2053,0,99.02228975704027,1855,2.967764155399306e+07,99.02228975704027,15,13,CHD,0
2054,152.67901079108222,0,530,0,152.67901079108222,15,14,CHD death,0
2059,0,90.07609565471382,3590,1.787300143155264e+07,90.07609565471382,15,19,T2DM,0
2060,1103.9819644967429,0,1380,0,1103.9819644967429,15,20,T2DM death,0
2065,0,0,8686,2.57344809331481e+06,0,15,25,Overweight,0
2066,0,74.80323316144877,9180,4.5172648201961275e+06,74.80323316144877,15,26,Obese,0
2179,0,0,7888,1.3991332112399086e+06,0,16,3,Steatosis,0
2180,0,292.4143364228723,2876,800009.5292754889,292.4143364228723,16,4,NASH,0
2181,0,66.98095082427687,332,735922.1570398082,66.98095082427687,16,5,Cirrhosis,0
2182,0,2.326300450808206,11,347438.8000505972,2.326300450808206,16,6,HCC,0
2183,330.177226797895,0,240,0,330.177226797895,16,7,Liver death,0
2184,0,0,2101,0,0,16,8,Natural death,0
2189,0,97.48563422552158,1881,2.92170956287433e+07,97.48563422552158,16,13,CHD,0
2190,129.50851846684967,0,563,0,129.50851846684967,16,14,CHD death,0
2195,0,89.98596353098358,3694,1.7855117312966403e+07,89.98596353098358,16,19,T2DM,0
2196,1018.4698325574342,0,1510,0,1018.4698325574342,16,20,T2DM death,0
2201,0,0,8659,2.49072685205028e+06,0,16,25,Overweight,0
2202,0,73.06752347644502,9236,4.412447689081183e+06,73.06752347644502,16,26,Obese,0
2315,0,0,7941,1.3675088164468799e+06,0,17,3,Steatosis,0
2316,0,292.880259856139,2967,801284.2382761096,292.880259856139,17,4,NASH,0
2317,0,71.10213226462935,363,781201.728288246,71.10213226462935,17,5,Cirrhosis,0
2318,0,2.6691885137252145,13,398649.9912319297,2.6691885137252145,17,6,HCC,0
2319,359.6431232491429,0,271,0,359.6431232491429,17,7,Liver death,0
2320,0,0,2234,0,0,17,8,Natural death,0
2325,0,96.05512237165901,1909,2.8788361672562376e+07,96.05512237165901,17,13,CHD,0
2326,146.39653062939692,0,600,0,146.39653062939692,17,14,CHD death,0
2331,0,90.4868815001838,3826,1.795451002659924e+07,90.4868815001838,17,19,T2DM,0
2332,1132.8078368194178,0,1654,0,1132.8078368194178,17,20,T2DM death,0
2337,0,0,8731,2.4382887040749844e+06,0,17,25,Overweight,0
2338,0,70.94702392409359,9237,4.28439362478141e+06,70.94702392409359,17,26,Obese,0
2451,0,0,7939,1.3273440768594528e+06,0,18,3,Steatosis,0
2452,0,294.41270096565455,3072,805476.807989602,294.41270096565455,18,4,NASH,0
2453,0,74.35591675484791,391,816951.1775139882,74.35591675484791,18,5,Cirrhosis,0
2454,0,1.9934193530434765,10,297722.1741836667,1.9934193530434765,18,6,HCC,0
2455,399.62376875844996,0,312,0,399.62376875844996,18,7,Liver death,0
2456,0,0,2365,0,0,18,8,Natural death,0
2461,0,93.35510324229686,1911,2.797914790759393e+07,93.35510324229686,18,13,CHD,0
2462,218.00454753579135,0,645,0,218.00454753579135,18,14,CHD death,0
2467,0,89.6653130238816,3905,1.779149347435694e+07,89.6653130238816,18,19,T2DM,0
2468,1111.1703934596092,0,1802,0,1111.1703934596092,18,20,T2DM death,0
2473,0,0,8703,2.3596788356596567e+06,0,18,25,Overweight,0
2474,0,68.94026200854846,9245,4.1632080206254823e+06,68.94026200854846,18,26,Obese,0
2587,0,0,7969,1.2935532645758248e+06,0,19,3,Steatosis,0
2588,0,293.0951683991474,3150,801872.201521798,293.0951683991474,19,4,NASH,0
2589,0,76.80595279720133,416,843869.8131398773,76.80595279720133,19,5,Cirrhosis,0
2590,0,3.483645471338113,18,520291.17818504875,3.483645471338113,19,6,HCC,0
2591,327.8894055041055,0,340,0,327.8894055041055,19,7,Liver death,0
2592,0,0,2493,0,0,19,8,Natural death,0
2597,0,91.72687997978521,1934,2.7491158521836385e+07,91.72687997978521,19,13,CHD,0
2598,122.07489213636825,0,673,0,122.07489213636825,19,14,CHD death,0
2603,0,88.27981044330667,3960,1.7516580475231823e+07,88.27981044330667,19,19,T2DM,0
2604,1224.6531391538847,0,1965,0,1224.6531391538847,19,20,T2DM death,0
2609,0,0,8826,2.323328458720796e+06,0,19,25,Overweight,0
2610,0,66.76577696083953,9222,4.031893846182975e+06,66.76577696083953,19,26,Obese,0
2723,0,0,7972,1.256349741802706e+06,0,20,3,Steatosis,0
2724,0,295.12772851285433,3267,807433.0350968355,295.12772851285433,20,4,NASH,0
2725,0,76.8991639049647,429,844893.9269907634,76.8991639049647,20,5,Cirrhosis,0
2726,0,3.3821800692603032,18,505137.0661990762,3.3821800692603032,20,6,HCC,0
2727,465.94187521222887,0,382,0,465.94187521222887,20,7,Liver death,0
2728,0,0,2630,0,0,20,8,Natural death,0
2733,0,90.39059115887727,1963,2.709066383789734e+07,90.39059115887727,20,13,CHD,0
2734,124.29722236677846,0,710,0,124.29722236677846,20,14,CHD death,0
2739,0,86.01156386723744,3974,1.7066512407710332e+07,86.01156386723744,20,19,T2DM,0
2740,1128.0082160671734,0,2131,0,1128.0082160671734,20,20,T2DM death,0
2745,0,0,8880,2.26945946480253e+06,0,20,25,Overweight,0
2746,0,64.86331648828006,9228,3.9170068633447546e+06,64.86331648828006,20,26,Obese,0
2859,0,0,8002,1.2243471852829005e+06,0,21,3,Steatosis,0
2860,0,293.46045913801305,3346,802871.5918924192,293.46045913801305,21,4,NASH,0
2861,0,74.65938243200348,429,820285.366010461,74.65938243200348,21,5,Cirrhosis,0
2862,0,4.0133744079680005,22,599407.5219190761,4.0133744079680005,21,6,HCC,0
2863,489.0099298386097,0,431,0,489.0099298386097,21,7,Liver death,0
2864,0,0,2772,0,0,21,8,Natural death,0
