Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,6756,0,0,2,3,Steatosis,0
276,0,0,617,0,0,2,4,NASH,0
277,0,0,82,0,0,2,5,Cirrhosis,0
278,0,0,7,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1499,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2079,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7579,0,0,2,25,Overweight,0
298,0,0,8317,0,0,2,26,Obese,0
411,0,0,7191,0,0,3,3,Steatosis,0
412,0,0,999,0,0,3,4,NASH,0
413,0,0,103,0,0,3,5,Cirrhosis,0
414,0,0,4,0,0,3,6,HCC,0
415,0,0,8,0,0,3,7,Liver death,0
416,0,0,223,0,0,3,8,Natural death,0
421,0,0,1540,0,0,3,13,CHD,0
422,0,0,49,0,0,3,14,CHD death,0
427,0,0,2161,0,0,3,19,T2DM,0
428,0,0,50,0,0,3,20,T2DM death,0
433,0,0,8078,0,0,3,25,Overweight,0
434,0,0,8409,0,0,3,26,Obese,0
547,0,0,7527,0,0,4,3,Steatosis,0
548,0,0,1361,0,0,4,4,NASH,0
549,0,0,126,0,0,4,5,Cirrhosis,0
550,0,0,6,0,0,4,6,HCC,0
551,0,0,15,0,0,4,7,Liver death,0
552,0,0,443,0,0,4,8,Natural death,0
557,0,0,1564,0,0,4,13,CHD,0
558,0,0,91,0,0,4,14,CHD death,0
563,0,0,2253,0,0,4,19,T2DM,0
564,0,0,108,0,0,4,20,T2DM death,0
569,0,0,8451,0,0,4,25,Overweight,0
570,0,0,8510,0,0,4,26,Obese,0
683,0,0,7641,0,0,5,3,Steatosis,0
684,0,0,1811,0,0,5,4,NASH,0
685,0,0,159,0,0,5,5,Cirrhosis,0
686,0,0,7,0,0,5,6,HCC,0
687,0,0,26,0,0,5,7,Liver death,0
688,0,0,633,0,0,5,8,Natural death,0
693,0,0,1625,0,0,5,13,CHD,0
694,0,0,134,0,0,5,14,CHD death,0
699,0,0,2374,0,0,5,19,T2DM,0
700,0,0,168,0,0,5,20,T2DM death,0
705,0,0,8625,0,0,5,25,Overweight,0
706,0,0,8714,0,0,5,26,Obese,0
819,0,0,7780,0,0,6,3,Steatosis,0
820,0,0,2197,0,0,6,4,NASH,0
821,0,0,196,0,0,6,5,Cirrhosis,0
822,0,0,6,0,0,6,6,HCC,0
823,0,0,49,0,0,6,7,Liver death,0
824,0,0,834,0,0,6,8,Natural death,0
829,0,0,1692,0,0,6,13,CHD,0
830,0,0,177,0,0,6,14,CHD death,0
835,0,0,2465,0,0,6,19,T2DM,0
836,0,0,229,0,0,6,20,T2DM death,0
841,0,0,8832,0,0,6,25,Overweight,0
842,0,0,8825,0,0,6,26,Obese,0
955,0,0,7821,779574.8240710357,0,7,3,Steatosis,0
956,0,450.60761802275283,2623,912899.0800478798,450.60761802275283,7,4,NASH,0
957,0,40.89190174858092,252,777892.9623288009,40.89190174858092,7,5,Cirrhosis,0
958,0,1.8547193516014664,7,310855.98476350954,1.8547193516014664,7,6,HCC,0
959,264.11511881,0,64,0,264.11511881,7,7,Liver death,0
960,0,0,1059,0,0,7,8,Natural death,0
965,0,117.08881968614124,1708,1.535172907290459e+07,117.08881968614124,7,13,CHD,0
966,303.880731253,0,222,0,303.880731253,7,14,CHD death,0
971,0,76.93332699996073,2546,1.9067584300092515e+07,76.93332699996073,7,19,T2DM,0
972,572.645495179,0,284,0,572.645495179,7,20,T2DM death,0
977,0,0,8894,1.5560677676390812e+06,0,7,25,Overweight,0
978,0,105.98342724009599,8972,7.026455378573872e+06,105.98342724009599,7,26,Obese,0
1091,0,0,7839,758610.6916395609,0,8,3,Steatosis,0
1092,0,503.1973259606441,3017,1.0194420990211354e+06,503.1973259606441,8,4,NASH,0
1093,0,49.15346488502584,312,935053.953793296,49.15346488502584,8,5,Cirrhosis,0
1094,0,3.086911542193842,12,517374.7319226232,3.086911542193842,8,6,HCC,0
1095,567.8687435718447,0,96,0,567.8687435718447,8,7,Liver death,0
1096,0,0,1252,0,0,8,8,Natural death,0
1101,0,118.20430627009318,1776,1.5497982556944193e+07,118.20430627009318,8,13,CHD,0
1102,275.17717518834957,0,262,0,275.17717518834957,8,14,CHD death,0
1107,0,78.35970241418329,2671,1.942110512799361e+07,78.35970241418329,8,19,T2DM,0
1108,576.8157912669901,0,348,0,576.8157912669901,8,20,T2DM death,0
1113,0,0,9000,1.5287506913957044e+06,0,8,25,Overweight,0
1114,0,104.59388825963869,9120,6.934332167454775e+06,104.59388825963869,8,26,Obese,0
1227,0,0,7772,730220.232596264,0,9,3,Steatosis,0
1228,0,552.9890066824361,3415,1.120316513271915e+06,552.9890066824361,9,4,NASH,0
1229,0,57.816808957367506,378,1.0998580860525977e+06,57.816808957367506,9,5,Cirrhosis,0
1230,0,3.7462518715944686,15,627881.956216776,3.7462518715944686,9,6,HCC,0
1231,423.45018285041016,0,122,0,423.45018285041016,9,7,Liver death,0
1232,0,0,1445,0,0,9,8,Natural death,0
1237,0,115.85996738731444,1793,1.5190612002866022e+07,115.85996738731444,9,13,CHD,0
1238,390.3039719379773,0,319,0,390.3039719379773,9,14,CHD death,0
1243,0,78.27055145854918,2748,1.9399009458561182e+07,78.27055145854918,9,19,T2DM,0
1244,649.7718614072959,0,423,0,649.7718614072959,9,20,T2DM death,0
1249,0,0,9052,1.4927994885132515e+06,0,9,25,Overweight,0
1250,0,102.83907681464342,9236,6.817992239247516e+06,102.83907681464342,9,26,Obese,0
1363,0,0,7657,698461.5324352699,0,10,3,Steatosis,0
1364,0,590.1777512362187,3754,1.1956582725616996e+06,590.1777512362187,10,4,NASH,0
1365,0,64.74579726052337,436,1.2316693006599194e+06,64.74579726052337,10,5,Cirrhosis,0
1366,0,4.607041136588669,19,772152.5675157764,4.607041136588669,10,6,HCC,0
1367,560.6098774469745,0,155,0,560.6098774469745,10,7,Liver death,0
1368,0,0,1629,0,0,10,8,Natural death,0
1373,0,113.9910659808364,1817,1.494557692493847e+07,113.9910659808364,10,13,CHD,0
1374,291.64971065051014,0,369,0,291.64971065051014,10,14,CHD death,0
1379,0,78.61787488752597,2843,1.9485092031869315e+07,78.61787488752597,10,19,T2DM,0
1380,800.2791723980463,0,512,0,800.2791723980463,10,20,T2DM death,0
1385,0,0,9052,1.4493198917604685e+06,0,10,25,Overweight,0
1386,0,101.3788239316893,9378,6.721180860423899e+06,101.3788239316893,10,26,Obese,0
1499,0,0,7623,675106.8901676689,0,11,3,Steatosis,0
1500,0,616.3361694429935,4038,1.2486533728695828e+06,616.3361694429935,11,4,NASH,0
1501,0,72.08715291320483,500,1.3713250430434707e+06,72.08715291320483,11,5,Cirrhosis,0
1502,0,4.943682364249463,21,828574.5486883643,4.943682364249463,11,6,HCC,0
1503,601.6338124656703,0,199,0,601.6338124656703,11,7,Liver death,0
1504,0,0,1813,0,0,11,8,Natural death,0
1509,0,111.5236583352,1831,1.4622070600511014e+07,111.5236583352,11,13,CHD,0
1510,294.4294167088749,0,422,0,294.4294167088749,11,14,CHD death,0
1515,0,78.36845968012317,2919,1.9423275577565e+07,78.36845968012317,11,19,T2DM,0
1516,562.5515247081893,0,577,0,562.5515247081893,11,20,T2DM death,0
1521,0,0,9005,1.399800679708476e+06,0,11,25,Overweight,0
1522,0,100.02134639311367,9530,6.6311832485281555e+06,100.02134639311367,11,26,Obese,0
1635,0,0,7474,642632.2100227094,0,12,3,Steatosis,0
1636,0,644.9157781214083,4352,1.306553633378017e+06,644.9157781214083,12,4,NASH,0
1637,0,81.0455563820297,579,1.541742135771222e+06,81.0455563820297,12,5,Cirrhosis,0
1638,0,3.8854646413426193,17,651214.3933288119,3.8854646413426193,12,6,HCC,0
1639,761.2258689325545,0,251,0,761.2258689325545,12,7,Liver death,0
1640,0,0,1974,0,0,12,8,Natural death,0
1645,0,109.4580878285364,1851,1.4351249877537569e+07,109.4580878285364,12,13,CHD,0
1646,306.8592886085212,0,476,0,306.8592886085212,12,14,CHD death,0
1651,0,78.17114205911442,2999,1.9374371279269952e+07,78.17114205911442,12,19,T2DM,0
1652,749.8319464134329,0,661,0,749.8319464134329,12,20,T2DM death,0
1657,0,0,8913,1.3451451953056792e+06,0,12,25,Overweight,0
1658,0,98.66713160530087,9683,6.541401949438813e+06,98.66713160530087,12,26,Obese,0
1771,0,0,7409,618488.6953163649,0,13,3,Steatosis,0
1772,0,665.9844233929135,4629,1.3492372146511537e+06,665.9844233929135,13,4,NASH,0
1773,0,87.92607773558852,647,1.6726313561110864e+06,87.92607773558852,13,5,Cirrhosis,0
1774,0,5.325594025826548,24,892583.9771497137,5.325594025826548,13,6,HCC,0
1775,600.6828604517325,0,300,0,600.6828604517325,13,7,Liver death,0
1776,0,0,2152,0,0,13,8,Natural death,0
1781,0,108.91094953173153,1897,1.4279513575810738e+07,108.91094953173153,13,13,CHD,0
1782,242.4493116579077,0,525,0,242.4493116579077,13,14,CHD death,0
1787,0,77.56454430156097,3065,1.9224028712148994e+07,77.56454430156097,13,19,T2DM,0
1788,703.9959228423827,0,735,0,703.9959228423827,13,20,T2DM death,0
1793,0,0,8887,1.3021565914608152e+06,0,13,25,Overweight,0
1794,0,97.32673725377182,9838,6.452536913215096e+06,97.32673725377182,13,26,Obese,0
1907,0,0,7353,595935.8503449595,0,14,3,Steatosis,0
1908,0,680.6691657268642,4873,1.3789874612761803e+06,680.6691657268642,14,4,NASH,0
1909,0,96.97583640049984,735,1.8447863128428785e+06,96.97583640049984,14,5,Cirrhosis,0
1910,0,5.170479636724806,24,866586.3855822458,5.170479636724806,14,6,HCC,0
1911,762.9482149519836,0,360,0,762.9482149519836,14,7,Liver death,0
1912,0,0,2323,0,0,14,8,Natural death,0
1917,0,106.51914599706808,1911,1.3965919844502887e+07,106.51914599706808,14,13,CHD,0
1918,231.90515436676137,0,577,0,231.90515436676137,14,14,CHD death,0
1923,0,77.86060624705183,3169,1.9297406353853785e+07,77.86060624705183,14,19,T2DM,0
1924,614.4760267972094,0,816,0,614.4760267972094,14,20,T2DM death,0
1929,0,0,8950,1.2731918329026052e+06,0,14,25,Overweight,0
1930,0,95.21233757715571,9913,6.31235711938088e+06,95.21233757715571,14,26,Obese,0
2043,0,0,7281,572913.100175842,0,15,3,Steatosis,0
2044,0,692.3061472140512,5105,1.402563160552868e+06,692.3061472140512,15,4,NASH,0
2045,0,104.78334875583946,818,1.9933098261746403e+06,104.78334875583946,15,5,Cirrhosis,0
2046,0,7.111501118472631,34,1.1919068410111796e+06,7.111501118472631,15,6,HCC,0
2047,748.7033786108107,0,418,0,748.7033786108107,15,7,Liver death,0
2048,0,0,2482,0,0,15,8,Natural death,0
2053,0,104.44486024921261,1930,1.3693956450337319e+07,104.44486024921261,15,13,CHD,0
2054,165.57959389855415,0,620,0,165.57959389855415,15,14,CHD death,0
2059,0,77.52498270653857,3250,1.921422354607036e+07,77.52498270653857,15,19,T2DM,0
2060,589.6380187782844,0,897,0,589.6380187782844,15,20,T2DM death,0
2065,0,0,8919,1.2318270822430574e+06,0,15,25,Overweight,0
2066,0,93.77264401025587,10056,6.2169087755225375e+06,93.77264401025587,15,26,Obese,0
2179,0,0,7213,551031.5039368552,0,16,3,Steatosis,0
2180,0,693.7346956002335,5269,1.4054572982804487e+06,693.7346956002335,16,4,NASH,0
2181,0,111.30759030607251,895,2.1174214807917806e+06,111.30759030607251,16,5,Cirrhosis,0
2182,0,7.7166488435739575,38,1.2933312381046503e+06,7.7166488435739575,16,6,HCC,0
2183,667.8345689943583,0,480,0,667.8345689943583,16,7,Liver death,0
2184,0,0,2639,0,0,16,8,Natural death,0
2189,0,103.13660680577996,1963,1.3522428951159723e+07,103.13660680577996,16,13,CHD,0
2190,220.40526232537542,0,668,0,220.40526232537542,16,14,CHD death,0
2195,0,76.91126738414403,3321,1.9062116922032792e+07,76.91126738414403,16,19,T2DM,0
2196,655.5375154000226,0,989,0,655.5375154000226,16,20,T2DM death,0
2201,0,0,8881,1.190853203905223e+06,0,16,25,Overweight,0
2202,0,92.13686830372527,10177,6.108460640654275e+06,92.13686830372527,16,26,Obese,0
2315,0,0,7151,530383.5556690042,0,17,3,Steatosis,0
2316,0,697.9440910062823,5460,1.4139852348710266e+06,697.9440910062823,17,4,NASH,0
2317,0,117.84586227556295,976,2.2418000382412877e+06,117.84586227556295,17,5,Cirrhosis,0
2318,0,8.083357245440272,41,1.35479255907743e+06,8.083357245440272,17,6,HCC,0
2319,828.5815389053059,0,551,0,828.5815389053059,17,7,Liver death,0
2320,0,0,2787,0,0,17,8,Natural death,0
2325,0,101.40787794088747,1988,1.3295772151257332e+07,101.40787794088747,17,13,CHD,0
2326,249.325023865344,0,715,0,249.325023865344,17,14,CHD death,0
2331,0,76.67225680063035,3410,1.90028792076702e+07,76.67225680063035,17,19,T2DM,0
2332,822.0661793959048,0,1091,0,822.0661793959048,17,20,T2DM death,0
2337,0,0,8758,1.1401554709688283e+06,0,17,25,Overweight,0
2338,0,90.48167076899583,10294,5.998724883627372e+06,90.48167076899583,17,26,Obese,0
2451,0,0,7079,509750.8516808761,0,18,3,Steatosis,0
2452,0,695.983225286061,5608,1.4100126599730006e+06,695.983225286061,18,4,NASH,0
2453,0,122.03320729434415,1041,2.321456549229241e+06,122.03320729434415,18,5,Cirrhosis,0
2454,0,7.847919655767243,41,1.315332581628574e+06,7.847919655767243,18,6,HCC,0
2455,819.0163651317587,0,631,0,819.0163651317587,18,7,Liver death,0
2456,0,0,2943,0,0,18,8,Natural death,0
2461,0,99.14759021979188,2002,1.2999421698549643e+07,99.14759021979188,18,13,CHD,0
2462,209.86241540814635,0,760,0,209.86241540814635,18,14,CHD death,0
2467,0,75.94532967268788,3479,1.8822713539128695e+07,75.94532967268788,18,19,T2DM,0
2468,649.8573124230909,0,1187,0,649.8573124230909,18,20,T2DM death,0
2473,0,0,8772,1.1087165566612794e+06,0,18,25,Overweight,0
2474,0,88.315637800918,10349,5.855121922342263e+06,88.315637800918,18,26,Obese,0
2587,0,0,7093,495882.5009527912,0,19,3,Steatosis,0
2588,0,690.6527165318022,5732,1.3992134272408267e+06,690.6527165318022,19,4,NASH,0
2589,0,126.67334407600126,1113,2.409726587851665e+06,126.67334407600126,19,5,Cirrhosis,0
2590,0,8.920202308236506,48,1.4950500572619357e+06,8.920202308236506,19,6,HCC,0
2591,906.3210331638245,0,714,0,906.3210331638245,19,7,Liver death,0
2592,0,0,3088,0,0,19,8,Natural death,0
2597,0,97.8464962693989,2035,1.282883289358639e+07,97.8464962693989,19,13,CHD,0
2598,164.16751380924399,0,806,0,164.16751380924399,19,14,CHD death,0
2603,0,75.21689778291874,3549,1.864217492203281e+07,75.21689778291874,19,19,T2DM,0
2604,599.3949505666299,0,1280,0,599.3949505666299,19,20,T2DM death,0
2609,0,0,8813,1.0814550062044146e+06,0,19,25,Overweight,0
2610,0,85.80961911841092,10357,5.688978696850747e+06,85.80961911841092,19,26,Obese,0
2723,0,0,7074,480149.6910998139,0,20,3,Steatosis,0
2724,0,688.3177704579984,5884,1.3944829920739082e+06,688.3177704579984,20,4,NASH,0
2725,0,130.27667082371397,1179,2.47827322907312e+06,130.27667082371397,20,5,Cirrhosis,0
2726,0,9.021240198459255,50,1.5119842812115056e+06,9.021240198459255,20,6,HCC,0
2727,803.8125232110533,0,795,0,803.8125232110533,20,7,Liver death,0
2728,0,0,3227,0,0,20,8,Natural death,0
2733,0,96.8171719485367,2074,1.2693876301279599e+07,96.8171719485367,20,13,CHD,0
2734,141.88643451315116,0,848,0,141.88643451315116,20,14,CHD death,0
2739,0,74.07551751717277,3600,1.835928887921999e+07,74.07551751717277,20,19,T2DM,0
2740,791.6735773750045,0,1392,0,791.6735773750045,20,20,T2DM death,0
2745,0,0,8815,1.0501945911426116e+06,0,20,25,Overweight,0
2746,0,83.74467853382515,10411,5.552077926087552e+06,83.74467853382515,20,26,Obese,0
2859,0,0,7012,462079.052511703,0,21,3,Steatosis,0
2860,0,680.5356769028872,5992,1.3787170223853195e+06,680.5356769028872,21,4,NASH,0
2861,0,133.24079577316778,1242,2.5346602357674297e+06,133.24079577316778,21,5,Cirrhosis,0
2862,0,9.108825054754986,52,1.526663740252392e+06,9.108825054754986,21,6,HCC,0
2863,927.1974005240188,0,889,0,927.1974005240188,21,7,Liver death,0
