Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,5543,0,0,2,3,Steatosis,0
276,0,0,705,0,0,2,4,NASH,0
277,0,0,60,0,0,2,5,Cirrhosis,0
278,0,0,3,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1395,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2100,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7506,0,0,2,25,Overweight,0
298,0,0,8402,0,0,2,26,Obese,0
411,0,0,5885,0,0,3,3,Steatosis,0
412,0,0,764,0,0,3,4,NASH,0
413,0,0,71,0,0,3,5,Cirrhosis,0
414,0,0,4,0,0,3,6,HCC,0
415,0,0,6,0,0,3,7,Liver death,0
416,0,0,255,0,0,3,8,Natural death,0
421,0,0,1442,0,0,3,13,CHD,0
422,0,0,39,0,0,3,14,CHD death,0
427,0,0,2286,0,0,3,19,T2DM,0
428,0,0,62,0,0,3,20,T2DM death,0
433,0,0,7724,0,0,3,25,Overweight,0
434,0,0,8610,0,0,3,26,Obese,0
547,0,0,6165,0,0,4,3,Steatosis,0
548,0,0,852,0,0,4,4,NASH,0
549,0,0,69,0,0,4,5,Cirrhosis,0
550,0,0,3,0,0,4,6,HCC,0
551,0,0,16,0,0,4,7,Liver death,0
552,0,0,494,0,0,4,8,Natural death,0
557,0,0,1457,0,0,4,13,CHD,0
558,0,0,75,0,0,4,14,CHD death,0
563,0,0,2416,0,0,4,19,T2DM,0
564,0,0,136,0,0,4,20,T2DM death,0
569,0,0,7779,0,0,4,25,Overweight,0
570,0,0,8809,0,0,4,26,Obese,0
683,0,0,6426,0,0,5,3,Steatosis,0
684,0,0,914,0,0,5,4,NASH,0
685,0,0,77,0,0,5,5,Cirrhosis,0
686,0,0,0,0,0,5,6,HCC,0
687,0,0,26,0,0,5,7,Liver death,0
688,0,0,718,0,0,5,8,Natural death,0
693,0,0,1502,0,0,5,13,CHD,0
694,0,0,110,0,0,5,14,CHD death,0
699,0,0,2559,0,0,5,19,T2DM,0
700,0,0,210,0,0,5,20,T2DM death,0
705,0,0,7829,0,0,5,25,Overweight,0
706,0,0,8921,0,0,5,26,Obese,0
819,0,0,6682,0,0,6,3,Steatosis,0
820,0,0,979,0,0,6,4,NASH,0
821,0,0,78,0,0,6,5,Cirrhosis,0
822,0,0,2,0,0,6,6,HCC,0
823,0,0,32,0,0,6,7,Liver death,0
824,0,0,928,0,0,6,8,Natural death,0
829,0,0,1533,0,0,6,13,CHD,0
830,0,0,149,0,0,6,14,CHD death,0
835,0,0,2676,0,0,6,19,T2DM,0
836,0,0,298,0,0,6,20,T2DM death,0
841,0,0,7873,0,0,6,25,Overweight,0
842,0,0,9053,0,0,6,26,Obese,0
955,0,0,6842,865669.2570151577,0,7,3,Steatosis,0
956,0,158.97657582926837,1082,125553.43743907503,158.97657582926837,7,4,NASH,0
957,0,17.18755186311948,91,273092.6889137625,17.18755186311948,7,5,Cirrhosis,0
958,0,0.24192174937086056,1,62434.54931854834,0.24192174937086056,7,6,HCC,0
959,149.1313897,0,41,0,149.1313897,7,7,Liver death,0
960,0,0,1143,0,0,7,8,Natural death,0
965,0,73.91438342638003,1562,1.8256690155950103e+07,73.91438342638003,7,13,CHD,0
966,277.556620619,0,187,0,277.556620619,7,14,CHD death,0
971,0,91.74598772958822,2836,1.6328697230157163e+07,91.74598772958822,7,19,T2DM,0
972,1070.1293550009996,0,401,0,1070.1293550009996,7,20,T2DM death,0
977,0,0,7854,2.9712933407538156e+06,0,7,25,Overweight,0
978,0,111.40948742697408,9167,3.428137993004324e+06,111.40948742697408,7,26,Obese,0
1091,0,0,7062,867479.8848121307,0,8,3,Steatosis,0
1092,0,167.3272467811612,1173,132148.46842061245,167.3272467811612,8,4,NASH,0
1093,0,16.320197544197505,89,259311.3124221142,16.320197544197505,8,5,Cirrhosis,0
1094,0,0.2348754848260782,1,60616.0672995615,0.2348754848260782,8,6,HCC,0
1095,216.15699623300975,0,52,0,216.15699623300975,8,7,Liver death,0
1096,0,0,1374,0,0,8,8,Natural death,0
1101,0,73.46139446488917,1599,1.814480287866116e+07,73.46139446488917,8,13,CHD,0
1102,231.6793476728156,0,223,0,231.6793476728156,8,14,CHD death,0
1107,0,93.18825420517722,2967,1.6585387829799833e+07,93.18825420517722,8,19,T2DM,0
1108,984.6435752087382,0,491,0,984.6435752087382,8,20,T2DM death,0
1113,0,0,7827,2.874833796653186e+06,0,8,25,Overweight,0
1114,0,109.3208862319756,9265,3.3638704582171594e+06,109.3208862319756,8,26,Obese,0
1227,0,0,7236,862964.7046409314,0,9,3,Steatosis,0
1228,0,169.9323217378681,1227,134205.8540064784,169.9323217378681,9,4,NASH,0
1229,0,17.269108342829277,97,274388.5382889181,17.269108342829277,9,5,Cirrhosis,0
1230,0,0.22803445128745456,1,58850.550776273296,0.22803445128745456,9,6,HCC,0
1231,164.49364409463664,0,62,0,164.49364409463664,9,7,Liver death,0
1232,0,0,1571,0,0,9,8,Natural death,0
1237,0,73.41812861752786,1646,1.813411630951162e+07,73.41812861752786,9,13,CHD,0
1238,167.97522701479875,0,246,0,167.97522701479875,9,14,CHD death,0
1243,0,94.25521963220156,3091,1.67752833864799e+07,94.25521963220156,9,19,T2DM,0
1244,938.5688130709774,0,589,0,938.5688130709774,9,20,T2DM death,0
1249,0,0,7782,2.7750538161472757e+06,0,9,25,Overweight,0
1250,0,107.67184253238052,9399,3.3131283761083884e+06,107.67184253238052,9,26,Obese,0
1363,0,0,7402,857050.339423803,0,10,3,Steatosis,0
1364,0,174.52952074738798,1298,137836.54069869375,174.52952074738798,10,4,NASH,0
1365,0,17.45751118632525,101,277382.0675325867,17.45751118632525,10,5,Cirrhosis,0
1366,0,0.6641780134586056,3,171409.37119302904,0.6641780134586056,10,6,HCC,0
1367,184.11126165547296,0,74,0,184.11126165547296,10,7,Liver death,0
1368,0,0,1765,0,0,10,8,Natural death,0
1373,0,72.53557635123538,1675,1.7916127840621408e+07,72.53557635123538,10,13,CHD,0
1374,186.7769053304257,0,276,0,186.7769053304257,10,14,CHD death,0
1379,0,96.83887245996345,3271,1.72351147732913e+07,96.83887245996345,10,19,T2DM,0
1380,878.5415560620356,0,684,0,878.5415560620356,10,20,T2DM death,0
1385,0,0,7738,2.6789936484430227e+06,0,10,25,Overweight,0
1386,0,105.65909243160503,9500,3.251194825830726e+06,105.65909243160503,10,26,Obese,0
1499,0,0,7549,848612.5518832643,0,11,3,Steatosis,0
1500,0,179.36748209112835,1374,141657.3719987407,179.36748209112835,11,4,NASH,0
1501,0,18.45935048059002,110,293300.2732729458,18.45935048059002,11,5,Cirrhosis,0
1502,0,1.7195547274009204,8,443778.30729586806,1.7195547274009204,11,6,HCC,0
1503,169.881235359677,0,85,0,169.881235359677,11,7,Liver death,0
1504,0,0,1936,0,0,11,8,Natural death,0
1509,0,71.38989053435428,1698,1.7633145963411547e+07,71.38989053435428,11,13,CHD,0
1510,245.08614257048774,0,321,0,245.08614257048774,11,14,CHD death,0
1515,0,98.01359849232257,3410,1.744418926456477e+07,98.01359849232257,11,19,T2DM,0
1516,1073.670397136208,0,798,0,1073.670397136208,11,20,T2DM death,0
1521,0,0,7775,2.613401473078382e+06,0,11,25,Overweight,0
1522,0,102.94877743923995,9534,3.1677967776665525e+06,102.94877743923995,11,26,Obese,0
1635,0,0,7723,842885.9912253565,0,12,3,Steatosis,0
1636,0,181.49420892475496,1432,143336.97707932408,181.49420892475496,12,4,NASH,0
1637,0,19.22509582267984,118,305467.18663907825,19.22509582267984,12,5,Cirrhosis,0
1638,0,1.4607867829862187,7,376996.13483872276,1.4607867829862187,12,6,HCC,0
1639,152.22790517812584,0,96,0,152.22790517812584,12,7,Liver death,0
1640,0,0,2126,0,0,12,8,Natural death,0
1645,0,70.53514176779603,1728,1.7422024897808667e+07,70.53514176779603,12,13,CHD,0
1646,261.6049115901461,0,356,0,261.6049115901461,12,14,CHD death,0
1651,0,98.45171980780266,3528,1.7522164884942587e+07,98.45171980780266,12,19,T2DM,0
1652,982.6491125982044,0,907,0,982.6491125982044,12,20,T2DM death,0
1657,0,0,7699,2.512481246368652e+06,0,12,25,Overweight,0
1658,0,101.74295826765663,9705,3.1306929850707515e+06,101.74295826765663,12,26,Obese,0
1771,0,0,7883,835289.6553893802,0,13,3,Steatosis,0
1772,0,185.1906386829238,1505,146256.27169847174,185.1906386829238,13,4,NASH,0
1773,0,21.828724893284587,138,346836.20006740914,21.828724893284587,13,5,Cirrhosis,0
1774,0,2.026056564474645,10,522879.5212742342,2.026056564474645,13,6,HCC,0
1775,151.88525523479476,0,107,0,151.88525523479476,13,7,Liver death,0
1776,0,0,2312,0,0,13,8,Natural death,0
1781,0,70.02629197213835,1767,1.7296340117330406e+07,70.02629197213835,13,13,CHD,0
1782,209.7092372066959,0,391,0,209.7092372066959,13,14,CHD death,0
1787,0,99.18756638055841,3661,1.765312882344237e+07,99.18756638055841,13,19,T2DM,0
1788,939.7181703764252,0,1008,0,939.7181703764252,13,20,T2DM death,0
1793,0,0,7694,2.4377180127487406e+06,0,13,25,Overweight,0
1794,0,99.78721436313933,9804,3.070513550280608e+06,99.78721436313933,13,26,Obese,0
1907,0,0,7991,822071.2921893224,0,14,3,Steatosis,0
1908,0,188.39830803661485,1577,148789.56260264912,188.39830803661485,14,4,NASH,0
1909,0,22.575084841092206,147,358695.0992676863,22.575084841092206,14,5,Cirrhosis,0
1910,0,2.163749729050592,11,558415.0227200559,2.163749729050592,14,6,HCC,0
1911,198.24275793336955,0,121,0,198.24275793336955,14,7,Liver death,0
1912,0,0,2499,0,0,14,8,Natural death,0
1917,0,67.25565154439062,1748,1.6611998024786787e+07,67.25565154439062,14,13,CHD,0
1918,250.34000397645497,0,439,0,250.34000397645497,14,14,CHD death,0
1923,0,98.50813643024057,3745,1.7532205759419803e+07,98.50813643024057,14,19,T2DM,0
1924,1067.7274404813493,0,1128,0,1067.7274404813493,14,20,T2DM death,0
1929,0,0,7660,2.356257931114895e+06,0,14,25,Overweight,0
1930,0,97.35511520021177,9852,2.9956763731634226e+06,97.35511520021177,14,26,Obese,0
2043,0,0,8100,809014.2024744893,0,15,3,Steatosis,0
2044,0,190.45011222989106,1642,150409.9967330999,190.45011222989106,15,4,NASH,0
2045,0,23.855845549004325,160,379045.0821136653,23.855845549004325,15,5,Cirrhosis,0
2046,0,1.9097526293473885,10,492864.097722909,1.9097526293473885,15,6,HCC,0
2047,113.70074045735831,0,130,0,113.70074045735831,15,7,Liver death,0
2048,0,0,2676,0,0,15,8,Natural death,0
2053,0,66.41740266041448,1778,1.6404952393898243e+07,66.41740266041448,15,13,CHD,0
2054,258.89365887750904,0,481,0,258.89365887750904,15,14,CHD death,0
2059,0,99.41855810930079,3893,1.769424009265939e+07,99.41855810930079,15,19,T2DM,0
2060,978.9543551506895,0,1249,0,978.9543551506895,15,20,T2DM death,0
2065,0,0,7661,2.287927705426133e+06,0,15,25,Overweight,0
2066,0,94.89369310903865,9891,2.91993691162777e+06,94.89369310903865,15,26,Obese,0
2179,0,0,8174,792626.4042940476,0,16,3,Steatosis,0
2180,0,191.8847434692118,1704,151543.0119752145,191.8847434692118,16,4,NASH,0
2181,0,24.319065850926712,168,386405.1807954822,24.319065850926712,16,5,Cirrhosis,0
2182,0,2.039541642992357,11,526359.7160147572,2.039541642992357,16,6,HCC,0
2183,226.14371983262288,0,146,0,226.14371983262288,16,7,Liver death,0
2184,0,0,2868,0,0,16,8,Natural death,0
2189,0,64.12024414014579,1768,1.5837559291237213e+07,64.12024414014579,16,13,CHD,0
2190,259.8706175964559,0,531,0,259.8706175964559,16,14,CHD death,0
2195,0,99.00226758269532,3993,1.7620149855725687e+07,99.00226758269532,16,19,T2DM,0
2196,965.1512379386892,0,1372,0,965.1512379386892,16,20,T2DM death,0
2201,0,0,7605,2.205051965353023e+06,0,16,25,Overweight,0
2202,0,92.39060536042216,9919,2.8429153723581494e+06,92.39060536042216,16,26,Obese,0
2315,0,0,8245,776224.4843829244,0,17,3,Steatosis,0
2316,0,194.4955094989016,1779,153604.89214635635,194.4955094989016,17,4,NASH,0
2317,0,24.735064665759975,176,393014.978155369,24.735064665759975,17,5,Cirrhosis,0
2318,0,1.4401000127042236,8,371657.3458180103,1.4401000127042236,17,6,HCC,0
2319,259.445771905961,0,169,0,259.445771905961,17,7,Liver death,0
2320,0,0,3047,0,0,17,8,Natural death,0
2325,0,63.16814456981885,1794,1.5602392791195985e+07,63.16814456981885,17,13,CHD,0
2326,142.69273389880777,0,564,0,142.69273389880777,17,14,CHD death,0
2331,0,97.5389427238196,4052,1.735971134324984e+07,97.5389427238196,17,19,T2DM,0
2332,1092.9946414336216,0,1510,0,1092.9946414336216,17,20,T2DM death,0
2337,0,0,7631,2.148146218010618e+06,0,17,25,Overweight,0
2338,0,89.65440079626752,9914,2.758720686254123e+06,89.65440079626752,17,26,Obese,0
2451,0,0,8328,761202.4358322696,0,18,3,Steatosis,0
2452,0,194.88081306721665,1836,153909.18972735555,194.88081306721665,18,4,NASH,0
2453,0,24.151072627093544,177,383735.9396155154,24.151072627093544,18,5,Cirrhosis,0
2454,0,1.7476941901750287,10,451040.4682257406,1.7476941901750287,18,6,HCC,0
2455,237.16997113586254,0,190,0,237.16997113586254,18,7,Liver death,0
2456,0,0,3223,0,0,18,8,Natural death,0
2461,0,61.77270363869949,1807,1.5257721950021941e+07,61.77270363869949,18,13,CHD,0
2462,192.2219707488776,0,611,0,192.2219707488776,18,14,CHD death,0
2467,0,96.42743309750901,4126,1.7161887933143124e+07,96.42743309750901,18,19,T2DM,0
2468,895.8409369791049,0,1639,0,895.8409369791049,18,20,T2DM death,0
2473,0,0,7568,2.0683607332254774e+06,0,18,25,Overweight,0
2474,0,87.46453879405003,9962,2.691337294564002e+06,87.46453879405003,18,26,Obese,0
2587,0,0,8382,743823.4820357567,0,19,3,Steatosis,0
2588,0,195.18172681711295,1894,154146.83955391558,195.18172681711295,19,4,NASH,0
2589,0,24.904841500156735,188,395712.5590901035,24.904841500156735,19,5,Cirrhosis,0
2590,0,2.0361485710777036,12,525484.0406513485,2.0361485710777036,19,6,HCC,0
2591,165.03326804572777,0,203,0,165.03326804572777,19,7,Liver death,0
2592,0,0,3390,0,0,19,8,Natural death,0
2597,0,60.6040999372822,1826,1.4969079405731406e+07,60.6040999372822,19,13,CHD,0
2598,206.78179748509777,0,661,0,206.78179748509777,19,14,CHD death,0
2603,0,95.11640591861472,4192,1.6928554940664247e+07,95.11640591861472,19,19,T2DM,0
2604,1069.362142683389,0,1785,0,1069.362142683389,19,20,T2DM death,0
2609,0,0,7621,2.0221804054776835e+06,0,19,25,Overweight,0
2610,0,85.00226889895028,9972,2.615571745584677e+06,85.00226889895028,19,26,Obese,0
2723,0,0,8410,724571.0855116008,0,20,3,Steatosis,0
2724,0,193.69896921188734,1936,152975.81600372246,193.69896921188734,20,4,NASH,0
2725,0,24.951142589498225,194,396448.23622949613,24.951142589498225,20,5,Cirrhosis,0
2726,0,2.471054091113718,15,637723.3503050344,2.471054091113718,20,6,HCC,0
2727,191.55821158087304,0,221,0,191.55821158087304,20,7,Liver death,0
2728,0,0,3581,0,0,20,8,Natural death,0
2733,0,58.71004056068719,1822,1.450125090507168e+07,58.71004056068719,20,13,CHD,0
2734,204.48677238481693,0,712,0,204.48677238481693,20,14,CHD death,0
2739,0,92.83066556293036,4214,1.6521745191941613e+07,92.83066556293036,20,19,T2DM,0
2740,1145.4084645415116,0,1954,0,1145.4084645415116,20,20,T2DM death,0
2745,0,0,7593,1.9560687342956355e+06,0,20,25,Overweight,0
2746,0,82.55130211844707,9975,2.5401540003465703e+06,82.55130211844707,20,26,Obese,0
2859,0,0,8435,705558.2358370482,0,21,3,Steatosis,0
2860,0,192.91410216983732,1986,152355.95893012625,192.91410216983732,21,4,NASH,0
2861,0,25.84769550608614,207,410693.54869135097,25.84769550608614,21,5,Cirrhosis,0
2862,0,3.198775522477304,20,825531.8450550612,3.198775522477304,21,6,HCC,0
2863,170.04782202235174,0,237,0,170.04782202235174,21,7,Liver death,0
2864,0,0,3763,0,0,21,8,Natural death,0
2869,0,56.374352887768005,1802,1.392434118643761e+07,56.374352887768005,21,13,CHD,0
2870,188.3163471312651,0,765,0,188.3163471312651,21,14,CHD death,0
