Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,5367,0,0,2,3,Steatosis,0
276,0,0,687,0,0,2,4,NASH,0
277,0,0,65,0,0,2,5,Cirrhosis,0
278,0,0,5,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1518,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2068,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7492,0,0,2,25,Overweight,0
298,0,0,8510,0,0,2,26,Obese,0
411,0,0,5791,0,0,3,3,Steatosis,0
412,0,0,787,0,0,3,4,NASH,0
413,0,0,74,0,0,3,5,Cirrhosis,0
414,0,0,5,0,0,3,6,HCC,0
415,0,0,9,0,0,3,7,Liver death,0
416,0,0,214,0,0,3,8,Natural death,0
421,0,0,1566,0,0,3,13,CHD,0
422,0,0,45,0,0,3,14,CHD death,0
427,0,0,2171,0,0,3,19,T2DM,0
428,0,0,75,0,0,3,20,T2DM death,0
433,0,0,7836,0,0,3,25,Overweight,0
434,0,0,8894,0,0,3,26,Obese,0
547,0,0,6108,0,0,4,3,Steatosis,0
548,0,0,932,0,0,4,4,NASH,0
549,0,0,82,0,0,4,5,Cirrhosis,0
550,0,0,2,0,0,4,6,HCC,0
551,0,0,18,0,0,4,7,Liver death,0
552,0,0,451,0,0,4,8,Natural death,0
557,0,0,1607,0,0,4,13,CHD,0
558,0,0,79,0,0,4,14,CHD death,0
563,0,0,2266,0,0,4,19,T2DM,0
564,0,0,138,0,0,4,20,T2DM death,0
569,0,0,7929,0,0,4,25,Overweight,0
570,0,0,9258,0,0,4,26,Obese,0
683,0,0,6475,0,0,5,3,Steatosis,0
684,0,0,1062,0,0,5,4,NASH,0
685,0,0,85,0,0,5,5,Cirrhosis,0
686,0,0,4,0,0,5,6,HCC,0
687,0,0,29,0,0,5,7,Liver death,0
688,0,0,629,0,0,5,8,Natural death,0
693,0,0,1631,0,0,5,13,CHD,0
694,0,0,126,0,0,5,14,CHD death,0
699,0,0,2339,0,0,5,19,T2DM,0
700,0,0,218,0,0,5,20,T2DM death,0
705,0,0,7969,0,0,5,25,Overweight,0
706,0,0,9551,0,0,5,26,Obese,0
819,0,0,6793,0,0,6,3,Steatosis,0
820,0,0,1190,0,0,6,4,NASH,0
821,0,0,93,0,0,6,5,Cirrhosis,0
822,0,0,2,0,0,6,6,HCC,0
823,0,0,47,0,0,6,7,Liver death,0
824,0,0,832,0,0,6,8,Natural death,0
829,0,0,1645,0,0,6,13,CHD,0
830,0,0,178,0,0,6,14,CHD death,0
835,0,0,2456,0,0,6,19,T2DM,0
836,0,0,286,0,0,6,20,T2DM death,0
841,0,0,7990,0,0,6,25,Overweight,0
842,0,0,9835,0,0,6,26,Obese,0
955,0,0,7103,1.265508119011723e+06,0,7,3,Steatosis,0
956,0,194.4488959218337,1323,189334.07371086712,194.4488959218337,7,4,NASH,0
957,0,27.48800201485091,105,354778.0318800567,27.48800201485091,7,5,Cirrhosis,0
958,0,1.5197791003077585,5,210412.40421793482,1.5197791003077585,7,6,HCC,0
959,217.71546983999997,0,61,0,217.71546983999997,7,7,Liver death,0
960,0,0,1001,0,0,7,8,Natural death,0
965,0,81.59907896484961,1703,3.446921910637285e+07,81.59907896484961,7,13,CHD,0
966,301.270867415,0,218,0,301.270867415,7,14,CHD death,0
971,0,99.44286055457668,2600,2.5864594334136575e+07,99.44286055457668,7,19,T2DM,0
972,619.832819824,0,345,0,619.832819824,7,20,T2DM death,0
977,0,0,7906,1.0714973407177702e+06,0,7,25,Overweight,0
978,0,130.7426212868352,10151,8.1687262516410025e+06,130.7426212868352,7,26,Obese,0
1091,0,0,7389,1.2781198005186017e+06,0,8,3,Steatosis,0
1092,0,207.9064507394156,1457,202437.63834528427,207.9064507394156,8,4,NASH,0
1093,0,29.737366950878965,117,383809.7987051934,29.737366950878965,8,5,Cirrhosis,0
1094,0,1.1804109516953465,4,163427.11007218238,1.1804109516953465,8,6,HCC,0
1095,138.7425364368932,0,70,0,138.7425364368932,8,7,Liver death,0
1096,0,0,1178,0,0,8,8,Natural death,0
1101,0,79.9667159270996,1719,3.377967358793133e+07,79.9667159270996,8,13,CHD,0
1102,300.6039941213592,0,265,0,300.6039941213592,8,14,CHD death,0
1107,0,101.15099034751246,2724,2.6308870413064808e+07,101.15099034751246,8,19,T2DM,0
1108,837.6091037582529,0,430,0,837.6091037582529,8,20,T2DM death,0
1113,0,0,7839,1.0314726745431763e+06,0,8,25,Overweight,0
1114,0,129.71061348476513,10373,8.104246978230185e+06,129.71061348476513,8,26,Obese,0
1227,0,0,7647,1.2842209837723507e+06,0,9,3,Steatosis,0
1228,0,220.5536509899673,1592,214752.16413944247,220.5536509899673,9,4,NASH,0
1229,0,32.81943244931452,133,423588.9405675121,32.81943244931452,9,5,Cirrhosis,0
1230,0,0.8595225376422426,3,119000.32286809396,0.8595225376422426,9,6,HCC,0
1231,200.36794300970877,0,83,0,200.36794300970877,9,7,Liver death,0
1232,0,0,1331,0,0,9,8,Natural death,0
1237,0,79.30867074896227,1756,3.35017010456545e+07,79.30867074896227,9,13,CHD,0
1238,248.6246815750778,0,305,0,248.6246815750778,9,14,CHD death,0
1243,0,103.46839395854283,2870,2.691161558726575e+07,103.46839395854283,9,19,T2DM,0
1244,802.8222972542187,0,510,0,802.8222972542187,9,20,T2DM death,0
1249,0,0,7850,1.0028350276453889e+06,0,9,25,Overweight,0
1250,0,128.2757365865021,10566,8.014596667781226e+06,128.2757365865021,9,26,Obese,0
1363,0,0,7854,1.2805671119896949e+06,0,10,3,Steatosis,0
1364,0,232.96026462082352,1732,226832.43175189997,232.96026462082352,10,4,NASH,0
1365,0,36.655034416710286,153,473093.7141895709,36.655034416710286,10,5,Cirrhosis,0
1366,0,1.1126505341647153,4,154045.7253955909,1.1126505341647153,10,6,HCC,0
1367,178.40673922123275,0,95,0,178.40673922123275,10,7,Liver death,0
1368,0,0,1499,0,0,10,8,Natural death,0
1373,0,80.5943211826237,1838,3.404478764729809e+07,80.5943211826237,10,13,CHD,0
1374,218.88973464186384,0,344,0,218.88973464186384,10,14,CHD death,0
1379,0,105.74000140346786,3021,2.7502449406015348e+07,105.74000140346786,10,19,T2DM,0
1380,744.7229737619733,0,589,0,744.7229737619733,10,20,T2DM death,0
1385,0,0,7804,967920.914692414,0,10,25,Overweight,0
1386,0,127.42732121497296,10811,7.961588147310803e+06,127.42732121497296,10,26,Obese,0
1499,0,0,8080,1.2790442894569137e+06,0,11,3,Steatosis,0
1500,0,246.8076078686505,1890,240315.5317446095,246.8076078686505,11,4,NASH,0
1501,0,38.61117909241636,166,498340.98962794844,38.61117909241636,11,5,Cirrhosis,0
1502,0,2.4305472833695236,9,336507.65256318403,2.4305472833695236,11,6,HCC,0
1503,167.05853138990534,0,107,0,167.05853138990534,11,7,Liver death,0
1504,0,0,1626,0,0,11,8,Natural death,0
1509,0,81.31208122950092,1910,3.4347985044072345e+07,81.31208122950092,11,13,CHD,0
1510,242.8711205938939,0,377,0,242.8711205938939,11,14,CHD death,0
1515,0,107.21380897726675,3155,2.788577943906581e+07,107.21380897726675,11,19,T2DM,0
1516,820.0706198505903,0,677,0,820.0706198505903,11,20,T2DM death,0
1521,0,0,7676,924315.7530838748,0,11,25,Overweight,0
1522,0,127.21756157626896,11117,7.948482481761959e+06,127.21756157626896,11,26,Obese,0
1635,0,0,8170,1.2556223979696499e+06,0,12,3,Steatosis,0
1636,0,259.77746366818576,2049,252944.22589238558,259.77746366818576,12,4,NASH,0
1637,0,41.325568919828115,183,533374.6701480573,41.325568919828115,12,5,Cirrhosis,0
1638,0,3.1463395253974418,12,435608.61173227703,3.1463395253974418,12,6,HCC,0
1639,170.08019017595655,0,119,0,170.08019017595655,12,7,Liver death,0
1640,0,0,1796,0,0,12,8,Natural death,0
1645,0,79.2330908946055,1917,3.3469774477451757e+07,79.2330908946055,12,13,CHD,0
1646,269.97367344730935,0,424,0,269.97367344730935,12,14,CHD death,0
1651,0,107.75323500060591,3266,2.8026081469692025e+07,107.75323500060591,12,19,T2DM,0
1652,1038.9817961376282,0,793,0,1038.9817961376282,12,20,T2DM death,0
1657,0,0,7591,887456.6650385883,0,12,25,Overweight,0
1658,0,125.56758440760807,11302,7.845392826073336e+06,125.56758440760807,12,26,Obese,0
1771,0,0,8292,1.237254569044391e+06,0,13,3,Steatosis,0
1772,0,268.5820815856106,2182,261517.24539896188,268.5820815856106,13,4,NASH,0
1773,0,42.533611175375825,194,548966.4491947722,42.533611175375825,13,5,Cirrhosis,0
1774,0,3.0546985683470314,12,422920.9822643465,3.0546985683470314,13,6,HCC,0
1775,193.41021007733653,0,136,0,193.41021007733653,13,7,Liver death,0
1776,0,0,1955,0,0,13,8,Natural death,0
1781,0,78.5705780024572,1958,3.3189914675970647e+07,78.5705780024572,13,13,CHD,0
1782,264.02063980398145,0,471,0,264.02063980398145,13,14,CHD death,0
1787,0,108.55466245848581,3389,2.8234528772703417e+07,108.55466245848581,13,19,T2DM,0
1788,908.8041543753652,0,899,0,908.8041543753652,13,20,T2DM death,0
1793,0,0,7580,860359.8693127437,0,13,25,Overweight,0
1794,0,122.9242175462555,11396,7.680236734965791e+06,122.9242175462555,13,26,Obese,0
1907,0,0,8327,1.2062882924273987e+06,0,14,3,Steatosis,0
1908,0,276.6534304818335,2315,269376.28393769625,276.6534304818335,14,4,NASH,0
1909,0,47.041978129106546,221,607154.3652889848,47.041978129106546,14,5,Cirrhosis,0
1910,0,1.2357194855772777,5,171084.5397509493,1.2357194855772777,14,6,HCC,0
1911,278.5666670700782,0,158,0,278.5666670700782,14,7,Liver death,0
1912,0,0,2105,0,0,14,8,Natural death,0
1917,0,76.32107376598623,1959,3.2239675342494864e+07,76.32107376598623,14,13,CHD,0
1918,207.22343107433775,0,517,0,207.22343107433775,14,14,CHD death,0
1923,0,108.84481162775765,3500,2.8309995131152395e+07,108.84481162775765,14,19,T2DM,0
1924,1037.5066936569099,0,1021,0,1037.5066936569099,14,20,T2DM death,0
1929,0,0,7508,827366.5879549389,0,14,25,Overweight,0
1930,0,120.91476619192093,11546,7.55468733211735e+06,120.91476619192093,14,26,Obese,0
2043,0,0,8453,1.1888749938365496e+06,0,15,3,Steatosis,0
2044,0,284.2588037830379,2450,276781.60399560793,284.2588037830379,15,4,NASH,0
2045,0,48.56506110943232,235,626812.2648284993,48.56506110943232,15,5,Cirrhosis,0
2046,0,1.1997276559002694,5,166101.49490383425,1.1997276559002694,15,6,HCC,0
2047,193.23924651571977,0,174,0,193.23924651571977,15,7,Liver death,0
2048,0,0,2237,0,0,15,8,Natural death,0
2053,0,76.44324679277472,2021,3.2291283876351904e+07,76.44324679277472,15,13,CHD,0
2054,168.5561304590559,0,551,0,168.5561304590559,15,14,CHD death,0
2059,0,109.23731718979558,3618,2.8412083879198484e+07,109.23731718979558,15,19,T2DM,0
2060,954.0551327018534,0,1142,0,954.0551327018534,15,20,T2DM death,0
2065,0,0,7435,795458.3824432452,0,15,25,Overweight,0
2066,0,118.90792176288919,11695,7.429300808509043e+06,118.90792176288919,15,26,Obese,0
2179,0,0,8589,1.1728182126486318e+06,0,16,3,Steatosis,0
2180,0,288.82091258163024,2564,281223.71018218953,288.82091258163024,16,4,NASH,0
2181,0,49.75887277479523,248,642220.3746228818,49.75887277479523,16,5,Cirrhosis,0
2182,0,2.096611437495617,9,290274.4571134968,2.096611437495617,16,6,HCC,0
2183,200.21983776774846,0,192,0,200.21983776774846,16,7,Liver death,0
2184,0,0,2354,0,0,16,8,Natural death,0
2189,0,75.90599247736756,2067,3.2064336011881582e+07,75.90599247736756,16,13,CHD,0
2190,196.78562540154275,0,597,0,196.78562540154275,16,14,CHD death,0
2195,0,109.92500804009464,3750,2.8590948855233513e+07,109.92500804009464,16,19,T2DM,0
2196,716.0623912977904,0,1236,0,716.0623912977904,16,20,T2DM death,0
2201,0,0,7482,777171.684363555,0,16,25,Overweight,0
2202,0,116.82656301247438,11835,7.299258671551455e+06,116.82656301247438,16,26,Obese,0
2315,0,0,8684,1.1512527717930682e+06,0,17,3,Steatosis,0
2316,0,292.11057415805226,2671,284426.83984998614,292.11057415805226,17,4,NASH,0
2317,0,53.958689941349235,277,696425.9464866,53.958689941349235,17,5,Cirrhosis,0
2318,0,2.48788843715769,11,344446.4971141817,2.48788843715769,17,6,HCC,0
2319,268.1894163793878,0,213,0,268.1894163793878,17,7,Liver death,0
2320,0,0,2492,0,0,17,8,Natural death,0
2325,0,75.83432957072453,2127,3.2034064047269966e+07,75.83432957072453,17,13,CHD,0
2326,156.32693352806024,0,639,0,156.32693352806024,17,14,CHD death,0
2331,0,110.195373755679,3872,2.8661269635594085e+07,110.195373755679,17,19,T2DM,0
2332,792.1311761625681,0,1345,0,792.1311761625681,17,20,T2DM death,0
2337,0,0,7472,753527.1480764729,0,17,25,Overweight,0
2338,0,114.40139151852047,11937,7.147735305622496e+06,114.40139151852047,17,26,Obese,0
2451,0,0,8762,1.1277605490795223e+06,0,18,3,Steatosis,0
2452,0,295.60065807724965,2784,287825.1199115836,295.60065807724965,18,4,NASH,0
2453,0,54.27830785169583,287,700551.1431132979,54.27830785169583,18,5,Cirrhosis,0
2454,0,3.293762273377348,15,456019.1930020056,3.293762273377348,18,6,HCC,0
2455,196.05780421264134,0,230,0,196.05780421264134,18,7,Liver death,0
2456,0,0,2629,0,0,18,8,Natural death,0
2461,0,76.29089805773638,2204,3.222692846946286e+07,76.29089805773638,18,13,CHD,0
2462,221.88814259418027,0,690,0,221.88814259418027,18,14,CHD death,0
2467,0,109.33440332163521,3957,2.843733550008903e+07,109.33440332163521,18,19,T2DM,0
2468,895.5147969036828,0,1473,0,895.5147969036828,18,20,T2DM death,0
2473,0,0,7462,730600.6604521465,0,18,25,Overweight,0
2474,0,112.16725793877471,12055,7.008147882312046e+06,112.16725793877471,18,26,Obese,0
2587,0,0,8841,1.1047851173769156e+06,0,19,3,Steatosis,0
2588,0,295.75322509470857,2869,287973.673776059,295.75322509470857,19,4,NASH,0
2589,0,58.94028219747052,321,760721.6161136903,58.94028219747052,19,5,Cirrhosis,0
2590,0,2.5582619599047365,12,354189.6644675773,2.5582619599047365,19,6,HCC,0
2591,197.90296101483787,0,248,0,197.90296101483787,19,7,Liver death,0
2592,0,0,2782,0,0,19,8,Natural death,0
2597,0,75.04342297452787,2233,3.1699967963061295e+07,75.04342297452787,19,13,CHD,0
2598,291.1129186403184,0,753,0,291.1129186403184,19,14,CHD death,0
2603,0,108.83249158450457,4057,2.8306790749064013e+07,108.83249158450457,19,19,T2DM,0
2604,866.9547323641481,0,1598,0,866.9547323641481,19,20,T2DM death,0
2609,0,0,7321,695917.8849433388,0,19,25,Overweight,0
2610,0,109.8939482730752,12165,6.866112758939924e+06,109.8939482730752,19,26,Obese,0
2723,0,0,8881,1.077459786039268e+06,0,20,3,Steatosis,0
2724,0,297.44763575193076,2972,289623.51432029175,297.44763575193076,20,4,NASH,0
2725,0,60.075840367019644,337,775377.8684036928,60.075840367019644,20,5,Cirrhosis,0
2726,0,3.1046868445445837,15,429841.82581016654,3.1046868445445837,20,6,HCC,0
2727,254.0519594004575,0,273,0,254.0519594004575,20,7,Liver death,0
2728,0,0,2917,0,0,20,8,Natural death,0
2733,0,74.09754545678432,2271,3.1300408803565074e+07,74.09754545678432,20,13,CHD,0
2734,281.6739748846379,0,823,0,281.6739748846379,20,14,CHD death,0
2739,0,108.08475344678675,4150,2.8112307771681167e+07,108.08475344678675,20,19,T2DM,0
2740,1004.6183301195696,0,1740,0,1004.6183301195696,20,20,T2DM death,0
2745,0,0,7236,667803.8592863653,0,20,25,Overweight,0
2746,0,107.60528584409411,12269,6.723118403460073e+06,107.60528584409411,20,26,Obese,0
2859,0,0,8922,1.05090678048849e+06,0,21,3,Steatosis,0
2860,0,294.61420886196703,3032,286864.61845153576,294.61420886196703,21,4,NASH,0
2861,0,60.5760252613197,350,781833.5799639745,60.5760252613197,21,5,Cirrhosis,0
2862,0,3.81806149167295,19,528608.0705756092,3.81806149167295,21,6,HCC,0
2863,255.86860486909129,0,301,0,255.86860486909129,21,7,Liver death,0
2864,0,0,3023,0,0,21,8,Natural death,0
2869,0,73.26981511995433,2313,3.0950757573393412e+07,73.26981511995433,21,13,CHD,0
