Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,5908,0,0,2,3,Steatosis,0
276,0,0,653,0,0,2,4,NASH,0
277,0,0,72,0,0,2,5,Cirrhosis,0
278,0,0,9,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1479,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2044,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7316,0,0,2,25,Overweight,0
298,0,0,8463,0,0,2,26,Obese,0
411,0,0,6492,0,0,3,3,Steatosis,0
412,0,0,855,0,0,3,4,NASH,0
413,0,0,81,0,0,3,5,Cirrhosis,0
414,0,0,5,0,0,3,6,HCC,0
415,0,0,12,0,0,3,7,Liver death,0
416,0,0,216,0,0,3,8,Natural death,0
421,0,0,1539,0,0,3,13,CHD,0
422,0,0,35,0,0,3,14,CHD death,0
427,0,0,2120,0,0,3,19,T2DM,0
428,0,0,73,0,0,3,20,T2DM death,0
433,0,0,7692,0,0,3,25,Overweight,0
434,0,0,8477,0,0,3,26,Obese,0
547,0,0,7005,0,0,4,3,Steatosis,0
548,0,0,1043,0,0,4,4,NASH,0
549,0,0,98,0,0,4,5,Cirrhosis,0
550,0,0,5,0,0,4,6,HCC,0
551,0,0,19,0,0,4,7,Liver death,0
552,0,0,423,0,0,4,8,Natural death,0
557,0,0,1575,0,0,4,13,CHD,0
558,0,0,68,0,0,4,14,CHD death,0
563,0,0,2226,0,0,4,19,T2DM,0
564,0,0,122,0,0,4,20,T2DM death,0
569,0,0,7970,0,0,4,25,Overweight,0
570,0,0,8505,0,0,4,26,Obese,0
683,0,0,7426,0,0,5,3,Steatosis,0
684,0,0,1257,0,0,5,4,NASH,0
685,0,0,109,0,0,5,5,Cirrhosis,0
686,0,0,6,0,0,5,6,HCC,0
687,0,0,34,0,0,5,7,Liver death,0
688,0,0,650,0,0,5,8,Natural death,0
693,0,0,1643,0,0,5,13,CHD,0
694,0,0,104,0,0,5,14,CHD death,0
699,0,0,2358,0,0,5,19,T2DM,0
700,0,0,171,0,0,5,20,T2DM death,0
705,0,0,8170,0,0,5,25,Overweight,0
706,0,0,8575,0,0,5,26,Obese,0
819,0,0,7728,0,0,6,3,Steatosis,0
820,0,0,1478,0,0,6,4,NASH,0
821,0,0,130,0,0,6,5,Cirrhosis,0
822,0,0,3,0,0,6,6,HCC,0
823,0,0,42,0,0,6,7,Liver death,0
824,0,0,896,0,0,6,8,Natural death,0
829,0,0,1686,0,0,6,13,CHD,0
830,0,0,143,0,0,6,14,CHD death,0
835,0,0,2442,0,0,6,19,T2DM,0
836,0,0,246,0,0,6,20,T2DM death,0
841,0,0,8367,0,0,6,25,Overweight,0
842,0,0,8574,0,0,6,26,Obese,0
955,0,0,8055,522351.3337672336,0,7,3,Steatosis,0
956,0,219.62729274476717,1681,269904.220881185,219.62729274476717,7,4,NASH,0
957,0,31.11623803469272,155,339688.28106210945,31.11623803469272,7,5,Cirrhosis,0
958,0,1.7770280123372875,6,156060.45174663188,1.7770280123372875,7,6,HCC,0
959,104.36709792,0,47,0,104.36709792,7,7,Liver death,0
960,0,0,1115,0,0,7,8,Natural death,0
965,0,100.04393991785183,1736,2.143131212845025e+07,100.04393991785183,7,13,CHD,0
966,268.324381042,0,186,0,268.324381042,7,14,CHD death,0
971,0,63.0620575892307,2584,1.7263242319054686e+07,63.0620575892307,7,19,T2DM,0
972,868.4626155219997,0,320,0,868.4626155219997,7,20,T2DM death,0
977,0,0,8559,4.388823459312899e+06,0,7,25,Overweight,0
978,0,95.07596000687721,8572,4.0214568133735512e+06,95.07596000687721,7,26,Obese,0
1091,0,0,8327,524262.14873221586,0,8,3,Steatosis,0
1092,0,240.756254442606,1898,295870.0098949894,240.756254442606,8,4,NASH,0
1093,0,32.93857956694686,169,359582.33322578535,32.93857956694686,8,5,Cirrhosis,0
1094,0,1.7252699148905706,6,151515.0016957591,1.7252699148905706,8,6,HCC,0
1095,138.77100613592233,0,54,0,138.77100613592233,8,7,Liver death,0
1096,0,0,1315,0,0,8,8,Natural death,0
1101,0,101.102523059128,1807,2.1658080743651148e+07,101.102523059128,8,13,CHD,0
1102,336.1420808252428,0,232,0,336.1420808252428,8,14,CHD death,0
1107,0,64.02119075044133,2702,1.7525805083593987e+07,64.02119075044133,8,19,T2DM,0
1108,751.1817308660196,0,391,0,751.1817308660196,8,20,T2DM death,0
1113,0,0,8617,4.289868241672822e+06,0,8,25,Overweight,0
1114,0,93.76049179987479,8707,3.965816054306962e+06,93.76049179987479,8,26,Obese,0
1227,0,0,8517,520606.23014313704,0,9,3,Steatosis,0
1228,0,262.3153764119566,2130,322364.43117247097,262.3153764119566,9,4,NASH,0
1229,0,38.79134147885402,205,423475.4886613785,38.79134147885402,9,5,Cirrhosis,0
1230,0,1.6750193348452138,6,147101.94339394086,1.6750193348452138,9,6,HCC,0
1231,200.8167612668489,0,68,0,200.8167612668489,9,7,Liver death,0
1232,0,0,1518,0,0,9,8,Natural death,0
1237,0,99.78741510071728,1837,2.1376359640280385e+07,99.78741510071728,9,13,CHD,0
1238,291.1675305636724,0,275,0,291.1675305636724,9,14,CHD death,0
1243,0,64.61791151393548,2809,1.768915743096394e+07,64.61791151393548,9,19,T2DM,0
1244,719.7668354689417,0,470,0,719.7668354689417,9,20,T2DM death,0
1249,0,0,8673,4.1919875319870953e+06,0,9,25,Overweight,0
1250,0,91.42688460574628,8745,3.8671107606661385e+06,91.42688460574628,9,26,Obese,0
1363,0,0,8722,517608.7048412342,0,10,3,Steatosis,0
1364,0,280.14263500305594,2343,344272.69348516973,280.14263500305594,10,4,NASH,0
1365,0,42.254362018169154,230,461280.4280943227,42.254362018169154,10,5,Cirrhosis,0
1366,0,2.4393485458910886,9,214226.13115622455,2.4393485458910886,10,6,HCC,0
1367,241.80214585710794,0,85,0,241.80214585710794,10,7,Liver death,0
1368,0,0,1731,0,0,10,8,Natural death,0
1373,0,100.30900080944659,1902,2.1488093205898937e+07,100.30900080944659,10,13,CHD,0
1374,307.2700313390261,0,319,0,307.2700313390261,10,14,CHD death,0
1379,0,65.14789421179188,2917,1.7834240228570063e+07,65.14789421179188,10,19,T2DM,0
1380,655.3140457506768,0,538,0,655.3140457506768,10,20,T2DM death,0
1385,0,0,8728,4.095700100321125e+06,0,10,25,Overweight,0
1386,0,89.65718793235526,8833,3.7922573619279773e+06,89.65718793235526,10,26,Obese,0
1499,0,0,8811,507660.6080769687,0,11,3,Steatosis,0
1500,0,298.1018802911431,2568,366343.1567983566,298.1018802911431,11,4,NASH,0
1501,0,47.80147328353437,268,521836.8709551698,47.80147328353437,11,5,Cirrhosis,0
1502,0,1.578866372745041,6,138657.69006875376,1.578866372745041,11,6,HCC,0
1503,361.5807443017705,0,112,0,361.5807443017705,11,7,Liver death,0
1504,0,0,1956,0,0,11,8,Natural death,0
1509,0,99.6914972364296,1947,2.135581221192139e+07,99.6914972364296,11,13,CHD,0
1510,198.40155005272678,0,352,0,198.40155005272678,11,14,CHD death,0
1515,0,66.17763733000822,3052,1.811613247338126e+07,66.17763733000822,11,19,T2DM,0
1516,632.8516257504906,0,607,0,632.8516257504906,11,20,T2DM death,0
1521,0,0,8770,3.9955427326649074e+06,0,11,25,Overweight,0
1522,0,87.47941658274502,8877,3.700143504426925e+06,87.47941658274502,11,26,Obese,0
1635,0,0,8916,498747.9222921135,0,12,3,Steatosis,0
1636,0,308.46597645286624,2737,379079.79469386383,308.46597645286624,12,4,NASH,0
1637,0,52.123762709549254,301,569022.2364784256,52.123762709549254,12,5,Cirrhosis,0
1638,0,2.299319960308313,9,201928.67485740842,2.299319960308313,12,6,HCC,0
1639,310.5520831382229,0,132,0,310.5520831382229,12,7,Liver death,0
1640,0,0,2164,0,0,12,8,Natural death,0
1645,0,99.12429153611568,1994,2.1234305977615308e+07,99.12429153611568,12,13,CHD,0
1646,302.0009574857443,0,396,0,302.0009574857443,12,14,CHD death,0
1651,0,66.46057369696857,3157,1.819358632202479e+07,66.46057369696857,12,19,T2DM,0
1652,693.2429579608,0,692,0,693.2429579608,12,20,T2DM death,0
1657,0,0,8754,3.8720905427529356e+06,0,12,25,Overweight,0
1658,0,85.48639247346695,8935,3.615843957172828e+06,85.48639247346695,12,26,Obese,0
1771,0,0,9048,491390.10493820853,0,13,3,Steatosis,0
1772,0,312.6118862782345,2857,384174.7833324838,312.6118862782345,13,4,NASH,0
1773,0,53.96809286122396,321,589156.3329664028,53.96809286122396,13,5,Cirrhosis,0
1774,0,2.9764659680366496,12,261396.34285748666,2.9764659680366496,13,6,HCC,0
1775,239.219816184209,0,149,0,239.219816184209,13,7,Liver death,0
1776,0,0,2386,0,0,13,8,Natural death,0
1781,0,99.71213948331484,2066,2.13602341732742e+07,99.71213948331484,13,13,CHD,0
1782,267.1049346943356,0,446,0,267.1049346943356,13,14,CHD death,0
1787,0,67.18185377599332,3287,1.8391036790026326e+07,67.18185377599332,13,19,T2DM,0
1788,733.0305701444984,0,777,0,733.0305701444984,13,20,T2DM death,0
1793,0,0,8816,3.7859364401418297e+06,0,13,25,Overweight,0
1794,0,83.21943161994389,8959,3.5199576240812405e+06,83.21943161994389,13,26,Obese,0
1907,0,0,9160,482983.2437607948,0,14,3,Steatosis,0
1908,0,321.67246913576173,3028,395309.50855871505,321.67246913576173,14,4,NASH,0
1909,0,55.98722394035533,343,611198.6879819685,55.98722394035533,14,5,Cirrhosis,0
1910,0,4.334659176752404,18,380674.2857147863,4.334659176752404,14,6,HCC,0
1911,334.6856290679876,0,176,0,334.6856290679876,14,7,Liver death,0
1912,0,0,2580,0,0,14,8,Natural death,0
1917,0,99.3382154459277,2120,2.1280132542290654e+07,99.3382154459277,14,13,CHD,0
1918,230.17530288214184,0,485,0,230.17530288214184,14,14,CHD death,0
1923,0,67.60630309303251,3407,1.8507229817852642e+07,67.60630309303251,14,19,T2DM,0
1924,792.1627600017616,0,868,0,792.1627600017616,14,20,T2DM death,0
1929,0,0,8899,3.7102717456366853e+06,0,14,25,Overweight,0
1930,0,81.06611573885831,8989,3.4288781669753813e+06,81.06611573885831,14,26,Obese,0
2043,0,0,9200,470963.4377621673,0,15,3,Steatosis,0
2044,0,329.9400510335151,3199,405469.6995931793,329.9400510335151,15,4,NASH,0
2045,0,57.52600495442577,363,627997.1800431757,57.52600495442577,15,5,Cirrhosis,0
2046,0,4.208406967720778,18,369586.68515998666,4.208406967720778,15,6,HCC,0
2047,321.3223292376214,0,202,0,321.3223292376214,15,7,Liver death,0
2048,0,0,2784,0,0,15,8,Natural death,0
2053,0,96.99078371986897,2132,2.0777268080308657e+07,96.99078371986897,15,13,CHD,0
2054,261.4281828161255,0,535,0,261.4281828161255,15,14,CHD death,0
2059,0,67.79491127187687,3519,1.8558861318936255e+07,67.79491127187687,15,19,T2DM,0
2060,855.7028742181948,0,982,0,855.7028742181948,15,20,T2DM death,0
2065,0,0,8897,3.6013960029256893e+06,0,15,25,Overweight,0
2066,0,78.90634778416023,9012,3.3375258045469373e+06,78.90634778416023,15,26,Obese,0
2179,0,0,9259,460178.39491785824,0,16,3,Steatosis,0
2180,0,337.4531397805822,3370,414702.67942622345,337.4531397805822,16,4,NASH,0
2181,0,60.77394944234401,395,663454.1873734366,60.77394944234401,16,5,Cirrhosis,0
2182,0,3.8588413404127984,17,338887.467514551,3.8588413404127984,16,6,HCC,0
2183,372.00322968510784,0,234,0,372.00322968510784,16,7,Liver death,0
2184,0,0,2994,0,0,16,8,Natural death,0
2189,0,95.71168341907894,2167,2.050326050111597e+07,95.71168341907894,16,13,CHD,0
2190,202.43007690412958,0,583,0,202.43007690412958,16,14,CHD death,0
2195,0,67.98999673706902,3635,1.861226597757406e+07,67.98999673706902,16,19,T2DM,0
2196,835.1027719754228,0,1077,0,835.1027719754228,16,20,T2DM death,0
2201,0,0,8886,3.4921779984736345e+06,0,16,25,Overweight,0
2202,0,77.05864054651383,9065,3.259372769232353e+06,77.05864054651383,16,26,Obese,0
2315,0,0,9320,449718.57774013927,0,17,3,Steatosis,0
2316,0,341.52657084188877,3513,419708.59751211904,341.52657084188877,17,4,NASH,0
2317,0,61.69261673758983,413,673483.051211085,61.69261673758983,17,5,Cirrhosis,0
2318,0,3.085310038022795,14,270955.1425016399,3.085310038022795,17,6,HCC,0
2319,322.63563089662586,0,261,0,322.63563089662586,17,7,Liver death,0
2320,0,0,3216,0,0,17,8,Natural death,0
2325,0,93.82447360045512,2188,2.009898431299142e+07,93.82447360045512,17,13,CHD,0
2326,248.9544640242302,0,636,0,248.9544640242302,17,14,CHD death,0
2331,0,66.99031742712862,3689,1.833860370221384e+07,66.99031742712862,17,19,T2DM,0
2332,709.823040784395,0,1175,0,709.823040784395,17,20,T2DM death,0
2337,0,0,8864,3.3820699495087797e+06,0,17,25,Overweight,0
2338,0,74.90499805613672,9076,3.1682794974330002e+06,74.90499805613672,17,26,Obese,0
2451,0,0,9337,437416.3882202436,0,18,3,Steatosis,0
2452,0,346.1146905880977,3667,425347.02646124526,346.1146905880977,18,4,NASH,0
2453,0,65.55175901029749,452,715612.3537163824,65.55175901029749,18,5,Cirrhosis,0
2454,0,2.9954466388570844,14,263063.2451472231,2.9954466388570844,18,6,HCC,0
2455,239.1624049429883,0,284,0,239.1624049429883,18,7,Liver death,0
2456,0,0,3439,0,0,18,8,Natural death,0
2461,0,91.96600263724245,2209,1.9700864533553056e+07,91.96600263724245,18,13,CHD,0
2462,268.8347555946192,0,691,0,268.8347555946192,18,14,CHD death,0
2467,0,66.59063258711124,3777,1.8229189951561883e+07,66.59063258711124,18,19,T2DM,0
2468,702.1768018711401,0,1269,0,702.1768018711401,18,20,T2DM death,0
2473,0,0,8934,3.3094937227176386e+06,0,18,25,Overweight,0
2474,0,72.4989433790829,9048,3.066509870561539e+06,72.4989433790829,18,26,Obese,0
2587,0,0,9362,425813.1836400972,0,19,3,Steatosis,0
2588,0,344.0061181907875,3754,422755.7611272892,344.0061181907875,19,4,NASH,0
2589,0,67.16253339615074,477,733196.7796260702,67.16253339615074,19,5,Cirrhosis,0
2590,0,2.9082006202495956,14,255401.20888079924,2.9082006202495956,19,6,HCC,0
2591,439.263500392663,0,325,0,439.263500392663,19,7,Liver death,0
2592,0,0,3649,0,0,19,8,Natural death,0
2597,0,90.41913614626125,2237,1.9369496350568667e+07,90.41913614626125,19,13,CHD,0
2598,184.1045741931053,0,738,0,184.1045741931053,19,14,CHD death,0
2603,0,65.67812262693202,3837,1.7979390291301195e+07,65.67812262693202,19,19,T2DM,0
2604,887.0962589847328,0,1392,0,887.0962589847328,19,20,T2DM death,0
2609,0,0,8946,3.217416485014245e+06,0,19,25,Overweight,0
2610,0,70.55846879728567,9070,2.984433026662302e+06,70.55846879728567,19,26,Obese,0
2723,0,0,9417,415839.5694161297,0,20,3,Steatosis,0
2724,0,344.48476696307546,3872,423343.9818458665,344.48476696307546,20,4,NASH,0
2725,0,69.1706700422386,506,755119.1111330821,69.1706700422386,20,5,Cirrhosis,0
2726,0,5.445313227929198,27,478213.0818156436,5.445313227929198,20,6,HCC,0
2727,252.09077588889159,0,346,0,252.09077588889159,20,7,Liver death,0
2728,0,0,3876,0,0,20,8,Natural death,0
2733,0,88.2172370489273,2248,1.8897807741851393e+07,88.2172370489273,20,13,CHD,0
2734,202.76330034068437,0,789,0,202.76330034068437,20,14,CHD death,0
2739,0,64.79551432586364,3899,1.7737776212143727e+07,64.79551432586364,20,19,T2DM,0
2740,793.7597555259981,0,1499,0,793.7597555259981,20,20,T2DM death,0
2745,0,0,8912,3.111833429317976e+06,0,20,25,Overweight,0
2746,0,68.82058291829361,9112,2.910925138774945e+06,68.82058291829361,20,26,Obese,0
2859,0,0,9422,403942.09841918526,0,21,3,Steatosis,0
2860,0,342.6570324516751,3967,421097.84361278004,342.6570324516751,21,4,NASH,0
2861,0,71.0048514382696,535,775142.4161636896,71.0048514382696,21,5,Cirrhosis,0
2862,0,3.3286704377848415,17,292327.3063957546,3.3286704377848415,21,6,HCC,0
2863,344.1495763756185,0,385,0,344.1495763756185,21,7,Liver death,0
2864,0,0,4100,0,0,21,8,Natural death,0
2869,0,86.7526900979526,2277,1.8584073967885077e+07,86.7526900979526,21,13,CHD,0
2870,194.92184713752565,0,840,0,194.92184713752565,21,14,CHD death,0
