Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,6343,0,0,2,3,Steatosis,0
276,0,0,702,0,0,2,4,NASH,0
277,0,0,61,0,0,2,5,Cirrhosis,0
278,0,0,3,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1484,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2116,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7498,0,0,2,25,Overweight,0
298,0,0,8455,0,0,2,26,Obese,0
411,0,0,6797,0,0,3,3,Steatosis,0
412,0,0,817,0,0,3,4,NASH,0
413,0,0,68,0,0,3,5,Cirrhosis,0
414,0,0,2,0,0,3,6,HCC,0
415,0,0,4,0,0,3,7,Liver death,0
416,0,0,212,0,0,3,8,Natural death,0
421,0,0,1487,0,0,3,13,CHD,0
422,0,0,47,0,0,3,14,CHD death,0
427,0,0,2162,0,0,3,19,T2DM,0
428,0,0,72,0,0,3,20,T2DM death,0
433,0,0,7729,0,0,3,25,Overweight,0
434,0,0,8357,0,0,3,26,Obese,0
547,0,0,7147,0,0,4,3,Steatosis,0
548,0,0,938,0,0,4,4,NASH,0
549,0,0,72,0,0,4,5,Cirrhosis,0
550,0,0,2,0,0,4,6,HCC,0
551,0,0,11,0,0,4,7,Liver death,0
552,0,0,415,0,0,4,8,Natural death,0
557,0,0,1501,0,0,4,13,CHD,0
558,0,0,89,0,0,4,14,CHD death,0
563,0,0,2223,0,0,4,19,T2DM,0
564,0,0,139,0,0,4,20,T2DM death,0
569,0,0,7866,0,0,4,25,Overweight,0
570,0,0,8296,0,0,4,26,Obese,0
683,0,0,7512,0,0,5,3,Steatosis,0
684,0,0,1063,0,0,5,4,NASH,0
685,0,0,77,0,0,5,5,Cirrhosis,0
686,0,0,7,0,0,5,6,HCC,0
687,0,0,15,0,0,5,7,Liver death,0
688,0,0,621,0,0,5,8,Natural death,0
693,0,0,1517,0,0,5,13,CHD,0
694,0,0,130,0,0,5,14,CHD death,0
699,0,0,2311,0,0,5,19,T2DM,0
700,0,0,196,0,0,5,20,T2DM death,0
705,0,0,7970,0,0,5,25,Overweight,0
706,0,0,8295,0,0,5,26,Obese,0
819,0,0,7826,0,0,6,3,Steatosis,0
820,0,0,1197,0,0,6,4,NASH,0
821,0,0,83,0,0,6,5,Cirrhosis,0
822,0,0,9,0,0,6,6,HCC,0
823,0,0,25,0,0,6,7,Liver death,0
824,0,0,806,0,0,6,8,Natural death,0
829,0,0,1545,0,0,6,13,CHD,0
830,0,0,164,0,0,6,14,CHD death,0
835,0,0,2412,0,0,6,19,T2DM,0
836,0,0,263,0,0,6,20,T2DM death,0
841,0,0,8093,0,0,6,25,Overweight,0
842,0,0,8254,0,0,6,26,Obese,0
955,0,0,8032,2.3779393375358647e+06,0,7,3,Steatosis,0
956,0,198.25380876416588,1353,271003.51857943647,198.25380876416588,7,4,NASH,0
957,0,19.13718649017577,103,178520.6189569443,19.13718649017577,7,5,Cirrhosis,0
958,0,1.168982154498069,4,188508.99817854058,1.168982154498069,7,6,HCC,0
959,160.975152101,0,34,0,160.975152101,7,7,Liver death,0
960,0,0,1003,0,0,7,8,Natural death,0
965,0,84.32063113353166,1529,2.1996879258556273e+07,84.32063113353166,7,13,CHD,0
966,284.410667837,0,212,0,284.410667837,7,14,CHD death,0
971,0,112.72407525133457,2506,3.532744175691748e+07,112.72407525133457,7,19,T2DM,0
972,573.317461453,0,333,0,573.317461453,7,20,T2DM death,0
977,0,0,8183,2.487278101582506e+06,0,7,25,Overweight,0
978,0,81.27786289966751,8210,7.068494488585367e+06,81.27786289966751,7,26,Obese,0
1091,0,0,8262,2.3747890485045766e+06,0,8,3,Steatosis,0
1092,0,210.11981683613035,1477,287223.7867248119,210.11981683613035,8,4,NASH,0
1093,0,18.76017904588821,104,175003.71732983508,18.76017904588821,8,5,Cirrhosis,0
1094,0,1.418667663225812,5,228773.05604191817,1.418667663225812,8,6,HCC,0
1095,316.3737642941748,0,52,0,316.3737642941748,8,7,Liver death,0
1096,0,0,1204,0,0,8,8,Natural death,0
1101,0,83.52447158705942,1560,2.1789183642679904e+07,83.52447158705942,8,13,CHD,0
1102,235.58364435436891,0,250,0,235.58364435436891,8,14,CHD death,0
1107,0,112.49785673507571,2576,3.525654544271326e+07,112.49785673507571,8,19,T2DM,0
1108,749.9386627165052,0,412,0,749.9386627165052,8,20,T2DM death,0
1113,0,0,8261,2.4378511924643638e+06,0,8,25,Overweight,0
1114,0,78.24735189932434,8141,6.804939942003988e+06,78.24735189932434,8,26,Obese,0
1227,0,0,8450,2.358084323345496e+06,0,9,3,Steatosis,0
1228,0,218.9165322552805,1585,299248.47792943334,218.9165322552805,9,4,NASH,0
1229,0,19.96508972396619,114,186243.6872255531,19.96508972396619,9,5,Cirrhosis,0
1230,0,1.3773472458503027,5,222109.7631474934,1.3773472458503027,9,6,HCC,0
1231,342.242206202281,0,73,0,342.242206202281,9,7,Liver death,0
1232,0,0,1356,0,0,9,8,Natural death,0
1237,0,82.70315801283158,1591,2.1574926048981607e+07,82.70315801283158,9,13,CHD,0
1238,227.95523344990104,0,280,0,227.95523344990104,9,14,CHD death,0
1243,0,113.46117432878427,2676,3.555844675446928e+07,113.46117432878427,9,19,T2DM,0
1244,671.209651810727,0,481,0,671.209651810727,9,20,T2DM death,0
1249,0,0,8354,2.3934910982883596e+06,0,9,25,Overweight,0
1250,0,75.93097653908207,8137,6.603491652354969e+06,75.93097653908207,9,26,Obese,0
1363,0,0,8561,2.319476060454107e+06,0,10,3,Steatosis,0
1364,0,226.62028085597754,1690,309779.1355246371,226.62028085597754,10,4,NASH,0
1365,0,21.76402218248738,128,203024.96989329535,21.76402218248738,10,5,Cirrhosis,0
1366,0,1.6046764029323917,6,258768.6560941671,1.6046764029323917,10,6,HCC,0
1367,154.9569861822761,0,83,0,154.9569861822761,10,7,Liver death,0
1368,0,0,1552,0,0,10,8,Natural death,0
1373,0,80.44573167785464,1594,2.0986027058805685e+07,80.44573167785464,10,13,CHD,0
1374,255.6815195213443,0,319,0,255.6815195213443,10,14,CHD death,0
1379,0,113.5319774474282,2758,3.558063627383115e+07,113.5319774474282,10,19,T2DM,0
1380,837.0083279657222,0,567,0,837.0083279657222,10,20,T2DM death,0
1385,0,0,8368,2.3276720541380076e+06,0,10,25,Overweight,0
1386,0,73.71939469814428,8137,6.411156944033897e+06,73.71939469814428,10,26,Obese,0
1499,0,0,8655,2.2766446283530165e+06,0,11,3,Steatosis,0
1500,0,237.59522753038968,1825,324781.3651591041,237.59522753038968,11,4,NASH,0
1501,0,23.60630439999776,143,220210.6393715198,23.60630439999776,11,5,Cirrhosis,0
1502,0,1.5579382552741665,6,251231.70494579323,1.5579382552741665,11,6,HCC,0
1503,186.91628663484204,0,94,0,186.91628663484204,11,7,Liver death,0
1504,0,0,1733,0,0,11,8,Natural death,0
1509,0,79.96457230284487,1632,2.0860506121238157e+07,79.96457230284487,11,13,CHD,0
1510,181.09382446859746,0,349,0,181.09382446859746,11,14,CHD death,0
1515,0,113.02281525985792,2828,3.542106612445613e+07,113.02281525985792,11,19,T2DM,0
1516,784.3078177380063,0,655,0,784.3078177380063,11,20,T2DM death,0
1521,0,0,8471,2.2876921293558273e+06,0,11,25,Overweight,0
1522,0,71.46667707766865,8125,6.215244779067091e+06,71.46667707766865,11,26,Obese,0
1635,0,0,8739,2.231786711444174e+06,0,12,3,Steatosis,0
1636,0,246.72742872155084,1952,337264.64944305184,246.72742872155084,12,4,NASH,0
1637,0,25.002264148276385,156,233232.80427698494,25.002264148276385,12,5,Cirrhosis,0
1638,0,2.2688421193313104,9,365871.41496960184,2.2688421193313104,12,6,HCC,0
1639,155.95052152284643,0,106,0,155.95052152284643,12,7,Liver death,0
1640,0,0,1924,0,0,12,8,Natural death,0
1645,0,77.58793631374114,1631,2.0240508687737823e+07,77.58793631374114,12,13,CHD,0
1646,192.17029859614442,0,387,0,192.17029859614442,12,14,CHD death,0
1651,0,112.95142033941117,2911,3.539869113589747e+07,112.95142033941117,12,19,T2DM,0
1652,685.1138051798316,0,732,0,685.1138051798316,12,20,T2DM death,0
1657,0,0,8525,2.2352188910377137e+06,0,12,25,Overweight,0
1658,0,69.21432922651388,8105,6.019364771840414e+06,69.21432922651388,12,26,Obese,0
1771,0,0,8873,2.200007720179189e+06,0,13,3,Steatosis,0
1772,0,251.6900546653024,2051,344048.322859147,251.6900546653024,13,4,NASH,0
1773,0,23.962837184681174,154,223536.54380542572,23.962837184681174,13,5,Cirrhosis,0
1774,0,2.692261414524749,11,434151.62509877246,2.692261414524749,13,6,HCC,0
1775,234.46241670722387,0,125,0,234.46241670722387,13,7,Liver death,0
1776,0,0,2113,0,0,13,8,Natural death,0
1781,0,75.97468658581138,1645,1.9819657242460992e+07,75.97468658581138,13,13,CHD,0
1782,153.43315047805396,0,420,0,153.43315047805396,13,14,CHD death,0
1787,0,112.90131731905221,2997,3.538298897529434e+07,112.90131731905221,13,19,T2DM,0
1788,872.8153195957515,0,832,0,872.8153195957515,13,20,T2DM death,0
1793,0,0,8542,2.174442931098268e+06,0,13,25,Overweight,0
1794,0,66.96623050167389,8077,5.82385429851507e+06,66.96623050167389,13,26,Obese,0
1907,0,0,9007,2.1681866265667975e+06,0,14,3,Steatosis,0
1908,0,257.2265615268923,2159,351616.4641699331,257.2265615268923,14,4,NASH,0
1909,0,23.718102622588273,157,221253.54543848097,23.718102622588273,14,5,Cirrhosis,0
1910,0,2.6138460335191738,11,421506.43213473057,2.6138460335191738,14,6,HCC,0
1911,267.62491855316745,0,142,0,267.62491855316745,14,7,Liver death,0
1912,0,0,2269,0,0,14,8,Natural death,0
1917,0,76.22803269446922,1700,1.9885748111184526e+07,76.22803269446922,14,13,CHD,0
1918,206.42790222661975,0,457,0,206.42790222661975,14,14,CHD death,0
1923,0,111.95367934717876,3061,3.5086001617595e+07,111.95367934717876,14,19,T2DM,0
1924,785.9756484849465,0,926,0,785.9756484849465,14,20,T2DM death,0
1929,0,0,8514,2.104189591506452e+06,0,14,25,Overweight,0
1930,0,65.49067787612704,8136,5.6955298663845e+06,65.49067787612704,14,26,Obese,0
2043,0,0,9082,2.122563889626467e+06,0,15,3,Steatosis,0
2044,0,262.22703561136814,2267,358451.8741925772,262.22703561136814,15,4,NASH,0
2045,0,24.934001891286957,170,232596.02204280283,24.934001891286957,15,5,Cirrhosis,0
2046,0,2.307013268772438,10,372026.859783522,2.307013268772438,15,6,HCC,0
2047,201.03211469680795,0,158,0,201.03211469680795,15,7,Liver death,0
2048,0,0,2448,0,0,15,8,Natural death,0
2053,0,74.39960472578399,1709,1.940876271959713e+07,74.39960472578399,15,13,CHD,0
2054,175.36138588437896,0,488,0,175.36138588437896,15,14,CHD death,0
2059,0,111.53360848174174,3141,3.495435246456803e+07,111.53360848174174,15,19,T2DM,0
2060,763.6895010208102,0,1023,0,763.6895010208102,15,20,T2DM death,0
2065,0,0,8553,2.0522604204336584e+06,0,15,25,Overweight,0
2066,0,64.0208247607798,8192,5.567701103739605e+06,64.0208247607798,15,26,Obese,0
2179,0,0,9139,2.0736751653534751e+06,0,16,3,Steatosis,0
2180,0,266.8303076271981,2376,364744.3278964759,266.8303076271981,16,4,NASH,0
2181,0,25.774153868206305,181,240433.35231152174,25.774153868206305,16,5,Cirrhosis,0
2182,0,2.239818707546057,10,361191.12600341946,2.239818707546057,16,6,HCC,0
2183,254.1283623701403,0,179,0,254.1283623701403,16,7,Liver death,0
2184,0,0,2628,0,0,16,8,Natural death,0
2189,0,72.90888224646267,1725,1.9019875184661604e+07,72.90888224646267,16,13,CHD,0
2190,145.47462470445788,0,521,0,145.47462470445788,16,14,CHD death,0
2195,0,110.59486219200363,3208,3.466015173769557e+07,110.59486219200363,16,19,T2DM,0
2196,611.4519919014592,0,1105,0,611.4519919014592,16,20,T2DM death,0
2201,0,0,8517,1.9840993736181816e+06,0,16,25,Overweight,0
2202,0,62.383763129450394,8222,5.425330712766505e+06,62.383763129450394,16,26,Obese,0
2315,0,0,9223,2.0317816474214527e+06,0,17,3,Steatosis,0
2316,0,270.5068456502985,2481,369769.98035008647,270.5068456502985,17,4,NASH,0
2317,0,25.29995257137675,183,236009.7810063203,25.29995257137675,17,5,Cirrhosis,0
2318,0,2.3920393964084097,11,385738.0957318072,2.3920393964084097,17,6,HCC,0
2319,257.56189170856686,0,200,0,257.56189170856686,17,7,Liver death,0
2320,0,0,2813,0,0,17,8,Natural death,0
2325,0,70.94946244780375,1729,1.8508717711708978e+07,70.94946244780375,17,13,CHD,0
2326,167.89756033788376,0,558,0,167.89756033788376,17,14,CHD death,0
2331,0,109.58271155139883,3274,3.4342946271821715e+07,109.58271155139883,17,19,T2DM,0
2332,599.5121224046743,0,1182,0,599.5121224046743,17,20,T2DM death,0
2337,0,0,8609,1.9471179294723403e+06,0,17,25,Overweight,0
2338,0,60.544661039742316,8219,5.2653894628230715e+06,60.544661039742316,17,26,Obese,0
2451,0,0,9360,2.0019049274098275e+06,0,18,3,Steatosis,0
2452,0,269.93204916914584,2550,368984.2609239112,269.93204916914584,18,4,NASH,0
2453,0,26.844875135420008,200,250421.54067199436,26.844875135420008,18,5,Cirrhosis,0
2454,0,1.6889951607473326,8,272365.82222899003,1.6889951607473326,18,6,HCC,0
2455,203.07845724572584,0,216,0,203.07845724572584,18,7,Liver death,0
2456,0,0,3001,0,0,18,8,Natural death,0
2461,0,68.723614145028,1725,1.792805654129694e+07,68.723614145028,18,13,CHD,0
2462,160.5992903537713,0,592,0,160.5992903537713,18,14,CHD death,0
2467,0,108.14575088311929,3328,3.3892606411394395e+07,108.14575088311929,18,19,T2DM,0
2468,693.5043844661844,0,1290,0,693.5043844661844,18,20,T2DM death,0
2473,0,0,8653,1.900067489061105e+06,0,18,25,Overweight,0
2474,0,58.68109812228836,8205,5.103320927292706e+06,58.68109812228836,18,26,Obese,0
2587,0,0,9340,1.9394440318234162e+06,0,19,3,Steatosis,0
2588,0,273.37492891297455,2660,373690.513633213,273.37492891297455,19,4,NASH,0
2589,0,26.584245279736333,204,247990.2635780916,26.584245279736333,19,5,Cirrhosis,0
2590,0,1.0248757043369738,5,165270.5231972027,1.0248757043369738,19,6,HCC,0
2591,223.68380423765078,0,237,0,223.68380423765078,19,7,Liver death,0
2592,0,0,3224,0,0,19,8,Natural death,0
2597,0,66.41252032475805,1717,1.7325157214805868e+07,66.41252032475805,19,13,CHD,0
2598,125.78595551860481,0,624,0,125.78595551860481,19,14,CHD death,0
2603,0,105.34291629678653,3339,3.3014205099318065e+07,105.34291629678653,19,19,T2DM,0
2604,763.1212259320337,0,1406,0,763.1212259320337,19,20,T2DM death,0
2609,0,0,8657,1.845578474136064e+06,0,19,25,Overweight,0
2610,0,56.77752014174348,8177,4.937772400497016e+06,56.77752014174348,19,26,Obese,0
2723,0,0,9306,1.8761009293106054e+06,0,20,3,Steatosis,0
2724,0,274.59223460416905,2752,375354.5125624344,274.59223460416905,20,4,NASH,0
2725,0,27.454698389981086,217,256110.25697908763,27.454698389981086,20,5,Cirrhosis,0
2726,0,1.99004991133393,10,320913.6372761218,1.99004991133393,20,6,HCC,0
2727,219.04039220384524,0,257,0,219.04039220384524,20,7,Liver death,0
2728,0,0,3435,0,0,20,8,Natural death,0
2733,0,63.83977729958798,1700,1.665400097549302e+07,63.83977729958798,20,13,CHD,0
2734,108.10266743885416,0,651,0,108.10266743885416,20,14,CHD death,0
2739,0,103.71430158465859,3386,3.250380134343158e+07,103.71430158465859,20,19,T2DM,0
2740,738.1570231834881,0,1521,0,738.1570231834881,20,20,T2DM death,0
2745,0,0,8715,1.8038285872364328e+06,0,20,25,Overweight,0
2746,0,55.0496513993923,8166,4.787504784610389e+06,55.0496513993923,20,26,Obese,0
2859,0,0,9388,1.8375070185810674e+06,0,21,3,Steatosis,0
2860,0,273.6661290488579,2825,374088.5703562137,273.6661290488579,21,4,NASH,0
2861,0,27.637721523626432,225,257817.5823018864,27.637721523626432,21,5,Cirrhosis,0
2862,0,1.932087292557214,10,311566.63813215704,1.932087292557214,21,6,HCC,0
2863,227.9775763424754,0,279,0,227.9775763424754,21,7,Liver death,0
2864,0,0,3611,0,0,21,8,Natural death,0
2869,0,62.053284388291395,1702,1.6187955260017194e+07,62.053284388291395,21,13,CHD,0
