Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,5988,0,0,2,3,Steatosis,0
276,0,0,790,0,0,2,4,NASH,0
277,0,0,68,0,0,2,5,Cirrhosis,0
278,0,0,6,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1482,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2085,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7478,0,0,2,25,Overweight,0
298,0,0,8506,0,0,2,26,Obese,0
411,0,0,6337,0,0,3,3,Steatosis,0
412,0,0,956,0,0,3,4,NASH,0
413,0,0,78,0,0,3,5,Cirrhosis,0
414,0,0,3,0,0,3,6,HCC,0
415,0,0,11,0,0,3,7,Liver death,0
416,0,0,226,0,0,3,8,Natural death,0
421,0,0,1512,0,0,3,13,CHD,0
422,0,0,34,0,0,3,14,CHD death,0
427,0,0,2171,0,0,3,19,T2DM,0
428,0,0,59,0,0,3,20,T2DM death,0
433,0,0,7920,0,0,3,25,Overweight,0
434,0,0,8539,0,0,3,26,Obese,0
547,0,0,6682,0,0,4,3,Steatosis,0
548,0,0,1103,0,0,4,4,NASH,0
549,0,0,84,0,0,4,5,Cirrhosis,0
550,0,0,4,0,0,4,6,HCC,0
551,0,0,17,0,0,4,7,Liver death,0
552,0,0,442,0,0,4,8,Natural death,0
557,0,0,1546,0,0,4,13,CHD,0
558,0,0,72,0,0,4,14,CHD death,0
563,0,0,2284,0,0,4,19,T2DM,0
564,0,0,118,0,0,4,20,T2DM death,0
569,0,0,8285,0,0,4,25,Overweight,0
570,0,0,8573,0,0,4,26,Obese,0
683,0,0,6966,0,0,5,3,Steatosis,0
684,0,0,1318,0,0,5,4,NASH,0
685,0,0,85,0,0,5,5,Cirrhosis,0
686,0,0,5,0,0,5,6,HCC,0
687,0,0,30,0,0,5,7,Liver death,0
688,0,0,668,0,0,5,8,Natural death,0
693,0,0,1567,0,0,5,13,CHD,0
694,0,0,104,0,0,5,14,CHD death,0
699,0,0,2373,0,0,5,19,T2DM,0
700,0,0,184,0,0,5,20,T2DM death,0
705,0,0,8547,0,0,5,25,Overweight,0
706,0,0,8588,0,0,5,26,Obese,0
819,0,0,7189,0,0,6,3,Steatosis,0
820,0,0,1500,0,0,6,4,NASH,0
821,0,0,97,0,0,6,5,Cirrhosis,0
822,0,0,2,0,0,6,6,HCC,0
823,0,0,45,0,0,6,7,Liver death,0
824,0,0,879,0,0,6,8,Natural death,0
829,0,0,1558,0,0,6,13,CHD,0
830,0,0,145,0,0,6,14,CHD death,0
835,0,0,2477,0,0,6,19,T2DM,0
836,0,0,259,0,0,6,20,T2DM death,0
841,0,0,8790,0,0,6,25,Overweight,0
842,0,0,8613,0,0,6,26,Obese,0
955,0,0,7299,437585.1835195091,0,7,3,Steatosis,0
956,0,216.16191355125585,1731,519969.58115666907,216.16191355125585,7,4,NASH,0
957,0,25.017350877546363,114,394834.02635818394,25.017350877546363,7,5,Cirrhosis,0
958,0,0.6291858585603575,2,77506.94283338972,0.6291858585603575,7,6,HCC,0
959,191.578167636,0,57,0,191.578167636,7,7,Liver death,0
960,0,0,1074,0,0,7,8,Natural death,0
965,0,82.97140364965836,1565,1.961439236141015e+07,82.97140364965836,7,13,CHD,0
966,242.75302868300003,0,178,0,242.75302868300003,7,14,CHD death,0
971,0,83.56655640926428,2578,1.6447200563101495e+07,83.56655640926428,7,19,T2DM,0
972,753.8814722169999,0,331,0,753.8814722169999,7,20,T2DM death,0
977,0,0,8969,1.3392069072410457e+06,0,7,25,Overweight,0
978,0,89.3129825501404,8723,1.42527913965979e+07,89.3129825501404,7,26,Obese,0
1091,0,0,7468,434676.66810633754,0,8,3,Steatosis,0
1092,0,227.68817264238115,1878,547695.576053031,227.68817264238115,8,4,NASH,0
1093,0,29.402098629717067,138,464035.9022094145,29.402098629717067,8,5,Cirrhosis,0
1094,0,0.610860056854716,2,75249.45906154343,0.610860056854716,8,6,HCC,0
1095,163.2195566407767,0,67,0,163.2195566407767,8,7,Liver death,0
1096,0,0,1271,0,0,8,8,Natural death,0
1101,0,81.79010539985875,1589,1.9335134130886268e+07,81.79010539985875,8,13,CHD,0
1102,190.41328966796118,0,206,0,190.41328966796118,8,14,CHD death,0
1107,0,85.6644220875726,2722,1.686009322073954e+07,85.6644220875726,8,19,T2DM,0
1108,584.7877541834953,0,394,0,584.7877541834953,8,20,T2DM death,0
1113,0,0,9046,1.3113632699149433e+06,0,8,25,Overweight,0
1114,0,87.68580986932365,8821,1.3993123069287071e+07,87.68580986932365,8,26,Obese,0
1227,0,0,7583,428514.8249684525,0,9,3,Steatosis,0
1228,0,241.06691562577706,2048,579877.6532339796,241.06691562577706,9,4,NASH,0
1229,0,31.648523218986366,153,499489.8905166759,31.648523218986366,9,5,Cirrhosis,0
1230,0,1.7792040490914058,6,219173.1817326508,1.7792040490914058,9,6,HCC,0
1231,319.91242813648785,0,86,0,319.91242813648785,9,7,Liver death,0
1232,0,0,1479,0,0,9,8,Natural death,0
1237,0,80.35736555504376,1608,1.8996435251128785e+07,80.35736555504376,9,13,CHD,0
1238,199.56237130549533,0,239,0,199.56237130549533,9,14,CHD death,0
1243,0,86.80532701925848,2841,1.7084641090617698e+07,86.80532701925848,9,19,T2DM,0
1244,656.8145402573288,0,464,0,656.8145402573288,9,20,T2DM death,0
1249,0,0,9111,1.2823165688416434e+06,0,9,25,Overweight,0
1250,0,86.01009919569032,8912,1.3725708926458135e+07,86.01009919569032,9,26,Obese,0
1363,0,0,7703,422617.49221016583,0,10,3,Steatosis,0
1364,0,251.98751751880607,2205,606146.7618803569,251.98751751880607,10,4,NASH,0
1365,0,33.93997350091186,169,535654.4926538347,33.93997350091186,10,5,Cirrhosis,0
1366,0,1.4394854766111698,5,177324.5806898469,1.4394854766111698,10,6,HCC,0
1367,270.7143603837006,0,104,0,270.7143603837006,10,7,Liver death,0
1368,0,0,1683,0,0,10,8,Natural death,0
1373,0,77.91982386695332,1606,1.8420201790388852e+07,77.91982386695332,10,13,CHD,0
1374,243.45274279577606,0,282,0,243.45274279577606,10,14,CHD death,0
1379,0,87.6291118657321,2954,1.7246774785879582e+07,87.6291118657321,10,19,T2DM,0
1380,827.1560473787142,0,549,0,827.1560473787142,10,20,T2DM death,0
1385,0,0,9146,1.2497500981556703e+06,0,10,25,Overweight,0
1386,0,84.5731244161238,9026,1.349639286074637e+07,84.5731244161238,10,26,Obese,0
1499,0,0,7767,413717.2709152825,0,11,3,Steatosis,0
1500,0,263.84268615445575,2378,634663.9366627086,263.84268615445575,11,4,NASH,0
1501,0,38.41083920077921,197,606215.5170494947,38.41083920077921,11,5,Cirrhosis,0
1502,0,1.6770704581877705,6,206591.74449302553,1.6770704581877705,11,6,HCC,0
1503,239.09849995665513,0,120,0,239.09849995665513,11,7,Liver death,0
1504,0,0,1903,0,0,11,8,Natural death,0
1509,0,75.60320963042705,1605,1.7872555510024633e+07,75.60320963042705,11,13,CHD,0
1510,242.89429386341274,0,319,0,242.89429386341274,11,14,CHD death,0
1515,0,87.89926097055624,3052,1.7299944339583453e+07,87.89926097055624,11,19,T2DM,0
1516,790.5827357637478,0,636,0,790.5827357637478,11,20,T2DM death,0
1521,0,0,9120,1.2099003325956005e+06,0,11,25,Overweight,0
1522,0,82.24628504129966,9041,1.3125069954758009e+07,82.24628504129966,11,26,Obese,0
1635,0,0,7909,409010.7256951881,0,12,3,Steatosis,0
1636,0,268.43801754632335,2492,645717.8383414993,268.43801754632335,12,4,NASH,0
1637,0,41.07807454816945,217,648310.9122258165,41.07807454816945,12,5,Cirrhosis,0
1638,0,2.4423356187200542,9,300861.76382479444,2.4423356187200542,12,6,HCC,0
1639,315.7100601969358,0,144,0,315.7100601969358,12,7,Liver death,0
1640,0,0,2105,0,0,12,8,Natural death,0
1645,0,73.58410567423272,1609,1.739524048975018e+07,73.58410567423272,12,13,CHD,0
1646,164.27241210754295,0,346,0,164.27241210754295,12,14,CHD death,0
1651,0,87.96748750249832,3146,1.731337238428059e+07,87.96748750249832,12,19,T2DM,0
1652,781.8924310364868,0,721,0,781.8924310364868,12,20,T2DM death,0
1657,0,0,9207,1.1858661601740462e+06,0,12,25,Overweight,0
1658,0,80.24820541215375,9086,1.2806211359568978e+07,80.24820541215375,12,26,Obese,0
1771,0,0,8025,402921.9598300291,0,13,3,Steatosis,0
1772,0,272.2280850851214,2603,654834.7072585399,272.2280850851214,13,4,NASH,0
1773,0,45.762787179518625,249,722246.9560387876,45.762787179518625,13,5,Cirrhosis,0
1774,0,2.8981328808975833,11,357009.64423654135,2.8981328808975833,13,6,HCC,0
1775,211.11094518788337,0,161,0,211.11094518788337,13,7,Liver death,0
1776,0,0,2303,0,0,13,8,Natural death,0
1781,0,70.68606577888883,1592,1.6710145516230008e+07,70.68606577888883,13,13,CHD,0
1782,151.79471901430065,0,377,0,151.79471901430065,13,14,CHD death,0
1787,0,87.76714061177432,3233,1.727394099407558e+07,87.76714061177432,13,19,T2DM,0
1788,667.7751265106624,0,801,0,667.7751265106624,13,20,T2DM death,0
1793,0,0,9236,1.1549527908129476e+06,0,13,25,Overweight,0
1794,0,78.66546382583117,9174,1.2553633458570743e+07,78.66546382583117,13,26,Obese,0
1907,0,0,8131,396353.4410521903,0,14,3,Steatosis,0
1908,0,277.09269147895645,2729,666536.3401111192,277.09269147895645,14,4,NASH,0
1909,0,46.92795659614575,263,740636.1345896213,46.92795659614575,14,5,Cirrhosis,0
1910,0,1.5347570419581202,6,189060.71186401133,1.5347570419581202,14,6,HCC,0
1911,464.48951345888804,0,197,0,464.48951345888804,14,7,Liver death,0
1912,0,0,2498,0,0,14,8,Natural death,0
1917,0,69.61872239407055,1615,1.645782615060167e+07,69.61872239407055,14,13,CHD,0
1918,256.73795913853303,0,419,0,256.73795913853303,14,14,CHD death,0
1923,0,88.03096995586012,3340,1.7325866720382728e+07,88.03096995586012,14,19,T2DM,0
1924,714.360736320297,0,885,0,714.360736320297,14,20,T2DM death,0
1929,0,0,9288,1.127626543776657e+06,0,14,25,Overweight,0
1930,0,76.7072397183254,9214,1.2241135108216673e+07,76.7072397183254,14,26,Obese,0
2043,0,0,8200,388074.67246027425,0,15,3,Steatosis,0
2044,0,282.0344556387481,2861,678423.5731492606,282.0344556387481,15,4,NASH,0
2045,0,48.679374666901474,281,768277.7283018361,48.679374666901474,15,5,Cirrhosis,0
2046,0,1.24171281711822,5,152961.7409903004,1.24171281711822,15,6,HCC,0
2047,330.40824439074225,0,222,0,330.40824439074225,15,7,Liver death,0
2048,0,0,2674,0,0,15,8,Natural death,0
2053,0,67.38173257654732,1610,1.5929003037343305e+07,67.38173257654732,15,13,CHD,0
2054,143.69807636568285,0,451,0,143.69807636568285,15,14,CHD death,0
2059,0,88.00026326324367,3439,1.731982316475939e+07,88.00026326324367,15,19,T2DM,0
2060,700.1147068862797,0,971,0,700.1147068862797,15,20,T2DM death,0
2065,0,0,9311,1.097494078287066e+06,0,15,25,Overweight,0
2066,0,75.45912509776367,9336,1.2041957823817123e+07,75.45912509776367,15,26,Obese,0
2179,0,0,8246,378885.1230295385,0,16,3,Steatosis,0
2180,0,287.12323646637606,3000,690664.4494075193,287.12323646637606,16,4,NASH,0
2181,0,51.46629115182209,306,812261.9799618629,51.46629115182209,16,5,Cirrhosis,0
2182,0,1.4466557092639456,6,178207.8535809325,1.4466557092639456,16,6,HCC,0
2183,249.69034999238295,0,246,0,249.69034999238295,16,7,Liver death,0
2184,0,0,2844,0,0,16,8,Natural death,0
2189,0,66.02865310069564,1625,1.5609135823242316e+07,66.02865310069564,16,13,CHD,0
2190,183.69658185155274,0,492,0,183.69658185155274,16,14,CHD death,0
2195,0,88.24447587525825,3552,1.7367888012494512e+07,88.24447587525825,16,19,T2DM,0
2196,743.6708634831856,0,1070,0,743.6708634831856,16,20,T2DM death,0
2201,0,0,9337,1.0685036082146887e+06,0,16,25,Overweight,0
2202,0,73.92829693034999,9421,1.1797664397360113e+07,73.92829693034999,16,26,Obese,0
2315,0,0,8258,368384.94756831427,0,17,3,Steatosis,0
2316,0,291.6763233877021,3139,701616.733556754,291.6763233877021,17,4,NASH,0
2317,0,52.09006560514974,319,822106.6425783106,52.09006560514974,17,5,Cirrhosis,0
2318,0,2.3408668434691675,10,288362.22262286814,2.3408668434691675,17,6,HCC,0
2319,356.158190219094,0,276,0,356.158190219094,17,7,Liver death,0
2320,0,0,3032,0,0,17,8,Natural death,0
2325,0,64.85502954297426,1644,1.5331691885533387e+07,64.85502954297426,17,13,CHD,0
2326,156.1124246922198,0,523,0,156.1124246922198,17,14,CHD death,0
2331,0,88.42392869289212,3666,1.7403207123513706e+07,88.42392869289212,17,19,T2DM,0
2332,800.5354214248458,0,1175,0,800.5354214248458,17,20,T2DM death,0
2337,0,0,9405,1.0449372457273061e+06,0,17,25,Overweight,0
2338,0,71.6836220896237,9409,1.143945351530977e+07,71.6836220896237,17,26,Obese,0
2451,0,0,8322,360427.1390454303,0,18,3,Steatosis,0
2452,0,289.495857548823,3209,696371.7026891612,289.495857548823,18,4,NASH,0
2453,0,53.90212833110411,340,850705.3549521484,53.90212833110411,18,5,Cirrhosis,0
2454,0,2.2726862557953083,10,279963.32293482346,2.2726862557953083,18,6,HCC,0
2455,395.5205656508512,0,310,0,395.5205656508512,18,7,Liver death,0
2456,0,0,3211,0,0,18,8,Natural death,0
2461,0,62.238338298331186,1625,1.4713107572101805e+07,62.238338298331186,18,13,CHD,0
2462,214.41034583893784,0,567,0,214.41034583893784,18,14,CHD death,0
2467,0,87.81554261366603,3750,1.7283467262321252e+07,87.81554261366603,18,19,T2DM,0
2468,672.7139345027409,0,1277,0,672.7139345027409,18,20,T2DM death,0
2473,0,0,9453,1.0196798628969406e+06,0,18,25,Overweight,0
2474,0,69.84723812178963,9443,1.1146398722259035e+07,69.84723812178963,18,26,Obese,0
2587,0,0,8348,351022.52734603005,0,19,3,Steatosis,0
2588,0,291.83703520519515,3332,702003.3199588774,291.83703520519515,19,4,NASH,0
2589,0,53.56350845009764,348,845361.1179992704,53.56350845009764,19,5,Cirrhosis,0
2590,0,2.647789812577058,12,326170.86167163897,2.647789812577058,19,6,HCC,0
2591,394.9551273647419,0,344,0,394.9551273647419,19,7,Liver death,0
2592,0,0,3380,0,0,19,8,Natural death,0
2597,0,60.09090646159979,1616,1.420545591427462e+07,60.09090646159979,19,13,CHD,0
2598,160.85394062135103,0,606,0,160.85394062135103,19,14,CHD death,0
2603,0,86.9856999456003,3826,1.712014129336956e+07,86.9856999456003,19,19,T2DM,0
2604,786.4546798000168,0,1395,0,786.4546798000168,19,20,T2DM death,0
2609,0,0,9482,993017.5205062642,0,19,25,Overweight,0
2610,0,68.23654822475899,9502,1.0889360759234026e+07,68.23654822475899,19,26,Obese,0
2723,0,0,8424,343901.1925841001,0,20,3,Steatosis,0
2724,0,291.41526114762223,3427,700988.7578815148,291.41526114762223,20,4,NASH,0
2725,0,54.69323762062189,366,863190.9641438957,54.69323762062189,20,5,Cirrhosis,0
2726,0,2.5706697209485996,12,316670.73948702816,2.5706697209485996,20,6,HCC,0
2727,351.4895276049272,0,375,0,351.4895276049272,20,7,Liver death,0
2728,0,0,3566,0,0,20,8,Natural death,0
2733,0,59.27933553418582,1642,1.4013601011269726e+07,59.27933553418582,20,13,CHD,0
2734,156.25154136617516,0,644,0,156.25154136617516,20,14,CHD death,0
2739,0,86.10762729403865,3901,1.6947322912073594e+07,86.10762729403865,20,19,T2DM,0
2740,817.9981390060342,0,1511,0,817.9981390060342,20,20,T2DM death,0
2745,0,0,9453,961146.0673925178,0,20,25,Overweight,0
2746,0,66.5767655453464,9549,1.0624488445961447e+07,66.5767655453464,20,26,Obese,0
2859,0,0,8432,334201.732436862,0,21,3,Steatosis,0
2860,0,291.0181555226433,3525,700033.5348169782,291.0181555226433,21,4,NASH,0
2861,0,57.01746083321301,393,899872.802028096,57.01746083321301,21,5,Cirrhosis,0
2862,0,2.911761819844693,14,358688.53987203824,2.911761819844693,21,6,HCC,0
2863,408.8090122417246,0,417,0,408.8090122417246,21,7,Liver death,0
2864,0,0,3717,0,0,21,8,Natural death,0
2869,0,57.20224896928502,1632,1.352257893546318e+07,57.20224896928502,21,13,CHD,0
2870,153.88457784631328,0,684,0,153.88457784631328,21,14,CHD death,0
