Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,5872,0,0,2,3,Steatosis,0
276,0,0,768,0,0,2,4,NASH,0
277,0,0,70,0,0,2,5,Cirrhosis,0
278,0,0,6,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1469,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2193,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7572,0,0,2,25,Overweight,0
298,0,0,8458,0,0,2,26,Obese,0
411,0,0,6289,0,0,3,3,Steatosis,0
412,0,0,969,0,0,3,4,NASH,0
413,0,0,72,0,0,3,5,Cirrhosis,0
414,0,0,8,0,0,3,6,HCC,0
415,0,0,9,0,0,3,7,Liver death,0
416,0,0,247,0,0,3,8,Natural death,0
421,0,0,1513,0,0,3,13,CHD,0
422,0,0,60,0,0,3,14,CHD death,0
427,0,0,2329,0,0,3,19,T2DM,0
428,0,0,69,0,0,3,20,T2DM death,0
433,0,0,7630,0,0,3,25,Overweight,0
434,0,0,8414,0,0,3,26,Obese,0
547,0,0,6668,0,0,4,3,Steatosis,0
548,0,0,1170,0,0,4,4,NASH,0
549,0,0,81,0,0,4,5,Cirrhosis,0
550,0,0,5,0,0,4,6,HCC,0
551,0,0,23,0,0,4,7,Liver death,0
552,0,0,445,0,0,4,8,Natural death,0
557,0,0,1578,0,0,4,13,CHD,0
558,0,0,121,0,0,4,14,CHD death,0
563,0,0,2462,0,0,4,19,T2DM,0
564,0,0,153,0,0,4,20,T2DM death,0
569,0,0,7675,0,0,4,25,Overweight,0
570,0,0,8360,0,0,4,26,Obese,0
683,0,0,6960,0,0,5,3,Steatosis,0
684,0,0,1370,0,0,5,4,NASH,0
685,0,0,106,0,0,5,5,Cirrhosis,0
686,0,0,5,0,0,5,6,HCC,0
687,0,0,35,0,0,5,7,Liver death,0
688,0,0,662,0,0,5,8,Natural death,0
693,0,0,1651,0,0,5,13,CHD,0
694,0,0,161,0,0,5,14,CHD death,0
699,0,0,2590,0,0,5,19,T2DM,0
700,0,0,226,0,0,5,20,T2DM death,0
705,0,0,7704,0,0,5,25,Overweight,0
706,0,0,8372,0,0,5,26,Obese,0
819,0,0,7188,0,0,6,3,Steatosis,0
820,0,0,1574,0,0,6,4,NASH,0
821,0,0,126,0,0,6,5,Cirrhosis,0
822,0,0,5,0,0,6,6,HCC,0
823,0,0,41,0,0,6,7,Liver death,0
824,0,0,875,0,0,6,8,Natural death,0
829,0,0,1734,0,0,6,13,CHD,0
830,0,0,209,0,0,6,14,CHD death,0
835,0,0,2757,0,0,6,19,T2DM,0
836,0,0,296,0,0,6,20,T2DM death,0
841,0,0,7719,0,0,6,25,Overweight,0
842,0,0,8368,0,0,6,26,Obese,0
955,0,0,7353,779190.3489488685,0,7,3,Steatosis,0
956,0,225.29536734081378,1745,410366.1447179178,225.29536734081378,7,4,NASH,0
957,0,37.781029273283885,155,291603.9474264726,37.781029273283885,7,5,Cirrhosis,0
958,0,1.17688078669284,4,111044.75667345198,1.17688078669284,7,6,HCC,0
959,279.85834223399996,0,57,0,279.85834223399996,7,7,Liver death,0
960,0,0,1069,0,0,7,8,Natural death,0
965,0,112.92808075198323,1804,3.020389430678799e+07,112.92808075198323,7,13,CHD,0
966,515.338225086,0,268,0,515.338225086,7,14,CHD death,0
971,0,88.78528748644393,2864,2.823506376946661e+07,88.78528748644393,7,19,T2DM,0
972,969.214313549,0,388,0,969.214313549,7,20,T2DM death,0
977,0,0,7732,2.3814290807011276e+06,0,7,25,Overweight,0
978,0,85.53524837539975,8344,1.0199419452302935e+07,85.53524837539975,7,26,Obese,0
1091,0,0,7532,774911.4631610168,0,8,3,Steatosis,0
1092,0,243.0510013485528,1939,442707.2938537824,243.0510013485528,8,4,NASH,0
1093,0,40.46699659086462,171,312334.9515184891,40.46699659086462,8,5,Cirrhosis,0
1094,0,1.7139040582905436,6,161715.66505842522,1.7139040582905436,8,6,HCC,0
1095,216.28797508058253,0,70,0,216.28797508058253,8,7,Liver death,0
1096,0,0,1257,0,0,8,8,Natural death,0
1101,0,114.01474581336552,1876,3.0494535185851853e+07,114.01474581336552,8,13,CHD,0
1102,300.32333665825246,0,321,0,300.32333665825246,8,14,CHD death,0
1107,0,90.2925714796767,3000,2.8714402868013017e+07,90.2925714796767,8,19,T2DM,0
1108,976.8804704747579,0,482,0,976.8804704747579,8,20,T2DM death,0
1113,0,0,7752,2.318047583563646e+06,0,8,25,Overweight,0
1114,0,83.04393046154894,8344,9.902348982817907e+06,83.04393046154894,8,26,Obese,0
1227,0,0,7656,764727.0883017728,0,9,3,Steatosis,0
1228,0,259.09440952500955,2129,471929.6948254947,259.09440952500955,9,4,NASH,0
1229,0,45.951282110786934,200,354664.11345993076,45.951282110786934,9,5,Cirrhosis,0
1230,0,0.5546615075373927,2,52335.1666855745,0.5546615075373927,9,6,HCC,0
1231,366.83754816288075,0,93,0,366.83754816288075,9,7,Liver death,0
1232,0,0,1446,0,0,9,8,Natural death,0
1237,0,113.17215024221218,1918,3.0269173456467673e+07,113.17215024221218,9,13,CHD,0
1238,489.82329143368867,0,387,0,489.82329143368867,9,14,CHD death,0
1243,0,92.13348798557382,3153,2.9299842149784733e+07,92.13348798557382,9,19,T2DM,0
1244,806.7625585154118,0,564,0,806.7625585154118,9,20,T2DM death,0
1249,0,0,7708,2.23775771916154e+06,0,9,25,Overweight,0
1250,0,81.20493437513323,8404,9.683062866126109e+06,81.20493437513323,9,26,Obese,0
1363,0,0,7755,752054.1753889209,0,10,3,Steatosis,0
1364,0,275.53305166852533,2332,501871.9980359407,275.53305166852533,10,4,NASH,0
1365,0,52.420151922499606,235,404592.5566169123,52.420151922499606,10,5,Cirrhosis,0
1366,0,1.6155189539924062,6,152432.52432691606,1.6155189539924062,10,6,HCC,0
1367,152.91884364530208,0,101,0,152.91884364530208,10,7,Liver death,0
1368,0,0,1625,0,0,10,8,Natural death,0
1373,0,112.28191505853583,1960,3.0031069973110266e+07,112.28191505853583,10,13,CHD,0
1374,297.0327247372857,0,443,0,297.0327247372857,10,14,CHD death,0
1379,0,92.5139270415728,3261,2.942082752147291e+07,92.5139270415728,10,19,T2DM,0
1380,1086.3313408692202,0,676,0,1086.3313408692202,10,20,T2DM death,0
1385,0,0,7794,2.1968203081335123e+06,0,10,25,Overweight,0
1386,0,78.48325589090723,8366,9.358523673194857e+06,78.48325589090723,10,26,Obese,0
1499,0,0,7850,739094.1361730414,0,11,3,Steatosis,0
1500,0,289.4177627269691,2523,527162.4219573302,289.4177627269691,11,4,NASH,0
1501,0,58.47321222505686,270,451311.67232624115,58.47321222505686,11,5,Cirrhosis,0
1502,0,1.5684650038761223,6,147992.74206496702,1.5684650038761223,11,6,HCC,0
1503,156.1181100519329,0,112,0,156.1181100519329,11,7,Liver death,0
1504,0,0,1799,0,0,11,8,Natural death,0
1509,0,111.18067574897218,1999,2.9736531046289302e+07,111.18067574897218,11,13,CHD,0
1510,352.536683008283,0,498,0,352.536683008283,11,14,CHD death,0
1515,0,94.30893679952484,3424,2.9991667763333943e+07,94.30893679952484,11,19,T2DM,0
1516,721.2373336544565,0,754,0,721.2373336544565,11,20,T2DM death,0
1521,0,0,7892,2.1596530405247924e+06,0,11,25,Overweight,0
1522,0,76.26109165560017,8373,9.09354770646476e+06,76.26109165560017,11,26,Obese,0
1635,0,0,7920,723965.8102146657,0,12,3,Steatosis,0
1636,0,298.9187918371165,2684,544468.151466138,298.9187918371165,12,4,NASH,0
1637,0,62.02660052639982,295,478737.6603244926,62.02660052639982,12,5,Cirrhosis,0
1638,0,3.8069538929032083,15,359205.68462370633,3.8069538929032083,12,6,HCC,0
1639,283.8956474582828,0,131,0,283.8956474582828,12,7,Liver death,0
1640,0,0,1975,0,0,12,8,Natural death,0
1645,0,111.2362938959149,2060,2.975140674966299e+07,111.2362938959149,12,13,CHD,0
1646,362.9198193404298,0,549,0,362.9198193404298,12,14,CHD death,0
1651,0,94.31642435235068,3527,2.9994048918335516e+07,94.31642435235068,12,19,T2DM,0
1652,895.0083304610308,0,853,0,895.0083304610308,12,20,T2DM death,0
1657,0,0,7967,2.116676562459807e+06,0,12,25,Overweight,0
1658,0,74.2874903032915,8401,8.858210948738793e+06,74.2874903032915,12,26,Obese,0
1771,0,0,7990,709091.7455640505,0,13,3,Steatosis,0
1772,0,307.6208393415584,2845,560318.5691986835,307.6208393415584,13,4,NASH,0
1773,0,66.54820395460384,326,513636.5880065317,66.54820395460384,13,5,Cirrhosis,0
1774,0,2.2176430444096367,9,209246.0298778872,2.2176430444096367,13,6,HCC,0
1775,416.61301612924626,0,163,0,416.61301612924626,13,7,Liver death,0
1776,0,0,2133,0,0,13,8,Natural death,0
1781,0,111.4040552968396,2125,2.9796276436533205e+07,111.4040552968396,13,13,CHD,0
1782,262.49034037965,0,598,0,262.49034037965,13,14,CHD death,0
1787,0,95.23004080159473,3668,3.028459276220417e+07,95.23004080159473,13,19,T2DM,0
1788,999.760460116503,0,961,0,999.760460116503,13,20,T2DM death,0
1793,0,0,7992,2.061474344678775e+06,0,13,25,Overweight,0
1794,0,71.96924443952439,8383,8.581777987973087e+06,71.96924443952439,13,26,Obese,0
1907,0,0,8049,693522.1769986764,0,14,3,Steatosis,0
1908,0,311.7831975171947,2970,567900.1315610823,311.7831975171947,14,4,NASH,0
1909,0,69.56465420235246,351,536918.3465075106,69.56465420235246,14,5,Cirrhosis,0
1910,0,4.066875054472904,17,383730.58337908104,4.066875054472904,14,6,HCC,0
1911,429.5543927966102,0,192,0,429.5543927966102,14,7,Liver death,0
1912,0,0,2291,0,0,14,8,Natural death,0
1917,0,111.41677991766029,2189,2.979967978049965e+07,111.41677991766029,14,13,CHD,0
1918,354.65940588412764,0,660,0,354.65940588412764,14,14,CHD death,0
1923,0,95.32985736297053,3782,3.031633593785733e+07,95.32985736297053,14,19,T2DM,0
1924,1204.6907539970894,0,1096,0,1204.6907539970894,14,20,T2DM death,0
1929,0,0,7923,1.984151777127945e+06,0,14,25,Overweight,0
1930,0,70.06475990575976,8406,8.354682878422322e+06,70.06475990575976,14,26,Obese,0
2043,0,0,8090,676752.2724186517,0,15,3,Steatosis,0
2044,0,316.05364175765214,3101,575678.5681968463,316.05364175765214,15,4,NASH,0
2045,0,72.73376839678362,378,561378.4056090416,72.73376839678362,15,5,Cirrhosis,0
2046,0,3.483902102632415,15,328724.0862756263,3.483902102632415,15,6,HCC,0
2047,530.2103910808119,0,234,0,530.2103910808119,15,7,Liver death,0
2048,0,0,2444,0,0,15,8,Natural death,0
2053,0,111.68016721467369,2260,2.987012569641231e+07,111.68016721467369,15,13,CHD,0
2054,240.04957297689194,0,714,0,240.04957297689194,15,14,CHD death,0
2059,0,95.8325130879013,3916,3.047618805805949e+07,95.8325130879013,15,19,T2DM,0
2060,915.3296594476511,0,1204,0,915.3296594476511,15,20,T2DM death,0
2065,0,0,7891,1.918580619202728e+06,0,15,25,Overweight,0
2066,0,68.29917761059319,8440,8.144150790799095e+06,68.29917761059319,15,26,Obese,0
2179,0,0,8102,658015.6385248917,0,16,3,Steatosis,0
2180,0,317.0401869085318,3204,577475.5191725906,317.0401869085318,16,4,NASH,0
2181,0,77.34057665862268,414,596934.966667036,77.34057665862268,16,5,Cirrhosis,0
2182,0,2.93143866240915,13,276596.31854907074,2.93143866240915,16,6,HCC,0
2183,361.04825090094033,0,263,0,361.04825090094033,16,7,Liver death,0
2184,0,0,2623,0,0,16,8,Natural death,0
2189,0,110.25046149124525,2298,2.9487734706741698e+07,110.25046149124525,16,13,CHD,0
2190,314.066300302374,0,770,0,314.066300302374,16,14,CHD death,0
2195,0,95.08457148115721,4002,3.02383313189488e+07,95.08457148115721,16,19,T2DM,0
2196,1052.2345312368675,0,1339,0,1052.2345312368675,16,20,T2DM death,0
2201,0,0,7890,1.862463576608167e+06,0,16,25,Overweight,0
2202,0,66.05846930357065,8408,7.876963586370786e+06,66.05846930357065,16,26,Obese,0
2315,0,0,8150,642634.9785356356,0,17,3,Steatosis,0
2316,0,319.4303908557745,3325,581829.1762871891,319.4303908557745,17,4,NASH,0
2317,0,81.43595262821091,449,628544.158420105,81.43595262821091,17,5,Cirrhosis,0
2318,0,1.970347121858279,9,185912.38737428203,1.970347121858279,17,6,HCC,0
2319,303.809682388321,0,294,0,303.809682388321,17,7,Liver death,0
2320,0,0,2772,0,0,17,8,Natural death,0
2325,0,109.9737803158587,2361,2.9413733192485683e+07,109.9737803158587,17,13,CHD,0
2326,190.88449772611358,0,818,0,190.88449772611358,17,14,CHD death,0
2331,0,95.01398570881928,4119,3.0215883976149045e+07,95.01398570881928,17,19,T2DM,0
2332,996.4776779479145,0,1463,0,996.4776779479145,17,20,T2DM death,0
2337,0,0,7920,1.815092414723786e+06,0,17,25,Overweight,0
2338,0,64.49294222353069,8455,7.69028654203458e+06,64.49294222353069,17,26,Obese,0
2451,0,0,8203,627974.8322028499,0,18,3,Steatosis,0
2452,0,317.96137015178346,3409,579153.4161509918,317.96137015178346,18,4,NASH,0
2453,0,86.45977628916837,491,667319.354302482,86.45977628916837,18,5,Cirrhosis,0
2454,0,3.6133658113905875,17,340939.6532214449,3.6133658113905875,18,6,HCC,0
2455,329.78898351409777,0,324,0,329.78898351409777,18,7,Liver death,0
2456,0,0,2923,0,0,18,8,Natural death,0
2461,0,108.71523415671473,2404,2.9077120766968627e+07,108.71523415671473,18,13,CHD,0
2462,279.4822592540162,0,876,0,279.4822592540162,18,14,CHD death,0
2467,0,95.15798803007016,4249,3.0261678891493306e+07,95.15798803007016,18,19,T2DM,0
2468,878.7174553158544,0,1589,0,878.7174553158544,18,20,T2DM death,0
2473,0,0,7919,1.7620031421254594e+06,0,18,25,Overweight,0
2474,0,62.86629805255594,8489,7.496321755416267e+06,62.86629805255594,18,26,Obese,0
2587,0,0,8221,611022.1450523078,0,19,3,Steatosis,0
2588,0,315.6730574262655,3486,574985.3496604683,315.6730574262655,19,4,NASH,0
2589,0,87.7026580118701,513,676912.2432071952,87.7026580118701,19,5,Cirrhosis,0
2590,0,2.889041768102126,14,272595.9534608926,2.889041768102126,19,6,HCC,0
2591,532.8540054844161,0,372,0,532.8540054844161,19,7,Liver death,0
2592,0,0,3074,0,0,19,8,Natural death,0
2597,0,107.91966688093198,2458,2.8864337287856005e+07,107.91966688093198,19,13,CHD,0
2598,292.4173646832408,0,935,0,292.4173646832408,19,14,CHD death,0
2603,0,93.95189873984687,4321,2.9878124262276385e+07,93.95189873984687,19,19,T2DM,0
2604,1028.1383520553463,0,1738,0,1028.1383520553463,19,20,T2DM death,0
2609,0,0,7924,1.7117627750633454e+06,0,19,25,Overweight,0
2610,0,60.89863232545515,8470,7.261692775276256e+06,60.89863232545515,19,26,Obese,0
2723,0,0,8306,599358.9631105816,0,20,3,Steatosis,0
2724,0,311.13829805531464,3539,566725.4740037085,311.13829805531464,20,4,NASH,0
2725,0,87.47194453387917,527,675131.5357410052,87.47194453387917,20,5,Cirrhosis,0
2726,0,3.405943832020538,17,321368.32238801476,3.405943832020538,20,6,HCC,0
2727,387.55286282896185,0,412,0,387.55286282896185,20,7,Liver death,0
2728,0,0,3242,0,0,20,8,Natural death,0
2733,0,106.9077095346952,2508,2.859367783340575e+07,106.9077095346952,20,13,CHD,0
2734,219.5493458650066,0,990,0,219.5493458650066,20,14,CHD death,0
2739,0,92.27092555253455,4371,2.934354937400578e+07,92.27092555253455,20,19,T2DM,0
2740,964.4243517006005,0,1871,0,964.4243517006005,20,20,T2DM death,0
2745,0,0,7943,1.665890489054609e+06,0,20,25,Overweight,0
2746,0,58.999236645020794,8452,7.035204472279633e+06,58.999236645020794,20,26,Obese,0
2859,0,0,8294,581061.209704584,0,21,3,Steatosis,0
2860,0,311.0384311605735,3644,566543.5706069871,311.0384311605735,21,4,NASH,0
2861,0,89.91976022900016,558,694024.4228062996,89.91976022900016,21,5,Cirrhosis,0
2862,0,2.723198951929612,14,256947.83057865253,2.723198951929612,21,6,HCC,0
2863,369.9178356349055,0,449,0,369.9178356349055,21,7,Liver death,0
2864,0,0,3379,0,0,21,8,Natural death,0
2869,0,107.06331760357068,2587,2.863529697396018e+07,107.06331760357068,21,13,CHD,0
2870,248.45383177715163,0,1043,0,248.45383177715163,21,14,CHD death,0
