Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,5489,0,0,2,3,Steatosis,0
276,0,0,684,0,0,2,4,NASH,0
277,0,0,65,0,0,2,5,Cirrhosis,0
278,0,0,5,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1438,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2001,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7549,0,0,2,25,Overweight,0
298,0,0,8428,0,0,2,26,Obese,0
411,0,0,5653,0,0,3,3,Steatosis,0
412,0,0,754,0,0,3,4,NASH,0
413,0,0,70,0,0,3,5,Cirrhosis,0
414,0,0,6,0,0,3,6,HCC,0
415,0,0,7,0,0,3,7,Liver death,0
416,0,0,177,0,0,3,8,Natural death,0
421,0,0,1440,0,0,3,13,CHD,0
422,0,0,45,0,0,3,14,CHD death,0
427,0,0,2052,0,0,3,19,T2DM,0
428,0,0,89,0,0,3,20,T2DM death,0
433,0,0,7645,0,0,3,25,Overweight,0
434,0,0,8405,0,0,3,26,Obese,0
547,0,0,5764,0,0,4,3,Steatosis,0
548,0,0,834,0,0,4,4,NASH,0
549,0,0,64,0,0,4,5,Cirrhosis,0
550,0,0,2,0,0,4,6,HCC,0
551,0,0,22,0,0,4,7,Liver death,0
552,0,0,355,0,0,4,8,Natural death,0
557,0,0,1454,0,0,4,13,CHD,0
558,0,0,97,0,0,4,14,CHD death,0
563,0,0,2082,0,0,4,19,T2DM,0
564,0,0,171,0,0,4,20,T2DM death,0
569,0,0,7759,0,0,4,25,Overweight,0
570,0,0,8410,0,0,4,26,Obese,0
683,0,0,5921,0,0,5,3,Steatosis,0
684,0,0,906,0,0,5,4,NASH,0
685,0,0,67,0,0,5,5,Cirrhosis,0
686,0,0,2,0,0,5,6,HCC,0
687,0,0,27,0,0,5,7,Liver death,0
688,0,0,527,0,0,5,8,Natural death,0
693,0,0,1448,0,0,5,13,CHD,0
694,0,0,145,0,0,5,14,CHD death,0
699,0,0,2171,0,0,5,19,T2DM,0
700,0,0,230,0,0,5,20,T2DM death,0
705,0,0,7847,0,0,5,25,Overweight,0
706,0,0,8466,0,0,5,26,Obese,0
819,0,0,6046,0,0,6,3,Steatosis,0
820,0,0,988,0,0,6,4,NASH,0
821,0,0,64,0,0,6,5,Cirrhosis,0
822,0,0,7,0,0,6,6,HCC,0
823,0,0,38,0,0,6,7,Liver death,0
824,0,0,669,0,0,6,8,Natural death,0
829,0,0,1467,0,0,6,13,CHD,0
830,0,0,191,0,0,6,14,CHD death,0
835,0,0,2244,0,0,6,19,T2DM,0
836,0,0,309,0,0,6,20,T2DM death,0
841,0,0,7891,0,0,6,25,Overweight,0
842,0,0,8539,0,0,6,26,Obese,0
955,0,0,6142,571313.0462510427,0,7,3,Steatosis,0
956,0,186.95534331332053,1062,325022.02223558316,186.95534331332053,7,4,NASH,0
957,0,15.394736166202911,70,134313.81851378473,15.394736166202911,7,5,Cirrhosis,0
958,0,1.2845425861743291,5,319631.2708607222,1.2845425861743291,7,6,HCC,0
959,86.422422813,0,45,0,86.422422813,7,7,Liver death,0
960,0,0,836,0,0,7,8,Natural death,0
965,0,99.9094674374402,1471,2.3769694420064732e+07,99.9094674374402,7,13,CHD,0
966,390.423910032,0,241,0,390.423910032,7,14,CHD death,0
971,0,63.38842461907732,2316,1.6329801621292256e+07,63.38842461907732,7,19,T2DM,0
972,808.0579314429995,0,384,0,808.0579314429995,7,20,T2DM death,0
977,0,0,7971,1.349708694084572e+06,0,7,25,Overweight,0
978,0,88.8378506544197,8574,6.109055412193461e+06,88.8378506544197,7,26,Obese,0
1091,0,0,6220,561716.8987177059,0,8,3,Steatosis,0
1092,0,196.37950877352276,1149,341405.94184692646,196.37950877352276,8,4,NASH,0
1093,0,15.586903469248439,73,135990.41264225083,15.586903469248439,8,5,Cirrhosis,0
1094,0,0.9977029795528771,4,248257.29775590068,0.9977029795528771,8,6,HCC,0
1095,190.0966385262136,0,56,0,190.0966385262136,8,7,Liver death,0
1096,0,0,998,0,0,8,8,Natural death,0
1101,0,96.53789465485872,1464,2.296755567573338e+07,96.53789465485872,8,13,CHD,0
1102,440.4485909029125,0,308,0,440.4485909029125,8,14,CHD death,0
1107,0,62.8442176099273,2365,1.6189605796047237e+07,62.8442176099273,8,19,T2DM,0
1108,957.7439064155343,0,477,0,957.7439064155343,8,20,T2DM death,0
1113,0,0,8012,1.3171370072100759e+06,0,8,25,Overweight,0
1114,0,86.18998331000094,8568,5.9269712193397675e+06,86.18998331000094,8,26,Obese,0
1227,0,0,6327,554737.7420452328,0,9,3,Steatosis,0
1228,0,201.77738571202372,1216,350790.15546305274,201.77738571202372,9,4,NASH,0
1229,0,16.791317741842324,81,146498.51607956292,16.791317741842324,9,5,Cirrhosis,0
1230,0,1.4529655042032192,6,361539.7540134476,1.4529655042032192,9,6,HCC,0
1231,154.20012610330855,0,67,0,154.20012610330855,9,7,Liver death,0
1232,0,0,1164,0,0,9,8,Natural death,0
1237,0,95.39064607919292,1490,2.2694611091333862e+07,95.39064607919292,9,13,CHD,0
1238,249.09736148081822,0,348,0,249.09736148081822,9,14,CHD death,0
1243,0,62.71651430026327,2431,1.6156707522811208e+07,62.71651430026327,9,19,T2DM,0
1244,641.5944463219911,0,545,0,641.5944463219911,9,20,T2DM death,0
1249,0,0,8074,1.2886694468267022e+06,0,9,25,Overweight,0
1250,0,84.19722132881616,8621,5.789936236202311e+06,84.19722132881616,9,26,Obese,0
1363,0,0,6434,547688.613342861,0,10,3,Steatosis,0
1364,0,210.72178438882545,1308,366340.0001163147,210.72178438882545,10,4,NASH,0
1365,0,16.9060372805316,84,147499.40489851712,16.9060372805316,10,5,Cirrhosis,0
1366,0,1.4106461205856495,6,351009.46991596854,1.4106461205856495,10,6,HCC,0
1367,143.2791910358214,0,76,0,143.2791910358214,10,7,Liver death,0
1368,0,0,1354,0,0,10,8,Natural death,0
1373,0,91.92856294463512,1479,2.1870938818063404e+07,91.92856294463512,10,13,CHD,0
1374,290.346666617554,0,399,0,290.346666617554,10,14,CHD death,0
1379,0,63.068928847075476,2518,1.6247494755221492e+07,63.068928847075476,10,19,T2DM,0
1380,627.4255040581957,0,615,0,627.4255040581957,10,20,T2DM death,0
1385,0,0,8045,1.2466415871296513e+06,0,10,25,Overweight,0
1386,0,82.56033259381479,8707,5.677373359995405e+06,82.56033259381479,10,26,Obese,0
1499,0,0,6553,541571.2466895112,0,11,3,Steatosis,0
1500,0,213.96885561883064,1368,371985.0361918644,213.96885561883064,11,4,NASH,0
1501,0,16.804429104550593,86,146612.90824401844,16.804429104550593,11,5,Cirrhosis,0
1502,0,0.6847796701872085,3,170392.9465611498,0.6847796701872085,11,6,HCC,0
1503,148.6191511623974,0,85,0,148.6191511623974,11,7,Liver death,0
1504,0,0,1529,0,0,11,8,Natural death,0
1509,0,92.0872716762899,1526,2.190869758257439e+07,92.0872716762899,11,13,CHD,0
1510,229.70329821141067,0,436,0,229.70329821141067,11,14,CHD death,0
1515,0,62.95852648699325,2589,1.6219053464094704e+07,62.95852648699325,11,19,T2DM,0
1516,649.2942939691428,0,690,0,649.2942939691428,11,20,T2DM death,0
1521,0,0,8101,1.2187565692178032e+06,0,11,25,Overweight,0
1522,0,80.6527806389984,8761,5.54619796000846e+06,80.6527806389984,11,26,Obese,0
1635,0,0,6665,534783.9437929778,0,12,3,Steatosis,0
1636,0,216.08874236757595,1423,375670.4610947905,216.08874236757595,12,4,NASH,0
1637,0,17.263525045316186,91,150618.36362842255,17.263525045316186,12,5,Cirrhosis,0
1638,0,0.4432230874998114,2,110286.6968033332,0.4432230874998114,12,6,HCC,0
1639,142.23584357181895,0,96,0,142.23584357181895,12,7,Liver death,0
1640,0,0,1661,0,0,12,8,Natural death,0
1645,0,88.9950029115315,1519,2.1173008708552983e+07,88.9950029115315,12,13,CHD,0
1646,199.51189617231645,0,478,0,199.51189617231645,12,14,CHD death,0
1651,0,62.659395161940616,2654,1.6141992782649802e+07,62.659395161940616,12,19,T2DM,0
1652,791.5063205998583,0,787,0,791.5063205998583,12,20,T2DM death,0
1657,0,0,8100,1.1831127417645222e+06,0,12,25,Overweight,0
1658,0,78.81312255158042,8818,5.419691373989049e+06,78.81312255158042,12,26,Obese,0
1771,0,0,6745,525439.7629820609,0,13,3,Steatosis,0
1772,0,222.91629093448032,1512,387540.1600443091,222.91629093448032,13,4,NASH,0
1773,0,17.497438166062484,95,152659.17576763176,17.497438166062484,13,5,Cirrhosis,0
1774,0,0.4303136771842829,2,107074.46291585747,0.4303136771842829,13,6,HCC,0
1775,147.9702832083694,0,107,0,147.9702832083694,13,7,Liver death,0
1776,0,0,1831,0,0,13,8,Natural death,0
1781,0,88.10935880782309,1549,2.096230305422486e+07,88.10935880782309,13,13,CHD,0
1782,208.64108641991066,0,515,0,208.64108641991066,13,14,CHD death,0
1787,0,62.14090483827613,2711,1.600842195834071e+07,62.14090483827613,13,19,T2DM,0
1788,729.7181248542058,0,869,0,729.7181248542058,13,20,T2DM death,0
1793,0,0,8070,1.1443988764280134e+06,0,13,25,Overweight,0
1794,0,77.17707953652263,8894,5.307186654863678e+06,77.17707953652263,13,26,Obese,0
1907,0,0,6835,516942.54355709115,0,14,3,Steatosis,0
1908,0,222.7216242192216,1556,387201.73179543804,222.7216242192216,14,4,NASH,0
1909,0,17.166623034665278,96,149772.9266601193,17.166623034665278,14,5,Cirrhosis,0
1910,0,1.253340807332863,6,311867.36771608976,1.253340807332863,14,6,HCC,0
1911,144.85281280325148,0,116,0,144.85281280325148,14,7,Liver death,0
1912,0,0,2008,0,0,14,8,Natural death,0
1917,0,85.43261739531427,1547,2.0325473261726093e+07,85.43261739531427,14,13,CHD,0
1918,265.8537519691473,0,567,0,265.8537519691473,14,14,CHD death,0
1923,0,61.22114120111611,2751,1.5771477156137185e+07,61.22114120111611,14,19,T2DM,0
1924,986.385210111701,0,975,0,986.385210111701,14,20,T2DM death,0
1929,0,0,8092,1.1140958010675784e+06,0,14,25,Overweight,0
1930,0,75.30831453700573,8939,5.178678492517809e+06,75.30831453700573,14,26,Obese,0
2043,0,0,6904,506952.55299595266,0,15,3,Steatosis,0
2044,0,227.90791906027704,1640,396218.10975647916,227.90791906027704,15,4,NASH,0
2045,0,16.493013635651277,95,143895.91457030026,16.493013635651277,15,5,Cirrhosis,0
2046,0,1.01402977939552,5,252319.87679295283,1.01402977939552,15,6,HCC,0
2047,160.1059984435647,0,129,0,160.1059984435647,15,7,Liver death,0
2048,0,0,2160,0,0,15,8,Natural death,0
2053,0,82.40812655663062,1537,1.9605909592178244e+07,82.40812655663062,15,13,CHD,0
2054,287.33934126489885,0,628,0,287.33934126489885,15,14,CHD death,0
2059,0,60.73435887967431,2811,1.5646074785126682e+07,60.73435887967431,15,19,T2DM,0
2060,752.4627399210991,0,1071,0,752.4627399210991,15,20,T2DM death,0
2065,0,0,8151,1.0895328569152898e+06,0,15,25,Overweight,0
2066,0,72.89402706302508,8912,5.012656736577627e+06,72.89402706302508,15,26,Obese,0
2179,0,0,6914,492899.8457927794,0,16,3,Steatosis,0
2180,0,230.8491886763883,1711,401331.50946798734,230.8491886763883,16,4,NASH,0
2181,0,17.698175081690223,105,154410.5368408951,17.698175081690223,16,5,Cirrhosis,0
2182,0,0.9844949314519612,5,244970.75416791538,0.9844949314519612,16,6,HCC,0
2183,68.1673917308527,0,137,0,68.1673917308527,16,7,Liver death,0
2184,0,0,2338,0,0,16,8,Natural death,0
2189,0,79.90378070028623,1535,1.9010094828529853e+07,79.90378070028623,16,13,CHD,0
2190,247.16187489963326,0,682,0,247.16187489963326,16,14,CHD death,0
2195,0,60.077160058233396,2864,1.5476770587326426e+07,60.077160058233396,16,19,T2DM,0
2196,870.6847373303119,0,1187,0,870.6847373303119,16,20,T2DM death,0
2201,0,0,8172,1.0605241725906099e+06,0,16,25,Overweight,0
2202,0,70.68354818723522,8901,4.860650155596021e+06,70.68354818723522,16,26,Obese,0
2315,0,0,6935,479997.027358609,0,17,3,Steatosis,0
2316,0,231.06794347547373,1764,401711.81487097096,231.06794347547373,17,4,NASH,0
2317,0,18.000917789976178,110,157051.8636384507,18.000917789976178,17,5,Cirrhosis,0
2318,0,0.9558203217980205,5,237835.68365817028,0.9558203217980205,17,6,HCC,0
2319,136.43073396090455,0,148,0,136.43073396090455,17,7,Liver death,0
2320,0,0,2523,0,0,17,8,Natural death,0
2325,0,77.17217869728212,1527,1.8360213024992336e+07,77.17217869728212,17,13,CHD,0
2326,217.37986500512378,0,729,0,217.37986500512378,17,14,CHD death,0
2331,0,58.673556614337585,2881,1.5115181449695973e+07,58.673556614337585,17,19,T2DM,0
2332,771.6742205449744,0,1289,0,771.6742205449744,17,20,T2DM death,0
2337,0,0,8143,1.0259812498996963e+06,0,17,25,Overweight,0
2338,0,68.76358021101522,8919,4.728620951040378e+06,68.76358021101522,17,26,Obese,0
2451,0,0,6977,468838.8377347464,0,18,3,Steatosis,0
2452,0,230.56941501058142,1813,400845.1227137234,230.56941501058142,18,4,NASH,0
2453,0,18.588767708978054,117,162180.6535366171,18.588767708978054,18,5,Cirrhosis,0
2454,0,0.9279808949495344,5,230908.43073608764,0.9279808949495344,18,6,HCC,0
2455,195.88239965049678,0,165,0,195.88239965049678,18,7,Liver death,0
2456,0,0,2686,0,0,18,8,Natural death,0
2461,0,75.31697681241108,1535,1.791883761761623e+07,75.31697681241108,18,13,CHD,0
2462,221.78567002433502,0,784,0,221.78567002433502,18,14,CHD death,0
2467,0,57.36006838853144,2901,1.4776807333472835e+07,57.36006838853144,18,19,T2DM,0
2468,868.8733661549176,0,1408,0,868.8733661549176,18,20,T2DM death,0
2473,0,0,8188,1.0016029580685132e+06,0,18,25,Overweight,0
2474,0,66.92543252450065,8941,4.602218229790938e+06,66.92543252450065,18,26,Obese,0
2587,0,0,7064,460859.2657091297,0,19,3,Steatosis,0
2588,0,224.47115840249882,1818,390243.29845055833,224.47115840249882,19,4,NASH,0
2589,0,18.664350616432976,121,162840.08860617972,18.664350616432976,19,5,Cirrhosis,0
2590,0,0.7207618601549782,4,179346.3539697768,0.7207618601549782,19,6,HCC,0
2591,137.3350849328812,0,177,0,137.3350849328812,19,7,Liver death,0
2592,0,0,2862,0,0,19,8,Natural death,0
2597,0,73.74256355308718,1548,1.7544265287037518e+07,73.74256355308718,19,13,CHD,0
2598,213.62256432824947,0,831,0,213.62256432824947,19,14,CHD death,0
2603,0,56.51484132884826,2944,1.455906426299077e+07,56.51484132884826,19,19,T2DM,0
2604,693.2053295838722,0,1507,0,693.2053295838722,19,20,T2DM death,0
2609,0,0,8173,970648.6139193337,0,19,25,Overweight,0
2610,0,65.274103799686,8982,4.488662368078435e+06,65.274103799686,19,26,Obese,0
2723,0,0,7097,449526.411606732,0,20,3,Steatosis,0
2724,0,225.84492850904343,1884,392631.5989409237,225.84492850904343,20,4,NASH,0
2725,0,18.86951919819111,126,164630.11445381204,18.86951919819111,20,5,Cirrhosis,0
2726,0,0.8747109953337115,5,217653.34219633107,0.8747109953337115,20,6,HCC,0
2727,107.35560033446916,0,187,0,107.35560033446916,20,7,Liver death,0
2728,0,0,3055,0,0,20,8,Natural death,0
2733,0,71.27097315377695,1541,1.6956243450568058e+07,71.27097315377695,20,13,CHD,0
2734,214.46891220137314,0,886,0,214.46891220137314,20,14,CHD death,0
2739,0,55.14834037702516,2959,1.4207033279531099e+07,55.14834037702516,20,19,T2DM,0
2740,818.142877814584,0,1622,0,818.142877814584,20,20,T2DM death,0
2745,0,0,8161,940993.6504396969,0,20,25,Overweight,0
2746,0,63.514027235119435,9002,4.367628313524151e+06,63.514027235119435,20,26,Obese,0
2859,0,0,7129,438401.26463188964,0,21,3,Steatosis,0
2860,0,224.6205718170706,1930,390503.05379795714,224.6205718170706,21,4,NASH,0
2861,0,18.756110160014305,129,163640.65930452922,18.756110160014305,21,5,Cirrhosis,0
2862,0,1.0190807712625765,6,253576.70935494883,1.0190807712625765,21,6,HCC,0
2863,132.80375902741358,0,200,0,132.80375902741358,21,7,Liver death,0
2864,0,0,3210,0,0,21,8,Natural death,0
2869,0,71.30554826219169,1588,1.6964469295252465e+07,71.30554826219169,21,13,CHD,0
2870,148.7496919044271,0,926,0,148.7496919044271,21,14,CHD death,0
