Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,6863,0,0,2,3,Steatosis,0
276,0,0,823,0,0,2,4,NASH,0
277,0,0,67,0,0,2,5,Cirrhosis,0
278,0,0,3,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1449,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2135,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7527,0,0,2,25,Overweight,0
298,0,0,8369,0,0,2,26,Obese,0
411,0,0,6943,0,0,3,3,Steatosis,0
412,0,0,915,0,0,3,4,NASH,0
413,0,0,68,0,0,3,5,Cirrhosis,0
414,0,0,2,0,0,3,6,HCC,0
415,0,0,11,0,0,3,7,Liver death,0
416,0,0,237,0,0,3,8,Natural death,0
421,0,0,1460,0,0,3,13,CHD,0
422,0,0,37,0,0,3,14,CHD death,0
427,0,0,2250,0,0,3,19,T2DM,0
428,0,0,81,0,0,3,20,T2DM death,0
433,0,0,8162,0,0,3,25,Overweight,0
434,0,0,8337,0,0,3,26,Obese,0
547,0,0,7058,0,0,4,3,Steatosis,0
548,0,0,1009,0,0,4,4,NASH,0
549,0,0,71,0,0,4,5,Cirrhosis,0
550,0,0,2,0,0,4,6,HCC,0
551,0,0,19,0,0,4,7,Liver death,0
552,0,0,453,0,0,4,8,Natural death,0
557,0,0,1465,0,0,4,13,CHD,0
558,0,0,87,0,0,4,14,CHD death,0
563,0,0,2405,0,0,4,19,T2DM,0
564,0,0,183,0,0,4,20,T2DM death,0
569,0,0,8598,0,0,4,25,Overweight,0
570,0,0,8313,0,0,4,26,Obese,0
683,0,0,7179,0,0,5,3,Steatosis,0
684,0,0,1096,0,0,5,4,NASH,0
685,0,0,84,0,0,5,5,Cirrhosis,0
686,0,0,2,0,0,5,6,HCC,0
687,0,0,26,0,0,5,7,Liver death,0
688,0,0,658,0,0,5,8,Natural death,0
693,0,0,1465,0,0,5,13,CHD,0
694,0,0,140,0,0,5,14,CHD death,0
699,0,0,2510,0,0,5,19,T2DM,0
700,0,0,280,0,0,5,20,T2DM death,0
705,0,0,8918,0,0,5,25,Overweight,0
706,0,0,8312,0,0,5,26,Obese,0
819,0,0,7306,0,0,6,3,Steatosis,0
820,0,0,1173,0,0,6,4,NASH,0
821,0,0,86,0,0,6,5,Cirrhosis,0
822,0,0,4,0,0,6,6,HCC,0
823,0,0,29,0,0,6,7,Liver death,0
824,0,0,850,0,0,6,8,Natural death,0
829,0,0,1497,0,0,6,13,CHD,0
830,0,0,186,0,0,6,14,CHD death,0
835,0,0,2611,0,0,6,19,T2DM,0
836,0,0,380,0,0,6,20,T2DM death,0
841,0,0,9236,0,0,6,25,Overweight,0
842,0,0,8332,0,0,6,26,Obese,0
955,0,0,7401,822834.5204051613,0,7,3,Steatosis,0
956,0,164.57473516941954,1237,160973.77678622908,164.57473516941954,7,4,NASH,0
957,0,20.46694034318752,89,228851.1456622864,20.46694034318752,7,5,Cirrhosis,0
958,0,0.8098005765923413,3,184802.74551164193,0.8098005765923413,7,6,HCC,0
959,298.31936082900006,0,45,0,298.31936082900006,7,7,Liver death,0
960,0,0,1011,0,0,7,8,Natural death,0
965,0,93.04526585546058,1545,1.3560713219185898e+07,93.04526585546058,7,13,CHD,0
966,285.3173017460001,0,222,0,285.3173017460001,7,14,CHD death,0
971,0,103.87234203043965,2725,1.87493411419677e+07,103.87234203043965,7,19,T2DM,0
972,842.2533351899996,0,468,0,842.2533351899996,7,20,T2DM death,0
977,0,0,9487,2.6875896603315175e+06,0,7,25,Overweight,0
978,0,121.71338910574825,8384,9.646590026032178e+06,121.71338910574825,7,26,Obese,0
1091,0,0,7457,804913.1406619907,0,8,3,Steatosis,0
1092,0,171.79395638941898,1330,168035.03867459565,171.79395638941898,8,4,NASH,0
1093,0,20.76388624322504,93,232171.44700111885,20.76388624322504,8,5,Cirrhosis,0
1094,0,0.7862141520313992,3,179420.14127343878,0.7862141520313992,8,6,HCC,0
1095,125.11889091262137,0,51,0,125.11889091262137,8,7,Liver death,0
1096,0,0,1199,0,0,8,8,Natural death,0
1101,0,89.98439322056868,1539,1.311461189828044e+07,89.98439322056868,8,13,CHD,0
1102,394.2832417087378,0,279,0,394.2832417087378,8,14,CHD death,0
1107,0,104.99183551807235,2837,1.8951413848672032e+07,104.99183551807235,8,19,T2DM,0
1108,1153.1594371572821,0,581,0,1153.1594371572821,8,20,T2DM death,0
1113,0,0,9548,2.6260878275786536e+06,0,8,25,Overweight,0
1114,0,119.12676535076788,8452,9.441583008321902e+06,119.12676535076788,8,26,Obese,0
1227,0,0,7520,788071.2613520203,0,9,3,Steatosis,0
1228,0,177.0735575019021,1412,173199.12008798184,177.0735575019021,9,4,NASH,0
1229,0,20.80940682064514,96,232680.43545367455,20.80940682064514,9,5,Cirrhosis,0
1230,0,0.508876473806731,2,116129.54127730665,0.508876473806731,9,6,HCC,0
1231,226.26092668300498,0,64,0,226.26092668300498,9,7,Liver death,0
1232,0,0,1382,0,0,9,8,Natural death,0
1237,0,88.55558294951841,1560,1.2906372541315474e+07,88.55558294951841,9,13,CHD,0
1238,291.79545233952314,0,328,0,291.79545233952314,9,14,CHD death,0
1243,0,105.38311479531079,2933,1.902204120247151e+07,105.38311479531079,9,19,T2DM,0
1244,1115.798755772457,0,686,0,1115.798755772457,9,20,T2DM death,0
1249,0,0,9692,2.5880521132770916e+06,0,9,25,Overweight,0
1250,0,115.5475818467497,8444,9.157909074464018e+06,115.5475818467497,9,26,Obese,0
1363,0,0,7551,768271.8052145469,0,10,3,Steatosis,0
1364,0,182.75214514312225,1501,178753.45805168911,182.75214514312225,10,4,NASH,0
1365,0,21.466014317413162,102,240022.2938539119,21.466014317413162,10,5,Cirrhosis,0
1366,0,0.4940548289385737,2,112747.12745369578,0.4940548289385737,10,6,HCC,0
1367,158.88795149291636,0,74,0,158.88795149291636,10,7,Liver death,0
1368,0,0,1558,0,0,10,8,Natural death,0
1373,0,87.96036245172174,1596,1.281962321131408e+07,87.96036245172174,10,13,CHD,0
1374,238.45450623806315,0,369,0,238.45450623806315,10,14,CHD death,0
1379,0,106.63927451903704,3057,1.9248782669243142e+07,106.63927451903704,10,19,T2DM,0
1380,1053.320146678905,0,799,0,1053.320146678905,10,20,T2DM death,0
1385,0,0,9828,2.547930248677555e+06,0,10,25,Overweight,0
1386,0,112.50096846823642,8468,8.916444840771219e+06,112.50096846823642,10,26,Obese,0
1499,0,0,7579,748660.8231302515,0,11,3,Steatosis,0
1500,0,185.46736850485857,1569,181409.2712839323,185.46736850485857,11,4,NASH,0
1501,0,21.45375502882521,105,239885.21658728967,21.45375502882521,11,5,Cirrhosis,0
1502,0,0.9593297649292694,4,218926.46107513743,0.9593297649292694,11,6,HCC,0
1503,192.43522438975842,0,86,0,192.43522438975842,11,7,Liver death,0
1504,0,0,1750,0,0,11,8,Natural death,0
1509,0,86.89662786918345,1624,1.266459114726948e+07,86.89662786918345,11,13,CHD,0
1510,271.16699580343584,0,417,0,271.16699580343584,11,14,CHD death,0
1515,0,106.41202287247474,3142,1.9207762908225562e+07,106.41202287247474,11,19,T2DM,0
1516,1036.0867337200148,0,910,0,1036.0867337200148,11,20,T2DM death,0
1521,0,0,9929,2.499140501985415e+06,0,11,25,Overweight,0
1522,0,109.68858613970676,8504,8.693544964932438e+06,109.68858613970676,11,26,Obese,0
1635,0,0,7649,733568.4365617869,0,12,3,Steatosis,0
1636,0,187.63985935351428,1635,183534.22719885185,187.63985935351428,12,4,NASH,0
1637,0,21.225629108500204,107,237334.4260271846,21.225629108500204,12,5,Cirrhosis,0
1638,0,1.3970821819358292,6,318824.94331330695,1.3970821819358292,12,6,HCC,0
1639,246.82466783601387,0,100,0,246.82466783601387,12,7,Liver death,0
1640,0,0,1934,0,0,12,8,Natural death,0
1645,0,84.41760742229808,1625,1.2303290816343524e+07,84.41760742229808,12,13,CHD,0
1646,295.3198558923383,0,467,0,295.3198558923383,12,14,CHD death,0
1651,0,105.61432563094219,3212,1.9063775611732688e+07,105.61432563094219,12,19,T2DM,0
1652,1139.4204628155721,0,1038,0,1139.4204628155721,12,20,T2DM death,0
1657,0,0,9959,2.433681102749215e+06,0,12,25,Overweight,0
1658,0,106.75675145916159,8525,8.461177701189045e+06,106.75675145916159,12,26,Obese,0
1771,0,0,7674,714530.1285878052,0,13,3,Steatosis,0
1772,0,190.30841113732131,1708,186144.39004520985,190.30841113732131,13,4,NASH,0
1773,0,21.95555501650513,114,245496.0944297168,21.95555501650513,13,5,Cirrhosis,0
1774,0,2.034585701848295,9,464308.16987374786,2.034585701848295,13,6,HCC,0
1775,196.58142030490131,0,115,0,196.58142030490131,13,7,Liver death,0
1776,0,0,2116,0,0,13,8,Natural death,0
1781,0,81.7066611047795,1620,1.190818887078447e+07,81.7066611047795,13,13,CHD,0
1782,297.8415114420096,0,517,0,297.8415114420096,13,14,CHD death,0
1787,0,105.79437399223652,3314,1.909627500552552e+07,105.79437399223652,13,19,T2DM,0
1788,1080.4887630385851,0,1166,0,1080.4887630385851,13,20,T2DM death,0
1793,0,0,10013,2.375608819638598e+06,0,13,25,Overweight,0
1794,0,103.65948955848546,8526,8.2156992375766765e+06,103.65948955848546,13,26,Obese,0
1907,0,0,7728,698600.0938394567,0,14,3,Steatosis,0
1908,0,191.14786071238902,1767,186965.4721413123,191.14786071238902,14,4,NASH,0
1909,0,22.99892068668135,123,257162.49033261102,22.99892068668135,14,5,Cirrhosis,0
1910,0,1.7558452658884962,8,400697.44972923235,1.7558452658884962,14,6,HCC,0
1911,187.38724435971716,0,130,0,187.38724435971716,14,7,Liver death,0
1912,0,0,2268,0,0,14,8,Natural death,0
1917,0,81.5303792037965,1665,1.1882496985411158e+07,81.5303792037965,14,13,CHD,0
1918,195.11339168923817,0,555,0,195.11339168923817,14,14,CHD death,0
1923,0,105.03750885027617,3389,1.8959658053717833e+07,105.03750885027617,14,19,T2DM,0
1924,1253.243907316898,0,1302,0,1253.243907316898,14,20,T2DM death,0
1929,0,0,10055,2.3160907016483536e+06,0,14,25,Overweight,0
1930,0,101.27769317974071,8580,8.0269261423545135e+06,101.27769317974071,14,26,Obese,0
2043,0,0,7734,678779.1118606562,0,15,3,Steatosis,0
2044,0,194.40260777612167,1851,190149.0040898556,194.40260777612167,15,4,NASH,0
2045,0,23.055197152170965,127,257791.7457750534,23.055197152170965,15,5,Cirrhosis,0
2046,0,1.491616123934402,7,340398.3189447362,1.491616123934402,15,6,HCC,0
2047,182.2520677723175,0,143,0,182.2520677723175,15,7,Liver death,0
2048,0,0,2438,0,0,15,8,Natural death,0
2053,0,80.67701886868413,1697,1.1758125533830129e+07,80.67701886868413,15,13,CHD,0
2054,222.38289302303204,0,599,0,222.38289302303204,15,14,CHD death,0
2059,0,103.87389256249868,3452,1.8749621018726118e+07,103.87389256249868,15,19,T2DM,0
2060,1064.0754808248007,0,1428,0,1064.0754808248007,15,20,T2DM death,0
2065,0,0,9995,2.2352137576311273e+06,0,15,25,Overweight,0
2066,0,99.3363483017445,8668,7.873061737833143e+06,99.3363483017445,15,26,Obese,0
2179,0,0,7737,659264.4744134214,0,16,3,Steatosis,0
2180,0,195.47019931856292,1917,191193.23631951844,195.47019931856292,16,4,NASH,0
2181,0,24.14618155987618,137,269990.5907131134,24.14618155987618,16,5,Cirrhosis,0
2182,0,1.0344078529364784,5,236059.8605719391,1.0344078529364784,16,6,HCC,0
2183,187.83239395121825,0,160,0,187.83239395121825,16,7,Liver death,0
2184,0,0,2601,0,0,16,8,Natural death,0
2189,0,77.81948373348443,1686,1.134165926737475e+07,77.81948373348443,16,13,CHD,0
2190,320.26513484407053,0,660,0,320.26513484407053,16,14,CHD death,0
2195,0,103.27324252957426,3535,1.8641201470710438e+07,103.27324252957426,16,19,T2DM,0
2196,1004.5040429689922,0,1559,0,1004.5040429689922,16,20,T2DM death,0
2201,0,0,10064,2.185091696993849e+06,0,16,25,Overweight,0
2202,0,96.49868826989305,8673,7.648158437037335e+06,96.49868826989305,16,26,Obese,0
2315,0,0,7826,647425.343201325,0,17,3,Steatosis,0
2316,0,194.62773643095903,1966,190369.2068432939,194.62773643095903,17,4,NASH,0
2317,0,23.10066267864293,135,258300.11867529125,23.10066267864293,17,5,Cirrhosis,0
2318,0,1.807703043966661,9,412531.7951742625,1.807703043966661,17,6,HCC,0
2319,153.59154156654992,0,170,0,153.59154156654992,17,7,Liver death,0
2320,0,0,2743,0,0,17,8,Natural death,0
2325,0,76.8972544234434,1716,1.1207250632170955e+07,76.8972544234434,17,13,CHD,0
2326,259.1393454739823,0,713,0,259.1393454739823,17,14,CHD death,0
2331,0,102.7329161758465,3622,1.8543670569452863e+07,102.7329161758465,17,19,T2DM,0
2332,1010.5131982986718,0,1690,0,1010.5131982986718,17,20,T2DM death,0
2337,0,0,10162,2.1421062312708963e+06,0,17,25,Overweight,0
2338,0,93.69884912925049,8674,7.426252691690684e+06,93.69884912925049,17,26,Obese,0
2451,0,0,7877,632664.5099354094,0,18,3,Steatosis,0
2452,0,194.14909164068067,2020,189901.03498477783,194.14909164068067,18,4,NASH,0
2453,0,23.590752250034466,142,263780.0564681151,23.590752250034466,18,5,Cirrhosis,0
2454,0,1.5600457768860077,8,356014.49421727075,1.5600457768860077,18,6,HCC,0
2455,351.06974036379336,0,197,0,351.06974036379336,18,7,Liver death,0
2456,0,0,2900,0,0,18,8,Natural death,0
2461,0,76.78935776210984,1765,1.1191525429301824e+07,76.78935776210984,18,13,CHD,0
2462,257.0090199229201,0,768,0,257.0090199229201,18,14,CHD death,0
2467,0,102.35675441494824,3717,1.847577198314923e+07,102.35675441494824,18,19,T2DM,0
2468,1046.6002034011747,0,1823,0,1046.6002034011747,18,20,T2DM death,0
2473,0,0,10184,2.0842172207579329e+06,0,18,25,Overweight,0
2474,0,91.05365752579924,8682,7.216603785136715e+06,91.05365752579924,18,26,Obese,0
2587,0,0,7967,621255.4617850456,0,19,3,Steatosis,0
2588,0,193.7198472777374,2076,189481.18265325966,193.7198472777374,19,4,NASH,0
2589,0,22.419763180328047,139,250686.63919778384,22.419763180328047,19,5,Cirrhosis,0
2590,0,2.2719113255621473,12,518467.71002515155,2.2719113255621473,19,6,HCC,0
2591,135.21795174747234,0,211,0,135.21795174747234,19,7,Liver death,0
2592,0,0,3078,0,0,19,8,Natural death,0
2597,0,74.42605592939388,1762,1.0847090297549406e+07,74.42605592939388,19,13,CHD,0
2598,231.65158804895233,0,815,0,231.65158804895233,19,14,CHD death,0
2603,0,101.72820511082071,3805,1.836231651370618e+07,101.72820511082071,19,19,T2DM,0
2604,915.6677001519181,0,1950,0,915.6677001519181,19,20,T2DM death,0
2609,0,0,10203,2.027287073516949e+06,0,19,25,Overweight,0
2610,0,88.90053563089953,8731,7.045954653196957e+06,88.90053563089953,19,26,Obese,0
2723,0,0,7986,604599.0826010158,0,20,3,Steatosis,0
2724,0,192.51673095440253,2125,188304.3909769556,192.51673095440253,20,4,NASH,0
2725,0,22.706332759290145,145,253890.91767603983,22.706332759290145,20,5,Cirrhosis,0
2726,0,2.2057391510312114,12,503366.7087622832,2.2057391510312114,20,6,HCC,0
2727,200.88209084873003,0,229,0,200.88209084873003,20,7,Liver death,0
2728,0,0,3249,0,0,20,8,Natural death,0
2733,0,73.44757511297985,1791,1.0704483388751836e+07,73.44757511297985,20,13,CHD,0
2734,309.73158442916605,0,884,0,309.73158442916605,20,14,CHD death,0
2739,0,101.02348067600067,3892,1.823511115199421e+07,101.02348067600067,20,19,T2DM,0
2740,982.7828043653576,0,2086,0,982.7828043653576,20,20,T2DM death,0
2745,0,0,10181,1.9639959021640536e+06,0,20,25,Overweight,0
2746,0,86.63742454006511,8764,6.866588150982722e+06,86.63742454006511,20,26,Obese,0
2859,0,0,7960,585078.3406768906,0,21,3,Steatosis,0
2860,0,194.2978680426289,2209,190046.55610191406,194.2978680426289,21,4,NASH,0
2861,0,22.197017628767046,146,248196.00924473946,22.197017628767046,21,5,Cirrhosis,0
2862,0,2.141494321389525,12,488705.54248765367,2.141494321389525,21,6,HCC,0
2863,199.48690578134358,0,246,0,199.48690578134358,21,7,Liver death,0
2864,0,0,3380,0,0,21,8,Natural death,0
2869,0,73.25925105998243,1840,1.0677036441812344e+07,73.25925105998243,21,13,CHD,0
