Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,7172,0,0,2,3,Steatosis,0
276,0,0,679,0,0,2,4,NASH,0
277,0,0,64,0,0,2,5,Cirrhosis,0
278,0,0,6,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1541,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2088,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7522,0,0,2,25,Overweight,0
298,0,0,8410,0,0,2,26,Obese,0
411,0,0,7390,0,0,3,3,Steatosis,0
412,0,0,822,0,0,3,4,NASH,0
413,0,0,71,0,0,3,5,Cirrhosis,0
414,0,0,9,0,0,3,6,HCC,0
415,0,0,9,0,0,3,7,Liver death,0
416,0,0,280,0,0,3,8,Natural death,0
421,0,0,1547,0,0,3,13,CHD,0
422,0,0,42,0,0,3,14,CHD death,0
427,0,0,2168,0,0,3,19,T2DM,0
428,0,0,43,0,0,3,20,T2DM death,0
433,0,0,7972,0,0,3,25,Overweight,0
434,0,0,8642,0,0,3,26,Obese,0
547,0,0,7637,0,0,4,3,Steatosis,0
548,0,0,974,0,0,4,4,NASH,0
549,0,0,81,0,0,4,5,Cirrhosis,0
550,0,0,4,0,0,4,6,HCC,0
551,0,0,19,0,0,4,7,Liver death,0
552,0,0,543,0,0,4,8,Natural death,0
557,0,0,1596,0,0,4,13,CHD,0
558,0,0,90,0,0,4,14,CHD death,0
563,0,0,2264,0,0,4,19,T2DM,0
564,0,0,103,0,0,4,20,T2DM death,0
569,0,0,8245,0,0,4,25,Overweight,0
570,0,0,8912,0,0,4,26,Obese,0
683,0,0,7815,0,0,5,3,Steatosis,0
684,0,0,1138,0,0,5,4,NASH,0
685,0,0,91,0,0,5,5,Cirrhosis,0
686,0,0,1,0,0,5,6,HCC,0
687,0,0,33,0,0,5,7,Liver death,0
688,0,0,788,0,0,5,8,Natural death,0
693,0,0,1620,0,0,5,13,CHD,0
694,0,0,114,0,0,5,14,CHD death,0
699,0,0,2369,0,0,5,19,T2DM,0
700,0,0,158,0,0,5,20,T2DM death,0
705,0,0,8414,0,0,5,25,Overweight,0
706,0,0,9165,0,0,5,26,Obese,0
819,0,0,7926,0,0,6,3,Steatosis,0
820,0,0,1312,0,0,6,4,NASH,0
821,0,0,101,0,0,6,5,Cirrhosis,0
822,0,0,5,0,0,6,6,HCC,0
823,0,0,42,0,0,6,7,Liver death,0
824,0,0,1070,0,0,6,8,Natural death,0
829,0,0,1646,0,0,6,13,CHD,0
830,0,0,145,0,0,6,14,CHD death,0
835,0,0,2433,0,0,6,19,T2DM,0
836,0,0,232,0,0,6,20,T2DM death,0
841,0,0,8494,0,0,6,25,Overweight,0
842,0,0,9325,0,0,6,26,Obese,0
955,0,0,8074,931478.5420896905,0,7,3,Steatosis,0
956,0,231.0883646455698,1443,262894.74816444865,231.0883646455698,7,4,NASH,0
957,0,22.81724502179021,134,285974.53952638817,22.81724502179021,7,5,Cirrhosis,0
958,0,0.7421509565917372,3,120949.52578070387,0.7421509565917372,7,6,HCC,0
959,203.16575287499995,0,56,0,203.16575287499995,7,7,Liver death,0
960,0,0,1296,0,0,7,8,Natural death,0
965,0,101.37180984937433,1687,1.804882922687054e+07,101.37180984937433,7,13,CHD,0
966,331.77921240100017,0,183,0,331.77921240100017,7,14,CHD death,0
971,0,79.24026591240944,2509,1.0693128905224545e+07,79.24026591240944,7,19,T2DM,0
972,618.4382858230002,0,293,0,618.4382858230002,7,20,T2DM death,0
977,0,0,8543,2.136933999934932e+06,0,7,25,Overweight,0
978,0,99.10068498743277,9506,1.1093991469264915e+07,99.10068498743277,7,26,Obese,0
1091,0,0,8165,914540.7764784204,0,8,3,Steatosis,0
1092,0,251.87759503583908,1620,286545.3525398231,251.87759503583908,8,4,NASH,0
1093,0,24.467122614294755,148,306652.8897978949,24.467122614294755,8,5,Cirrhosis,0
1094,0,1.6812481217288546,7,273995.68947085016,1.6812481217288546,8,6,HCC,0
1095,167.3645601262136,0,66,0,167.3645601262136,8,7,Liver death,0
1096,0,0,1526,0,0,8,8,Natural death,0
1101,0,100.11108689609236,1716,1.782436274728509e+07,100.11108689609236,8,13,CHD,0
1102,247.69635245728165,0,222,0,247.69635245728165,8,14,CHD death,0
1107,0,79.9678878366276,2608,1.0791318316130556e+07,79.9678878366276,8,19,T2DM,0
1108,650.9976610436894,0,355,0,650.9976610436894,8,20,T2DM death,0
1113,0,0,8475,2.0581791996231033e+06,0,8,25,Overweight,0
1114,0,98.7952204088026,9761,1.1059795727529686e+07,98.7952204088026,8,26,Obese,0
1227,0,0,8289,901388.0577444069,0,9,3,Steatosis,0
1228,0,270.35405292412815,1791,307564.8606010036,270.35405292412815,9,4,NASH,0
1229,0,24.878011054944054,155,311802.6628094581,24.878011054944054,9,5,Cirrhosis,0
1230,0,1.1659140927384568,5,190010.88035426507,1.1659140927384568,9,6,HCC,0
1231,249.7923748336318,0,82,0,249.7923748336318,9,7,Liver death,0
1232,0,0,1761,0,0,9,8,Natural death,0
1237,0,98.83780672691663,1745,1.7597660507622104e+07,98.83780672691663,9,13,CHD,0
1238,215.8433342840984,0,256,0,215.8433342840984,9,14,CHD death,0
1243,0,80.43705437137969,2702,1.085463029743634e+07,80.43705437137969,9,19,T2DM,0
1244,666.7563221444057,0,421,0,666.7563221444057,9,20,T2DM death,0
1249,0,0,8455,1.9935166403548776e+06,0,9,25,Overweight,0
1250,0,97.64717577307933,9937,1.0931275955977714e+07,97.64717577307933,9,26,Obese,0
1363,0,0,8368,883474.6795326113,0,10,3,Steatosis,0
1364,0,286.3680969105258,1954,325783.03470662545,286.3680969105258,10,4,NASH,0
1365,0,28.0491198865639,180,351547.0047334933,28.0491198865639,10,5,Cirrhosis,0
1366,0,0.9055643438745296,4,147581.2662945748,0.9055643438745296,10,6,HCC,0
1367,127.4576398862662,0,92,0,127.4576398862662,10,7,Liver death,0
1368,0,0,1977,0,0,10,8,Natural death,0
1373,0,98.04868800962207,1783,1.74571612012627e+07,98.04868800962207,10,13,CHD,0
1374,222.80320027326133,0,290,0,222.80320027326133,10,14,CHD death,0
1379,0,81.01336780485073,2803,1.0932401286251554e+07,81.01336780485073,10,19,T2DM,0
1380,656.7027267487673,0,490,0,656.7027267487673,10,20,T2DM death,0
1385,0,0,8404,1.9237785242876152e+06,0,10,25,Overweight,0
1386,0,96.6539233830132,10131,1.0820084660547534e+07,96.6539233830132,10,26,Obese,0
1499,0,0,8505,871785.2741633996,0,11,3,Steatosis,0
1500,0,294.67476657376534,2071,335233.0121321502,294.67476657376534,11,4,NASH,0
1501,0,30.106660503917045,199,377334.7030310968,30.106660503917045,11,5,Cirrhosis,0
1502,0,0.6593915125299973,3,107462.08710770009,0.6593915125299973,11,6,HCC,0
1503,241.6879873174871,0,110,0,241.6879873174871,11,7,Liver death,0
1504,0,0,2213,0,0,11,8,Natural death,0
1509,0,97.32846802407808,1823,1.73289290276036e+07,97.32846802407808,11,13,CHD,0
1510,168.71992696707545,0,322,0,168.71992696707545,11,14,CHD death,0
1515,0,81.45981134550672,2903,1.0992646898429535e+07,81.45981134550672,11,19,T2DM,0
1516,434.1802565081651,0,537,0,434.1802565081651,11,20,T2DM death,0
1521,0,0,8465,1.8813030789890683e+06,0,11,25,Overweight,0
1522,0,94.84837707989742,10240,1.061795976820001e+07,94.84837707989742,11,26,Obese,0
1635,0,0,8608,856643.7378352369,0,12,3,Steatosis,0
1636,0,305.98444912447405,2215,348099.3290951464,305.98444912447405,12,4,NASH,0
1637,0,31.286133030855034,213,392117.3427605191,31.286133030855034,12,5,Cirrhosis,0
1638,0,0.8535812459935239,4,139109.49787404542,0.8535812459935239,12,6,HCC,0
1639,261.5634872392833,0,127,0,261.5634872392833,12,7,Liver death,0
1640,0,0,2445,0,0,12,8,Natural death,0
1645,0,95.84134621610251,1849,1.7064153173334263e+07,95.84134621610251,12,13,CHD,0
1646,245.80740191491392,0,367,0,245.80740191491392,12,14,CHD death,0
1651,0,82.13844105250912,3015,1.108422502291452e+07,82.13844105250912,12,19,T2DM,0
1652,575.705443999508,0,603,0,575.705443999508,12,20,T2DM death,0
1657,0,0,8413,1.81528771280201e+06,0,12,25,Overweight,0
1658,0,93.1289624771845,10356,1.042547703271905e+07,93.1289624771845,12,26,Obese,0
1771,0,0,8709,841451.4284305734,0,13,3,Steatosis,0
1772,0,312.8982532194082,2333,355964.73066643975,312.8982532194082,13,4,NASH,0
1773,0,34.367829255827715,241,430741.05294355104,34.367829255827715,13,5,Cirrhosis,0
1774,0,1.450259398532686,7,236351.08862095093,1.450259398532686,13,6,HCC,0
1775,290.17204391732855,0,148,0,290.17204391732855,13,7,Liver death,0
1776,0,0,2665,0,0,13,8,Natural death,0
1781,0,93.45244604709453,1857,1.6638819431591386e+07,93.45244604709453,13,13,CHD,0
1782,217.58953072009763,0,404,0,217.58953072009763,13,14,CHD death,0
1787,0,81.30659575758533,3074,1.0971971121879078e+07,81.30659575758533,13,19,T2DM,0
1788,612.7693269238896,0,677,0,612.7693269238896,13,20,T2DM death,0
1793,0,0,8413,1.7624152551475237e+06,0,13,25,Overweight,0
1794,0,91.39432130813368,10468,1.0231289733870808e+07,91.39432130813368,13,26,Obese,0
1907,0,0,8702,816286.5031043565,0,14,3,Steatosis,0
1908,0,322.2748229156138,2475,366631.8662996875,322.2748229156138,14,4,NASH,0
1909,0,37.105016478918046,268,465046.9410984595,37.105016478918046,14,5,Cirrhosis,0
1910,0,2.011455476466972,10,327810.10904431477,2.011455476466972,14,6,HCC,0
1911,188.37860519051162,0,165,0,188.37860519051162,14,7,Liver death,0
1912,0,0,2886,0,0,14,8,Natural death,0
1917,0,92.2940072373512,1889,1.6432564218451915e+07,92.2940072373512,14,13,CHD,0
1918,165.6611071783492,0,436,0,165.6611071783492,14,14,CHD death,0
1923,0,81.6604577411344,3180,1.1019723255987283e+07,81.6604577411344,14,19,T2DM,0
1924,668.3378035299935,0,754,0,668.3378035299935,14,20,T2DM death,0
1929,0,0,8364,1.701116879223123e+06,0,14,25,Overweight,0
1930,0,90.31746251528389,10655,1.011073898023083e+07,90.31746251528389,14,26,Obese,0
2043,0,0,8784,799979.0967893087,0,15,3,Steatosis,0
2044,0,329.19628866226134,2604,374505.98405194044,329.19628866226134,15,4,NASH,0
2045,0,37.36847768852065,278,468348.9698064466,37.36847768852065,15,5,Cirrhosis,0
2046,0,2.14815633409094,11,350088.4659696565,2.14815633409094,15,6,HCC,0
2047,328.487765656089,0,192,0,328.487765656089,15,7,Liver death,0
2048,0,0,3097,0,0,15,8,Natural death,0
2053,0,91.78786947646925,1935,1.6342448494711593e+07,91.78786947646925,15,13,CHD,0
2054,132.9540575094028,0,461,0,132.9540575094028,15,14,CHD death,0
2059,0,81.50089648769108,3269,1.0998191159498662e+07,81.50089648769108,15,19,T2DM,0
2060,706.473868391086,0,842,0,706.473868391086,15,20,T2DM death,0
2065,0,0,8306,1.6401170061740528e+06,0,15,25,Overweight,0
2066,0,89.00359985079574,10815,9.96365643288735e+06,89.00359985079574,15,26,Obese,0
2179,0,0,8789,777120.8332981603,0,16,3,Steatosis,0
2180,0,335.07295275677944,2730,381191.49645121756,335.07295275677944,16,4,NASH,0
2181,0,39.54267213669682,303,495598.7212801377,39.54267213669682,16,5,Cirrhosis,0
2182,0,1.7063907331702084,9,278093.22098207497,1.7063907331702084,16,6,HCC,0
2183,347.1423607823599,0,220,0,347.1423607823599,16,7,Liver death,0
2184,0,0,3320,0,0,16,8,Natural death,0
2189,0,90.40394760909301,1963,1.6096046960747935e+07,90.40394760909301,16,13,CHD,0
2190,143.8441034994187,0,490,0,143.8441034994187,16,14,CHD death,0
2195,0,81.20873867077346,3355,1.0958765734041529e+07,81.20873867077346,16,19,T2DM,0
2196,648.8686219733022,0,921,0,648.8686219733022,16,20,T2DM death,0
2201,0,0,8220,1.5758595132711958e+06,0,16,25,Overweight,0
2202,0,87.31412584729405,10928,9.774525447720287e+06,87.31412584729405,16,26,Obese,0
2315,0,0,8879,762212.2400193459,0,17,3,Steatosis,0
2316,0,338.54058066857976,2841,385136.3993804523,338.54058066857976,17,4,NASH,0
2317,0,41.178405089642396,325,516099.7930598378,41.178405089642396,17,5,Cirrhosis,0
2318,0,1.4726133619591872,8,239994.14971484357,1.4726133619591872,17,6,HCC,0
2319,299.01920035390896,0,245,0,299.01920035390896,17,7,Liver death,0
2320,0,0,3528,0,0,17,8,Natural death,0
2325,0,89.69346448315547,2006,1.5969548394453138e+07,89.69346448315547,17,13,CHD,0
2326,121.7687789391074,0,517,0,121.7687789391074,17,14,CHD death,0
2331,0,81.40496599932156,3464,1.0985245757735983e+07,81.40496599932156,17,19,T2DM,0
2332,649.836795724012,0,1006,0,649.836795724012,17,20,T2DM death,0
2337,0,0,8188,1.5240046411386624e+06,0,17,25,Overweight,0
2338,0,85.65532004772565,11042,9.588827665791811e+06,85.65532004772565,17,26,Obese,0
2451,0,0,8840,736761.4652847465,0,18,3,Steatosis,0
2452,0,346.2653167868078,2993,393924.34748660563,346.2653167868078,18,4,NASH,0
2453,0,44.65350574321166,363,559654.1445279206,44.65350574321166,18,5,Cirrhosis,0
2454,0,1.2510064968099894,7,203878.52524319233,1.2510064968099894,18,6,HCC,0
2455,285.5547837838493,0,270,0,285.5547837838493,18,7,Liver death,0
2456,0,0,3726,0,0,18,8,Natural death,0
2461,0,88.07947005406777,2029,1.5682183397547211e+07,88.07947005406777,18,13,CHD,0
2462,175.10877207631333,0,556,0,175.10877207631333,18,14,CHD death,0
2467,0,81.29271224006713,3563,1.0970097601631124e+07,81.29271224006713,18,19,T2DM,0
2468,782.2103486720284,0,1113,0,782.2103486720284,18,20,T2DM death,0
2473,0,0,8167,1.4758213421704385e+06,0,18,25,Overweight,0
2474,0,83.76300810592146,11122,9.376989649311988e+06,83.76300810592146,18,26,Obese,0
2587,0,0,8803,712308.4807475096,0,19,3,Steatosis,0
2588,0,347.8614132291875,3097,395740.12636801804,347.8614132291875,19,4,NASH,0
2589,0,44.547213464436155,373,558321.955411786,44.547213464436155,19,5,Cirrhosis,0
2590,0,2.949668577776673,17,480712.19544164615,2.949668577776673,19,6,HCC,0
2591,423.8842861876055,0,310,0,423.8842861876055,19,7,Liver death,0
2592,0,0,3973,0,0,19,8,Natural death,0
2597,0,86.7362799462505,2058,1.5443033984005341e+07,86.7362799462505,19,13,CHD,0
2598,113.90639129064648,0,579,0,113.90639129064648,19,14,CHD death,0
2603,0,80.45340074387185,3632,1.0856836169238849e+07,80.45340074387185,19,19,T2DM,0
2604,687.3206960598321,0,1206,0,687.3206960598321,19,20,T2DM death,0
2609,0,0,8106,1.4221342817749502e+06,0,19,25,Overweight,0
2610,0,81.71084124210925,11175,9.147256406966768e+06,81.71084124210925,19,26,Obese,0
2723,0,0,8806,691797.3110955248,0,20,3,Steatosis,0
2724,0,344.70876207082824,3161,392153.5527489105,344.70876207082824,20,4,NASH,0
2725,0,44.98898676228242,388,563858.8164704231,44.98898676228242,20,5,Cirrhosis,0
2726,0,3.8744932774907763,23,631432.3526646409,3.8744932774907763,20,6,HCC,0
2727,399.9259540638192,0,345,0,399.9259540638192,20,7,Liver death,0
2728,0,0,4194,0,0,20,8,Natural death,0
2733,0,86.17406170889373,2106,1.5342933364616834e+07,86.17406170889373,20,13,CHD,0
2734,165.75207614600558,0,614,0,165.75207614600558,20,14,CHD death,0
2739,0,79.1423898511153,3680,1.0679920956866467e+07,79.1423898511153,20,19,T2DM,0
2740,777.5926326029584,0,1314,0,777.5926326029584,20,20,T2DM death,0
2745,0,0,8126,1.3841195391288535e+06,0,20,25,Overweight,0
2746,0,79.6219713187241,11216,8.913414379408853e+06,79.6219713187241,20,26,Obese,0
2859,0,0,8823,672944.4923690641,0,21,3,Steatosis,0
2860,0,341.23290839947805,3223,388199.29188858607,341.23290839947805,21,4,NASH,0
2861,0,46.155251157380825,410,578475.9152058772,46.155251157380825,21,5,Cirrhosis,0
2862,0,3.5980942213928695,22,586387.1573922371,3.5980942213928695,21,6,HCC,0
2863,286.62677149451684,0,376,0,286.62677149451684,21,7,Liver death,0
2864,0,0,4404,0,0,21,8,Natural death,0
2869,0,85.5710125120824,2154,1.5235562962679738e+07,85.5710125120824,21,13,CHD,0
