Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,6306,0,0,2,3,Steatosis,0
276,0,0,704,0,0,2,4,NASH,0
277,0,0,71,0,0,2,5,Cirrhosis,0
278,0,0,9,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1399,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2116,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7506,0,0,2,25,Overweight,0
298,0,0,8349,0,0,2,26,Obese,0
411,0,0,6575,0,0,3,3,Steatosis,0
412,0,0,878,0,0,3,4,NASH,0
413,0,0,80,0,0,3,5,Cirrhosis,0
414,0,0,5,0,0,3,6,HCC,0
415,0,0,10,0,0,3,7,Liver death,0
416,0,0,170,0,0,3,8,Natural death,0
421,0,0,1484,0,0,3,13,CHD,0
422,0,0,44,0,0,3,14,CHD death,0
427,0,0,2267,0,0,3,19,T2DM,0
428,0,0,53,0,0,3,20,T2DM death,0
433,0,0,7617,0,0,3,25,Overweight,0
434,0,0,8340,0,0,3,26,Obese,0
547,0,0,6814,0,0,4,3,Steatosis,0
548,0,0,1062,0,0,4,4,NASH,0
549,0,0,95,0,0,4,5,Cirrhosis,0
550,0,0,5,0,0,4,6,HCC,0
551,0,0,19,0,0,4,7,Liver death,0
552,0,0,337,0,0,4,8,Natural death,0
557,0,0,1594,0,0,4,13,CHD,0
558,0,0,74,0,0,4,14,CHD death,0
563,0,0,2411,0,0,4,19,T2DM,0
564,0,0,114,0,0,4,20,T2DM death,0
569,0,0,7657,0,0,4,25,Overweight,0
570,0,0,8333,0,0,4,26,Obese,0
683,0,0,7009,0,0,5,3,Steatosis,0
684,0,0,1237,0,0,5,4,NASH,0
685,0,0,101,0,0,5,5,Cirrhosis,0
686,0,0,4,0,0,5,6,HCC,0
687,0,0,29,0,0,5,7,Liver death,0
688,0,0,516,0,0,5,8,Natural death,0
693,0,0,1679,0,0,5,13,CHD,0
694,0,0,112,0,0,5,14,CHD death,0
699,0,0,2579,0,0,5,19,T2DM,0
700,0,0,179,0,0,5,20,T2DM death,0
705,0,0,7667,0,0,5,25,Overweight,0
706,0,0,8341,0,0,5,26,Obese,0
819,0,0,7189,0,0,6,3,Steatosis,0
820,0,0,1417,0,0,6,4,NASH,0
821,0,0,110,0,0,6,5,Cirrhosis,0
822,0,0,2,0,0,6,6,HCC,0
823,0,0,38,0,0,6,7,Liver death,0
824,0,0,679,0,0,6,8,Natural death,0
829,0,0,1769,0,0,6,13,CHD,0
830,0,0,164,0,0,6,14,CHD death,0
835,0,0,2729,0,0,6,19,T2DM,0
836,0,0,230,0,0,6,20,T2DM death,0
841,0,0,7708,0,0,6,25,Overweight,0
842,0,0,8396,0,0,6,26,Obese,0
955,0,0,7298,906941.6155411007,0,7,3,Steatosis,0
956,0,189.1788420201647,1614,256876.74104332327,189.1788420201647,7,4,NASH,0
957,0,24.3817237987183,120,409418.42843094625,24.3817237987183,7,5,Cirrhosis,0
958,0,0.8676626226413089,3,66993.14200875549,0.8676626226413089,7,6,HCC,0
959,61.90124237,0,42,0,61.90124237,7,7,Liver death,0
960,0,0,827,0,0,7,8,Natural death,0
965,0,103.83219573071398,1858,2.7265858739747103e+07,103.83219573071398,7,13,CHD,0
966,407.5197210160002,0,215,0,407.5197210160002,7,14,CHD death,0
971,0,94.58440949898805,2923,2.6021559329441175e+07,94.58440949898805,7,19,T2DM,0
972,656.4348636469998,0,290,0,656.4348636469998,7,20,T2DM death,0
977,0,0,7810,2.1537849767207205e+06,0,7,25,Overweight,0
978,0,109.59753551362991,8429,4.516658654601694e+06,109.59753551362991,7,26,Obese,0
1091,0,0,7414,894521.5922465402,0,8,3,Steatosis,0
1092,0,203.35570474972317,1787,276126.81286582426,203.35570474972317,8,4,NASH,0
1093,0,25.446944741380683,129,427305.64132356015,25.446944741380683,8,5,Cirrhosis,0
1094,0,2.2463757220486964,8,173445.02785438314,2.2463757220486964,8,6,HCC,0
1095,180.99774176213595,0,52,0,180.99774176213595,8,7,Liver death,0
1096,0,0,988,0,0,8,8,Natural death,0
1101,0,102.97820367286143,1898,2.7041604339167524e+07,102.97820367286143,8,13,CHD,0
1102,430.8171805106796,0,281,0,430.8171805106796,8,14,CHD death,0
1107,0,96.4477037363219,3070,2.6534178922899164e+07,96.4477037363219,8,19,T2DM,0
1108,472.14218613300966,0,351,0,472.14218613300966,8,20,T2DM death,0
1113,0,0,7895,2.113811318723769e+06,0,8,25,Overweight,0
1114,0,106.21601841673049,8414,4.377301885403476e+06,106.21601841673049,8,26,Obese,0
1227,0,0,7513,880064.3131921568,0,9,3,Steatosis,0
1228,0,216.76720908771918,1962,294337.6417833106,216.76720908771918,9,4,NASH,0
1229,0,27.578535732361054,144,463099.36291557504,27.578535732361054,9,5,Cirrhosis,0
1230,0,1.363092064349937,5,105245.76932911598,1.363092064349937,9,6,HCC,0
1231,239.326166879065,0,67,0,239.326166879065,9,7,Liver death,0
1232,0,0,1166,0,0,9,8,Natural death,0
1237,0,102.13854999216684,1939,2.682111513071819e+07,102.13854999216684,9,13,CHD,0
1238,353.945689650297,0,337,0,353.945689650297,9,14,CHD death,0
1243,0,98.12221717205844,3217,2.699486214698303e+07,98.12221717205844,9,19,T2DM,0
1244,630.486865104157,0,418,0,630.486865104157,9,20,T2DM death,0
1249,0,0,7867,2.0449656159916308e+06,0,9,25,Overweight,0
1250,0,103.68612596729646,8460,4.273041688552823e+06,103.68612596729646,9,26,Obese,0
1363,0,0,7582,862278.5388979143,0,10,3,Steatosis,0
1364,0,228.90315221896026,2134,310816.44822776347,228.90315221896026,10,4,NASH,0
1365,0,30.122187086316703,162,505812.41095147945,30.122187086316703,10,5,Cirrhosis,0
1366,0,1.5880684244853638,6,122616.43028634871,1.5880684244853638,10,6,HCC,0
1367,181.16822442201945,0,82,0,181.16822442201945,10,7,Liver death,0
1368,0,0,1338,0,0,10,8,Natural death,0
1373,0,102.28328083454186,2000,2.685912078663017e+07,102.28328083454186,10,13,CHD,0
1374,306.7334988254157,0,386,0,306.7334988254157,10,14,CHD death,0
1379,0,99.02511059974302,3344,2.724326138128678e+07,99.02511059974302,10,19,T2DM,0
1380,661.7795684576291,0,486,0,661.7795684576291,10,20,T2DM death,0
1385,0,0,7930,2.0013028905074548e+06,0,10,25,Overweight,0
1386,0,100.49955472007342,8446,4.14171889434109e+06,100.49955472007342,10,26,Obese,0
1499,0,0,7679,847873.8478971435,0,11,3,Steatosis,0
1500,0,238.16958404598108,2287,323398.88494958874,238.16958404598108,11,4,NASH,0
1501,0,31.050078981460384,172,521393.5915357443,31.050078981460384,11,5,Cirrhosis,0
1502,0,2.055752005806296,8,158726.77059721516,2.055752005806296,11,6,HCC,0
1503,134.70313722377705,0,92,0,134.70313722377705,11,7,Liver death,0
1504,0,0,1506,0,0,11,8,Natural death,0
1509,0,102.28328083454775,2060,2.6859120786631655e+07,102.28328083454775,11,13,CHD,0
1510,337.57029943106335,0,451,0,337.57029943106335,11,14,CHD death,0
1515,0,100.45342373400398,3494,2.7636211288793676e+07,100.45342373400398,11,19,T2DM,0
1516,609.0910608873863,0,554,0,609.0910608873863,11,20,T2DM death,0
1521,0,0,7973,1.9535483962849344e+06,0,11,25,Overweight,0
1522,0,97.61859320831023,8450,4.02299067947313e+06,97.61859320831023,11,26,Obese,0
1635,0,0,7712,826716.0488106931,0,12,3,Steatosis,0
1636,0,247.1064664389924,2444,335533.8425362397,247.1064664389924,12,4,NASH,0
1637,0,33.4757568607978,191,562125.6264581566,33.4757568607978,12,5,Cirrhosis,0
1638,0,1.7463912670684552,7,134840.7031772459,1.7463912670684552,12,6,HCC,0
1639,199.33119867925262,0,107,0,199.33119867925262,12,7,Liver death,0
1640,0,0,1628,0,0,12,8,Natural death,0
1645,0,102.72677512415004,2131,2.697558035456348e+07,102.72677512415004,12,13,CHD,0
1646,409.66156780721855,0,525,0,409.66156780721855,12,14,CHD death,0
1651,0,100.76548971044197,3610,2.7722065219306953e+07,100.76548971044197,12,19,T2DM,0
1652,700.8435210505249,0,630,0,700.8435210505249,12,20,T2DM death,0
1657,0,0,7967,1.8952216245855193e+06,0,12,25,Overweight,0
1658,0,95.5716703312645,8521,3.9386342942241677e+06,95.5716703312645,12,26,Obese,0
1771,0,0,7785,810234.515367675,0,13,3,Steatosis,0
1772,0,256.5968185497138,2614,348420.32971166295,256.5968185497138,13,4,NASH,0
1773,0,33.69186122318902,198,565754.4555416825,33.69186122318902,13,5,Cirrhosis,0
1774,0,3.633268932874734,15,280528.5086905253,3.633268932874734,13,6,HCC,0
1775,219.78514667646823,0,124,0,219.78514667646823,13,7,Liver death,0
1776,0,0,1768,0,0,13,8,Natural death,0
1781,0,103.66608816681062,2215,2.7222239654729094e+07,103.66608816681062,13,13,CHD,0
1782,287.8085361704704,0,584,0,287.8085361704704,13,14,CHD death,0
1787,0,101.84135500950931,3758,2.801805155424599e+07,101.84135500950931,13,19,T2DM,0
1788,599.4597256323906,0,698,0,599.4597256323906,13,20,T2DM death,0
1793,0,0,8107,1.8723547388458217e+06,0,13,25,Overweight,0
1794,0,92.48312804840192,8493,3.811351402628205e+06,92.48312804840192,13,26,Obese,0
1907,0,0,7839,792091.8826930395,0,14,3,Steatosis,0
1908,0,261.1313549989086,2740,354577.55603133683,261.1313549989086,14,4,NASH,0
1909,0,35.84943554688651,217,601984.4898134022,35.84943554688651,14,5,Cirrhosis,0
1910,0,3.05711949044476,13,236043.4053706686,3.05711949044476,14,6,HCC,0
1911,358.20822369764574,0,150,0,358.20822369764574,14,7,Liver death,0
1912,0,0,1923,0,0,14,8,Natural death,0
1917,0,102.82774442634675,2263,2.7002094430582672e+07,102.82774442634675,14,13,CHD,0
1918,299.5964556045838,0,647,0,299.5964556045838,14,14,CHD death,0
1923,0,102.82168664832719,3908,2.8287755177046277e+07,102.82168664832719,14,19,T2DM,0
1924,700.1311553624524,0,792,0,700.1311553624524,14,20,T2DM death,0
1929,0,0,8156,1.82880732939977e+06,0,14,25,Overweight,0
1930,0,89.5251404427549,8468,3.689448841074104e+06,89.5251404427549,14,26,Obese,0
2043,0,0,7910,775986.4843200123,0,15,3,Steatosis,0
2044,0,260.37262878853113,2814,353547.3186422718,260.37262878853113,15,4,NASH,0
2045,0,38.8151017956535,242,651784.0210050716,38.8151017956535,15,5,Cirrhosis,0
2046,0,1.826509030885592,8,141026.67983311045,1.826509030885592,15,6,HCC,0
2047,232.0221226238958,0,171,0,232.0221226238958,15,7,Liver death,0
2048,0,0,2088,0,0,15,8,Natural death,0
2053,0,103.53844075380609,2347,2.718872002907869e+07,103.53844075380609,15,13,CHD,0
2054,362.8270668561537,0,718,0,362.8270668561537,15,14,CHD death,0
2059,0,103.70960434463568,4060,2.8532034367840156e+07,103.70960434463568,15,19,T2DM,0
2060,742.3705963878418,0,890,0,742.3705963878418,15,20,T2DM death,0
2065,0,0,8176,1.7798950472072123e+06,0,15,25,Overweight,0
2066,0,87.3076533249343,8506,3.5980632790232613e+06,87.3076533249343,15,26,Obese,0
2179,0,0,7961,758242.4118015765,0,16,3,Steatosis,0
2180,0,263.0298773444622,2928,357155.4671112546,263.0298773444622,16,4,NASH,0
2181,0,40.48754901255688,260,679867.7905051671,40.48754901255688,16,5,Cirrhosis,0
2182,0,2.6599646080858133,12,205378.65995113176,2.6599646080858133,16,6,HCC,0
2183,316.9087543403358,0,198,0,316.9087543403358,16,7,Liver death,0
2184,0,0,2245,0,0,16,8,Natural death,0
2189,0,104.07767446637666,2430,2.7330320330710504e+07,104.07767446637666,16,13,CHD,0
2190,303.5067403583499,0,780,0,303.5067403583499,16,14,CHD death,0
2195,0,103.66496392954832,4180,2.85197531344323e+07,103.66496392954832,16,19,T2DM,0
2196,677.9479833682444,0,975,0,677.9479833682444,16,20,T2DM death,0
2201,0,0,8210,1.7352395761175486e+06,0,16,25,Overweight,0
2202,0,84.6949549728036,8499,3.4903905419619167e+06,84.6949549728036,16,26,Obese,0
2315,0,0,8022,741798.382097161,0,17,3,Steatosis,0
2316,0,266.1836124116038,3052,361437.7704465274,266.1836124116038,17,4,NASH,0
2317,0,42.63438693629955,282,715917.538918812,42.63438693629955,17,5,Cirrhosis,0
2318,0,3.2281123884536562,15,249245.94654263562,3.2281123884536562,17,6,HCC,0
2319,225.40468707497854,0,220,0,225.40468707497854,17,7,Liver death,0
2320,0,0,2406,0,0,17,8,Natural death,0
2325,0,102.87593057246558,2474,2.701474789171599e+07,102.87593057246558,17,13,CHD,0
2326,269.5797628880833,0,845,0,269.5797628880833,17,14,CHD death,0
2331,0,102.54774965763276,4259,2.8212391090151794e+07,102.54774965763276,17,19,T2DM,0
2332,766.9650376372632,0,1085,0,766.9650376372632,17,20,T2DM death,0
2337,0,0,8183,1.6791581958273195e+06,0,17,25,Overweight,0
2338,0,82.52803766953772,8530,3.401089028513362e+06,82.52803766953772,17,26,Obese,0
2451,0,0,8061,723693.9143188644,0,18,3,Steatosis,0
2452,0,267.4063316735719,3158,363098.04141487257,267.4063316735719,18,4,NASH,0
2453,0,45.20894848302781,308,759149.6315740328,45.20894848302781,18,5,Cirrhosis,0
2454,0,3.5519683238648643,17,274251.20331552136,3.5519683238648643,18,6,HCC,0
2455,307.69065315826646,0,246,0,307.69065315826646,18,7,Liver death,0
2456,0,0,2540,0,0,18,8,Natural death,0
2461,0,103.59373909982133,2566,2.7203241121307977e+07,103.59373909982133,18,13,CHD,0
2462,327.5298672100273,0,914,0,327.5298672100273,18,14,CHD death,0
2467,0,102.0855943564012,4367,2.808524538343745e+07,102.0855943564012,18,19,T2DM,0
2468,686.6055167603954,0,1185,0,686.6055167603954,18,20,T2DM death,0
2473,0,0,8195,1.6326413645627282e+06,0,18,25,Overweight,0
2474,0,80.25581372976791,8544,3.307447690005072e+06,80.25581372976791,18,26,Obese,0
2587,0,0,8112,707060.7290470094,0,19,3,Steatosis,0
2588,0,267.6743348466572,3256,363461.9498782076,267.6743348466572,19,4,NASH,0
2589,0,47.1698460089593,331,792077.0648436684,47.1698460089593,19,5,Cirrhosis,0
2590,0,2.839951829475049,14,219275.6622739749,2.839951829475049,19,6,HCC,0
2591,191.31550210945602,0,265,0,191.31550210945602,19,7,Liver death,0
2592,0,0,2687,0,0,19,8,Natural death,0
2597,0,103.79050206067542,2648,2.7254910173071146e+07,103.79050206067542,19,13,CHD,0
2598,256.0777590544115,0,975,0,256.0777590544115,19,14,CHD death,0
2603,0,101.26832132838162,4462,2.7860401577783056e+07,101.26832132838162,19,19,T2DM,0
2604,652.1961647741017,0,1284,0,652.1961647741017,19,20,T2DM death,0
2609,0,0,8216,1.5891505537057195e+06,0,19,25,Overweight,0
2610,0,78.13713729008678,8568,3.2201342460235474e+06,78.13713729008678,19,26,Obese,0
2723,0,0,8128,687820.7049960017,0,20,3,Steatosis,0
2724,0,270.8126649336681,3393,367723.33554089034,270.8126649336681,20,4,NASH,0
2725,0,46.902818165127904,339,787593.1275687204,46.902818165127904,20,5,Cirrhosis,0
2726,0,3.348070811447701,17,258508.06232022,3.348070811447701,20,6,HCC,0
2727,264.4462805244332,0,292,0,264.4462805244332,20,7,Liver death,0
2728,0,0,2809,0,0,20,8,Natural death,0
2733,0,102.40380761639155,2691,2.6890770567175034e+07,102.40380761639155,20,13,CHD,0
2734,273.3976094306683,0,1043,0,273.3976094306683,20,14,CHD death,0
2739,0,100.34594946962044,4554,2.7606643541195754e+07,100.34594946962044,20,19,T2DM,0
2740,742.0148661966281,0,1393,0,742.0148661966281,20,20,T2DM death,0
2745,0,0,8222,1.5439913420851757e+06,0,20,25,Overweight,0
2746,0,76.59618253247761,8651,3.156629472767135e+06,76.59618253247761,20,26,Obese,0
2859,0,0,8158,670251.8575793605,0,21,3,Steatosis,0
2860,0,270.7514475199519,3494,367640.2113946762,270.7514475199519,21,4,NASH,0
2861,0,46.611329447832176,347,782698.4427824436,46.611329447832176,21,5,Cirrhosis,0
2862,0,2.4857179068429525,13,191924.88921546884,2.4857179068429525,21,6,HCC,0
2863,325.96139315254715,0,325,0,325.96139315254715,21,7,Liver death,0
2864,0,0,2951,0,0,21,8,Natural death,0
2869,0,100.49260090867394,2720,2.6388896444719262e+07,100.49260090867394,21,13,CHD,0
2870,342.2556941034284,0,1132,0,342.2556941034284,21,14,CHD death,0
