Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,6340,0,0,2,3,Steatosis,0
276,0,0,633,0,0,2,4,NASH,0
277,0,0,65,0,0,2,5,Cirrhosis,0
278,0,0,6,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1497,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2119,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7449,0,0,2,25,Overweight,0
298,0,0,8444,0,0,2,26,Obese,0
411,0,0,6744,0,0,3,3,Steatosis,0
412,0,0,773,0,0,3,4,NASH,0
413,0,0,84,0,0,3,5,Cirrhosis,0
414,0,0,3,0,0,3,6,HCC,0
415,0,0,7,0,0,3,7,Liver death,0
416,0,0,241,0,0,3,8,Natural death,0
421,0,0,1475,0,0,3,13,CHD,0
422,0,0,40,0,0,3,14,CHD death,0
427,0,0,2230,0,0,3,19,T2DM,0
428,0,0,46,0,0,3,20,T2DM death,0
433,0,0,7842,0,0,3,25,Overweight,0
434,0,0,8555,0,0,3,26,Obese,0
547,0,0,7089,0,0,4,3,Steatosis,0
548,0,0,894,0,0,4,4,NASH,0
549,0,0,94,0,0,4,5,Cirrhosis,0
550,0,0,2,0,0,4,6,HCC,0
551,0,0,18,0,0,4,7,Liver death,0
552,0,0,482,0,0,4,8,Natural death,0
557,0,0,1471,0,0,4,13,CHD,0
558,0,0,82,0,0,4,14,CHD death,0
563,0,0,2317,0,0,4,19,T2DM,0
564,0,0,107,0,0,4,20,T2DM death,0
569,0,0,8209,0,0,4,25,Overweight,0
570,0,0,8616,0,0,4,26,Obese,0
683,0,0,7447,0,0,5,3,Steatosis,0
684,0,0,1019,0,0,5,4,NASH,0
685,0,0,106,0,0,5,5,Cirrhosis,0
686,0,0,4,0,0,5,6,HCC,0
687,0,0,24,0,0,5,7,Liver death,0
688,0,0,719,0,0,5,8,Natural death,0
693,0,0,1436,0,0,5,13,CHD,0
694,0,0,120,0,0,5,14,CHD death,0
699,0,0,2403,0,0,5,19,T2DM,0
700,0,0,162,0,0,5,20,T2DM death,0
705,0,0,8455,0,0,5,25,Overweight,0
706,0,0,8739,0,0,5,26,Obese,0
819,0,0,7838,0,0,6,3,Steatosis,0
820,0,0,1112,0,0,6,4,NASH,0
821,0,0,118,0,0,6,5,Cirrhosis,0
822,0,0,4,0,0,6,6,HCC,0
823,0,0,40,0,0,6,7,Liver death,0
824,0,0,932,0,0,6,8,Natural death,0
829,0,0,1429,0,0,6,13,CHD,0
830,0,0,165,0,0,6,14,CHD death,0
835,0,0,2497,0,0,6,19,T2DM,0
836,0,0,214,0,0,6,20,T2DM death,0
841,0,0,8550,0,0,6,25,Overweight,0
842,0,0,8866,0,0,6,26,Obese,0
955,0,0,8112,392110.866517962,0,7,3,Steatosis,0
956,0,174.71113660777803,1250,265665.08231299784,174.71113660777803,7,4,NASH,0
957,0,25.001959902446,131,546769.5591275555,25.001959902446,7,5,Cirrhosis,0
958,0,1.977119519111089,6,241910.6204648455,1.977119519111089,7,6,HCC,0
959,168.829196875,0,49,0,168.829196875,7,7,Liver death,0
960,0,0,1165,0,0,7,8,Natural death,0
965,0,92.16449875304149,1428,1.472682975442351e+07,92.16449875304149,7,13,CHD,0
966,220.891942647,0,199,0,220.891942647,7,14,CHD death,0
971,0,97.38961996481055,2636,2.8181166552340854e+07,97.38961996481055,7,19,T2DM,0
972,498.363796348,0,264,0,498.363796348,7,20,T2DM death,0
977,0,0,8675,3.2789973601172264e+06,0,7,25,Overweight,0
978,0,100.2932842584379,8982,1.489705449906415e+07,100.2932842584379,7,26,Obese,0
1091,0,0,8308,389888.29673781403,0,8,3,Steatosis,0
1092,0,189.7057623127513,1398,288465.852484329,189.7057623127513,8,4,NASH,0
1093,0,27.05318421223689,146,591627.9228683244,27.05318421223689,8,5,Cirrhosis,0
1094,0,1.279689009133391,4,156576.45337530453,1.279689009133391,8,6,HCC,0
1095,200.93582370388347,0,63,0,200.93582370388347,8,7,Liver death,0
1096,0,0,1405,0,0,8,8,Natural death,0
1101,0,90.10670719240255,1438,1.439801826633835e+07,90.10670719240255,8,13,CHD,0
1102,209.7107678485437,0,231,0,209.7107678485437,8,14,CHD death,0
1107,0,99.39546419349593,2771,2.8761588062425766e+07,99.39546419349593,8,19,T2DM,0
1108,649.6951361543689,0,326,0,649.6951361543689,8,20,T2DM death,0
1113,0,0,8665,3.179822850554542e+06,0,8,25,Overweight,0
1114,0,98.75974382362733,9110,1.4669270200211179e+07,98.75974382362733,8,26,Obese,0
1227,0,0,8534,388829.4268198372,0,9,3,Steatosis,0
1228,0,200.3850608203869,1521,304704.7527179327,200.3850608203869,9,4,NASH,0
1229,0,29.503406109900546,164,645211.991956412,29.503406109900546,9,5,Cirrhosis,0
1230,0,2.4848330274434782,8,304031.94830156217,2.4848330274434782,9,6,HCC,0
1231,184.13036901121689,0,75,0,184.13036901121689,9,7,Liver death,0
1232,0,0,1658,0,0,9,8,Natural death,0
1237,0,87.54307604268688,1439,1.3988379414006535e+07,87.54307604268688,9,13,CHD,0
1238,225.31638683004996,0,267,0,225.31638683004996,9,14,CHD death,0
1243,0,99.70436314603187,2863,2.885097266863319e+07,99.70436314603187,9,19,T2DM,0
1244,659.8883987284382,0,387,0,659.8883987284382,9,20,T2DM death,0
1249,0,0,8733,3.1114340084697776e+06,0,9,25,Overweight,0
1250,0,96.50422464579945,9169,1.4334246849800838e+07,96.50422464579945,9,26,Obese,0
1363,0,0,8766,387766.8942168056,0,10,3,Steatosis,0
1364,0,212.07204690334453,1658,322475.93880261463,212.07204690334453,10,4,NASH,0
1365,0,29.342719787256083,168,641697.931853406,29.342719787256083,10,5,Cirrhosis,0
1366,0,3.3171314686745452,11,405867.89215014374,3.3171314686745452,10,6,HCC,0
1367,183.16730638119128,0,90,0,183.16730638119128,10,7,Liver death,0
1368,0,0,1871,0,0,10,8,Natural death,0
1373,0,84.8160853325183,1436,1.3552637577681625e+07,84.8160853325183,10,13,CHD,0
1374,228.47857110513425,0,300,0,228.47857110513425,10,14,CHD death,0
1379,0,101.33100127460597,2997,2.9321665130911414e+07,101.33100127460597,10,19,T2DM,0
1380,605.2381319423788,0,445,0,605.2381319423788,10,20,T2DM death,0
1385,0,0,8798,3.0432937008845024e+06,0,10,25,Overweight,0
1386,0,94.8889864286078,9286,1.4094327577758165e+07,94.8889864286078,10,26,Obese,0
1499,0,0,8899,382184.65337563213,0,11,3,Steatosis,0
1500,0,223.1566094869896,1797,339331.08203140646,223.1566094869896,11,4,NASH,0
1501,0,30.522940139309362,180,667508.2508877312,30.522940139309362,11,5,Cirrhosis,0
1502,0,1.7566450849114983,6,214934.45303626318,1.7566450849114983,11,6,HCC,0
1503,251.61925807226692,0,106,0,251.61925807226692,11,7,Liver death,0
1504,0,0,2098,0,0,11,8,Natural death,0
1509,0,83.20587109384645,1451,1.329534381184061e+07,83.20587109384645,11,13,CHD,0
1510,261.2478931781973,0,333,0,261.2478931781973,11,14,CHD death,0
1515,0,102.08895431483985,3110,2.954099036160327e+07,102.08895431483985,11,19,T2DM,0
1516,550.6761125814731,0,497,0,550.6761125814731,11,20,T2DM death,0
1521,0,0,8904,2.990252320437905e+06,0,11,25,Overweight,0
1522,0,92.53198534799063,9327,1.3744230621495426e+07,92.53198534799063,11,26,Obese,0
1635,0,0,9082,378683.43688188563,0,12,3,Steatosis,0
1636,0,231.00424319771514,1916,351264.1636665941,231.00424319771514,12,4,NASH,0
1637,0,31.938783101542665,194,698471.416786518,31.938783101542665,12,5,Cirrhosis,0
1638,0,1.4212338874688495,5,173895.18854066601,1.4212338874688495,12,6,HCC,0
1639,238.8047387846255,0,120,0,238.8047387846255,12,7,Liver death,0
1640,0,0,2318,0,0,12,8,Natural death,0
1645,0,79.78027425175772,1433,1.2747972728795832e+07,79.78027425175772,12,13,CHD,0
1646,237.57948232501067,0,379,0,237.57948232501067,12,14,CHD death,0
1651,0,102.78053184695908,3225,2.974110883032226e+07,102.78053184695908,12,19,T2DM,0
1652,575.5495977505446,0,572,0,575.5495977505446,12,20,T2DM death,0
1657,0,0,8882,2.895984471921882e+06,0,12,25,Overweight,0
1658,0,90.93491738362424,9441,1.3507010266416559e+07,90.93491738362424,12,26,Obese,0
1771,0,0,9151,370447.0520913171,0,13,3,Steatosis,0
1772,0,240.89766934597915,2058,366308.06941336655,240.89766934597915,13,4,NASH,0
1773,0,32.92658051705434,206,720073.6255531095,32.92658051705434,13,5,Cirrhosis,0
1774,0,2.4837097062562425,9,303894.5042458241,2.4837097062562425,13,6,HCC,0
1775,217.82037233633278,0,138,0,217.82037233633278,13,7,Liver death,0
1776,0,0,2540,0,0,13,8,Natural death,0
1781,0,77.40252490092887,1432,1.23680356558208e+07,77.40252490092887,13,13,CHD,0
1782,205.49830279903534,0,412,0,205.49830279903534,13,14,CHD death,0
1787,0,103.31427585970147,3339,2.9895555771638427e+07,103.31427585970147,13,19,T2DM,0
1788,651.6221897347215,0,641,0,651.6221897347215,13,20,T2DM death,0
1793,0,0,8859,2.804354660429306e+06,0,13,25,Overweight,0
1794,0,89.2495191402446,9544,1.3256669780816333e+07,89.2495191402446,13,26,Obese,0
1907,0,0,9236,362998.0460637437,0,14,3,Steatosis,0
1908,0,249.45058555030155,2195,379313.60089556867,249.45058555030155,14,4,NASH,0
1909,0,34.14010610685225,220,746612.2990936178,34.14010610685225,14,5,Cirrhosis,0
1910,0,4.554807444051361,17,557303.837344014,4.554807444051361,14,6,HCC,0
1911,192.54186738263172,0,155,0,192.54186738263172,14,7,Liver death,0
1912,0,0,2753,0,0,14,8,Natural death,0
1917,0,75.25303785046759,1434,1.2024572280229826e+07,75.25303785046759,14,13,CHD,0
1918,136.91365595351476,0,441,0,136.91365595351476,14,14,CHD death,0
1923,0,103.51945225521142,3446,2.9954926679715227e+07,103.51945225521142,14,19,T2DM,0
1924,475.9160001556725,0,702,0,475.9160001556725,14,20,T2DM death,0
1929,0,0,8864,2.724211099024746e+06,0,14,25,Overweight,0
1930,0,87.9210792074354,9684,1.305935006769274e+07,87.9210792074354,14,26,Obese,0
2043,0,0,9362,357233.16814845614,0,15,3,Steatosis,0
2044,0,253.21852128090927,2295,385043.1094744384,253.21852128090927,15,4,NASH,0
2045,0,36.30964506509889,241,794058.0939168632,36.30964506509889,15,5,Cirrhosis,0
2046,0,2.6012606762143693,10,318277.4627892713,2.6012606762143693,15,6,HCC,0
2047,303.8549400040818,0,180,0,303.8549400040818,15,7,Liver death,0
2048,0,0,2983,0,0,15,8,Natural death,0
2053,0,73.21404949907333,1437,1.1698765329304727e+07,73.21404949907333,15,13,CHD,0
2054,130.13240874731278,0,471,0,130.13240874731278,15,14,CHD death,0
2059,0,103.0417213196893,3533,2.9816687973510597e+07,103.0417213196893,15,19,T2DM,0
2060,648.6076647444825,0,781,0,648.6076647444825,15,20,T2DM death,0
2065,0,0,8912,2.659187519113742e+06,0,15,25,Overweight,0
2066,0,85.65115180065135,9717,1.2722186592210926e+07,85.65115180065135,15,26,Obese,0
2179,0,0,9465,350644.0969302205,0,16,3,Steatosis,0
2180,0,255.9126202339913,2389,389139.7459798274,255.9126202339913,16,4,NASH,0
2181,0,39.34776023249251,269,860498.8408477472,39.34776023249251,16,5,Cirrhosis,0
2182,0,2.0203966417198984,8,247205.79634118153,2.0203966417198984,16,6,HCC,0
2183,287.3069425467738,0,204,0,287.3069425467738,16,7,Liver death,0
2184,0,0,3207,0,0,16,8,Natural death,0
2189,0,72.07090697323441,1457,1.1516104265762536e+07,72.07090697323441,16,13,CHD,0
2190,135.94651564989059,0,493,0,135.94651564989059,16,14,CHD death,0
2195,0,102.61726414816906,3624,2.9693864840522364e+07,102.61726414816906,16,19,T2DM,0
2196,620.827289450187,0,865,0,620.827289450187,16,20,T2DM death,0
2201,0,0,8819,2.5547940957833603e+06,0,16,25,Overweight,0
2202,0,84.0379148027292,9820,1.2482564571100648e+07,84.0379148027292,16,26,Obese,0
2315,0,0,9481,341006.63999666733,0,17,3,Steatosis,0
2316,0,258.02696452612116,2481,392354.8097778005,258.02696452612116,17,4,NASH,0
2317,0,41.61003987483405,293,909972.7879900042,41.61003987483405,17,5,Cirrhosis,0
2318,0,2.451937671990168,10,300007.0343946378,2.451937671990168,17,6,HCC,0
2319,187.11013491532967,0,222,0,187.11013491532967,17,7,Liver death,0
2320,0,0,3423,0,0,17,8,Natural death,0
2325,0,70.50002427964591,1468,1.1265095229683664e+07,70.50002427964591,17,13,CHD,0
2326,72.55003074044232,0,513,0,72.55003074044232,17,14,CHD death,0
2331,0,102.8174006928216,3740,2.97517773911665e+07,102.8174006928216,17,19,T2DM,0
2332,544.0974491172296,0,946,0,544.0974491172296,17,20,T2DM death,0
2337,0,0,8851,2.48938275829637e+06,0,17,25,Overweight,0
2338,0,82.18011738616094,9891,1.2206616788878584e+07,82.18011738616094,17,26,Obese,0
2451,0,0,9549,333448.9526142964,0,18,3,Steatosis,0
2452,0,259.4981270596908,2570,394591.8538676274,259.4981270596908,18,4,NASH,0
2453,0,44.81017581537221,325,979956.7782125132,44.81017581537221,18,5,Cirrhosis,0
2454,0,2.6185742128050338,11,320395.8619748559,2.6185742128050338,18,6,HCC,0
2455,129.78209547204614,0,234,0,129.78209547204614,18,7,Liver death,0
2456,0,0,3640,0,0,18,8,Natural death,0
2461,0,68.35337398082106,1466,1.0922085134464873e+07,68.35337398082106,18,13,CHD,0
2462,191.49996957325476,0,550,0,191.49996957325476,18,14,CHD death,0
2467,0,101.66436821530851,3809,2.9418129921332408e+07,101.66436821530851,18,19,T2DM,0
2468,822.5398920798802,0,1051,0,822.5398920798802,18,20,T2DM death,0
2473,0,0,8840,2.4138727765208813e+06,0,18,25,Overweight,0
2474,0,80.36731534090931,9963,1.1937352390333345e+07,80.36731534090931,18,26,Obese,0
2587,0,0,9649,327127.1168307373,0,19,3,Steatosis,0
2588,0,260.9587904623671,2662,396812.9330194134,260.9587904623671,19,4,NASH,0
2589,0,45.51294929716683,340,995325.7792150988,45.51294929716683,19,5,Cirrhosis,0
2590,0,2.7734237028826474,12,339342.4839980823,2.7734237028826474,19,6,HCC,0
2591,242.92915642759365,0,259,0,242.92915642759365,19,7,Liver death,0
2592,0,0,3849,0,0,19,8,Natural death,0
2597,0,66.36249901050735,1466,1.060396614996573e+07,66.36249901050735,19,13,CHD,0
2598,112.01968381268338,0,578,0,112.01968381268338,19,14,CHD death,0
2603,0,100.85406334357599,3892,2.918365589261291e+07,100.85406334357599,19,19,T2DM,0
2604,664.9961420314163,0,1139,0,664.9961420314163,19,20,T2DM death,0
2609,0,0,8827,2.3401193821499795e+06,0,19,25,Overweight,0
2610,0,78.5199123756026,10026,1.1662948547047114e+07,78.5199123756026,19,26,Obese,0
2723,0,0,9685,318784.09116354113,0,20,3,Steatosis,0
2724,0,264.588796468591,2780,402332.70618994866,264.588796468591,20,4,NASH,0
2725,0,46.006807684742405,354,1.0061260018336378e+06,46.006807684742405,20,5,Cirrhosis,0
2726,0,3.1414184336858484,14,384368.50938294106,3.1414184336858484,20,6,HCC,0
2727,381.6423720642658,0,291,0,381.6423720642658,20,7,Liver death,0
2728,0,0,4032,0,0,20,8,Natural death,0
2733,0,64.34171217591161,1464,1.0281067592650313e+07,64.34171217591161,20,13,CHD,0
2734,159.84039461872518,0,618,0,159.84039461872518,20,14,CHD death,0
2739,0,100.130507216045,3980,2.8974283931340586e+07,100.130507216045,20,19,T2DM,0
2740,554.1421967421791,0,1223,0,554.1421967421791,20,20,T2DM death,0
2745,0,0,8854,2.2789100310671413e+06,0,20,25,Overweight,0
2746,0,76.59789375503914,10074,1.1377461673722552e+07,76.59789375503914,20,26,Obese,0
2859,0,0,9671,309051.7260343723,0,21,3,Steatosis,0
2860,0,265.10625727051695,2869,403119.5550949692,265.10625727051695,21,4,NASH,0
2861,0,46.05475510101274,365,1.0071745671364219e+06,46.05475510101274,21,5,Cirrhosis,0
2862,0,2.832069323017755,13,346518.073646202,2.832069323017755,21,6,HCC,0
2863,230.09970468914747,0,316,0,230.09970468914747,21,7,Liver death,0
2864,0,0,4279,0,0,21,8,Natural death,0
2869,0,61.52895973105983,1442,9.831622014829764e+06,61.52895973105983,21,13,CHD,0
2870,120.1590749774594,0,654,0,120.1590749774594,21,14,CHD death,0
