Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,6523,0,0,2,3,Steatosis,0
276,0,0,560,0,0,2,4,NASH,0
277,0,0,65,0,0,2,5,Cirrhosis,0
278,0,0,6,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1511,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2113,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7497,0,0,2,25,Overweight,0
298,0,0,8368,0,0,2,26,Obese,0
411,0,0,6799,0,0,3,3,Steatosis,0
412,0,0,627,0,0,3,4,NASH,0
413,0,0,66,0,0,3,5,Cirrhosis,0
414,0,0,6,0,0,3,6,HCC,0
415,0,0,7,0,0,3,7,Liver death,0
416,0,0,271,0,0,3,8,Natural death,0
421,0,0,1531,0,0,3,13,CHD,0
422,0,0,41,0,0,3,14,CHD death,0
427,0,0,2139,0,0,3,19,T2DM,0
428,0,0,53,0,0,3,20,T2DM death,0
433,0,0,8080,0,0,3,25,Overweight,0
434,0,0,8451,0,0,3,26,Obese,0
547,0,0,7027,0,0,4,3,Steatosis,0
548,0,0,721,0,0,4,4,NASH,0
549,0,0,70,0,0,4,5,Cirrhosis,0
550,0,0,10,0,0,4,6,HCC,0
551,0,0,11,0,0,4,7,Liver death,0
552,0,0,525,0,0,4,8,Natural death,0
557,0,0,1555,0,0,4,13,CHD,0
558,0,0,89,0,0,4,14,CHD death,0
563,0,0,2184,0,0,4,19,T2DM,0
564,0,0,108,0,0,4,20,T2DM death,0
569,0,0,8429,0,0,4,25,Overweight,0
570,0,0,8507,0,0,4,26,Obese,0
683,0,0,7177,0,0,5,3,Steatosis,0
684,0,0,814,0,0,5,4,NASH,0
685,0,0,69,0,0,5,5,Cirrhosis,0
686,0,0,8,0,0,5,6,HCC,0
687,0,0,19,0,0,5,7,Liver death,0
688,0,0,788,0,0,5,8,Natural death,0
693,0,0,1589,0,0,5,13,CHD,0
694,0,0,138,0,0,5,14,CHD death,0
699,0,0,2249,0,0,5,19,T2DM,0
700,0,0,159,0,0,5,20,T2DM death,0
705,0,0,8705,0,0,5,25,Overweight,0
706,0,0,8543,0,0,5,26,Obese,0
819,0,0,7340,0,0,6,3,Steatosis,0
820,0,0,884,0,0,6,4,NASH,0
821,0,0,73,0,0,6,5,Cirrhosis,0
822,0,0,4,0,0,6,6,HCC,0
823,0,0,30,0,0,6,7,Liver death,0
824,0,0,1048,0,0,6,8,Natural death,0
829,0,0,1617,0,0,6,13,CHD,0
830,0,0,185,0,0,6,14,CHD death,0
835,0,0,2295,0,0,6,19,T2DM,0
836,0,0,210,0,0,6,20,T2DM death,0
841,0,0,8940,0,0,6,25,Overweight,0
842,0,0,8602,0,0,6,26,Obese,0
955,0,0,7480,765114.1053368337,0,7,3,Steatosis,0
956,0,152.45890123342267,952,540783.3468769005,152.45890123342267,7,4,NASH,0
957,0,16.311822512633576,80,158688.63818578815,16.311822512633576,7,5,Cirrhosis,0
958,0,1.461813163181834,4,183991.27031647132,1.461813163181834,7,6,HCC,0
959,128.89185777,0,37,0,128.89185777,7,7,Liver death,0
960,0,0,1274,0,0,7,8,Natural death,0
965,0,143.3859866251786,1658,2.416617728700647e+07,143.3859866251786,7,13,CHD,0
966,309.1992191620001,0,227,0,309.1992191620001,7,14,CHD death,0
971,0,74.47536876392053,2325,2.73254937810461e+07,74.47536876392053,7,19,T2DM,0
972,658.498386296,0,278,0,658.498386296,7,20,T2DM death,0
977,0,0,9090,3.6498522571577877e+06,0,7,25,Overweight,0
978,0,91.98658109566921,8723,8.398430954575293e+06,91.98658109566921,7,26,Obese,0
1091,0,0,7597,754448.3487674656,0,8,3,Steatosis,0
1092,0,163.87745971692078,1054,581285.8444238477,163.87745971692078,8,4,NASH,0
1093,0,17.024474952505912,86,165621.636941478,17.024474952505912,8,5,Cirrhosis,0
1094,0,1.7740451009488278,5,223290.37659765937,1.7740451009488278,8,6,HCC,0
1095,119.70617535922331,0,44,0,119.70617535922331,8,7,Liver death,0
1096,0,0,1498,0,0,8,8,Natural death,0
1101,0,138.9578084864627,1655,2.3419855136023726e+07,138.9578084864627,8,13,CHD,0
1102,408.79145488737856,0,287,0,408.79145488737856,8,14,CHD death,0
1107,0,73.73675721442694,2371,2.705449243338837e+07,73.73675721442694,8,19,T2DM,0
1108,585.8976772951456,0,332,0,585.8976772951456,8,20,T2DM death,0
1113,0,0,9201,3.586816903042014e+06,0,8,25,Overweight,0
1114,0,90.21855541092432,8812,8.23700913128148e+06,90.21855541092432,8,26,Obese,0
1227,0,0,7689,741344.4184882478,0,9,3,Steatosis,0
1228,0,171.48246553897496,1136,608261.3799170109,171.48246553897496,9,4,NASH,0
1229,0,17.68177574656293,92,172016.15035691985,17.68177574656293,9,5,Cirrhosis,0
1230,0,1.7223738844163374,5,216786.77339578577,1.7223738844163374,9,6,HCC,0
1231,123.01740929588087,0,51,0,123.01740929588087,9,7,Liver death,0
1232,0,0,1724,0,0,9,8,Natural death,0
1237,0,136.29628122451288,1672,2.297128312992781e+07,136.29628122451288,9,13,CHD,0
1238,439.24924594023946,0,343,0,439.24924594023946,9,14,CHD death,0
1243,0,73.24973404454641,2426,2.6875800487035844e+07,73.24973404454641,9,19,T2DM,0
1244,654.4533262465833,0,401,0,654.4533262465833,9,20,T2DM death,0
1249,0,0,9306,3.52208636035745e+06,0,9,25,Overweight,0
1250,0,88.1772874864304,8871,8.050640124851206e+06,88.1772874864304,9,26,Obese,0
1363,0,0,7785,728738.2299934523,0,10,3,Steatosis,0
1364,0,176.16053908950923,1202,624854.863479648,176.16053908950923,10,4,NASH,0
1365,0,16.6069865074304,89,161560.1243326919,16.6069865074304,10,5,Cirrhosis,0
1366,0,2.341090716682401,7,294661.63374184474,2.341090716682401,10,6,HCC,0
1367,221.35389148707773,0,64,0,221.35389148707773,10,7,Liver death,0
1368,0,0,1977,0,0,10,8,Natural death,0
1373,0,133.19705561670332,1683,2.2448941740413792e+07,133.19705561670332,10,13,CHD,0
1374,295.08059796179646,0,389,0,295.08059796179646,10,14,CHD death,0
1379,0,72.55264239359009,2475,2.6620033058296446e+07,72.55264239359009,10,19,T2DM,0
1380,609.7490592664042,0,472,0,609.7490592664042,10,20,T2DM death,0
1385,0,0,9333,3.4294225044511314e+06,0,10,25,Overweight,0
1386,0,86.21699443957237,8934,7.8716641741361525e+06,86.21699443957237,10,26,Obese,0
1499,0,0,7912,719054.8011433296,0,11,3,Steatosis,0
1500,0,180.56291625977616,1269,640470.4309610554,180.56291625977616,11,4,NASH,0
1501,0,16.12328787129161,89,156854.48964338997,16.12328787129161,11,5,Cirrhosis,0
1502,0,2.272903608429515,7,286079.2560600434,2.272903608429515,11,6,HCC,0
1503,148.60555623549496,0,75,0,148.60555623549496,11,7,Liver death,0
1504,0,0,2177,0,0,11,8,Natural death,0
1509,0,129.16385470448162,1681,2.176918878426425e+07,129.16385470448162,11,13,CHD,0
1510,382.5109409343493,0,450,0,382.5109409343493,11,14,CHD death,0
1515,0,70.6671417331687,2483,2.5928230688928526e+07,70.6671417331687,11,19,T2DM,0
1516,634.0443413863635,0,547,0,634.0443413863635,11,20,T2DM death,0
1521,0,0,9390,3.349871092844684e+06,0,11,25,Overweight,0
1522,0,84.60527794870211,9030,7.724513475566453e+06,84.60527794870211,11,26,Obese,0
1635,0,0,8036,709052.5368847062,0,12,3,Steatosis,0
1636,0,186.90783638174378,1353,662976.3464009814,186.90783638174378,12,4,NASH,0
1637,0,16.884865666455756,96,164263.4559372254,16.884865666455756,12,5,Cirrhosis,0
1638,0,1.8914593135335773,6,238068.72903748413,1.8914593135335773,12,6,HCC,0
1639,162.0366094389074,0,84,0,162.0366094389074,12,7,Liver death,0
1640,0,0,2376,0,0,12,8,Natural death,0
1645,0,129.2063764334432,1732,2.1776355367728952e+07,129.2063764334432,12,13,CHD,0
1646,225.74960853845076,0,495,0,225.74960853845076,12,14,CHD death,0
1651,0,70.84702243365457,2564,2.5994230079652246e+07,70.84702243365457,12,19,T2DM,0
1652,522.6908869094513,0,610,0,522.6908869094513,12,20,T2DM death,0
1657,0,0,9404,3.2571510445016036e+06,0,12,25,Overweight,0
1658,0,83.10527146183688,9136,7.587561968494527e+06,83.10527146183688,12,26,Obese,0
1771,0,0,8145,697737.9598756558,0,13,3,Steatosis,0
1772,0,192.32761240494733,1434,682200.7051851377,192.32761240494733,13,4,NASH,0
1773,0,16.734595826382076,98,162801.56433907885,16.734595826382076,13,5,Cirrhosis,0
1774,0,2.4484910207554402,8,308179.58451454254,2.4484910207554402,13,6,HCC,0
1775,153.36787570807405,0,96,0,153.36787570807405,13,7,Liver death,0
1776,0,0,2603,0,0,13,8,Natural death,0
1781,0,128.41257955139147,1773,2.1642569377666578e+07,128.41257955139147,13,13,CHD,0
1782,317.6486977769388,0,550,0,317.6486977769388,13,14,CHD death,0
1787,0,70.0175425805515,2610,2.568988856455125e+07,70.0175425805515,13,19,T2DM,0
1788,530.1021775076222,0,677,0,530.1021775076222,13,20,T2DM death,0
1793,0,0,9428,3.1703530461691883e+06,0,13,25,Overweight,0
1794,0,81.17929446690486,9192,7.411719094248397e+06,81.17929446690486,13,26,Obese,0
1907,0,0,8228,684318.562684475,0,14,3,Steatosis,0
1908,0,193.62714089597384,1487,686810.2318251161,193.62714089597384,14,4,NASH,0
1909,0,17.07611819018581,103,166124.04524395787,17.07611819018581,14,5,Cirrhosis,0
1910,0,2.0800287797679706,7,261803.0450973056,2.0800287797679706,14,6,HCC,0
1911,123.5821577707025,0,105,0,123.5821577707025,14,7,Liver death,0
1912,0,0,2814,0,0,14,8,Natural death,0
1917,0,125.58653101746539,1786,2.1166269067574225e+07,125.58653101746539,14,13,CHD,0
1918,303.50923633379915,0,605,0,303.50923633379915,14,14,CHD death,0
1923,0,68.39492125749716,2626,2.5094538321807757e+07,68.39492125749716,14,19,T2DM,0
1924,708.5717304903861,0,761,0,708.5717304903861,14,20,T2DM death,0
1929,0,0,9432,3.079318568884243e+06,0,14,25,Overweight,0
1930,0,79.31215766124858,9250,7.241248365169489e+06,79.31215766124858,14,26,Obese,0
2043,0,0,8357,674803.3270662124,0,15,3,Steatosis,0
2044,0,197.21622331906565,1560,699540.9808287697,197.21622331906565,15,4,NASH,0
2045,0,18.027384647948082,112,175378.38691038947,18.027384647948082,15,5,Cirrhosis,0
2046,0,1.730953214786106,6,217866.611731461,1.730953214786106,15,6,HCC,0
2047,77.94700949270879,0,112,0,77.94700949270879,15,7,Liver death,0
2048,0,0,3021,0,0,15,8,Natural death,0
2053,0,122.7479004823974,1798,2.0687848195511743e+07,122.7479004823974,15,13,CHD,0
2054,338.248001964683,0,670,0,338.248001964683,15,14,CHD death,0
2059,0,68.0211840455301,2690,2.495741172504287e+07,68.0211840455301,15,19,T2DM,0
2060,442.22374392625636,0,817,0,442.22374392625636,15,20,T2DM death,0
2065,0,0,9498,3.0105494790784908e+06,0,15,25,Overweight,0
2066,0,77.39334870393388,9297,7.066059937126674e+06,77.39334870393388,15,26,Obese,0
2179,0,0,8460,663223.5689840034,0,16,3,Steatosis,0
2180,0,200.6774490457212,1635,711818.2123817777,200.6774490457212,16,4,NASH,0
2181,0,18.596209891693945,119,180912.17096338727,18.596209891693945,16,5,Cirrhosis,0
2182,0,0.8402685508670418,3,105760.49113177718,0.8402685508670418,16,6,HCC,0
2183,113.39273233895831,0,123,0,113.39273233895831,16,7,Liver death,0
2184,0,0,3232,0,0,16,8,Natural death,0
2189,0,121.9565087894874,1840,2.0554467574403312e+07,121.9565087894874,16,13,CHD,0
2190,313.60748037304097,0,731,0,313.60748037304097,16,14,CHD death,0
2195,0,67.34114405633765,2743,2.4707900661129467e+07,67.34114405633765,16,19,T2DM,0
2196,436.8510610680935,0,875,0,436.8510610680935,16,20,T2DM death,0
2201,0,0,9560,2.941943119347563e+06,0,16,25,Overweight,0
2202,0,75.4543749366775,9336,6.889030449639164e+06,75.4543749366775,16,26,Obese,0
2315,0,0,8578,652887.5777211132,0,17,3,Steatosis,0
2316,0,202.93559913592665,1703,719828.0429240075,202.93559913592665,17,4,NASH,0
2317,0,17.902853611975942,118,174166.89380500713,17.902853611975942,17,5,Cirrhosis,0
2318,0,1.3596578492994202,5,171133.48079575592,1.3596578492994202,17,6,HCC,0
2319,122.52572738964751,0,132,0,122.52572738964751,17,7,Liver death,0
2320,0,0,3413,0,0,17,8,Natural death,0
2325,0,120.27053341471134,1869,2.0270314424103174e+07,120.27053341471134,17,13,CHD,0
2326,291.43582945699814,0,792,0,291.43582945699814,17,14,CHD death,0
2331,0,66.35699169035293,2784,2.4346808802136675e+07,66.35699169035293,17,19,T2DM,0
2332,528.0578489060022,0,942,0,528.0578489060022,17,20,T2DM death,0
2337,0,0,9574,2.860438256554202e+06,0,17,25,Overweight,0
2338,0,73.85302294738844,9412,6.742826036388768e+06,73.85302294738844,17,26,Obese,0
2451,0,0,8633,637935.6604800872,0,18,3,Steatosis,0
2452,0,202.8094939742567,1753,719380.7383006463,202.8094939742567,18,4,NASH,0
2453,0,17.67601146484377,120,171960.0728698446,17.67601146484377,18,5,Cirrhosis,0
2454,0,2.640112328736738,10,332298.0209626328,2.640112328736738,18,6,HCC,0
2455,150.84340283894525,0,144,0,150.84340283894525,18,7,Liver death,0
2456,0,0,3618,0,0,18,8,Natural death,0
2461,0,117.39226744286717,1879,1.9785213422311325e+07,117.39226744286717,18,13,CHD,0
2462,299.66357544474045,0,850,0,299.66357544474045,18,14,CHD death,0
2467,0,65.41932244888375,2827,2.400277190172503e+07,65.41932244888375,18,19,T2DM,0
2468,475.85259412361506,0,1010,0,475.85259412361506,18,20,T2DM death,0
2473,0,0,9575,2.7774145903345314e+06,0,18,25,Overweight,0
2474,0,72.24285219550804,9483,6.595816464736799e+06,72.24285219550804,18,26,Obese,0
2587,0,0,8741,627103.2252909594,0,19,3,Steatosis,0
2588,0,202.40625398989172,1802,717950.4153311738,202.40625398989172,19,4,NASH,0
2589,0,17.161176179460014,120,166951.5270581014,17.161176179460014,19,5,Cirrhosis,0
2590,0,2.5632158531424647,10,322619.43782779895,2.5632158531424647,19,6,HCC,0
2591,145.67853896275977,0,158,0,145.67853896275977,19,7,Liver death,0
2592,0,0,3833,0,0,19,8,Natural death,0
2597,0,115.06488750943224,1897,1.939295838114881e+07,115.06488750943224,19,13,CHD,0
2598,293.8914888427618,0,915,0,293.8914888427618,19,14,CHD death,0
2603,0,64.47998167060737,2870,2.3658121703665346e+07,64.47998167060737,19,19,T2DM,0
2604,462.53006780101606,0,1084,0,462.53006780101606,19,20,T2DM death,0
2609,0,0,9638,2.7142611292197527e+06,0,19,25,Overweight,0
2610,0,70.07952140748658,9475,6.398303044424791e+06,70.07952140748658,19,26,Obese,0
2723,0,0,8837,615524.7840937626,0,20,3,Steatosis,0
2724,0,198.14669972933328,1817,702841.4515999857,198.14669972933328,20,4,NASH,0
2725,0,17.633247368862552,127,171544.0447927095,17.633247368862552,20,5,Cirrhosis,0
2726,0,3.483982713009176,14,438511.8572416685,3.483982713009176,20,6,HCC,0
2727,223.06501080188124,0,179,0,223.06501080188124,20,7,Liver death,0
2728,0,0,3987,0,0,20,8,Natural death,0
2733,0,112.71460542861833,1914,1.8996843427548073e+07,112.71460542861833,20,13,CHD,0
2734,306.43546683944913,0,986,0,306.43546683944913,20,14,CHD death,0
2739,0,63.77979987309533,2924,2.3401220480199046e+07,63.77979987309533,20,19,T2DM,0
2740,567.5660172281705,0,1165,0,567.5660172281705,20,20,T2DM death,0
2745,0,0,9732,2.660906294216332e+06,0,20,25,Overweight,0
2746,0,68.08145528236885,9481,6.215878388623593e+06,68.08145528236885,20,26,Obese,0
2859,0,0,8893,601383.844509235,0,21,3,Steatosis,0
2860,0,199.89258357635669,1888,709034.2347199934,199.89258357635669,21,4,NASH,0
2861,0,17.793659908950932,132,173104.6090714596,17.793659908950932,21,5,Cirrhosis,0
2862,0,2.4160767773988727,10,304099.7623035149,2.4160767773988727,21,6,HCC,0
2863,141.1328162211657,0,193,0,141.1328162211657,21,7,Liver death,0
2864,0,0,4199,0,0,21,8,Natural death,0
2869,0,108.85991251792977,1904,1.8347176089342542e+07,108.85991251792977,21,13,CHD,0
2870,302.3400452722271,0,1061,0,302.3400452722271,21,14,CHD death,0
