Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,6754,0,0,2,3,Steatosis,0
276,0,0,624,0,0,2,4,NASH,0
277,0,0,75,0,0,2,5,Cirrhosis,0
278,0,0,4,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1439,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2135,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7553,0,0,2,25,Overweight,0
298,0,0,8245,0,0,2,26,Obese,0
411,0,0,7001,0,0,3,3,Steatosis,0
412,0,0,745,0,0,3,4,NASH,0
413,0,0,70,0,0,3,5,Cirrhosis,0
414,0,0,5,0,0,3,6,HCC,0
415,0,0,8,0,0,3,7,Liver death,0
416,0,0,173,0,0,3,8,Natural death,0
421,0,0,1507,0,0,3,13,CHD,0
422,0,0,43,0,0,3,14,CHD death,0
427,0,0,2267,0,0,3,19,T2DM,0
428,0,0,66,0,0,3,20,T2DM death,0
433,0,0,8024,0,0,3,25,Overweight,0
434,0,0,8399,0,0,3,26,Obese,0
547,0,0,7269,0,0,4,3,Steatosis,0
548,0,0,853,0,0,4,4,NASH,0
549,0,0,69,0,0,4,5,Cirrhosis,0
550,0,0,6,0,0,4,6,HCC,0
551,0,0,15,0,0,4,7,Liver death,0
552,0,0,339,0,0,4,8,Natural death,0
557,0,0,1578,0,0,4,13,CHD,0
558,0,0,89,0,0,4,14,CHD death,0
563,0,0,2432,0,0,4,19,T2DM,0
564,0,0,153,0,0,4,20,T2DM death,0
569,0,0,8206,0,0,4,25,Overweight,0
570,0,0,8592,0,0,4,26,Obese,0
683,0,0,7447,0,0,5,3,Steatosis,0
684,0,0,940,0,0,5,4,NASH,0
685,0,0,75,0,0,5,5,Cirrhosis,0
686,0,0,5,0,0,5,6,HCC,0
687,0,0,27,0,0,5,7,Liver death,0
688,0,0,522,0,0,5,8,Natural death,0
693,0,0,1631,0,0,5,13,CHD,0
694,0,0,124,0,0,5,14,CHD death,0
699,0,0,2571,0,0,5,19,T2DM,0
700,0,0,218,0,0,5,20,T2DM death,0
705,0,0,8368,0,0,5,25,Overweight,0
706,0,0,8773,0,0,5,26,Obese,0
819,0,0,7626,0,0,6,3,Steatosis,0
820,0,0,1036,0,0,6,4,NASH,0
821,0,0,76,0,0,6,5,Cirrhosis,0
822,0,0,7,0,0,6,6,HCC,0
823,0,0,37,0,0,6,7,Liver death,0
824,0,0,671,0,0,6,8,Natural death,0
829,0,0,1700,0,0,6,13,CHD,0
830,0,0,163,0,0,6,14,CHD death,0
835,0,0,2716,0,0,6,19,T2DM,0
836,0,0,290,0,0,6,20,T2DM death,0
841,0,0,8461,0,0,6,25,Overweight,0
842,0,0,8978,0,0,6,26,Obese,0
955,0,0,7783,1.1407034039337952e+06,0,7,3,Steatosis,0
956,0,158.00734693888717,1135,322721.9501503765,158.00734693888717,7,4,NASH,0
957,0,21.614781712243452,85,249614.73839048456,21.614781712243452,7,5,Cirrhosis,0
958,0,1.7103487849478358,7,202139.35729324693,1.7103487849478358,7,6,HCC,0
959,129.812677229,0,44,0,129.812677229,7,7,Liver death,0
960,0,0,843,0,0,7,8,Natural death,0
965,0,111.97592321613925,1731,4.119404851105714e+07,111.97592321613925,7,13,CHD,0
966,275.3105090609999,0,210,0,275.3105090609999,7,14,CHD death,0
971,0,97.07909823910398,2878,1.3868300359154936e+07,97.07909823910398,7,19,T2DM,0
972,757.214411064,0,365,0,757.214411064,7,20,T2DM death,0
977,0,0,8524,3.4937684669231204e+06,0,7,25,Overweight,0
978,0,109.93965388172546,9166,1.8979971940907717e+07,109.93965388172546,7,26,Obese,0
1091,0,0,7897,1.1237006197058952e+06,0,8,3,Steatosis,0
1092,0,165.97495576831554,1228,338995.38495758706,165.97495576831554,8,4,NASH,0
1093,0,21.725879962049333,88,250897.73818803698,21.725879962049333,8,5,Cirrhosis,0
1094,0,1.4233138293601963,6,168215.8313119947,1.4233138293601963,8,6,HCC,0
1095,207.96366924854374,0,59,0,207.96366924854374,8,7,Liver death,0
1096,0,0,1010,0,0,8,8,Natural death,0
1101,0,112.29434173548613,1788,4.1311189299506664e+07,112.29434173548613,8,13,CHD,0
1102,231.71791469902917,0,245,0,231.71791469902917,8,14,CHD death,0
1107,0,99.26214495056115,3031,1.4180160976336714e+07,99.26214495056115,8,19,T2DM,0
1108,642.7983707951456,0,429,0,642.7983707951456,8,20,T2DM death,0
1113,0,0,8567,3.409119477173536e+06,0,8,25,Overweight,0
1114,0,108.51920399401818,9319,1.8734745600282762e+07,108.51920399401818,8,26,Obese,0
1227,0,0,8020,1.1079639398568664e+06,0,9,3,Steatosis,0
1228,0,175.44394220789863,1337,358335.30698609253,175.44394220789863,9,4,NASH,0
1229,0,21.33278151613405,89,246358.10567889825,21.33278151613405,9,5,Cirrhosis,0
1230,0,2.5334064923886985,11,299413.2919792785,2.5334064923886985,9,6,HCC,0
1231,148.14045777453106,0,68,0,148.14045777453106,9,7,Liver death,0
1232,0,0,1169,0,0,9,8,Natural death,0
1237,0,112.80409429131953,1850,4.149871864430042e+07,112.80409429131953,9,13,CHD,0
1238,264.56593395324734,0,281,0,264.56593395324734,9,14,CHD death,0
1243,0,101.01310231424664,3177,1.4430295176964773e+07,101.01310231424664,9,19,T2DM,0
1244,890.1000786935621,0,525,0,890.1000786935621,9,20,T2DM death,0
1249,0,0,8478,3.2754399561517695e+06,0,9,25,Overweight,0
1250,0,107.83441363609661,9538,1.8616523454580612e+07,107.83441363609661,9,26,Obese,0
1363,0,0,8104,1.0869597569908889e+06,0,10,3,Steatosis,0
1364,0,184.73013499390527,1450,377301.88229686895,184.73013499390527,10,4,NASH,0
1365,0,22.573140690138562,97,260682.18883880382,22.573140690138562,10,5,Cirrhosis,0
1366,0,1.3416097929684194,6,158559.5544462199,1.3416097929684194,10,6,HCC,0
1367,221.50859676753663,0,82,0,221.50859676753663,10,7,Liver death,0
1368,0,0,1313,0,0,10,8,Natural death,0
1373,0,111.9457057490794,1891,4.118293201593806e+07,111.9457057490794,10,13,CHD,0
1374,364.4739677934196,0,334,0,364.4739677934196,10,14,CHD death,0
1379,0,103.28784263821265,3346,1.4755254747296916e+07,103.28784263821265,10,19,T2DM,0
1380,690.1438806316673,0,592,0,690.1438806316673,10,20,T2DM death,0
1385,0,0,8535,3.20141909565468e+06,0,10,25,Overweight,0
1386,0,106.05468820190114,9662,1.830927181597233e+07,106.05468820190114,10,26,Obese,0
1499,0,0,8288,1.0792611662392523e+06,0,11,3,Steatosis,0
1500,0,189.49217730878016,1532,387028.1109332533,189.49217730878016,11,4,NASH,0
1501,0,25.530626543746042,113,294836.2259912402,25.530626543746042,11,5,Cirrhosis,0
1502,0,0.8683558530539932,4,102627.54333088666,0.8683558530539932,11,6,HCC,0
1503,185.79211434160166,0,92,0,185.79211434160166,11,7,Liver death,0
1504,0,0,1457,0,0,11,8,Natural death,0
1509,0,111.84627406658676,1946,4.114635278144988e+07,111.84627406658676,11,13,CHD,0
1510,254.9895092602607,0,378,0,254.9895092602607,11,14,CHD death,0
1515,0,104.77495164874598,3496,1.4967696712652454e+07,104.77495164874598,11,19,T2DM,0
1516,611.4594074905549,0,663,0,611.4594074905549,11,20,T2DM death,0
1521,0,0,8519,3.102347191278488e+06,0,11,25,Overweight,0
1522,0,104.60685935998012,9816,1.8059318775143184e+07,104.60685935998012,11,26,Obese,0
1635,0,0,8409,1.063124033215566e+06,0,12,3,Steatosis,0
1636,0,192.85941136524022,1606,393905.5148158208,192.85941136524022,12,4,NASH,0
1637,0,26.103140808538278,119,301447.8124663423,26.103140808538278,12,5,Cirrhosis,0
1638,0,1.4753618862567845,7,174367.18527092392,1.4753618862567845,12,6,HCC,0
1639,247.77474997139248,0,108,0,247.77474997139248,12,7,Liver death,0
1640,0,0,1607,0,0,12,8,Natural death,0
1645,0,111.5460650471075,1999,4.103591096005881e+07,111.5460650471075,12,13,CHD,0
1646,258.6387707152401,0,421,0,258.6387707152401,12,14,CHD death,0
1651,0,105.41857818738802,3623,1.5059642417948274e+07,105.41857818738802,12,19,T2DM,0
1652,751.7854845017991,0,752,0,751.7854845017991,12,20,T2DM death,0
1657,0,0,8554,3.024362205121869e+06,0,12,25,Overweight,0
1658,0,102.54296364925546,9911,1.7703008005600333e+07,102.54296364925546,12,26,Obese,0
1771,0,0,8468,1.0394011863466271e+06,0,13,3,Steatosis,0
1772,0,199.71718414480625,1713,407912.16607594385,199.71718414480625,13,4,NASH,0
1773,0,27.685472016888223,130,319721.10321142536,27.685472016888223,13,5,Cirrhosis,0
1774,0,1.4323901808318298,7,169288.52938924657,1.4323901808318298,13,6,HCC,0
1775,271.85731120036934,0,130,0,271.85731120036934,13,7,Liver death,0
1776,0,0,1762,0,0,13,8,Natural death,0
1781,0,109.8140690978831,2027,4.039873894036081e+07,109.8140690978831,13,13,CHD,0
1782,255.4572188083319,0,469,0,255.4572188083319,13,14,CHD death,0
1787,0,107.2918061135144,3798,1.5327243662619594e+07,107.2918061135144,13,19,T2DM,0
1788,861.0272943895559,0,849,0,861.0272943895559,13,20,T2DM death,0
1793,0,0,8615,2.957213044839055e+06,0,13,25,Overweight,0
1794,0,100.49046301864867,10004,1.7348664481651768e+07,100.49046301864867,13,26,Obese,0
1907,0,0,8550,1.0188992647661641e+06,0,14,3,Steatosis,0
1908,0,202.7292587258804,1791,414064.17483778845,202.7292587258804,14,4,NASH,0
1909,0,28.73995974867411,139,331898.6807049157,28.73995974867411,14,5,Cirrhosis,0
1910,0,1.3906700784775048,7,164357.79552354035,1.3906700784775048,14,6,HCC,0
1911,186.8035255157103,0,144,0,186.8035255157103,14,7,Liver death,0
1912,0,0,1916,0,0,14,8,Natural death,0
1917,0,107.61495795799458,2046,3.958972314146577e+07,107.61495795799458,14,13,CHD,0
1918,297.0944150526961,0,520,0,297.0944150526961,14,14,CHD death,0
1923,0,107.56771923320767,3922,1.536665941829164e+07,107.56771923320767,14,19,T2DM,0
1924,964.6433345415892,0,964,0,964.6433345415892,14,20,T2DM death,0
1929,0,0,8604,2.867414707673114e+06,0,14,25,Overweight,0
1930,0,98.22672324507892,10072,1.6957852651098434e+07,98.22672324507892,14,26,Obese,0
2043,0,0,8599,994891.8160136957,0,15,3,Steatosis,0
2044,0,207.81416697870404,1891,424449.8406911933,207.81416697870404,15,4,NASH,0
2045,0,31.91767549094909,159,368596.00637061894,31.91767549094909,15,5,Cirrhosis,0
2046,0,0.9644036605253152,5,113979.05376112367,0.9644036605253152,15,6,HCC,0
2047,179.30403836282176,0,157,0,179.30403836282176,15,7,Liver death,0
2048,0,0,2050,0,0,15,8,Natural death,0
2053,0,106.9827638688723,2095,3.935714962719869e+07,106.9827638688723,15,13,CHD,0
2054,284.852988402389,0,571,0,284.852988402389,15,14,CHD death,0
2059,0,108.00281934863045,4056,1.5428815940102259e+07,108.00281934863045,15,19,T2DM,0
2060,900.9603309100987,0,1066,0,900.9603309100987,15,20,T2DM death,0
2065,0,0,8688,2.8110766927394816e+06,0,15,25,Overweight,0
2066,0,96.00013369578868,10139,1.6573454431922479e+07,96.00013369578868,15,26,Obese,0
2179,0,0,8724,979955.4704264506,0,16,3,Steatosis,0
2180,0,209.87019065635897,1967,428649.16422685445,209.87019065635897,16,4,NASH,0
2181,0,30.988034457232075,159,357860.2003598242,30.988034457232075,16,5,Cirrhosis,0
2182,0,1.8726284670394473,10,221318.5509924731,1.8726284670394473,16,6,HCC,0
2183,165.19289209595493,0,173,0,165.19289209595493,16,7,Liver death,0
2184,0,0,2202,0,0,16,8,Natural death,0
2189,0,105.00706438087666,2118,3.863032319689162e+07,105.00706438087666,16,13,CHD,0
2190,322.4975657739057,0,638,0,322.4975657739057,16,14,CHD death,0
2195,0,107.85597803625927,4172,1.5407838824923526e+07,107.85597803625927,16,19,T2DM,0
2196,844.364878036289,0,1170,0,844.364878036289,16,20,T2DM death,0
2201,0,0,8669,2.7232321167641473e+06,0,16,25,Overweight,0
2202,0,94.14166093044285,10241,1.6252607861151174e+07,94.14166093044285,16,26,Obese,0
2315,0,0,8785,958065.553756026,0,17,3,Steatosis,0
2316,0,212.56244106734223,2052,434147.9484274432,212.56244106734223,17,4,NASH,0
2317,0,33.11293906097343,175,382399.31039243547,33.11293906097343,17,5,Cirrhosis,0
2318,0,1.272660123230692,7,150410.66572304,1.272660123230692,17,6,HCC,0
2319,277.5582303565973,0,194,0,277.5582303565973,17,7,Liver death,0
2320,0,0,2335,0,0,17,8,Natural death,0
2325,0,102.47808431974083,2129,3.769995420032533e+07,102.47808431974083,17,13,CHD,0
2326,251.90598758549208,0,689,0,251.90598758549208,17,14,CHD death,0
2331,0,107.40017360701279,4279,1.534272457433602e+07,107.40017360701279,17,19,T2DM,0
2332,893.1367914280409,0,1285,0,893.1367914280409,17,20,T2DM death,0
2337,0,0,8684,2.6484894509708188e+06,0,17,25,Overweight,0
2338,0,91.67634200972421,10272,1.5826995424801476e+07,91.67634200972421,17,26,Obese,0
2451,0,0,8865,938631.1767134542,0,18,3,Steatosis,0
2452,0,212.60669222372482,2114,434238.3291581797,212.60669222372482,18,4,NASH,0
2453,0,32.69960140279212,178,377625.94868157397,32.69960140279212,18,5,Cirrhosis,0
2454,0,2.1181583188305555,12,250336.75293709853,2.1181583188305555,18,6,HCC,0
2455,227.4258687928524,0,212,0,227.4258687928524,18,7,Liver death,0
2456,0,0,2452,0,0,18,8,Natural death,0
2461,0,99.77368016465122,2135,3.670504964621391e+07,99.77368016465122,18,13,CHD,0
2462,373.85717352094605,0,762,0,373.85717352094605,18,14,CHD death,0
2467,0,107.36678901761081,4406,1.5337955396194832e+07,107.36678901761081,18,19,T2DM,0
2468,843.3109326085681,0,1403,0,843.3109326085681,18,20,T2DM death,0
2473,0,0,8751,2.591187809456656e+06,0,18,25,Overweight,0
2474,0,89.3440895470691,10311,1.5424355569773e+07,89.3440895470691,18,26,Obese,0
2587,0,0,8894,914273.5077607908,0,19,3,Steatosis,0
2588,0,213.83502308694366,2190,436747.13232010003,213.83502308694366,19,4,NASH,0
2589,0,33.5307355935688,188,387224.1646783882,33.5307355935688,19,5,Cirrhosis,0
2590,0,2.2278364194819757,13,263299.1738011553,2.2278364194819757,19,6,HCC,0
2591,190.12400344676104,0,230,0,190.12400344676104,19,7,Liver death,0
2592,0,0,2594,0,0,19,8,Natural death,0
2597,0,97.86581847395682,2157,3.600317959431782e+07,97.86581847395682,19,13,CHD,0
2598,182.14379319343567,0,819,0,182.14379319343567,19,14,CHD death,0
2603,0,106.6291152185266,4507,1.5232574505781952e+07,106.6291152185266,19,19,T2DM,0
2604,648.8800047029279,0,1509,0,648.8800047029279,19,20,T2DM death,0
2609,0,0,8718,2.506229559656021e+06,0,19,25,Overweight,0
2610,0,87.92800449194073,10452,1.517988277344e+07,87.92800449194073,19,26,Obese,0
2723,0,0,8975,895728.1915978432,0,20,3,Steatosis,0
2724,0,214.8114387174755,2266,438741.4114631129,214.8114387174755,20,4,NASH,0
2725,0,33.073592741022715,191,381944.9259118593,33.073592741022715,20,5,Cirrhosis,0
2726,0,1.164664296965932,7,137647.06621419624,1.164664296965932,20,6,HCC,0
2727,267.0480750545838,0,254,0,267.0480750545838,20,7,Liver death,0
2728,0,0,2708,0,0,20,8,Natural death,0
2733,0,96.33685089527401,2187,3.544069827870254e+07,96.33685089527401,20,13,CHD,0
2734,202.19559828565923,0,870,0,202.19559828565923,20,14,CHD death,0
2739,0,105.42987905610188,4590,1.5061256811204707e+07,105.42987905610188,20,19,T2DM,0
2740,837.4434844777995,0,1640,0,837.4434844777995,20,20,T2DM death,0
2745,0,0,8756,2.4438385512339533e+06,0,20,25,Overweight,0
2746,0,85.85704628642992,10512,1.4822352735427415e+07,85.85704628642992,20,26,Obese,0
2859,0,0,8984,870511.0823822953,0,21,3,Steatosis,0
2860,0,213.9849506071629,2325,437053.35163618077,213.9849506071629,21,4,NASH,0
2861,0,33.62333425611012,200,388293.5250463663,33.62333425611012,21,5,Cirrhosis,0
2862,0,0.807672882778039,5,95455.66311664094,0.807672882778039,21,6,HCC,0
2863,318.8315071148557,0,284,0,318.8315071148557,21,7,Liver death,0
2864,0,0,2843,0,0,21,8,Natural death,0
2869,0,95.11329364207621,2224,3.4990572256997615e+07,95.11329364207621,21,13,CHD,0
