Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,7257,0,0,2,3,Steatosis,0
276,0,0,630,0,0,2,4,NASH,0
277,0,0,68,0,0,2,5,Cirrhosis,0
278,0,0,4,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1397,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2159,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7405,0,0,2,25,Overweight,0
298,0,0,8393,0,0,2,26,Obese,0
411,0,0,7516,0,0,3,3,Steatosis,0
412,0,0,800,0,0,3,4,NASH,0
413,0,0,73,0,0,3,5,Cirrhosis,0
414,0,0,5,0,0,3,6,HCC,0
415,0,0,5,0,0,3,7,Liver death,0
416,0,0,184,0,0,3,8,Natural death,0
421,0,0,1475,0,0,3,13,CHD,0
422,0,0,28,0,0,3,14,CHD death,0
427,0,0,2239,0,0,3,19,T2DM,0
428,0,0,87,0,0,3,20,T2DM death,0
433,0,0,7533,0,0,3,25,Overweight,0
434,0,0,8338,0,0,3,26,Obese,0
547,0,0,7759,0,0,4,3,Steatosis,0
548,0,0,976,0,0,4,4,NASH,0
549,0,0,78,0,0,4,5,Cirrhosis,0
550,0,0,6,0,0,4,6,HCC,0
551,0,0,8,0,0,4,7,Liver death,0
552,0,0,374,0,0,4,8,Natural death,0
557,0,0,1517,0,0,4,13,CHD,0
558,0,0,67,0,0,4,14,CHD death,0
563,0,0,2325,0,0,4,19,T2DM,0
564,0,0,174,0,0,4,20,T2DM death,0
569,0,0,7690,0,0,4,25,Overweight,0
570,0,0,8287,0,0,4,26,Obese,0
683,0,0,7975,0,0,5,3,Steatosis,0
684,0,0,1116,0,0,5,4,NASH,0
685,0,0,89,0,0,5,5,Cirrhosis,0
686,0,0,4,0,0,5,6,HCC,0
687,0,0,19,0,0,5,7,Liver death,0
688,0,0,564,0,0,5,8,Natural death,0
693,0,0,1548,0,0,5,13,CHD,0
694,0,0,117,0,0,5,14,CHD death,0
699,0,0,2441,0,0,5,19,T2DM,0
700,0,0,247,0,0,5,20,T2DM death,0
705,0,0,7819,0,0,5,25,Overweight,0
706,0,0,8227,0,0,5,26,Obese,0
819,0,0,8204,0,0,6,3,Steatosis,0
820,0,0,1252,0,0,6,4,NASH,0
821,0,0,104,0,0,6,5,Cirrhosis,0
822,0,0,2,0,0,6,6,HCC,0
823,0,0,28,0,0,6,7,Liver death,0
824,0,0,734,0,0,6,8,Natural death,0
829,0,0,1587,0,0,6,13,CHD,0
830,0,0,155,0,0,6,14,CHD death,0
835,0,0,2509,0,0,6,19,T2DM,0
836,0,0,337,0,0,6,20,T2DM death,0
841,0,0,7954,0,0,6,25,Overweight,0
842,0,0,8174,0,0,6,26,Obese,0
955,0,0,8404,1.9551543149819162e+06,0,7,3,Steatosis,0
956,0,164.55054563388987,1393,531121.379936144,164.55054563388987,7,4,NASH,0
957,0,22.700699686659167,122,161716.25907571078,22.700699686659167,7,5,Cirrhosis,0
958,0,0.8360965104565503,4,80843.81625910861,0.8360965104565503,7,6,HCC,0
959,142.612158843,0,36,0,142.612158843,7,7,Liver death,0
960,0,0,905,0,0,7,8,Natural death,0
965,0,120.17610435933916,1632,1.547353826546077e+07,120.17610435933916,7,13,CHD,0
966,248.02544283,0,188,0,248.02544283,7,14,CHD death,0
971,0,109.01643730359548,2629,6.962364177751469e+06,109.01643730359548,7,19,T2DM,0
972,773.809789547,0,407,0,773.809789547,7,20,T2DM death,0
977,0,0,8083,952981.0472893366,0,7,25,Overweight,0
978,0,73.1601126711181,8130,9.222647395625217e+06,73.1601126711181,7,26,Obese,0
1091,0,0,8549,1.9309591640109166e+06,0,8,3,Steatosis,0
1092,0,177.3047927222686,1546,572288.3860225384,177.3047927222686,8,4,NASH,0
1093,0,24.929942358419368,138,177597.03766073653,24.929942358419368,8,5,Cirrhosis,0
1094,0,1.0146802311365901,5,98111.42749891822,1.0146802311365901,8,6,HCC,0
1095,54.22724544854369,0,40,0,54.22724544854369,8,7,Liver death,0
1096,0,0,1095,0,0,8,8,Natural death,0
1101,0,116.53284438995036,1630,1.500444232623075e+07,116.53284438995036,8,13,CHD,0
1102,287.80967538834955,0,232,0,287.80967538834955,8,14,CHD death,0
1107,0,109.30348476081343,2715,6.9806965410431195e+06,109.30348476081343,8,19,T2DM,0
1108,1044.3501359330105,0,505,0,1044.3501359330105,8,20,T2DM death,0
1113,0,0,8122,929688.4707188526,0,8,25,Overweight,0
1114,0,70.75839841930413,8099,8.919884552858368e+06,70.75839841930413,8,26,Obese,0
1227,0,0,8656,1.898181757893354e+06,0,9,3,Steatosis,0
1228,0,191.9601242499902,1724,619591.5406516285,191.9601242499902,9,4,NASH,0
1229,0,25.256167859943535,144,179921.01746972,25.256167859943535,9,5,Cirrhosis,0
1230,0,0.7881011503973516,4,76203.05048459668,0.7881011503973516,9,6,HCC,0
1231,228.14792670374214,0,53,0,228.14792670374214,9,7,Liver death,0
1232,0,0,1285,0,0,9,8,Natural death,0
1237,0,114.31865787732623,1647,1.4719349878672563e+07,114.31865787732623,9,13,CHD,0
1238,255.1860558686022,0,279,0,255.1860558686022,9,14,CHD death,0
1243,0,109.28589582908667,2796,6.9795732191732405e+06,109.28589582908667,9,19,T2DM,0
1244,975.6277416184371,0,605,0,975.6277416184371,9,20,T2DM death,0
1249,0,0,8197,910945.0293798185,0,9,25,Overweight,0
1250,0,68.46845433880043,8072,8.631211585592365e+06,68.46845433880043,9,26,Obese,0
1363,0,0,8764,1.8658885162074196e+06,0,10,3,Steatosis,0
1364,0,202.15204668950398,1870,652488.1068065803,202.15204668950398,10,4,NASH,0
1365,0,26.393648990636905,155,188024.25639028216,26.393648990636905,10,5,Cirrhosis,0
1366,0,1.1477201219378907,6,110975.31623970391,1.1477201219378907,10,6,HCC,0
1367,222.5726466217088,0,67,0,222.5726466217088,10,7,Liver death,0
1368,0,0,1474,0,0,10,8,Natural death,0
1373,0,111.797651168345,1659,1.4394752122845631e+07,111.797651168345,10,13,CHD,0
1374,218.20692704307666,0,313,0,218.20692704307666,10,14,CHD death,0
1379,0,108.0381631961845,2847,6.899886437971796e+06,108.0381631961845,10,19,T2DM,0
1380,810.9789739541534,0,696,0,810.9789739541534,10,20,T2DM death,0
1385,0,0,8221,887002.1220800983,0,10,25,Overweight,0
1386,0,66.61422526707013,8089,8.397465350182228e+06,66.61422526707013,10,26,Obese,0
1499,0,0,8811,1.8212572744968256e+06,0,11,3,Steatosis,0
1500,0,213.37163746418787,2033,688701.6879381625,213.37163746418787,11,4,NASH,0
1501,0,27.608765308088696,167,196680.55632431543,27.608765308088696,11,5,Cirrhosis,0
1502,0,0.9285761504351866,5,89785.85456286723,0.9285761504351866,11,6,HCC,0
1503,243.39683748366215,0,84,0,243.39683748366215,11,7,Liver death,0
1504,0,0,1654,0,0,11,8,Natural death,0
1509,0,110.17705400228907,1684,1.4186088575333288e+07,110.17705400228907,11,13,CHD,0
1510,265.8647156258155,0,350,0,265.8647156258155,11,14,CHD death,0
1515,0,107.65462976160015,2922,6.87539197170721e+06,107.65462976160015,11,19,T2DM,0
1516,895.7545493109022,0,796,0,895.7545493109022,11,20,T2DM death,0
1521,0,0,8291,868499.7566222671,0,11,25,Overweight,0
1522,0,64.6660098107733,8088,8.151871083740755e+06,64.6660098107733,11,26,Obese,0
1635,0,0,8903,1.7866737093683952e+06,0,12,3,Steatosis,0
1636,0,221.11684071904315,2170,713700.9550312359,221.11684071904315,12,4,NASH,0
1637,0,29.372734442068612,183,209246.79848467992,29.372734442068612,12,5,Cirrhosis,0
1638,0,0.9015302431409579,5,87170.732585308,0.9015302431409579,12,6,HCC,0
1639,176.7984836077344,0,97,0,176.7984836077344,12,7,Liver death,0
1640,0,0,1810,0,0,12,8,Natural death,0
1645,0,108.23841755638388,1704,1.3936475181818161e+07,108.23841755638388,12,13,CHD,0
1646,226.17819424912497,0,387,0,226.17819424912497,12,14,CHD death,0
1651,0,107.66679145897814,3010,6.876168681790783e+06,107.66679145897814,12,19,T2DM,0
1652,993.2142976398827,0,903,0,993.2142976398827,12,20,T2DM death,0
1657,0,0,8364,850627.8259837783,0,12,25,Overweight,0
1658,0,62.5574233270356,8059,7.886060262341824e+06,62.5574233270356,12,26,Obese,0
1771,0,0,8978,1.7492474515202555e+06,0,13,3,Steatosis,0
1772,0,229.51593685658523,2320,740810.7984754457,229.51593685658523,13,4,NASH,0
1773,0,31.322190157864107,201,223134.41824723253,31.322190157864107,13,5,Cirrhosis,0
1774,0,0.8752720807193766,5,84631.77920903689,0.8752720807193766,13,6,HCC,0
1775,155.45531693426275,0,108,0,155.45531693426275,13,7,Liver death,0
1776,0,0,1966,0,0,13,8,Natural death,0
1781,0,106.81260495445412,1732,1.3752891548674317e+07,106.81260495445412,13,13,CHD,0
1782,194.1975255179857,0,427,0,194.1975255179857,13,14,CHD death,0
1787,0,107.30909447737973,3090,6.853324267565207e+06,107.30909447737973,13,19,T2DM,0
1788,864.1027072208658,0,1011,0,864.1027072208658,13,20,T2DM death,0
1793,0,0,8477,837009.7552691933,0,13,25,Overweight,0
1794,0,60.61478101659856,8043,7.641168553037921e+06,60.61478101659856,13,26,Obese,0
1907,0,0,8978,1.6982984966219992e+06,0,14,3,Steatosis,0
1908,0,235.89351394366142,2456,761395.76542333,235.89351394366142,14,4,NASH,0
1909,0,34.04092539979434,225,242502.26588237172,34.04092539979434,14,5,Cirrhosis,0
1910,0,0.8497787191450258,5,82166.77593110378,0.8497787191450258,14,6,HCC,0
1911,227.62135233948607,0,124,0,227.62135233948607,14,7,Liver death,0
1912,0,0,2126,0,0,14,8,Natural death,0
1917,0,105.91689172650567,1769,1.363756202471168e+07,105.91689172650567,14,13,CHD,0
1918,193.42016315292747,0,469,0,193.42016315292747,14,14,CHD death,0
1923,0,106.40886736753733,3156,6.795831020340418e+06,106.40886736753733,14,19,T2DM,0
1924,1024.6114117716236,0,1132,0,1024.6114117716236,14,20,T2DM death,0
1929,0,0,8510,815794.310056808,0,14,25,Overweight,0
1930,0,58.53467806327932,8000,7.378948398029581e+06,58.53467806327932,14,26,Obese,0
2043,0,0,9064,1.6646276197673115e+06,0,15,3,Steatosis,0
2044,0,241.1453729555933,2586,778347.2413051716,241.1453729555933,15,4,NASH,0
2045,0,35.6933975065804,243,254274.2205368539,35.6933975065804,15,5,Cirrhosis,0
2046,0,1.3200446122641176,8,127637.71018423887,1.3200446122641176,15,6,HCC,0
2047,181.11964130750187,0,138,0,181.11964130750187,15,7,Liver death,0
2048,0,0,2272,0,0,15,8,Natural death,0
2053,0,103.64575342789287,1783,1.3345136624861652e+07,103.64575342789287,15,13,CHD,0
2054,189.87806746313586,0,509,0,189.87806746313586,15,14,CHD death,0
2059,0,104.7826253102268,3201,6.6919706326392125e+06,104.7826253102268,15,19,T2DM,0
2060,931.8828329912121,0,1247,0,931.8828329912121,15,20,T2DM death,0
2065,0,0,8598,800223.5494356669,0,15,25,Overweight,0
2066,0,57.05710366556429,8032,7.192683681186376e+06,57.05710366556429,15,26,Obese,0
2179,0,0,9115,1.6252368008918746e+06,0,16,3,Steatosis,0
2180,0,243.44675507310146,2689,785775.4345165148,243.44675507310146,16,4,NASH,0
2181,0,35.50943297430389,249,252963.6857792028,35.50943297430389,16,5,Cirrhosis,0
2182,0,1.4417962998030411,9,139410.12034686285,1.4417962998030411,16,6,HCC,0
2183,343.41181080300265,0,166,0,343.41181080300265,16,7,Liver death,0
2184,0,0,2447,0,0,16,8,Natural death,0
2189,0,102.32005127432359,1813,1.3174442932373088e+07,102.32005127432359,16,13,CHD,0
2190,241.50693409195523,0,558,0,241.50693409195523,16,14,CHD death,0
2195,0,104.46386274760431,3287,6.671612775584614e+06,104.46386274760431,16,19,T2DM,0
2196,882.4737510597762,0,1358,0,882.4737510597762,16,20,T2DM death,0
2201,0,0,8604,777458.2279627349,0,16,25,Overweight,0
2202,0,55.450420825329985,8040,6.990143406559719e+06,55.450420825329985,16,26,Obese,0
2315,0,0,9195,1.5917486256193977e+06,0,17,3,Steatosis,0
2316,0,245.14581155839363,2789,791259.4954873954,245.14581155839363,17,4,NASH,0
2317,0,36.275086517984995,262,258418.0827159176,36.275086517984995,17,5,Cirrhosis,0
2318,0,2.333003721364144,15,225582.7190078686,2.333003721364144,17,6,HCC,0
2319,194.30882629947774,0,185,0,194.30882629947774,17,7,Liver death,0
2320,0,0,2613,0,0,17,8,Natural death,0
2325,0,100.1617518190903,1828,1.2896546345636245e+07,100.1617518190903,17,13,CHD,0
2326,148.39860607349047,0,590,0,148.39860607349047,17,14,CHD death,0
2331,0,103.05655452842625,3340,6.581734656517625e+06,103.05655452842625,17,19,T2DM,0
2332,930.9794753350715,0,1481,0,930.9794753350715,17,20,T2DM death,0
2337,0,0,8626,756743.8349294623,0,17,25,Overweight,0
2338,0,53.768400621592626,8030,6.778106017808692e+06,53.768400621592626,17,26,Obese,0
2451,0,0,9199,1.546059287928185e+06,0,18,3,Steatosis,0
2452,0,246.19802008095883,2885,794655.7190631417,246.19802008095883,18,4,NASH,0
2453,0,36.293905580137555,270,258552.14679203296,36.293905580137555,18,5,Cirrhosis,0
2454,0,1.9630452024423222,13,189810.70207781825,1.9630452024423222,18,6,HCC,0
2455,338.49931074708905,0,214,0,338.49931074708905,18,7,Liver death,0
2456,0,0,2764,0,0,18,8,Natural death,0
2461,0,98.94672855023288,1860,1.2740103356038319e+07,98.94672855023288,18,13,CHD,0
2462,165.8961144382468,0,634,0,165.8961144382468,18,14,CHD death,0
2467,0,101.34303934935706,3383,6.472300547351522e+06,101.34303934935706,18,19,T2DM,0
2468,752.047318361877,0,1586,0,752.047318361877,18,20,T2DM death,0
2473,0,0,8650,736746.9056230693,0,18,25,Overweight,0
2474,0,52.37785534924208,8057,6.60281229194975e+06,52.37785534924208,18,26,Obese,0
2587,0,0,9196,1.5005389158789848e+06,0,19,3,Steatosis,0
2588,0,248.80370658513073,3003,803066.1184723636,248.80370658513073,19,4,NASH,0
2589,0,37.19440161934281,285,264967.1407253838,37.19440161934281,19,5,Cirrhosis,0
2590,0,1.7592638110013343,12,170106.67848646897,1.7592638110013343,19,6,HCC,0
2591,143.79757018479575,0,233,0,143.79757018479575,19,7,Liver death,0
2592,0,0,2926,0,0,19,8,Natural death,0
2597,0,96.37467140345085,1866,1.2408932488969684e+07,96.37467140345085,19,13,CHD,0
2598,240.04106849644793,0,688,0,240.04106849644793,19,14,CHD death,0
2603,0,100.89252760172005,3469,6.443528493054443e+06,100.89252760172005,19,19,T2DM,0
2604,778.8567770051362,0,1701,0,778.8567770051362,19,20,T2DM death,0
2609,0,0,8680,717769.0264109431,0,19,25,Overweight,0
2610,0,51.12368408209208,8100,6.444710029003203e+06,51.12368408209208,19,26,Obese,0
2723,0,0,9180,1.4542991726851214e+06,0,20,3,Steatosis,0
2724,0,250.2443612007223,3111,807716.1332414397,250.2443612007223,20,4,NASH,0
2725,0,39.27870721170599,310,279815.4100659803,39.27870721170599,20,5,Cirrhosis,0
2726,0,0.8540115587385116,6,82576.05751770339,0.8540115587385116,20,6,HCC,0
2727,316.3242870408377,0,262,0,316.3242870408377,20,7,Liver death,0
2728,0,0,3077,0,0,20,8,Natural death,0
2733,0,94.77108448189414,1890,1.220245913284881e+07,94.77108448189414,20,13,CHD,0
2734,180.73857548232186,0,733,0,180.73857548232186,20,14,CHD death,0
2739,0,99.33751986466937,3518,6.344217504433591e+06,99.33751986466937,20,19,T2DM,0
2740,890.2592734362313,0,1835,0,890.2592734362313,20,20,T2DM death,0
2745,0,0,8729,700797.0372174943,0,20,25,Overweight,0
2746,0,49.38953538314659,8060,6.226101262587506e+06,49.38953538314659,20,26,Obese,0
2859,0,0,9235,1.4204002855243178e+06,0,21,3,Steatosis,0
2860,0,249.28144134741703,3192,804608.1075627641,249.28144134741703,21,4,NASH,0
2861,0,40.34893819429861,328,287439.56937563996,40.34893819429861,21,5,Cirrhosis,0
2862,0,1.1055165808912777,8,106894.572838451,1.1055165808912777,21,6,HCC,0
2863,253.90173671038755,0,286,0,253.90173671038755,21,7,Liver death,0
2864,0,0,3228,0,0,21,8,Natural death,0
2869,0,93.13046931415975,1913,1.1991218123563027e+07,93.13046931415975,21,13,CHD,0
2870,167.79501737611736,0,779,0,167.79501737611736,21,14,CHD death,0
