Id,YLLs,YLDs,Population,Costs,DALYs,Cycle_id,State_id,State_name,Intervention_id
3,0,0,0,0,0,0,3,Steatosis,0
4,0,0,0,0,0,0,4,NASH,0
5,0,0,0,0,0,0,5,Cirrhosis,0
6,0,0,0,0,0,0,6,HCC,0
7,0,0,0,0,0,0,7,Liver death,0
8,0,0,0,0,0,0,8,Natural death,0
13,0,0,0,0,0,0,13,CHD,0
14,0,0,0,0,0,0,14,CHD death,0
19,0,0,0,0,0,0,19,T2DM,0
20,0,0,0,0,0,0,20,T2DM death,0
25,0,0,0,0,0,0,25,Overweight,0
26,0,0,0,0,0,0,26,Obese,0
139,0,0,0,0,0,1,3,Steatosis,0
140,0,0,0,0,0,1,4,NASH,0
141,0,0,0,0,0,1,5,Cirrhosis,0
142,0,0,0,0,0,1,6,HCC,0
143,0,0,0,0,0,1,7,Liver death,0
144,0,0,0,0,0,1,8,Natural death,0
149,0,0,0,0,0,1,13,CHD,0
150,0,0,0,0,0,1,14,CHD death,0
155,0,0,0,0,0,1,19,T2DM,0
156,0,0,0,0,0,1,20,T2DM death,0
161,0,0,0,0,0,1,25,Overweight,0
162,0,0,0,0,0,1,26,Obese,0
275,0,0,5507,0,0,2,3,Steatosis,0
276,0,0,744,0,0,2,4,NASH,0
277,0,0,68,0,0,2,5,Cirrhosis,0
278,0,0,4,0,0,2,6,HCC,0
279,0,0,0,0,0,2,7,Liver death,0
280,0,0,0,0,0,2,8,Natural death,0
285,0,0,1407,0,0,2,13,CHD,0
286,0,0,0,0,0,2,14,CHD death,0
291,0,0,2152,0,0,2,19,T2DM,0
292,0,0,0,0,0,2,20,T2DM death,0
297,0,0,7506,0,0,2,25,Overweight,0
298,0,0,8326,0,0,2,26,Obese,0
411,0,0,5717,0,0,3,3,Steatosis,0
412,0,0,846,0,0,3,4,NASH,0
413,0,0,80,0,0,3,5,Cirrhosis,0
414,0,0,1,0,0,3,6,HCC,0
415,0,0,10,0,0,3,7,Liver death,0
416,0,0,261,0,0,3,8,Natural death,0
421,0,0,1455,0,0,3,13,CHD,0
422,0,0,22,0,0,3,14,CHD death,0
427,0,0,2183,0,0,3,19,T2DM,0
428,0,0,64,0,0,3,20,T2DM death,0
433,0,0,7803,0,0,3,25,Overweight,0
434,0,0,8227,0,0,3,26,Obese,0
547,0,0,5875,0,0,4,3,Steatosis,0
548,0,0,962,0,0,4,4,NASH,0
549,0,0,84,0,0,4,5,Cirrhosis,0
550,0,0,2,0,0,4,6,HCC,0
551,0,0,14,0,0,4,7,Liver death,0
552,0,0,500,0,0,4,8,Natural death,0
557,0,0,1480,0,0,4,13,CHD,0
558,0,0,51,0,0,4,14,CHD death,0
563,0,0,2211,0,0,4,19,T2DM,0
564,0,0,127,0,0,4,20,T2DM death,0
569,0,0,8109,0,0,4,25,Overweight,0
570,0,0,8167,0,0,4,26,Obese,0
683,0,0,6032,0,0,5,3,Steatosis,0
684,0,0,1083,0,0,5,4,NASH,0
685,0,0,92,0,0,5,5,Cirrhosis,0
686,0,0,0,0,0,5,6,HCC,0
687,0,0,24,0,0,5,7,Liver death,0
688,0,0,755,0,0,5,8,Natural death,0
693,0,0,1501,0,0,5,13,CHD,0
694,0,0,85,0,0,5,14,CHD death,0
699,0,0,2269,0,0,5,19,T2DM,0
700,0,0,182,0,0,5,20,T2DM death,0
705,0,0,8338,0,0,5,25,Overweight,0
706,0,0,8134,0,0,5,26,Obese,0
819,0,0,6173,0,0,6,3,Steatosis,0
820,0,0,1202,0,0,6,4,NASH,0
821,0,0,101,0,0,6,5,Cirrhosis,0
822,0,0,1,0,0,6,6,HCC,0
823,0,0,32,0,0,6,7,Liver death,0
824,0,0,976,0,0,6,8,Natural death,0
829,0,0,1539,0,0,6,13,CHD,0
830,0,0,102,0,0,6,14,CHD death,0
835,0,0,2300,0,0,6,19,T2DM,0
836,0,0,253,0,0,6,20,T2DM death,0
841,0,0,8577,0,0,6,25,Overweight,0
842,0,0,8114,0,0,6,26,Obese,0
955,0,0,6304,998759.3128902031,0,7,3,Steatosis,0
956,0,214.3724806600463,1319,155239.88342175767,214.3724806600463,7,4,NASH,0
957,0,18.860470602980396,127,422024.8994728922,18.860470602980396,7,5,Cirrhosis,0
958,0,0.5962823033598007,2,77164.44773644496,0.5962823033598007,7,6,HCC,0
959,126.83480216000001,0,39,0,126.83480216000001,7,7,Liver death,0
960,0,0,1184,0,0,7,8,Natural death,0
965,0,74.70958740321737,1564,9.299885442436878e+06,74.70958740321737,7,13,CHD,0
966,194.553320649,0,133,0,194.553320649,7,14,CHD death,0
971,0,83.48347591923725,2375,9.4320031117308e+06,83.48347591923725,7,19,T2DM,0
972,482.6874287480001,0,307,0,482.6874287480001,7,20,T2DM death,0
977,0,0,8752,3.88811971420383e+06,0,7,25,Overweight,0
978,0,102.09948226568581,8099,4.962720767220277e+06,102.09948226568581,7,26,Obese,0
1091,0,0,6430,989050.3150849353,0,8,3,Steatosis,0
1092,0,225.4858232282517,1429,163287.71679757687,225.4858232282517,8,4,NASH,0
1093,0,19.75295828001162,137,441995.34613398224,19.75295828001162,8,5,Cirrhosis,0
1094,0,0.28945742881543723,1,37458.46977497328,0.28945742881543723,8,6,HCC,0
1095,239.01947509708742,0,52,0,239.01947509708742,8,7,Liver death,0
1096,0,0,1386,0,0,8,8,Natural death,0
1101,0,72.99734969623644,1574,9.08674526754667e+06,72.99734969623644,8,13,CHD,0
1102,279.61115905728155,0,172,0,279.61115905728155,8,14,CHD death,0
1107,0,83.0654186560732,2434,9.384770801820686e+06,83.0654186560732,8,19,T2DM,0
1108,711.820172291262,0,374,0,711.820172291262,8,20,T2DM death,0
1113,0,0,8860,3.8214555860572164e+06,0,8,25,Overweight,0
1114,0,99.2113857093189,8106,4.822339871646607e+06,99.2113857093189,8,26,Obese,0
1227,0,0,6536,976072.8471506846,0,9,3,Steatosis,0
1228,0,231.0208248202545,1508,167295.94117058557,231.0208248202545,9,4,NASH,0
1229,0,21.13738714677728,151,472973.547347681,21.13738714677728,9,5,Cirrhosis,0
1230,0,1.124106519671601,4,145469.7855338768,1.124106519671601,9,6,HCC,0
1231,176.6544382222641,0,64,0,176.6544382222641,9,7,Liver death,0
1232,0,0,1580,0,0,9,8,Natural death,0
1237,0,71.18639658389849,1581,8.86131695142594e+06,71.18639658389849,9,13,CHD,0
1238,220.42692518144972,0,204,0,220.42692518144972,9,14,CHD death,0
1243,0,81.37496638212876,2456,9.19378269390465e+06,81.37496638212876,9,19,T2DM,0
1244,641.7683185012725,0,445,0,641.7683185012725,9,20,T2DM death,0
1249,0,0,8997,3.767520207297296e+06,0,9,25,Overweight,0
1250,0,96.38114754841513,8111,4.68477128280016e+06,96.38114754841513,9,26,Obese,0
1363,0,0,6667,966637.0084660412,0,10,3,Steatosis,0
1364,0,239.31427669631833,1609,173301.7237152522,239.31427669631833,10,4,NASH,0
1365,0,21.88079039819431,161,489608.0571142306,21.88079039819431,10,5,Cirrhosis,0
1366,0,1.6370483296188367,6,211849.2022338012,1.6370483296188367,10,6,HCC,0
1367,225.07709537148804,0,78,0,225.07709537148804,10,7,Liver death,0
1368,0,0,1777,0,0,10,8,Natural death,0
1373,0,68.9818621674802,1578,8.586895444907354e+06,68.9818621674802,10,13,CHD,0
1374,226.1303535723013,0,237,0,226.1303535723013,10,14,CHD death,0
1379,0,80.93490695164427,2516,9.144064568587312e+06,80.93490695164427,10,19,T2DM,0
1380,671.866817934397,0,518,0,671.866817934397,10,20,T2DM death,0
1385,0,0,9130,3.7118585906868116e+06,0,10,25,Overweight,0
1386,0,93.47009962947068,8102,4.543274796811612e+06,93.47009962947068,10,26,Obese,0
1499,0,0,6767,952559.0666518562,0,11,3,Steatosis,0
1500,0,247.50624234887079,1714,179234.01403992393,247.50624234887079,11,4,NASH,0
1501,0,22.69490410956648,172,507824.795414871,22.69490410956648,11,5,Cirrhosis,0
1502,0,1.3244727585912912,5,171399.0309334961,1.3244727585912912,11,6,HCC,0
1503,323.05848190917317,0,99,0,323.05848190917317,11,7,Liver death,0
1504,0,0,1960,0,0,11,8,Natural death,0
1509,0,68.07616062893896,1604,8.47415328093251e+06,68.07616062893896,11,13,CHD,0
1510,161.86814158922488,0,268,0,161.86814158922488,11,14,CHD death,0
1515,0,80.6700667788649,2583,9.114142798964033e+06,80.6700667788649,11,19,T2DM,0
1516,596.7305526999827,0,587,0,596.7305526999827,11,20,T2DM death,0
1521,0,0,9161,3.615982363624159e+06,0,11,25,Overweight,0
1522,0,91.92373783520483,8207,4.468111224776273e+06,91.92373783520483,11,26,Obese,0
1635,0,0,6923,946134.4271287707,0,12,3,Steatosis,0
1636,0,251.51306701739452,1794,182135.59446909212,251.51306701739452,12,4,NASH,0
1637,0,23.186823458069206,181,518832.0612445903,23.186823458069206,12,5,Cirrhosis,0
1638,0,1.028716705701974,4,133125.46091922026,1.028716705701974,12,6,HCC,0
1639,184.1194312733023,0,110,0,184.1194312733023,12,7,Liver death,0
1640,0,0,2137,0,0,12,8,Natural death,0
1645,0,67.16469858434976,1630,8.360694046389194e+06,67.16469858434976,12,13,CHD,0
1646,205.68936239774234,0,299,0,205.68936239774234,12,14,CHD death,0
1651,0,79.89717155948803,2635,9.026820726734778e+06,79.89717155948803,12,19,T2DM,0
1652,623.5967927442158,0,661,0,623.5967927442158,12,20,T2DM death,0
1657,0,0,9395,3.60033556202752e+06,0,12,25,Overweight,0
1658,0,88.71350093743983,8158,4.31207214439517e+06,88.71350093743983,12,26,Obese,0
1771,0,0,6992,927732.367342157,0,13,3,Steatosis,0
1772,0,256.84599011907454,1887,185997.4817694244,256.84599011907454,13,4,NASH,0
1773,0,24.00395283702911,193,537116.2786043338,24.00395283702911,13,5,Cirrhosis,0
1774,0,2.496885208014499,10,323120.05077480647,2.496885208014499,13,6,HCC,0
1775,68.86264744603083,0,116,0,68.86264744603083,13,7,Liver death,0
1776,0,0,2317,0,0,13,8,Natural death,0
1781,0,66.76864729124995,1669,8.311393390567446e+06,66.76864729124995,13,13,CHD,0
1782,162.27417179319002,0,330,0,162.27417179319002,13,14,CHD death,0
1787,0,79.15974072823636,2689,8.943505438068725e+06,79.15974072823636,13,19,T2DM,0
1788,588.4424799713411,0,732,0,588.4424799713411,13,20,T2DM death,0
1793,0,0,9501,3.534909415236201e+06,0,13,25,Overweight,0
1794,0,85.9923626264351,8145,4.179806541212608e+06,85.9923626264351,13,26,Obese,0
1907,0,0,7092,913593.0590842509,0,14,3,Steatosis,0
1908,0,260.069102625713,1968,188331.52953637953,260.069102625713,14,4,NASH,0
1909,0,24.633061918375954,204,551193.3237853202,24.633061918375954,14,5,Cirrhosis,0
1910,0,1.9393283169044655,8,250967.02972800512,1.9393283169044655,14,6,HCC,0
1911,242.05376839043464,0,136,0,242.05376839043464,14,7,Liver death,0
1912,0,0,2499,0,0,14,8,Natural death,0
1917,0,65.87260891409638,1696,8.199854101579328e+06,65.87260891409638,14,13,CHD,0
1918,191.8188371305068,0,365,0,191.8188371305068,14,14,CHD death,0
1923,0,77.51147857144996,2712,8.757283989805056e+06,77.51147857144996,14,19,T2DM,0
1924,641.0522433238602,0,809,0,641.0522433238602,14,20,T2DM death,0
1929,0,0,9598,3.4669892251947513e+06,0,14,25,Overweight,0
1930,0,83.87723761341223,8183,4.0769972556550233e+06,83.87723761341223,14,26,Obese,0
2043,0,0,7118,890235.325262178,0,15,3,Steatosis,0
2044,0,263.784668777348,2056,191022.19232319438,263.784668777348,15,4,NASH,0
2045,0,26.963660009644226,230,603343.1585314275,26.963660009644226,15,5,Cirrhosis,0
2046,0,2.1181984043859456,9,274114.4742174813,2.1181984043859456,15,6,HCC,0
2047,114.2285614840971,0,147,0,114.2285614840971,15,7,Liver death,0
2048,0,0,2666,0,0,15,8,Natural death,0
2053,0,65.0475421189864,1725,8.097149389325268e+06,65.0475421189864,15,13,CHD,0
2054,108.03488320476362,0,387,0,108.03488320476362,15,14,CHD death,0
2059,0,77.1407589528856,2780,8.715399909663055e+06,77.1407589528856,15,19,T2DM,0
2060,595.2890523937596,0,884,0,595.2890523937596,15,20,T2DM death,0
2065,0,0,9663,3.3888043911923734e+06,0,15,25,Overweight,0
2066,0,81.34464657988413,8174,3.95389631686407e+06,81.34464657988413,15,26,Obese,0
2179,0,0,7143,867341.7765365416,0,16,3,Steatosis,0
2180,0,267.56142029663306,2148,193757.16307951492,267.56142029663306,16,4,NASH,0
2181,0,27.657954336612807,243,618878.7991690085,27.657954336612807,16,5,Cirrhosis,0
2182,0,1.5995025707337238,7,206990.43360543353,1.5995025707337238,16,6,HCC,0
2183,225.75465780690726,0,166,0,225.75465780690726,16,7,Liver death,0
2184,0,0,2811,0,0,16,8,Natural death,0
2189,0,63.62888881542473,1738,7.920554742449828e+06,63.62888881542473,16,13,CHD,0
2190,104.55404310551279,0,416,0,104.55404310551279,16,14,CHD death,0
2195,0,76.32177485280347,2833,8.622870693607166e+06,76.32177485280347,16,19,T2DM,0
2196,498.0111836219638,0,954,0,498.0111836219638,16,20,T2DM death,0
2201,0,0,9737,3.3152972008169005e+06,0,16,25,Overweight,0
2202,0,79.63238602999309,8242,3.870668950757012e+06,79.63238602999309,16,26,Obese,0
2315,0,0,7236,853043.0491415772,0,17,3,Steatosis,0
2316,0,272.8293486780107,2256,197571.98383114018,272.8293486780107,17,4,NASH,0
2317,0,26.962886484212493,244,603325.8500029449,26.962886484212493,17,5,Cirrhosis,0
2318,0,1.9966051507078386,9,258379.1820317478,1.9966051507078386,17,6,HCC,0
2319,206.2456494839895,0,181,0,206.2456494839895,17,7,Liver death,0
2320,0,0,2974,0,0,17,8,Natural death,0
2325,0,63.304015876001465,1781,7.880114402394325e+06,63.304015876001465,17,13,CHD,0
2326,149.2810614704392,0,446,0,149.2810614704392,17,14,CHD death,0
2331,0,75.77276884038834,2897,8.560843731260793e+06,75.77276884038834,17,19,T2DM,0
2332,556.0977095991135,0,1025,0,556.0977095991135,17,20,T2DM death,0
2337,0,0,9871,3.2630311831524577e+06,0,17,25,Overweight,0
2338,0,77.52874461824209,8265,3.7684178453737376e+06,77.52874461824209,17,26,Obese,0
2451,0,0,7312,836895.7230196726,0,18,3,Steatosis,0
2452,0,267.81817820634706,2281,193943.09677702418,267.81817820634706,18,4,NASH,0
2453,0,27.679550823359765,258,619362.0456022597,27.679550823359765,18,5,Cirrhosis,0
2454,0,3.446136182451502,16,445961.9107344083,3.446136182451502,18,6,HCC,0
2455,183.71763246401895,0,198,0,183.71763246401895,18,7,Liver death,0
2456,0,0,3155,0,0,18,8,Natural death,0
2461,0,60.66650671326238,1758,7.551795990803661e+06,60.66650671326238,18,13,CHD,0
2462,212.1994909496564,0,492,0,212.1994909496564,18,14,CHD death,0
2467,0,74.45457746380886,2932,8.411913837902166e+06,74.45457746380886,18,19,T2DM,0
2468,571.4686209433686,0,1105,0,571.4686209433686,18,20,T2DM death,0
2473,0,0,9960,3.19655503413462e+06,0,18,25,Overweight,0
2474,0,75.1340185365195,8250,3.652018069449851e+06,75.1340185365195,18,26,Obese,0
2587,0,0,7374,819409.6499895166,0,19,3,Steatosis,0
2588,0,267.1991971310952,2344,193494.85570769952,267.1991971310952,19,4,NASH,0
2589,0,26.873350313941565,258,601322.3743711249,26.873350313941565,19,5,Cirrhosis,0
2590,0,3.5548734891793385,17,460033.52442262997,3.5548734891793385,19,6,HCC,0
2591,252.33472251144343,0,223,0,252.33472251144343,19,7,Liver death,0
2592,0,0,3302,0,0,19,8,Natural death,0
2597,0,59.67010639645612,1781,7.4277635992034525e+06,59.67010639645612,19,13,CHD,0
2598,139.2251946910196,0,528,0,139.2251946910196,19,14,CHD death,0
2603,0,73.34612642380311,2975,8.286680508271373e+06,73.34612642380311,19,19,T2DM,0
2604,568.5730077630179,0,1193,0,568.5730077630179,19,20,T2DM death,0
2609,0,0,10008,3.1184078821710227e+06,0,19,25,Overweight,0
2610,0,73.27279924825432,8287,3.561550307918182e+06,73.27279924825432,19,26,Obese,0
2723,0,0,7426,801153.3649878403,0,20,3,Steatosis,0
2724,0,267.8278177943431,2420,193950.0773769191,267.8278177943431,20,4,NASH,0
2725,0,27.203022632837712,269,608699.1747792329,27.203022632837712,20,5,Cirrhosis,0
2726,0,4.263411951614285,21,551724.9579026398,4.263411951614285,20,6,HCC,0
2727,257.4377080914521,0,247,0,257.4377080914521,20,7,Liver death,0
2728,0,0,3466,0,0,20,8,Natural death,0
2733,0,59.20072918647788,1820,7.369335297912373e+06,59.20072918647788,20,13,CHD,0
2734,128.54915799059478,0,557,0,128.54915799059478,20,14,CHD death,0
2739,0,72.16727459174598,3015,8.153493263421795e+06,72.16727459174598,20,19,T2DM,0
2740,520.6087558705651,0,1275,0,520.6087558705651,20,20,T2DM death,0
2745,0,0,10077,3.048454074472181e+06,0,20,25,Overweight,0
2746,0,71.53352087731987,8333,3.477009694197e+06,71.53352087731987,20,26,Obese,0
2859,0,0,7481,783579.6458355356,0,21,3,Steatosis,0
2860,0,268.9452892318304,2503,194759.30501261828,268.9452892318304,21,4,NASH,0
2861,0,27.785236240275175,283,621726.8793536717,27.785236240275175,21,5,Cirrhosis,0
2862,0,3.7450220564341836,19,484640.50855987787,3.7450220564341836,21,6,HCC,0
2863,215.82136780035972,0,271,0,215.82136780035972,21,7,Liver death,0
2864,0,0,3634,0,0,21,8,Natural death,0
2869,0,58.32910850710948,1847,7.260835535711649e+06,58.32910850710948,21,13,CHD,0
2870,127.82039484468908,0,589,0,127.82039484468908,21,14,CHD death,0
